* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23/05/2023 8:40:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EW100P L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 56.642 -146.4558
1.015000 56.530 -146.6116
1.030000 56.373 -146.6362
1.044000 56.187 -146.5752
1.060000 55.931 -146.4014
1.075000 55.657 -146.1328
1.090000 55.353 -145.7573
1.106000 55.002 -145.2339
1.120000 54.677 -144.6674
1.138000 54.242 -143.7843
1.150000 53.946 -143.0952
1.172000 53.397 -141.6144
1.180000 53.199 -141.0040
1.206000 52.571 -138.7435
1.220000 52.250 -137.3452
1.241000 51.803 -134.9997
1.250000 51.626 -133.9008
1.265000 51.357 -131.9405
1.280000 51.122 -129.8155
1.315000 50.741 -124.1905
1.320000 50.708 -123.3083
1.340000 50.638 -119.5759
1.360000 50.667 -115.3832
1.380000 50.775 -110.4195
1.400000 50.952 -104.7675
1.430000 51.335 -95.2302
1.450000 51.658 -88.3200
1.475000 52.127 -79.2473
1.500000 52.654 -69.8840
1.525000 53.227 -60.4367
1.550000 53.833 -51.1118
1.575000 54.458 -42.1160
1.600000 55.089 -33.6558
1.625000 55.713 -25.9378
1.650000 56.315 -19.1684
1.675000 56.884 -13.5543
1.700000 57.429 -9.1209
1.725000 58.003 -5.4357
1.750000 58.604 -2.4119
1.775000 59.225 0.0101
1.800000 59.860 1.8903
1.825000 60.502 3.2884
1.850000 61.144 4.2643
1.875000 61.780 4.8778
1.900000 62.404 5.1888
1.925000 63.008 5.2570
1.950000 63.586 5.1423
1.975000 64.131 4.9045
2.000000 64.637 4.6034
2.030000 65.185 4.1806
2.060000 65.682 3.1544
2.090000 66.138 1.4845
2.120000 66.556 -0.6949
2.140000 66.817 -2.3648
2.180000 67.301 -6.0463
2.200000 67.528 -7.9785
2.240000 67.956 -11.8272
2.270000 68.261 -14.5435
2.300000 68.559 -16.9650
2.330000 68.852 -18.9575
2.360000 69.147 -20.3909
2.400000 69.523 -21.6110
2.430000 69.787 -22.1643
2.470000 70.116 -22.5291
2.500000 70.348 -22.5978
2.540000 70.640 -22.5257
2.580000 70.917 -22.3916
2.620000 71.182 -22.3321
2.650000 71.374 -22.4186
2.690000 71.626 -22.8182
2.720000 71.808 -23.3363
2.760000 72.036 -24.1854
2.800000 72.249 -25.1663
2.850000 72.498 -26.4958
2.900000 72.732 -27.8423
2.950000 72.957 -29.1010
3.000000 73.178 -30.1670
3.040000 73.354 -30.8160
3.070000 73.481 -31.2101
3.110000 73.644 -31.6470
3.150000 73.799 -31.9956
3.200000 73.988 -32.3288
3.250000 74.174 -32.5737
3.300000 74.362 -32.7581
3.350000 74.556 -32.9096
3.400000 74.757 -33.0164
3.450000 74.959 -33.0031
3.500000 75.162 -32.9068
3.550000 75.367 -32.7720
3.600000 75.577 -32.6428
3.650000 75.792 -32.5634
3.700000 76.014 -32.5781
3.750000 76.244 -32.6854
3.820000 76.578 -32.9214
3.870000 76.823 -33.1378
3.950000 77.220 -33.5403
4.000000 77.469 -33.8118
4.060000 77.767 -34.1384
4.120000 78.070 -34.4373
4.180000 78.377 -34.7403
4.250000 78.734 -35.1586
4.310000 79.034 -35.6237
4.370000 79.325 -36.2342
4.440000 79.653 -37.1695
4.500000 79.930 -38.1292
4.550000 80.156 -39.0067
4.620000 80.460 -40.3026
4.680000 80.709 -41.4283
4.750000 80.982 -42.7173
4.820000 81.240 -44.0351
4.870000 81.415 -44.9992
4.940000 81.647 -46.3797
5.000000 81.833 -47.5907
5.080000 82.061 -49.2501
5.150000 82.241 -50.7742
5.220000 82.404 -52.3381
5.300000 82.572 -54.1242
5.380000 82.721 -55.8535
5.450000 82.834 -57.3177
5.520000 82.931 -58.7649
5.600000 83.024 -60.3771
5.700000 83.120 -62.2940
5.800000 83.194 -64.0864
5.900000 83.242 -65.7768
6.000000 83.275 -67.3370
6.080000 83.297 -68.4724
6.150000 83.307 -69.3860
6.220000 83.312 -70.2291
6.300000 83.314 -71.1076
6.400000 83.322 -72.0801
6.500000 83.332 -72.8875
6.600000 83.344 -73.5518
6.700000 83.366 -74.1334
6.800000 83.403 -74.6591
6.900000 83.451 -75.0940
7.000000 83.511 -75.4901
7.100000 83.583 -75.8979
7.200000 83.670 -76.2880
7.300000 83.768 -76.6793
7.400000 83.871 -77.1138
7.500000 83.979 -77.6048
7.620000 84.119 -78.2457
7.750000 84.269 -79.0012
7.880000 84.418 -79.8314
8.000000 84.554 -80.6470
8.120000 84.684 -81.4814
8.250000 84.818 -82.4191
8.380000 84.947 -83.3663
8.500000 85.061 -84.2271
8.620000 85.170 -85.0843
8.750000 85.286 -85.9959
8.850000 85.374 -86.6795
9.000000 85.503 -87.6842
9.120000 85.606 -88.4763
9.250000 85.718 -89.3210
9.380000 85.829 -90.1563
9.500000 85.930 -90.9240
9.620000 86.032 -91.6868
9.750000 86.140 -92.5082
9.880000 86.246 -93.3270
10.000000 86.342 -94.0780
10.150000 86.460 -95.0014
10.300000 86.575 -95.9087
10.440000 86.681 -96.7391
10.600000 86.801 -97.6651
10.750000 86.912 -98.5179
10.900000 87.023 -99.3587
11.060000 87.141 -100.2473
11.200000 87.243 -101.0310
11.380000 87.373 -102.0440
11.500000 87.456 -102.7276
11.720000 87.603 -103.9967
11.800000 87.652 -104.4557
12.060000 87.800 -105.9421
12.200000 87.871 -106.7079
12.410000 87.967 -107.8049
12.500000 88.007 -108.2440
12.650000 88.069 -108.9352
12.800000 88.132 -109.5827
13.150000 88.289 -110.9390
13.200000 88.314 -111.1249
13.400000 88.418 -111.8618
13.600000 88.528 -112.6479
13.800000 88.641 -113.4915
14.000000 88.748 -114.4231
14.300000 88.886 -115.9314
14.500000 88.956 -116.9634
14.750000 89.017 -118.2139
15.000000 89.056 -119.3175
15.250000 89.084 -120.2396
15.500000 89.116 -120.9778
15.750000 89.165 -121.5766
16.000000 89.236 -122.1456
16.250000 89.325 -122.7605
16.500000 89.424 -123.4758
16.750000 89.521 -124.3146
17.000000 89.604 -125.2281
17.250000 89.671 -126.1599
17.500000 89.722 -127.0555
17.750000 89.765 -127.8636
18.000000 89.808 -128.5847
18.250000 89.856 -129.2440
18.500000 89.913 -129.8759
18.750000 89.978 -130.5296
19.000000 90.044 -131.2258
19.250000 90.107 -131.9618
19.500000 90.163 -132.7239
19.750000 90.210 -133.4774
20.000000 90.251 -134.1974
20.299999 90.296 -135.0041
20.600000 90.343 -135.7550
20.900000 90.393 -136.4795
21.200001 90.445 -137.2113
21.400000 90.480 -137.7135
21.799999 90.543 -138.7411
22.000000 90.570 -139.2534
22.400000 90.613 -140.2416
22.700001 90.641 -140.9305
23.000000 90.669 -141.5753
23.299999 90.699 -142.1900
23.600000 90.732 -142.7938
24.000000 90.777 -143.6073
24.299999 90.810 -144.2282
24.700001 90.850 -145.0589
25.000000 90.876 -145.6705
25.400000 90.909 -146.4584
25.799999 90.942 -147.2175
26.200001 90.976 -147.9656
26.500000 91.002 -148.5310
26.900000 91.035 -149.2969
27.200001 91.058 -149.8779
27.600000 91.084 -150.6519
28.000000 91.106 -151.4174
28.500000 91.126 -152.3578
29.000000 91.139 -153.2668
29.500000 91.143 -154.1087
30.000000 91.146 -154.8501
30.400000 91.156 -155.3863
30.700001 91.169 -155.7833
31.100000 91.192 -156.3419
31.500000 91.215 -156.9511
32.000000 91.234 -157.7490
32.500000 91.242 -158.5131
33.000000 91.248 -159.2076
33.500000 91.258 -159.8688
34.000000 91.271 -160.5425
34.500000 91.279 -161.2227
35.000000 91.282 -161.8739
35.500000 91.286 -162.4934
36.000000 91.293 -163.1174
36.500000 91.295 -163.7643
37.000000 91.291 -164.4023
37.500000 91.281 -164.9896
38.200001 91.273 -165.7444
38.700001 91.273 -166.2939
39.500000 91.266 -167.2077
40.000000 91.256 -167.7446
40.599998 91.249 -168.3405
41.200001 91.248 -168.9429
41.799999 91.246 -169.5773
42.500000 91.233 -170.2914
43.099998 91.221 -170.8456
43.700001 91.213 -171.3870
44.400002 91.199 -172.0342
45.000000 91.180 -172.5700
45.500000 91.164 -172.9953
46.200001 91.140 -173.5886
46.799999 91.118 -174.1080
47.500000 91.091 -174.7400
48.200001 91.055 -175.4420
48.700001 91.013 -175.9415
49.400002 90.939 -176.4361
50.000000 90.894 -176.6205
50.799999 90.900 -176.8720
51.500000 90.930 -177.3865
52.200001 90.938 -178.0555
53.000000 90.927 -178.7693
53.799999 90.909 -179.4197
54.500000 90.885 -179.9271
55.200001 90.861 179.6457
56.000000 90.839 179.1765
57.000000 90.801 178.5572
58.000000 90.752 178.0001
59.000000 90.705 177.4755
60.000000 90.658 176.9454
60.799999 90.622 176.5329
61.500000 90.595 176.1581
62.200001 90.566 175.7687
63.000000 90.529 175.3440
64.000000 90.486 174.8590
65.000000 90.445 174.3989
66.000000 90.408 173.9594
67.000000 90.371 173.4973
68.000000 90.327 173.0253
69.000000 90.277 172.5868
70.000000 90.224 172.1962
71.000000 90.175 171.8618
72.000000 90.136 171.5339
73.000000 90.101 171.1525
74.000000 90.060 170.7343
75.000000 90.012 170.3263
76.199997 89.949 169.8997
77.500000 89.887 169.5224
78.800003 89.834 169.1684
80.000000 89.791 168.8324
81.199997 89.745 168.4686
82.500000 89.687 168.1159
83.800003 89.630 167.7912
85.000000 89.572 167.4620
86.199997 89.509 167.1822
87.500000 89.451 166.8783
88.500000 89.408 166.6063
90.000000 89.343 166.2350
91.199997 89.298 165.9722
92.500000 89.252 165.7232
93.800003 89.207 165.5061
95.000000 89.163 165.3105
96.199997 89.113 165.0993
97.500000 89.050 164.8440
98.800003 88.980 164.5903
100.000000 88.919 164.4119
101.500000 88.867 164.1700
103.000000 88.818 163.8768
104.400002 88.771 163.6612
106.000000 88.714 163.4572
107.500000 88.654 163.3002
109.000000 88.593 163.1439
110.599998 88.531 162.9461
112.000000 88.477 162.7523
113.800003 88.407 162.5234
115.000000 88.360 162.4173
117.199997 88.280 162.2902
118.000000 88.252 162.2330
120.599998 88.156 161.9929
122.000000 88.103 161.8812
124.099998 88.029 161.7461
125.000000 87.999 161.6967
126.500000 87.950 161.6205
128.000000 87.900 161.5445
131.500000 87.778 161.3525
132.000000 87.761 161.3225
134.000000 87.696 161.2052
136.000000 87.634 161.1175
138.000000 87.571 161.0766
140.000000 87.506 161.0361
143.000000 87.413 160.9355
145.000000 87.365 160.9105
147.500000 87.320 161.0585
150.000000 87.280 161.1341
152.500000 87.176 160.9691
155.000000 87.063 160.8843
157.500000 86.982 160.8302
160.000000 86.915 160.8398
162.500000 86.847 160.8812
165.000000 86.780 160.9113
167.500000 86.716 160.9398
170.000000 86.650 160.9851
172.500000 86.584 161.0320
175.000000 86.520 161.0678
177.500000 86.458 161.1267
180.000000 86.399 161.2119
182.500000 86.338 161.3028
185.000000 86.279 161.3994
187.500000 86.221 161.5093
190.000000 86.168 161.6247
192.500000 86.115 161.7157
195.000000 86.061 161.7834
197.500000 86.005 161.8551
200.000000 85.954 161.9622
203.000000 85.898 162.1183
206.000000 85.841 162.2618
209.000000 85.784 162.3993
212.000000 85.728 162.5431
214.000000 85.691 162.6435
218.000000 85.614 162.8544
220.000000 85.575 162.9627
224.000000 85.502 163.1935
227.000000 85.451 163.3772
230.000000 85.400 163.5513
233.000000 85.349 163.7284
236.000000 85.300 163.9216
240.000000 85.238 164.1750
243.000000 85.193 164.3766
247.000000 85.126 164.7247
250.000000 85.079 164.9729
254.000000 85.028 165.1213
258.000000 84.975 165.2772
262.000000 84.917 165.5231
265.000000 84.874 165.7346
269.000000 84.821 166.0376
272.000000 84.784 166.2667
276.000000 84.737 166.5591
280.000000 84.688 166.8445
285.000000 84.632 167.2029
290.000000 84.583 167.5671
295.000000 84.539 167.9154
300.000000 84.497 168.2495
304.000000 84.461 168.5269
