* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23/05/2023 8:41:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EW100P R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 52.264 74.8571
1.015000 52.509 73.5299
1.030000 52.753 72.2859
1.044000 52.981 71.1927
1.060000 53.242 70.0176
1.075000 53.486 68.9821
1.090000 53.730 68.0048
1.106000 53.990 67.0203
1.120000 54.217 66.2026
1.138000 54.507 65.2037
1.150000 54.701 64.5661
1.172000 55.053 63.4452
1.180000 55.180 63.0502
1.206000 55.592 61.7993
1.220000 55.812 61.1391
1.241000 56.140 60.1538
1.250000 56.279 59.7301
1.265000 56.509 59.0175
1.280000 56.738 58.2921
1.315000 57.262 56.5176
1.320000 57.336 56.2517
1.340000 57.628 55.1489
1.360000 57.916 53.9877
1.380000 58.201 52.8039
1.400000 58.482 51.6034
1.430000 58.898 49.7795
1.450000 59.172 48.5537
1.475000 59.509 47.0168
1.500000 59.842 45.4818
1.525000 60.170 43.9558
1.550000 60.493 42.4463
1.575000 60.811 40.9605
1.600000 61.125 39.5059
1.625000 61.434 38.0896
1.650000 61.738 36.7191
1.675000 62.038 35.4017
1.700000 62.333 34.1420
1.725000 62.622 32.9336
1.750000 62.906 31.7704
1.775000 63.186 30.6470
1.800000 63.460 29.5576
1.825000 63.730 28.4966
1.850000 63.995 27.4584
1.875000 64.256 26.4373
1.900000 64.513 25.4277
1.925000 64.765 24.4240
1.950000 65.014 23.4205
1.975000 65.260 22.4116
2.000000 65.502 21.3917
2.030000 65.788 20.1477
2.060000 66.068 18.9007
2.090000 66.341 17.6576
2.120000 66.609 16.4194
2.140000 66.784 15.5972
2.180000 67.127 13.9620
2.200000 67.295 13.1495
2.240000 67.625 11.5364
2.270000 67.866 10.3380
2.300000 68.103 9.1507
2.330000 68.336 7.9754
2.360000 68.566 6.8130
2.400000 68.864 5.2776
2.430000 69.081 4.1357
2.470000 69.364 2.6273
2.500000 69.570 1.5078
2.540000 69.838 0.0323
2.580000 70.099 -1.4217
2.620000 70.354 -2.8524
2.650000 70.540 -3.9090
2.690000 70.783 -5.2942
2.720000 70.962 -6.3132
2.760000 71.193 -7.6436
2.800000 71.416 -8.9460
2.850000 71.686 -10.5411
2.900000 71.946 -12.1077
2.950000 72.197 -13.6542
3.000000 72.440 -15.1892
3.040000 72.628 -16.4147
3.070000 72.766 -17.3349
3.110000 72.944 -18.5601
3.150000 73.115 -19.7783
3.200000 73.322 -21.2830
3.250000 73.521 -22.7577
3.300000 73.713 -24.1916
3.350000 73.898 -25.5742
3.400000 74.077 -26.8984
3.450000 74.248 -28.1718
3.500000 74.411 -29.4007
3.550000 74.567 -30.5913
3.600000 74.718 -31.7494
3.650000 74.863 -32.8812
3.700000 75.004 -33.9925
3.750000 75.140 -35.0872
3.820000 75.320 -36.5840
3.870000 75.442 -37.6197
3.950000 75.630 -39.2036
4.000000 75.743 -40.1388
4.060000 75.877 -41.1964
4.120000 76.005 -42.1833
4.180000 76.128 -43.1076
4.250000 76.267 -44.1187
4.310000 76.385 -44.9375
4.370000 76.503 -45.7213
4.440000 76.641 -46.5861
4.500000 76.756 -47.2768
4.550000 76.852 -47.8212
4.620000 76.986 -48.5422
4.680000 77.104 -49.1283
4.750000 77.244 -49.7760
4.820000 77.387 -50.3655
4.870000 77.491 -50.7589
4.940000 77.638 -51.2864
5.000000 77.766 -51.7303
5.080000 77.942 -52.3265
5.150000 78.101 -52.8284
5.220000 78.263 -53.3175
5.300000 78.451 -53.8796
5.380000 78.641 -54.4663
5.450000 78.808 -55.0013
5.520000 78.979 -55.5459
5.600000 79.176 -56.1862
5.700000 79.418 -57.0243
5.800000 79.657 -57.9134
5.900000 79.895 -58.8469
6.000000 80.127 -59.8174
6.080000 80.305 -60.6163
6.150000 80.457 -61.3400
6.220000 80.605 -62.0825
6.300000 80.769 -62.9425
6.400000 80.965 -64.0148
6.500000 81.150 -65.0917
6.600000 81.325 -66.1735
6.700000 81.491 -67.2372
6.800000 81.648 -68.2709
6.900000 81.795 -69.2871
7.000000 81.935 -70.2723
7.100000 82.070 -71.2124
7.200000 82.199 -72.1095
7.300000 82.323 -72.9680
7.400000 82.445 -73.7902
7.500000 82.567 -74.5713
7.620000 82.710 -75.4589
7.750000 82.866 -76.3869
7.880000 83.025 -77.2770
8.000000 83.172 -78.0756
8.120000 83.320 -78.8807
8.250000 83.483 -79.7513
8.380000 83.644 -80.6334
8.500000 83.791 -81.4724
8.620000 83.936 -82.3297
8.750000 84.088 -83.2746
8.850000 84.200 -84.0162
9.000000 84.361 -85.1456
9.120000 84.481 -86.0447
9.250000 84.604 -87.0203
9.380000 84.718 -87.9818
9.500000 84.816 -88.8412
9.620000 84.908 -89.6799
9.750000 85.003 -90.5537
9.880000 85.092 -91.3844
10.000000 85.171 -92.1169
10.150000 85.268 -92.9868
10.300000 85.362 -93.8030
10.440000 85.450 -94.5302
10.600000 85.551 -95.3223
10.750000 85.647 -96.0366
10.900000 85.743 -96.7341
11.060000 85.847 -97.4601
11.200000 85.938 -98.0900
11.380000 86.057 -98.8906
11.500000 86.135 -99.4239
11.720000 86.280 -100.3998
11.800000 86.333 -100.7584
12.060000 86.504 -101.9358
12.200000 86.595 -102.5899
12.410000 86.729 -103.6001
12.500000 86.784 -104.0485
12.650000 86.875 -104.8165
12.800000 86.959 -105.6040
13.150000 87.126 -107.5033
13.200000 87.145 -107.7748
13.400000 87.214 -108.8495
13.600000 87.266 -109.8519
13.800000 87.304 -110.7629
14.000000 87.333 -111.5389
14.300000 87.380 -112.4411
14.500000 87.423 -112.8923
14.750000 87.502 -113.3343
15.000000 87.614 -113.7731
15.250000 87.752 -114.3064
15.500000 87.906 -115.0042
15.750000 88.060 -115.9082
16.000000 88.197 -116.9750
16.250000 88.310 -118.1329
16.500000 88.396 -119.3082
16.750000 88.459 -120.4137
17.000000 88.508 -121.4000
17.250000 88.553 -122.2661
17.500000 88.600 -123.0263
17.750000 88.657 -123.7262
18.000000 88.721 -124.4152
18.250000 88.790 -125.1158
18.500000 88.859 -125.8412
18.750000 88.924 -126.5823
19.000000 88.984 -127.3158
19.250000 89.040 -128.0278
19.500000 89.093 -128.7077
19.750000 89.147 -129.3577
20.000000 89.203 -129.9929
20.299999 89.272 -130.7527
20.600000 89.341 -131.5266
20.900000 89.407 -132.3175
21.200001 89.467 -133.1154
21.400000 89.504 -133.6434
21.799999 89.573 -134.6784
22.000000 89.605 -135.1841
22.400000 89.665 -136.1756
22.700001 89.707 -136.9049
23.000000 89.746 -137.6206
23.299999 89.783 -138.3191
23.600000 89.818 -138.9978
24.000000 89.863 -139.8737
24.299999 89.896 -140.5145
24.700001 89.939 -141.3526
25.000000 89.971 -141.9676
25.400000 90.013 -142.7660
25.799999 90.055 -143.5451
26.200001 90.098 -144.3220
26.500000 90.129 -144.9097
26.900000 90.164 -145.6866
27.200001 90.186 -146.2446
27.600000 90.212 -146.9305
28.000000 90.242 -147.5573
28.500000 90.287 -148.3273
29.000000 90.330 -149.1438
29.500000 90.355 -149.9402
30.000000 90.374 -150.5881
30.400000 90.401 -151.0113
30.700001 90.433 -151.3414
31.100000 90.486 -151.8923
31.500000 90.530 -152.6036
32.000000 90.547 -153.5868
32.500000 90.522 -154.4300
33.000000 90.488 -155.0086
33.500000 90.472 -155.4110
34.000000 90.476 -155.7689
34.500000 90.497 -156.1274
35.000000 90.540 -156.5441
35.500000 90.600 -157.1633
36.000000 90.647 -158.0707
36.500000 90.646 -159.1134
37.000000 90.600 -159.9843
37.500000 90.552 -160.5356
38.200001 90.549 -161.1421
38.700001 90.571 -161.7876
39.500000 90.562 -163.0246
40.000000 90.539 -163.6059
40.599998 90.546 -164.1400
41.200001 90.587 -164.8277
41.799999 90.614 -165.7454
42.500000 90.595 -166.7128
43.099998 90.575 -167.2335
43.700001 90.583 -167.6420
44.400002 90.603 -168.2127
45.000000 90.608 -168.7161
45.500000 90.611 -169.1153
46.200001 90.609 -169.7747
46.799999 90.577 -170.4250
47.500000 90.502 -170.9786
48.200001 90.450 -171.2905
48.700001 90.438 -171.6067
49.400002 90.414 -172.2922
50.000000 90.373 -172.8801
50.799999 90.335 -173.5698
51.500000 90.314 -174.3039
52.200001 90.266 -174.9911
53.000000 90.225 -175.3864
53.799999 90.246 -175.7193
54.500000 90.269 -176.2016
55.200001 90.269 -176.6456
56.000000 90.272 -176.9783
57.000000 90.299 -177.5318
58.000000 90.281 -178.4066
59.000000 90.198 -179.1287
60.000000 90.125 -179.5887
60.799999 90.083 179.9808
61.500000 90.043 179.5955
62.200001 90.011 179.2805
63.000000 89.997 178.9117
64.000000 89.986 178.2934
65.000000 89.950 177.6628
66.000000 89.898 177.2537
67.000000 89.863 177.0113
68.000000 89.840 176.6967
69.000000 89.803 176.3246
70.000000 89.755 175.9294
71.000000 89.692 175.5652
72.000000 89.635 175.2943
73.000000 89.596 174.9528
74.000000 89.557 174.5495
75.000000 89.521 174.0958
76.199997 89.451 173.6031
77.500000 89.395 173.4827
78.800003 89.393 173.2334
80.000000 89.368 172.8033
81.199997 89.326 172.3769
82.500000 89.270 171.8465
83.800003 89.199 171.2758
85.000000 89.128 170.8454
86.199997 89.076 170.5093
87.500000 89.028 170.0855
88.500000 88.981 169.7783
90.000000 88.893 169.3775
91.199997 88.808 169.2598
92.500000 88.764 169.3036
93.800003 88.767 169.1405
95.000000 88.770 168.8257
96.199997 88.751 168.5541
97.500000 88.721 168.5061
98.800003 88.707 168.4885
100.000000 88.676 168.1947
101.500000 88.561 167.7665
103.000000 88.446 167.5560
104.400002 88.374 167.2761
106.000000 88.312 166.8925
107.500000 88.259 166.6285
109.000000 88.209 166.4934
110.599998 88.155 166.4031
112.000000 88.104 166.3093
113.800003 88.038 166.1651
115.000000 87.997 166.0511
117.199997 87.925 165.8423
118.000000 87.898 165.7781
120.599998 87.807 165.5925
122.000000 87.760 165.4898
124.099998 87.693 165.3424
125.000000 87.665 165.2999
126.500000 87.619 165.2596
128.000000 87.572 165.2293
131.500000 87.458 165.1250
132.000000 87.443 165.1097
134.000000 87.391 165.0543
136.000000 87.343 165.0282
138.000000 87.295 165.0020
140.000000 87.246 164.9373
143.000000 87.177 164.8318
145.000000 87.125 164.8348
147.500000 87.036 164.9706
150.000000 86.963 165.1246
152.500000 86.917 164.8379
155.000000 86.859 164.5450
157.500000 86.803 164.4818
160.000000 86.741 164.4991
162.500000 86.675 164.5102
165.000000 86.617 164.5290
167.500000 86.562 164.5618
170.000000 86.504 164.5930
172.500000 86.445 164.6165
175.000000 86.388 164.6483
177.500000 86.330 164.7049
180.000000 86.273 164.7708
182.500000 86.218 164.8334
185.000000 86.165 164.9096
187.500000 86.117 165.0058
190.000000 86.070 165.0957
192.500000 86.022 165.1776
195.000000 85.974 165.2711
197.500000 85.925 165.3882
200.000000 85.879 165.5143
203.000000 85.827 165.6267
206.000000 85.774 165.7199
209.000000 85.721 165.8378
212.000000 85.670 165.9753
214.000000 85.636 166.0737
218.000000 85.571 166.2787
220.000000 85.540 166.3853
224.000000 85.480 166.6118
227.000000 85.436 166.7783
230.000000 85.393 166.9500
233.000000 85.353 167.1339
236.000000 85.316 167.3187
240.000000 85.269 167.5441
243.000000 85.232 167.6862
247.000000 85.177 167.7870
250.000000 85.137 167.8882
254.000000 85.094 168.1882
258.000000 85.051 168.4757
262.000000 85.005 168.6974
265.000000 84.972 168.8619
269.000000 84.928 169.0893
272.000000 84.897 169.2648
276.000000 84.855 169.4902
280.000000 84.814 169.7124
285.000000 84.764 170.0099
290.000000 84.714 170.3149
295.000000 84.665 170.6080
300.000000 84.619 170.8958
304.000000 84.583 171.1293
307.000000 84.557 171.3062
311.000000 84.523 171.5471
315.000000 84.490 171.7963
320.000000 84.450 172.1155
