* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -34.4 dBFS, measurement signal peak level -28.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 08/08/2024 6:47:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0265 ms (-9.1 mm, -0.36 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: EW300 DSP Pink L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 45.565 55.0246
1.015000 45.808 54.3088
1.030000 46.047 53.6106
1.044000 46.269 52.9767
1.060000 46.519 52.2756
1.075000 46.751 51.6435
1.090000 46.981 51.0378
1.106000 47.222 50.4232
1.120000 47.431 49.9097
1.138000 47.695 49.2800
1.150000 47.869 48.8778
1.172000 48.184 48.1734
1.180000 48.296 47.9269
1.206000 48.658 47.1572
1.220000 48.850 46.7601
1.241000 49.134 46.1832
1.250000 49.254 45.9418
1.265000 49.453 45.5457
1.280000 49.650 45.1560
1.315000 50.103 44.2609
1.320000 50.167 44.1337
1.340000 50.420 43.6237
1.360000 50.672 43.1087
1.380000 50.920 42.5844
1.400000 51.167 42.0465
1.430000 51.534 41.2047
1.450000 51.776 40.6139
1.475000 52.077 39.8363
1.500000 52.374 39.0283
1.525000 52.666 38.1972
1.550000 52.954 37.3472
1.575000 53.238 36.4824
1.600000 53.517 35.6070
1.625000 53.793 34.7249
1.650000 54.065 33.8405
1.675000 54.333 32.9577
1.700000 54.597 32.0806
1.725000 54.859 31.2135
1.750000 55.117 30.3605
1.775000 55.371 29.5255
1.800000 55.623 28.7128
1.825000 55.873 27.9265
1.850000 56.119 27.1670
1.875000 56.361 26.4263
1.900000 56.599 25.7025
1.925000 56.834 24.9938
1.950000 57.065 24.2984
1.975000 57.293 23.6146
2.000000 57.517 22.9407
2.030000 57.783 22.1425
2.060000 58.044 21.3531
2.090000 58.302 20.5693
2.120000 58.556 19.7882
2.140000 58.723 19.2674
2.180000 59.054 18.2219
2.200000 59.218 17.6954
2.240000 59.539 16.6413
2.270000 59.776 15.8532
2.300000 60.008 15.0680
2.330000 60.236 14.2865
2.360000 60.461 13.5093
2.400000 60.755 12.4813
2.430000 60.972 11.7174
2.470000 61.257 10.7098
2.500000 61.468 9.9632
2.540000 61.745 8.9813
2.580000 62.018 8.0159
2.620000 62.285 7.0635
2.650000 62.482 6.3571
2.690000 62.740 5.4262
2.720000 62.930 4.7364
2.760000 63.179 3.8281
2.800000 63.424 2.9334
2.850000 63.725 1.8346
2.900000 64.021 0.7582
2.950000 64.312 -0.2943
3.000000 64.597 -1.3170
3.040000 64.820 -2.1156
3.070000 64.985 -2.7048
3.110000 65.202 -3.4794
3.150000 65.415 -4.2436
3.200000 65.677 -5.1882
3.250000 65.936 -6.1253
3.300000 66.191 -7.0599
3.350000 66.442 -7.9912
3.400000 66.688 -8.9151
3.450000 66.929 -9.8298
3.500000 67.166 -10.7333
3.550000 67.400 -11.6237
3.600000 67.630 -12.4991
3.650000 67.857 -13.3576
3.700000 68.081 -14.1962
3.750000 68.301 -15.0135
3.820000 68.604 -16.1293
3.870000 68.816 -16.9117
3.950000 69.149 -18.1494
4.000000 69.353 -18.9205
4.060000 69.595 -19.8486
4.120000 69.832 -20.7747
4.180000 70.065 -21.6954
4.250000 70.331 -22.7594
4.310000 70.555 -23.6597
4.370000 70.776 -24.5468
4.440000 71.028 -25.5620
4.500000 71.239 -26.4164
4.550000 71.413 -27.1188
4.620000 71.651 -28.0901
4.680000 71.851 -28.9137
4.750000 72.081 -29.8670
4.820000 72.305 -30.8141
4.870000 72.463 -31.4855
4.940000 72.679 -32.4169
5.000000 72.860 -33.2058
5.080000 73.098 -34.2421
5.150000 73.302 -35.1321
5.220000 73.501 -36.0068
5.300000 73.723 -36.9892
5.380000 73.941 -37.9547
5.450000 74.128 -38.7869
5.520000 74.311 -39.6080
5.600000 74.517 -40.5307
5.700000 74.768 -41.6618
5.800000 75.013 -42.7719
5.900000 75.252 -43.8640
6.000000 75.486 -44.9349
6.080000 75.670 -45.7777
6.150000 75.827 -46.5068
6.220000 75.982 -47.2294
6.300000 76.157 -48.0464
6.400000 76.371 -49.0528
6.500000 76.579 -50.0460
6.600000 76.783 -51.0295
6.700000 76.982 -52.0044
6.800000 77.176 -52.9688
6.900000 77.365 -53.9213
7.000000 77.550 -54.8613
7.100000 77.729 -55.7896
7.200000 77.903 -56.7055
7.300000 78.074 -57.6075
7.400000 78.239 -58.4952
7.500000 78.400 -59.3697
7.620000 78.588 -60.3994
7.750000 78.786 -61.4878
7.880000 78.978 -62.5478
8.000000 79.151 -63.5040
8.120000 79.320 -64.4403
8.250000 79.500 -65.4299
8.380000 79.675 -66.4000
8.500000 79.835 -67.2822
8.620000 79.992 -68.1487
8.750000 80.160 -69.0768
8.850000 80.287 -69.7871
9.000000 80.475 -70.8420
9.120000 80.623 -71.6820
9.250000 80.780 -72.5917
9.380000 80.934 -73.4992
9.500000 81.074 -74.3368
9.620000 81.210 -75.1755
9.750000 81.355 -76.0844
9.880000 81.496 -76.9939
10.000000 81.623 -77.8346
10.150000 81.777 -78.8860
10.300000 81.925 -79.9349
10.440000 82.058 -80.9135
10.600000 82.203 -82.0240
10.750000 82.332 -83.0550
10.900000 82.456 -84.0742
11.060000 82.580 -85.1327
11.200000 82.683 -86.0379
11.380000 82.810 -87.1545
11.500000 82.890 -87.8657
11.720000 83.035 -89.1004
11.800000 83.087 -89.5234
12.060000 83.259 -90.8166
12.200000 83.357 -91.4739
12.410000 83.511 -92.4221
12.500000 83.581 -92.8355
12.650000 83.703 -93.5212
12.800000 83.828 -94.2358
13.150000 84.129 -96.0908
13.200000 84.171 -96.3803
13.400000 84.335 -97.6098
13.600000 84.484 -98.9164
13.800000 84.614 -100.2991
14.000000 84.721 -101.6778
14.300000 84.838 -103.6820
14.500000 84.889 -104.8874
14.750000 84.939 -106.1923
15.000000 84.983 -107.2544
15.250000 85.039 -108.0960
15.500000 85.116 -108.8150
15.750000 85.218 -109.4805
16.000000 85.342 -110.2044
16.250000 85.473 -111.0366
16.500000 85.603 -111.9825
16.750000 85.721 -113.0271
17.000000 85.821 -114.0969
17.250000 85.904 -115.1520
17.500000 85.975 -116.1423
17.750000 86.040 -117.0509
18.000000 86.105 -117.8920
18.250000 86.174 -118.6838
18.500000 86.248 -119.4719
18.750000 86.325 -120.2746
19.000000 86.401 -121.1087
19.250000 86.473 -121.9724
19.500000 86.538 -122.8499
19.750000 86.597 -123.7291
20.000000 86.649 -124.5895
20.299999 86.706 -125.5895
20.600000 86.759 -126.5513
20.900000 86.810 -127.4804
21.200001 86.861 -128.3855
21.400000 86.894 -128.9790
21.799999 86.960 -130.1443
22.000000 86.992 -130.7174
22.400000 87.057 -131.8471
22.700001 87.106 -132.6837
23.000000 87.154 -133.5150
23.299999 87.202 -134.3431
23.600000 87.248 -135.1684
24.000000 87.308 -136.2652
24.299999 87.351 -137.0853
24.700001 87.404 -138.1735
25.000000 87.439 -138.9802
25.400000 87.479 -140.0298
25.799999 87.514 -141.0309
26.200001 87.546 -141.9744
26.500000 87.571 -142.6498
26.900000 87.605 -143.5244
27.200001 87.632 -144.1734
27.600000 87.667 -145.0389
28.000000 87.700 -145.9035
28.500000 87.737 -146.9731
29.000000 87.769 -148.0270
29.500000 87.797 -149.0686
30.000000 87.820 -150.0912
30.400000 87.836 -150.8859
30.700001 87.847 -151.4676
31.100000 87.863 -152.2339
31.500000 87.879 -153.0037
32.000000 87.896 -153.9802
32.500000 87.905 -154.9491
33.000000 87.908 -155.8665
33.500000 87.912 -156.7179
34.000000 87.921 -157.5351
34.500000 87.934 -158.3607
35.000000 87.944 -159.2022
35.500000 87.950 -160.0331
36.000000 87.951 -160.8304
36.500000 87.952 -161.5976
37.000000 87.952 -162.3501
37.500000 87.949 -163.0898
38.200001 87.943 -164.0919
38.700001 87.939 -164.7931
39.500000 87.931 -165.9338
40.000000 87.920 -166.6510
40.599998 87.902 -167.4840
41.200001 87.883 -168.2766
41.799999 87.867 -169.0478
42.500000 87.850 -169.9436
43.099998 87.835 -170.7034
43.700001 87.817 -171.4360
44.400002 87.798 -172.2489
45.000000 87.784 -172.9319
45.500000 87.770 -173.5003
46.200001 87.745 -174.2704
46.799999 87.720 -174.8972
47.500000 87.685 -175.6228
48.200001 87.633 -176.2887
48.700001 87.593 -176.6501
49.400002 87.560 -177.0336
50.000000 87.561 -177.4630
50.799999 87.557 -178.3611
51.500000 87.515 -179.2235
52.200001 87.461 -179.9484
53.000000 87.413 179.2819
53.799999 87.364 178.4708
54.500000 87.315 177.8208
55.200001 87.272 177.2531
56.000000 87.236 176.6119
57.000000 87.188 175.7740
58.000000 87.130 174.9846
59.000000 87.067 174.2603
60.000000 87.001 173.5908
60.799999 86.949 173.0776
61.500000 86.905 172.6217
62.200001 86.860 172.1610
63.000000 86.807 171.6459
64.000000 86.740 171.0301
65.000000 86.675 170.4379
66.000000 86.609 169.8655
67.000000 86.540 169.3494
68.000000 86.477 168.8747
69.000000 86.416 168.3740
70.000000 86.348 167.8650
71.000000 86.276 167.3951
72.000000 86.205 166.9622
73.000000 86.137 166.5500
74.000000 86.071 166.1556
75.000000 86.008 165.7663
76.199997 85.932 165.3034
77.500000 85.848 164.8215
78.800003 85.761 164.3647
80.000000 85.681 163.9871
81.199997 85.603 163.6312
82.500000 85.519 163.2626
83.800003 85.438 162.9127
85.000000 85.364 162.5923
86.199997 85.290 162.2941
87.500000 85.212 161.9934
88.500000 85.153 161.7776
90.000000 85.067 161.4743
91.199997 84.997 161.2377
92.500000 84.920 161.0009
93.800003 84.844 160.7807
95.000000 84.776 160.5761
96.199997 84.711 160.3680
97.500000 84.642 160.1505
98.800003 84.576 159.9384
100.000000 84.512 159.7600
101.500000 84.431 159.6071
103.000000 84.354 159.4872
104.400002 84.285 159.3761
106.000000 84.209 159.2378
107.500000 84.140 159.0895
109.000000 84.071 158.9431
110.599998 83.999 158.8027
112.000000 83.937 158.6920
113.800003 83.856 158.5678
115.000000 83.803 158.4998
117.199997 83.711 158.3791
118.000000 83.677 158.3298
120.599998 83.567 158.1778
122.000000 83.508 158.1098
124.099998 83.422 158.0245
125.000000 83.388 157.9891
126.500000 83.333 157.9269
128.000000 83.279 157.8698
131.500000 83.154 157.7798
132.000000 83.136 157.7646
134.000000 83.058 157.6950
136.000000 82.977 157.6442
138.000000 82.901 157.6261
140.000000 82.832 157.6225
143.000000 82.726 157.6236
145.000000 82.655 157.5759
147.500000 82.578 157.4095
150.000000 82.492 157.2512
152.500000 82.402 157.4305
155.000000 82.326 157.6497
157.500000 82.245 157.7600
160.000000 82.168 157.7938
162.500000 82.095 157.8225
165.000000 82.024 157.8959
167.500000 81.954 157.9786
170.000000 81.879 158.0689
172.500000 81.804 158.1856
175.000000 81.733 158.2990
177.500000 81.665 158.4132
180.000000 81.597 158.5464
182.500000 81.532 158.6952
185.000000 81.467 158.8343
187.500000 81.403 158.9814
190.000000 81.343 159.1403
192.500000 81.285 159.2874
195.000000 81.230 159.4153
197.500000 81.181 159.4983
200.000000 81.127 159.5974
203.000000 81.058 159.8513
206.000000 80.992 160.1406
209.000000 80.927 160.3779
212.000000 80.865 160.6014
214.000000 80.825 160.7554
218.000000 80.750 161.0533
220.000000 80.714 161.2025
224.000000 80.644 161.5213
227.000000 80.593 161.7549
230.000000 80.544 161.9840
233.000000 80.496 162.2253
236.000000 80.451 162.4667
240.000000 80.390 162.7921
243.000000 80.344 163.0364
247.000000 80.288 163.2765
250.000000 80.251 163.4464
254.000000 80.202 163.8371
258.000000 80.157 164.2357
262.000000 80.115 164.5914
265.000000 80.080 164.8650
269.000000 80.033 165.1898
272.000000 80.004 165.4087
276.000000 79.971 165.7035
280.000000 79.934 165.9941
285.000000 79.889 166.3379
290.000000 79.846 166.7040
295.000000 79.807 167.0794
