* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -33.5 dBFS, measurement signal peak level -29.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 08/08/2024 6:48:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0257 ms (-8.8 mm, -0.35 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: EW300 DSP Pink R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 43.500 58.2340
1.015000 43.773 56.8279
1.030000 44.042 55.4833
1.044000 44.290 54.2892
1.060000 44.568 53.0027
1.075000 44.824 51.8785
1.090000 45.075 50.8396
1.106000 45.337 49.8329
1.120000 45.564 49.0427
1.138000 45.852 48.1438
1.150000 46.043 47.6124
1.172000 46.389 46.7659
1.180000 46.514 46.4958
1.206000 46.915 45.7397
1.220000 47.129 45.4008
1.241000 47.447 44.9669
1.250000 47.581 44.8043
1.265000 47.805 44.5591
1.280000 48.026 44.3401
1.315000 48.536 43.8930
1.320000 48.608 43.8328
1.340000 48.894 43.5906
1.360000 49.177 43.3346
1.380000 49.458 43.0487
1.400000 49.735 42.7167
1.430000 50.145 42.0969
1.450000 50.415 41.5791
1.475000 50.749 40.7946
1.500000 51.078 39.9203
1.525000 51.401 38.9833
1.550000 51.718 37.9946
1.575000 52.031 36.9648
1.600000 52.339 35.9048
1.625000 52.642 34.8253
1.650000 52.941 33.7372
1.675000 53.235 32.6512
1.700000 53.526 31.5781
1.725000 53.812 30.5287
1.750000 54.095 29.5139
1.775000 54.374 28.5444
1.800000 54.650 27.6309
1.825000 54.923 26.7844
1.850000 55.193 26.0077
1.875000 55.458 25.2842
1.900000 55.719 24.6072
1.925000 55.976 23.9707
1.950000 56.228 23.3686
1.975000 56.477 22.7949
2.000000 56.722 22.2435
2.030000 57.012 21.6027
2.060000 57.297 20.9748
2.090000 57.577 20.3493
2.120000 57.854 19.7159
2.140000 58.036 19.2840
2.180000 58.396 18.3831
2.200000 58.573 17.9081
2.240000 58.922 16.9334
2.270000 59.178 16.1924
2.300000 59.430 15.4453
2.330000 59.677 14.6939
2.360000 59.920 13.9405
2.400000 60.238 12.9361
2.430000 60.472 12.1857
2.470000 60.778 11.1929
2.500000 61.005 10.4567
2.540000 61.302 9.4903
2.580000 61.595 8.5438
2.620000 61.881 7.6045
2.650000 62.091 6.9037
2.690000 62.365 5.9762
2.720000 62.568 5.2871
2.760000 62.832 4.3788
2.800000 63.092 3.4848
2.850000 63.410 2.3910
2.900000 63.721 1.3280
2.950000 64.027 0.3016
3.000000 64.324 -0.6786
3.040000 64.556 -1.4346
3.070000 64.728 -1.9890
3.110000 64.952 -2.7158
3.150000 65.172 -3.4338
3.200000 65.443 -4.3276
3.250000 65.708 -5.2276
3.300000 65.969 -6.1451
3.350000 66.224 -7.0853
3.400000 66.473 -8.0398
3.450000 66.717 -8.9984
3.500000 66.955 -9.9509
3.550000 67.189 -10.8871
3.600000 67.419 -11.7968
3.650000 67.645 -12.6699
3.700000 67.868 -13.4975
3.750000 68.087 -14.2838
3.820000 68.385 -15.3342
3.870000 68.593 -16.0622
3.950000 68.920 -17.2162
4.000000 69.121 -17.9465
4.060000 69.358 -18.8456
4.120000 69.590 -19.7598
4.180000 69.817 -20.6787
4.250000 70.077 -21.7448
4.310000 70.296 -22.6432
4.370000 70.511 -23.5182
4.440000 70.757 -24.4993
4.500000 70.965 -25.3097
4.550000 71.135 -25.9694
4.620000 71.368 -26.8780
4.680000 71.565 -27.6512
4.750000 71.790 -28.5575
4.820000 72.011 -29.4736
4.870000 72.166 -30.1289
4.940000 72.380 -31.0439
5.000000 72.559 -31.8228
5.080000 72.794 -32.8481
5.150000 72.995 -33.7282
5.220000 73.192 -34.5936
5.300000 73.412 -35.5680
5.380000 73.627 -36.5290
5.450000 73.811 -37.3609
5.520000 73.992 -38.1860
5.600000 74.194 -39.1193
5.700000 74.440 -40.2704
5.800000 74.680 -41.4035
5.900000 74.914 -42.5179
6.000000 75.141 -43.6145
6.080000 75.318 -44.4784
6.150000 75.471 -45.2240
6.220000 75.621 -45.9595
6.300000 75.790 -46.7861
6.400000 75.997 -47.7993
6.500000 76.199 -48.7954
6.600000 76.397 -49.7803
6.700000 76.592 -50.7540
6.800000 76.782 -51.7147
6.900000 76.969 -52.6630
7.000000 77.153 -53.5992
7.100000 77.333 -54.5209
7.200000 77.510 -55.4313
7.300000 77.684 -56.3349
7.400000 77.854 -57.2343
7.500000 78.021 -58.1272
7.620000 78.217 -59.1896
7.750000 78.424 -60.3284
7.880000 78.625 -61.4550
8.000000 78.806 -62.4840
8.120000 78.982 -63.5029
8.250000 79.167 -64.5960
8.380000 79.347 -65.6746
8.500000 79.507 -66.6552
8.620000 79.664 -67.6229
8.750000 79.828 -68.6534
8.850000 79.951 -69.4318
9.000000 80.130 -70.5779
9.120000 80.269 -71.4743
9.250000 80.417 -72.4233
9.380000 80.560 -73.3502
9.500000 80.690 -74.1864
9.620000 80.818 -75.0029
9.750000 80.954 -75.8656
9.880000 81.088 -76.7116
10.000000 81.211 -77.4776
10.150000 81.363 -78.4159
10.300000 81.514 -79.3452
10.440000 81.654 -80.2020
10.600000 81.812 -81.1784
10.750000 81.958 -82.0994
10.900000 82.101 -83.0234
11.060000 82.250 -84.0176
11.200000 82.376 -84.8959
11.380000 82.531 -86.0247
11.500000 82.629 -86.7790
11.720000 82.798 -88.1442
11.800000 82.855 -88.6292
12.060000 83.031 -90.1609
12.200000 83.119 -90.9367
12.410000 83.246 -92.0383
12.500000 83.300 -92.4845
12.650000 83.389 -93.1905
12.800000 83.479 -93.8654
13.150000 83.704 -95.3486
13.200000 83.737 -95.5608
13.400000 83.877 -96.4071
13.600000 84.020 -97.2942
13.800000 84.165 -98.2396
14.000000 84.305 -99.2500
14.300000 84.500 -100.8794
14.500000 84.612 -102.0156
14.750000 84.733 -103.4286
15.000000 84.831 -104.7989
15.250000 84.911 -106.0635
15.500000 84.984 -107.2103
15.750000 85.054 -108.2405
16.000000 85.130 -109.1791
16.250000 85.214 -110.0774
16.500000 85.305 -110.9636
16.750000 85.401 -111.8742
17.000000 85.496 -112.8154
17.250000 85.587 -113.7799
17.500000 85.672 -114.7540
17.750000 85.751 -115.7133
18.000000 85.826 -116.6508
18.250000 85.899 -117.5594
18.500000 85.971 -118.4470
18.750000 86.042 -119.3215
19.000000 86.113 -120.1904
19.250000 86.183 -121.0587
19.500000 86.249 -121.9221
19.750000 86.313 -122.7774
20.000000 86.373 -123.6160
20.299999 86.443 -124.5989
20.600000 86.511 -125.5588
20.900000 86.577 -126.5036
21.200001 86.641 -127.4416
21.400000 86.681 -128.0631
21.799999 86.754 -129.2843
22.000000 86.787 -129.8761
22.400000 86.849 -131.0061
22.700001 86.895 -131.8070
23.000000 86.943 -132.5832
23.299999 86.993 -133.3589
23.600000 87.044 -134.1524
24.000000 87.107 -135.2502
24.299999 87.146 -136.0902
24.700001 87.184 -137.1898
25.000000 87.203 -137.9638
25.400000 87.225 -138.8984
25.799999 87.253 -139.7292
26.200001 87.293 -140.5086
26.500000 87.333 -141.1051
26.900000 87.394 -141.9645
27.200001 87.440 -142.6742
27.600000 87.494 -143.6986
28.000000 87.532 -144.7652
28.500000 87.557 -146.0567
29.000000 87.566 -147.2092
29.500000 87.576 -148.2091
30.000000 87.598 -149.1237
30.400000 87.624 -149.8531
30.700001 87.645 -150.4173
31.100000 87.671 -151.1929
31.500000 87.692 -151.9780
32.000000 87.710 -152.9371
32.500000 87.722 -153.8489
33.000000 87.733 -154.7210
33.500000 87.745 -155.5741
34.000000 87.755 -156.4221
34.500000 87.766 -157.2725
35.000000 87.774 -158.1345
35.500000 87.778 -159.0125
36.000000 87.776 -159.8875
36.500000 87.766 -160.7218
37.000000 87.755 -161.4864
37.500000 87.750 -162.1890
38.200001 87.758 -163.1428
38.700001 87.771 -163.8562
39.500000 87.787 -165.0921
40.000000 87.783 -165.8805
40.599998 87.760 -166.7432
41.200001 87.733 -167.4422
41.799999 87.718 -168.0276
42.500000 87.720 -168.7342
43.099998 87.723 -169.4386
43.700001 87.718 -170.2119
44.400002 87.696 -171.1512
45.000000 87.665 -171.9509
45.500000 87.633 -172.5886
46.200001 87.583 -173.4101
46.799999 87.543 -174.0161
47.500000 87.519 -174.5996
48.200001 87.538 -175.2513
48.700001 87.562 -175.9232
49.400002 87.556 -177.0977
50.000000 87.502 -177.9825
50.799999 87.424 -178.7082
51.500000 87.393 -179.2323
52.200001 87.360 -179.8711
53.000000 87.297 179.4944
53.799999 87.244 179.0248
54.500000 87.209 178.5557
55.200001 87.168 178.0290
56.000000 87.114 177.4524
57.000000 87.051 176.7226
58.000000 86.984 176.0161
59.000000 86.931 175.3552
60.000000 86.883 174.6307
60.799999 86.835 174.0617
61.500000 86.792 173.6097
62.200001 86.751 173.1755
63.000000 86.704 172.6728
64.000000 86.641 172.0494
65.000000 86.579 171.4425
66.000000 86.519 170.8035
67.000000 86.452 170.1420
68.000000 86.379 169.5742
69.000000 86.318 169.0796
70.000000 86.264 168.5471
71.000000 86.200 168.0130
72.000000 86.129 167.5558
73.000000 86.062 167.1688
74.000000 86.003 166.7863
75.000000 85.945 166.3731
76.199997 85.868 165.8895
77.500000 85.783 165.4440
78.800003 85.704 165.0498
80.000000 85.632 164.6770
81.199997 85.555 164.2868
82.500000 85.466 163.8853
83.800003 85.380 163.5169
85.000000 85.307 163.1848
86.199997 85.238 162.8631
87.500000 85.166 162.5307
88.500000 85.109 162.2991
90.000000 85.022 161.9999
91.199997 84.953 161.7819
92.500000 84.876 161.5487
93.800003 84.800 161.3204
95.000000 84.734 161.1112
96.199997 84.672 160.8933
97.500000 84.607 160.6530
98.800003 84.543 160.4160
100.000000 84.481 160.2164
101.500000 84.402 160.0249
103.000000 84.327 159.8620
104.400002 84.257 159.7108
106.000000 84.177 159.5551
107.500000 84.105 159.4149
109.000000 84.035 159.2752
110.599998 83.962 159.1359
112.000000 83.901 159.0137
113.800003 83.824 158.8593
115.000000 83.772 158.7628
117.199997 83.681 158.6010
118.000000 83.648 158.5456
120.599998 83.542 158.3918
122.000000 83.487 158.3192
124.099998 83.405 158.2188
125.000000 83.369 158.1818
126.500000 83.309 158.1322
128.000000 83.249 158.0842
131.500000 83.116 157.9410
132.000000 83.098 157.9164
134.000000 83.028 157.8217
136.000000 82.954 157.7663
138.000000 82.879 157.7479
140.000000 82.808 157.7064
143.000000 82.705 157.6364
145.000000 82.634 157.6578
147.500000 82.530 157.7850
150.000000 82.439 157.9564
152.500000 82.374 157.8247
155.000000 82.299 157.6674
157.500000 82.223 157.6635
160.000000 82.145 157.7052
162.500000 82.067 157.7411
165.000000 81.993 157.8281
167.500000 81.925 157.9347
170.000000 81.852 157.9858
172.500000 81.776 158.0367
175.000000 81.704 158.1125
177.500000 81.634 158.2105
180.000000 81.565 158.3252
182.500000 81.498 158.4556
185.000000 81.431 158.5864
187.500000 81.365 158.7170
190.000000 81.301 158.8638
192.500000 81.239 159.0072
195.000000 81.180 159.1122
197.500000 81.127 159.1966
200.000000 81.076 159.3118
203.000000 81.010 159.5464
206.000000 80.942 159.8108
209.000000 80.875 160.0440
212.000000 80.811 160.2716
214.000000 80.770 160.4277
218.000000 80.693 160.7242
220.000000 80.655 160.8665
224.000000 80.584 161.1622
227.000000 80.532 161.4136
230.000000 80.481 161.6946
233.000000 80.433 161.9812
236.000000 80.390 162.2340
240.000000 80.328 162.5269
243.000000 80.279 162.7451
247.000000 80.217 163.0981
250.000000 80.180 163.3757
254.000000 80.133 163.6300
258.000000 80.082 163.8995
262.000000 80.037 164.2453
265.000000 80.008 164.5386
269.000000 79.972 164.8979
272.000000 79.944 165.1085
276.000000 79.909 165.3533
280.000000 79.874 165.6256
285.000000 79.832 166.0099
290.000000 79.794 166.3588
295.000000 79.756 166.6615
