* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -32.8 dBFS, measurement signal peak level -28.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 08/08/2024 6:44:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0308 ms (-11 mm, -0.42 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: EW300 DSP Red L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 45.084 61.7477
1.015000 45.319 60.1795
1.030000 45.551 58.6759
1.044000 45.766 57.3367
1.060000 46.007 55.8891
1.075000 46.230 54.6192
1.090000 46.448 53.4405
1.106000 46.675 52.2907
1.120000 46.873 51.3750
1.138000 47.127 50.3130
1.150000 47.295 49.6719
1.172000 47.603 48.6237
1.180000 47.715 48.2801
1.206000 48.076 47.2859
1.220000 48.269 46.8198
1.241000 48.558 46.1971
1.250000 48.681 45.9546
1.265000 48.885 45.5779
1.280000 49.088 45.2298
1.315000 49.557 44.4930
1.320000 49.624 44.3929
1.340000 49.889 43.9958
1.360000 50.151 43.5926
1.380000 50.411 43.1682
1.400000 50.668 42.7074
1.430000 51.049 41.9146
1.450000 51.299 41.2962
1.475000 51.608 40.4043
1.500000 51.912 39.4448
1.525000 52.212 38.4431
1.550000 52.508 37.4076
1.575000 52.801 36.3469
1.600000 53.089 35.2693
1.625000 53.374 34.1835
1.650000 53.656 33.0979
1.675000 53.933 32.0210
1.700000 54.208 30.9612
1.725000 54.479 29.9271
1.750000 54.748 28.9272
1.775000 55.013 27.9699
1.800000 55.275 27.0638
1.825000 55.534 26.2173
1.850000 55.791 25.4343
1.875000 56.044 24.7049
1.900000 56.293 24.0229
1.925000 56.539 23.3823
1.950000 56.781 22.7770
1.975000 57.020 22.2013
2.000000 57.256 21.6491
2.030000 57.535 21.0090
2.060000 57.811 20.3839
2.090000 58.082 19.7635
2.120000 58.350 19.1375
2.140000 58.527 18.7119
2.180000 58.876 17.8273
2.200000 59.049 17.3624
2.240000 59.389 16.4137
2.270000 59.639 15.6974
2.300000 59.885 14.9782
2.330000 60.128 14.2577
2.360000 60.367 13.5371
2.400000 60.679 12.5785
2.430000 60.910 11.8630
2.470000 61.213 10.9159
2.500000 61.437 10.2125
2.540000 61.732 9.2866
2.580000 62.022 8.3758
2.620000 62.306 7.4710
2.650000 62.515 6.7960
2.690000 62.789 5.9021
2.720000 62.991 5.2373
2.760000 63.256 4.3602
2.800000 63.517 3.4954
2.850000 63.836 2.4347
2.900000 64.149 1.4001
2.950000 64.456 0.3966
3.000000 64.755 -0.5664
3.040000 64.990 -1.3123
3.070000 65.163 -1.8608
3.110000 65.390 -2.5817
3.150000 65.613 -3.2957
3.200000 65.886 -4.1863
3.250000 66.154 -5.0844
3.300000 66.418 -6.0002
3.350000 66.677 -6.9390
3.400000 66.929 -7.8931
3.450000 67.175 -8.8529
3.500000 67.417 -9.8086
3.550000 67.653 -10.7503
3.600000 67.886 -11.6684
3.650000 68.115 -12.5532
3.700000 68.339 -13.3969
3.750000 68.559 -14.2044
3.820000 68.860 -15.2905
3.870000 69.069 -16.0462
3.950000 69.397 -17.2446
4.000000 69.598 -18.0003
4.060000 69.835 -18.9259
4.120000 70.066 -19.8647
4.180000 70.293 -20.8070
4.250000 70.551 -21.8990
4.310000 70.768 -22.8186
4.370000 70.981 -23.7137
4.440000 71.225 -24.7178
4.500000 71.429 -25.5480
4.550000 71.597 -26.2238
4.620000 71.827 -27.1529
4.680000 72.020 -27.9410
4.750000 72.242 -28.8602
4.820000 72.459 -29.7834
4.870000 72.612 -30.4408
4.940000 72.822 -31.3554
5.000000 72.998 -32.1314
5.080000 73.229 -33.1504
5.150000 73.427 -34.0234
5.220000 73.622 -34.8790
5.300000 73.839 -35.8391
5.380000 74.052 -36.7838
5.450000 74.235 -37.6007
5.520000 74.416 -38.4108
5.600000 74.618 -39.3253
5.700000 74.864 -40.4513
5.800000 75.105 -41.5606
5.900000 75.341 -42.6554
6.000000 75.571 -43.7345
6.080000 75.752 -44.5866
6.150000 75.907 -45.3241
6.220000 76.060 -46.0545
6.300000 76.233 -46.8790
6.400000 76.444 -47.8944
6.500000 76.650 -48.8973
6.600000 76.853 -49.8928
6.700000 77.051 -50.8820
6.800000 77.244 -51.8624
6.900000 77.433 -52.8324
7.000000 77.619 -53.7903
7.100000 77.800 -54.7365
7.200000 77.976 -55.6717
7.300000 78.149 -56.5971
7.400000 78.318 -57.5138
7.500000 78.482 -58.4216
7.620000 78.675 -59.4961
7.750000 78.878 -60.6377
7.880000 79.074 -61.7568
8.000000 79.251 -62.7710
8.120000 79.424 -63.7673
8.250000 79.606 -64.8257
8.380000 79.783 -65.8645
8.500000 79.944 -66.8072
8.620000 80.101 -67.7332
8.750000 80.268 -68.7212
8.850000 80.393 -69.4725
9.000000 80.578 -70.5831
9.120000 80.722 -71.4595
9.250000 80.874 -72.3991
9.380000 81.023 -73.3276
9.500000 81.157 -74.1729
9.620000 81.287 -75.0065
9.750000 81.424 -75.8969
9.880000 81.558 -76.7709
10.000000 81.679 -77.5619
10.150000 81.825 -78.5305
10.300000 81.969 -79.4750
10.440000 82.100 -80.3327
10.600000 82.248 -81.2928
10.750000 82.385 -82.1762
10.900000 82.521 -83.0450
11.060000 82.665 -83.9713
11.200000 82.789 -84.7788
11.380000 82.946 -85.8258
11.500000 83.048 -86.5332
11.720000 83.229 -87.8421
11.800000 83.292 -88.3228
12.060000 83.484 -89.8917
12.200000 83.579 -90.7250
12.410000 83.709 -91.9527
12.500000 83.762 -92.4573
12.650000 83.844 -93.2750
12.800000 83.922 -94.0532
13.150000 84.098 -95.6867
13.200000 84.124 -95.9033
13.400000 84.228 -96.7199
13.600000 84.339 -97.5040
13.800000 84.459 -98.2666
14.000000 84.584 -99.0563
14.300000 84.780 -100.3160
14.500000 84.909 -101.2349
14.750000 85.061 -102.4541
15.000000 85.199 -103.7370
15.250000 85.318 -105.0300
15.500000 85.421 -106.2860
15.750000 85.510 -107.4788
16.000000 85.593 -108.5826
16.250000 85.674 -109.6127
16.500000 85.758 -110.5856
16.750000 85.846 -111.5309
17.000000 85.937 -112.4794
17.250000 86.028 -113.4394
17.500000 86.116 -114.4187
17.750000 86.198 -115.4031
18.000000 86.275 -116.3808
18.250000 86.345 -117.3384
18.500000 86.412 -118.2652
18.750000 86.477 -119.1627
19.000000 86.540 -120.0325
19.250000 86.602 -120.8845
19.500000 86.664 -121.7232
19.750000 86.724 -122.5520
20.000000 86.782 -123.3708
20.299999 86.849 -124.3350
20.600000 86.913 -125.2751
20.900000 86.975 -126.1895
21.200001 87.036 -127.0821
21.400000 87.077 -127.6700
21.799999 87.156 -128.8371
22.000000 87.195 -129.4186
22.400000 87.268 -130.5757
22.700001 87.318 -131.4297
23.000000 87.365 -132.2617
23.299999 87.411 -133.0680
23.600000 87.455 -133.8522
24.000000 87.516 -134.8791
24.299999 87.562 -135.6517
24.700001 87.620 -136.6998
25.000000 87.658 -137.4962
25.400000 87.700 -138.5482
25.799999 87.731 -139.5477
26.200001 87.757 -140.4631
26.500000 87.778 -141.0964
26.900000 87.812 -141.8981
27.200001 87.843 -142.4982
27.600000 87.889 -143.3312
28.000000 87.932 -144.2137
28.500000 87.973 -145.3497
29.000000 88.001 -146.4490
29.500000 88.022 -147.4739
30.000000 88.046 -148.4498
30.400000 88.068 -149.2299
30.700001 88.083 -149.8245
31.100000 88.100 -150.6247
31.500000 88.111 -151.4150
32.000000 88.119 -152.3573
32.500000 88.127 -153.2348
33.000000 88.138 -154.0675
33.500000 88.155 -154.8903
34.000000 88.174 -155.7275
34.500000 88.190 -156.5767
35.000000 88.201 -157.4189
35.500000 88.208 -158.2353
36.000000 88.212 -159.0212
36.500000 88.216 -159.7831
37.000000 88.218 -160.5288
37.500000 88.217 -161.2607
38.200001 88.214 -162.2602
38.700001 88.209 -162.9560
39.500000 88.198 -164.0416
40.000000 88.191 -164.7082
40.599998 88.182 -165.5042
41.200001 88.170 -166.2955
41.799999 88.157 -167.0708
42.500000 88.142 -167.9518
43.099998 88.128 -168.6954
43.700001 88.112 -169.4183
44.400002 88.093 -170.2193
45.000000 88.079 -170.8913
45.500000 88.065 -171.4578
46.200001 88.038 -172.2337
46.799999 88.011 -172.8596
47.500000 87.975 -173.5831
48.200001 87.925 -174.2700
48.700001 87.883 -174.6533
49.400002 87.847 -175.0399
50.000000 87.847 -175.4372
50.799999 87.852 -176.2832
51.500000 87.823 -177.1198
52.200001 87.782 -177.8399
53.000000 87.743 -178.6074
53.799999 87.701 -179.3621
54.500000 87.666 -179.9474
55.200001 87.642 179.4526
56.000000 87.605 178.6807
57.000000 87.528 177.8613
58.000000 87.464 177.2576
59.000000 87.413 176.6019
60.000000 87.356 175.9303
60.799999 87.310 175.3981
61.500000 87.266 174.9347
62.200001 87.221 174.5009
63.000000 87.173 174.0335
64.000000 87.116 173.4469
65.000000 87.059 172.8658
66.000000 87.000 172.2743
67.000000 86.930 171.7109
68.000000 86.859 171.2291
69.000000 86.793 170.7719
70.000000 86.729 170.3311
71.000000 86.670 169.8965
72.000000 86.613 169.4393
73.000000 86.551 168.9828
74.000000 86.487 168.5555
75.000000 86.423 168.1632
76.199997 86.348 167.7138
77.500000 86.266 167.2541
78.800003 86.185 166.8301
80.000000 86.112 166.4729
81.199997 86.040 166.1275
82.500000 85.959 165.7713
83.800003 85.879 165.4430
85.000000 85.806 165.1603
86.199997 85.736 164.8739
87.500000 85.661 164.5733
88.500000 85.604 164.3586
90.000000 85.519 164.0623
91.199997 85.453 163.8507
92.500000 85.381 163.6258
93.800003 85.308 163.4067
95.000000 85.241 163.2210
96.199997 85.180 163.0355
97.500000 85.117 162.8298
98.800003 85.056 162.6212
100.000000 84.996 162.4377
101.500000 84.917 162.2934
103.000000 84.844 162.1926
104.400002 84.777 162.0831
106.000000 84.702 161.9421
107.500000 84.632 161.8047
109.000000 84.564 161.6838
110.599998 84.496 161.5685
112.000000 84.436 161.4781
113.800003 84.360 161.3729
115.000000 84.309 161.3044
117.199997 84.219 161.1766
118.000000 84.187 161.1324
120.599998 84.085 161.0106
122.000000 84.031 160.9623
124.099998 83.951 160.8894
125.000000 83.918 160.8547
126.500000 83.863 160.7934
128.000000 83.809 160.7410
131.500000 83.682 160.6844
132.000000 83.663 160.6841
134.000000 83.587 160.6935
136.000000 83.519 160.6573
138.000000 83.451 160.6008
140.000000 83.384 160.5853
143.000000 83.279 160.5873
145.000000 83.214 160.5687
147.500000 83.154 160.5136
150.000000 83.090 160.4232
152.500000 82.993 160.5530
155.000000 82.902 160.7479
157.500000 82.821 160.8279
160.000000 82.746 160.8807
162.500000 82.674 160.9726
165.000000 82.602 161.0723
167.500000 82.531 161.1575
170.000000 82.462 161.2622
172.500000 82.393 161.3937
175.000000 82.324 161.5264
177.500000 82.257 161.6616
180.000000 82.192 161.8111
182.500000 82.129 161.9634
185.000000 82.068 162.1099
187.500000 82.009 162.2629
190.000000 81.951 162.4279
192.500000 81.893 162.6028
195.000000 81.843 162.7677
197.500000 81.799 162.9321
200.000000 81.754 163.1071
203.000000 81.684 163.3564
206.000000 81.613 163.6167
209.000000 81.550 163.8555
212.000000 81.491 164.1017
214.000000 81.452 164.2698
218.000000 81.380 164.6051
220.000000 81.346 164.7791
224.000000 81.278 165.1356
227.000000 81.232 165.3987
230.000000 81.186 165.6711
233.000000 81.140 165.9525
236.000000 81.093 166.2295
240.000000 81.033 166.5861
243.000000 80.995 166.8428
247.000000 80.958 167.1778
250.000000 80.929 167.4436
254.000000 80.871 167.8322
258.000000 80.815 168.2160
262.000000 80.772 168.5867
265.000000 80.740 168.8735
269.000000 80.701 169.2385
272.000000 80.674 169.4999
276.000000 80.638 169.8517
280.000000 80.604 170.1974
285.000000 80.566 170.6090
290.000000 80.529 171.0177
295.000000 80.493 171.4410
