* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -30.8 dBFS, measurement signal peak level -27.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 08/08/2024 6:44:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0257 ms (-8.8 mm, -0.35 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: EW300 DSP Red R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 44.072 53.5673
1.015000 44.336 52.9707
1.030000 44.597 52.3843
1.044000 44.838 51.8478
1.060000 45.111 51.2490
1.075000 45.364 50.7034
1.090000 45.614 50.1748
1.106000 45.877 49.6308
1.120000 46.104 49.1678
1.138000 46.392 48.5883
1.150000 46.581 48.2110
1.172000 46.923 47.5362
1.180000 47.046 47.2957
1.206000 47.439 46.5303
1.220000 47.647 46.1270
1.241000 47.955 45.5316
1.250000 48.086 45.2794
1.265000 48.302 44.8622
1.280000 48.515 44.4481
1.315000 49.005 43.4888
1.320000 49.075 43.3520
1.340000 49.349 42.8042
1.360000 49.620 42.2536
1.380000 49.888 41.6978
1.400000 50.154 41.1347
1.430000 50.549 40.2714
1.450000 50.809 39.6802
1.475000 51.132 38.9203
1.500000 51.449 38.1427
1.525000 51.762 37.3513
1.550000 52.068 36.5486
1.575000 52.370 35.7372
1.600000 52.667 34.9197
1.625000 52.959 34.0985
1.650000 53.246 33.2764
1.675000 53.530 32.4557
1.700000 53.809 31.6392
1.725000 54.084 30.8292
1.750000 54.356 30.0285
1.775000 54.624 29.2394
1.800000 54.889 28.4647
1.825000 55.151 27.7069
1.850000 55.409 26.9658
1.875000 55.663 26.2362
1.900000 55.913 25.5168
1.925000 56.158 24.8069
1.950000 56.399 24.1055
1.975000 56.637 23.4117
2.000000 56.871 22.7248
2.030000 57.147 21.9081
2.060000 57.418 21.0985
2.090000 57.685 20.2942
2.120000 57.948 19.4940
2.140000 58.122 18.9619
2.180000 58.463 17.8992
2.200000 58.632 17.3676
2.240000 58.964 16.3068
2.270000 59.207 15.5149
2.300000 59.445 14.7268
2.330000 59.679 13.9430
2.360000 59.909 13.1640
2.400000 60.209 12.1340
2.430000 60.430 11.3686
2.470000 60.720 10.3588
2.500000 60.934 9.6100
2.540000 61.215 8.6244
2.580000 61.491 7.6539
2.620000 61.761 6.6955
2.650000 61.959 5.9842
2.690000 62.218 5.0463
2.720000 62.408 4.3511
2.760000 62.657 3.4353
2.800000 62.902 2.5329
2.850000 63.201 1.4242
2.900000 63.495 0.3380
2.950000 63.783 -0.7244
3.000000 64.064 -1.7606
3.040000 64.283 -2.5718
3.070000 64.445 -3.1708
3.110000 64.657 -3.9579
3.150000 64.865 -4.7332
3.200000 65.121 -5.6877
3.250000 65.372 -6.6286
3.300000 65.620 -7.5585
3.350000 65.863 -8.4766
3.400000 66.100 -9.3805
3.450000 66.332 -10.2697
3.500000 66.560 -11.1433
3.550000 66.784 -12.0007
3.600000 67.004 -12.8413
3.650000 67.222 -13.6642
3.700000 67.437 -14.4673
3.750000 67.648 -15.2481
3.820000 67.937 -16.3100
3.870000 68.140 -17.0507
3.950000 68.459 -18.2145
4.000000 68.656 -18.9339
4.060000 68.889 -19.7926
4.120000 69.118 -20.6393
4.180000 69.343 -21.4734
4.250000 69.602 -22.4316
4.310000 69.820 -23.2411
4.370000 70.036 -24.0406
4.440000 70.284 -24.9597
4.500000 70.493 -25.7322
4.550000 70.666 -26.3671
4.620000 70.903 -27.2461
4.680000 71.104 -27.9936
4.750000 71.335 -28.8632
4.820000 71.562 -29.7312
4.870000 71.721 -30.3477
4.940000 71.942 -31.2059
5.000000 72.128 -31.9368
5.080000 72.371 -32.9044
5.150000 72.580 -33.7446
5.220000 72.785 -34.5792
5.300000 73.014 -35.5260
5.380000 73.238 -36.4645
5.450000 73.431 -37.2782
5.520000 73.619 -38.0849
5.600000 73.829 -38.9999
5.700000 74.085 -40.1316
5.800000 74.334 -41.2455
5.900000 74.576 -42.3379
6.000000 74.810 -43.4119
6.080000 74.993 -44.2569
6.150000 75.149 -44.9846
6.220000 75.304 -45.7003
6.300000 75.477 -46.5028
6.400000 75.688 -47.4843
6.500000 75.894 -48.4441
6.600000 76.096 -49.3845
6.700000 76.295 -50.3031
6.800000 76.490 -51.2008
6.900000 76.682 -52.0833
7.000000 76.871 -52.9547
7.100000 77.058 -53.8097
7.200000 77.242 -54.6529
7.300000 77.423 -55.4915
7.400000 77.601 -56.3289
7.500000 77.777 -57.1607
7.620000 77.985 -58.1559
7.750000 78.204 -59.2362
7.880000 78.417 -60.3180
8.000000 78.608 -61.3149
8.120000 78.792 -62.3087
8.250000 78.985 -63.3853
8.380000 79.170 -64.4515
8.500000 79.334 -65.4199
8.620000 79.492 -66.3776
8.750000 79.656 -67.3937
8.850000 79.779 -68.1545
9.000000 79.955 -69.2667
9.120000 80.092 -70.1296
9.250000 80.237 -71.0339
9.380000 80.377 -71.9077
9.500000 80.506 -72.6940
9.620000 80.633 -73.4621
9.750000 80.769 -74.2719
9.880000 80.904 -75.0719
10.000000 81.028 -75.8050
10.150000 81.182 -76.7118
10.300000 81.333 -77.6214
10.440000 81.472 -78.4738
10.600000 81.627 -79.4499
10.750000 81.767 -80.3693
10.900000 81.903 -81.2900
11.060000 82.042 -82.2626
11.200000 82.159 -83.1077
11.380000 82.304 -84.1740
11.500000 82.397 -84.8694
11.720000 82.562 -86.1146
11.800000 82.621 -86.5564
12.060000 82.809 -87.9587
12.200000 82.909 -88.7006
12.410000 83.058 -89.7995
12.500000 83.121 -90.2718
12.650000 83.225 -91.0586
12.800000 83.327 -91.8472
13.150000 83.554 -93.7020
13.200000 83.585 -93.9653
13.400000 83.703 -95.0173
13.600000 83.815 -96.0452
13.800000 83.920 -97.0416
14.000000 84.022 -97.9955
14.300000 84.171 -99.3461
14.500000 84.271 -100.1989
14.750000 84.400 -101.2416
15.000000 84.532 -102.2751
15.250000 84.666 -103.3328
15.500000 84.796 -104.4199
15.750000 84.920 -105.5337
16.000000 85.033 -106.6568
16.250000 85.136 -107.7568
16.500000 85.230 -108.8169
16.750000 85.317 -109.8159
17.000000 85.402 -110.7557
17.250000 85.487 -111.6472
17.500000 85.575 -112.5065
17.750000 85.665 -113.3612
18.000000 85.756 -114.2214
18.250000 85.844 -115.0972
18.500000 85.928 -115.9841
18.750000 86.006 -116.8721
19.000000 86.078 -117.7516
19.250000 86.144 -118.6083
19.500000 86.207 -119.4399
19.750000 86.266 -120.2449
20.000000 86.325 -121.0285
20.299999 86.394 -121.9500
20.600000 86.462 -122.8594
20.900000 86.527 -123.7621
21.200001 86.590 -124.6582
21.400000 86.630 -125.2503
21.799999 86.707 -126.4199
22.000000 86.744 -126.9975
22.400000 86.815 -128.1405
22.700001 86.866 -128.9889
23.000000 86.914 -129.8282
23.299999 86.959 -130.6526
23.600000 87.001 -131.4555
24.000000 87.056 -132.4864
24.299999 87.098 -133.2328
24.700001 87.156 -134.2081
25.000000 87.200 -134.9394
25.400000 87.258 -135.9268
25.799999 87.310 -136.9212
26.200001 87.355 -137.8956
26.500000 87.384 -138.5965
26.900000 87.422 -139.4853
27.200001 87.452 -140.1273
27.600000 87.494 -140.9751
28.000000 87.535 -141.8373
28.500000 87.579 -142.9348
29.000000 87.612 -144.0089
29.500000 87.638 -145.0217
30.000000 87.665 -145.9854
30.400000 87.687 -146.7480
30.700001 87.703 -147.3227
31.100000 87.721 -148.0864
31.500000 87.736 -148.8328
32.000000 87.754 -149.7280
32.500000 87.773 -150.5922
33.000000 87.795 -151.4506
33.500000 87.816 -152.3103
34.000000 87.835 -153.1619
34.500000 87.853 -154.0021
35.000000 87.870 -154.8400
35.500000 87.882 -155.6772
36.000000 87.889 -156.4942
36.500000 87.891 -157.2687
37.000000 87.893 -158.0009
37.500000 87.897 -158.7141
38.200001 87.902 -159.7152
38.700001 87.902 -160.4257
39.500000 87.899 -161.5192
40.000000 87.898 -162.1848
40.599998 87.897 -162.9907
41.200001 87.891 -163.8019
41.799999 87.879 -164.5794
42.500000 87.864 -165.4123
43.099998 87.857 -166.0982
43.700001 87.851 -166.8009
44.400002 87.836 -167.6245
45.000000 87.820 -168.3011
45.500000 87.806 -168.8533
46.200001 87.783 -169.6289
46.799999 87.760 -170.2811
47.500000 87.736 -171.0490
48.200001 87.706 -171.8988
48.700001 87.668 -172.5098
49.400002 87.600 -173.1775
50.000000 87.560 -173.5484
50.799999 87.556 -174.0834
51.500000 87.562 -174.7740
52.200001 87.548 -175.5018
53.000000 87.528 -176.2367
53.799999 87.513 -176.9796
54.500000 87.489 -177.6372
55.200001 87.455 -178.2267
56.000000 87.417 -178.8335
57.000000 87.368 -179.5797
58.000000 87.312 179.6800
59.000000 87.249 178.9807
60.000000 87.190 178.3245
60.799999 87.145 177.8070
61.500000 87.107 177.3610
62.200001 87.071 176.9233
63.000000 87.030 176.4305
64.000000 86.978 175.8337
65.000000 86.924 175.2591
66.000000 86.868 174.7035
67.000000 86.809 174.1779
68.000000 86.751 173.6713
69.000000 86.694 173.1698
70.000000 86.636 172.6844
71.000000 86.580 172.2159
72.000000 86.525 171.7413
73.000000 86.464 171.2805
74.000000 86.401 170.8650
75.000000 86.340 170.4704
76.199997 86.267 170.0070
77.500000 86.191 169.5166
78.800003 86.117 169.0217
80.000000 86.047 168.6074
81.199997 85.982 168.2413
82.500000 85.912 167.8614
83.800003 85.840 167.5173
85.000000 85.771 167.2263
86.199997 85.703 166.9355
87.500000 85.629 166.6139
88.500000 85.572 166.3728
90.000000 85.491 166.0264
91.199997 85.429 165.7625
92.500000 85.364 165.5043
93.800003 85.300 165.2724
95.000000 85.239 165.0811
96.199997 85.178 164.9133
97.500000 85.111 164.7391
98.800003 85.046 164.5811
100.000000 84.991 164.4302
101.500000 84.925 164.1902
103.000000 84.855 163.9557
104.400002 84.790 163.7758
106.000000 84.719 163.6022
107.500000 84.655 163.4666
109.000000 84.593 163.3317
110.599998 84.526 163.1736
112.000000 84.467 163.0445
113.800003 84.393 162.8954
115.000000 84.346 162.8040
117.199997 84.259 162.6561
118.000000 84.227 162.6050
120.599998 84.123 162.4432
122.000000 84.069 162.3511
124.099998 83.992 162.2174
125.000000 83.960 162.1709
126.500000 83.910 162.1021
128.000000 83.859 162.0334
131.500000 83.731 161.8838
132.000000 83.712 161.8631
134.000000 83.641 161.7816
136.000000 83.572 161.7181
138.000000 83.505 161.6833
140.000000 83.441 161.6704
143.000000 83.345 161.6640
145.000000 83.274 161.6525
147.500000 83.171 161.6071
150.000000 83.072 161.6486
152.500000 83.015 161.6687
155.000000 82.959 161.6354
157.500000 82.888 161.6754
160.000000 82.811 161.7374
162.500000 82.737 161.7971
165.000000 82.664 161.8550
167.500000 82.590 161.9367
170.000000 82.523 162.0063
172.500000 82.457 162.0858
175.000000 82.391 162.1937
177.500000 82.324 162.3078
180.000000 82.259 162.4263
182.500000 82.197 162.5533
185.000000 82.135 162.6802
187.500000 82.077 162.8127
190.000000 82.022 162.9661
192.500000 81.965 163.1344
195.000000 81.905 163.2820
197.500000 81.847 163.3939
200.000000 81.792 163.5186
203.000000 81.725 163.7859
206.000000 81.662 164.0897
209.000000 81.601 164.3516
212.000000 81.543 164.6049
214.000000 81.505 164.7711
218.000000 81.431 165.0964
220.000000 81.398 165.2605
224.000000 81.334 165.6148
227.000000 81.288 165.8935
230.000000 81.245 166.1649
233.000000 81.204 166.4319
236.000000 81.164 166.6948
240.000000 81.117 167.0635
243.000000 81.087 167.3510
247.000000 81.057 167.6810
250.000000 81.033 167.8991
254.000000 80.984 168.2402
258.000000 80.937 168.5612
262.000000 80.899 168.8524
265.000000 80.869 169.0877
269.000000 80.830 169.3675
272.000000 80.803 169.5389
276.000000 80.768 169.7778
280.000000 80.732 170.0277
285.000000 80.686 170.3499
290.000000 80.641 170.7210
295.000000 80.591 171.0854
