* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -32.5 dBFS, measurement signal peak level -28.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 08/08/2024 6:37:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0829 ms (-28 mm, -1.12 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: EW300 Pink L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 43.422 111.0986
1.015000 43.620 109.8503
1.030000 43.817 108.6330
1.044000 44.001 107.5285
1.060000 44.209 106.3081
1.075000 44.403 105.2090
1.090000 44.595 104.1579
1.106000 44.797 103.0923
1.120000 44.975 102.1977
1.138000 45.205 101.0934
1.150000 45.359 100.3840
1.172000 45.643 99.1346
1.180000 45.747 98.6955
1.206000 46.085 97.3185
1.220000 46.268 96.6058
1.241000 46.543 95.5690
1.250000 46.661 95.1352
1.265000 46.857 94.4242
1.280000 47.054 93.7262
1.315000 47.512 92.1349
1.320000 47.577 91.9106
1.340000 47.838 91.0171
1.360000 48.097 90.1256
1.380000 48.355 89.2306
1.400000 48.611 88.3262
1.430000 48.992 86.9400
1.450000 49.243 85.9878
1.475000 49.554 84.7592
1.500000 49.863 83.5103
1.525000 50.170 82.2505
1.550000 50.477 80.9836
1.575000 50.782 79.7131
1.600000 51.086 78.4428
1.625000 51.388 77.1764
1.650000 51.687 75.9175
1.675000 51.985 74.6698
1.700000 52.279 73.4371
1.725000 52.572 72.2229
1.750000 52.861 71.0310
1.775000 53.147 69.8651
1.800000 53.429 68.7287
1.825000 53.708 67.6257
1.850000 53.984 66.5583
1.875000 54.257 65.5236
1.900000 54.527 64.5182
1.925000 54.793 63.5393
1.950000 55.058 62.5837
1.975000 55.319 61.6484
2.000000 55.577 60.7303
2.030000 55.884 59.6470
2.060000 56.187 58.5790
2.090000 56.486 57.5208
2.120000 56.781 56.4671
2.140000 56.975 55.7646
2.180000 57.359 54.3525
2.200000 57.549 53.6399
2.240000 57.922 52.2163
2.270000 58.197 51.1561
2.300000 58.468 50.1025
2.330000 58.736 49.0560
2.360000 58.999 48.0168
2.400000 59.344 46.6431
2.430000 59.599 45.6221
2.470000 59.934 44.2736
2.500000 60.181 43.2723
2.540000 60.506 41.9512
2.580000 60.825 40.6464
2.620000 61.137 39.3558
2.650000 61.367 38.3970
2.690000 61.669 37.1313
2.720000 61.891 36.1918
2.760000 62.182 34.9526
2.800000 62.467 33.7292
2.850000 62.817 32.2232
2.900000 63.160 30.7437
2.950000 63.496 29.2927
3.000000 63.823 27.8756
3.040000 64.079 26.7644
3.070000 64.267 25.9425
3.110000 64.514 24.8598
3.150000 64.756 23.7899
3.200000 65.053 22.4666
3.250000 65.344 21.1543
3.300000 65.630 19.8480
3.350000 65.909 18.5461
3.400000 66.181 17.2525
3.450000 66.447 15.9711
3.500000 66.706 14.7058
3.550000 66.961 13.4605
3.600000 67.210 12.2391
3.650000 67.455 11.0455
3.700000 67.696 9.8835
3.750000 67.931 8.7523
3.820000 68.251 7.2117
3.870000 68.475 6.1359
3.950000 68.823 4.4442
4.000000 69.037 3.3982
4.060000 69.288 2.1488
4.120000 69.534 0.9117
4.180000 69.774 -0.3095
4.250000 70.048 -1.7110
4.310000 70.277 -2.8896
4.370000 70.503 -4.0448
4.440000 70.761 -5.3588
4.500000 70.977 -6.4553
4.550000 71.154 -7.3510
4.620000 71.397 -8.5830
4.680000 71.602 -9.6233
4.750000 71.836 -10.8249
4.820000 72.066 -12.0153
4.870000 72.227 -12.8551
4.940000 72.448 -14.0159
5.000000 72.634 -14.9968
5.080000 72.877 -16.2843
5.150000 73.086 -17.3914
5.220000 73.290 -18.4789
5.300000 73.518 -19.6993
5.380000 73.741 -20.8979
5.450000 73.933 -21.9310
5.520000 74.121 -22.9509
5.600000 74.331 -24.0983
5.700000 74.587 -25.5051
5.800000 74.836 -26.8830
5.900000 75.079 -28.2331
6.000000 75.315 -29.5542
6.080000 75.500 -30.5907
6.150000 75.659 -31.4835
6.220000 75.816 -32.3637
6.300000 75.992 -33.3527
6.400000 76.207 -34.5631
6.500000 76.418 -35.7500
6.600000 76.625 -36.9188
6.700000 76.828 -38.0683
6.800000 77.026 -39.1975
6.900000 77.221 -40.3105
7.000000 77.413 -41.4101
7.100000 77.600 -42.4933
7.200000 77.784 -43.5624
7.300000 77.965 -44.6213
7.400000 78.141 -45.6726
7.500000 78.313 -46.7143
7.620000 78.515 -47.9505
7.750000 78.727 -49.2725
7.880000 78.932 -50.5779
8.000000 79.115 -51.7645
8.120000 79.291 -52.9304
8.250000 79.476 -54.1726
8.380000 79.654 -55.3882
8.500000 79.814 -56.4824
8.620000 79.969 -57.5517
8.750000 80.131 -58.6815
8.850000 80.254 -59.5295
9.000000 80.434 -60.7661
9.120000 80.575 -61.7308
9.250000 80.725 -62.7540
9.380000 80.873 -63.7523
9.500000 81.008 -64.6606
9.620000 81.141 -65.5595
9.750000 81.284 -66.5197
9.880000 81.425 -67.4741
10.000000 81.552 -68.3532
10.150000 81.708 -69.4463
10.300000 81.859 -70.5349
10.440000 81.996 -71.5486
10.600000 82.147 -72.6976
10.750000 82.283 -73.7625
10.900000 82.413 -74.8147
11.060000 82.546 -75.9121
11.200000 82.658 -76.8524
11.380000 82.797 -78.0298
11.500000 82.887 -78.7926
11.720000 83.049 -80.1526
11.800000 83.106 -80.6356
12.060000 83.291 -82.1671
12.200000 83.390 -82.9779
12.410000 83.535 -84.1776
12.500000 83.597 -84.6906
12.650000 83.698 -85.5430
12.800000 83.797 -86.3922
13.150000 84.017 -88.3646
13.200000 84.047 -88.6428
13.400000 84.163 -89.7485
13.600000 84.274 -90.8293
13.800000 84.379 -91.8804
14.000000 84.481 -92.8974
14.300000 84.629 -94.3596
14.500000 84.728 -95.2975
14.750000 84.850 -96.4451
15.000000 84.973 -97.5744
15.250000 85.095 -98.7019
15.500000 85.214 -99.8303
15.750000 85.329 -100.9593
16.000000 85.437 -102.0821
16.250000 85.541 -103.1879
16.500000 85.638 -104.2713
16.750000 85.732 -105.3262
17.000000 85.822 -106.3539
17.250000 85.910 -107.3573
17.500000 85.995 -108.3408
17.750000 86.078 -109.3091
18.000000 86.158 -110.2627
18.250000 86.235 -111.2023
18.500000 86.310 -112.1247
18.750000 86.381 -113.0289
19.000000 86.449 -113.9137
19.250000 86.516 -114.7806
19.500000 86.581 -115.6327
19.750000 86.645 -116.4726
20.000000 86.706 -117.3039
20.299999 86.777 -118.2898
20.600000 86.844 -119.2600
20.900000 86.906 -120.2085
21.200001 86.965 -121.1284
21.400000 87.003 -121.7237
21.799999 87.079 -122.8765
22.000000 87.117 -123.4394
22.400000 87.195 -124.5546
22.700001 87.253 -125.3955
23.000000 87.309 -126.2473
23.299999 87.361 -127.1047
23.600000 87.407 -127.9550
24.000000 87.460 -129.0522
24.299999 87.496 -129.8317
24.700001 87.544 -130.8111
25.000000 87.582 -131.5159
25.400000 87.638 -132.4487
25.799999 87.695 -133.4054
26.200001 87.746 -134.3893
26.500000 87.780 -135.1271
26.900000 87.816 -136.0805
27.200001 87.841 -136.7593
27.600000 87.876 -137.6214
28.000000 87.915 -138.4689
28.500000 87.965 -139.5653
29.000000 88.004 -140.7071
29.500000 88.027 -141.8219
30.000000 88.040 -142.8279
30.400000 88.052 -143.5509
30.700001 88.066 -144.0671
31.100000 88.090 -144.7563
31.500000 88.115 -145.4646
32.000000 88.144 -146.3645
32.500000 88.168 -147.2432
33.000000 88.192 -148.0918
33.500000 88.218 -148.9404
34.000000 88.242 -149.8111
34.500000 88.258 -150.6815
35.000000 88.267 -151.5141
35.500000 88.274 -152.2977
36.000000 88.283 -153.0528
36.500000 88.292 -153.7973
37.000000 88.300 -154.5291
37.500000 88.307 -155.2416
38.200001 88.319 -156.2204
38.700001 88.327 -156.9187
39.500000 88.335 -158.0219
40.000000 88.338 -158.6964
40.599998 88.338 -159.4955
41.200001 88.332 -160.2695
41.799999 88.321 -160.9864
42.500000 88.312 -161.7532
43.099998 88.311 -162.4087
43.700001 88.309 -163.1007
44.400002 88.299 -163.9228
45.000000 88.287 -164.5967
45.500000 88.278 -165.1416
46.200001 88.268 -165.9159
46.799999 88.258 -166.5827
47.500000 88.248 -167.3157
48.200001 88.250 -168.0595
48.700001 88.252 -168.6645
49.400002 88.229 -169.5553
50.000000 88.186 -170.1623
50.799999 88.144 -170.6385
51.500000 88.147 -171.0217
52.200001 88.157 -171.5905
53.000000 88.140 -172.3152
53.799999 88.106 -172.9194
54.500000 88.081 -173.3954
55.200001 88.060 -173.8976
56.000000 88.035 -174.5128
57.000000 87.998 -175.3039
58.000000 87.961 -176.0886
59.000000 87.925 -176.8767
60.000000 87.887 -177.6095
60.799999 87.861 -178.1374
61.500000 87.842 -178.5996
62.200001 87.821 -179.0723
63.000000 87.791 -179.5894
64.000000 87.749 179.8169
65.000000 87.708 179.2360
66.000000 87.663 178.6588
67.000000 87.617 178.0986
68.000000 87.573 177.5489
69.000000 87.531 177.0105
70.000000 87.491 176.4882
71.000000 87.452 175.9751
72.000000 87.412 175.4791
73.000000 87.371 175.0014
74.000000 87.330 174.5295
75.000000 87.286 174.0648
76.199997 87.230 173.5251
77.500000 87.170 172.9706
78.800003 87.113 172.4345
80.000000 87.061 171.9305
81.199997 87.006 171.4548
82.500000 86.949 170.9791
83.800003 86.894 170.5090
85.000000 86.842 170.0801
86.199997 86.788 169.6778
87.500000 86.732 169.2716
88.500000 86.689 168.9631
90.000000 86.623 168.5130
91.199997 86.569 168.1660
92.500000 86.510 167.8038
93.800003 86.452 167.4494
95.000000 86.400 167.1223
96.199997 86.348 166.7960
97.500000 86.294 166.4364
98.800003 86.237 166.0708
100.000000 86.181 165.7718
101.500000 86.115 165.4786
103.000000 86.055 165.1959
104.400002 85.997 164.9291
106.000000 85.930 164.6216
107.500000 85.867 164.3295
109.000000 85.803 164.0438
110.599998 85.737 163.7587
112.000000 85.681 163.5217
113.800003 85.607 163.2423
115.000000 85.558 163.0706
117.199997 85.467 162.7623
118.000000 85.435 162.6512
120.599998 85.330 162.2930
122.000000 85.273 162.1135
124.099998 85.192 161.8730
125.000000 85.159 161.7695
126.500000 85.101 161.5978
128.000000 85.041 161.4478
131.500000 84.908 161.1326
132.000000 84.890 161.0872
134.000000 84.818 160.9157
136.000000 84.748 160.7624
138.000000 84.673 160.6190
140.000000 84.595 160.4890
143.000000 84.489 160.3023
145.000000 84.423 160.2114
147.500000 84.333 160.2101
150.000000 84.252 160.2335
152.500000 84.171 160.0266
155.000000 84.081 159.8166
157.500000 83.999 159.7082
160.000000 83.920 159.6577
162.500000 83.838 159.6134
165.000000 83.756 159.5781
167.500000 83.677 159.5754
170.000000 83.604 159.5694
172.500000 83.531 159.5571
175.000000 83.456 159.5605
177.500000 83.382 159.5790
180.000000 83.308 159.6068
182.500000 83.236 159.6333
185.000000 83.165 159.6633
187.500000 83.098 159.7155
190.000000 83.034 159.7849
192.500000 82.968 159.8469
195.000000 82.899 159.8918
197.500000 82.836 159.9121
200.000000 82.775 159.9500
203.000000 82.699 160.1116
206.000000 82.624 160.3005
209.000000 82.548 160.4517
212.000000 82.475 160.5905
214.000000 82.428 160.6846
218.000000 82.338 160.8835
220.000000 82.295 160.9893
224.000000 82.207 161.2151
227.000000 82.143 161.3867
230.000000 82.083 161.5575
233.000000 82.024 161.7303
236.000000 81.964 161.9277
240.000000 81.886 162.2212
243.000000 81.828 162.4377
247.000000 81.757 162.7685
250.000000 81.709 163.0143
254.000000 81.650 163.2083
258.000000 81.591 163.3890
262.000000 81.533 163.5975
265.000000 81.489 163.7309
269.000000 81.430 163.9464
272.000000 81.384 164.1472
276.000000 81.324 164.4089
280.000000 81.267 164.6648
285.000000 81.193 164.9716
290.000000 81.122 165.2728
295.000000 81.055 165.5902
300.000000 80.991 165.9260
