* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -31.9 dBFS, measurement signal peak level -28.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 08/08/2024 6:38:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0889 ms (-30 mm, -1.2 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: EW300 Pink R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 42.082 116.8298
1.015000 42.339 115.4079
1.030000 42.593 114.0206
1.044000 42.829 112.7616
1.060000 43.094 111.3700
1.075000 43.340 110.1163
1.090000 43.581 108.9169
1.106000 43.834 107.7003
1.120000 44.054 106.6768
1.138000 44.336 105.4102
1.150000 44.523 104.5946
1.172000 44.864 103.1548
1.180000 44.988 102.6477
1.206000 45.387 101.0547
1.220000 45.600 100.2284
1.241000 45.918 99.0249
1.250000 46.053 98.5209
1.265000 46.278 97.6947
1.280000 46.502 96.8834
1.315000 47.018 95.0353
1.320000 47.092 94.7750
1.340000 47.383 93.7399
1.360000 47.671 92.7097
1.380000 47.957 91.6787
1.400000 48.240 90.6410
1.430000 48.660 89.0594
1.450000 48.936 87.9797
1.475000 49.277 86.5947
1.500000 49.614 85.1945
1.525000 49.947 83.7888
1.550000 50.275 82.3809
1.575000 50.599 80.9744
1.600000 50.920 79.5727
1.625000 51.236 78.1794
1.650000 51.548 76.7978
1.675000 51.857 75.4315
1.700000 52.161 74.0839
1.725000 52.462 72.7585
1.750000 52.759 71.4588
1.775000 53.053 70.1882
1.800000 53.343 68.9502
1.825000 53.629 67.7483
1.850000 53.911 66.5850
1.875000 54.189 65.4581
1.900000 54.463 64.3645
1.925000 54.732 63.3011
1.950000 54.998 62.2645
1.975000 55.260 61.2519
2.000000 55.518 60.2599
2.030000 55.824 59.0924
2.060000 56.124 57.9447
2.090000 56.420 56.8115
2.120000 56.712 55.6873
2.140000 56.905 54.9401
2.180000 57.285 53.4440
2.200000 57.472 52.6920
2.240000 57.841 51.1968
2.270000 58.112 50.0893
2.300000 58.378 48.9934
2.330000 58.640 47.9093
2.360000 58.897 46.8369
2.400000 59.234 45.4249
2.430000 59.482 44.3794
2.470000 59.808 43.0031
2.500000 60.048 41.9842
2.540000 60.365 40.6431
2.580000 60.676 39.3221
2.620000 60.981 38.0217
2.650000 61.204 37.0600
2.690000 61.498 35.7956
2.720000 61.713 34.8606
2.760000 61.996 33.6316
2.800000 62.274 32.4224
2.850000 62.614 30.9386
2.900000 62.948 29.4851
2.950000 63.276 28.0629
3.000000 63.595 26.6814
3.040000 63.845 25.6035
3.070000 64.030 24.8087
3.110000 64.271 23.7647
3.150000 64.509 22.7354
3.200000 64.801 21.4646
3.250000 65.087 20.2050
3.300000 65.368 18.9503
3.350000 65.644 17.7008
3.400000 65.914 16.4620
3.450000 66.177 15.2368
3.500000 66.436 14.0283
3.550000 66.689 12.8396
3.600000 66.938 11.6736
3.650000 67.183 10.5334
3.700000 67.424 9.4228
3.750000 67.660 8.3425
3.820000 67.982 6.8719
3.870000 68.207 5.8446
3.950000 68.559 4.2274
4.000000 68.775 3.2256
4.060000 69.029 2.0261
4.120000 69.278 0.8357
4.180000 69.521 -0.3414
4.250000 69.799 -1.6942
4.310000 70.032 -2.8328
4.370000 70.261 -3.9491
4.440000 70.523 -5.2192
4.500000 70.742 -6.2803
4.550000 70.922 -7.1479
4.620000 71.169 -8.3415
4.680000 71.376 -9.3492
4.750000 71.614 -10.5123
4.820000 71.847 -11.6634
4.870000 72.010 -12.4753
4.940000 72.235 -13.5971
5.000000 72.424 -14.5445
5.080000 72.671 -15.7867
5.150000 72.883 -16.8532
5.220000 73.092 -17.8987
5.300000 73.325 -19.0701
5.380000 73.553 -20.2199
5.450000 73.749 -21.2112
5.520000 73.942 -22.1909
5.600000 74.159 -23.2922
5.700000 74.423 -24.6428
5.800000 74.682 -25.9694
5.900000 74.935 -27.2762
6.000000 75.182 -28.5601
6.080000 75.376 -29.5716
6.150000 75.542 -30.4465
6.220000 75.706 -31.3132
6.300000 75.890 -32.2928
6.400000 76.116 -33.4997
6.500000 76.336 -34.6898
6.600000 76.551 -35.8663
6.700000 76.760 -37.0301
6.800000 76.965 -38.1795
6.900000 77.164 -39.3130
7.000000 77.358 -40.4291
7.100000 77.547 -41.5288
7.200000 77.731 -42.6118
7.300000 77.911 -43.6776
7.400000 78.086 -44.7261
7.500000 78.256 -45.7577
7.620000 78.456 -46.9723
7.750000 78.666 -48.2575
7.880000 78.869 -49.5103
8.000000 79.052 -50.6413
8.120000 79.232 -51.7505
8.250000 79.421 -52.9249
8.380000 79.607 -54.0767
8.500000 79.774 -55.1239
8.620000 79.939 -56.1530
8.750000 80.113 -57.2526
8.850000 80.244 -58.0907
9.000000 80.437 -59.3323
9.120000 80.586 -60.3134
9.250000 80.744 -61.3660
9.380000 80.898 -62.4072
9.500000 81.036 -63.3550
9.620000 81.169 -64.2895
9.750000 81.310 -65.2875
9.880000 81.446 -66.2662
10.000000 81.569 -67.1508
10.150000 81.717 -68.2328
10.300000 81.862 -69.2861
10.440000 81.993 -70.2416
10.600000 82.141 -71.3073
10.750000 82.278 -72.2830
10.900000 82.414 -73.2377
11.060000 82.557 -74.2456
11.200000 82.681 -75.1164
11.380000 82.839 -76.2339
11.500000 82.943 -76.9799
11.720000 83.130 -78.3508
11.800000 83.196 -78.8524
12.060000 83.404 -80.4892
12.200000 83.510 -81.3717
12.410000 83.663 -82.6937
12.500000 83.725 -83.2546
12.650000 83.825 -84.1846
12.800000 83.921 -85.1017
13.150000 84.127 -87.1741
13.200000 84.155 -87.4613
13.400000 84.264 -88.5872
13.600000 84.368 -89.6763
13.800000 84.468 -90.7276
14.000000 84.566 -91.7451
14.300000 84.709 -93.2112
14.500000 84.804 -94.1537
14.750000 84.921 -95.3013
15.000000 85.037 -96.4204
15.250000 85.154 -97.5224
15.500000 85.269 -98.6161
15.750000 85.383 -99.7069
16.000000 85.495 -100.8001
16.250000 85.602 -101.8921
16.500000 85.704 -102.9783
16.750000 85.800 -104.0506
17.000000 85.892 -105.0991
17.250000 85.979 -106.1209
17.500000 86.064 -107.1132
17.750000 86.147 -108.0817
18.000000 86.229 -109.0321
18.250000 86.310 -109.9710
18.500000 86.389 -110.9046
18.750000 86.464 -111.8316
19.000000 86.536 -112.7509
19.250000 86.604 -113.6545
19.500000 86.669 -114.5376
19.750000 86.730 -115.3963
20.000000 86.790 -116.2293
20.299999 86.861 -117.2015
20.600000 86.931 -118.1528
20.900000 87.001 -119.0938
21.200001 87.069 -120.0334
21.400000 87.112 -120.6602
21.799999 87.194 -121.9090
22.000000 87.231 -122.5262
22.400000 87.300 -123.7328
22.700001 87.347 -124.6029
23.000000 87.391 -125.4365
23.299999 87.436 -126.2362
23.600000 87.484 -127.0122
24.000000 87.551 -128.0364
24.299999 87.604 -128.8213
24.700001 87.673 -129.9127
25.000000 87.719 -130.7632
25.400000 87.769 -131.9112
25.799999 87.802 -133.0179
26.200001 87.826 -134.0309
26.500000 87.844 -134.7206
26.900000 87.872 -135.5691
27.200001 87.899 -136.1828
27.600000 87.940 -137.0085
28.000000 87.982 -137.8589
28.500000 88.027 -138.9274
29.000000 88.065 -139.9467
29.500000 88.105 -140.9069
30.000000 88.148 -141.8552
30.400000 88.184 -142.6352
30.700001 88.207 -143.2331
31.100000 88.234 -144.0312
31.500000 88.254 -144.8126
32.000000 88.276 -145.7561
32.500000 88.294 -146.6751
33.000000 88.307 -147.5743
33.500000 88.315 -148.4307
34.000000 88.323 -149.2214
34.500000 88.337 -149.9679
35.000000 88.360 -150.7261
35.500000 88.384 -151.5366
36.000000 88.402 -152.3822
36.500000 88.410 -153.2122
37.000000 88.413 -153.9913
37.500000 88.416 -154.7245
38.200001 88.422 -155.7097
38.700001 88.425 -156.3905
39.500000 88.432 -157.4431
40.000000 88.437 -158.1000
40.599998 88.438 -158.8970
41.200001 88.433 -159.6748
41.799999 88.425 -160.4099
42.500000 88.416 -161.2304
43.099998 88.410 -161.9201
43.700001 88.405 -162.5977
44.400002 88.402 -163.3884
45.000000 88.398 -164.0765
45.500000 88.394 -164.6403
46.200001 88.386 -165.3991
46.799999 88.380 -166.0443
47.500000 88.364 -166.7656
48.200001 88.345 -167.3440
48.700001 88.347 -167.6966
49.400002 88.371 -168.3194
50.000000 88.380 -169.0605
50.799999 88.338 -170.0533
51.500000 88.282 -170.6579
52.200001 88.248 -171.1380
53.000000 88.223 -171.7767
53.799999 88.189 -172.4611
54.500000 88.159 -173.0216
55.200001 88.132 -173.5746
56.000000 88.103 -174.2094
57.000000 88.069 -174.9792
58.000000 88.035 -175.7313
59.000000 87.998 -176.4462
60.000000 87.960 -177.1137
60.799999 87.928 -177.6125
61.500000 87.903 -178.0326
62.200001 87.879 -178.4583
63.000000 87.851 -178.9606
64.000000 87.811 -179.5853
65.000000 87.771 179.8120
66.000000 87.730 179.2135
67.000000 87.688 178.6366
68.000000 87.646 178.0868
69.000000 87.604 177.5334
70.000000 87.558 177.0140
71.000000 87.514 176.5366
72.000000 87.472 176.0620
73.000000 87.429 175.5977
74.000000 87.387 175.1498
75.000000 87.344 174.7115
76.199997 87.292 174.1956
77.500000 87.235 173.6499
78.800003 87.177 173.1265
80.000000 87.125 172.6609
81.199997 87.074 172.2009
82.500000 87.018 171.7138
83.800003 86.959 171.2596
85.000000 86.905 170.8669
86.199997 86.851 170.4861
87.500000 86.793 170.0779
88.500000 86.748 169.7667
90.000000 86.681 169.3184
91.199997 86.628 168.9688
92.500000 86.571 168.6162
93.800003 86.514 168.2703
95.000000 86.460 167.9683
96.199997 86.406 167.6777
97.500000 86.346 167.3715
98.800003 86.289 167.0892
100.000000 86.240 166.8391
101.500000 86.182 166.5107
103.000000 86.123 166.1755
104.400002 86.062 165.8734
106.000000 85.989 165.5692
107.500000 85.923 165.3093
109.000000 85.859 165.0547
110.599998 85.793 164.7848
112.000000 85.737 164.5474
113.800003 85.664 164.2658
115.000000 85.616 164.0932
117.199997 85.529 163.7935
118.000000 85.497 163.6865
120.599998 85.390 163.3656
122.000000 85.334 163.2168
124.099998 85.252 162.9907
125.000000 85.217 162.8950
126.500000 85.158 162.7480
128.000000 85.099 162.6179
131.500000 84.969 162.3390
132.000000 84.952 162.2995
134.000000 84.883 162.1423
136.000000 84.816 162.0003
138.000000 84.744 161.8757
140.000000 84.668 161.7685
143.000000 84.561 161.5918
145.000000 84.497 161.4991
147.500000 84.422 161.5139
150.000000 84.355 161.5164
152.500000 84.260 161.3461
155.000000 84.160 161.2073
157.500000 84.076 161.1163
160.000000 84.000 161.0760
162.500000 83.921 161.0560
165.000000 83.843 161.0379
167.500000 83.769 161.0322
170.000000 83.698 161.0369
172.500000 83.625 161.0633
175.000000 83.552 161.0973
177.500000 83.481 161.1290
180.000000 83.409 161.1681
182.500000 83.339 161.2191
185.000000 83.271 161.2766
187.500000 83.205 161.3392
190.000000 83.138 161.4179
192.500000 83.075 161.4896
195.000000 83.014 161.5481
197.500000 82.957 161.6159
200.000000 82.899 161.6838
203.000000 82.819 161.8107
206.000000 82.743 161.9607
209.000000 82.672 162.0963
212.000000 82.603 162.2411
214.000000 82.556 162.3400
218.000000 82.467 162.5351
220.000000 82.425 162.6364
224.000000 82.340 162.8583
227.000000 82.278 163.0343
230.000000 82.218 163.2070
233.000000 82.158 163.3839
236.000000 82.098 163.5733
240.000000 82.019 163.8366
243.000000 81.960 164.0238
247.000000 81.884 164.2135
250.000000 81.831 164.3680
254.000000 81.765 164.7092
258.000000 81.700 165.0492
262.000000 81.633 165.3293
265.000000 81.586 165.5463
269.000000 81.526 165.8490
272.000000 81.483 166.0735
276.000000 81.427 166.3672
280.000000 81.370 166.6535
285.000000 81.296 167.0069
290.000000 81.226 167.3715
295.000000 81.162 167.7144
300.000000 81.101 168.0439
