* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -30.5 dBFS, measurement signal peak level -27.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 08/08/2024 6:34:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0395 ms (-14 mm, -0.53 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: EW300 Red L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 43.061 111.8006
1.015000 43.270 110.5528
1.030000 43.478 109.3359
1.044000 43.671 108.2317
1.060000 43.890 107.0118
1.075000 44.093 105.9131
1.090000 44.294 104.8623
1.106000 44.506 103.7970
1.120000 44.691 102.9027
1.138000 44.930 101.7987
1.150000 45.090 101.0895
1.172000 45.385 99.8403
1.180000 45.492 99.4013
1.206000 45.841 98.0247
1.220000 46.029 97.3120
1.241000 46.311 96.2754
1.250000 46.432 95.8417
1.265000 46.633 95.1308
1.280000 46.834 94.4329
1.315000 47.302 92.8420
1.320000 47.369 92.6177
1.340000 47.634 91.7244
1.360000 47.899 90.8331
1.380000 48.161 89.9383
1.400000 48.422 89.0343
1.430000 48.809 87.6486
1.450000 49.065 86.6968
1.475000 49.380 85.4689
1.500000 49.694 84.2205
1.525000 50.005 82.9612
1.550000 50.316 81.6946
1.575000 50.624 80.4246
1.600000 50.930 79.1547
1.625000 51.234 77.8888
1.650000 51.535 76.6305
1.675000 51.834 75.3835
1.700000 52.130 74.1517
1.725000 52.423 72.9387
1.750000 52.714 71.7481
1.775000 53.001 70.5839
1.800000 53.284 69.4496
1.825000 53.565 68.3489
1.850000 53.841 67.2843
1.875000 54.115 66.2523
1.900000 54.385 65.2500
1.925000 54.653 64.2743
1.950000 54.917 63.3222
1.975000 55.178 62.3906
2.000000 55.437 61.4764
2.030000 55.744 60.3983
2.060000 56.046 59.3357
2.090000 56.345 58.2834
2.120000 56.639 57.2362
2.140000 56.834 56.5382
2.180000 57.217 55.1359
2.200000 57.407 54.4285
2.240000 57.780 53.0163
2.270000 58.055 51.9654
2.300000 58.326 50.9217
2.330000 58.593 49.8855
2.360000 58.856 48.8570
2.400000 59.201 47.4982
2.430000 59.456 46.4887
2.470000 59.790 45.1560
2.500000 60.037 44.1668
2.540000 60.362 42.8620
2.580000 60.681 41.5735
2.620000 60.994 40.2999
2.650000 61.224 39.3543
2.690000 61.525 38.1066
2.720000 61.748 37.1809
2.760000 62.039 35.9603
2.800000 62.325 34.7558
2.850000 62.676 33.2732
2.900000 63.019 31.8170
2.950000 63.356 30.3887
3.000000 63.685 28.9945
3.040000 63.941 27.9018
3.070000 64.130 27.0937
3.110000 64.378 26.0295
3.150000 64.622 24.9778
3.200000 64.921 23.6770
3.250000 65.213 22.3867
3.300000 65.501 21.1017
3.350000 65.782 19.8206
3.400000 66.056 18.5473
3.450000 66.323 17.2858
3.500000 66.585 16.0400
3.550000 66.841 14.8137
3.600000 67.093 13.6108
3.650000 67.340 12.4353
3.700000 67.583 11.2908
3.750000 67.820 10.1765
3.820000 68.143 8.6586
3.870000 68.368 7.5985
3.950000 68.720 5.9316
4.000000 68.935 4.9012
4.060000 69.189 3.6705
4.120000 69.437 2.4518
4.180000 69.679 1.2487
4.250000 69.955 -0.1317
4.310000 70.186 -1.2919
4.370000 70.414 -2.4282
4.440000 70.674 -3.7195
4.500000 70.892 -4.7961
4.550000 71.071 -5.6750
4.620000 71.316 -6.8830
4.680000 71.522 -7.9024
4.750000 71.759 -9.0792
4.820000 71.991 -10.2442
4.870000 72.154 -11.0652
4.940000 72.378 -12.1992
5.000000 72.566 -13.1572
5.080000 72.813 -14.4149
5.150000 73.025 -15.4970
5.220000 73.232 -16.5597
5.300000 73.465 -17.7518
5.380000 73.693 -18.9239
5.450000 73.888 -19.9358
5.520000 74.080 -20.9372
5.600000 74.295 -22.0657
5.700000 74.557 -23.4523
5.800000 74.813 -24.8149
5.900000 75.062 -26.1557
6.000000 75.305 -27.4737
6.080000 75.494 -28.5115
6.150000 75.657 -29.4076
6.220000 75.817 -30.2925
6.300000 75.996 -31.2896
6.400000 76.214 -32.5146
6.500000 76.428 -33.7179
6.600000 76.636 -34.9017
6.700000 76.839 -36.0659
6.800000 77.037 -37.2098
6.900000 77.231 -38.3339
7.000000 77.420 -39.4384
7.100000 77.606 -40.5215
7.200000 77.787 -41.5858
7.300000 77.964 -42.6342
7.400000 78.138 -43.6679
7.500000 78.309 -44.6852
7.620000 78.509 -45.8867
7.750000 78.720 -47.1675
7.880000 78.927 -48.4248
8.000000 79.112 -49.5673
8.120000 79.294 -50.6955
8.250000 79.485 -51.9000
8.380000 79.671 -53.0868
8.500000 79.839 -54.1671
8.620000 80.002 -55.2329
8.750000 80.174 -56.3700
8.850000 80.303 -57.2319
9.000000 80.491 -58.5045
9.120000 80.637 -59.5042
9.250000 80.792 -60.5679
9.380000 80.943 -61.6118
9.500000 81.078 -62.5585
9.620000 81.212 -63.4886
9.750000 81.353 -64.4773
9.880000 81.491 -65.4502
10.000000 81.616 -66.3346
10.150000 81.770 -67.4216
10.300000 81.920 -68.4944
10.440000 82.058 -69.4821
10.600000 82.212 -70.5977
10.750000 82.352 -71.6341
10.900000 82.489 -72.6597
11.060000 82.630 -73.7409
11.200000 82.750 -74.6770
11.380000 82.899 -75.8597
11.500000 82.994 -76.6348
11.720000 83.163 -78.0232
11.800000 83.222 -78.5151
12.060000 83.410 -80.0696
12.200000 83.509 -80.8765
12.410000 83.654 -82.0508
12.500000 83.716 -82.5446
12.650000 83.819 -83.3517
12.800000 83.922 -84.1491
13.150000 84.160 -85.9940
13.200000 84.194 -86.2585
13.400000 84.327 -87.3203
13.600000 84.456 -88.3891
13.800000 84.579 -89.4680
14.000000 84.695 -90.5427
14.300000 84.854 -92.1350
14.500000 84.951 -93.1628
14.750000 85.064 -94.3915
15.000000 85.170 -95.5504
15.250000 85.275 -96.6372
15.500000 85.380 -97.6711
15.750000 85.488 -98.6672
16.000000 85.599 -99.6526
16.250000 85.711 -100.6469
16.500000 85.822 -101.6564
16.750000 85.929 -102.6853
17.000000 86.030 -103.7202
17.250000 86.124 -104.7506
17.500000 86.211 -105.7629
17.750000 86.294 -106.7464
18.000000 86.373 -107.7011
18.250000 86.450 -108.6279
18.500000 86.526 -109.5370
18.750000 86.601 -110.4345
19.000000 86.675 -111.3258
19.250000 86.746 -112.2121
19.500000 86.813 -113.0881
19.750000 86.877 -113.9499
20.000000 86.937 -114.7891
20.299999 87.008 -115.7646
20.600000 87.078 -116.7088
20.900000 87.147 -117.6312
21.200001 87.217 -118.5448
21.400000 87.263 -119.1537
21.799999 87.350 -120.3676
22.000000 87.391 -120.9678
22.400000 87.466 -122.1379
22.700001 87.520 -122.9794
23.000000 87.573 -123.7903
23.299999 87.627 -124.5821
23.600000 87.681 -125.3671
24.000000 87.752 -126.4164
24.299999 87.802 -127.2040
24.700001 87.863 -128.2404
25.000000 87.906 -128.9980
25.400000 87.962 -129.9830
25.799999 88.017 -130.9600
26.200001 88.069 -131.9498
26.500000 88.104 -132.6977
26.900000 88.142 -133.6796
27.200001 88.166 -134.3855
27.600000 88.196 -135.2763
28.000000 88.228 -136.1306
28.500000 88.271 -137.2043
29.000000 88.306 -138.3002
29.500000 88.327 -139.3468
30.000000 88.343 -140.2615
30.400000 88.365 -140.9083
30.700001 88.389 -141.3789
31.100000 88.429 -142.0384
31.500000 88.472 -142.7577
32.000000 88.515 -143.7142
32.500000 88.545 -144.6591
33.000000 88.567 -145.5368
33.500000 88.589 -146.3507
34.000000 88.612 -147.1299
34.500000 88.637 -147.8951
35.000000 88.661 -148.6554
35.500000 88.683 -149.4168
36.000000 88.701 -150.1786
36.500000 88.714 -150.9296
37.000000 88.723 -151.6562
37.500000 88.732 -152.3569
38.200001 88.744 -153.3192
38.700001 88.753 -154.0095
39.500000 88.762 -155.1090
40.000000 88.765 -155.7742
40.599998 88.769 -156.5444
41.200001 88.774 -157.2960
41.799999 88.780 -158.0354
42.500000 88.786 -158.8766
43.099998 88.789 -159.5758
43.700001 88.790 -160.2515
44.400002 88.790 -161.0057
45.000000 88.790 -161.6395
45.500000 88.787 -162.1741
46.200001 88.775 -162.9148
46.799999 88.760 -163.5144
47.500000 88.742 -164.2038
48.200001 88.716 -164.9041
48.700001 88.690 -165.3502
49.400002 88.664 -165.8340
50.000000 88.669 -166.2362
50.799999 88.695 -167.0145
51.500000 88.695 -167.8546
52.200001 88.675 -168.6107
53.000000 88.654 -169.3305
53.799999 88.642 -170.0162
54.500000 88.630 -170.6043
55.200001 88.617 -171.1684
56.000000 88.598 -171.7905
57.000000 88.570 -172.5362
58.000000 88.536 -173.2567
59.000000 88.500 -173.9386
60.000000 88.471 -174.6108
60.799999 88.449 -175.1772
61.500000 88.429 -175.6748
62.200001 88.409 -176.1523
63.000000 88.388 -176.6782
64.000000 88.363 -177.3257
65.000000 88.336 -177.9540
66.000000 88.303 -178.5489
67.000000 88.266 -179.0869
68.000000 88.234 -179.6038
69.000000 88.200 179.8487
70.000000 88.160 179.3189
71.000000 88.124 178.8137
72.000000 88.088 178.3003
73.000000 88.051 177.8033
74.000000 88.014 177.3312
75.000000 87.978 176.8682
76.199997 87.933 176.3324
77.500000 87.883 175.7780
78.800003 87.833 175.2414
80.000000 87.787 174.7523
81.199997 87.739 174.2692
82.500000 87.687 173.7669
83.800003 87.638 173.2852
85.000000 87.593 172.8365
86.199997 87.546 172.3965
87.500000 87.494 171.9568
88.500000 87.454 171.6291
90.000000 87.393 171.1591
91.199997 87.345 170.7990
92.500000 87.293 170.4173
93.800003 87.243 170.0426
95.000000 87.198 169.6945
96.199997 87.152 169.3708
97.500000 87.103 169.0564
98.800003 87.058 168.7614
100.000000 87.017 168.4653
101.500000 86.955 168.0693
103.000000 86.887 167.7200
104.400002 86.828 167.4139
106.000000 86.764 167.0644
107.500000 86.707 166.7488
109.000000 86.650 166.4505
110.599998 86.589 166.1537
112.000000 86.535 165.9074
113.800003 86.467 165.5932
115.000000 86.421 165.3835
117.199997 86.337 165.0168
118.000000 86.307 164.8947
120.599998 86.212 164.5215
122.000000 86.161 164.3275
124.099998 86.085 164.0583
125.000000 86.052 163.9476
126.500000 85.999 163.7676
128.000000 85.944 163.5932
131.500000 85.814 163.2349
132.000000 85.797 163.1865
134.000000 85.730 162.9855
136.000000 85.664 162.7935
138.000000 85.597 162.6290
140.000000 85.530 162.4696
143.000000 85.431 162.2238
145.000000 85.368 162.1042
147.500000 85.293 162.0659
150.000000 85.224 162.0076
152.500000 85.136 161.7840
155.000000 85.043 161.5962
157.500000 84.966 161.4695
160.000000 84.893 161.3826
162.500000 84.816 161.3126
165.000000 84.739 161.2445
167.500000 84.666 161.1872
170.000000 84.596 161.1393
172.500000 84.526 161.0959
175.000000 84.456 161.0694
177.500000 84.386 161.0646
180.000000 84.318 161.0604
182.500000 84.251 161.0558
185.000000 84.185 161.0757
187.500000 84.121 161.1112
190.000000 84.057 161.1304
192.500000 83.996 161.1313
195.000000 83.934 161.1589
197.500000 83.868 161.2455
200.000000 83.803 161.3539
203.000000 83.731 161.4163
206.000000 83.663 161.4673
209.000000 83.596 161.5588
212.000000 83.529 161.6541
214.000000 83.485 161.7109
218.000000 83.397 161.8477
220.000000 83.353 161.9274
224.000000 83.268 162.0944
227.000000 83.207 162.2303
230.000000 83.147 162.3804
233.000000 83.088 162.5372
236.000000 83.029 162.6957
240.000000 82.955 162.9252
243.000000 82.901 163.1095
247.000000 82.823 163.3472
250.000000 82.765 163.5404
254.000000 82.707 163.7718
258.000000 82.651 163.9943
262.000000 82.594 164.2296
265.000000 82.552 164.4116
269.000000 82.498 164.6709
272.000000 82.458 164.8563
276.000000 82.404 165.0695
280.000000 82.351 165.2746
285.000000 82.287 165.5496
290.000000 82.224 165.8272
295.000000 82.163 166.0758
300.000000 82.109 166.3325
