* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -30.6 dBFS, measurement signal peak level -27.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 08/08/2024 6:32:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0444 ms (-15 mm, -0.6 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: EW300 Red R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 41.743 120.0062
1.015000 41.902 118.7646
1.030000 42.062 117.5481
1.044000 42.212 116.4390
1.060000 42.383 115.2067
1.075000 42.544 114.0897
1.090000 42.705 113.0137
1.106000 42.877 111.9132
1.120000 43.030 110.9774
1.138000 43.229 109.8055
1.150000 43.364 109.0427
1.172000 43.615 107.6799
1.180000 43.707 107.1951
1.206000 44.011 105.6553
1.220000 44.176 104.8471
1.241000 44.427 103.6590
1.250000 44.535 103.1580
1.265000 44.716 102.3324
1.280000 44.897 101.5177
1.315000 45.324 99.6505
1.320000 45.385 99.3868
1.340000 45.630 98.3378
1.360000 45.874 97.2953
1.380000 46.119 96.2559
1.400000 46.362 95.2161
1.430000 46.724 93.6484
1.450000 46.964 92.5929
1.475000 47.260 91.2578
1.500000 47.557 89.9179
1.525000 47.855 88.5788
1.550000 48.155 87.2429
1.575000 48.454 85.9128
1.600000 48.754 84.5909
1.625000 49.054 83.2797
1.650000 49.353 81.9815
1.675000 49.650 80.6988
1.700000 49.946 79.4340
1.725000 50.240 78.1896
1.750000 50.531 76.9681
1.775000 50.819 75.7719
1.800000 51.104 74.6034
1.825000 51.385 73.4651
1.850000 51.663 72.3596
1.875000 51.939 71.2874
1.900000 52.212 70.2456
1.925000 52.484 69.2312
1.950000 52.753 68.2413
1.975000 53.020 67.2732
2.000000 53.285 66.3237
2.030000 53.599 65.2049
2.060000 53.910 64.1039
2.090000 54.218 63.0156
2.120000 54.522 61.9350
2.140000 54.722 61.2163
2.180000 55.117 59.7765
2.200000 55.313 59.0525
2.240000 55.698 57.6124
2.270000 55.982 56.5450
2.300000 56.262 55.4881
2.330000 56.539 54.4415
2.360000 56.812 53.4050
2.400000 57.171 52.0382
2.430000 57.436 51.0242
2.470000 57.784 49.6865
2.500000 58.041 48.6937
2.540000 58.378 47.3835
2.580000 58.710 46.0883
2.620000 59.036 44.8093
2.650000 59.276 43.8608
2.690000 59.590 42.6105
2.720000 59.822 41.6835
2.760000 60.126 40.4616
2.800000 60.424 39.2558
2.850000 60.790 37.7711
2.900000 61.148 36.3112
2.950000 61.499 34.8766
3.000000 61.841 33.4731
3.040000 62.108 32.3714
3.070000 62.305 31.5561
3.110000 62.564 30.4821
3.150000 62.817 29.4211
3.200000 63.128 28.1101
3.250000 63.432 26.8126
3.300000 63.731 25.5244
3.350000 64.023 24.2444
3.400000 64.307 22.9757
3.450000 64.585 21.7213
3.500000 64.856 20.4842
3.550000 65.122 19.2675
3.600000 65.382 18.0743
3.650000 65.638 16.9076
3.700000 65.889 15.7703
3.750000 66.134 14.6616
3.820000 66.468 13.1512
3.870000 66.701 12.0972
3.950000 67.064 10.4446
4.000000 67.286 9.4273
4.060000 67.549 8.2181
4.120000 67.805 7.0267
4.180000 68.055 5.8553
4.250000 68.340 4.5156
4.310000 68.579 3.3919
4.370000 68.815 2.2922
4.440000 69.085 1.0428
4.500000 69.312 0.0033
4.550000 69.498 -0.8440
4.620000 69.753 -2.0069
4.680000 69.969 -2.9870
4.750000 70.217 -4.1178
4.820000 70.461 -5.2352
4.870000 70.633 -6.0207
4.940000 70.869 -7.1044
5.000000 71.069 -8.0201
5.080000 71.331 -9.2250
5.150000 71.557 -10.2664
5.220000 71.780 -11.2912
5.300000 72.030 -12.4437
5.380000 72.275 -13.5810
5.450000 72.486 -14.5677
5.520000 72.693 -15.5495
5.600000 72.926 -16.6617
5.700000 73.211 -18.0368
5.800000 73.489 -19.3974
5.900000 73.759 -20.7461
6.000000 74.022 -22.0834
6.080000 74.228 -23.1432
6.150000 74.404 -24.0621
6.220000 74.576 -24.9721
6.300000 74.768 -26.0018
6.400000 75.002 -27.2749
6.500000 75.229 -28.5295
6.600000 75.449 -29.7624
6.700000 75.662 -30.9752
6.800000 75.869 -32.1677
6.900000 76.070 -33.3365
7.000000 76.266 -34.4782
7.100000 76.456 -35.5934
7.200000 76.642 -36.6838
7.300000 76.823 -37.7507
7.400000 77.000 -38.7936
7.500000 77.174 -39.8115
7.620000 77.378 -41.0048
7.750000 77.594 -42.2680
7.880000 77.807 -43.4960
8.000000 77.998 -44.6064
8.120000 78.187 -45.7021
8.250000 78.388 -46.8677
8.380000 78.585 -48.0169
8.500000 78.763 -49.0683
8.620000 78.938 -50.1086
8.750000 79.122 -51.2233
8.850000 79.261 -52.0731
9.000000 79.464 -53.3354
9.120000 79.621 -54.3312
9.250000 79.787 -55.3938
9.380000 79.948 -56.4410
9.500000 80.093 -57.3909
9.620000 80.235 -58.3225
9.750000 80.384 -59.3127
9.880000 80.531 -60.2848
10.000000 80.664 -61.1652
10.150000 80.828 -62.2442
10.300000 80.989 -63.3089
10.440000 81.136 -64.2876
10.600000 81.302 -65.3964
10.750000 81.455 -66.4334
10.900000 81.604 -67.4656
11.060000 81.758 -68.5650
11.200000 81.889 -69.5267
11.380000 82.049 -70.7513
11.500000 82.152 -71.5611
11.720000 82.330 -73.0167
11.800000 82.392 -73.5318
12.060000 82.584 -75.1540
12.200000 82.683 -75.9820
12.410000 82.827 -77.1680
12.500000 82.889 -77.6570
12.650000 82.992 -78.4422
12.800000 83.096 -79.2059
13.150000 83.347 -80.9355
13.200000 83.383 -81.1838
13.400000 83.532 -82.1796
13.600000 83.680 -83.2013
13.800000 83.826 -84.2590
14.000000 83.967 -85.3466
14.300000 84.163 -87.0232
14.500000 84.281 -88.1470
14.750000 84.415 -89.5222
15.000000 84.537 -90.8460
15.250000 84.649 -92.0925
15.500000 84.758 -93.2671
15.750000 84.866 -94.3777
16.000000 84.975 -95.4464
16.250000 85.087 -96.4998
16.500000 85.199 -97.5503
16.750000 85.309 -98.6116
17.000000 85.414 -99.6795
17.250000 85.514 -100.7462
17.500000 85.607 -101.8005
17.750000 85.695 -102.8268
18.000000 85.777 -103.8204
18.250000 85.857 -104.7765
18.500000 85.936 -105.7002
18.750000 86.015 -106.5999
19.000000 86.094 -107.4837
19.250000 86.173 -108.3647
19.500000 86.251 -109.2470
19.750000 86.327 -110.1332
20.000000 86.398 -111.0198
20.299999 86.478 -112.0715
20.600000 86.551 -113.0957
20.900000 86.620 -114.0792
21.200001 86.686 -115.0164
21.400000 86.730 -115.6202
21.799999 86.820 -116.7970
22.000000 86.866 -117.3807
22.400000 86.957 -118.5566
22.700001 87.022 -119.4462
23.000000 87.081 -120.3308
23.299999 87.136 -121.1955
23.600000 87.187 -122.0325
24.000000 87.253 -123.1066
24.299999 87.302 -123.8928
24.700001 87.366 -124.9318
25.000000 87.411 -125.7056
25.400000 87.466 -126.7166
25.799999 87.516 -127.6838
26.200001 87.567 -128.6078
26.500000 87.606 -129.2897
26.900000 87.660 -130.2089
27.200001 87.698 -130.9119
27.600000 87.743 -131.8512
28.000000 87.779 -132.7544
28.500000 87.823 -133.8009
29.000000 87.876 -134.8047
29.500000 87.935 -135.8556
30.000000 87.985 -136.9740
30.400000 88.012 -137.8635
30.700001 88.027 -138.4938
31.100000 88.044 -139.2690
31.500000 88.067 -139.9904
32.000000 88.103 -140.8809
32.500000 88.140 -141.8058
33.000000 88.172 -142.7467
33.500000 88.196 -143.6578
34.000000 88.218 -144.5226
34.500000 88.241 -145.3611
35.000000 88.264 -146.1908
35.500000 88.284 -147.0073
36.000000 88.303 -147.7978
36.500000 88.321 -148.5634
37.000000 88.340 -149.3202
37.500000 88.357 -150.0788
38.200001 88.374 -151.1274
38.700001 88.382 -151.8419
39.500000 88.392 -152.9123
40.000000 88.400 -153.5576
40.599998 88.410 -154.3307
41.200001 88.417 -155.1069
41.799999 88.422 -155.8815
42.500000 88.422 -156.7718
43.099998 88.420 -157.5093
43.700001 88.418 -158.2258
44.400002 88.417 -159.0566
45.000000 88.414 -159.7596
45.500000 88.411 -160.3232
46.200001 88.412 -161.0916
46.799999 88.413 -161.7515
47.500000 88.411 -162.4731
48.200001 88.420 -163.1190
48.700001 88.438 -163.6210
49.400002 88.457 -164.4953
50.000000 88.441 -165.2904
50.799999 88.387 -166.0887
51.500000 88.356 -166.5620
52.200001 88.345 -167.0695
53.000000 88.327 -167.7416
53.799999 88.299 -168.3764
54.500000 88.280 -168.9075
55.200001 88.262 -169.4583
56.000000 88.241 -170.0942
57.000000 88.218 -170.8695
58.000000 88.199 -171.6574
59.000000 88.175 -172.4567
60.000000 88.144 -173.1889
60.799999 88.121 -173.7331
61.500000 88.102 -174.2050
62.200001 88.080 -174.6718
63.000000 88.053 -175.1902
64.000000 88.019 -175.8170
65.000000 87.984 -176.4302
66.000000 87.949 -177.0222
67.000000 87.918 -177.5966
68.000000 87.887 -178.1835
69.000000 87.852 -178.7546
70.000000 87.816 -179.2876
71.000000 87.781 -179.8062
72.000000 87.744 179.6804
73.000000 87.707 179.1728
74.000000 87.669 178.6752
75.000000 87.630 178.1945
76.199997 87.584 177.6408
77.500000 87.536 177.0715
78.800003 87.489 176.5192
80.000000 87.444 176.0170
81.199997 87.397 175.5266
82.500000 87.345 175.0180
83.800003 87.294 174.5220
85.000000 87.246 174.0742
86.199997 87.199 173.6436
87.500000 87.147 173.2011
88.500000 87.108 172.8723
90.000000 87.049 172.3911
91.199997 87.002 172.0103
92.500000 86.951 171.6068
93.800003 86.900 171.2187
95.000000 86.855 170.8730
96.199997 86.810 170.5483
97.500000 86.762 170.2264
98.800003 86.717 169.9158
100.000000 86.675 169.5987
101.500000 86.611 169.2047
103.000000 86.545 168.8634
104.400002 86.488 168.5529
106.000000 86.425 168.2003
107.500000 86.367 167.8906
109.000000 86.312 167.5962
110.599998 86.252 167.2887
112.000000 86.199 167.0285
113.800003 86.130 166.7131
115.000000 86.085 166.5113
117.199997 86.003 166.1578
118.000000 85.974 166.0359
120.599998 85.878 165.6693
122.000000 85.827 165.4831
124.099998 85.750 165.2055
125.000000 85.717 165.0890
126.500000 85.662 164.9024
128.000000 85.609 164.7275
131.500000 85.492 164.3470
132.000000 85.476 164.2943
134.000000 85.408 164.0827
136.000000 85.337 163.8803
138.000000 85.266 163.7088
140.000000 85.201 163.5612
143.000000 85.100 163.3565
145.000000 85.032 163.1925
147.500000 84.952 162.9096
150.000000 84.866 162.6643
152.500000 84.789 162.6630
155.000000 84.722 162.6622
157.500000 84.644 162.5960
160.000000 84.567 162.5086
162.500000 84.495 162.4307
165.000000 84.425 162.3644
167.500000 84.351 162.3083
170.000000 84.278 162.2721
172.500000 84.208 162.2493
175.000000 84.140 162.2284
177.500000 84.073 162.2099
180.000000 84.008 162.2032
182.500000 83.943 162.2059
185.000000 83.878 162.2174
187.500000 83.811 162.2335
190.000000 83.745 162.2556
192.500000 83.684 162.2904
195.000000 83.623 162.3459
197.500000 83.556 162.4309
200.000000 83.492 162.5228
203.000000 83.427 162.5757
206.000000 83.366 162.6135
209.000000 83.300 162.6930
212.000000 83.233 162.7854
214.000000 83.189 162.8501
218.000000 83.104 162.9967
220.000000 83.061 163.0752
224.000000 82.978 163.2401
227.000000 82.917 163.3778
230.000000 82.857 163.5259
233.000000 82.798 163.6647
236.000000 82.744 163.7961
240.000000 82.670 164.0046
243.000000 82.616 164.1692
247.000000 82.554 164.3815
250.000000 82.508 164.5428
254.000000 82.433 164.7657
258.000000 82.360 165.0081
262.000000 82.296 165.2650
265.000000 82.250 165.4522
269.000000 82.191 165.6934
272.000000 82.146 165.8838
276.000000 82.088 166.1460
280.000000 82.032 166.4017
285.000000 81.967 166.7052
290.000000 81.904 167.0192
295.000000 81.846 167.3287
300.000000 81.789 167.6273
