* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.800. Timing signal peak level -20.7 dBFS, measurement signal peak level -20.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 13/07/2022 8:59:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1006 ms (-35 mm, -1.36 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: EX15AP L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 44.657 -43.5026
1.015000 44.485 -42.9930
1.030000 44.329 -42.4096
1.044000 44.197 -41.7956
1.060000 44.067 -41.0085
1.075000 43.965 -40.1844
1.090000 43.885 -39.2737
1.106000 43.824 -38.1928
1.120000 43.784 -37.0976
1.138000 43.747 -35.4853
1.150000 43.731 -34.2940
1.172000 43.720 -31.8951
1.180000 43.722 -30.9609
1.206000 43.749 -27.7315
1.220000 43.777 -25.8889
1.241000 43.834 -23.0204
1.250000 43.865 -21.7609
1.265000 43.923 -19.6328
1.280000 43.992 -17.4810
1.315000 44.186 -12.4469
1.320000 44.218 -11.7340
1.340000 44.354 -8.9187
1.360000 44.505 -6.1869
1.380000 44.671 -3.5722
1.400000 44.850 -1.1082
1.430000 45.145 2.2318
1.450000 45.357 4.1723
1.475000 45.642 6.2418
1.500000 45.973 8.0997
1.525000 46.350 9.8006
1.550000 46.767 11.3500
1.575000 47.217 12.7536
1.600000 47.693 14.0166
1.625000 48.189 15.1448
1.650000 48.698 16.1435
1.675000 49.213 17.0183
1.700000 49.729 17.7748
1.725000 50.237 18.4183
1.750000 50.732 18.9545
1.775000 51.207 19.3888
1.800000 51.656 19.7268
1.825000 52.071 19.9740
1.850000 52.456 20.0969
1.875000 52.828 20.0177
1.900000 53.189 19.7553
1.925000 53.541 19.3328
1.950000 53.882 18.7734
1.975000 54.214 18.1002
2.000000 54.538 17.3364
2.030000 54.915 16.3326
2.060000 55.282 15.2717
2.090000 55.639 14.1934
2.120000 55.987 13.1378
2.140000 56.214 12.4665
2.180000 56.659 11.2547
2.200000 56.878 10.7372
2.240000 57.299 9.7615
2.270000 57.600 9.0365
2.300000 57.891 8.3162
2.330000 58.171 7.5995
2.360000 58.442 6.8854
2.400000 58.792 5.9355
2.430000 59.046 5.2234
2.470000 59.377 4.2723
2.500000 59.620 3.5564
2.540000 59.939 2.5965
2.580000 60.254 1.6270
2.620000 60.558 0.6388
2.650000 60.779 -0.1121
2.690000 61.064 -1.1205
2.720000 61.272 -1.8782
2.760000 61.542 -2.8844
2.800000 61.806 -3.8794
2.850000 62.129 -5.0963
2.900000 62.447 -6.2699
2.950000 62.762 -7.3878
3.000000 63.069 -8.4584
3.040000 63.308 -9.2870
3.070000 63.484 -9.8945
3.110000 63.715 -10.6888
3.150000 63.942 -11.4682
3.200000 64.222 -12.4268
3.250000 64.500 -13.3745
3.300000 64.776 -14.3178
3.350000 65.049 -15.2432
3.400000 65.319 -16.1433
3.450000 65.584 -17.0260
3.500000 65.846 -17.8992
3.550000 66.105 -18.7708
3.600000 66.362 -19.6486
3.650000 66.615 -20.5406
3.700000 66.867 -21.4486
3.750000 67.116 -22.3620
3.820000 67.460 -23.6489
3.870000 67.703 -24.5736
3.950000 68.083 -26.0623
4.000000 68.314 -26.9983
4.060000 68.587 -28.1264
4.120000 68.855 -29.2580
4.180000 69.117 -30.3948
4.250000 69.415 -31.7306
4.310000 69.663 -32.8859
4.370000 69.903 -34.0531
4.440000 70.172 -35.4370
4.500000 70.395 -36.6489
4.550000 70.575 -37.6698
4.620000 70.818 -39.1027
4.680000 71.018 -40.3227
4.750000 71.240 -41.7208
4.820000 71.450 -43.0936
4.870000 71.593 -44.0705
4.940000 71.783 -45.4253
5.000000 71.938 -46.5673
5.080000 72.133 -48.0503
5.150000 72.293 -49.3013
5.220000 72.441 -50.5266
5.300000 72.598 -51.8903
5.380000 72.743 -53.1968
5.450000 72.864 -54.2782
5.520000 72.979 -55.2904
5.600000 73.101 -56.3742
5.700000 73.240 -57.6250
5.800000 73.373 -58.7588
5.900000 73.507 -59.7711
6.000000 73.635 -60.6462
6.080000 73.735 -61.2646
6.150000 73.825 -61.7610
6.220000 73.920 -62.2281
6.300000 74.033 -62.7124
6.400000 74.179 -63.2295
6.500000 74.331 -63.6994
6.600000 74.491 -64.1767
6.700000 74.660 -64.6466
6.800000 74.838 -65.1021
6.900000 75.017 -65.5825
7.000000 75.196 -66.1227
7.100000 75.378 -66.7100
7.200000 75.560 -67.3359
7.300000 75.734 -67.9986
7.400000 75.899 -68.7060
7.500000 76.057 -69.4641
7.620000 76.235 -70.3959
7.750000 76.405 -71.3856
7.880000 76.554 -72.3900
8.000000 76.676 -73.2711
8.120000 76.784 -74.0496
8.250000 76.882 -74.8096
8.380000 76.972 -75.4516
8.500000 77.055 -75.9030
8.620000 77.133 -76.2256
8.750000 77.225 -76.4714
8.850000 77.309 -76.5998
9.000000 77.449 -76.6556
9.120000 77.577 -76.6822
9.250000 77.738 -76.7544
9.380000 77.919 -76.8331
9.500000 78.096 -76.9968
9.620000 78.280 -77.2940
9.750000 78.490 -77.7316
9.880000 78.693 -78.3040
10.000000 78.871 -78.9763
10.150000 79.083 -79.9804
10.300000 79.267 -81.0741
10.440000 79.411 -82.2046
10.600000 79.548 -83.5113
10.750000 79.643 -84.6721
10.900000 79.711 -85.7807
11.060000 79.768 -86.7805
11.200000 79.801 -87.5082
11.380000 79.846 -88.2488
11.500000 79.883 -88.5931
11.720000 79.971 -89.0533
11.800000 80.017 -89.1949
12.060000 80.205 -89.5967
12.200000 80.329 -89.9265
12.410000 80.539 -90.5664
12.500000 80.626 -90.9308
12.650000 80.774 -91.6632
12.800000 80.911 -92.4934
13.150000 81.156 -94.7121
13.200000 81.182 -95.0181
13.400000 81.263 -96.2233
13.600000 81.324 -97.2485
13.800000 81.370 -98.0247
14.000000 81.432 -98.5886
14.300000 81.569 -99.1128
14.500000 81.711 -99.4291
14.750000 81.922 -100.0290
15.000000 82.156 -100.9612
15.250000 82.365 -102.3089
15.500000 82.518 -103.8829
15.750000 82.602 -105.5262
16.000000 82.610 -106.9328
16.250000 82.576 -107.8618
16.500000 82.529 -108.2512
16.750000 82.517 -108.0722
17.000000 82.581 -107.6272
17.250000 82.722 -107.1396
17.500000 82.937 -106.9075
17.750000 83.172 -107.1331
18.000000 83.399 -107.7836
18.250000 83.585 -108.8110
18.500000 83.712 -109.9578
18.750000 83.787 -111.0660
19.000000 83.817 -111.9887
19.250000 83.832 -112.6221
19.500000 83.852 -113.0203
19.750000 83.891 -113.2303
20.000000 83.960 -113.4059
20.299999 84.070 -113.7057
20.600000 84.193 -114.1859
20.900000 84.308 -114.8482
21.200001 84.401 -115.6022
21.400000 84.452 -116.0894
21.799999 84.539 -116.9659
22.000000 84.582 -117.3480
22.400000 84.682 -118.0585
22.700001 84.766 -118.6258
23.000000 84.848 -119.2685
23.299999 84.916 -119.9467
23.600000 84.967 -120.5764
24.000000 85.019 -121.1975
24.299999 85.069 -121.4539
24.700001 85.181 -121.6311
25.000000 85.306 -121.8360
25.400000 85.507 -122.4766
25.799999 85.686 -123.6544
26.200001 85.787 -125.1639
26.500000 85.803 -126.2505
26.900000 85.764 -127.3334
27.200001 85.726 -127.7822
27.600000 85.711 -128.0115
28.000000 85.759 -128.1703
28.500000 85.866 -128.7299
29.000000 85.943 -129.6649
29.500000 85.971 -130.5294
30.000000 86.003 -131.0803
30.400000 86.065 -131.4656
30.700001 86.126 -131.8539
31.100000 86.199 -132.5341
31.500000 86.242 -133.2424
32.000000 86.268 -133.8099
32.500000 86.338 -133.9465
33.000000 86.496 -134.1469
33.500000 86.689 -134.9572
34.000000 86.808 -136.3526
34.500000 86.805 -137.6996
35.000000 86.731 -138.4217
35.500000 86.682 -138.4984
36.000000 86.708 -138.4180
36.500000 86.779 -138.6124
37.000000 86.841 -139.1323
37.500000 86.872 -139.7852
38.200001 86.887 -140.7211
38.700001 86.883 -141.4175
39.500000 86.839 -142.3910
40.000000 86.811 -142.7314
40.599998 86.820 -142.9073
41.200001 86.887 -143.0738
41.799999 86.997 -143.4168
42.500000 87.145 -144.1863
43.099998 87.243 -145.2148
43.700001 87.266 -146.3180
44.400002 87.226 -147.1210
45.000000 87.222 -147.3698
45.500000 87.265 -147.7075
46.200001 87.303 -148.7493
46.799999 87.247 -149.7256
47.500000 87.155 -150.3118
48.200001 87.133 -150.8171
48.700001 87.117 -151.4798
49.400002 87.009 -152.3137
50.000000 86.903 -152.2499
50.799999 86.937 -151.5234
51.500000 87.099 -151.4539
52.200001 87.236 -151.9183
53.000000 87.356 -152.3516
53.799999 87.500 -152.7397
54.500000 87.613 -153.3311
55.200001 87.671 -153.9764
56.000000 87.702 -154.4491
57.000000 87.765 -154.9827
58.000000 87.781 -156.0740
59.000000 87.677 -157.0294
60.000000 87.570 -157.4175
60.799999 87.536 -157.6037
61.500000 87.556 -157.8517
62.200001 87.607 -158.3888
63.000000 87.646 -159.3105
64.000000 87.656 -160.2325
65.000000 87.704 -160.8068
66.000000 87.759 -161.3025
67.000000 87.802 -161.4606
68.000000 87.849 -161.4638
69.000000 87.863 -161.4391
70.000000 87.847 -161.3862
71.000000 87.802 -161.4335
72.000000 87.741 -161.5772
73.000000 87.692 -161.9041
74.000000 87.660 -162.4580
75.000000 87.652 -163.1211
76.199997 87.675 -163.9896
77.500000 87.718 -164.6341
78.800003 87.804 -165.0215
80.000000 87.859 -165.3684
81.199997 87.871 -165.6633
82.500000 87.818 -165.9201
83.800003 87.783 -165.7639
85.000000 87.852 -166.1091
86.199997 87.869 -167.0682
87.500000 87.841 -167.7384
88.500000 87.824 -168.0603
90.000000 87.764 -168.2202
91.199997 87.701 -168.0896
92.500000 87.646 -168.0204
93.800003 87.617 -168.3828
95.000000 87.603 -169.2413
96.199997 87.591 -170.2945
97.500000 87.624 -171.2690
98.800003 87.678 -172.2316
100.000000 87.660 -172.6296
101.500000 87.648 -172.0985
103.000000 87.665 -171.6034
104.400002 87.650 -171.5838
106.000000 87.593 -172.0336
107.500000 87.544 -172.5381
109.000000 87.539 -172.9835
110.599998 87.556 -173.3550
112.000000 87.565 -173.5991
113.800003 87.544 -173.9503
115.000000 87.511 -174.1919
117.199997 87.464 -174.5694
118.000000 87.457 -174.6923
120.599998 87.441 -175.0642
122.000000 87.418 -175.2867
124.099998 87.378 -175.6489
125.000000 87.367 -175.8128
126.500000 87.358 -176.0896
128.000000 87.348 -176.3343
131.500000 87.263 -176.5744
132.000000 87.252 -176.6056
134.000000 87.216 -176.9911
136.000000 87.170 -177.4796
138.000000 87.141 -177.7706
140.000000 87.117 -177.9825
143.000000 87.068 -178.2858
145.000000 87.042 -178.4509
147.500000 87.016 -178.4634
150.000000 87.006 -178.5270
152.500000 86.942 -179.1078
155.000000 86.852 -179.6264
157.500000 86.798 -179.9930
160.000000 86.761 179.7593
162.500000 86.724 179.5681
165.000000 86.674 179.3647
167.500000 86.604 179.1337
170.000000 86.527 178.9127
172.500000 86.465 178.6682
175.000000 86.408 178.4214
177.500000 86.341 178.2276
180.000000 86.262 178.0836
182.500000 86.183 177.9297
185.000000 86.101 177.7504
187.500000 86.016 177.5920
190.000000 85.929 177.4619
192.500000 85.838 177.4052
195.000000 85.738 177.4939
197.500000 85.633 177.6596
200.000000 85.522 177.6565
203.000000 85.359 177.5629
206.000000 85.191 177.8194
209.000000 85.016 178.4338
212.000000 84.827 179.3041
214.000000 84.704 -179.8975
218.000000 84.526 -177.6535
220.000000 84.491 -176.3205
224.000000 84.562 -173.6563
227.000000 84.711 -172.1431
230.000000 84.897 -171.2503
233.000000 85.129 -170.8508
236.000000 85.368 -170.8627
240.000000 85.581 -171.2442
243.000000 85.674 -171.6807
247.000000 85.764 -172.2549
250.000000 85.808 -172.7236
254.000000 85.817 -173.5029
258.000000 85.800 -174.1499
262.000000 85.776 -174.6140
