* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.800. Timing signal peak level -47.9 dBFS, measurement signal peak level -21.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 13/07/2022 8:58:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1080 ms (-37 mm, -1.46 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: EX15AP R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 51.649 -62.1524
1.015000 51.599 -62.5312
1.030000 51.549 -62.8394
1.044000 51.502 -63.0580
1.060000 51.450 -63.2200
1.075000 51.402 -63.2806
1.090000 51.355 -63.2468
1.106000 51.304 -63.1004
1.120000 51.255 -62.8786
1.138000 51.183 -62.4728
1.150000 51.130 -62.1314
1.172000 51.027 -61.3695
1.180000 50.988 -61.0518
1.206000 50.855 -59.8835
1.220000 50.782 -59.1764
1.241000 50.672 -58.0261
1.250000 50.625 -57.5037
1.265000 50.549 -56.5985
1.280000 50.476 -55.6552
1.315000 50.320 -53.3388
1.320000 50.300 -52.9979
1.340000 50.227 -51.6180
1.360000 50.167 -50.2226
1.380000 50.123 -48.8254
1.400000 50.096 -47.4405
1.430000 50.094 -45.4164
1.450000 50.122 -44.1228
1.475000 50.191 -42.5739
1.500000 50.296 -40.9537
1.525000 50.433 -39.2417
1.550000 50.598 -37.4582
1.575000 50.789 -35.6235
1.600000 51.002 -33.7578
1.625000 51.235 -31.8813
1.650000 51.484 -30.0143
1.675000 51.746 -28.1770
1.700000 52.018 -26.3896
1.725000 52.298 -24.6724
1.750000 52.581 -23.0456
1.775000 52.866 -21.5294
1.800000 53.148 -20.1442
1.825000 53.425 -18.9100
1.850000 53.702 -17.8224
1.875000 53.993 -16.8303
1.900000 54.298 -15.9275
1.925000 54.614 -15.1103
1.950000 54.938 -14.3747
1.975000 55.269 -13.7171
2.000000 55.604 -13.1336
2.030000 56.007 -12.5259
2.060000 56.409 -12.0129
2.090000 56.804 -11.5879
2.120000 57.190 -11.2445
2.140000 57.440 -11.0576
2.180000 57.916 -10.7759
2.200000 58.139 -10.6776
2.240000 58.570 -10.6523
2.270000 58.883 -10.7919
2.300000 59.188 -11.0468
2.330000 59.485 -11.3984
2.360000 59.774 -11.8281
2.400000 60.147 -12.4907
2.430000 60.419 -13.0307
2.470000 60.769 -13.7729
2.500000 61.024 -14.3221
2.540000 61.353 -15.0093
2.580000 61.670 -15.6182
2.620000 61.972 -16.2363
2.650000 62.189 -16.7186
2.690000 62.466 -17.3808
2.720000 62.665 -17.8882
2.760000 62.921 -18.5734
2.800000 63.166 -19.2623
2.850000 63.460 -20.1180
2.900000 63.742 -20.9552
2.950000 64.014 -21.7648
3.000000 64.270 -22.5754
3.040000 64.463 -23.2255
3.070000 64.601 -23.7112
3.110000 64.779 -24.3528
3.150000 64.949 -24.9834
3.200000 65.154 -25.7496
3.250000 65.351 -26.4834
3.300000 65.544 -27.1763
3.350000 65.728 -27.8389
3.400000 65.901 -28.4795
3.450000 66.064 -29.0937
3.500000 66.221 -29.6771
3.550000 66.373 -30.2254
3.600000 66.522 -30.7340
3.650000 66.671 -31.1986
3.700000 66.818 -31.6120
3.750000 66.960 -31.9704
3.820000 67.152 -32.3980
3.870000 67.286 -32.6638
3.950000 67.501 -33.0482
4.000000 67.637 -33.2782
4.060000 67.803 -33.5527
4.120000 67.971 -33.7972
4.180000 68.139 -34.0158
4.250000 68.336 -34.2514
4.310000 68.507 -34.4479
4.370000 68.681 -34.6500
4.440000 68.888 -34.8923
4.500000 69.069 -35.0819
4.550000 69.222 -35.2358
4.620000 69.438 -35.4617
4.680000 69.624 -35.6808
4.750000 69.840 -35.9864
4.820000 70.056 -36.3519
4.870000 70.211 -36.6385
4.940000 70.429 -37.0734
5.000000 70.615 -37.4761
5.080000 70.858 -38.0539
5.150000 71.065 -38.5965
5.220000 71.268 -39.1808
5.300000 71.496 -39.8954
5.380000 71.718 -40.6502
5.450000 71.906 -41.3356
5.520000 72.086 -42.0396
5.600000 72.283 -42.8851
5.700000 72.519 -43.9884
5.800000 72.742 -45.1114
5.900000 72.952 -46.2259
6.000000 73.147 -47.3566
6.080000 73.294 -48.2637
6.150000 73.416 -49.0474
6.220000 73.534 -49.8120
6.300000 73.662 -50.6649
6.400000 73.812 -51.7120
6.500000 73.952 -52.7260
6.600000 74.088 -53.6941
6.700000 74.217 -54.6154
6.800000 74.340 -55.4946
6.900000 74.460 -56.3315
7.000000 74.579 -57.1245
7.100000 74.697 -57.8676
7.200000 74.813 -58.5708
7.300000 74.930 -59.2472
7.400000 75.050 -59.9003
7.500000 75.170 -60.5214
7.620000 75.316 -61.2427
7.750000 75.478 -62.0159
7.880000 75.643 -62.7704
8.000000 75.797 -63.4608
8.120000 75.950 -64.1588
8.250000 76.117 -64.9193
8.380000 76.283 -65.6796
8.500000 76.433 -66.3812
8.620000 76.581 -67.0851
8.750000 76.739 -67.8369
8.850000 76.858 -68.4007
9.000000 77.033 -69.2306
9.120000 77.170 -69.8720
9.250000 77.319 -70.5354
9.380000 77.466 -71.1700
9.500000 77.603 -71.7372
9.620000 77.742 -72.2850
9.750000 77.895 -72.8563
9.880000 78.050 -73.4310
10.000000 78.196 -73.9691
10.150000 78.382 -74.6502
10.300000 78.568 -75.3792
10.440000 78.741 -76.1036
10.600000 78.934 -76.9842
10.750000 79.105 -77.8752
10.900000 79.267 -78.8164
11.060000 79.420 -79.8392
11.200000 79.538 -80.7629
11.380000 79.668 -81.9025
11.500000 79.739 -82.6274
11.720000 79.843 -83.8231
11.800000 79.874 -84.1892
12.060000 79.957 -85.1476
12.200000 80.002 -85.4797
12.410000 80.076 -85.7662
12.500000 80.117 -85.8384
12.650000 80.197 -85.8636
12.800000 80.292 -85.8621
13.150000 80.588 -85.9520
13.200000 80.635 -86.0023
13.400000 80.836 -86.3083
13.600000 81.034 -86.8040
13.800000 81.221 -87.5178
14.000000 81.381 -88.3458
14.300000 81.564 -89.7170
14.500000 81.643 -90.5670
14.750000 81.714 -91.4195
15.000000 81.764 -91.9792
15.250000 81.826 -92.2168
15.500000 81.921 -92.2647
15.750000 82.056 -92.2258
16.000000 82.235 -92.2909
16.250000 82.433 -92.5787
16.500000 82.638 -93.1180
16.750000 82.825 -93.9101
17.000000 82.982 -94.8317
17.250000 83.106 -95.7984
17.500000 83.199 -96.7013
17.750000 83.275 -97.4552
18.000000 83.344 -98.0583
18.250000 83.419 -98.5124
18.500000 83.509 -98.8965
18.750000 83.614 -99.2667
19.000000 83.730 -99.6751
19.250000 83.850 -100.1605
19.500000 83.965 -100.7040
19.750000 84.073 -101.2895
20.000000 84.171 -101.8660
20.299999 84.281 -102.5096
20.600000 84.391 -103.0885
20.900000 84.507 -103.6246
21.200001 84.632 -104.1753
21.400000 84.718 -104.5829
21.799999 84.884 -105.5067
22.000000 84.959 -106.0104
22.400000 85.084 -107.0271
22.700001 85.159 -107.7166
23.000000 85.228 -108.2878
23.299999 85.300 -108.7490
23.600000 85.385 -109.1480
24.000000 85.517 -109.6871
24.299999 85.623 -110.1653
24.700001 85.759 -110.9235
25.000000 85.847 -111.5448
25.400000 85.944 -112.3599
25.799999 86.023 -113.0787
26.200001 86.095 -113.6754
26.500000 86.151 -114.0586
26.900000 86.229 -114.5163
27.200001 86.291 -114.8391
27.600000 86.378 -115.2575
28.000000 86.468 -115.6742
28.500000 86.587 -116.2213
29.000000 86.710 -116.8499
29.500000 86.828 -117.6022
30.000000 86.924 -118.4503
30.400000 86.981 -119.1126
30.700001 87.015 -119.5447
31.100000 87.062 -120.0001
31.500000 87.129 -120.3679
32.000000 87.249 -120.9212
32.500000 87.377 -121.8129
33.000000 87.456 -122.9726
33.500000 87.464 -123.9910
34.000000 87.446 -124.4753
34.500000 87.484 -124.4985
35.000000 87.608 -124.5295
35.500000 87.771 -124.9867
36.000000 87.902 -125.8352
36.500000 87.977 -126.7332
37.000000 88.022 -127.3906
37.500000 88.075 -127.7956
38.200001 88.194 -128.2603
38.700001 88.296 -128.7018
39.500000 88.445 -129.5952
40.000000 88.524 -130.1605
40.599998 88.617 -130.8008
41.200001 88.711 -131.4833
41.799999 88.790 -132.2568
42.500000 88.846 -133.1357
43.099998 88.874 -133.7390
43.700001 88.899 -134.2299
44.400002 88.927 -134.7144
45.000000 88.954 -135.0605
45.500000 88.981 -135.3333
46.200001 89.027 -135.6965
46.799999 89.093 -135.9599
47.500000 89.238 -136.5881
48.200001 89.370 -138.2025
48.700001 89.356 -139.7363
49.400002 89.166 -141.1212
50.000000 89.011 -140.9566
50.799999 89.063 -140.1105
51.500000 89.241 -140.2817
52.200001 89.359 -141.0325
53.000000 89.444 -141.6537
53.799999 89.559 -142.1530
54.500000 89.659 -142.8186
55.200001 89.714 -143.6046
56.000000 89.723 -144.3007
57.000000 89.742 -144.6638
58.000000 89.819 -145.1396
59.000000 89.872 -145.9012
60.000000 89.913 -146.5767
60.799999 89.949 -147.1662
61.500000 89.970 -147.6513
62.200001 89.998 -148.0641
63.000000 90.042 -148.5979
64.000000 90.078 -149.3633
65.000000 90.100 -150.0170
66.000000 90.124 -150.6563
67.000000 90.138 -151.1839
68.000000 90.179 -151.5862
69.000000 90.235 -152.2086
70.000000 90.248 -152.9168
71.000000 90.239 -153.3995
72.000000 90.245 -153.8242
73.000000 90.251 -154.3578
74.000000 90.245 -154.9351
75.000000 90.242 -155.4870
76.199997 90.255 -156.1328
77.500000 90.288 -156.8086
78.800003 90.325 -157.4752
80.000000 90.333 -158.0174
81.199997 90.295 -158.3819
82.500000 90.255 -158.2430
83.800003 90.306 -158.2490
85.000000 90.374 -158.7487
86.199997 90.424 -159.5975
87.500000 90.424 -160.3585
88.500000 90.432 -160.6127
90.000000 90.471 -160.9085
91.199997 90.484 -161.3144
92.500000 90.447 -161.8662
93.800003 90.402 -162.4099
95.000000 90.396 -163.0852
96.199997 90.415 -163.9782
97.500000 90.457 -165.0045
98.800003 90.481 -165.9951
100.000000 90.459 -166.4030
101.500000 90.468 -166.2391
103.000000 90.501 -166.2436
104.400002 90.503 -166.5595
106.000000 90.469 -167.1945
107.500000 90.435 -167.8404
109.000000 90.422 -168.4983
110.599998 90.419 -169.0768
112.000000 90.430 -169.4586
113.800003 90.435 -169.9326
115.000000 90.424 -170.1828
117.199997 90.400 -170.6104
118.000000 90.390 -170.7812
120.599998 90.365 -171.4670
122.000000 90.344 -171.9211
124.099998 90.310 -172.5258
125.000000 90.298 -172.7449
126.500000 90.282 -173.0737
128.000000 90.259 -173.3569
131.500000 90.186 -173.8077
132.000000 90.180 -173.8901
134.000000 90.161 -174.4409
136.000000 90.132 -175.0956
138.000000 90.106 -175.6033
140.000000 90.085 -175.9682
143.000000 90.047 -176.4734
145.000000 90.021 -176.7887
147.500000 90.004 -177.0244
150.000000 90.004 -177.3433
152.500000 89.936 -177.9633
155.000000 89.842 -178.4676
157.500000 89.792 -178.9532
160.000000 89.758 -179.4144
162.500000 89.710 -179.7757
165.000000 89.654 179.9209
167.500000 89.599 179.5562
170.000000 89.542 179.1931
172.500000 89.487 178.8569
175.000000 89.431 178.5142
177.500000 89.370 178.1466
180.000000 89.305 177.7848
182.500000 89.240 177.4724
185.000000 89.177 177.2088
187.500000 89.114 176.9335
190.000000 89.046 176.6475
192.500000 88.966 176.4112
195.000000 88.871 176.2422
197.500000 88.773 176.0993
200.000000 88.687 175.8688
203.000000 88.586 175.4886
206.000000 88.463 175.1950
209.000000 88.316 175.0209
212.000000 88.150 174.9650
214.000000 88.031 174.9975
218.000000 87.765 175.2150
220.000000 87.618 175.4944
224.000000 87.301 176.6627
227.000000 87.061 178.0756
230.000000 86.880 -179.9961
233.000000 86.854 -177.3229
236.000000 87.029 -174.3906
240.000000 87.450 -171.6752
243.000000 87.815 -171.0403
247.000000 88.254 -171.6025
250.000000 88.482 -172.5943
