* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), no input selected, L, volume: 0.800. Timing signal peak level -19.9 dBFS, measurement signal peak level -21.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 22/06/2023 7:22:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0239 ms (-8.2 mm, -0.32 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: EXT L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 73.883 -174.6462
1.015000 74.134 -176.8773
1.030000 74.380 -179.0139
1.044000 74.605 179.0856
1.060000 74.856 177.0339
1.075000 75.085 175.2367
1.090000 75.307 173.5712
1.106000 75.536 171.9509
1.120000 75.733 170.6723
1.138000 75.982 169.2076
1.150000 76.145 168.3351
1.172000 76.440 166.9311
1.180000 76.546 166.4782
1.206000 76.883 165.1931
1.220000 77.062 164.6055
1.241000 77.325 163.8381
1.250000 77.436 163.5450
1.265000 77.619 163.0959
1.280000 77.800 162.6868
1.315000 78.212 161.8297
1.320000 78.269 161.7127
1.340000 78.498 161.2430
1.360000 78.723 160.7518
1.380000 78.944 160.2145
1.400000 79.161 159.6063
1.430000 79.481 158.5070
1.450000 79.690 157.6133
1.475000 79.947 156.2853
1.500000 80.197 154.8168
1.525000 80.439 153.2496
1.550000 80.674 151.6010
1.575000 80.903 149.8880
1.600000 81.125 148.1281
1.625000 81.342 146.3383
1.650000 81.553 144.5359
1.675000 81.759 142.7381
1.700000 81.960 140.9621
1.725000 82.157 139.2252
1.750000 82.349 137.5445
1.775000 82.538 135.9374
1.800000 82.723 134.4209
1.825000 82.906 133.0123
1.850000 83.085 131.7158
1.875000 83.259 130.5037
1.900000 83.428 129.3656
1.925000 83.592 128.2924
1.950000 83.751 127.2748
1.975000 83.907 126.3036
2.000000 84.058 125.3696
2.030000 84.234 124.2848
2.060000 84.405 123.2243
2.090000 84.571 122.1721
2.120000 84.733 121.1122
2.140000 84.838 120.3934
2.180000 85.044 118.9056
2.200000 85.144 118.1273
2.240000 85.339 116.5380
2.270000 85.478 115.3352
2.300000 85.612 114.1270
2.330000 85.742 112.9167
2.360000 85.867 111.7079
2.400000 86.026 110.1044
2.430000 86.141 108.9124
2.470000 86.289 107.3438
2.500000 86.396 106.1874
2.540000 86.533 104.6788
2.580000 86.665 103.2123
2.620000 86.789 101.7647
2.650000 86.878 100.6899
2.690000 86.989 99.2756
2.720000 87.069 98.2316
2.760000 87.170 96.8659
2.800000 87.265 95.5350
2.850000 87.377 93.9279
2.900000 87.483 92.3928
2.950000 87.582 90.9402
3.000000 87.671 89.5772
3.040000 87.737 88.5439
3.070000 87.782 87.7975
3.110000 87.839 86.8344
3.150000 87.892 85.9016
3.200000 87.953 84.7671
3.250000 88.011 83.6543
3.300000 88.066 82.5492
3.350000 88.116 81.4409
3.400000 88.159 80.3396
3.450000 88.197 79.2615
3.500000 88.231 78.2231
3.550000 88.264 77.2408
3.600000 88.297 76.3309
3.650000 88.332 75.5097
3.700000 88.368 74.7948
3.750000 88.401 74.1855
3.820000 88.446 73.4691
3.870000 88.478 73.0249
3.950000 88.536 72.3706
4.000000 88.579 71.9626
4.060000 88.637 71.4507
4.120000 88.701 70.9610
4.180000 88.770 70.4970
4.250000 88.857 69.9796
4.310000 88.938 69.5497
4.370000 89.026 69.1256
4.440000 89.139 68.6479
4.500000 89.245 68.2827
4.550000 89.339 67.9927
4.620000 89.476 67.5772
4.680000 89.596 67.1833
4.750000 89.737 66.6420
4.820000 89.880 66.0000
4.870000 89.987 65.5000
4.940000 90.139 64.7474
5.000000 90.269 64.0575
5.080000 90.437 63.0800
5.150000 90.574 62.1754
5.220000 90.707 61.2091
5.300000 90.854 60.0370
5.380000 90.992 58.8115
5.450000 91.102 57.7110
5.520000 91.198 56.5935
5.600000 91.296 55.2590
5.700000 91.399 53.5352
5.800000 91.480 51.8147
5.900000 91.534 50.1527
6.000000 91.562 48.4908
6.080000 91.568 47.1888
6.150000 91.562 46.1017
6.220000 91.547 45.0901
6.300000 91.518 44.0181
6.400000 91.459 42.7711
6.500000 91.387 41.6645
6.600000 91.312 40.7383
6.700000 91.227 40.0036
6.800000 91.135 39.4394
6.900000 91.048 39.0299
7.000000 90.979 38.7701
7.100000 90.919 38.7080
7.200000 90.872 38.7768
7.300000 90.845 38.8850
7.400000 90.846 39.0045
7.500000 90.870 39.1961
7.620000 90.921 39.4046
7.750000 90.997 39.4624
7.880000 91.104 39.3954
8.000000 91.211 39.2034
8.120000 91.307 38.8413
8.250000 91.411 38.2514
8.380000 91.500 37.5454
8.500000 91.556 36.8365
8.620000 91.592 36.0295
8.750000 91.608 35.1700
8.850000 91.601 34.5847
9.000000 91.559 33.7546
9.120000 91.511 33.2206
9.250000 91.450 32.8495
9.380000 91.375 32.6559
9.500000 91.314 32.6283
9.620000 91.268 32.7708
9.750000 91.230 33.1065
9.880000 91.220 33.4991
10.000000 91.243 33.8972
10.150000 91.308 34.4421
10.300000 91.406 34.8131
10.440000 91.534 35.0128
10.600000 91.698 35.0107
10.750000 91.854 34.6980
10.900000 92.014 34.1301
11.060000 92.159 33.2915
11.200000 92.267 32.3370
11.380000 92.370 30.9779
11.500000 92.411 29.9970
11.720000 92.437 28.1699
11.800000 92.430 27.5439
12.060000 92.357 25.6404
12.200000 92.298 24.8092
12.410000 92.189 23.8025
12.500000 92.146 23.4713
12.650000 92.074 23.0663
12.800000 92.015 22.7760
13.150000 91.960 22.4155
13.200000 91.962 22.3594
13.400000 91.997 22.1317
13.600000 92.058 21.7543
13.800000 92.141 21.1662
14.000000 92.221 20.3671
14.300000 92.319 18.8070
14.500000 92.351 17.6202
14.750000 92.352 16.1522
15.000000 92.309 14.7989
15.250000 92.238 13.7256
15.500000 92.161 12.9561
15.750000 92.093 12.4812
16.000000 92.056 12.2245
16.250000 92.049 12.0476
16.500000 92.071 11.8804
16.750000 92.110 11.6359
17.000000 92.152 11.3187
17.250000 92.190 10.9547
17.500000 92.220 10.5872
17.750000 92.244 10.2620
18.000000 92.268 9.9758
18.250000 92.295 9.7225
18.500000 92.326 9.4506
18.750000 92.357 9.1361
19.000000 92.385 8.7573
19.250000 92.400 8.3238
19.500000 92.402 7.8711
19.750000 92.388 7.4273
20.000000 92.362 7.0386
20.299999 92.323 6.6551
20.600000 92.285 6.3522
20.900000 92.253 6.0945
21.200001 92.230 5.8335
21.400000 92.219 5.6384
21.799999 92.203 5.1844
22.000000 92.198 4.9209
22.400000 92.191 4.3181
22.700001 92.187 3.7987
23.000000 92.181 3.2274
23.299999 92.170 2.6304
23.600000 92.154 2.0455
24.000000 92.131 1.3453
24.299999 92.121 0.9004
24.700001 92.128 0.3801
25.000000 92.149 -0.0112
25.400000 92.189 -0.5941
25.799999 92.228 -1.2355
26.200001 92.257 -1.8438
26.500000 92.275 -2.2253
26.900000 92.304 -2.6294
27.200001 92.333 -2.8971
27.600000 92.378 -3.2805
28.000000 92.415 -3.7226
28.500000 92.432 -4.2570
29.000000 92.425 -4.6131
29.500000 92.423 -4.8168
30.000000 92.430 -5.0707
30.400000 92.423 -5.3752
30.700001 92.400 -5.6152
31.100000 92.351 -5.8280
31.500000 92.299 -5.8447
32.000000 92.273 -5.6875
32.500000 92.305 -5.6763
33.000000 92.354 -6.0983
33.500000 92.367 -6.8645
34.000000 92.330 -7.6239
34.500000 92.279 -8.1459
35.000000 92.253 -8.5247
35.500000 92.255 -9.0051
36.000000 92.252 -9.6562
36.500000 92.223 -10.3094
37.000000 92.184 -10.7766
37.500000 92.165 -11.0759
38.200001 92.187 -11.5481
38.700001 92.210 -12.0757
39.500000 92.205 -13.1124
40.000000 92.165 -13.6669
40.599998 92.104 -14.0075
41.200001 92.086 -14.0275
41.799999 92.140 -14.1707
42.500000 92.204 -15.0433
43.099998 92.159 -15.9927
43.700001 92.055 -16.3713
44.400002 92.008 -16.1270
45.000000 92.069 -16.1320
45.500000 92.124 -16.5915
46.200001 92.126 -17.5076
46.799999 92.084 -18.0498
47.500000 92.062 -18.4602
48.200001 92.060 -19.0905
48.700001 92.026 -19.6278
49.400002 91.936 -19.9434
50.000000 91.918 -19.6704
50.799999 92.068 -19.7078
51.500000 92.182 -21.0042
52.200001 92.110 -22.5106
53.000000 91.937 -22.9338
53.799999 91.912 -22.7382
54.500000 91.940 -23.1755
55.200001 91.891 -23.7819
56.000000 91.810 -23.8631
57.000000 91.852 -23.8000
58.000000 91.921 -24.8383
59.000000 91.835 -26.0701
60.000000 91.732 -26.3861
60.799999 91.742 -26.5935
61.500000 91.765 -27.1823
62.200001 91.740 -27.9691
63.000000 91.649 -28.6204
64.000000 91.541 -28.7197
65.000000 91.536 -28.5970
66.000000 91.585 -28.9277
67.000000 91.614 -29.6390
68.000000 91.606 -30.5341
69.000000 91.552 -31.3718
70.000000 91.484 -31.9291
71.000000 91.443 -32.2579
72.000000 91.444 -32.5920
73.000000 91.459 -33.1249
74.000000 91.454 -33.7695
75.000000 91.427 -34.3782
76.199997 91.370 -35.0083
77.500000 91.307 -35.4043
78.800003 91.294 -35.8548
80.000000 91.280 -36.5801
81.199997 91.225 -37.2876
82.500000 91.180 -37.5183
83.800003 91.238 -37.6775
85.000000 91.311 -38.1351
86.199997 91.386 -38.6987
87.500000 91.444 -39.6903
88.500000 91.441 -40.5609
90.000000 91.395 -41.9996
91.199997 91.292 -43.1927
92.500000 91.137 -44.0400
93.800003 90.998 -44.2191
95.000000 90.931 -43.9482
96.199997 90.915 -43.5651
97.500000 90.930 -43.2789
98.800003 90.931 -43.4336
100.000000 90.882 -43.9463
101.500000 90.762 -44.8480
103.000000 90.642 -45.8333
104.400002 90.560 -46.8712
106.000000 90.496 -47.9431
107.500000 90.465 -48.7943
109.000000 90.430 -49.5243
110.599998 90.377 -50.1735
112.000000 90.329 -50.7000
113.800003 90.272 -51.4050
115.000000 90.240 -51.8702
117.199997 90.193 -52.6474
118.000000 90.177 -52.8993
120.599998 90.114 -53.6590
122.000000 90.069 -54.0743
124.099998 89.993 -54.7846
125.000000 89.959 -55.1317
126.500000 89.904 -55.7321
128.000000 89.861 -56.3340
131.500000 89.793 -57.7040
132.000000 89.781 -57.8921
134.000000 89.712 -58.5479
136.000000 89.634 -59.0505
138.000000 89.570 -59.6314
140.000000 89.509 -60.3361
143.000000 89.409 -61.4004
145.000000 89.338 -62.0614
147.500000 89.249 -62.9617
150.000000 89.150 -63.7009
152.500000 89.100 -64.0919
155.000000 89.071 -64.6742
157.500000 89.024 -65.3829
160.000000 88.965 -66.0727
162.500000 88.898 -66.6277
165.000000 88.833 -67.1845
167.500000 88.772 -67.9194
170.000000 88.710 -68.6821
172.500000 88.648 -69.2970
175.000000 88.583 -69.8369
177.500000 88.520 -70.4059
180.000000 88.461 -70.9733
182.500000 88.413 -71.4604
185.000000 88.374 -71.9540
187.500000 88.333 -72.5549
190.000000 88.290 -73.2721
192.500000 88.248 -73.9755
195.000000 88.205 -74.5144
197.500000 88.155 -74.9192
200.000000 88.103 -75.4227
203.000000 88.038 -76.3286
206.000000 87.982 -77.2377
209.000000 87.921 -78.0052
212.000000 87.839 -78.6786
214.000000 87.785 -79.1201
218.000000 87.693 -79.9578
220.000000 87.652 -80.3510
224.000000 87.576 -81.1735
227.000000 87.519 -81.7849
230.000000 87.458 -82.3508
233.000000 87.393 -82.8931
236.000000 87.328 -83.4268
240.000000 87.245 -84.1240
243.000000 87.191 -84.6217
247.000000 87.121 -85.2385
250.000000 87.061 -85.7147
254.000000 86.982 -86.4885
258.000000 86.913 -87.2401
262.000000 86.840 -87.9221
265.000000 86.777 -88.3882
269.000000 86.700 -88.9521
272.000000 86.651 -89.4037
276.000000 86.587 -90.0426
280.000000 86.516 -90.6201
285.000000 86.439 -91.3008
290.000000 86.360 -91.9988
295.000000 86.276 -92.6788
300.000000 86.201 -93.3684
304.000000 86.145 -93.8949
307.000000 86.102 -94.2659
