* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), no input selected, L, volume: 0.800. Timing signal peak level -20.3 dBFS, measurement signal peak level -20.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 22/06/2023 7:21:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0296 ms (-10 mm, -0.4 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: EXT R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 73.836 -171.8333
1.015000 74.102 -175.2946
1.030000 74.365 -178.6176
1.044000 74.606 178.4199
1.060000 74.876 175.2158
1.075000 75.121 172.4044
1.090000 75.357 169.7960
1.106000 75.600 167.2488
1.120000 75.815 165.1891
1.138000 76.099 162.7502
1.150000 76.291 161.2472
1.172000 76.650 158.7278
1.180000 76.783 157.8824
1.206000 77.218 155.3711
1.220000 77.454 154.1551
1.241000 77.809 152.4877
1.250000 77.962 151.8248
1.265000 78.216 150.7806
1.280000 78.469 149.8038
1.315000 79.051 147.7299
1.320000 79.133 147.4517
1.340000 79.457 146.3688
1.360000 79.774 145.3163
1.380000 80.082 144.2704
1.400000 80.379 143.2074
1.430000 80.801 141.5284
1.450000 81.065 140.3182
1.475000 81.374 138.6819
1.500000 81.663 137.0629
1.525000 81.936 135.4990
1.550000 82.195 133.9866
1.575000 82.439 132.5219
1.600000 82.671 131.1014
1.625000 82.891 129.7213
1.650000 83.102 128.3780
1.675000 83.303 127.0676
1.700000 83.496 125.7866
1.725000 83.683 124.5311
1.750000 83.865 123.2976
1.775000 84.042 122.0824
1.800000 84.217 120.8817
1.825000 84.389 119.6918
1.850000 84.559 118.5164
1.875000 84.721 117.3702
1.900000 84.876 116.2526
1.925000 85.023 115.1623
1.950000 85.164 114.0977
1.975000 85.298 113.0577
2.000000 85.427 112.0407
2.030000 85.575 110.8489
2.060000 85.716 109.6860
2.090000 85.850 108.5497
2.120000 85.979 107.4374
2.140000 86.063 106.7082
2.180000 86.225 105.2759
2.200000 86.303 104.5716
2.240000 86.452 103.2001
2.270000 86.554 102.2069
2.300000 86.650 101.2419
2.330000 86.740 100.3035
2.360000 86.825 99.3897
2.400000 86.929 98.2066
2.430000 87.003 97.3433
2.470000 87.095 96.2210
2.500000 87.161 95.3984
2.540000 87.245 94.3237
2.580000 87.325 93.2707
2.620000 87.398 92.2401
2.650000 87.447 91.4841
2.690000 87.506 90.5016
2.720000 87.547 89.7858
2.760000 87.596 88.8621
2.800000 87.641 87.9768
2.850000 87.693 86.9297
2.900000 87.743 85.9549
2.950000 87.791 85.0606
3.000000 87.832 84.2578
3.040000 87.861 83.6748
3.070000 87.880 83.2673
3.110000 87.904 82.7578
3.150000 87.926 82.2804
3.200000 87.952 81.7176
3.250000 87.979 81.1794
3.300000 88.007 80.6518
3.350000 88.036 80.1444
3.400000 88.062 79.6700
3.450000 88.088 79.2280
3.500000 88.113 78.8174
3.550000 88.140 78.4376
3.600000 88.169 78.0877
3.650000 88.202 77.7671
3.700000 88.238 77.4839
3.750000 88.275 77.2521
3.820000 88.331 76.9907
3.870000 88.374 76.8308
3.950000 88.448 76.5844
4.000000 88.498 76.4156
4.060000 88.563 76.1844
4.120000 88.632 75.9529
4.180000 88.706 75.7211
4.250000 88.797 75.4418
4.310000 88.878 75.1877
4.370000 88.962 74.9133
4.440000 89.064 74.5683
4.500000 89.157 74.2673
4.550000 89.237 74.0065
4.620000 89.351 73.6143
4.680000 89.450 73.2419
4.750000 89.566 72.7507
4.820000 89.681 72.1944
4.870000 89.766 71.7655
4.940000 89.885 71.1215
5.000000 89.987 70.5295
5.080000 90.118 69.6832
5.150000 90.226 68.8893
5.220000 90.333 68.0377
5.300000 90.451 66.9998
5.380000 90.563 65.9047
5.450000 90.653 64.9093
5.520000 90.733 63.8849
5.600000 90.817 62.6542
5.700000 90.909 61.0473
5.800000 90.983 59.4086
5.900000 91.037 57.7749
6.000000 91.071 56.1020
6.080000 91.085 54.7587
6.150000 91.088 53.6058
6.220000 91.084 52.4957
6.300000 91.067 51.2691
6.400000 91.029 49.7729
6.500000 90.978 48.3593
6.600000 90.921 47.0724
6.700000 90.853 45.9133
6.800000 90.775 44.8669
6.900000 90.698 43.9389
7.000000 90.631 43.1395
7.100000 90.566 42.4907
7.200000 90.508 41.9521
7.300000 90.464 41.4720
7.400000 90.440 41.0392
7.500000 90.431 40.6908
7.620000 90.440 40.2943
7.750000 90.471 39.7852
7.880000 90.529 39.2369
8.000000 90.594 38.6644
8.120000 90.659 37.9794
8.250000 90.736 37.1158
8.380000 90.808 36.1797
8.500000 90.860 35.2748
8.620000 90.901 34.3041
8.750000 90.934 33.2665
8.850000 90.949 32.5254
9.000000 90.952 31.4559
9.120000 90.948 30.6874
9.250000 90.941 29.9918
9.380000 90.929 29.4157
9.500000 90.924 28.9662
9.620000 90.931 28.6011
9.750000 90.948 28.3022
9.880000 90.976 28.0158
10.000000 91.018 27.7415
10.150000 91.085 27.3999
10.300000 91.157 26.9661
10.440000 91.230 26.4669
10.600000 91.309 25.8191
10.750000 91.366 25.1273
10.900000 91.411 24.3784
11.060000 91.436 23.6289
11.200000 91.438 22.9938
11.380000 91.426 22.3196
11.500000 91.407 21.9880
11.720000 91.371 21.5911
11.800000 91.363 21.5269
12.060000 91.357 21.5420
12.200000 91.381 21.5968
12.410000 91.449 21.7030
12.500000 91.486 21.6829
12.650000 91.565 21.5883
12.800000 91.649 21.3769
13.150000 91.830 20.3087
13.200000 91.850 20.1124
13.400000 91.912 19.1918
13.600000 91.941 18.2209
13.800000 91.931 17.2461
14.000000 91.895 16.3919
14.300000 91.802 15.3914
14.500000 91.734 14.9597
14.750000 91.660 14.6083
15.000000 91.610 14.4167
15.250000 91.589 14.2477
15.500000 91.588 14.0244
15.750000 91.601 13.7101
16.000000 91.618 13.2906
16.250000 91.631 12.8078
16.500000 91.640 12.2853
16.750000 91.645 11.7572
17.000000 91.649 11.2329
17.250000 91.652 10.7106
17.500000 91.657 10.1838
17.750000 91.660 9.6489
18.000000 91.660 9.1157
18.250000 91.655 8.5956
18.500000 91.645 8.1190
18.750000 91.634 7.6991
19.000000 91.623 7.3474
19.250000 91.619 7.0571
19.500000 91.622 6.8041
19.750000 91.634 6.5685
20.000000 91.654 6.3138
20.299999 91.683 5.9663
20.600000 91.710 5.5703
20.900000 91.732 5.1437
21.200001 91.746 4.7200
21.400000 91.752 4.4537
21.799999 91.762 3.9608
22.000000 91.768 3.7280
22.400000 91.780 3.2631
22.700001 91.789 2.8988
23.000000 91.794 2.5221
23.299999 91.796 2.1482
23.600000 91.797 1.7860
24.000000 91.798 1.3158
24.299999 91.801 0.9505
24.700001 91.804 0.4180
25.000000 91.800 -0.0114
25.400000 91.782 -0.5765
25.799999 91.754 -1.0554
26.200001 91.727 -1.4099
26.500000 91.716 -1.6182
26.900000 91.716 -1.8839
27.200001 91.725 -2.1168
27.600000 91.740 -2.4923
28.000000 91.750 -2.9160
28.500000 91.755 -3.4530
29.000000 91.754 -3.9670
29.500000 91.750 -4.4568
30.000000 91.744 -4.9045
30.400000 91.743 -5.2275
30.700001 91.747 -5.4649
31.100000 91.759 -5.8163
31.500000 91.773 -6.2390
32.000000 91.783 -6.8595
32.500000 91.777 -7.5049
33.000000 91.761 -8.1022
33.500000 91.743 -8.6503
34.000000 91.727 -9.1760
34.500000 91.709 -9.6814
35.000000 91.688 -10.1531
35.500000 91.664 -10.5811
36.000000 91.635 -10.9332
36.500000 91.607 -11.1490
37.000000 91.596 -11.2220
37.500000 91.619 -11.2761
38.200001 91.685 -11.6503
38.700001 91.719 -12.1674
39.500000 91.721 -13.0376
40.000000 91.711 -13.5061
40.599998 91.697 -14.0842
41.200001 91.667 -14.6873
41.799999 91.620 -15.1693
42.500000 91.577 -15.5337
43.099998 91.561 -15.8336
43.700001 91.551 -16.1882
44.400002 91.537 -16.6058
45.000000 91.527 -16.9681
45.500000 91.516 -17.3035
46.200001 91.485 -17.7787
46.799999 91.446 -18.1172
47.500000 91.398 -18.4218
48.200001 91.352 -18.6375
48.700001 91.328 -18.7239
49.400002 91.328 -18.8315
50.000000 91.362 -19.1092
50.799999 91.409 -19.9434
51.500000 91.404 -20.9088
52.200001 91.361 -21.7455
53.000000 91.313 -22.4194
53.799999 91.292 -22.9729
54.500000 91.283 -23.4464
55.200001 91.275 -23.8735
56.000000 91.274 -24.3099
57.000000 91.276 -24.9317
58.000000 91.248 -25.6372
59.000000 91.194 -26.2466
60.000000 91.138 -26.7394
60.799999 91.110 -27.0889
61.500000 91.105 -27.4501
62.200001 91.106 -27.9315
63.000000 91.098 -28.5617
64.000000 91.073 -29.2593
65.000000 91.054 -29.7909
66.000000 91.050 -30.3290
67.000000 91.020 -30.9578
68.000000 90.955 -31.3917
69.000000 90.909 -31.6578
70.000000 90.880 -32.0831
71.000000 90.843 -32.6748
72.000000 90.794 -33.3356
73.000000 90.733 -33.9335
74.000000 90.685 -34.3143
75.000000 90.679 -34.6557
76.199997 90.685 -35.2186
77.500000 90.671 -35.9388
78.800003 90.601 -36.6150
80.000000 90.527 -36.9711
81.199997 90.481 -37.4444
82.500000 90.417 -38.1075
83.800003 90.390 -38.6215
85.000000 90.417 -39.3422
86.199997 90.427 -40.2203
87.500000 90.408 -41.0402
88.500000 90.367 -41.5240
90.000000 90.269 -41.8826
91.199997 90.209 -42.0457
92.500000 90.139 -42.6228
93.800003 90.037 -43.1420
95.000000 90.017 -43.6168
96.199997 90.037 -44.5466
97.500000 90.014 -45.7023
98.800003 89.945 -46.3280
100.000000 89.900 -46.4153
101.500000 89.870 -46.3847
103.000000 89.822 -46.5546
104.400002 89.741 -46.7205
106.000000 89.694 -46.9725
107.500000 89.664 -47.6053
109.000000 89.608 -48.1425
110.599998 89.580 -48.3932
112.000000 89.592 -48.7389
113.800003 89.580 -49.5023
115.000000 89.552 -50.0131
117.199997 89.515 -50.7225
118.000000 89.523 -50.9746
120.599998 89.536 -52.3093
122.000000 89.486 -53.0518
124.099998 89.398 -53.8377
125.000000 89.370 -54.1473
126.500000 89.332 -54.7069
128.000000 89.291 -55.2845
131.500000 89.193 -56.4594
132.000000 89.182 -56.6304
134.000000 89.132 -57.4551
136.000000 89.048 -58.3317
138.000000 88.961 -59.0681
140.000000 88.891 -59.7133
143.000000 88.835 -60.5478
145.000000 88.790 -61.1244
147.500000 88.682 -61.7137
150.000000 88.584 -62.1946
152.500000 88.531 -63.1350
155.000000 88.467 -64.1580
157.500000 88.408 -64.9408
160.000000 88.344 -65.5913
162.500000 88.273 -66.2109
165.000000 88.201 -66.8661
167.500000 88.131 -67.4811
170.000000 88.070 -68.0770
172.500000 88.011 -68.6736
175.000000 87.954 -69.2543
177.500000 87.894 -69.8475
180.000000 87.829 -70.4652
182.500000 87.767 -71.1138
185.000000 87.712 -71.7642
187.500000 87.657 -72.3835
190.000000 87.591 -72.9831
192.500000 87.520 -73.6169
195.000000 87.457 -74.2004
197.500000 87.406 -74.6719
200.000000 87.354 -75.0913
203.000000 87.273 -75.6672
206.000000 87.192 -76.3051
209.000000 87.121 -76.9173
212.000000 87.049 -77.4516
214.000000 87.002 -77.7950
218.000000 86.914 -78.5193
220.000000 86.871 -78.8802
224.000000 86.786 -79.5183
227.000000 86.735 -79.9403
230.000000 86.689 -80.3892
233.000000 86.646 -80.9199
236.000000 86.611 -81.4960
240.000000 86.561 -82.2382
243.000000 86.502 -82.7925
247.000000 86.415 -83.7027
250.000000 86.350 -84.3530
254.000000 86.270 -84.9717
258.000000 86.191 -85.5426
262.000000 86.105 -86.1372
265.000000 86.040 -86.5722
269.000000 85.952 -86.9961
272.000000 85.893 -87.2147
276.000000 85.833 -87.4833
280.000000 85.796 -87.7473
285.000000 85.766 -88.2626
290.000000 85.744 -89.0436
295.000000 85.706 -89.8938
300.000000 85.649 -90.6682
304.000000 85.595 -91.2881
307.000000 85.553 -91.7648
