* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.800. Timing signal peak level -26.6 dBFS, measurement signal peak level -20.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 13/07/2022 9:08:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0506 ms (-17 mm, -0.68 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: Earphones with Mic L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 66.089 -145.9630
1.015000 66.293 -147.9310
1.030000 66.494 -149.8284
1.044000 66.680 -151.5289
1.060000 66.889 -153.3808
1.075000 67.080 -155.0205
1.090000 67.267 -156.5587
1.106000 67.462 -158.0802
1.120000 67.630 -159.3136
1.138000 67.846 -160.7751
1.150000 67.988 -161.6773
1.172000 68.248 -163.1946
1.180000 68.341 -163.7060
1.206000 68.643 -165.2363
1.220000 68.804 -165.9862
1.241000 69.043 -167.0291
1.250000 69.144 -167.4500
1.265000 69.313 -168.1225
1.280000 69.480 -168.7647
1.315000 69.864 -170.1843
1.320000 69.918 -170.3819
1.340000 70.133 -171.1694
1.360000 70.346 -171.9650
1.380000 70.556 -172.7850
1.400000 70.764 -173.6461
1.430000 71.070 -175.0508
1.450000 71.271 -176.0868
1.475000 71.517 -177.5135
1.500000 71.760 -179.0224
1.525000 71.997 179.4144
1.550000 72.231 177.8080
1.575000 72.460 176.1692
1.600000 72.685 174.5091
1.625000 72.906 172.8387
1.650000 73.123 171.1689
1.675000 73.337 169.5108
1.700000 73.547 167.8753
1.725000 73.753 166.2735
1.750000 73.956 164.7163
1.775000 74.155 163.2147
1.800000 74.351 161.7797
1.825000 74.544 160.4224
1.850000 74.734 159.1462
1.875000 74.920 157.9354
1.900000 75.102 156.7828
1.925000 75.279 155.6819
1.950000 75.453 154.6259
1.975000 75.624 153.6084
2.000000 75.791 152.6227
2.030000 75.988 151.4725
2.060000 76.180 150.3473
2.090000 76.368 149.2355
2.120000 76.552 148.1259
2.140000 76.673 147.3816
2.180000 76.910 145.8672
2.200000 77.027 145.0905
2.240000 77.255 143.5261
2.270000 77.420 142.3561
2.300000 77.582 141.1909
2.330000 77.739 140.0322
2.360000 77.892 138.8818
2.400000 78.091 137.3642
2.430000 78.236 136.2404
2.470000 78.425 134.7646
2.500000 78.564 133.6771
2.540000 78.746 132.2562
2.580000 78.923 130.8711
2.620000 79.095 129.5116
2.650000 79.220 128.5079
2.690000 79.382 127.1919
2.720000 79.500 126.2224
2.760000 79.653 124.9545
2.800000 79.802 123.7162
2.850000 79.984 122.2120
2.900000 80.162 120.7594
2.950000 80.337 119.3635
3.000000 80.505 118.0420
3.040000 80.635 117.0324
3.070000 80.731 116.2977
3.110000 80.855 115.3419
3.150000 80.977 114.4058
3.200000 81.127 113.2515
3.250000 81.274 112.1002
3.300000 81.420 110.9366
3.350000 81.563 109.7626
3.400000 81.703 108.5909
3.450000 81.840 107.4281
3.500000 81.974 106.2806
3.550000 82.106 105.1549
3.600000 82.236 104.0574
3.650000 82.364 102.9946
3.700000 82.492 101.9765
3.750000 82.618 101.0076
3.820000 82.791 99.7090
3.870000 82.912 98.8042
3.950000 83.102 97.3585
4.000000 83.217 96.4348
4.060000 83.353 95.2882
4.120000 83.486 94.1157
4.180000 83.616 92.9294
4.250000 83.763 91.5406
4.310000 83.885 90.3571
4.370000 84.001 89.1899
4.440000 84.129 87.8570
4.500000 84.235 86.7309
4.550000 84.319 85.8011
4.620000 84.431 84.5095
4.680000 84.521 83.4081
4.750000 84.618 82.1260
4.820000 84.705 80.8368
4.870000 84.763 79.9094
4.940000 84.836 78.6148
5.000000 84.892 77.5204
5.080000 84.957 76.1025
5.150000 85.006 74.9165
5.220000 85.045 73.7631
5.300000 85.079 72.4846
5.380000 85.104 71.2617
5.450000 85.119 70.2481
5.520000 85.130 69.2952
5.600000 85.133 68.2683
5.700000 85.126 67.0793
5.800000 85.113 66.0056
5.900000 85.101 65.0593
6.000000 85.084 64.2479
6.080000 85.069 63.6828
6.150000 85.058 63.2393
6.220000 85.052 62.8349
6.300000 85.051 62.4348
6.400000 85.055 62.0364
6.500000 85.067 61.7000
6.600000 85.090 61.3705
6.700000 85.126 61.0630
6.800000 85.173 60.7845
6.900000 85.227 60.4945
7.000000 85.285 60.1586
7.100000 85.352 59.7963
7.200000 85.424 59.4056
7.300000 85.494 58.9748
7.400000 85.562 58.4920
7.500000 85.630 57.9602
7.620000 85.707 57.2843
7.750000 85.779 56.5329
7.880000 85.842 55.7420
8.000000 85.891 55.0086
8.120000 85.932 54.3036
8.250000 85.967 53.5542
8.380000 85.995 52.8375
8.500000 86.018 52.2234
8.620000 86.037 51.6492
8.750000 86.056 51.0629
8.850000 86.073 50.6349
9.000000 86.098 50.0382
9.120000 86.119 49.5779
9.250000 86.146 49.0815
9.380000 86.174 48.5962
9.500000 86.201 48.1447
9.620000 86.229 47.6814
9.750000 86.259 47.1724
9.880000 86.287 46.6581
10.000000 86.311 46.1762
10.150000 86.339 45.5679
10.300000 86.362 44.9718
10.440000 86.381 44.4243
10.600000 86.399 43.8180
10.750000 86.415 43.2776
10.900000 86.428 42.7606
11.060000 86.443 42.2359
11.200000 86.456 41.8006
11.380000 86.474 41.2636
11.500000 86.487 40.9185
11.720000 86.513 40.3103
11.800000 86.523 40.0952
12.060000 86.556 39.4205
12.200000 86.576 39.0731
12.410000 86.607 38.5712
12.500000 86.622 38.3619
12.650000 86.648 38.0235
12.800000 86.677 37.6874
13.150000 86.753 36.8909
13.200000 86.764 36.7707
13.400000 86.812 36.2724
13.600000 86.858 35.7387
13.800000 86.900 35.1617
14.000000 86.933 34.5668
14.300000 86.964 33.6664
14.500000 86.970 33.1078
14.750000 86.966 32.5094
15.000000 86.955 32.0449
15.250000 86.949 31.7307
15.500000 86.956 31.5155
15.750000 86.981 31.3563
16.000000 87.025 31.1698
16.250000 87.081 30.8922
16.500000 87.141 30.5038
16.750000 87.193 29.9933
17.000000 87.229 29.4180
17.250000 87.246 28.8244
17.500000 87.245 28.2740
17.750000 87.232 27.8268
18.000000 87.216 27.4886
18.250000 87.204 27.2646
18.500000 87.205 27.1038
18.750000 87.219 26.9597
19.000000 87.247 26.7891
19.250000 87.280 26.5443
19.500000 87.313 26.2292
19.750000 87.341 25.8489
20.000000 87.358 25.4440
20.299999 87.365 24.9813
20.600000 87.362 24.5900
20.900000 87.358 24.2947
21.200001 87.360 24.0806
21.400000 87.368 23.9540
21.799999 87.398 23.6809
22.000000 87.417 23.5107
22.400000 87.450 23.0865
22.700001 87.465 22.7288
23.000000 87.467 22.3934
23.299999 87.462 22.1274
23.600000 87.457 21.9460
24.000000 87.463 21.8071
24.299999 87.482 21.7122
24.700001 87.524 21.4928
25.000000 87.556 21.2142
25.400000 87.581 20.7107
25.799999 87.576 20.1796
26.200001 87.545 19.7776
26.500000 87.518 19.6107
26.900000 87.496 19.5389
27.200001 87.496 19.5222
27.600000 87.517 19.4346
28.000000 87.545 19.2018
28.500000 87.561 18.7701
29.000000 87.550 18.3890
29.500000 87.534 18.1919
30.000000 87.538 18.1255
30.400000 87.560 18.0582
30.700001 87.584 17.9553
31.100000 87.614 17.7337
31.500000 87.634 17.4478
32.000000 87.636 17.1074
32.500000 87.621 16.9211
33.000000 87.612 16.9412
33.500000 87.633 17.0649
34.000000 87.684 17.0930
34.500000 87.740 16.8985
35.000000 87.773 16.5264
35.500000 87.773 16.1384
36.000000 87.752 15.8591
36.500000 87.729 15.6945
37.000000 87.712 15.5748
37.500000 87.700 15.4459
38.200001 87.689 15.2269
38.700001 87.686 15.0282
39.500000 87.676 14.6165
40.000000 87.662 14.3979
40.599998 87.655 14.3038
41.200001 87.694 14.2883
41.799999 87.771 14.0564
42.500000 87.838 13.4200
43.099998 87.836 12.9321
43.700001 87.808 12.8389
44.400002 87.806 13.1720
45.000000 87.846 13.5233
45.500000 87.891 13.6817
46.200001 87.933 13.6788
46.799999 87.937 13.5914
47.500000 87.924 13.3538
48.200001 87.860 12.7356
48.700001 87.742 12.2767
49.400002 87.519 12.4110
50.000000 87.440 13.2531
50.799999 87.602 13.6025
51.500000 87.753 12.2855
52.200001 87.759 10.6842
53.000000 87.735 9.7421
53.799999 87.792 9.2133
54.500000 87.844 8.8588
55.200001 87.882 8.9600
56.000000 87.957 9.6161
57.000000 88.100 10.5668
58.000000 88.210 11.1409
59.000000 88.198 11.2528
60.000000 88.011 11.6071
60.799999 87.865 12.7333
61.500000 87.881 13.7637
62.200001 87.999 13.9572
63.000000 88.125 13.1298
64.000000 88.206 11.2056
65.000000 88.088 9.1168
66.000000 87.854 9.0493
67.000000 87.894 10.1788
68.000000 88.034 10.1210
69.000000 88.045 9.8331
70.000000 88.029 9.8842
71.000000 88.013 9.9138
72.000000 87.996 9.9100
73.000000 87.992 9.8364
74.000000 88.000 9.6987
75.000000 88.013 9.5143
76.199997 88.023 9.3580
77.500000 88.033 9.3405
78.800003 88.047 9.4077
80.000000 88.065 9.4034
81.199997 88.077 9.3226
82.500000 88.093 9.2024
83.800003 88.105 9.0662
85.000000 88.117 9.0311
86.199997 88.131 9.0090
87.500000 88.134 9.0087
88.500000 88.135 9.0222
90.000000 88.138 8.9829
91.199997 88.140 8.8596
92.500000 88.139 8.7156
93.800003 88.144 8.6141
95.000000 88.156 8.5738
96.199997 88.176 8.5641
97.500000 88.201 8.5297
98.800003 88.217 8.4573
100.000000 88.217 8.3989
101.500000 88.213 8.4369
103.000000 88.225 8.4897
104.400002 88.240 8.4633
106.000000 88.251 8.3958
107.500000 88.257 8.3476
109.000000 88.266 8.3357
110.599998 88.286 8.3083
112.000000 88.300 8.2526
113.800003 88.310 8.2576
115.000000 88.319 8.2935
117.199997 88.335 8.2930
118.000000 88.340 8.2490
120.599998 88.350 8.0681
122.000000 88.359 8.0053
124.099998 88.373 8.0606
125.000000 88.381 8.1268
126.500000 88.394 8.2255
128.000000 88.408 8.2569
131.500000 88.447 7.9617
132.000000 88.452 7.9271
134.000000 88.476 7.9034
136.000000 88.499 7.9598
138.000000 88.511 8.0192
140.000000 88.525 8.0348
143.000000 88.557 8.0131
145.000000 88.566 8.0137
147.500000 88.555 7.9579
150.000000 88.542 7.9589
152.500000 88.609 8.0184
155.000000 88.685 7.9822
157.500000 88.724 8.0311
160.000000 88.741 8.0402
162.500000 88.762 7.9870
165.000000 88.795 7.9504
167.500000 88.829 7.9672
170.000000 88.857 8.0014
172.500000 88.883 8.0240
175.000000 88.912 8.0195
177.500000 88.943 7.9854
180.000000 88.973 7.9512
182.500000 89.003 7.9440
185.000000 89.038 7.9474
187.500000 89.073 7.9362
190.000000 89.109 7.8944
192.500000 89.145 7.8458
195.000000 89.186 7.8485
197.500000 89.225 7.8842
200.000000 89.255 7.9258
203.000000 89.288 7.9392
206.000000 89.324 7.9177
209.000000 89.367 7.9113
212.000000 89.416 7.8818
214.000000 89.450 7.8710
218.000000 89.513 7.8896
220.000000 89.539 7.8889
224.000000 89.592 7.8318
227.000000 89.641 7.7811
230.000000 89.693 7.7385
233.000000 89.740 7.6753
236.000000 89.785 7.6118
240.000000 89.847 7.5553
243.000000 89.897 7.5493
247.000000 89.978 7.5931
250.000000 90.035 7.6176
254.000000 90.085 7.5761
258.000000 90.132 7.5341
262.000000 90.184 7.5896
265.000000 90.227 7.6902
269.000000 90.300 7.8947
272.000000 90.365 8.1405
276.000000 90.473 8.5410
280.000000 90.622 8.9001
285.000000 90.855 9.0764
290.000000 91.098 8.7593
295.000000 91.303 8.0762
300.000000 91.463 7.3435
304.000000 91.576 6.8105
307.000000 91.656 6.4429
311.000000 91.761 5.9862
315.000000 91.864 5.5534
320.000000 91.989 5.0253
325.000000 92.123 4.5096
330.000000 92.267 4.0341
335.000000 92.409 3.5481
340.000000 92.548 3.0532
345.000000 92.697 2.5460
350.000000 92.852 1.9692
355.000000 93.013 1.3237
