* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.800. Timing signal peak level -47.8 dBFS, measurement signal peak level -19.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 13/07/2022 9:07:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1845 ms (-63 mm, -2.49 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: Earphones with Mic R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 70.643 -7.5349
1.015000 70.875 -9.7244
1.030000 71.103 -11.8228
1.044000 71.312 -13.6914
1.060000 71.545 -15.7109
1.075000 71.757 -17.4828
1.090000 71.964 -19.1281
1.106000 72.178 -20.7326
1.120000 72.362 -22.0019
1.138000 72.592 -23.4602
1.150000 72.743 -24.3319
1.172000 73.013 -25.7405
1.180000 73.109 -26.1970
1.206000 73.415 -27.5002
1.220000 73.575 -28.1012
1.241000 73.811 -28.8928
1.250000 73.910 -29.1977
1.265000 74.073 -29.6681
1.280000 74.233 -30.1002
1.315000 74.596 -31.0163
1.320000 74.647 -31.1422
1.340000 74.847 -31.6482
1.360000 75.044 -32.1764
1.380000 75.236 -32.7509
1.400000 75.426 -33.3955
1.430000 75.704 -34.5471
1.450000 75.886 -35.4728
1.475000 76.109 -36.8381
1.500000 76.326 -38.3489
1.525000 76.535 -39.9645
1.550000 76.737 -41.6662
1.575000 76.932 -43.4353
1.600000 77.121 -45.2531
1.625000 77.303 -47.1009
1.650000 77.481 -48.9601
1.675000 77.653 -50.8119
1.700000 77.820 -52.6376
1.725000 77.983 -54.4186
1.750000 78.141 -56.1361
1.775000 78.297 -57.7715
1.800000 78.448 -59.3060
1.825000 78.597 -60.7210
1.850000 78.743 -62.0132
1.875000 78.883 -63.2147
1.900000 79.018 -64.3360
1.925000 79.148 -65.3864
1.950000 79.274 -66.3750
1.975000 79.395 -67.3109
2.000000 79.512 -68.2034
2.030000 79.648 -69.2300
2.060000 79.779 -70.2231
2.090000 79.905 -71.1986
2.120000 80.028 -72.1724
2.140000 80.108 -72.8284
2.180000 80.264 -74.1782
2.200000 80.341 -74.8810
2.240000 80.488 -76.3061
2.270000 80.592 -77.3742
2.300000 80.691 -78.4382
2.330000 80.785 -79.4947
2.360000 80.876 -80.5404
2.400000 80.992 -81.9124
2.430000 81.076 -82.9204
2.470000 81.184 -84.2302
2.500000 81.264 -85.1827
2.540000 81.367 -86.4065
2.580000 81.470 -87.5729
2.620000 81.567 -88.6957
2.650000 81.636 -89.5117
2.690000 81.725 -90.5644
2.720000 81.789 -91.3273
2.760000 81.872 -92.3085
2.800000 81.953 -93.2481
2.850000 82.053 -94.3636
2.900000 82.154 -95.4126
2.950000 82.256 -96.3890
3.000000 82.357 -97.2555
3.040000 82.436 -97.8792
3.070000 82.494 -98.3158
3.110000 82.572 -98.8679
3.150000 82.650 -99.3987
3.200000 82.747 -100.0542
3.250000 82.847 -100.7266
3.300000 82.948 -101.4439
3.350000 83.053 -102.1982
3.400000 83.158 -102.9658
3.450000 83.265 -103.7386
3.500000 83.373 -104.5088
3.550000 83.481 -105.2683
3.600000 83.590 -106.0094
3.650000 83.697 -106.7239
3.700000 83.805 -107.3996
3.750000 83.914 -108.0306
3.820000 84.068 -108.8699
3.870000 84.178 -109.4609
3.950000 84.349 -110.4384
4.000000 84.451 -111.0956
4.060000 84.569 -111.9563
4.120000 84.685 -112.8867
4.180000 84.798 -113.8635
4.250000 84.924 -115.0313
4.310000 85.026 -116.0305
4.370000 85.121 -117.0040
4.440000 85.222 -118.0916
4.500000 85.302 -119.0078
4.550000 85.364 -119.7626
4.620000 85.444 -120.8060
4.680000 85.505 -121.6885
4.750000 85.568 -122.7047
4.820000 85.621 -123.7180
4.870000 85.652 -124.4456
4.940000 85.689 -125.4534
5.000000 85.714 -126.2920
5.080000 85.740 -127.3490
5.150000 85.758 -128.1953
5.220000 85.767 -128.9821
5.300000 85.769 -129.8169
5.380000 85.765 -130.5816
5.450000 85.760 -131.1920
5.520000 85.756 -131.7458
5.600000 85.748 -132.3011
5.700000 85.733 -132.8927
5.800000 85.722 -133.3947
5.900000 85.720 -133.8257
6.000000 85.723 -134.1562
6.080000 85.730 -134.3666
6.150000 85.740 -134.5309
6.220000 85.754 -134.6926
6.300000 85.778 -134.8644
6.400000 85.816 -135.0405
6.500000 85.861 -135.2128
6.600000 85.909 -135.4233
6.700000 85.963 -135.6740
6.800000 86.023 -135.9499
6.900000 86.083 -136.2542
7.000000 86.140 -136.5913
7.100000 86.196 -136.9656
7.200000 86.250 -137.3672
7.300000 86.299 -137.7837
7.400000 86.342 -138.2142
7.500000 86.380 -138.6683
7.620000 86.419 -139.2148
7.750000 86.453 -139.7742
7.880000 86.478 -140.3142
8.000000 86.496 -140.7840
8.120000 86.512 -141.2105
8.250000 86.525 -141.6281
8.380000 86.538 -142.0066
8.500000 86.553 -142.3210
8.620000 86.570 -142.5967
8.750000 86.593 -142.8786
8.850000 86.615 -143.0961
9.000000 86.656 -143.4044
9.120000 86.693 -143.6683
9.250000 86.739 -143.9939
9.380000 86.791 -144.3480
9.500000 86.839 -144.7190
9.620000 86.888 -145.1449
9.750000 86.941 -145.6592
9.880000 86.989 -146.2232
10.000000 87.027 -146.7956
10.150000 87.067 -147.5697
10.300000 87.092 -148.3569
10.440000 87.102 -149.1193
10.600000 87.097 -149.9596
10.750000 87.076 -150.6754
10.900000 87.041 -151.3248
11.060000 87.000 -151.8665
11.200000 86.956 -152.2166
11.380000 86.910 -152.5056
11.500000 86.888 -152.5760
11.720000 86.875 -152.5658
11.800000 86.884 -152.5403
12.060000 86.958 -152.4174
12.200000 87.024 -152.4641
12.410000 87.152 -152.6877
12.500000 87.206 -152.8853
12.650000 87.303 -153.3492
12.800000 87.389 -153.9409
13.150000 87.512 -155.7646
13.200000 87.519 -156.0288
13.400000 87.511 -157.1214
13.600000 87.464 -158.0266
13.800000 87.375 -158.6601
14.000000 87.281 -158.9196
14.300000 87.156 -158.6161
14.500000 87.127 -158.0384
14.750000 87.165 -157.2455
15.000000 87.287 -156.5613
15.250000 87.458 -156.3320
15.500000 87.627 -156.5628
15.750000 87.766 -157.2069
16.000000 87.841 -158.0610
16.250000 87.857 -158.8492
16.500000 87.828 -159.4442
16.750000 87.778 -159.6994
17.000000 87.742 -159.6894
17.250000 87.732 -159.5210
17.500000 87.759 -159.3511
17.750000 87.804 -159.3549
18.000000 87.850 -159.5429
18.250000 87.877 -159.9207
18.500000 87.870 -160.3350
18.750000 87.836 -160.6796
19.000000 87.779 -160.8564
19.250000 87.726 -160.8134
19.500000 87.691 -160.6267
19.750000 87.684 -160.3600
20.000000 87.708 -160.1710
20.299999 87.757 -160.1462
20.600000 87.806 -160.3765
20.900000 87.833 -160.8006
21.200001 87.825 -161.2669
21.400000 87.805 -161.5107
21.799999 87.749 -161.7582
22.000000 87.727 -161.7547
22.400000 87.719 -161.5835
22.700001 87.752 -161.4604
23.000000 87.811 -161.4855
23.299999 87.878 -161.7265
23.600000 87.935 -162.1768
24.000000 87.970 -162.9931
24.299999 87.954 -163.6061
24.700001 87.886 -164.1928
25.000000 87.822 -164.3495
25.400000 87.758 -164.1889
25.799999 87.754 -163.8417
26.200001 87.804 -163.6465
26.500000 87.854 -163.7224
26.900000 87.901 -164.0826
27.200001 87.908 -164.4098
27.600000 87.889 -164.7223
28.000000 87.868 -164.7971
28.500000 87.883 -164.8072
29.000000 87.930 -165.0315
29.500000 87.953 -165.5517
30.000000 87.929 -166.0255
30.400000 87.898 -166.2008
30.700001 87.885 -166.2344
31.100000 87.882 -166.2595
31.500000 87.888 -166.3281
32.000000 87.885 -166.4061
32.500000 87.881 -166.3078
33.000000 87.909 -166.0687
33.500000 87.978 -165.9624
34.000000 88.047 -166.1857
34.500000 88.070 -166.6048
35.000000 88.042 -166.9259
35.500000 87.995 -166.9774
36.000000 87.965 -166.8481
36.500000 87.959 -166.7469
37.000000 87.958 -166.8221
37.500000 87.936 -167.0515
38.200001 87.855 -167.3111
38.700001 87.788 -167.2374
39.500000 87.763 -166.8279
40.000000 87.811 -166.7732
40.599998 87.882 -167.1580
41.200001 87.910 -167.8093
41.799999 87.897 -168.2932
42.500000 87.898 -168.4492
43.099998 87.945 -168.5216
43.700001 87.996 -168.7355
44.400002 88.026 -168.9319
45.000000 88.051 -168.8889
45.500000 88.087 -168.8625
46.200001 88.116 -169.0286
46.799999 88.090 -169.1321
47.500000 88.044 -168.9536
48.200001 88.012 -168.7969
48.700001 87.968 -168.7589
49.400002 87.872 -168.3683
50.000000 87.847 -167.6547
50.799999 87.946 -167.1528
51.500000 88.023 -167.5742
52.200001 88.019 -168.1030
53.000000 88.006 -168.3148
53.799999 88.033 -168.5229
54.500000 88.045 -168.7952
55.200001 88.044 -168.9018
56.000000 88.065 -168.8580
57.000000 88.103 -168.9627
58.000000 88.096 -169.0198
59.000000 88.090 -168.8104
60.000000 88.113 -168.5717
60.799999 88.156 -168.5224
61.500000 88.189 -168.7226
62.200001 88.184 -169.0033
63.000000 88.155 -169.0984
64.000000 88.151 -169.0005
65.000000 88.165 -169.0011
66.000000 88.177 -169.0281
67.000000 88.180 -169.0929
68.000000 88.169 -169.0663
69.000000 88.170 -168.9983
70.000000 88.167 -169.0092
71.000000 88.155 -169.0050
72.000000 88.147 -168.9988
73.000000 88.143 -168.9730
74.000000 88.160 -169.0134
75.000000 88.168 -169.2768
76.199997 88.131 -169.4141
77.500000 88.132 -169.1998
78.800003 88.163 -169.1345
80.000000 88.179 -169.1043
81.199997 88.190 -169.0385
82.500000 88.202 -168.9623
83.800003 88.218 -168.9406
85.000000 88.226 -168.9524
86.199997 88.239 -168.9144
87.500000 88.262 -168.8946
88.500000 88.275 -168.8974
90.000000 88.279 -168.8377
91.199997 88.283 -168.7107
92.500000 88.293 -168.6400
93.800003 88.292 -168.6441
95.000000 88.292 -168.5916
96.199997 88.306 -168.5333
97.500000 88.326 -168.5002
98.800003 88.343 -168.4519
100.000000 88.354 -168.3742
101.500000 88.362 -168.2782
103.000000 88.363 -168.2119
104.400002 88.366 -168.1637
106.000000 88.381 -168.1251
107.500000 88.402 -168.0643
109.000000 88.426 -167.9506
110.599998 88.443 -167.8152
112.000000 88.449 -167.6994
113.800003 88.455 -167.6437
115.000000 88.457 -167.6542
117.199997 88.471 -167.6359
118.000000 88.478 -167.6053
120.599998 88.501 -167.3787
122.000000 88.513 -167.2566
124.099998 88.526 -167.1427
125.000000 88.534 -167.1167
126.500000 88.550 -167.0914
128.000000 88.569 -167.0634
131.500000 88.602 -166.9993
132.000000 88.604 -166.9764
134.000000 88.618 -166.8214
136.000000 88.648 -166.6427
138.000000 88.672 -166.5500
140.000000 88.683 -166.4511
143.000000 88.708 -166.2705
145.000000 88.732 -166.0516
147.500000 88.748 -165.6550
150.000000 88.775 -165.2799
152.500000 88.816 -165.4681
155.000000 88.836 -165.6514
157.500000 88.873 -165.5486
160.000000 88.904 -165.3606
162.500000 88.924 -165.2023
165.000000 88.949 -165.0850
167.500000 88.982 -164.9580
170.000000 89.017 -164.8110
172.500000 89.052 -164.6715
175.000000 89.085 -164.5363
177.500000 89.116 -164.4082
180.000000 89.148 -164.2872
182.500000 89.184 -164.1766
185.000000 89.222 -164.0681
187.500000 89.261 -163.9494
190.000000 89.296 -163.8175
192.500000 89.327 -163.6772
195.000000 89.355 -163.5518
197.500000 89.387 -163.4547
200.000000 89.422 -163.3565
203.000000 89.471 -163.2141
206.000000 89.521 -163.0658
209.000000 89.571 -162.9105
212.000000 89.624 -162.7682
214.000000 89.657 -162.6839
218.000000 89.722 -162.5171
220.000000 89.755 -162.4357
224.000000 89.818 -162.2652
227.000000 89.872 -162.1480
230.000000 89.930 -162.0388
233.000000 89.985 -161.9240
236.000000 90.036 -161.8133
240.000000 90.110 -161.6724
243.000000 90.165 -161.5711
247.000000 90.234 -161.5326
