* Measurement data measured by REW V5.31.3
* Source: A [plughw:5,0], Headset (Headset), 0, volume: 0.200
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04/11/2024 9:13:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Europa L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 42.975 -49.4127
0.732422 41.445 -118.3860
1.098633 45.615 162.4166
1.464844 51.781 117.7155
1.831055 56.493 90.0978
2.197266 60.062 70.2194
2.563477 62.884 55.2072
2.929688 65.250 43.7070
3.295898 67.358 34.6494
3.662109 69.317 27.0331
4.028320 71.149 20.0874
4.394531 72.837 13.4236
4.760742 74.360 6.9868
5.126953 75.718 0.8833
5.493164 76.935 -4.7803
5.859375 78.042 -9.9840
6.225586 79.065 -14.8005
6.591797 80.020 -19.3441
6.958008 80.911 -23.7067
7.324219 81.735 -27.9237
7.690430 82.494 -31.9836
8.056641 83.194 -35.8617
8.422852 83.844 -39.5520
8.789062 84.454 -43.0790
9.155273 85.032 -46.4869
9.521484 85.578 -49.8186
9.887695 86.090 -53.0977
10.253906 86.569 -56.3246
10.620117 87.013 -59.4834
10.986328 87.426 -62.5549
11.352539 87.810 -65.5275
11.718750 88.172 -68.4021
12.084961 88.514 -71.1908
12.451172 88.839 -73.9100
12.817383 89.146 -76.5723
13.183594 89.436 -79.1815
13.549805 89.708 -81.7327
13.916016 89.963 -84.2173
14.282227 90.203 -86.6294
14.648438 90.430 -88.9703
15.014648 90.645 -91.2485
15.380859 90.851 -93.4746
15.747070 91.045 -95.6569
16.113281 91.229 -97.7972
16.479492 91.401 -99.8926
16.845703 91.562 -101.9381
17.211914 91.713 -103.9307
17.578125 91.855 -105.8711
17.944336 91.991 -107.7644
18.310547 92.119 -109.6175
18.676758 92.242 -111.4368
19.042969 92.357 -113.2252
19.409180 92.465 -114.9816
19.775391 92.566 -116.7012
20.141602 92.660 -118.3795
20.507812 92.749 -120.0161
20.874023 92.835 -121.6166
21.240234 92.917 -123.1909
21.606445 92.995 -124.7468
21.972656 93.068 -126.2852
22.338867 93.134 -127.7984
22.705078 93.193 -129.2750
23.071289 93.248 -130.7075
23.437500 93.300 -132.0975
23.803711 93.351 -133.4558
24.169922 93.400 -134.7952
24.536133 93.446 -136.1221
24.902344 93.488 -137.4335
25.268555 93.525 -138.7206
25.634766 93.559 -139.9764
26.000977 93.590 -141.2023
26.367188 93.621 -142.4069
26.733398 93.650 -143.5995
27.099609 93.676 -144.7831
27.465820 93.698 -145.9517
27.832031 93.716 -147.0953
28.198242 93.731 -148.2070
28.564453 93.746 -149.2888
28.930664 93.760 -150.3495
29.296875 93.775 -151.3987
29.663086 93.787 -152.4399
30.029297 93.798 -153.4698
30.395508 93.805 -154.4820
30.761719 93.811 -155.4725
31.127930 93.816 -156.4432
31.494141 93.820 -157.3995
31.860352 93.823 -158.3459
32.226562 93.824 -159.2823
32.592773 93.822 -160.2047
32.958984 93.818 -161.1089
33.325195 93.813 -161.9937
33.691406 93.807 -162.8606
34.057617 93.800 -163.7132
34.423828 93.793 -164.5538
34.790039 93.785 -165.3839
35.156250 93.776 -166.2050
35.522461 93.767 -167.0186
35.888672 93.757 -167.8256
36.254883 93.745 -168.6243
36.621094 93.732 -169.4111
36.987305 93.717 -170.1826
37.353516 93.703 -170.9384
37.719727 93.688 -171.6824
38.085938 93.674 -172.4193
38.452148 93.659 -173.1512
38.818359 93.643 -173.8752
39.184570 93.625 -174.5848
39.550781 93.607 -175.2757
39.916992 93.589 -175.9484
40.283203 93.571 -176.6090
40.649414 93.554 -177.2651
41.015625 93.537 -177.9210
41.381836 93.519 -178.5754
41.748047 93.498 -179.2225
42.114258 93.475 -179.8554
42.480469 93.452 179.5293
42.846680 93.428 178.9299
43.212891 93.405 178.3397
43.579102 93.383 177.7507
43.945312 93.361 177.1589
44.311523 93.337 176.5670
44.677734 93.311 175.9833
45.043945 93.284 175.4152
45.410156 93.258 174.8624
45.776367 93.234 174.3149
46.142578 93.211 173.7601
46.508789 93.187 173.1953
46.875000 93.161 172.6323
47.241211 93.132 172.0920
47.607422 93.104 171.5858
47.973633 93.081 171.1011
48.339844 93.065 170.6042
48.706055 93.051 170.0621
49.072266 93.033 169.4704
49.438477 93.004 168.8630
49.804688 92.964 168.2965
50.170898 92.918 167.8152
50.537109 92.877 167.4222
50.903320 92.847 167.0756
51.269531 92.828 166.7158
51.635742 92.814 166.3031
52.001953 92.797 165.8378
52.368164 92.774 165.3523
52.734375 92.744 164.8836
53.100586 92.711 164.4493
53.466797 92.680 164.0425
53.833008 92.651 163.6439
54.199219 92.623 163.2394
54.565430 92.595 162.8279
54.931641 92.566 162.4159
55.297852 92.537 162.0084
55.664062 92.507 161.6042
56.030273 92.478 161.1997
56.396484 92.448 160.7941
56.762695 92.417 160.3918
57.128906 92.386 159.9987
57.495117 92.355 159.6169
57.861328 92.325 159.2431
58.227539 92.296 158.8719
58.593750 92.269 158.5004
58.959961 92.241 158.1291
59.326172 92.213 157.7605
59.692383 92.186 157.3957
60.058594 92.158 157.0338
60.424805 92.130 156.6741
60.791016 92.102 156.3176
61.157227 92.074 155.9674
61.523438 92.045 155.6249
61.889648 92.016 155.2881
62.255859 91.988 154.9528
62.622070 91.960 154.6157
62.988281 91.931 154.2784
63.354492 91.900 153.9471
63.720703 91.868 153.6284
64.086914 91.838 153.3234
64.453125 91.809 153.0248
64.819336 91.782 152.7213
65.185547 91.755 152.4040
65.551758 91.727 152.0737
65.917969 91.697 151.7417
66.284180 91.663 151.4236
66.650391 91.629 151.1296
67.016602 91.597 150.8580
67.382812 91.568 150.5959
67.749023 91.542 150.3279
68.115234 91.517 150.0458
68.481445 91.491 149.7521
68.847656 91.464 149.4571
69.213867 91.435 149.1705
69.580078 91.406 148.8948
69.946289 91.378 148.6252
70.312500 91.351 148.3548
70.678711 91.324 148.0804
71.044922 91.296 147.8051
71.411133 91.266 147.5344
71.777344 91.236 147.2729
72.143555 91.206 147.0205
72.509766 91.177 146.7742
72.875977 91.148 146.5303
73.242188 91.120 146.2870
73.608398 91.092 146.0441
73.974609 91.064 145.8015
74.340820 91.036 145.5592
74.707031 91.008 145.3173
75.073242 90.980 145.0764
75.439453 90.952 144.8376
75.805664 90.925 144.6017
76.171875 90.897 144.3678
76.538086 90.870 144.1343
76.904297 90.844 143.8997
77.270508 90.817 143.6641
77.636719 90.789 143.4288
78.002930 90.762 143.1963
78.369141 90.734 142.9689
78.735352 90.706 142.7476
79.101562 90.678 142.5319
79.467773 90.651 142.3196
79.833984 90.625 142.1074
80.200195 90.599 141.8923
80.566406 90.572 141.6735
80.932617 90.545 141.4542
81.298828 90.517 141.2400
81.665039 90.488 141.0361
82.031250 90.459 140.8435
82.397461 90.432 140.6572
82.763672 90.406 140.4694
83.129883 90.381 140.2741
83.496094 90.356 140.0713
83.862305 90.330 139.8670
84.228516 90.302 139.6689
84.594727 90.274 139.4808
84.960938 90.248 139.2996
85.327148 90.223 139.1175
85.693359 90.199 138.9274
86.059570 90.175 138.7280
86.425781 90.149 138.5251
86.791992 90.121 138.3279
87.158203 90.092 138.1436
87.524414 90.065 137.9725
87.890625 90.039 137.8090
88.256836 90.015 137.6440
88.623047 89.992 137.4707
88.989258 89.969 137.2871
89.355469 89.945 137.0974
89.721680 89.919 136.9093
90.087891 89.892 136.7303
90.454102 89.866 136.5641
90.820312 89.840 136.4077
91.186523 89.816 136.2534
91.552734 89.793 136.0930
91.918945 89.770 135.9228
92.285156 89.746 135.7470
92.651367 89.720 135.5749
93.017578 89.693 135.4141
93.383789 89.668 135.2652
93.750000 89.643 135.1206
94.116211 89.621 134.9711
94.482422 89.598 134.8132
94.848633 89.574 134.6515
95.214844 89.549 134.4939
95.581055 89.525 134.3434
95.947266 89.502 134.1946
96.313477 89.479 134.0394
96.679688 89.456 133.8763
97.045898 89.430 133.7143
97.412109 89.404 133.5663
97.778320 89.379 133.4357
98.144531 89.358 133.3092
98.510742 89.340 133.1638
98.876953 89.321 132.9857
99.243164 89.298 132.7848
99.609375 89.268 132.5920
99.975586 89.234 132.4399
100.341797 89.201 132.3392
100.708008 89.174 132.2701
101.074219 89.155 132.1957
101.440430 89.140 132.0870
101.806641 89.124 131.9410
102.172852 89.104 131.7777
102.539062 89.080 131.6224
102.905273 89.055 131.4874
103.271484 89.031 131.3674
103.637695 89.008 131.2495
104.003906 88.987 131.1257
104.370117 88.965 130.9985
104.736328 88.943 130.8749
105.102539 88.921 130.7565
105.468750 88.900 130.6378
105.834961 88.880 130.5112
106.201172 88.859 130.3757
106.567383 88.837 130.2387
106.933594 88.813 130.1108
107.299805 88.789 129.9965
107.666016 88.767 129.8906
108.032227 88.747 129.7825
108.398438 88.727 129.6643
108.764648 88.707 129.5368
109.130859 88.686 129.4075
109.497070 88.664 129.2840
109.863281 88.642 129.1686
110.229492 88.620 129.0569
110.595703 88.600 128.9431
110.961914 88.580 128.8240
111.328125 88.558 128.7019
111.694336 88.536 128.5824
112.060547 88.514 128.4701
112.426758 88.491 128.3654
112.792969 88.470 128.2650
113.159180 88.450 128.1635
113.525391 88.430 128.0578
113.891602 88.411 127.9479
114.257812 88.390 127.8369
114.624023 88.370 127.7278
114.990234 88.350 127.6216
115.356445 88.330 127.5167
115.722656 88.310 127.4101
116.088867 88.291 127.3006
116.455078 88.270 127.1904
116.821289 88.250 127.0836
117.187500 88.229 126.9837
117.553711 88.209 126.8900
117.919922 88.190 126.7974
118.286133 88.172 126.7000
118.652344 88.155 126.5947
119.018555 88.136 126.4838
119.384766 88.116 126.3733
119.750977 88.096 126.2692
120.117188 88.075 126.1731
120.483398 88.055 126.0820
120.849609 88.036 125.9911
121.215820 88.017 125.8978
121.582031 87.998 125.8031
121.948242 87.979 125.7105
122.314453 87.959 125.6226
122.680664 87.941 125.5384
123.046875 87.923 125.4540
123.413086 87.906 125.3656
123.779297 87.889 125.2716
124.145508 87.871 125.1736
124.511719 87.853 125.0748
124.877930 87.834 124.9782
125.244141 87.815 124.8850
125.610352 87.795 124.7958
125.976562 87.776 124.7108
126.342773 87.757 124.6301
126.708984 87.738 124.5531
127.075195 87.720 124.4778
127.441406 87.702 124.4017
127.807617 87.685 124.3225
128.173828 87.668 124.2394
128.540039 87.651 124.1531
128.906250 87.633 124.0646
129.272461 87.615 123.9754
129.638672 87.596 123.8870
130.004883 87.577 123.8017
130.371094 87.557 123.7222
130.737305 87.538 123.6493
131.103516 87.520 123.5802
131.469727 87.504 123.5089
131.835938 87.488 123.4293
132.202148 87.473 123.3394
132.568359 87.456 123.2434
132.934570 87.438 123.1499
133.300781 87.419 123.0660
133.666992 87.401 122.9928
134.033203 87.384 122.9248
134.399414 87.369 122.8544
134.765625 87.354 122.7773
135.131836 87.339 122.6957
135.498047 87.323 122.6161
135.864258 87.306 122.5433
136.230469 87.290 122.4766
136.596680 87.275 122.4102
136.962891 87.261 122.3382
137.329102 87.246 122.2590
137.695312 87.230 122.1771
138.061523 87.212 122.0995
138.427734 87.194 122.0313
138.793945 87.177 121.9717
139.160156 87.161 121.9152
139.526367 87.146 121.8538
139.892578 87.132 121.7819
140.258789 87.117 121.6987
140.625000 87.101 121.6098
140.991211 87.083 121.5252
141.357422 87.064 121.4539
141.723633 87.046 121.3980
142.089844 87.031 121.3490
142.456055 87.018 121.2918
142.822266 87.007 121.2156
143.188477 86.994 121.1241
143.554688 86.977 121.0353
143.920898 86.959 120.9686
144.287109 86.942 120.9282
144.653320 86.930 120.8956
145.019531 86.921 120.8441
145.385742 86.911 120.7615
145.751953 86.896 120.6653
146.118164 86.876 120.5908
146.484375 86.855 120.5601
146.850586 86.840 120.5577
147.216797 86.830 120.5374
147.583008 86.822 120.4612
147.949219 86.806 120.3406
148.315430 86.776 120.2395
148.681641 86.740 120.2321
149.047852 86.710 120.3409
149.414062 86.700 120.5039
149.780273 86.712 120.6050
150.146484 86.734 120.5522
150.512695 86.747 120.3411
150.878906 86.739 120.0561
