* Measurement data measured by REW V5.31.3
* Source: A [plughw:5,0], Headset (Headset), 0, volume: 0.200
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04/11/2024 9:12:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Europa R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 40.318 -33.6729
0.732422 33.904 -95.3970
1.098633 40.662 146.6444
1.464844 49.014 112.3374
1.831055 54.306 91.6465
2.197266 58.225 75.8348
2.563477 61.380 63.0425
2.929688 64.063 52.3352
3.295898 66.428 43.0188
3.662109 68.545 34.5876
4.028320 70.445 26.7528
4.394531 72.144 19.4168
4.760742 73.661 12.5893
5.126953 75.023 6.2969
5.493164 76.262 0.5226
5.859375 77.403 -4.8084
6.225586 78.464 -9.8029
6.591797 79.452 -14.5577
6.958008 80.369 -19.1292
7.324219 81.215 -23.5310
7.690430 81.994 -27.7516
8.056641 82.712 -31.7778
8.422852 83.378 -35.6115
8.789062 84.002 -39.2739
9.155273 84.588 -42.7999
9.521484 85.141 -46.2263
9.887695 85.660 -49.5797
10.253906 86.144 -52.8680
10.620117 86.593 -56.0804
10.986328 87.009 -59.1958
11.352539 87.398 -62.1971
11.718750 87.764 -65.0856
12.084961 88.115 -67.8844
12.451172 88.451 -70.6286
12.817383 88.772 -73.3471
13.183594 89.072 -76.0455
13.549805 89.350 -78.7043
13.916016 89.605 -81.2900
14.282227 89.841 -83.7760
14.648438 90.064 -86.1568
15.014648 90.278 -88.4494
15.380859 90.487 -90.6820
15.747070 90.687 -92.8771
16.113281 90.878 -95.0422
16.479492 91.057 -97.1710
16.845703 91.224 -99.2522
17.211914 91.382 -101.2797
17.578125 91.531 -103.2550
17.944336 91.672 -105.1847
18.310547 91.806 -107.0747
18.676758 91.932 -108.9267
19.042969 92.051 -110.7389
19.409180 92.163 -112.5092
19.775391 92.268 -114.2388
20.141602 92.369 -115.9321
20.507812 92.464 -117.5945
20.874023 92.554 -119.2296
21.240234 92.639 -120.8368
21.606445 92.717 -122.4123
21.972656 92.791 -123.9522
22.338867 92.860 -125.4561
22.705078 92.926 -126.9281
23.071289 92.989 -128.3753
23.437500 93.048 -129.8034
23.803711 93.103 -131.2125
24.169922 93.153 -132.5970
24.536133 93.198 -133.9492
24.902344 93.240 -135.2652
25.268555 93.280 -136.5486
25.634766 93.318 -137.8085
26.000977 93.355 -139.0538
26.367188 93.390 -140.2879
26.733398 93.420 -141.5067
27.099609 93.447 -142.7028
27.465820 93.471 -143.8713
27.832031 93.493 -145.0132
28.198242 93.514 -146.1344
28.564453 93.533 -147.2410
28.930664 93.551 -148.3357
29.296875 93.567 -149.4171
29.663086 93.580 -150.4818
30.029297 93.591 -151.5276
30.395508 93.600 -152.5539
30.761719 93.607 -153.5610
31.127930 93.613 -154.5491
31.494141 93.618 -155.5184
31.860352 93.623 -156.4708
32.226562 93.626 -157.4102
32.592773 93.629 -158.3406
32.958984 93.630 -159.2629
33.325195 93.629 -160.1730
33.691406 93.625 -161.0647
34.057617 93.621 -161.9337
34.423828 93.616 -162.7822
34.790039 93.611 -163.6179
35.156250 93.606 -164.4491
35.522461 93.601 -165.2780
35.888672 93.592 -166.0998
36.254883 93.582 -166.9061
36.621094 93.571 -167.6919
36.987305 93.559 -168.4595
37.353516 93.548 -169.2168
37.719727 93.537 -169.9710
38.085938 93.525 -170.7231
38.452148 93.511 -171.4675
38.818359 93.495 -172.1970
39.184570 93.479 -172.9084
39.550781 93.462 -173.6042
39.916992 93.446 -174.2901
40.283203 93.430 -174.9700
40.649414 93.413 -175.6439
41.015625 93.395 -176.3094
41.381836 93.377 -176.9649
41.748047 93.358 -177.6107
42.114258 93.339 -178.2484
42.480469 93.320 -178.8788
42.846680 93.300 -179.5018
43.212891 93.280 179.8815
43.579102 93.259 179.2693
43.945312 93.238 178.6608
44.311523 93.215 178.0587
44.677734 93.191 177.4691
45.043945 93.167 176.8959
45.410156 93.144 176.3351
45.776367 93.122 175.7752
46.142578 93.101 175.2063
46.508789 93.079 174.6305
46.875000 93.053 174.0640
47.241211 93.026 173.5249
47.607422 93.001 173.0148
47.973633 92.982 172.5101
48.339844 92.968 171.9744
48.706055 92.952 171.3869
49.072266 92.927 170.7650
49.438477 92.891 170.1610
49.804688 92.846 169.6318
50.170898 92.802 169.2008
50.537109 92.768 168.8395
50.903320 92.747 168.4846
51.269531 92.735 168.0791
51.635742 92.723 167.6080
52.001953 92.704 167.1010
52.368164 92.678 166.6046
52.734375 92.647 166.1489
53.100586 92.618 165.7302
53.466797 92.594 165.3219
53.833008 92.571 164.8998
54.199219 92.548 164.4598
54.565430 92.522 164.0166
54.931641 92.493 163.5871
55.297852 92.463 163.1765
55.664062 92.436 162.7760
56.030273 92.409 162.3732
56.396484 92.383 161.9628
56.762695 92.355 161.5493
57.128906 92.325 161.1419
57.495117 92.295 160.7464
57.861328 92.266 160.3618
58.227539 92.237 159.9836
58.593750 92.209 159.6071
58.959961 92.181 159.2307
59.326172 92.153 158.8555
59.692383 92.125 158.4838
60.058594 92.096 158.1187
60.424805 92.068 157.7618
60.791016 92.040 157.4128
61.157227 92.013 157.0676
61.523438 91.987 156.7205
61.889648 91.961 156.3683
62.255859 91.934 156.0144
62.622070 91.905 155.6668
62.988281 91.875 155.3326
63.354492 91.847 155.0111
63.720703 91.820 154.6936
64.086914 91.794 154.3697
64.453125 91.767 154.0363
64.819336 91.739 153.7006
65.185547 91.709 153.3746
65.551758 91.679 153.0647
65.917969 91.650 152.7656
66.284180 91.623 152.4647
66.650391 91.596 152.1534
67.016602 91.568 151.8348
67.382812 91.538 151.5221
67.749023 91.507 151.2276
68.115234 91.477 150.9520
68.481445 91.450 150.6829
68.847656 91.425 150.4047
69.213867 91.400 150.1102
69.580078 91.374 149.8068
69.946289 91.344 149.5100
70.312500 91.314 149.2313
70.678711 91.285 148.9697
71.044922 91.258 148.7133
71.411133 91.233 148.4487
71.777344 91.208 148.1713
72.143555 91.181 147.8878
72.509766 91.152 147.6107
72.875977 91.122 147.3485
73.242188 91.093 147.1003
73.608398 91.066 146.8572
73.974609 91.040 146.6089
74.340820 91.015 146.3507
74.707031 90.988 146.0859
75.073242 90.960 145.8224
75.439453 90.930 145.5682
75.805664 90.901 145.3264
76.171875 90.872 145.0944
76.538086 90.845 144.8663
76.904297 90.818 144.6364
77.270508 90.793 144.4021
77.636719 90.767 144.1647
78.002930 90.740 143.9279
78.369141 90.713 143.6953
78.735352 90.686 143.4681
79.101562 90.660 143.2447
79.467773 90.635 143.0216
79.833984 90.609 142.7963
80.200195 90.583 142.5690
80.566406 90.557 142.3428
80.932617 90.530 142.1217
81.298828 90.503 141.9078
81.665039 90.477 141.6996
82.031250 90.451 141.4924
82.397461 90.426 141.2818
82.763672 90.401 141.0666
83.129883 90.375 140.8502
83.496094 90.347 140.6388
83.862305 90.319 140.4371
84.228516 90.292 140.2451
84.594727 90.266 140.0578
84.960938 90.242 139.8686
85.327148 90.218 139.6735
85.693359 90.193 139.4732
86.059570 90.168 139.2722
86.425781 90.142 139.0750
86.791992 90.116 138.8830
87.158203 90.090 138.6947
87.524414 90.065 138.5076
87.890625 90.040 138.3207
88.256836 90.015 138.1348
88.623047 89.990 137.9506
88.989258 89.966 137.7667
89.355469 89.942 137.5806
89.721680 89.917 137.3913
90.087891 89.892 137.2012
90.454102 89.866 137.0153
90.820312 89.840 136.8375
91.186523 89.814 136.6680
91.552734 89.789 136.5028
91.918945 89.765 136.3375
92.285156 89.741 136.1707
92.651367 89.717 136.0049
93.017578 89.693 135.8427
93.383789 89.669 135.6838
93.750000 89.646 135.5247
94.116211 89.623 135.3615
94.482422 89.600 135.1937
94.848633 89.576 135.0255
95.214844 89.551 134.8617
95.581055 89.527 134.7037
95.947266 89.503 134.5485
96.313477 89.479 134.3923
96.679688 89.455 134.2339
97.045898 89.431 134.0757
97.412109 89.407 133.9198
97.778320 89.384 133.7640
98.144531 89.362 133.6021
98.510742 89.338 133.4303
98.876953 89.313 133.2529
99.243164 89.284 133.0837
99.609375 89.254 132.9376
99.975586 89.226 132.8202
100.341797 89.201 132.7215
100.708008 89.181 132.6213
101.074219 89.164 132.5009
101.440430 89.147 132.3547
101.806641 89.129 132.1919
102.172852 89.107 132.0281
102.539062 89.084 131.8750
102.905273 89.062 131.7339
103.271484 89.040 131.5981
103.637695 89.019 131.4603
104.003906 88.997 131.3184
104.370117 88.975 131.1764
104.736328 88.952 131.0394
105.102539 88.929 130.9094
105.468750 88.907 130.7838
105.834961 88.885 130.6580
106.201172 88.864 130.5292
106.567383 88.841 130.3985
106.933594 88.819 130.2697
107.299805 88.796 130.1463
107.666016 88.773 130.0287
108.032227 88.752 129.9142
108.398438 88.731 129.7978
108.764648 88.711 129.6757
109.130859 88.691 129.5476
109.497070 88.669 129.4166
109.863281 88.647 129.2880
110.229492 88.625 129.1660
110.595703 88.603 129.0513
110.961914 88.582 128.9405
111.328125 88.562 128.8283
111.694336 88.543 128.7108
112.060547 88.523 128.5878
112.426758 88.502 128.4636
112.792969 88.481 128.3435
113.159180 88.459 128.2312
113.525391 88.437 128.1262
113.891602 88.417 128.0246
114.257812 88.398 127.9215
114.624023 88.379 127.8139
114.990234 88.360 127.7016
115.356445 88.341 127.5869
115.722656 88.321 127.4728
116.088867 88.300 127.3616
116.455078 88.280 127.2539
116.821289 88.259 127.1491
117.187500 88.239 127.0459
117.553711 88.220 126.9426
117.919922 88.200 126.8381
118.286133 88.181 126.7318
118.652344 88.162 126.6242
119.018555 88.142 126.5167
119.384766 88.122 126.4111
119.750977 88.101 126.3093
120.117188 88.081 126.2117
120.483398 88.061 126.1174
120.849609 88.042 126.0241
121.215820 88.024 125.9296
121.582031 88.005 125.8325
121.948242 87.987 125.7337
122.314453 87.968 125.6351
122.680664 87.949 125.5384
123.046875 87.931 125.4438
123.413086 87.913 125.3496
123.779297 87.895 125.2537
124.145508 87.877 125.1552
124.511719 87.859 125.0555
124.877930 87.841 124.9576
125.244141 87.822 124.8634
125.610352 87.804 124.7725
125.976562 87.786 124.6819
126.342773 87.769 124.5885
126.708984 87.751 124.4914
127.075195 87.733 124.3932
127.441406 87.714 124.2986
127.807617 87.694 124.2111
128.173828 87.675 124.1307
128.540039 87.657 124.0541
128.906250 87.639 123.9762
129.272461 87.622 123.8939
129.638672 87.605 123.8072
130.004883 87.587 123.7192
130.371094 87.568 123.6338
130.737305 87.550 123.5529
131.103516 87.532 123.4757
131.469727 87.514 123.3989
131.835938 87.497 123.3193
132.202148 87.480 123.2360
132.568359 87.464 123.1501
132.934570 87.446 123.0641
133.300781 87.429 122.9791
133.666992 87.413 122.8940
134.033203 87.397 122.8063
134.399414 87.380 122.7148
134.765625 87.363 122.6217
135.131836 87.346 122.5317
135.498047 87.327 122.4496
135.864258 87.310 122.3768
136.230469 87.293 122.3104
136.596680 87.278 122.2442
136.962891 87.264 122.1730
137.329102 87.250 122.0945
137.695312 87.235 122.0110
138.061523 87.219 121.9272
138.427734 87.201 121.8483
138.793945 87.184 121.7769
139.160156 87.167 121.7114
139.526367 87.151 121.6465
139.892578 87.135 121.5765
140.258789 87.119 121.4999
140.625000 87.101 121.4208
140.991211 87.083 121.3473
141.357422 87.064 121.2838
141.723633 87.048 121.2262
142.089844 87.033 121.1632
142.456055 87.019 121.0861
142.822266 87.003 120.9975
143.188477 86.986 120.9117
143.554688 86.968 120.8426
143.920898 86.952 120.7896
144.287109 86.941 120.7352
144.653320 86.931 120.6591
145.019531 86.920 120.5591
145.385742 86.905 120.4570
145.751953 86.887 120.3823
146.118164 86.871 120.3442
146.484375 86.861 120.3185
146.850586 86.855 120.2655
147.216797 86.848 120.1694
147.583008 86.832 120.0624
147.949219 86.808 120.0070
148.315430 86.785 120.0433
148.681641 86.777 120.1423
149.047852 86.787 120.2083
149.414062 86.809 120.1412
149.780273 86.822 119.9138
150.146484 86.813 119.5981
150.512695 86.776 119.3241
150.878906 86.725 119.1968
