* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -31.1 dBFS, measurement signal peak level -27.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 20/05/2024 9:09:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0331 ms (11 mm, 0.45 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: Explorer L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 45.389 108.1392
1.015000 45.639 106.7491
1.030000 45.886 105.3949
1.044000 46.115 104.1676
1.060000 46.373 102.8133
1.075000 46.611 101.5956
1.090000 46.845 100.4330
1.106000 47.091 99.2570
1.120000 47.304 98.2720
1.138000 47.578 97.0593
1.150000 47.760 96.2821
1.172000 48.091 94.9172
1.180000 48.211 94.4386
1.206000 48.599 92.9422
1.220000 48.807 92.1700
1.241000 49.117 91.0497
1.250000 49.249 90.5818
1.265000 49.468 89.8163
1.280000 49.686 89.0660
1.315000 50.190 87.3595
1.320000 50.261 87.1193
1.340000 50.545 86.1629
1.360000 50.827 85.2092
1.380000 51.106 84.2514
1.400000 51.382 83.2831
1.430000 51.792 81.7965
1.450000 52.061 80.7730
1.475000 52.394 79.4493
1.500000 52.723 78.1025
1.525000 53.047 76.7436
1.550000 53.368 75.3769
1.575000 53.685 74.0065
1.600000 53.998 72.6367
1.625000 54.307 71.2718
1.650000 54.612 69.9159
1.675000 54.913 68.5733
1.700000 55.211 67.2483
1.725000 55.505 65.9450
1.750000 55.796 64.6677
1.775000 56.083 63.4206
1.800000 56.367 62.2079
1.825000 56.647 61.0340
1.850000 56.923 59.9011
1.875000 57.195 58.8055
1.900000 57.464 57.7437
1.925000 57.728 56.7123
1.950000 57.988 55.7079
1.975000 58.245 54.7273
2.000000 58.498 53.7669
2.030000 58.798 52.6367
2.060000 59.093 51.5251
2.090000 59.383 50.4263
2.120000 59.670 49.3346
2.140000 59.859 48.6078
2.180000 60.232 47.1491
2.200000 60.417 46.4138
2.240000 60.779 44.9487
2.270000 61.046 43.8611
2.300000 61.308 42.7832
2.330000 61.565 41.7153
2.360000 61.819 40.6572
2.400000 62.151 39.2621
2.430000 62.396 38.2277
2.470000 62.717 36.8644
2.500000 62.954 35.8541
2.540000 63.266 34.5232
2.580000 63.574 33.2113
2.620000 63.875 31.9180
2.650000 64.096 30.9601
2.690000 64.386 29.6992
2.720000 64.599 28.7654
2.760000 64.879 27.5364
2.800000 65.154 26.3255
2.850000 65.491 24.8370
2.900000 65.822 23.3763
2.950000 66.147 21.9446
3.000000 66.464 20.5517
3.040000 66.712 19.4630
3.070000 66.895 18.6592
3.110000 67.135 17.6014
3.150000 67.370 16.5563
3.200000 67.660 15.2626
3.250000 67.944 13.9765
3.300000 68.223 12.6910
3.350000 68.496 11.4057
3.400000 68.763 10.1263
3.450000 69.024 8.8566
3.500000 69.279 7.6006
3.550000 69.529 6.3621
3.600000 69.775 5.1451
3.650000 70.017 3.9535
3.700000 70.253 2.7911
3.750000 70.485 1.6574
3.820000 70.801 0.1094
3.870000 71.022 -0.9748
3.950000 71.365 -2.6857
4.000000 71.575 -3.7475
4.060000 71.822 -5.0207
4.120000 72.063 -6.2883
4.180000 72.298 -7.5452
4.250000 72.565 -8.9921
4.310000 72.788 -10.2106
4.370000 73.007 -11.4043
4.440000 73.256 -12.7609
4.500000 73.464 -13.8949
4.550000 73.634 -14.8223
4.620000 73.866 -16.0976
4.680000 74.060 -17.1728
4.750000 74.283 -18.4110
4.820000 74.500 -19.6337
4.870000 74.651 -20.4952
4.940000 74.859 -21.6836
5.000000 75.033 -22.6849
5.080000 75.260 -23.9933
5.150000 75.455 -25.1117
5.220000 75.646 -26.2037
5.300000 75.858 -27.4220
5.380000 76.066 -28.6126
5.450000 76.244 -29.6350
5.520000 76.420 -30.6414
5.600000 76.616 -31.7671
5.700000 76.857 -33.1398
5.800000 77.091 -34.4813
5.900000 77.322 -35.7975
6.000000 77.547 -37.0832
6.080000 77.724 -38.0917
6.150000 77.876 -38.9621
6.220000 78.027 -39.8234
6.300000 78.196 -40.7952
6.400000 78.404 -41.9885
6.500000 78.607 -43.1636
6.600000 78.806 -44.3261
6.700000 79.001 -45.4765
6.800000 79.192 -46.6127
6.900000 79.378 -47.7345
7.000000 79.560 -48.8419
7.100000 79.738 -49.9350
7.200000 79.911 -51.0137
7.300000 80.080 -52.0781
7.400000 80.245 -53.1287
7.500000 80.405 -54.1656
7.620000 80.593 -55.3899
7.750000 80.791 -56.6894
7.880000 80.982 -57.9610
8.000000 81.154 -59.1119
8.120000 81.322 -60.2420
8.250000 81.499 -61.4412
8.380000 81.671 -62.6184
8.500000 81.828 -63.6880
8.620000 81.980 -64.7393
8.750000 82.142 -65.8619
8.850000 82.264 -66.7165
9.000000 82.443 -67.9812
9.120000 82.582 -68.9802
9.250000 82.729 -70.0520
9.380000 82.873 -71.1119
9.500000 83.002 -72.0786
9.620000 83.127 -73.0343
9.750000 83.259 -74.0572
9.880000 83.387 -75.0647
10.000000 83.502 -75.9803
10.150000 83.641 -77.1059
10.300000 83.777 -78.2080
10.440000 83.899 -79.2146
10.600000 84.036 -80.3414
10.750000 84.161 -81.3753
10.900000 84.284 -82.3884
11.060000 84.412 -83.4523
11.200000 84.523 -84.3676
11.380000 84.663 -85.5311
11.500000 84.755 -86.2996
11.720000 84.919 -87.6957
11.800000 84.978 -88.2009
12.060000 85.163 -89.8316
12.200000 85.259 -90.7032
12.410000 85.399 -92.0005
12.500000 85.457 -92.5512
12.650000 85.550 -93.4629
12.800000 85.641 -94.3641
13.150000 85.841 -96.4189
13.200000 85.869 -96.7064
13.400000 85.975 -97.8407
13.600000 86.079 -98.9498
13.800000 86.178 -100.0331
14.000000 86.275 -101.0926
14.300000 86.416 -102.6390
14.500000 86.507 -103.6442
14.750000 86.618 -104.8758
15.000000 86.727 -106.0822
15.250000 86.834 -107.2680
15.500000 86.937 -108.4362
15.750000 87.038 -109.5889
16.000000 87.137 -110.7282
16.250000 87.232 -111.8544
16.500000 87.323 -112.9672
16.750000 87.411 -114.0661
17.000000 87.496 -115.1499
17.250000 87.577 -116.2182
17.500000 87.655 -117.2703
17.750000 87.730 -118.3056
18.000000 87.801 -119.3233
18.250000 87.870 -120.3226
18.500000 87.936 -121.3024
18.750000 87.999 -122.2623
19.000000 88.060 -123.2023
19.250000 88.120 -124.1243
19.500000 88.178 -125.0307
19.750000 88.235 -125.9239
20.000000 88.290 -126.8075
20.299999 88.354 -127.8569
20.600000 88.416 -128.8942
20.900000 88.473 -129.9173
21.200001 88.528 -130.9222
21.400000 88.562 -131.5801
21.799999 88.629 -132.8671
22.000000 88.661 -133.4971
22.400000 88.723 -134.7354
22.700001 88.768 -135.6498
23.000000 88.812 -136.5556
23.299999 88.854 -137.4530
23.600000 88.893 -138.3407
24.000000 88.942 -139.5060
24.299999 88.976 -140.3639
24.700001 89.019 -141.4847
25.000000 89.049 -142.3083
25.400000 89.087 -143.3853
25.799999 89.123 -144.4401
26.200001 89.158 -145.4746
26.500000 89.182 -146.2375
26.900000 89.214 -147.2378
27.200001 89.236 -147.9761
27.600000 89.265 -148.9464
28.000000 89.293 -149.9047
28.500000 89.324 -151.0893
29.000000 89.351 -152.2539
29.500000 89.374 -153.3845
30.000000 89.394 -154.4736
30.400000 89.411 -155.3231
30.700001 89.424 -155.9554
31.100000 89.441 -156.7991
31.500000 89.454 -157.6410
32.000000 89.466 -158.6723
32.500000 89.474 -159.6599
33.000000 89.484 -160.6070
33.500000 89.495 -161.5394
34.000000 89.507 -162.4782
34.500000 89.514 -163.4182
35.000000 89.517 -164.3381
35.500000 89.516 -165.2232
36.000000 89.516 -166.0780
36.500000 89.515 -166.9153
37.000000 89.515 -167.7449
37.500000 89.513 -168.5685
38.200001 89.507 -169.7068
38.700001 89.500 -170.5032
39.500000 89.486 -171.7357
40.000000 89.477 -172.4829
40.599998 89.468 -173.3692
41.200001 89.458 -174.2508
41.799999 89.447 -175.1200
42.500000 89.432 -176.1102
43.099998 89.419 -176.9406
43.700001 89.404 -177.7494
44.400002 89.386 -178.6605
45.000000 89.370 -179.4292
45.500000 89.355 179.9317
46.200001 89.328 179.0668
46.799999 89.304 178.3719
47.500000 89.278 177.5631
48.200001 89.245 176.7310
48.700001 89.212 176.1812
49.400002 89.173 175.5368
50.000000 89.159 175.0067
50.799999 89.155 174.1236
51.500000 89.136 173.2324
52.200001 89.101 172.3979
53.000000 89.064 171.5351
53.799999 89.031 170.6890
54.500000 89.002 169.9680
55.200001 88.972 169.2775
56.000000 88.939 168.5124
57.000000 88.894 167.5934
58.000000 88.848 166.7086
59.000000 88.801 165.8466
60.000000 88.754 164.9934
60.799999 88.715 164.3090
61.500000 88.679 163.7236
62.200001 88.645 163.1544
63.000000 88.609 162.5068
64.000000 88.563 161.6943
65.000000 88.514 160.9077
66.000000 88.464 160.1612
67.000000 88.414 159.4437
68.000000 88.365 158.7415
69.000000 88.317 158.0468
70.000000 88.267 157.3568
71.000000 88.216 156.6812
72.000000 88.167 156.0240
73.000000 88.118 155.3788
74.000000 88.069 154.7463
75.000000 88.020 154.1289
76.199997 87.960 153.4006
77.500000 87.894 152.6354
78.800003 87.829 151.8941
80.000000 87.770 151.2138
81.199997 87.710 150.5441
82.500000 87.647 149.8408
83.800003 87.585 149.1559
85.000000 87.527 148.5317
86.199997 87.469 147.9254
87.500000 87.405 147.2926
88.500000 87.357 146.8163
90.000000 87.287 146.1146
91.199997 87.231 145.5619
92.500000 87.171 144.9714
93.800003 87.110 144.3939
95.000000 87.055 143.8749
96.199997 87.001 143.3660
97.500000 86.941 142.8268
98.800003 86.882 142.3010
100.000000 86.828 141.8227
101.500000 86.760 141.2356
103.000000 86.695 140.6587
104.400002 86.634 140.1260
106.000000 86.564 139.5326
107.500000 86.499 138.9929
109.000000 86.436 138.4651
110.599998 86.369 137.9135
112.000000 86.311 137.4412
113.800003 86.237 136.8482
115.000000 86.188 136.4618
117.199997 86.100 135.7711
118.000000 86.069 135.5218
120.599998 85.967 134.7277
122.000000 85.913 134.3160
124.099998 85.834 133.7064
125.000000 85.800 133.4468
126.500000 85.745 133.0171
128.000000 85.688 132.5961
131.500000 85.560 131.6715
132.000000 85.542 131.5418
134.000000 85.472 131.0209
136.000000 85.402 130.5110
138.000000 85.335 130.0151
140.000000 85.267 129.5283
143.000000 85.166 128.8033
145.000000 85.106 128.3255
147.500000 85.044 127.7852
150.000000 84.985 127.2207
152.500000 84.894 126.6600
155.000000 84.799 126.1631
157.500000 84.719 125.6432
160.000000 84.649 125.1315
162.500000 84.580 124.6400
165.000000 84.511 124.1539
167.500000 84.444 123.6717
170.000000 84.378 123.2036
172.500000 84.312 122.7502
175.000000 84.248 122.2981
177.500000 84.186 121.8510
180.000000 84.126 121.4128
182.500000 84.067 120.9825
185.000000 84.008 120.5580
187.500000 83.951 120.1386
190.000000 83.894 119.7236
192.500000 83.840 119.3177
195.000000 83.787 118.9167
197.500000 83.734 118.5164
200.000000 83.681 118.1282
203.000000 83.622 117.6793
206.000000 83.565 117.2326
209.000000 83.507 116.7875
212.000000 83.452 116.3496
214.000000 83.415 116.0632
218.000000 83.345 115.4995
220.000000 83.311 115.2198
224.000000 83.245 114.6622
227.000000 83.196 114.2513
230.000000 83.148 113.8469
233.000000 83.100 113.4412
236.000000 83.055 113.0388
240.000000 82.998 112.5190
243.000000 82.959 112.1396
247.000000 82.911 111.6734
250.000000 82.874 111.3211
254.000000 82.817 110.7862
258.000000 82.762 110.2569
262.000000 82.715 109.7652
265.000000 82.680 109.4036
269.000000 82.635 108.9250
272.000000 82.602 108.5721
276.000000 82.561 108.1083
280.000000 82.521 107.6461
285.000000 82.474 107.0679
290.000000 82.426 106.4993
295.000000 82.381 105.9349
300.000000 82.339 105.3732
304.000000 82.307 104.9305
307.000000 82.285 104.6039
311.000000 82.255 104.1726
315.000000 82.226 103.7452
