* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -31.9 dBFS, measurement signal peak level -27.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 20/05/2024 9:07:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0291 ms (10.0 mm, 0.39 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: Explorer R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 45.037 105.0316
1.015000 45.289 103.6833
1.030000 45.539 102.3717
1.044000 45.769 101.1848
1.060000 46.030 99.8776
1.075000 46.270 98.7045
1.090000 46.507 97.5871
1.106000 46.755 96.4601
1.120000 46.971 95.5203
1.138000 47.247 94.3690
1.150000 47.431 93.6348
1.172000 47.767 92.3519
1.180000 47.889 91.9042
1.206000 48.282 90.5111
1.220000 48.493 89.7962
1.241000 48.807 88.7633
1.250000 48.942 88.3333
1.265000 49.164 87.6313
1.280000 49.386 86.9449
1.315000 49.898 85.3869
1.320000 49.971 85.1677
1.340000 50.260 84.2948
1.360000 50.547 83.4227
1.380000 50.831 82.5443
1.400000 51.112 81.6525
1.430000 51.529 80.2739
1.450000 51.804 79.3171
1.475000 52.142 78.0702
1.500000 52.477 76.7953
1.525000 52.807 75.5043
1.550000 53.134 74.2019
1.575000 53.457 72.8926
1.600000 53.776 71.5809
1.625000 54.091 70.2714
1.650000 54.403 68.9687
1.675000 54.710 67.6772
1.700000 55.014 66.4016
1.725000 55.315 65.1464
1.750000 55.611 63.9161
1.775000 55.904 62.7153
1.800000 56.194 61.5486
1.825000 56.480 60.4204
1.850000 56.762 59.3332
1.875000 57.040 58.2823
1.900000 57.314 57.2641
1.925000 57.584 56.2752
1.950000 57.850 55.3122
1.975000 58.113 54.3716
2.000000 58.372 53.4501
2.030000 58.678 52.3645
2.060000 58.980 51.2956
2.090000 59.277 50.2373
2.120000 59.570 49.1837
2.140000 59.763 48.4811
2.180000 60.145 47.0673
2.200000 60.333 46.3527
2.240000 60.703 44.9249
2.270000 60.976 43.8619
2.300000 61.243 42.8059
2.330000 61.506 41.7573
2.360000 61.765 40.7166
2.400000 62.104 39.3417
2.430000 62.354 38.3206
2.470000 62.681 36.9732
2.500000 62.923 35.9736
2.540000 63.241 34.6564
2.580000 63.554 33.3571
2.620000 63.860 32.0737
2.650000 64.085 31.1214
2.690000 64.379 29.8655
2.720000 64.596 28.9343
2.760000 64.880 27.7073
2.800000 65.158 26.4973
2.850000 65.499 25.0095
2.900000 65.834 23.5497
2.950000 66.162 22.1200
3.000000 66.481 20.7282
3.040000 66.731 19.6396
3.070000 66.915 18.8356
3.110000 67.156 17.7773
3.150000 67.393 16.7317
3.200000 67.683 15.4375
3.250000 67.968 14.1516
3.300000 68.247 12.8673
3.350000 68.520 11.5835
3.400000 68.787 10.3052
3.450000 69.047 9.0368
3.500000 69.302 7.7830
3.550000 69.551 6.5480
3.600000 69.796 5.3365
3.650000 70.036 4.1528
3.700000 70.272 3.0012
3.750000 70.503 1.8809
3.820000 70.817 0.3551
3.870000 71.036 -0.7115
3.950000 71.378 -2.3919
4.000000 71.587 -3.4341
4.060000 71.834 -4.6835
4.120000 72.074 -5.9255
4.180000 72.309 -7.1556
4.250000 72.576 -8.5701
4.310000 72.800 -9.7606
4.370000 73.019 -10.9267
4.440000 73.271 -12.2515
4.500000 73.481 -13.3571
4.550000 73.652 -14.2606
4.620000 73.887 -15.5032
4.680000 74.085 -16.5523
4.750000 74.311 -17.7637
4.820000 74.532 -18.9637
4.870000 74.687 -19.8105
4.940000 74.899 -20.9808
5.000000 75.077 -21.9691
5.080000 75.311 -23.2644
5.150000 75.511 -24.3757
5.220000 75.706 -25.4649
5.300000 75.925 -26.6846
5.380000 76.138 -27.8810
5.450000 76.322 -28.9114
5.520000 76.502 -29.9285
5.600000 76.703 -31.0711
5.700000 76.949 -32.4706
5.800000 77.188 -33.8418
5.900000 77.422 -35.1878
6.000000 77.650 -36.5061
6.080000 77.828 -37.5416
6.150000 77.981 -38.4349
6.220000 78.132 -39.3172
6.300000 78.302 -40.3109
6.400000 78.509 -41.5299
6.500000 78.712 -42.7277
6.600000 78.911 -43.9091
6.700000 79.105 -45.0740
6.800000 79.295 -46.2210
6.900000 79.480 -47.3512
7.000000 79.662 -48.4653
7.100000 79.840 -49.5620
7.200000 80.013 -50.6428
7.300000 80.183 -51.7100
7.400000 80.349 -52.7649
7.500000 80.511 -53.8063
7.620000 80.701 -55.0380
7.750000 80.901 -56.3498
7.880000 81.094 -57.6380
8.000000 81.268 -58.8068
8.120000 81.437 -59.9567
8.250000 81.615 -61.1808
8.380000 81.788 -62.3826
8.500000 81.943 -63.4723
8.620000 82.095 -64.5428
8.750000 82.255 -65.6823
8.850000 82.375 -66.5452
9.000000 82.551 -67.8162
9.120000 82.688 -68.8152
9.250000 82.834 -69.8809
9.380000 82.976 -70.9287
9.500000 83.104 -71.8821
9.620000 83.230 -72.8230
9.750000 83.363 -73.8276
9.880000 83.493 -74.8192
10.000000 83.611 -75.7239
10.150000 83.754 -76.8397
10.300000 83.894 -77.9406
10.440000 84.021 -78.9545
10.600000 84.162 -80.0978
10.750000 84.291 -81.1553
10.900000 84.416 -82.1985
11.060000 84.546 -83.2957
11.200000 84.656 -84.2423
11.380000 84.794 -85.4410
11.500000 84.883 -86.2285
11.720000 85.042 -87.6484
11.800000 85.098 -88.1570
12.060000 85.275 -89.7818
12.200000 85.368 -90.6397
12.410000 85.503 -91.9048
12.500000 85.560 -92.4399
12.650000 85.653 -93.3218
12.800000 85.744 -94.1929
13.150000 85.950 -96.1875
13.200000 85.978 -96.4687
13.400000 86.091 -97.5836
13.600000 86.200 -98.6844
13.800000 86.305 -99.7717
14.000000 86.408 -100.8445
14.300000 86.555 -102.4263
14.500000 86.649 -103.4610
14.750000 86.763 -104.7314
15.000000 86.872 -105.9760
15.250000 86.978 -107.1957
15.500000 87.080 -108.3924
15.750000 87.179 -109.5675
16.000000 87.274 -110.7229
16.250000 87.366 -111.8594
16.500000 87.455 -112.9769
16.750000 87.541 -114.0752
17.000000 87.624 -115.1540
17.250000 87.704 -116.2138
17.500000 87.782 -117.2550
17.750000 87.857 -118.2797
18.000000 87.930 -119.2890
18.250000 88.000 -120.2843
18.500000 88.068 -121.2661
18.750000 88.133 -122.2340
19.000000 88.196 -123.1876
19.250000 88.256 -124.1257
19.500000 88.314 -125.0485
19.750000 88.370 -125.9561
20.000000 88.424 -126.8495
20.299999 88.486 -127.9047
20.600000 88.546 -128.9428
20.900000 88.603 -129.9646
21.200001 88.658 -130.9699
21.400000 88.693 -131.6306
21.799999 88.761 -132.9295
22.000000 88.793 -133.5683
22.400000 88.855 -134.8272
22.700001 88.900 -135.7568
23.000000 88.942 -136.6742
23.299999 88.982 -137.5780
23.600000 89.020 -138.4662
24.000000 89.068 -139.6251
24.299999 89.102 -140.4767
24.700001 89.147 -141.5942
25.000000 89.179 -142.4226
25.400000 89.219 -143.5153
25.799999 89.256 -144.5891
26.200001 89.289 -145.6354
26.500000 89.312 -146.4001
26.900000 89.342 -147.3970
27.200001 89.365 -148.1337
27.600000 89.394 -149.1085
28.000000 89.420 -150.0749
28.500000 89.449 -151.2597
29.000000 89.473 -152.4070
29.500000 89.497 -153.5218
30.000000 89.519 -154.6177
30.400000 89.535 -155.4812
30.700001 89.547 -156.1173
31.100000 89.562 -156.9495
31.500000 89.577 -157.7726
32.000000 89.598 -158.8136
32.500000 89.614 -159.8802
33.000000 89.619 -160.9387
33.500000 89.616 -161.9348
34.000000 89.612 -162.8468
34.500000 89.614 -163.7103
35.000000 89.621 -164.5750
35.500000 89.628 -165.4575
36.000000 89.631 -166.3350
36.500000 89.630 -167.1840
37.000000 89.628 -168.0062
37.500000 89.627 -168.8182
38.200001 89.623 -169.9484
38.700001 89.617 -170.7406
39.500000 89.605 -171.9732
40.000000 89.596 -172.7320
40.599998 89.584 -173.6350
41.200001 89.570 -174.5191
41.799999 89.554 -175.3787
42.500000 89.538 -176.3620
43.099998 89.523 -177.1945
43.700001 89.507 -178.0073
44.400002 89.488 -178.9279
45.000000 89.472 -179.7057
45.500000 89.457 179.6583
46.200001 89.434 178.8080
46.799999 89.415 178.1042
47.500000 89.390 177.2766
48.200001 89.355 176.4983
48.700001 89.331 176.0181
49.400002 89.315 175.3831
50.000000 89.314 174.7343
50.799999 89.295 173.6993
51.500000 89.254 172.8241
52.200001 89.209 172.0579
53.000000 89.166 171.2234
53.799999 89.126 170.3962
54.500000 89.092 169.6985
55.200001 89.061 169.0110
56.000000 89.026 168.2352
57.000000 88.981 167.3071
58.000000 88.938 166.4066
59.000000 88.891 165.5239
60.000000 88.842 164.6750
60.799999 88.803 164.0112
61.500000 88.768 163.4308
62.200001 88.731 162.8575
63.000000 88.690 162.2210
64.000000 88.642 161.4373
65.000000 88.593 160.6559
66.000000 88.544 159.8956
67.000000 88.494 159.1625
68.000000 88.444 158.4510
69.000000 88.395 157.7512
70.000000 88.344 157.0645
71.000000 88.292 156.3971
72.000000 88.241 155.7432
73.000000 88.190 155.0985
74.000000 88.140 154.4677
75.000000 88.090 153.8515
76.199997 88.030 153.1296
77.500000 87.965 152.3686
78.800003 87.899 151.6235
80.000000 87.838 150.9543
81.199997 87.778 150.3002
82.500000 87.713 149.6021
83.800003 87.649 148.9200
85.000000 87.591 148.3047
86.199997 87.534 147.7016
87.500000 87.471 147.0661
88.500000 87.423 146.5889
90.000000 87.351 145.8883
91.199997 87.293 145.3414
92.500000 87.231 144.7594
93.800003 87.170 144.1908
95.000000 87.113 143.6767
96.199997 87.058 143.1724
97.500000 86.999 142.6321
98.800003 86.941 142.0947
100.000000 86.886 141.6107
101.500000 86.818 141.0340
103.000000 86.752 140.4691
104.400002 86.690 139.9484
106.000000 86.621 139.3658
107.500000 86.556 138.8325
109.000000 86.492 138.3122
110.599998 86.425 137.7660
112.000000 86.367 137.2930
113.800003 86.292 136.7001
115.000000 86.243 136.3167
117.199997 86.155 135.6252
118.000000 86.123 135.3783
120.599998 86.021 134.5872
122.000000 85.967 134.1683
124.099998 85.888 133.5581
125.000000 85.854 133.3033
126.500000 85.797 132.8869
128.000000 85.742 132.4792
131.500000 85.614 131.5530
132.000000 85.596 131.4240
134.000000 85.526 130.9164
136.000000 85.456 130.4140
138.000000 85.387 129.9086
140.000000 85.320 129.4102
143.000000 85.224 128.7123
145.000000 85.156 128.2611
147.500000 85.060 127.6630
150.000000 84.965 127.1197
152.500000 84.904 126.6006
155.000000 84.847 126.0502
157.500000 84.778 125.5497
160.000000 84.705 125.0461
162.500000 84.634 124.5360
165.000000 84.568 124.0538
167.500000 84.501 123.5838
170.000000 84.433 123.1100
172.500000 84.368 122.6400
175.000000 84.305 122.1880
177.500000 84.243 121.7471
180.000000 84.183 121.3083
182.500000 84.124 120.8752
185.000000 84.066 120.4482
187.500000 84.010 120.0267
190.000000 83.954 119.6098
192.500000 83.899 119.2013
195.000000 83.843 118.8013
197.500000 83.787 118.4078
200.000000 83.733 118.0222
203.000000 83.676 117.5604
206.000000 83.622 117.0995
209.000000 83.566 116.6487
212.000000 83.510 116.2036
214.000000 83.474 115.9071
218.000000 83.403 115.3229
220.000000 83.369 115.0369
224.000000 83.302 114.4675
227.000000 83.253 114.0433
230.000000 83.206 113.6257
233.000000 83.160 113.2157
236.000000 83.115 112.8128
240.000000 83.057 112.2815
243.000000 83.014 111.8951
247.000000 82.955 111.4214
250.000000 82.914 111.0619
254.000000 82.865 110.5087
258.000000 82.817 109.9613
262.000000 82.771 109.4504
265.000000 82.736 109.0777
269.000000 82.690 108.5842
272.000000 82.657 108.2115
276.000000 82.613 107.7178
280.000000 82.570 107.2418
285.000000 82.521 106.6538
290.000000 82.473 106.0610
295.000000 82.427 105.4702
300.000000 82.383 104.8713
304.000000 82.349 104.4050
307.000000 82.325 104.0623
311.000000 82.294 103.6100
315.000000 82.263 103.1577
