* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -25.4 dBFS, measurement signal peak level -25.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 25/12/2023 10:12:24 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0148 ms (-5.1 mm, -0.2 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: F1 Pro L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 47.056 65.9740
1.015000 47.203 65.7760
1.030000 47.349 65.5916
1.044000 47.485 65.4328
1.060000 47.639 65.2681
1.075000 47.783 65.1313
1.090000 47.927 65.0125
1.106000 48.080 64.9078
1.120000 48.211 64.8393
1.138000 48.377 64.7815
1.150000 48.486 64.7604
1.172000 48.682 64.7542
1.180000 48.753 64.7614
1.206000 48.979 64.8146
1.220000 49.099 64.8597
1.241000 49.278 64.9444
1.250000 49.355 64.9859
1.265000 49.481 65.0603
1.280000 49.608 65.1395
1.315000 49.902 65.3326
1.320000 49.945 65.3600
1.340000 50.114 65.4664
1.360000 50.285 65.5640
1.380000 50.458 65.6483
1.400000 50.633 65.7144
1.430000 50.901 65.7696
1.450000 51.085 65.7702
1.475000 51.320 65.7261
1.500000 51.559 65.6614
1.525000 51.803 65.5837
1.550000 52.051 65.4924
1.575000 52.301 65.3871
1.600000 52.554 65.2674
1.625000 52.809 65.1327
1.650000 53.066 64.9826
1.675000 53.323 64.8167
1.700000 53.581 64.6344
1.725000 53.838 64.4354
1.750000 54.095 64.2191
1.775000 54.351 63.9851
1.800000 54.605 63.7329
1.825000 54.857 63.4620
1.850000 55.107 63.1728
1.875000 55.359 62.8668
1.900000 55.611 62.5439
1.925000 55.863 62.2042
1.950000 56.116 61.8476
1.975000 56.368 61.4740
2.000000 56.620 61.0835
2.030000 56.921 60.5923
2.060000 57.220 60.0765
2.090000 57.516 59.5359
2.120000 57.809 58.9706
2.140000 58.003 58.5799
2.180000 58.384 57.7653
2.200000 58.571 57.3413
2.240000 58.941 56.4478
2.270000 59.217 55.7379
2.300000 59.489 54.9976
2.330000 59.759 54.2304
2.360000 60.026 53.4396
2.400000 60.377 52.3546
2.430000 60.637 51.5221
2.470000 60.977 50.3938
2.500000 61.227 49.5383
2.540000 61.555 48.3916
2.580000 61.875 47.2417
2.620000 62.188 46.0643
2.650000 62.419 45.1619
2.690000 62.720 43.9376
2.720000 62.942 43.0069
2.760000 63.232 41.7537
2.800000 63.515 40.4922
2.850000 63.861 38.9123
2.900000 64.197 37.3398
2.950000 64.523 35.7827
3.000000 64.839 34.2192
3.040000 65.084 32.9625
3.070000 65.264 32.0183
3.110000 65.498 30.7595
3.150000 65.726 29.5032
3.200000 66.004 27.9408
3.250000 66.274 26.3923
3.300000 66.536 24.8630
3.350000 66.790 23.3420
3.400000 67.035 21.8231
3.450000 67.270 20.3130
3.500000 67.498 18.8181
3.550000 67.719 17.3449
3.600000 67.934 15.8999
3.650000 68.144 14.4895
3.700000 68.347 13.1150
3.750000 68.543 11.7671
3.820000 68.806 9.9247
3.870000 68.987 8.6414
3.950000 69.267 6.6460
4.000000 69.438 5.4359
4.060000 69.639 4.0219
4.120000 69.833 2.6483
4.180000 70.020 1.3153
4.250000 70.232 -0.1887
4.310000 70.410 -1.4337
4.370000 70.587 -2.6377
4.440000 70.791 -3.9869
4.500000 70.963 -5.0896
4.550000 71.103 -5.9755
4.620000 71.298 -7.1739
4.680000 71.464 -8.1701
4.750000 71.659 -9.3067
4.820000 71.854 -10.4123
4.870000 71.993 -11.1739
4.940000 72.187 -12.2091
5.000000 72.353 -13.0754
5.080000 72.575 -14.2132
5.150000 72.770 -15.2028
5.220000 72.966 -16.1724
5.300000 73.190 -17.2576
5.380000 73.415 -18.3312
5.450000 73.610 -19.2712
5.520000 73.803 -20.2197
5.600000 74.024 -21.3042
5.700000 74.298 -22.6592
5.800000 74.568 -24.0193
5.900000 74.831 -25.3906
6.000000 75.090 -26.7749
6.080000 75.292 -27.8869
6.150000 75.466 -28.8597
6.220000 75.635 -29.8295
6.300000 75.824 -30.9367
6.400000 76.052 -32.3226
6.500000 76.273 -33.7000
6.600000 76.487 -35.0575
6.700000 76.691 -36.3987
6.800000 76.888 -37.7247
6.900000 77.078 -39.0264
7.000000 77.262 -40.2960
7.100000 77.439 -41.5377
7.200000 77.609 -42.7513
7.300000 77.775 -43.9347
7.400000 77.936 -45.0861
7.500000 78.093 -46.2060
7.620000 78.275 -47.5120
7.750000 78.469 -48.8832
7.880000 78.656 -50.2054
8.000000 78.826 -51.3898
8.120000 78.992 -52.5460
8.250000 79.169 -53.7620
8.380000 79.342 -54.9475
8.500000 79.499 -56.0202
8.620000 79.654 -57.0689
8.750000 79.818 -58.1833
8.850000 79.943 -59.0282
9.000000 80.126 -60.2720
9.120000 80.271 -61.2505
9.250000 80.424 -62.2967
9.380000 80.574 -63.3268
9.500000 80.711 -64.2664
9.620000 80.845 -65.1965
9.750000 80.987 -66.1921
9.880000 81.127 -67.1780
10.000000 81.253 -68.0802
10.150000 81.407 -69.1966
10.300000 81.557 -70.3013
10.440000 81.693 -71.3221
10.600000 81.844 -72.4755
10.750000 81.981 -73.5434
10.900000 82.114 -74.5983
11.060000 82.252 -75.7075
11.200000 82.368 -76.6645
11.380000 82.514 -77.8765
11.500000 82.608 -78.6728
11.720000 82.776 -80.1095
11.800000 82.835 -80.6249
12.060000 83.021 -82.2739
12.200000 83.117 -83.1459
12.410000 83.256 -84.4318
12.500000 83.314 -84.9735
12.650000 83.408 -85.8649
12.800000 83.498 -86.7387
13.150000 83.700 -88.7014
13.200000 83.729 -88.9727
13.400000 83.839 -90.0332
13.600000 83.948 -91.0611
13.800000 84.056 -92.0565
14.000000 84.165 -93.0341
14.300000 84.329 -94.4776
14.500000 84.439 -95.4409
14.750000 84.572 -96.6544
15.000000 84.701 -97.8802
15.250000 84.822 -99.1108
15.500000 84.934 -100.3265
15.750000 85.038 -101.5147
16.000000 85.135 -102.6561
16.250000 85.228 -103.7474
16.500000 85.319 -104.7927
16.750000 85.411 -105.8026
17.000000 85.504 -106.8000
17.250000 85.597 -107.7958
17.500000 85.689 -108.8036
17.750000 85.776 -109.8230
18.000000 85.857 -110.8451
18.250000 85.930 -111.8599
18.500000 85.996 -112.8464
18.750000 86.057 -113.7964
19.000000 86.113 -114.7022
19.250000 86.169 -115.5650
19.500000 86.225 -116.3945
19.750000 86.282 -117.1990
20.000000 86.341 -117.9944
20.299999 86.413 -118.9482
20.600000 86.483 -119.9077
20.900000 86.550 -120.8720
21.200001 86.612 -121.8320
21.400000 86.651 -122.4625
21.799999 86.723 -123.6923
22.000000 86.757 -124.2892
22.400000 86.825 -125.4496
22.700001 86.876 -126.3002
23.000000 86.926 -127.1440
23.299999 86.974 -127.9853
23.600000 87.020 -128.8216
24.000000 87.076 -129.9177
24.299999 87.115 -130.7150
24.700001 87.165 -131.7397
25.000000 87.204 -132.4876
25.400000 87.256 -133.4794
25.799999 87.308 -134.4891
26.200001 87.353 -135.5164
26.500000 87.380 -136.2786
26.900000 87.407 -137.2494
27.200001 87.425 -137.9256
27.600000 87.450 -138.7598
28.000000 87.483 -139.5538
28.500000 87.534 -140.5662
29.000000 87.582 -141.6395
29.500000 87.619 -142.7308
30.000000 87.645 -143.7684
30.400000 87.664 -144.5454
30.700001 87.680 -145.1080
31.100000 87.703 -145.8513
31.500000 87.724 -146.5958
32.000000 87.748 -147.5172
32.500000 87.769 -148.4085
33.000000 87.789 -149.2749
33.500000 87.809 -150.1408
34.000000 87.825 -151.0131
34.500000 87.834 -151.8661
35.000000 87.839 -152.6754
35.500000 87.845 -153.4476
36.000000 87.853 -154.2138
36.500000 87.860 -154.9919
37.000000 87.863 -155.7688
37.500000 87.862 -156.5200
38.200001 87.859 -157.5165
38.700001 87.860 -158.2094
39.500000 87.861 -159.3220
40.000000 87.858 -160.0122
40.599998 87.851 -160.8140
41.200001 87.843 -161.5733
41.799999 87.835 -162.2933
42.500000 87.830 -163.1043
43.099998 87.829 -163.7966
43.700001 87.828 -164.4995
44.400002 87.823 -165.3285
45.000000 87.815 -166.0247
45.500000 87.807 -166.5843
46.200001 87.799 -167.3528
46.799999 87.790 -168.0163
47.500000 87.776 -168.7659
48.200001 87.763 -169.4557
48.700001 87.759 -169.9459
49.400002 87.753 -170.6967
50.000000 87.735 -171.3632
50.799999 87.693 -172.1268
51.500000 87.662 -172.6722
52.200001 87.641 -173.2224
53.000000 87.614 -173.8893
53.799999 87.583 -174.5293
54.500000 87.557 -175.0760
55.200001 87.532 -175.6351
56.000000 87.502 -176.2761
57.000000 87.464 -177.0668
58.000000 87.424 -177.8307
59.000000 87.386 -178.5396
60.000000 87.352 -179.2315
60.799999 87.322 -179.7903
61.500000 87.292 179.7375
62.200001 87.261 179.2933
63.000000 87.226 178.8036
64.000000 87.183 178.1855
65.000000 87.137 177.5696
66.000000 87.090 176.9769
67.000000 87.045 176.3946
68.000000 87.001 175.8192
69.000000 86.956 175.2703
70.000000 86.912 174.7417
71.000000 86.868 174.2256
72.000000 86.823 173.7206
73.000000 86.775 173.2221
74.000000 86.725 172.7359
75.000000 86.673 172.2899
76.199997 86.618 171.7810
77.500000 86.562 171.2166
78.800003 86.507 170.6696
80.000000 86.456 170.1657
81.199997 86.400 169.6981
82.500000 86.339 169.2295
83.800003 86.278 168.7697
85.000000 86.220 168.3526
86.199997 86.163 167.9438
87.500000 86.101 167.5028
88.500000 86.054 167.1696
90.000000 85.983 166.6897
91.199997 85.926 166.3374
92.500000 85.864 165.9836
93.800003 85.803 165.6422
95.000000 85.747 165.3329
96.199997 85.691 165.0206
97.500000 85.632 164.6780
98.800003 85.572 164.3500
100.000000 85.521 164.0711
101.500000 85.460 163.7066
103.000000 85.391 163.3586
104.400002 85.325 163.0906
106.000000 85.254 162.7882
107.500000 85.187 162.4982
109.000000 85.119 162.2172
110.599998 85.048 161.9468
112.000000 84.989 161.7291
113.800003 84.913 161.4388
115.000000 84.860 161.2435
117.199997 84.763 160.9113
118.000000 84.729 160.7982
120.599998 84.625 160.4398
122.000000 84.569 160.2541
124.099998 84.482 160.0035
125.000000 84.445 159.9015
126.500000 84.384 159.7299
128.000000 84.324 159.5641
131.500000 84.183 159.2325
132.000000 84.163 159.1881
134.000000 84.082 159.0021
136.000000 84.000 158.8314
138.000000 83.924 158.6878
140.000000 83.851 158.5649
143.000000 83.740 158.4021
145.000000 83.667 158.2790
147.500000 83.581 158.0996
150.000000 83.491 157.9308
152.500000 83.393 157.8691
155.000000 83.299 157.8409
157.500000 83.210 157.7826
160.000000 83.122 157.7170
162.500000 83.034 157.6663
165.000000 82.943 157.6275
167.500000 82.849 157.6316
170.000000 82.760 157.6652
172.500000 82.673 157.6625
175.000000 82.582 157.6512
177.500000 82.488 157.6688
180.000000 82.395 157.7046
182.500000 82.301 157.7667
185.000000 82.207 157.8724
187.500000 82.110 158.0220
190.000000 82.011 158.2357
192.500000 81.909 158.5505
195.000000 81.798 158.9575
197.500000 81.689 159.4556
200.000000 81.622 160.0426
203.000000 81.591 160.8430
206.000000 81.572 161.8372
209.000000 81.604 162.6832
212.000000 81.683 163.1115
214.000000 81.746 163.2795
218.000000 81.848 163.1797
220.000000 81.870 162.8927
224.000000 81.855 162.2140
227.000000 81.805 161.8097
230.000000 81.741 161.4975
233.000000 81.673 161.2764
236.000000 81.600 161.1424
240.000000 81.500 161.0668
243.000000 81.429 161.0663
247.000000 81.339 161.1353
250.000000 81.273 161.2054
254.000000 81.185 161.2963
258.000000 81.100 161.4305
262.000000 81.017 161.5958
265.000000 80.959 161.7243
269.000000 80.885 161.9063
272.000000 80.830 162.0543
276.000000 80.760 162.2579
280.000000 80.692 162.4820
285.000000 80.607 162.7851
290.000000 80.528 163.0887
295.000000 80.452 163.3904
300.000000 80.379 163.6986
