* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -25.1 dBFS, measurement signal peak level -25.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 25/12/2023 10:14:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0155 ms (-5.3 mm, -0.21 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: F1 Pro R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 41.112 129.7948
1.015000 41.287 128.4708
1.030000 41.463 127.1681
1.044000 41.626 125.9750
1.060000 41.812 124.6426
1.075000 41.985 123.4278
1.090000 42.157 122.2502
1.106000 42.339 121.0363
1.120000 42.499 119.9926
1.138000 42.707 118.6701
1.150000 42.846 117.8000
1.172000 43.103 116.2278
1.180000 43.197 115.6631
1.206000 43.504 113.8525
1.220000 43.670 112.8923
1.241000 43.920 111.4700
1.250000 44.027 110.8667
1.265000 44.206 109.8692
1.280000 44.385 108.8809
1.315000 44.803 106.6078
1.320000 44.863 106.2865
1.340000 45.101 105.0090
1.360000 45.339 103.7427
1.380000 45.576 102.4862
1.400000 45.812 101.2381
1.430000 46.163 99.3786
1.450000 46.395 98.1452
1.475000 46.682 96.6084
1.500000 46.969 95.0797
1.525000 47.256 93.5616
1.550000 47.542 92.0560
1.575000 47.828 90.5648
1.600000 48.113 89.0899
1.625000 48.397 87.6333
1.650000 48.679 86.1968
1.675000 48.960 84.7823
1.700000 49.238 83.3919
1.725000 49.514 82.0273
1.750000 49.788 80.6905
1.775000 50.058 79.3834
1.800000 50.325 78.1080
1.825000 50.588 76.8661
1.850000 50.848 75.6603
1.875000 51.105 74.4918
1.900000 51.359 73.3580
1.925000 51.611 72.2563
1.950000 51.860 71.1841
1.975000 52.107 70.1388
2.000000 52.351 69.1178
2.030000 52.641 67.9210
2.060000 52.927 66.7510
2.090000 53.210 65.6030
2.120000 53.490 64.4728
2.140000 53.675 63.7269
2.180000 54.040 62.2473
2.200000 54.221 61.5110
2.240000 54.577 60.0637
2.270000 54.840 59.0056
2.300000 55.099 57.9695
2.330000 55.355 56.9541
2.360000 55.607 55.9582
2.400000 55.940 54.6583
2.430000 56.185 53.7028
2.470000 56.509 52.4521
2.500000 56.749 51.5300
2.540000 57.066 50.3193
2.580000 57.380 49.1289
2.620000 57.688 47.9692
2.650000 57.916 47.1200
2.690000 58.216 46.0127
2.720000 58.437 45.1994
2.760000 58.730 44.1352
2.800000 59.018 43.0917
2.850000 59.374 41.8118
2.900000 59.726 40.5535
2.950000 60.074 39.3138
3.000000 60.416 38.1109
3.040000 60.686 37.1740
3.070000 60.886 36.4836
3.110000 61.150 35.5760
3.150000 61.411 34.6795
3.200000 61.733 33.5684
3.250000 62.051 32.4604
3.300000 62.366 31.3478
3.350000 62.676 30.2359
3.400000 62.982 29.1321
3.450000 63.283 28.0358
3.500000 63.581 26.9464
3.550000 63.873 25.8635
3.600000 64.162 24.7865
3.650000 64.446 23.7149
3.700000 64.725 22.6502
3.750000 65.000 21.5954
3.820000 65.378 20.1311
3.870000 65.643 19.0907
3.950000 66.057 17.4288
4.000000 66.309 16.3880
4.060000 66.605 15.1328
4.120000 66.895 13.8701
4.180000 67.177 12.6048
4.250000 67.498 11.1324
4.310000 67.766 9.8796
4.370000 68.027 8.6409
4.440000 68.322 7.2159
4.500000 68.567 6.0035
4.550000 68.766 5.0007
4.620000 69.037 3.6116
4.680000 69.262 2.4376
4.750000 69.517 1.0911
4.820000 69.764 -0.2327
4.870000 69.935 -1.1683
4.940000 70.167 -2.4595
5.000000 70.359 -3.5448
5.080000 70.610 -4.9537
5.150000 70.823 -6.1447
5.220000 71.030 -7.3001
5.300000 71.257 -8.5797
5.380000 71.479 -9.8165
5.450000 71.670 -10.8641
5.520000 71.859 -11.8791
5.600000 72.070 -12.9924
5.700000 72.328 -14.3233
5.800000 72.583 -15.6034
5.900000 72.838 -16.8459
6.000000 73.091 -18.0326
6.080000 73.293 -18.9523
6.150000 73.469 -19.7469
6.220000 73.646 -20.5415
6.300000 73.848 -21.4449
6.400000 74.101 -22.5555
6.500000 74.352 -23.6647
6.600000 74.601 -24.7928
6.700000 74.848 -25.9405
6.800000 75.092 -27.1008
6.900000 75.332 -28.2759
7.000000 75.564 -29.4688
7.100000 75.791 -30.6843
7.200000 76.012 -31.9131
7.300000 76.224 -33.1436
7.400000 76.427 -34.3739
7.500000 76.622 -35.6126
7.620000 76.845 -37.0872
7.750000 77.075 -38.6442
7.880000 77.289 -40.1716
8.000000 77.477 -41.5419
8.120000 77.659 -42.8579
8.250000 77.845 -44.2280
8.380000 78.025 -45.5434
8.500000 78.188 -46.7069
8.620000 78.348 -47.8189
8.750000 78.518 -48.9839
8.850000 78.649 -49.8604
9.000000 78.845 -51.1312
9.120000 78.999 -52.1287
9.250000 79.166 -53.2044
9.380000 79.331 -54.2673
9.500000 79.480 -55.2427
9.620000 79.626 -56.2183
9.750000 79.780 -57.2719
9.880000 79.929 -58.3117
10.000000 80.061 -59.2593
10.150000 80.220 -60.4258
10.300000 80.374 -61.5503
10.440000 80.511 -62.5622
10.600000 80.664 -63.6717
10.750000 80.805 -64.6571
10.900000 80.946 -65.5969
11.060000 81.099 -66.5667
11.200000 81.235 -67.3814
11.380000 81.414 -68.4247
11.500000 81.537 -69.1212
11.720000 81.765 -70.4224
11.800000 81.848 -70.9141
12.060000 82.116 -72.5693
12.200000 82.256 -73.5068
12.410000 82.456 -74.9646
12.500000 82.537 -75.5992
12.650000 82.666 -76.6774
12.800000 82.787 -77.7581
13.150000 83.035 -80.2393
13.200000 83.067 -80.5829
13.400000 83.188 -81.9286
13.600000 83.301 -83.2175
13.800000 83.407 -84.4428
14.000000 83.509 -85.6155
14.300000 83.659 -87.2850
14.500000 83.758 -88.3561
14.750000 83.879 -89.6632
15.000000 83.998 -90.9424
15.250000 84.113 -92.1983
15.500000 84.225 -93.4263
15.750000 84.332 -94.6237
16.000000 84.435 -95.7859
16.250000 84.537 -96.9145
16.500000 84.637 -98.0128
16.750000 84.736 -99.0867
17.000000 84.834 -100.1450
17.250000 84.930 -101.1913
17.500000 85.025 -102.2299
17.750000 85.116 -103.2601
18.000000 85.204 -104.2791
18.250000 85.287 -105.2836
18.500000 85.367 -106.2679
18.750000 85.443 -107.2298
19.000000 85.516 -108.1677
19.250000 85.586 -109.0824
19.500000 85.655 -109.9765
19.750000 85.722 -110.8521
20.000000 85.787 -111.7130
20.299999 85.863 -112.7299
20.600000 85.936 -113.7323
20.900000 86.007 -114.7233
21.200001 86.075 -115.7058
21.400000 86.118 -116.3570
21.799999 86.199 -117.6491
22.000000 86.237 -118.2878
22.400000 86.308 -119.5437
22.700001 86.359 -120.4631
23.000000 86.408 -121.3653
23.299999 86.457 -122.2603
23.600000 86.505 -123.1571
24.000000 86.566 -124.3587
24.299999 86.606 -125.2501
24.700001 86.656 -126.3910
25.000000 86.696 -127.1959
25.400000 86.760 -128.2249
25.799999 86.841 -129.2990
26.200001 86.929 -130.5305
26.500000 86.984 -131.5735
26.900000 87.025 -133.0416
27.200001 87.026 -134.0824
27.600000 87.001 -135.2292
28.000000 86.977 -136.0249
28.500000 86.994 -136.7007
29.000000 87.070 -137.4335
29.500000 87.156 -138.4381
30.000000 87.208 -139.5482
30.400000 87.228 -140.3239
30.700001 87.244 -140.8087
31.100000 87.278 -141.3940
31.500000 87.325 -142.0149
32.000000 87.382 -142.9299
32.500000 87.416 -143.9251
33.000000 87.428 -144.8524
33.500000 87.436 -145.6743
34.000000 87.451 -146.4643
34.500000 87.467 -147.2855
35.000000 87.478 -148.1270
35.500000 87.484 -148.9503
36.000000 87.490 -149.7455
36.500000 87.499 -150.5285
37.000000 87.509 -151.3123
37.500000 87.520 -152.0974
38.200001 87.533 -153.1844
38.700001 87.540 -153.9352
39.500000 87.553 -155.0754
40.000000 87.564 -155.7739
40.599998 87.574 -156.6185
41.200001 87.575 -157.4378
41.799999 87.572 -158.1894
42.500000 87.572 -159.0085
43.099998 87.574 -159.7274
43.700001 87.568 -160.4589
44.400002 87.552 -161.2628
45.000000 87.540 -161.9048
45.500000 87.532 -162.4446
46.200001 87.518 -163.2270
46.799999 87.502 -163.8888
47.500000 87.482 -164.6334
48.200001 87.464 -165.3814
48.700001 87.448 -165.9066
49.400002 87.425 -166.5819
50.000000 87.415 -167.1266
50.799999 87.412 -167.9138
51.500000 87.401 -168.6499
52.200001 87.383 -169.3360
53.000000 87.364 -170.0612
53.799999 87.343 -170.7788
54.500000 87.318 -171.3528
55.200001 87.299 -171.8623
56.000000 87.287 -172.4663
57.000000 87.264 -173.3120
58.000000 87.228 -174.1339
59.000000 87.190 -174.9195
60.000000 87.150 -175.6836
60.799999 87.119 -176.2677
61.500000 87.092 -176.7631
62.200001 87.067 -177.2438
63.000000 87.039 -177.7807
64.000000 87.004 -178.4462
65.000000 86.965 -179.0851
66.000000 86.926 -179.6869
67.000000 86.887 179.7256
68.000000 86.849 179.1461
69.000000 86.809 178.5691
70.000000 86.767 178.0075
71.000000 86.723 177.4832
72.000000 86.682 176.9799
73.000000 86.641 176.4816
74.000000 86.598 175.9869
75.000000 86.554 175.5007
76.199997 86.499 174.9368
77.500000 86.440 174.3638
78.800003 86.386 173.8205
80.000000 86.338 173.3244
81.199997 86.289 172.8301
82.500000 86.232 172.3110
83.800003 86.173 171.8118
85.000000 86.118 171.3645
86.199997 86.063 170.9391
87.500000 86.007 170.4958
88.500000 85.965 170.1593
90.000000 85.901 169.6788
91.199997 85.850 169.3151
92.500000 85.794 168.9279
93.800003 85.736 168.5502
95.000000 85.683 168.2184
96.199997 85.632 167.8930
97.500000 85.578 167.5425
98.800003 85.523 167.2099
100.000000 85.473 166.9218
101.500000 85.411 166.5677
103.000000 85.348 166.2033
104.400002 85.287 165.8729
106.000000 85.217 165.5151
107.500000 85.154 165.2048
109.000000 85.094 164.9065
110.599998 85.028 164.5953
112.000000 84.969 164.3408
113.800003 84.893 164.0361
115.000000 84.845 163.8385
117.199997 84.757 163.4833
118.000000 84.726 163.3618
120.599998 84.626 162.9885
122.000000 84.572 162.7889
124.099998 84.487 162.5066
125.000000 84.450 162.3925
126.500000 84.392 162.2085
128.000000 84.335 162.0310
131.500000 84.201 161.6875
132.000000 84.182 161.6478
134.000000 84.105 161.5091
136.000000 84.034 161.3543
138.000000 83.961 161.1412
140.000000 83.886 160.9484
143.000000 83.779 160.7182
145.000000 83.708 160.6054
147.500000 83.617 160.5051
150.000000 83.532 160.4150
152.500000 83.451 160.2368
155.000000 83.366 160.0620
157.500000 83.282 159.9387
160.000000 83.199 159.8514
162.500000 83.116 159.7844
165.000000 83.033 159.7267
167.500000 82.949 159.6811
170.000000 82.866 159.6426
172.500000 82.785 159.6152
175.000000 82.707 159.6020
177.500000 82.629 159.5940
180.000000 82.549 159.5926
182.500000 82.469 159.6096
185.000000 82.390 159.6385
187.500000 82.310 159.6704
190.000000 82.228 159.7111
192.500000 82.146 159.7808
195.000000 82.064 159.8792
197.500000 81.980 159.9968
200.000000 81.897 160.1315
203.000000 81.792 160.3372
206.000000 81.679 160.6678
209.000000 81.568 161.1467
212.000000 81.467 161.7753
214.000000 81.413 162.3050
218.000000 81.364 163.5630
220.000000 81.380 164.1721
224.000000 81.485 164.9599
227.000000 81.577 165.0259
230.000000 81.636 164.7416
233.000000 81.655 164.3032
236.000000 81.639 163.8733
240.000000 81.572 163.4351
243.000000 81.501 163.2348
247.000000 81.405 163.0844
250.000000 81.335 163.0393
254.000000 81.248 163.0682
258.000000 81.163 163.1588
262.000000 81.080 163.2831
265.000000 81.021 163.3931
269.000000 80.943 163.5526
272.000000 80.886 163.6779
276.000000 80.813 163.8644
280.000000 80.743 164.0698
285.000000 80.660 164.3384
290.000000 80.577 164.6202
295.000000 80.498 164.9053
300.000000 80.420 165.2118
304.000000 80.359 165.4728
