* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23/05/2023 8:31:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FD11 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 62.942 62.2901
1.015000 63.179 61.0200
1.030000 63.415 59.8451
1.044000 63.634 58.8274
1.060000 63.885 57.7505
1.075000 64.119 56.8173
1.090000 64.352 55.9512
1.106000 64.600 55.0937
1.120000 64.816 54.3931
1.138000 65.092 53.5515
1.150000 65.275 53.0221
1.172000 65.609 52.1041
1.180000 65.730 51.7839
1.206000 66.120 50.7765
1.220000 66.328 50.2462
1.241000 66.638 49.4518
1.250000 66.769 49.1077
1.265000 66.987 48.5240
1.280000 67.203 47.9217
1.315000 67.700 46.4057
1.320000 67.770 46.1728
1.340000 68.048 45.1906
1.360000 68.322 44.1318
1.380000 68.592 43.0379
1.400000 68.860 41.9164
1.430000 69.255 40.1935
1.450000 69.515 39.0250
1.475000 69.836 37.5509
1.500000 70.152 36.0709
1.525000 70.464 34.5949
1.550000 70.771 33.1326
1.575000 71.074 31.6937
1.600000 71.372 30.2882
1.625000 71.666 28.9258
1.650000 71.956 27.6162
1.675000 72.242 26.3693
1.700000 72.524 25.1902
1.725000 72.800 24.0674
1.750000 73.072 22.9939
1.775000 73.339 21.9632
1.800000 73.601 20.9690
1.825000 73.859 20.0047
1.850000 74.113 19.0639
1.875000 74.363 18.1402
1.900000 74.610 17.2271
1.925000 74.852 16.3180
1.950000 75.091 15.4067
1.975000 75.327 14.4867
2.000000 75.560 13.5514
2.030000 75.835 12.4025
2.060000 76.105 11.2453
2.090000 76.369 10.0878
2.120000 76.627 8.9316
2.140000 76.796 8.1624
2.180000 77.128 6.6298
2.200000 77.290 5.8673
2.240000 77.610 4.3524
2.270000 77.844 3.2270
2.300000 78.075 2.1124
2.330000 78.301 1.0105
2.360000 78.525 -0.0775
2.400000 78.815 -1.5142
2.430000 79.028 -2.5833
2.470000 79.304 -3.9957
2.500000 79.506 -5.0440
2.540000 79.770 -6.4250
2.580000 80.027 -7.7850
2.620000 80.278 -9.1215
2.650000 80.463 -10.1072
2.690000 80.704 -11.3972
2.720000 80.882 -12.3434
2.760000 81.112 -13.5746
2.800000 81.336 -14.7763
2.850000 81.607 -16.2454
2.900000 81.870 -17.6882
2.950000 82.125 -19.1155
3.000000 82.373 -20.5384
3.040000 82.566 -21.6809
3.070000 82.708 -22.5418
3.110000 82.893 -23.6913
3.150000 83.072 -24.8375
3.200000 83.290 -26.2569
3.250000 83.500 -27.6512
3.300000 83.706 -29.0095
3.350000 83.906 -30.3208
3.400000 84.100 -31.5760
3.450000 84.289 -32.7799
3.500000 84.471 -33.9420
3.550000 84.647 -35.0721
3.600000 84.819 -36.1797
3.650000 84.987 -37.2745
3.700000 85.151 -38.3661
3.750000 85.311 -39.4568
3.820000 85.528 -40.9679
3.870000 85.677 -42.0293
3.950000 85.909 -43.6827
4.000000 86.050 -44.6806
4.060000 86.217 -45.8336
4.120000 86.379 -46.9358
4.180000 86.536 -47.9959
4.250000 86.715 -49.1923
4.310000 86.866 -50.1947
4.370000 87.013 -51.1860
4.440000 87.183 -52.3280
4.500000 87.325 -53.2861
4.550000 87.441 -54.0701
4.620000 87.601 -55.1461
4.680000 87.736 -56.0486
4.750000 87.891 -57.0773
4.820000 88.044 -58.0752
4.870000 88.151 -58.7722
4.940000 88.299 -59.7311
5.000000 88.424 -60.5420
5.080000 88.589 -61.6130
5.150000 88.730 -62.5342
5.220000 88.869 -63.4409
5.300000 89.025 -64.4631
5.380000 89.178 -65.4747
5.450000 89.309 -66.3519
5.520000 89.437 -67.2195
5.600000 89.582 -68.1997
5.700000 89.757 -69.4086
5.800000 89.927 -70.5991
5.900000 90.092 -71.7707
6.000000 90.252 -72.9257
6.080000 90.376 -73.8396
6.150000 90.482 -74.6328
6.220000 90.585 -75.4188
6.300000 90.700 -76.3064
6.400000 90.839 -77.3965
6.500000 90.973 -78.4643
6.600000 91.103 -79.5115
6.700000 91.228 -80.5391
6.800000 91.349 -81.5478
6.900000 91.466 -82.5373
7.000000 91.580 -83.5068
7.100000 91.690 -84.4553
7.200000 91.796 -85.3820
7.300000 91.900 -86.2887
7.400000 92.001 -87.1777
7.500000 92.100 -88.0490
7.620000 92.214 -89.0707
7.750000 92.335 -90.1521
7.880000 92.453 -91.2068
8.000000 92.558 -92.1578
8.120000 92.661 -93.0906
8.250000 92.770 -94.0791
8.380000 92.876 -95.0476
8.500000 92.971 -95.9262
8.620000 93.065 -96.7888
8.750000 93.164 -97.7083
8.850000 93.239 -98.4050
9.000000 93.349 -99.4332
9.120000 93.435 -100.2446
9.250000 93.526 -101.1119
9.380000 93.615 -101.9682
9.500000 93.696 -102.7505
9.620000 93.774 -103.5242
9.750000 93.857 -104.3541
9.880000 93.938 -105.1764
10.000000 94.011 -105.9280
10.150000 94.099 -106.8567
10.300000 94.184 -107.7738
10.440000 94.260 -108.6170
10.600000 94.344 -109.5654
10.750000 94.420 -110.4377
10.900000 94.492 -111.2914
11.060000 94.567 -112.1821
11.200000 94.630 -112.9430
11.380000 94.710 -113.8968
11.500000 94.761 -114.5187
11.720000 94.854 -115.6296
11.800000 94.888 -116.0268
12.060000 94.995 -117.2917
12.200000 95.051 -117.9623
12.410000 95.135 -118.9556
12.500000 95.170 -119.3784
12.650000 95.227 -120.0790
12.800000 95.282 -120.7736
13.150000 95.402 -122.3689
13.200000 95.419 -122.5927
13.400000 95.481 -123.4761
13.600000 95.539 -124.3336
13.800000 95.594 -125.1640
14.000000 95.647 -125.9632
14.300000 95.724 -127.1079
14.500000 95.775 -127.8402
14.750000 95.838 -128.7284
15.000000 95.903 -129.6015
15.250000 95.967 -130.4689
15.500000 96.030 -131.3375
15.750000 96.090 -132.2107
16.000000 96.145 -133.0834
16.250000 96.195 -133.9480
16.500000 96.239 -134.7964
16.750000 96.279 -135.6187
17.000000 96.315 -136.4086
17.250000 96.349 -137.1656
17.500000 96.382 -137.8916
17.750000 96.416 -138.5930
18.000000 96.451 -139.2798
18.250000 96.486 -139.9588
18.500000 96.522 -140.6358
18.750000 96.557 -141.3145
19.000000 96.591 -141.9928
19.250000 96.622 -142.6672
19.500000 96.651 -143.3333
19.750000 96.678 -143.9855
20.000000 96.704 -144.6215
20.299999 96.733 -145.3631
20.600000 96.762 -146.0841
20.900000 96.791 -146.7899
21.200001 96.820 -147.4853
21.400000 96.838 -147.9444
21.799999 96.872 -148.8497
22.000000 96.888 -149.2941
22.400000 96.916 -150.1613
22.700001 96.936 -150.7899
23.000000 96.954 -151.4000
23.299999 96.971 -151.9941
23.600000 96.988 -152.5759
24.000000 97.008 -153.3396
24.299999 97.022 -153.9072
24.700001 97.038 -154.6583
25.000000 97.047 -155.2153
25.400000 97.056 -155.9446
25.799999 97.060 -156.6519
26.200001 97.061 -157.3318
26.500000 97.061 -157.8215
26.900000 97.061 -158.4457
27.200001 97.062 -158.8941
27.600000 97.067 -159.4780
28.000000 97.078 -160.0696
28.500000 97.095 -160.8594
29.000000 97.101 -161.6900
29.500000 97.092 -162.4542
30.000000 97.084 -163.0349
30.400000 97.099 -163.3960
30.700001 97.128 -163.6863
31.100000 97.182 -164.2156
31.500000 97.231 -164.9694
32.000000 97.243 -166.0843
32.500000 97.191 -167.0181
33.000000 97.124 -167.4777
33.500000 97.107 -167.6014
34.000000 97.149 -167.8420
34.500000 97.200 -168.4635
35.000000 97.203 -169.2787
35.500000 97.160 -169.9123
36.000000 97.118 -170.2248
36.500000 97.117 -170.4218
37.000000 97.145 -170.7798
37.500000 97.167 -171.3517
38.200001 97.159 -172.2095
38.700001 97.143 -172.7180
39.500000 97.135 -173.4665
40.000000 97.134 -173.9665
40.599998 97.132 -174.5830
41.200001 97.130 -175.2151
41.799999 97.124 -175.8688
42.500000 97.106 -176.5943
43.099998 97.091 -177.1469
43.700001 97.083 -177.6887
44.400002 97.071 -178.3544
45.000000 97.053 -178.9053
45.500000 97.036 -179.3223
46.200001 97.016 -179.8648
46.799999 97.002 179.6799
47.500000 96.986 179.1567
48.200001 96.972 178.6322
48.700001 96.961 178.2439
49.400002 96.942 177.6812
50.000000 96.918 177.2010
50.799999 96.877 176.6196
51.500000 96.842 176.1901
52.200001 96.818 175.7732
53.000000 96.794 175.2238
53.799999 96.761 174.6419
54.500000 96.727 174.1727
55.200001 96.696 173.7339
56.000000 96.664 173.2353
57.000000 96.624 172.5954
58.000000 96.575 171.9757
59.000000 96.524 171.4595
60.000000 96.490 170.9663
60.799999 96.464 170.4865
61.500000 96.429 170.0521
62.200001 96.388 169.6989
63.000000 96.351 169.3913
64.000000 96.326 168.9421
65.000000 96.287 168.3701
66.000000 96.229 167.8947
67.000000 96.179 167.4797
68.000000 96.120 166.9624
69.000000 96.034 166.6092
70.000000 95.982 166.5208
71.000000 95.977 166.2736
72.000000 95.962 165.8169
73.000000 95.923 165.4451
74.000000 95.894 165.2343
75.000000 95.884 164.9200
76.199997 95.830 164.2834
77.500000 95.728 163.8708
78.800003 95.679 163.4790
80.000000 95.653 162.8625
81.199997 95.625 162.2115
82.500000 95.600 161.6418
83.800003 95.568 161.2961
85.000000 95.545 161.2286
86.199997 95.529 161.0345
87.500000 95.461 160.6740
88.500000 95.392 160.3877
90.000000 95.262 159.8284
91.199997 95.148 159.5618
92.500000 95.069 159.3936
93.800003 95.009 159.1767
95.000000 94.969 159.0890
96.199997 94.960 158.8767
97.500000 94.940 158.4488
98.800003 94.914 157.9502
100.000000 94.869 157.4799
101.500000 94.811 157.2272
103.000000 94.776 157.0310
104.400002 94.733 156.8812
106.000000 94.685 156.6732
107.500000 94.632 156.3502
109.000000 94.575 155.9632
110.599998 94.513 155.5337
112.000000 94.455 155.1964
113.800003 94.375 154.8412
115.000000 94.320 154.6233
117.199997 94.218 154.2189
118.000000 94.183 154.0705
120.599998 94.069 153.6419
122.000000 94.009 153.4589
124.099998 93.918 153.2114
125.000000 93.879 153.1101
126.500000 93.817 152.9526
128.000000 93.761 152.8041
131.500000 93.639 152.4626
132.000000 93.621 152.4105
134.000000 93.552 152.1821
136.000000 93.481 151.9164
138.000000 93.406 151.6705
140.000000 93.329 151.4760
143.000000 93.211 151.1950
145.000000 93.137 150.9953
147.500000 93.058 150.7430
150.000000 92.975 150.4904
152.500000 92.868 150.3865
155.000000 92.764 150.3372
157.500000 92.666 150.2491
160.000000 92.578 150.1809
162.500000 92.498 150.1472
165.000000 92.423 150.1162
167.500000 92.353 150.0464
170.000000 92.285 149.9366
172.500000 92.213 149.8045
175.000000 92.137 149.6726
177.500000 92.059 149.5537
180.000000 91.980 149.4616
182.500000 91.900 149.3925
185.000000 91.821 149.3361
187.500000 91.742 149.2916
190.000000 91.665 149.2563
192.500000 91.590 149.2293
195.000000 91.516 149.2165
197.500000 91.442 149.2263
200.000000 91.369 149.2405
203.000000 91.281 149.2268
206.000000 91.195 149.2175
209.000000 91.111 149.2436
212.000000 91.028 149.2879
214.000000 90.973 149.3206
218.000000 90.867 149.3964
220.000000 90.816 149.4326
224.000000 90.713 149.5055
227.000000 90.636 149.5704
230.000000 90.560 149.6379
233.000000 90.485 149.7086
236.000000 90.411 149.7892
240.000000 90.313 149.9084
243.000000 90.241 150.0164
247.000000 90.142 150.2097
250.000000 90.070 150.3523
254.000000 89.983 150.4672
258.000000 89.896 150.5910
262.000000 89.809 150.7551
265.000000 89.744 150.8825
269.000000 89.660 151.0583
272.000000 89.597 151.1990
276.000000 89.515 151.3965
280.000000 89.433 151.5988
285.000000 89.332 151.8584
290.000000 89.235 152.1202
295.000000 89.141 152.3903
300.000000 89.047 152.6653
304.000000 88.974 152.8892
307.000000 88.921 153.0602
311.000000 88.852 153.2949
315.000000 88.782 153.5404
320.000000 88.696 153.8544
325.000000 88.613 154.1599
