* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 05/11/2022 3:19:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FD7 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 61.531 35.9214
1.015000 61.652 35.9326
1.030000 61.771 35.9251
1.044000 61.880 35.9019
1.060000 62.003 35.8576
1.075000 62.117 35.8000
1.090000 62.229 35.7280
1.106000 62.347 35.6369
1.120000 62.450 35.5461
1.138000 62.580 35.4158
1.150000 62.667 35.3215
1.172000 62.825 35.1354
1.180000 62.883 35.0640
1.206000 63.069 34.8218
1.220000 63.170 34.6863
1.241000 63.322 34.4792
1.250000 63.387 34.3897
1.265000 63.497 34.2407
1.280000 63.608 34.0927
1.315000 63.873 33.7583
1.320000 63.911 33.7125
1.340000 64.067 33.5357
1.360000 64.226 33.3711
1.380000 64.388 33.2177
1.400000 64.551 33.0726
1.430000 64.800 32.8644
1.450000 64.968 32.7279
1.475000 65.179 32.5548
1.500000 65.392 32.3740
1.525000 65.606 32.1799
1.550000 65.820 31.9670
1.575000 66.035 31.7300
1.600000 66.249 31.4634
1.625000 66.463 31.1616
1.650000 66.676 30.8193
1.675000 66.887 30.4309
1.700000 67.097 29.9951
1.725000 67.308 29.5217
1.750000 67.520 29.0136
1.775000 67.733 28.4729
1.800000 67.945 27.9020
1.825000 68.158 27.3029
1.850000 68.370 26.6780
1.875000 68.580 26.0295
1.900000 68.790 25.3595
1.925000 68.997 24.6703
1.950000 69.203 23.9641
1.975000 69.406 23.2432
2.000000 69.606 22.5097
2.030000 69.842 21.6143
2.060000 70.076 20.6874
2.090000 70.308 19.7271
2.120000 70.538 18.7360
2.140000 70.690 18.0597
2.180000 70.990 16.6733
2.200000 71.138 15.9648
2.240000 71.428 14.5217
2.270000 71.641 13.4197
2.300000 71.850 12.3040
2.330000 72.054 11.1774
2.360000 72.252 10.0425
2.400000 72.509 8.4964
2.430000 72.698 7.3083
2.470000 72.943 5.6930
2.500000 73.122 4.4624
2.540000 73.353 2.8027
2.580000 73.577 1.1290
2.620000 73.792 -0.5506
2.650000 73.948 -1.8092
2.690000 74.147 -3.4794
2.720000 74.291 -4.7346
2.760000 74.476 -6.4317
2.800000 74.652 -8.1462
2.850000 74.860 -10.2979
2.900000 75.055 -12.4402
2.950000 75.238 -14.5526
3.000000 75.407 -16.6147
3.040000 75.534 -18.2168
3.070000 75.624 -19.4080
3.110000 75.734 -20.9883
3.150000 75.837 -22.5519
3.200000 75.953 -24.4696
3.250000 76.059 -26.3310
3.300000 76.154 -28.1193
3.350000 76.242 -29.8177
3.400000 76.319 -31.4298
3.450000 76.381 -32.9943
3.500000 76.431 -34.4952
3.550000 76.474 -35.9132
3.600000 76.512 -37.2288
3.650000 76.550 -38.4228
3.700000 76.592 -39.4757
3.750000 76.630 -40.3795
3.820000 76.670 -41.4218
3.870000 76.697 -42.0255
3.950000 76.756 -42.7850
4.000000 76.811 -43.1520
4.060000 76.907 -43.4928
4.120000 77.020 -43.6299
4.180000 77.150 -43.6029
4.250000 77.328 -43.4695
4.310000 77.508 -43.3583
4.370000 77.717 -43.3336
4.440000 78.006 -43.3557
4.500000 78.290 -43.3444
4.550000 78.545 -43.3608
4.620000 78.919 -43.4959
4.680000 79.247 -43.7831
4.750000 79.631 -44.3794
4.820000 80.038 -45.1863
4.870000 80.337 -45.8794
4.940000 80.756 -47.0063
5.000000 81.104 -48.1117
5.080000 81.538 -49.7865
5.150000 81.907 -51.4868
5.220000 82.263 -53.3697
5.300000 82.645 -55.6751
5.380000 82.990 -58.0663
5.450000 83.261 -60.2458
5.520000 83.509 -62.5502
5.600000 83.759 -65.2640
5.700000 84.018 -68.6517
5.800000 84.212 -72.0032
5.900000 84.345 -75.3979
6.000000 84.416 -78.6635
6.080000 84.427 -81.0765
6.150000 84.399 -83.1421
6.220000 84.339 -85.1314
6.300000 84.236 -87.1845
6.400000 84.065 -89.2047
6.500000 83.822 -90.6934
6.600000 83.527 -91.6605
6.700000 83.238 -91.8703
6.800000 82.973 -91.0842
6.900000 82.690 -89.3553
7.000000 82.486 -87.0492
7.100000 82.461 -84.4685
7.200000 82.604 -81.2195
7.300000 82.877 -77.7590
7.400000 83.261 -74.8315
7.500000 83.788 -72.5767
7.620000 84.578 -70.4525
7.750000 85.431 -69.3022
7.880000 86.250 -69.6510
8.000000 86.980 -70.9390
8.120000 87.618 -72.7305
8.250000 88.214 -75.4237
8.380000 88.715 -78.5328
8.500000 89.085 -81.4752
8.620000 89.369 -84.6196
8.750000 89.591 -87.9614
8.850000 89.700 -90.4468
9.000000 89.767 -94.0474
9.120000 89.757 -96.5762
9.250000 89.673 -98.9979
9.380000 89.539 -100.9985
9.500000 89.391 -102.3423
9.620000 89.209 -103.2424
9.750000 89.021 -103.7569
9.880000 88.858 -103.7309
10.000000 88.728 -103.3037
10.150000 88.641 -102.5633
10.300000 88.641 -101.5072
10.440000 88.696 -100.5965
10.600000 88.836 -99.7988
10.750000 89.003 -99.2957
10.900000 89.168 -99.1854
11.060000 89.342 -99.3752
11.200000 89.459 -99.6868
11.380000 89.572 -100.2766
11.500000 89.623 -100.5888
11.720000 89.667 -101.0274
11.800000 89.682 -101.0868
12.060000 89.726 -100.8876
12.200000 89.781 -100.6402
12.410000 89.907 -100.1411
12.500000 89.981 -100.0049
12.650000 90.133 -99.8394
12.800000 90.298 -99.8869
13.150000 90.691 -101.0153
13.200000 90.739 -101.2876
13.400000 90.907 -102.6031
13.600000 91.009 -104.0825
13.800000 91.051 -105.6141
14.000000 91.031 -106.9868
14.300000 90.937 -108.4938
14.500000 90.864 -109.0831
14.750000 90.799 -109.3621
15.000000 90.800 -109.4113
15.250000 90.865 -109.4800
15.500000 90.981 -109.7552
15.750000 91.114 -110.3634
16.000000 91.234 -111.2242
16.250000 91.332 -112.2074
16.500000 91.405 -113.1913
16.750000 91.465 -114.0578
17.000000 91.532 -114.8074
17.250000 91.612 -115.5007
17.500000 91.709 -116.2084
17.750000 91.815 -117.0189
18.000000 91.911 -117.9338
18.250000 91.990 -118.8951
18.500000 92.043 -119.8234
18.750000 92.077 -120.5930
19.000000 92.108 -121.1464
19.250000 92.154 -121.5059
19.500000 92.229 -121.7326
19.750000 92.341 -121.9863
20.000000 92.476 -122.4072
20.299999 92.645 -123.2236
20.600000 92.782 -124.3698
20.900000 92.861 -125.6696
21.200001 92.874 -126.8490
21.400000 92.857 -127.4321
21.799999 92.820 -128.0074
22.000000 92.828 -128.0577
22.400000 92.927 -128.0299
22.700001 93.064 -128.2729
23.000000 93.213 -128.9306
23.299999 93.333 -129.9741
23.600000 93.395 -131.2025
24.000000 93.385 -132.6424
24.299999 93.346 -133.3291
24.700001 93.323 -133.7077
25.000000 93.360 -133.8323
25.400000 93.476 -134.2019
25.799999 93.607 -135.0480
26.200001 93.692 -136.2132
26.500000 93.715 -137.0678
26.900000 93.716 -137.9548
27.200001 93.718 -138.4067
27.600000 93.746 -138.8674
28.000000 93.798 -139.3381
28.500000 93.866 -140.0220
29.000000 93.924 -140.6699
29.500000 93.990 -141.2311
30.000000 94.070 -141.8666
30.400000 94.125 -142.4824
30.700001 94.154 -142.9555
31.100000 94.179 -143.5069
31.500000 94.208 -143.9390
32.000000 94.268 -144.4752
32.500000 94.338 -145.2383
33.000000 94.370 -146.1753
33.500000 94.358 -146.9625
34.000000 94.348 -147.4289
34.500000 94.383 -147.8007
35.000000 94.442 -148.4058
35.500000 94.473 -149.2265
36.000000 94.466 -149.9243
36.500000 94.465 -150.3110
37.000000 94.514 -150.6286
37.500000 94.592 -151.2523
38.200001 94.636 -152.5995
38.700001 94.596 -153.3740
39.500000 94.549 -153.7595
40.000000 94.588 -153.9032
40.599998 94.657 -154.4535
41.200001 94.680 -155.2081
41.799999 94.671 -155.7481
42.500000 94.695 -156.1528
43.099998 94.743 -156.7146
43.700001 94.763 -157.5230
44.400002 94.733 -158.3378
45.000000 94.710 -158.7601
45.500000 94.716 -159.0692
46.200001 94.745 -159.6705
46.799999 94.759 -160.3098
47.500000 94.757 -161.0084
48.200001 94.753 -161.5913
48.700001 94.753 -161.9503
49.400002 94.757 -162.3651
50.000000 94.772 -162.6519
50.799999 94.812 -163.0745
51.500000 94.845 -163.5864
52.200001 94.851 -164.1303
53.000000 94.843 -164.6010
53.799999 94.851 -165.0076
54.500000 94.861 -165.4543
55.200001 94.864 -165.9387
56.000000 94.866 -166.4849
57.000000 94.868 -167.1881
58.000000 94.871 -167.8163
59.000000 94.879 -168.4962
60.000000 94.859 -169.0500
60.799999 94.860 -169.3014
61.500000 94.880 -169.6267
62.200001 94.886 -170.1020
63.000000 94.867 -170.6427
64.000000 94.830 -171.2091
65.000000 94.794 -171.6992
66.000000 94.775 -172.1350
67.000000 94.768 -172.6580
68.000000 94.751 -173.1858
69.000000 94.736 -173.6014
70.000000 94.731 -174.0092
71.000000 94.722 -174.4495
72.000000 94.708 -174.8584
73.000000 94.696 -175.2554
74.000000 94.684 -175.6803
75.000000 94.664 -176.0792
76.199997 94.643 -176.4628
77.500000 94.624 -176.8265
78.800003 94.614 -177.1505
80.000000 94.609 -177.6219
81.199997 94.567 -178.1917
82.500000 94.507 -178.6713
83.800003 94.460 -179.1160
85.000000 94.426 -179.5425
86.199997 94.399 -179.9845
87.500000 94.372 179.5597
88.500000 94.353 179.2586
90.000000 94.333 178.8784
91.199997 94.320 178.6025
92.500000 94.299 178.3088
93.800003 94.265 178.0380
95.000000 94.227 177.7980
96.199997 94.187 177.5505
97.500000 94.152 177.2890
98.800003 94.132 177.0394
100.000000 94.126 176.8344
101.500000 94.122 176.5852
103.000000 94.097 176.2651
104.400002 94.041 175.8783
106.000000 93.964 175.3390
107.500000 93.914 174.7726
109.000000 93.902 174.2865
110.599998 93.907 174.0460
112.000000 93.903 174.0654
113.800003 93.845 174.1182
115.000000 93.780 173.9966
117.199997 93.681 173.3467
118.000000 93.679 173.0845
120.599998 93.755 172.3352
122.000000 93.758 172.3974
124.099998 93.640 172.5663
125.000000 93.554 172.4342
126.500000 93.390 171.4091
128.000000 93.157 169.7304
131.500000 92.951 169.9973
132.000000 93.027 170.2544
134.000000 93.292 170.6026
136.000000 93.341 170.7859
138.000000 93.304 171.0344
140.000000 93.286 170.7297
143.000000 93.190 169.8058
145.000000 93.100 169.6959
147.500000 93.031 169.7401
150.000000 92.994 169.5471
152.500000 92.956 169.2970
155.000000 92.899 169.0965
157.500000 92.831 168.9607
160.000000 92.773 168.8085
162.500000 92.728 168.6708
165.000000 92.689 168.5524
167.500000 92.648 168.3945
170.000000 92.596 168.2271
172.500000 92.543 168.1678
175.000000 92.495 168.1150
177.500000 92.435 168.0236
180.000000 92.374 167.9710
182.500000 92.330 167.9300
185.000000 92.293 167.8360
187.500000 92.241 167.6792
190.000000 92.168 167.5968
192.500000 92.101 167.7179
195.000000 92.059 167.9307
197.500000 92.042 168.0419
200.000000 92.026 167.9160
203.000000 91.991 167.6511
206.000000 91.914 167.4167
209.000000 91.822 167.3910
212.000000 91.739 167.4215
214.000000 91.682 167.5788
218.000000 91.607 168.1305
220.000000 91.602 168.1989
224.000000 91.592 167.9233
227.000000 91.537 167.8458
230.000000 91.450 167.7230
233.000000 91.397 167.5553
236.000000 91.387 167.5848
240.000000 91.346 167.5493
243.000000 91.323 167.4072
247.000000 91.290 167.9037
250.000000 91.183 168.3669
254.000000 91.103 168.3710
258.000000 91.131 168.6527
262.000000 91.061 169.0273
265.000000 90.993 168.8771
269.000000 90.943 168.6689
272.000000 90.900 168.7112
276.000000 90.839 168.8718
280.000000 90.790 169.0096
285.000000 90.738 169.1677
290.000000 90.676 169.3051
295.000000 90.640 169.3179
300.000000 90.665 169.6645
304.000000 90.641 170.4528
307.000000 90.597 170.9109
311.000000 90.531 171.0042
