* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02/09/2022 9:38:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FF3 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 53.019 0.4547
1.015000 53.094 0.2466
1.030000 53.168 0.0301
1.044000 53.236 -0.1801
1.060000 53.313 -0.4292
1.075000 53.384 -0.6704
1.090000 53.454 -0.9184
1.106000 53.528 -1.1893
1.120000 53.592 -1.4311
1.138000 53.673 -1.7473
1.150000 53.727 -1.9609
1.172000 53.825 -2.3566
1.180000 53.861 -2.5015
1.206000 53.975 -2.9737
1.220000 54.036 -3.2279
1.241000 54.127 -3.6072
1.250000 54.167 -3.7687
1.265000 54.232 -4.0355
1.280000 54.297 -4.2989
1.315000 54.449 -4.8956
1.320000 54.471 -4.9784
1.340000 54.559 -5.3021
1.360000 54.647 -5.6158
1.380000 54.735 -5.9271
1.400000 54.822 -6.2362
1.430000 54.953 -6.6953
1.450000 55.040 -6.9979
1.475000 55.148 -7.3719
1.500000 55.256 -7.7407
1.525000 55.363 -8.1036
1.550000 55.470 -8.4604
1.575000 55.577 -8.8103
1.600000 55.684 -9.1530
1.625000 55.790 -9.4879
1.650000 55.896 -9.8146
1.675000 56.002 -10.1325
1.700000 56.108 -10.4417
1.725000 56.213 -10.7438
1.750000 56.317 -11.0387
1.775000 56.420 -11.3265
1.800000 56.523 -11.6072
1.825000 56.626 -11.8807
1.850000 56.729 -12.1470
1.875000 56.832 -12.4061
1.900000 56.936 -12.6579
1.925000 57.040 -12.9025
1.950000 57.145 -13.1399
1.975000 57.252 -13.3699
2.000000 57.359 -13.5927
2.030000 57.491 -13.8497
2.060000 57.623 -14.0902
2.090000 57.756 -14.3149
2.120000 57.891 -14.5261
2.140000 57.981 -14.6604
2.180000 58.162 -14.9168
2.200000 58.254 -15.0401
2.240000 58.439 -15.2807
2.270000 58.580 -15.4583
2.300000 58.722 -15.6362
2.330000 58.866 -15.8166
2.360000 59.011 -16.0015
2.400000 59.209 -16.2413
2.430000 59.359 -16.4130
2.470000 59.562 -16.6351
2.500000 59.715 -16.7995
2.540000 59.923 -17.0198
2.580000 60.132 -17.2462
2.620000 60.342 -17.4839
2.650000 60.500 -17.6727
2.690000 60.712 -17.9425
2.720000 60.872 -18.1565
2.760000 61.088 -18.4491
2.800000 61.305 -18.7514
2.850000 61.580 -19.1449
2.900000 61.855 -19.5586
2.950000 62.129 -19.9951
3.000000 62.402 -20.4572
3.040000 62.618 -20.8473
3.070000 62.779 -21.1518
3.110000 62.995 -21.5729
3.150000 63.211 -22.0101
3.200000 63.479 -22.5774
3.250000 63.745 -23.1658
3.300000 64.007 -23.7729
3.350000 64.265 -24.3965
3.400000 64.517 -25.0386
3.450000 64.767 -25.7076
3.500000 65.013 -26.3985
3.550000 65.255 -27.1052
3.600000 65.493 -27.8218
3.650000 65.726 -28.5425
3.700000 65.953 -29.2613
3.750000 66.175 -29.9841
3.820000 66.478 -31.0145
3.870000 66.688 -31.7569
3.950000 67.015 -32.9419
4.000000 67.213 -33.6728
4.060000 67.445 -34.5338
4.120000 67.670 -35.3906
4.180000 67.887 -36.2420
4.250000 68.132 -37.2199
4.310000 68.337 -38.0372
4.370000 68.537 -38.8285
4.440000 68.764 -39.7201
4.500000 68.952 -40.4631
4.550000 69.104 -41.0661
4.620000 69.313 -41.8838
4.680000 69.490 -42.5585
4.750000 69.693 -43.3124
4.820000 69.890 -44.0295
4.870000 70.029 -44.5215
4.940000 70.220 -45.1857
5.000000 70.383 -45.7353
5.080000 70.599 -46.4427
5.150000 70.786 -47.0279
5.220000 70.972 -47.5870
5.300000 71.182 -48.2060
5.380000 71.392 -48.8166
5.450000 71.576 -49.3421
5.520000 71.759 -49.8520
5.600000 71.967 -50.4265
5.700000 72.225 -51.1505
5.800000 72.480 -51.8904
5.900000 72.733 -52.6347
6.000000 72.981 -53.3922
6.080000 73.174 -54.0138
6.150000 73.340 -54.5701
6.220000 73.503 -55.1355
6.300000 73.685 -55.7897
6.400000 73.903 -56.6142
6.500000 74.112 -57.4531
6.600000 74.311 -58.3021
6.700000 74.501 -59.1440
6.800000 74.679 -59.9712
6.900000 74.846 -60.7939
7.000000 75.004 -61.5959
7.100000 75.153 -62.3613
7.200000 75.292 -63.0982
7.300000 75.422 -63.8024
7.400000 75.546 -64.4628
7.500000 75.663 -65.0761
7.620000 75.795 -65.7558
7.750000 75.932 -66.4218
7.880000 76.063 -67.0094
8.000000 76.180 -67.4903
8.120000 76.297 -67.9251
8.250000 76.422 -68.3366
8.380000 76.546 -68.7035
8.500000 76.661 -69.0154
8.620000 76.777 -69.2956
8.750000 76.902 -69.5798
8.850000 76.999 -69.7881
9.000000 77.144 -70.0809
9.120000 77.260 -70.3057
9.250000 77.385 -70.5393
9.380000 77.510 -70.7639
9.500000 77.626 -70.9649
9.620000 77.741 -71.1588
9.750000 77.866 -71.3662
9.880000 77.992 -71.5707
10.000000 78.109 -71.7586
10.150000 78.257 -72.0051
10.300000 78.406 -72.2614
10.440000 78.546 -72.5221
10.600000 78.706 -72.8502
10.750000 78.856 -73.1894
10.900000 79.003 -73.5666
11.060000 79.157 -74.0058
11.200000 79.286 -74.4188
11.380000 79.446 -74.9869
11.500000 79.547 -75.3756
11.720000 79.721 -76.1109
11.800000 79.781 -76.3745
12.060000 79.962 -77.2185
12.200000 80.054 -77.6461
12.410000 80.184 -78.2493
12.500000 80.238 -78.4896
12.650000 80.327 -78.8660
12.800000 80.416 -79.2163
13.150000 80.627 -79.9402
13.200000 80.658 -80.0363
13.400000 80.784 -80.4068
13.600000 80.915 -80.7754
13.800000 81.048 -81.1483
14.000000 81.184 -81.5394
14.300000 81.388 -82.1672
14.500000 81.521 -82.6108
14.750000 81.683 -83.1861
15.000000 81.836 -83.7585
15.250000 81.983 -84.3058
15.500000 82.125 -84.8119
15.750000 82.266 -85.2657
16.000000 82.412 -85.6817
16.250000 82.563 -86.0878
16.500000 82.720 -86.5129
16.750000 82.880 -86.9934
17.000000 83.036 -87.5445
17.250000 83.181 -88.1525
17.500000 83.313 -88.7931
17.750000 83.426 -89.4152
18.000000 83.526 -89.9634
18.250000 83.618 -90.4116
18.500000 83.709 -90.7470
18.750000 83.810 -90.9903
19.000000 83.923 -91.1996
19.250000 84.050 -91.4240
19.500000 84.185 -91.7100
19.750000 84.320 -92.0887
20.000000 84.448 -92.5425
20.299999 84.585 -93.1429
20.600000 84.702 -93.7313
20.900000 84.806 -94.2426
21.200001 84.904 -94.6517
21.400000 84.972 -94.8773
21.799999 85.118 -95.2829
22.000000 85.194 -95.4894
22.400000 85.347 -95.9310
22.700001 85.458 -96.2714
23.000000 85.566 -96.5912
23.299999 85.675 -96.8780
23.600000 85.790 -97.1482
24.000000 85.955 -97.5596
24.299999 86.081 -97.9600
24.700001 86.234 -98.6289
25.000000 86.329 -99.1724
25.400000 86.428 -99.8238
25.799999 86.514 -100.2791
26.200001 86.614 -100.5565
26.500000 86.707 -100.7368
26.900000 86.849 -101.0792
27.200001 86.956 -101.4597
27.600000 87.079 -102.0821
28.000000 87.171 -102.6928
28.500000 87.264 -103.2186
29.000000 87.377 -103.4732
29.500000 87.535 -103.7126
30.000000 87.712 -104.1998
30.400000 87.838 -104.7711
30.700001 87.916 -105.2332
31.100000 87.999 -105.7911
31.500000 88.072 -106.2154
32.000000 88.173 -106.5910
32.500000 88.294 -106.9400
33.000000 88.422 -107.3867
33.500000 88.539 -107.9171
34.000000 88.640 -108.4253
34.500000 88.737 -108.8426
35.000000 88.844 -109.2040
35.500000 88.962 -109.5983
36.000000 89.082 -110.0732
36.500000 89.193 -110.5941
37.000000 89.298 -111.0929
37.500000 89.404 -111.5479
38.200001 89.567 -112.2051
38.700001 89.686 -112.7576
39.500000 89.853 -113.7502
40.000000 89.940 -114.3527
40.599998 90.031 -114.9822
41.200001 90.121 -115.4947
41.799999 90.220 -115.9391
42.500000 90.345 -116.4815
43.099998 90.450 -116.9982
43.700001 90.547 -117.5178
44.400002 90.658 -118.1021
45.000000 90.754 -118.6041
45.500000 90.832 -119.0094
46.200001 90.949 -119.5314
46.799999 91.063 -120.0007
47.500000 91.201 -120.6762
48.200001 91.325 -121.4224
48.700001 91.407 -121.9326
49.400002 91.524 -122.6417
50.000000 91.616 -123.2747
50.799999 91.722 -124.0546
51.500000 91.816 -124.6448
52.200001 91.913 -125.2549
53.000000 92.009 -125.9564
53.799999 92.100 -126.5366
54.500000 92.192 -127.0272
55.200001 92.284 -127.5944
56.000000 92.374 -128.2529
57.000000 92.483 -128.9553
58.000000 92.608 -129.6663
59.000000 92.724 -130.5421
60.000000 92.806 -131.4237
60.799999 92.865 -132.0211
61.500000 92.922 -132.5393
62.200001 92.975 -133.1017
63.000000 93.024 -133.7151
64.000000 93.094 -134.3504
65.000000 93.188 -135.0503
66.000000 93.274 -135.8857
67.000000 93.344 -136.6797
68.000000 93.414 -137.4156
69.000000 93.481 -138.1228
70.000000 93.547 -138.8179
71.000000 93.609 -139.5170
72.000000 93.669 -140.2052
73.000000 93.731 -140.9030
74.000000 93.793 -141.6437
75.000000 93.848 -142.3904
76.199997 93.915 -143.2333
77.500000 93.995 -144.1480
78.800003 94.073 -145.0945
80.000000 94.141 -145.9741
81.199997 94.206 -146.8807
82.500000 94.263 -147.9143
83.800003 94.304 -148.8736
85.000000 94.344 -149.6754
86.199997 94.386 -150.4604
87.500000 94.428 -151.2827
88.500000 94.459 -151.8874
90.000000 94.502 -152.7642
91.199997 94.532 -153.4548
92.500000 94.563 -154.2072
93.800003 94.590 -154.9803
95.000000 94.612 -155.7015
96.199997 94.633 -156.4115
97.500000 94.660 -157.1966
98.800003 94.683 -158.0135
100.000000 94.696 -158.7672
101.500000 94.708 -159.6492
103.000000 94.723 -160.4834
104.400002 94.739 -161.2483
106.000000 94.758 -162.1093
107.500000 94.770 -162.8966
109.000000 94.779 -163.6666
110.599998 94.781 -164.4924
112.000000 94.778 -165.2029
113.800003 94.780 -166.1183
115.000000 94.782 -166.7343
117.199997 94.784 -167.8285
118.000000 94.781 -168.2060
120.599998 94.762 -169.3423
122.000000 94.748 -169.9273
124.099998 94.725 -170.8226
125.000000 94.716 -171.2050
126.500000 94.701 -171.8326
128.000000 94.687 -172.4398
131.500000 94.652 -173.8077
132.000000 94.647 -174.0002
134.000000 94.627 -174.7769
136.000000 94.607 -175.5543
138.000000 94.588 -176.3104
140.000000 94.569 -177.0625
143.000000 94.532 -178.1569
145.000000 94.504 -178.8335
147.500000 94.465 -179.6118
150.000000 94.421 179.6553
152.500000 94.368 178.9357
155.000000 94.308 178.2495
157.500000 94.248 177.5952
160.000000 94.191 176.9627
162.500000 94.136 176.3363
165.000000 94.082 175.7111
167.500000 94.029 175.1022
170.000000 93.978 174.5049
172.500000 93.929 173.9164
175.000000 93.877 173.3542
177.500000 93.823 172.8255
180.000000 93.771 172.3203
182.500000 93.717 171.8342
185.000000 93.660 171.3787
187.500000 93.602 170.9505
190.000000 93.542 170.5471
192.500000 93.480 170.1668
195.000000 93.419 169.7834
197.500000 93.359 169.3870
200.000000 93.302 168.9983
203.000000 93.234 168.5458
206.000000 93.162 168.1051
209.000000 93.089 167.6968
212.000000 93.021 167.3282
214.000000 92.976 167.0966
218.000000 92.880 166.6637
220.000000 92.831 166.4609
224.000000 92.728 166.0816
227.000000 92.650 165.8094
230.000000 92.572 165.5403
233.000000 92.497 165.2819
236.000000 92.426 165.0421
240.000000 92.337 164.7369
243.000000 92.273 164.5128
247.000000 92.189 164.2158
250.000000 92.127 163.9968
254.000000 92.048 163.7258
258.000000 91.969 163.4875
262.000000 91.892 163.2820
265.000000 91.835 163.1503
269.000000 91.758 163.0032
272.000000 91.701 162.8977
276.000000 91.626 162.7509
280.000000 91.553 162.6025
