* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23/12/2022 7:28:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FF5 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 58.305 102.1168
1.015000 58.385 101.2457
1.030000 58.464 100.4222
1.044000 58.536 99.6926
1.060000 58.616 98.9013
1.075000 58.689 98.1969
1.090000 58.761 97.5250
1.106000 58.836 96.8404
1.120000 58.900 96.2651
1.138000 58.981 95.5531
1.150000 59.034 95.0931
1.172000 59.128 94.2731
1.180000 59.162 93.9807
1.206000 59.270 93.0430
1.220000 59.326 92.5414
1.241000 59.410 91.7854
1.250000 59.445 91.4580
1.265000 59.503 90.9051
1.280000 59.560 90.3399
1.315000 59.690 88.9536
1.320000 59.708 88.7460
1.340000 59.781 87.8859
1.360000 59.852 86.9798
1.380000 59.922 86.0448
1.400000 59.990 85.0859
1.430000 60.090 83.6114
1.450000 60.155 82.6099
1.475000 60.233 81.3443
1.500000 60.308 80.0704
1.525000 60.381 78.7960
1.550000 60.451 77.5286
1.575000 60.518 76.2759
1.600000 60.581 75.0455
1.625000 60.642 73.8452
1.650000 60.700 72.6826
1.675000 60.754 71.5652
1.700000 60.804 70.4945
1.725000 60.851 69.4555
1.750000 60.894 68.4445
1.775000 60.934 67.4590
1.800000 60.970 66.4965
1.825000 61.003 65.5542
1.850000 61.034 64.6296
1.875000 61.062 63.7201
1.900000 61.088 62.8231
1.925000 61.112 61.9359
1.950000 61.134 61.0560
1.975000 61.155 60.1808
2.000000 61.174 59.3077
2.030000 61.196 58.2596
2.060000 61.213 57.2156
2.090000 61.227 56.1792
2.120000 61.236 55.1528
2.140000 61.241 54.4753
2.180000 61.247 53.1396
2.200000 61.249 52.4828
2.240000 61.251 51.1948
2.270000 61.252 50.2539
2.300000 61.253 49.3372
2.330000 61.255 48.4470
2.360000 61.258 47.5856
2.400000 61.260 46.4790
2.430000 61.258 45.6778
2.470000 61.254 44.6457
2.500000 61.250 43.8974
2.540000 61.246 42.9319
2.580000 61.244 42.0009
2.620000 61.248 41.1017
2.650000 61.255 40.4466
2.690000 61.272 39.5968
2.720000 61.290 38.9876
2.760000 61.315 38.2299
2.800000 61.344 37.5207
2.850000 61.386 36.6792
2.900000 61.439 35.8602
2.950000 61.503 35.0339
3.000000 61.582 34.1707
3.040000 61.657 33.4364
3.070000 61.719 32.8794
3.110000 61.811 32.1376
3.150000 61.912 31.3904
3.200000 62.049 30.4382
3.250000 62.197 29.4529
3.300000 62.354 28.4210
3.350000 62.518 27.3288
3.400000 62.690 26.1748
3.450000 62.876 24.9822
3.500000 63.073 23.7462
3.550000 63.277 22.4595
3.600000 63.486 21.1153
3.650000 63.695 19.7064
3.700000 63.903 18.2258
3.750000 64.113 16.6613
3.820000 64.413 14.3366
3.870000 64.630 12.6004
3.950000 64.975 9.7331
4.000000 65.185 7.9088
4.060000 65.429 5.7058
4.120000 65.669 3.4476
4.180000 65.905 1.1374
4.250000 66.173 -1.5971
4.310000 66.393 -3.9521
4.370000 66.603 -6.2965
4.440000 66.836 -9.0395
4.500000 67.026 -11.4166
4.550000 67.178 -13.3986
4.620000 67.380 -16.1481
4.680000 67.541 -18.4568
4.750000 67.714 -21.0787
4.820000 67.873 -23.6685
4.870000 67.978 -25.4893
4.940000 68.113 -27.9770
5.000000 68.218 -30.0337
5.080000 68.343 -32.6454
5.150000 68.436 -34.8430
5.220000 68.515 -36.9492
5.300000 68.592 -39.2153
5.380000 68.658 -41.2984
5.450000 68.705 -42.9694
5.520000 68.740 -44.5156
5.600000 68.771 -46.1181
5.700000 68.808 -47.8544
5.800000 68.846 -49.2646
5.900000 68.877 -50.3596
6.000000 68.918 -51.1992
6.080000 68.969 -51.7218
6.150000 69.024 -52.0262
6.220000 69.087 -52.2064
6.300000 69.173 -52.3198
6.400000 69.307 -52.4232
6.500000 69.475 -52.4411
6.600000 69.671 -52.3759
6.700000 69.885 -52.3559
6.800000 70.115 -52.4569
6.900000 70.368 -52.6158
7.000000 70.628 -52.8659
7.100000 70.881 -53.2472
7.200000 71.134 -53.7668
7.300000 71.383 -54.3916
7.400000 71.615 -55.0862
7.500000 71.829 -55.8647
7.620000 72.066 -56.9023
7.750000 72.291 -58.0298
7.880000 72.479 -59.1624
8.000000 72.624 -60.1829
8.120000 72.745 -61.0804
8.250000 72.845 -61.9455
8.380000 72.926 -62.6504
8.500000 72.991 -63.1061
8.620000 73.042 -63.3951
8.750000 73.103 -63.5275
8.850000 73.156 -63.4829
9.000000 73.244 -63.2145
9.120000 73.339 -62.9161
9.250000 73.467 -62.4723
9.380000 73.620 -62.0004
9.500000 73.786 -61.6306
9.620000 73.976 -61.2832
9.750000 74.198 -61.0288
9.880000 74.435 -60.9474
10.000000 74.665 -61.0043
10.150000 74.949 -61.2923
10.300000 75.230 -61.8293
10.440000 75.479 -62.5041
10.600000 75.740 -63.4851
10.750000 75.961 -64.5490
10.900000 76.152 -65.7021
11.060000 76.325 -67.0115
11.200000 76.451 -68.1456
11.380000 76.576 -69.5966
11.500000 76.643 -70.4942
11.720000 76.728 -72.0061
11.800000 76.753 -72.4864
12.060000 76.808 -73.7898
12.200000 76.837 -74.3154
12.410000 76.882 -74.8803
12.500000 76.909 -75.0598
12.650000 76.961 -75.2610
12.800000 77.030 -75.4095
13.150000 77.258 -75.6631
13.200000 77.298 -75.7122
13.400000 77.474 -75.9573
13.600000 77.663 -76.3675
13.800000 77.857 -76.9412
14.000000 78.042 -77.7013
14.300000 78.281 -79.0794
14.500000 78.404 -80.0731
14.750000 78.511 -81.2879
15.000000 78.570 -82.2872
15.250000 78.599 -82.9589
15.500000 78.617 -83.2367
15.750000 78.653 -83.1064
16.000000 78.734 -82.7020
16.250000 78.869 -82.1894
16.500000 79.056 -81.7289
16.750000 79.282 -81.4925
17.000000 79.517 -81.5447
17.250000 79.744 -81.8588
17.500000 79.948 -82.3805
17.750000 80.120 -83.0014
18.000000 80.263 -83.6228
18.250000 80.385 -84.1967
18.500000 80.493 -84.6927
18.750000 80.594 -85.1157
19.000000 80.692 -85.4917
19.250000 80.789 -85.8349
19.500000 80.882 -86.1555
19.750000 80.973 -86.4475
20.000000 81.063 -86.6998
20.299999 81.175 -86.9504
20.600000 81.296 -87.1652
20.900000 81.430 -87.3912
21.200001 81.572 -87.6798
21.400000 81.668 -87.9218
21.799999 81.852 -88.4928
22.000000 81.938 -88.7933
22.400000 82.103 -89.3643
22.700001 82.227 -89.7454
23.000000 82.359 -90.1163
23.299999 82.497 -90.5279
23.600000 82.635 -91.0206
24.000000 82.801 -91.7958
24.299999 82.903 -92.3901
24.700001 83.013 -93.0576
25.000000 83.089 -93.4066
25.400000 83.203 -93.6971
25.799999 83.341 -93.9324
26.200001 83.495 -94.2598
26.500000 83.607 -94.5905
26.900000 83.744 -95.0901
27.200001 83.837 -95.4615
27.600000 83.954 -95.9228
28.000000 84.069 -96.3700
28.500000 84.207 -96.9626
29.000000 84.329 -97.5573
29.500000 84.441 -98.0701
30.000000 84.559 -98.5176
30.400000 84.658 -98.8876
30.700001 84.730 -99.1758
31.100000 84.822 -99.5302
31.500000 84.917 -99.8000
32.000000 85.062 -100.0776
32.500000 85.239 -100.5194
33.000000 85.404 -101.2733
33.500000 85.517 -102.1437
34.000000 85.587 -102.7656
34.500000 85.665 -103.0323
35.000000 85.783 -103.1866
35.500000 85.923 -103.4738
36.000000 86.057 -103.8844
36.500000 86.181 -104.3050
37.000000 86.307 -104.7535
37.500000 86.423 -105.3065
38.200001 86.541 -106.0513
38.700001 86.619 -106.3329
39.500000 86.822 -106.7156
40.000000 86.964 -107.3291
40.599998 87.070 -108.2696
41.200001 87.123 -108.8451
41.799999 87.213 -108.9890
42.500000 87.390 -109.2717
43.099998 87.532 -109.7928
43.700001 87.647 -110.2275
44.400002 87.805 -110.5626
45.000000 87.958 -111.0439
45.500000 88.059 -111.6019
46.200001 88.146 -112.2258
46.799999 88.223 -112.4252
47.500000 88.364 -112.6006
48.200001 88.527 -113.1021
48.700001 88.625 -113.6407
49.400002 88.726 -114.4396
50.000000 88.787 -115.0286
50.799999 88.863 -115.5686
51.500000 88.956 -115.8965
52.200001 89.074 -116.3105
53.000000 89.201 -116.9756
53.799999 89.302 -117.6562
54.500000 89.384 -118.1648
55.200001 89.472 -118.6540
56.000000 89.575 -119.2922
57.000000 89.692 -120.1371
58.000000 89.821 -120.9415
59.000000 89.963 -121.8131
60.000000 90.136 -122.5990
60.799999 90.309 -123.4952
61.500000 90.413 -124.5854
62.200001 90.441 -125.4699
63.000000 90.457 -125.8181
64.000000 90.555 -125.8710
65.000000 90.681 -126.1295
66.000000 90.799 -126.5432
67.000000 90.902 -127.1606
68.000000 90.989 -127.8726
69.000000 91.078 -128.6568
70.000000 91.171 -129.5186
71.000000 91.264 -130.4164
72.000000 91.346 -131.2567
73.000000 91.427 -131.9120
74.000000 91.519 -132.4958
75.000000 91.604 -133.1062
76.199997 91.692 -133.8286
77.500000 91.780 -134.6390
78.800003 91.873 -135.5172
80.000000 91.959 -136.4022
81.199997 92.044 -137.2557
82.500000 92.140 -138.0954
83.800003 92.241 -138.8694
85.000000 92.329 -139.6004
86.199997 92.400 -140.3371
87.500000 92.465 -141.1071
88.500000 92.512 -141.7166
90.000000 92.578 -142.6864
91.199997 92.626 -143.4821
92.500000 92.676 -144.3313
93.800003 92.724 -145.1553
95.000000 92.766 -145.8783
96.199997 92.808 -146.5516
97.500000 92.857 -147.2740
98.800003 92.905 -148.0195
100.000000 92.944 -148.7167
101.500000 92.990 -149.5793
103.000000 93.036 -150.4380
104.400002 93.076 -151.2461
106.000000 93.118 -152.1602
107.500000 93.155 -153.0254
109.000000 93.189 -153.9076
110.599998 93.224 -154.8365
112.000000 93.257 -155.6196
113.800003 93.301 -156.6113
115.000000 93.323 -157.2627
117.199997 93.349 -158.4060
118.000000 93.357 -158.8240
120.599998 93.391 -160.2483
122.000000 93.412 -161.0912
124.099998 93.417 -162.2605
125.000000 93.417 -162.6359
126.500000 93.428 -163.2071
128.000000 93.438 -163.8136
131.500000 93.440 -165.3676
132.000000 93.440 -165.5980
134.000000 93.439 -166.5269
136.000000 93.436 -167.4195
138.000000 93.433 -168.2686
140.000000 93.427 -169.1165
143.000000 93.410 -170.3540
145.000000 93.396 -171.1457
147.500000 93.374 -172.1124
150.000000 93.349 -173.0608
152.500000 93.324 -174.0145
155.000000 93.296 -174.9490
157.500000 93.266 -175.8420
160.000000 93.233 -176.7045
162.500000 93.197 -177.5380
165.000000 93.160 -178.3486
167.500000 93.121 -179.1397
170.000000 93.080 -179.9180
172.500000 93.037 179.3325
175.000000 92.995 178.6095
177.500000 92.949 177.9114
180.000000 92.896 177.2339
182.500000 92.834 176.5638
185.000000 92.772 175.9356
187.500000 92.722 175.3345
190.000000 92.673 174.7450
192.500000 92.620 174.2019
195.000000 92.567 173.6636
197.500000 92.512 173.1174
200.000000 92.457 172.6086
203.000000 92.397 172.0421
206.000000 92.336 171.4579
209.000000 92.275 170.8611
212.000000 92.217 170.2773
214.000000 92.180 169.9045
218.000000 92.100 169.2279
220.000000 92.060 168.9190
224.000000 91.981 168.2880
227.000000 91.918 167.8176
230.000000 91.859 167.3925
233.000000 91.802 167.0011
236.000000 91.742 166.6042
240.000000 91.657 166.0229
243.000000 91.598 165.5717
247.000000 91.528 165.0221
250.000000 91.475 164.6850
254.000000 91.394 164.3577
258.000000 91.309 164.0030
262.000000 91.224 163.5625
265.000000 91.168 163.2471
269.000000 91.100 162.8456
272.000000 91.045 162.5575
276.000000 90.970 162.1942
280.000000 90.897 161.8403
285.000000 90.809 161.4017
290.000000 90.719 160.9955
295.000000 90.628 160.6127
300.000000 90.541 160.2477
304.000000 90.471 159.9524
307.000000 90.419 159.7157
