* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -15.4 dBFS, measurement signal peak level -15.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 06/08/2023 6:24:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0732 ms (-25 mm, -0.99 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: FH11 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 57.699 89.5573
1.015000 58.246 86.0600
1.030000 58.780 82.6919
1.044000 59.263 79.6796
1.060000 59.794 76.4095
1.075000 60.268 73.5281
1.090000 60.715 70.8420
1.106000 61.162 68.2010
1.120000 61.545 66.0346
1.138000 62.032 63.4234
1.150000 62.352 61.7857
1.172000 62.931 58.9832
1.180000 63.139 58.0245
1.206000 63.806 55.1137
1.220000 64.158 53.6661
1.241000 64.679 51.6357
1.250000 64.899 50.8129
1.265000 65.262 49.4988
1.280000 65.620 48.2499
1.315000 66.435 45.5479
1.320000 66.550 45.1821
1.340000 67.001 43.7584
1.360000 67.443 42.3848
1.380000 67.875 41.0438
1.400000 68.299 39.7177
1.430000 68.916 37.7184
1.450000 69.316 36.3531
1.475000 69.802 34.5994
1.500000 70.269 32.9473
1.525000 70.717 31.4235
1.550000 71.148 30.0125
1.575000 71.563 28.6988
1.600000 71.963 27.4670
1.625000 72.349 26.3015
1.650000 72.722 25.1870
1.675000 73.085 24.1078
1.700000 73.437 23.0486
1.725000 73.781 21.9938
1.750000 74.117 20.9280
1.775000 74.446 19.8358
1.800000 74.771 18.7015
1.825000 75.092 17.5099
1.850000 75.408 16.2629
1.875000 75.714 14.9975
1.900000 76.009 13.7189
1.925000 76.295 12.4310
1.950000 76.573 11.1378
1.975000 76.842 9.8429
2.000000 77.103 8.5503
2.030000 77.406 7.0076
2.060000 77.701 5.4803
2.090000 77.986 3.9751
2.120000 78.264 2.4986
2.140000 78.446 1.5334
2.180000 78.801 -0.3418
2.200000 78.975 -1.2480
2.240000 79.312 -3.0035
2.270000 79.554 -4.2775
2.300000 79.787 -5.5193
2.330000 80.011 -6.7331
2.360000 80.228 -7.9229
2.400000 80.505 -9.4790
2.430000 80.705 -10.6286
2.470000 80.962 -12.1458
2.500000 81.148 -13.2771
2.540000 81.388 -14.7847
2.580000 81.620 -16.2990
2.620000 81.840 -17.8148
2.650000 81.997 -18.9484
2.690000 82.196 -20.4503
2.720000 82.338 -21.5661
2.760000 82.519 -23.0348
2.800000 82.691 -24.4760
2.850000 82.894 -26.2291
2.900000 83.085 -27.9175
2.950000 83.267 -29.5321
3.000000 83.433 -31.0936
3.040000 83.555 -32.3068
3.070000 83.641 -33.1942
3.110000 83.749 -34.3459
3.150000 83.850 -35.4597
3.200000 83.969 -36.7953
3.250000 84.080 -38.0643
3.300000 84.186 -39.2628
3.350000 84.282 -40.3958
3.400000 84.366 -41.4672
3.450000 84.440 -42.4750
3.500000 84.509 -43.4168
3.550000 84.573 -44.2906
3.600000 84.636 -45.0945
3.650000 84.701 -45.8259
3.700000 84.766 -46.4797
3.750000 84.824 -47.0511
3.820000 84.900 -47.7268
3.870000 84.955 -48.1312
3.950000 85.050 -48.6644
4.000000 85.120 -48.9386
4.060000 85.217 -49.2063
4.120000 85.320 -49.3537
4.180000 85.431 -49.4079
4.250000 85.572 -49.4066
4.310000 85.705 -49.3955
4.370000 85.852 -49.4175
4.440000 86.043 -49.4971
4.500000 86.224 -49.5430
4.550000 86.385 -49.5803
4.620000 86.623 -49.6637
4.680000 86.835 -49.7950
4.750000 87.088 -50.0574
4.820000 87.349 -50.4423
4.870000 87.545 -50.7662
4.940000 87.826 -51.2955
5.000000 88.071 -51.8263
5.080000 88.393 -52.6565
5.150000 88.666 -53.5092
5.220000 88.938 -54.4900
5.300000 89.248 -55.7501
5.380000 89.550 -57.1323
5.450000 89.804 -58.4205
5.520000 90.044 -59.7681
5.600000 90.307 -61.4186
5.700000 90.619 -63.6241
5.800000 90.908 -65.9309
5.900000 91.169 -68.2897
6.000000 91.406 -70.7473
6.080000 91.577 -72.7652
6.150000 91.713 -74.5441
6.220000 91.837 -76.3151
6.300000 91.963 -78.3409
6.400000 92.097 -80.9001
6.500000 92.207 -83.4438
6.600000 92.294 -85.9236
6.700000 92.356 -88.3563
6.800000 92.395 -90.7455
6.900000 92.414 -93.0477
7.000000 92.416 -95.2282
7.100000 92.396 -97.3189
7.200000 92.359 -99.2999
7.300000 92.310 -101.1348
7.400000 92.252 -102.8066
7.500000 92.178 -104.3362
7.620000 92.083 -105.9672
7.750000 91.984 -107.4555
7.880000 91.880 -108.6466
8.000000 91.793 -109.5262
8.120000 91.729 -110.2205
8.250000 91.678 -110.7219
8.380000 91.653 -111.0776
8.500000 91.662 -111.3506
8.620000 91.699 -111.5178
8.750000 91.765 -111.6947
8.850000 91.832 -111.8923
9.000000 91.966 -112.2247
9.120000 92.086 -112.5712
9.250000 92.222 -113.0764
9.380000 92.367 -113.6935
9.500000 92.498 -114.3433
9.620000 92.621 -115.0732
9.750000 92.748 -115.9557
9.880000 92.863 -116.8715
10.000000 92.955 -117.7350
10.150000 93.054 -118.8444
10.300000 93.137 -119.9021
10.440000 93.197 -120.8484
10.600000 93.252 -121.8531
10.750000 93.295 -122.6865
10.900000 93.330 -123.4286
11.060000 93.367 -124.1172
11.200000 93.399 -124.6268
11.380000 93.445 -125.2029
11.500000 93.480 -125.5373
11.720000 93.555 -126.0933
11.800000 93.586 -126.2927
12.060000 93.699 -126.9299
12.200000 93.763 -127.3046
12.410000 93.865 -127.9070
12.500000 93.907 -128.1886
12.650000 93.978 -128.6883
12.800000 94.046 -129.2211
13.150000 94.184 -130.5878
13.200000 94.200 -130.7913
13.400000 94.259 -131.6301
13.600000 94.305 -132.4714
13.800000 94.337 -133.3053
14.000000 94.357 -134.0964
14.300000 94.368 -135.1831
14.500000 94.369 -135.8156
14.750000 94.371 -136.5115
15.000000 94.379 -137.1136
15.250000 94.400 -137.6702
15.500000 94.434 -138.2377
15.750000 94.478 -138.8492
16.000000 94.526 -139.5448
16.250000 94.571 -140.3131
16.500000 94.609 -141.1354
16.750000 94.636 -141.9747
17.000000 94.654 -142.7853
17.250000 94.668 -143.5526
17.500000 94.681 -144.2622
17.750000 94.698 -144.9335
18.000000 94.719 -145.5835
18.250000 94.745 -146.2318
18.500000 94.772 -146.8892
18.750000 94.798 -147.5466
19.000000 94.823 -148.1957
19.250000 94.846 -148.8158
19.500000 94.870 -149.4065
19.750000 94.896 -149.9689
20.000000 94.926 -150.5215
20.299999 94.964 -151.1906
20.600000 94.999 -151.8691
20.900000 95.028 -152.5380
21.200001 95.050 -153.1515
21.400000 95.063 -153.5059
21.799999 95.098 -154.0962
22.000000 95.125 -154.3611
22.400000 95.201 -154.9432
22.700001 95.267 -155.5222
23.000000 95.323 -156.2626
23.299999 95.351 -157.1002
23.600000 95.346 -157.9233
24.000000 95.298 -158.8130
24.299999 95.251 -159.2461
24.700001 95.203 -159.5715
25.000000 95.188 -159.7579
25.400000 95.184 -160.0881
25.799999 95.173 -160.5253
26.200001 95.143 -160.9135
26.500000 95.120 -161.0932
26.900000 95.116 -161.2330
27.200001 95.140 -161.4014
27.600000 95.188 -161.8959
28.000000 95.212 -162.7034
28.500000 95.169 -163.7195
29.000000 95.101 -164.1970
29.500000 95.114 -164.2798
30.000000 95.218 -164.6931
30.400000 95.296 -165.4517
30.700001 95.321 -166.0925
31.100000 95.327 -166.6822
31.500000 95.362 -166.8679
32.000000 95.528 -167.0695
32.500000 95.765 -168.1849
33.000000 95.887 -170.3270
33.500000 95.793 -172.4129
34.000000 95.574 -173.2507
34.500000 95.425 -172.8778
35.000000 95.427 -172.3478
35.500000 95.478 -172.4538
36.000000 95.461 -172.9058
36.500000 95.387 -173.0646
37.000000 95.344 -172.8682
37.500000 95.363 -172.8053
38.200001 95.387 -173.4119
38.700001 95.351 -173.9977
39.500000 95.281 -174.6066
40.000000 95.268 -174.9973
40.599998 95.260 -175.6577
41.200001 95.235 -176.3641
41.799999 95.205 -176.9511
42.500000 95.186 -177.4858
43.099998 95.188 -177.8818
43.700001 95.202 -178.2899
44.400002 95.217 -178.8293
45.000000 95.216 -179.2859
45.500000 95.211 -179.6178
46.200001 95.204 179.9363
46.799999 95.194 179.5109
47.500000 95.171 179.0156
48.200001 95.147 178.5536
48.700001 95.134 178.1909
49.400002 95.105 177.6140
50.000000 95.063 177.1687
50.799999 95.007 176.8019
51.500000 94.985 176.5979
52.200001 94.982 176.3298
53.000000 94.976 175.9194
53.799999 94.958 175.4853
54.500000 94.936 175.1140
55.200001 94.912 174.7520
56.000000 94.886 174.3200
57.000000 94.853 173.6731
58.000000 94.803 173.0046
59.000000 94.751 172.4730
60.000000 94.714 172.0327
60.799999 94.693 171.7010
61.500000 94.677 171.4214
62.200001 94.664 171.1317
63.000000 94.647 170.7540
64.000000 94.608 170.2517
65.000000 94.559 169.8138
66.000000 94.516 169.4276
67.000000 94.485 169.0553
68.000000 94.466 168.6310
69.000000 94.443 168.1573
70.000000 94.409 167.7466
71.000000 94.375 167.4342
72.000000 94.346 167.1385
73.000000 94.310 166.8071
74.000000 94.266 166.4926
75.000000 94.226 166.1848
76.199997 94.183 165.7305
77.500000 94.132 165.2016
78.800003 94.082 164.7236
80.000000 94.044 164.3231
81.199997 94.009 163.9220
82.500000 93.964 163.4879
83.800003 93.910 163.1026
85.000000 93.857 162.7847
86.199997 93.803 162.5110
87.500000 93.752 162.1870
88.500000 93.705 161.9072
90.000000 93.638 161.5200
91.199997 93.579 161.1135
92.500000 93.507 160.7771
93.800003 93.455 160.4701
95.000000 93.410 160.1614
96.199997 93.366 159.9111
97.500000 93.330 159.6681
98.800003 93.293 159.2501
100.000000 93.222 158.7897
101.500000 93.109 158.4592
103.000000 93.027 158.2685
104.400002 92.957 158.1071
106.000000 92.880 158.0901
107.500000 92.798 158.0759
109.000000 92.684 158.1187
110.599998 92.572 158.2151
112.000000 92.500 158.2831
113.800003 92.469 158.5497
115.000000 92.483 158.7964
117.199997 92.522 159.3810
118.000000 92.541 159.4833
120.599998 92.547 158.7681
122.000000 92.528 158.0305
124.099998 92.522 157.1777
125.000000 92.526 156.9853
126.500000 92.503 156.7375
128.000000 92.396 156.3828
131.500000 91.822 154.1959
132.000000 91.717 153.9886
134.000000 91.522 154.4744
136.000000 91.723 154.8386
138.000000 91.878 154.9284
140.000000 91.911 155.2699
143.000000 91.837 155.3418
145.000000 91.797 155.0164
147.500000 91.747 154.4272
150.000000 91.654 153.9832
152.500000 91.578 153.6966
155.000000 91.518 153.3893
157.500000 91.438 153.1512
160.000000 91.336 152.8823
162.500000 91.242 152.6068
165.000000 91.168 152.4013
167.500000 91.083 152.2388
170.000000 90.980 152.1208
172.500000 90.885 151.9965
175.000000 90.802 151.8674
177.500000 90.720 151.7481
180.000000 90.635 151.6340
182.500000 90.548 151.5485
185.000000 90.459 151.4996
187.500000 90.373 151.4507
190.000000 90.295 151.3899
192.500000 90.218 151.3801
195.000000 90.115 151.4047
197.500000 89.974 151.3975
200.000000 89.849 151.4639
203.000000 89.800 151.4945
206.000000 89.769 151.4947
209.000000 89.699 151.6221
212.000000 89.618 151.7431
214.000000 89.569 151.8121
218.000000 89.478 151.9454
220.000000 89.434 151.9780
224.000000 89.348 152.0010
227.000000 89.276 152.0217
230.000000 89.200 152.0118
233.000000 89.125 151.9884
236.000000 89.050 152.0015
240.000000 88.948 152.0526
243.000000 88.868 152.0965
247.000000 88.760 152.1393
250.000000 88.681 152.1916
254.000000 88.579 152.3593
258.000000 88.477 152.5417
262.000000 88.374 152.6867
265.000000 88.297 152.8013
269.000000 88.201 152.9857
272.000000 88.133 153.1199
276.000000 88.039 153.3054
280.000000 87.946 153.5152
285.000000 87.835 153.7848
290.000000 87.723 154.0464
295.000000 87.611 154.3364
