* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -25.0 dBFS, measurement signal peak level -22.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 06/08/2023 6:28:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0627 ms (-21 mm, -0.85 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: FH11 Preproduction L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 62.403 8.9936
1.015000 62.594 9.8944
1.030000 62.788 10.7548
1.044000 62.972 11.5163
1.060000 63.185 12.3315
1.075000 63.387 13.0368
1.090000 63.591 13.6791
1.106000 63.811 14.2946
1.120000 64.012 14.8045
1.138000 64.284 15.4296
1.150000 64.473 15.8271
1.172000 64.832 16.5150
1.180000 64.967 16.7519
1.206000 65.417 17.4720
1.220000 65.666 17.8278
1.241000 66.046 18.3186
1.250000 66.212 18.5130
1.265000 66.489 18.8155
1.280000 66.768 19.0907
1.315000 67.423 19.6250
1.320000 67.516 19.6888
1.340000 67.887 19.9121
1.360000 68.255 20.0838
1.380000 68.616 20.2029
1.400000 68.969 20.2687
1.430000 69.479 20.2654
1.450000 69.802 20.1939
1.475000 70.187 20.0196
1.500000 70.561 19.7049
1.525000 70.927 19.2529
1.550000 71.285 18.6799
1.575000 71.637 18.0020
1.600000 71.981 17.2355
1.625000 72.318 16.3966
1.650000 72.649 15.5015
1.675000 72.974 14.5665
1.700000 73.292 13.6077
1.725000 73.604 12.6414
1.750000 73.910 11.6838
1.775000 74.211 10.7512
1.800000 74.506 9.8596
1.825000 74.797 9.0255
1.850000 75.081 8.2417
1.875000 75.358 7.4607
1.900000 75.629 6.6796
1.925000 75.892 5.8980
1.950000 76.149 5.1153
1.975000 76.400 4.3310
2.000000 76.646 3.5445
2.030000 76.934 2.5972
2.060000 77.215 1.6450
2.090000 77.489 0.6871
2.120000 77.758 -0.2775
2.140000 77.934 -0.9247
2.180000 78.280 -2.2303
2.200000 78.450 -2.8893
2.240000 78.782 -4.2279
2.270000 79.022 -5.2491
2.300000 79.256 -6.2816
2.330000 79.483 -7.3223
2.360000 79.704 -8.3682
2.400000 79.991 -9.7652
2.430000 80.200 -10.8108
2.470000 80.472 -12.1962
2.500000 80.671 -13.2247
2.540000 80.932 -14.5759
2.580000 81.187 -15.8998
2.620000 81.433 -17.2107
2.650000 81.612 -18.1875
2.690000 81.843 -19.4805
2.720000 82.012 -20.4427
2.760000 82.231 -21.7148
2.800000 82.443 -22.9736
2.850000 82.701 -24.5266
2.900000 82.951 -26.0552
2.950000 83.195 -27.5568
3.000000 83.430 -29.0272
3.040000 83.611 -30.1832
3.070000 83.742 -31.0400
3.110000 83.914 -32.1709
3.150000 84.080 -33.2908
3.200000 84.283 -34.6791
3.250000 84.479 -36.0592
3.300000 84.670 -37.4358
3.350000 84.855 -38.8104
3.400000 85.034 -40.1791
3.450000 85.205 -41.5383
3.500000 85.371 -42.8842
3.550000 85.531 -44.2134
3.600000 85.686 -45.5222
3.650000 85.836 -46.8069
3.700000 85.982 -48.0643
3.750000 86.122 -49.2956
3.820000 86.309 -50.9829
3.870000 86.436 -52.1671
3.950000 86.630 -54.0360
4.000000 86.746 -55.1938
4.060000 86.878 -56.5793
4.120000 87.003 -57.9618
4.180000 87.121 -59.3335
4.250000 87.250 -60.9091
4.310000 87.354 -62.2285
4.370000 87.453 -63.5103
4.440000 87.560 -64.9536
4.500000 87.644 -66.1572
4.550000 87.709 -67.1360
4.620000 87.794 -68.4671
4.680000 87.861 -69.5695
4.750000 87.936 -70.8077
4.820000 88.004 -71.9967
4.870000 88.048 -72.8192
4.940000 88.104 -73.9286
5.000000 88.150 -74.8365
5.080000 88.208 -75.9781
5.150000 88.261 -76.9059
5.220000 88.310 -77.7616
5.300000 88.363 -78.6614
5.380000 88.417 -79.4925
5.450000 88.469 -80.1755
5.520000 88.527 -80.8241
5.600000 88.597 -81.4928
5.700000 88.692 -82.2466
5.800000 88.796 -82.9653
5.900000 88.914 -83.6977
6.000000 89.047 -84.3984
6.080000 89.161 -84.9544
6.150000 89.264 -85.4607
6.220000 89.369 -86.0044
6.300000 89.492 -86.6704
6.400000 89.655 -87.5456
6.500000 89.819 -88.4787
6.600000 89.976 -89.4812
6.700000 90.127 -90.5708
6.800000 90.274 -91.7310
6.900000 90.412 -92.9278
7.000000 90.534 -94.1359
7.100000 90.643 -95.3901
7.200000 90.739 -96.6589
7.300000 90.823 -97.8928
7.400000 90.892 -99.0741
7.500000 90.947 -100.2341
7.620000 90.999 -101.5481
7.750000 91.047 -102.8128
7.880000 91.079 -103.9287
8.000000 91.107 -104.8341
8.120000 91.142 -105.6113
8.250000 91.183 -106.2923
8.380000 91.235 -106.8789
8.500000 91.301 -107.3794
8.620000 91.382 -107.8065
8.750000 91.482 -108.2718
8.850000 91.567 -108.6798
9.000000 91.714 -109.3264
9.120000 91.835 -109.9066
9.250000 91.964 -110.6352
9.380000 92.093 -111.4520
9.500000 92.205 -112.2528
9.620000 92.305 -113.0960
9.750000 92.402 -114.0634
9.880000 92.487 -115.0173
10.000000 92.551 -115.8687
10.150000 92.616 -116.9058
10.300000 92.671 -117.8413
10.440000 92.713 -118.6166
10.600000 92.759 -119.4044
10.750000 92.807 -120.0358
10.900000 92.859 -120.5818
11.060000 92.927 -121.1417
11.200000 92.997 -121.5978
11.380000 93.095 -122.2228
11.500000 93.167 -122.6803
11.720000 93.302 -123.6028
11.800000 93.348 -123.9772
12.060000 93.491 -125.3034
12.200000 93.554 -126.0571
12.410000 93.631 -127.2221
12.500000 93.657 -127.7031
12.650000 93.692 -128.4937
12.800000 93.719 -129.2440
13.150000 93.762 -130.7693
13.200000 93.768 -130.9656
13.400000 93.792 -131.6873
13.600000 93.820 -132.3568
13.800000 93.854 -132.9870
14.000000 93.892 -133.6179
14.300000 93.955 -134.5818
14.500000 93.996 -135.2489
14.750000 94.042 -136.0898
15.000000 94.082 -136.9272
15.250000 94.116 -137.7336
15.500000 94.146 -138.4997
15.750000 94.174 -139.2213
16.000000 94.202 -139.8986
16.250000 94.231 -140.5359
16.500000 94.263 -141.1370
16.750000 94.298 -141.7069
17.000000 94.340 -142.2629
17.250000 94.386 -142.8213
17.500000 94.438 -143.4037
17.750000 94.491 -144.0345
18.000000 94.540 -144.7135
18.250000 94.582 -145.4402
18.500000 94.611 -146.1791
18.750000 94.627 -146.8973
19.000000 94.631 -147.5634
19.250000 94.628 -148.1407
19.500000 94.624 -148.6295
19.750000 94.622 -149.0318
20.000000 94.629 -149.3761
20.299999 94.651 -149.7588
20.600000 94.685 -150.1544
20.900000 94.730 -150.6044
21.200001 94.780 -151.1359
21.400000 94.812 -151.5408
21.799999 94.866 -152.4607
22.000000 94.885 -152.9602
22.400000 94.901 -153.9824
22.700001 94.894 -154.7022
23.000000 94.875 -155.3181
23.299999 94.855 -155.8062
23.600000 94.845 -156.1869
24.000000 94.857 -156.6122
24.299999 94.885 -156.9579
24.700001 94.935 -157.5329
25.000000 94.972 -158.0509
25.400000 95.009 -158.7998
25.799999 95.034 -159.5320
26.200001 95.051 -160.2065
26.500000 95.064 -160.6783
26.900000 95.078 -161.2720
27.200001 95.088 -161.6882
27.600000 95.100 -162.1945
28.000000 95.115 -162.6548
28.500000 95.139 -163.2291
29.000000 95.156 -163.8503
29.500000 95.154 -164.4527
30.000000 95.142 -164.9433
30.400000 95.136 -165.2871
30.700001 95.133 -165.5659
31.100000 95.120 -165.9859
31.500000 95.086 -166.3820
32.000000 95.023 -166.6209
32.500000 94.990 -166.4970
33.000000 95.038 -166.3647
33.500000 95.142 -166.7115
34.000000 95.220 -167.6508
34.500000 95.222 -168.7842
35.000000 95.168 -169.6700
35.500000 95.120 -170.2170
36.000000 95.109 -170.6751
36.500000 95.117 -171.2566
37.000000 95.115 -171.9292
37.500000 95.099 -172.5349
38.200001 95.082 -173.1665
38.700001 95.089 -173.5601
39.500000 95.108 -174.2518
40.000000 95.113 -174.6820
40.599998 95.112 -175.1314
41.200001 95.116 -175.5199
41.799999 95.124 -175.9196
42.500000 95.131 -176.4635
43.099998 95.129 -176.9884
43.700001 95.116 -177.5456
44.400002 95.087 -178.1810
45.000000 95.058 -178.6322
45.500000 95.046 -178.9416
46.200001 95.055 -179.4089
46.799999 95.069 -179.9263
47.500000 95.070 179.4349
48.200001 95.055 178.8971
48.700001 95.035 178.6225
49.400002 95.006 178.4692
50.000000 95.008 178.4746
50.799999 95.043 178.2377
51.500000 95.028 177.6811
52.200001 94.953 177.2646
53.000000 94.882 177.0414
53.799999 94.840 176.5310
54.500000 94.782 175.9233
55.200001 94.735 175.3878
56.000000 94.721 174.5933
57.000000 94.684 173.4183
58.000000 94.659 172.6598
59.000000 94.663 172.0806
60.000000 94.673 171.9000
60.799999 94.707 171.7305
61.500000 94.698 171.4305
62.200001 94.648 171.3241
63.000000 94.608 171.3508
64.000000 94.548 170.9507
65.000000 94.425 170.8083
66.000000 94.422 170.7932
67.000000 94.433 169.8407
68.000000 94.349 169.2768
69.000000 94.377 169.2333
70.000000 94.439 168.4935
71.000000 94.382 167.7252
72.000000 94.299 167.5905
73.000000 94.270 167.5427
74.000000 94.246 167.0963
75.000000 94.168 166.5159
76.199997 94.064 166.1667
77.500000 94.008 165.8121
78.800003 93.960 165.4004
80.000000 93.912 164.9937
81.199997 93.819 164.7027
82.500000 93.717 164.9428
83.800003 93.708 165.2210
85.000000 93.702 165.0048
86.199997 93.654 165.0010
87.500000 93.694 165.3535
88.500000 93.790 165.1576
90.000000 93.843 164.1326
91.199997 93.807 163.5875
92.500000 93.789 163.2651
93.800003 93.778 162.7265
95.000000 93.724 162.1647
96.199997 93.652 161.7695
97.500000 93.587 161.4690
98.800003 93.563 161.1539
100.000000 93.554 160.6268
101.500000 93.516 160.0478
103.000000 93.513 159.6977
104.400002 93.519 159.1500
106.000000 93.461 158.4601
107.500000 93.373 158.0655
109.000000 93.291 157.7891
110.599998 93.218 157.6102
112.000000 93.185 157.4325
113.800003 93.142 157.0061
115.000000 93.103 156.7167
117.199997 93.024 156.2299
118.000000 92.994 156.0591
120.599998 92.894 155.5435
122.000000 92.848 155.2195
124.099998 92.773 154.6571
125.000000 92.739 154.4503
126.500000 92.685 154.2227
128.000000 92.632 154.1216
131.500000 92.447 154.2243
132.000000 92.423 154.2763
134.000000 92.370 154.1351
136.000000 92.312 153.4452
138.000000 92.246 152.9273
140.000000 92.192 152.6896
143.000000 92.101 152.5328
145.000000 92.033 152.4119
147.500000 91.959 152.2295
150.000000 91.912 152.0984
152.500000 91.878 151.7827
155.000000 91.823 151.3655
157.500000 91.765 150.9789
160.000000 91.703 150.6278
162.500000 91.630 150.3156
165.000000 91.552 150.0236
167.500000 91.478 149.7373
170.000000 91.408 149.4622
172.500000 91.338 149.2158
175.000000 91.264 148.9814
177.500000 91.187 148.7652
180.000000 91.111 148.5582
182.500000 91.035 148.3696
185.000000 90.960 148.1938
187.500000 90.886 148.0253
190.000000 90.812 147.8753
192.500000 90.738 147.7414
195.000000 90.664 147.5880
197.500000 90.590 147.3825
200.000000 90.517 147.2001
203.000000 90.442 147.1031
206.000000 90.370 147.0372
209.000000 90.294 146.9445
212.000000 90.220 146.8235
214.000000 90.169 146.7531
218.000000 90.062 146.6280
220.000000 90.008 146.5688
224.000000 89.907 146.4659
227.000000 89.831 146.4032
230.000000 89.751 146.3379
233.000000 89.674 146.2688
236.000000 89.601 146.2183
240.000000 89.506 146.1883
243.000000 89.432 146.1547
247.000000 89.330 146.0389
250.000000 89.256 145.9868
254.000000 89.164 146.0306
258.000000 89.074 146.0806
262.000000 88.984 146.0955
265.000000 88.917 146.0953
269.000000 88.832 146.1083
272.000000 88.769 146.1346
276.000000 88.684 146.1707
280.000000 88.600 146.2089
285.000000 88.498 146.2443
290.000000 88.397 146.3253
