* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -25.6 dBFS, measurement signal peak level -22.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 06/08/2023 6:35:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0621 ms (-21 mm, -0.84 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: FH11 Preproduction R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 58.834 67.7436
1.015000 59.172 65.1150
1.030000 59.506 62.5802
1.044000 59.814 60.3093
1.060000 60.158 57.8385
1.075000 60.472 55.6549
1.090000 60.777 53.6119
1.106000 61.091 51.5947
1.120000 61.367 49.9385
1.138000 61.727 47.9419
1.150000 61.969 46.6891
1.172000 62.416 44.5433
1.180000 62.579 43.8084
1.206000 63.114 41.5729
1.220000 63.402 40.4578
1.241000 63.836 38.8885
1.250000 64.021 38.2502
1.265000 64.330 37.2275
1.280000 64.637 36.2508
1.315000 65.347 34.1169
1.320000 65.448 33.8254
1.340000 65.846 32.6838
1.360000 66.238 31.5704
1.380000 66.623 30.4711
1.400000 67.000 29.3715
1.430000 67.547 27.6906
1.450000 67.898 26.5280
1.475000 68.320 25.0161
1.500000 68.728 23.5414
1.525000 69.124 22.1261
1.550000 69.509 20.7650
1.575000 69.883 19.4529
1.600000 70.246 18.1845
1.625000 70.600 16.9544
1.650000 70.946 15.7574
1.675000 71.283 14.5882
1.700000 71.613 13.4415
1.725000 71.936 12.3121
1.750000 72.253 11.1946
1.775000 72.564 10.0838
1.800000 72.871 8.9743
1.825000 73.174 7.8610
1.850000 73.471 6.7477
1.875000 73.761 5.6534
1.900000 74.043 4.5779
1.925000 74.318 3.5201
1.950000 74.585 2.4788
1.975000 74.846 1.4530
2.000000 75.101 0.4415
2.030000 75.400 -0.7547
2.060000 75.690 -1.9338
2.090000 75.974 -3.0976
2.120000 76.252 -4.2480
2.140000 76.434 -5.0084
2.180000 76.791 -6.5162
2.200000 76.967 -7.2646
2.240000 77.310 -8.7402
2.270000 77.557 -9.8261
2.300000 77.798 -10.8956
2.330000 78.031 -11.9499
2.360000 78.259 -12.9903
2.400000 78.553 -14.3581
2.430000 78.767 -15.3710
2.470000 79.045 -16.7068
2.500000 79.248 -17.6992
2.540000 79.514 -19.0122
2.580000 79.773 -20.3162
2.620000 80.023 -21.6112
2.650000 80.204 -22.5750
2.690000 80.437 -23.8477
2.720000 80.606 -24.7915
2.760000 80.826 -26.0332
2.800000 81.039 -27.2535
2.850000 81.296 -28.7442
2.900000 81.546 -30.1914
2.950000 81.788 -31.5897
3.000000 82.021 -32.9380
3.040000 82.199 -33.9842
3.070000 82.328 -34.7518
3.110000 82.496 -35.7548
3.150000 82.659 -36.7372
3.200000 82.857 -37.9406
3.250000 83.050 -39.1220
3.300000 83.239 -40.2869
3.350000 83.422 -41.4333
3.400000 83.598 -42.5564
3.450000 83.767 -43.6549
3.500000 83.931 -44.7275
3.550000 84.091 -45.7732
3.600000 84.248 -46.7906
3.650000 84.403 -47.7786
3.700000 84.556 -48.7326
3.750000 84.704 -49.6476
3.820000 84.906 -50.8753
3.870000 85.047 -51.7234
3.950000 85.267 -53.0492
4.000000 85.403 -53.8690
4.060000 85.565 -54.8505
4.120000 85.725 -55.8133
4.180000 85.881 -56.7577
4.250000 86.061 -57.8414
4.310000 86.212 -58.7591
4.370000 86.362 -59.6703
4.440000 86.534 -60.7254
4.500000 86.680 -61.6147
4.550000 86.799 -62.3479
4.620000 86.964 -63.3678
4.680000 87.103 -64.2411
4.750000 87.260 -65.2655
4.820000 87.414 -66.2989
4.870000 87.521 -67.0392
4.940000 87.669 -68.0769
5.000000 87.792 -68.9660
5.080000 87.950 -70.1481
5.150000 88.083 -71.1776
5.220000 88.210 -72.2081
5.300000 88.350 -73.3846
5.380000 88.484 -74.5530
5.450000 88.596 -75.5631
5.520000 88.702 -76.5582
5.600000 88.817 -77.6859
5.700000 88.952 -79.0763
5.800000 89.078 -80.4330
5.900000 89.197 -81.7447
6.000000 89.306 -83.0187
6.080000 89.388 -84.0096
6.150000 89.457 -84.8533
6.220000 89.525 -85.6732
6.300000 89.599 -86.5788
6.400000 89.687 -87.6669
6.500000 89.772 -88.7129
6.600000 89.857 -89.7242
6.700000 89.940 -90.6957
6.800000 90.021 -91.6287
6.900000 90.102 -92.5348
7.000000 90.184 -93.4232
7.100000 90.266 -94.2851
7.200000 90.348 -95.1263
7.300000 90.429 -95.9574
7.400000 90.510 -96.7837
7.500000 90.591 -97.5995
7.620000 90.687 -98.5669
7.750000 90.788 -99.6047
7.880000 90.886 -100.6324
8.000000 90.975 -101.5671
8.120000 91.060 -102.4843
8.250000 91.149 -103.4612
8.380000 91.236 -104.4161
8.500000 91.315 -105.2733
8.620000 91.391 -106.1083
8.750000 91.472 -106.9919
8.850000 91.535 -107.6576
9.000000 91.629 -108.6298
9.120000 91.703 -109.3949
9.250000 91.784 -110.2177
9.380000 91.864 -111.0303
9.500000 91.937 -111.7785
9.620000 92.009 -112.5295
9.750000 92.086 -113.3431
9.880000 92.159 -114.1540
10.000000 92.222 -114.9024
10.150000 92.298 -115.8342
10.300000 92.367 -116.7436
10.440000 92.426 -117.5756
10.600000 92.488 -118.4922
10.750000 92.541 -119.3053
10.900000 92.589 -120.0778
11.060000 92.641 -120.8491
11.200000 92.684 -121.4777
11.380000 92.742 -122.2408
11.500000 92.782 -122.7198
11.720000 92.860 -123.5617
11.800000 92.890 -123.8640
12.060000 92.993 -124.8330
12.200000 93.049 -125.3686
12.410000 93.135 -126.1883
12.500000 93.171 -126.5490
12.650000 93.229 -127.1639
12.800000 93.284 -127.7876
13.150000 93.395 -129.2617
13.200000 93.409 -129.4696
13.400000 93.460 -130.2955
13.600000 93.504 -131.0935
13.800000 93.541 -131.8567
14.000000 93.575 -132.5786
14.300000 93.620 -133.5831
14.500000 93.650 -134.2029
14.750000 93.690 -134.9396
15.000000 93.733 -135.6460
15.250000 93.780 -136.3521
15.500000 93.830 -137.0818
15.750000 93.879 -137.8470
16.000000 93.922 -138.6576
16.250000 93.955 -139.4876
16.500000 93.976 -140.3117
16.750000 93.984 -141.0878
17.000000 93.984 -141.7733
17.250000 93.983 -142.3629
17.500000 93.988 -142.8538
17.750000 94.005 -143.3007
18.000000 94.034 -143.7446
18.250000 94.072 -144.2317
18.500000 94.111 -144.7904
18.750000 94.145 -145.3965
19.000000 94.168 -146.0264
19.250000 94.182 -146.6122
19.500000 94.193 -147.1344
19.750000 94.207 -147.5827
20.000000 94.232 -147.9966
20.299999 94.278 -148.5388
20.600000 94.330 -149.2007
20.900000 94.371 -150.0061
21.200001 94.385 -150.8814
21.400000 94.377 -151.4112
21.799999 94.340 -152.2086
22.000000 94.326 -152.4534
22.400000 94.344 -152.7440
22.700001 94.407 -153.0297
23.000000 94.490 -153.6017
23.299999 94.556 -154.4860
23.600000 94.577 -155.5280
24.000000 94.524 -156.7593
24.299999 94.456 -157.2797
24.700001 94.402 -157.4128
25.000000 94.430 -157.3933
25.400000 94.544 -157.7666
25.799999 94.642 -158.9088
26.200001 94.618 -160.4104
26.500000 94.511 -161.2164
26.900000 94.322 -161.3079
27.200001 94.242 -160.6564
27.600000 94.314 -159.4811
28.000000 94.565 -159.0857
28.500000 94.875 -160.5865
29.000000 94.911 -163.3033
29.500000 94.654 -165.1342
30.000000 94.360 -164.8591
30.400000 94.310 -163.7514
30.700001 94.409 -163.1281
31.100000 94.622 -163.3164
31.500000 94.782 -164.7319
32.000000 94.755 -167.2364
32.500000 94.487 -168.9128
33.000000 94.178 -168.8088
33.500000 94.057 -167.5028
34.000000 94.177 -166.4199
34.500000 94.391 -166.4130
35.000000 94.561 -167.2451
35.500000 94.656 -168.2348
36.000000 94.727 -169.0611
36.500000 94.808 -169.8727
37.000000 94.880 -170.8958
37.500000 94.901 -172.0842
38.200001 94.820 -173.4650
38.700001 94.722 -173.9280
39.500000 94.620 -173.9309
40.000000 94.613 -173.8824
40.599998 94.625 -174.0684
41.200001 94.616 -174.4298
41.799999 94.590 -174.7381
42.500000 94.575 -175.0037
43.099998 94.583 -175.3133
43.700001 94.596 -175.7272
44.400002 94.613 -176.2718
45.000000 94.631 -176.8051
45.500000 94.640 -177.2950
46.200001 94.640 -177.9485
46.799999 94.638 -178.4394
47.500000 94.633 -179.0147
48.200001 94.609 -179.5402
48.700001 94.589 -179.8005
49.400002 94.585 179.8942
50.000000 94.595 179.4500
50.799999 94.561 178.6260
51.500000 94.482 178.1367
52.200001 94.422 177.9906
53.000000 94.413 177.8077
53.799999 94.416 177.3647
54.500000 94.404 176.9239
55.200001 94.387 176.5121
56.000000 94.365 176.0571
57.000000 94.331 175.5453
58.000000 94.298 175.0540
59.000000 94.261 174.5768
60.000000 94.233 174.1364
60.799999 94.219 173.7317
61.500000 94.205 173.3304
62.200001 94.184 172.9448
63.000000 94.161 172.5709
64.000000 94.140 172.1432
65.000000 94.116 171.7380
66.000000 94.091 171.3820
67.000000 94.066 171.0383
68.000000 94.044 170.6659
69.000000 94.016 170.2141
70.000000 93.976 169.7877
71.000000 93.939 169.3859
72.000000 93.901 169.0065
73.000000 93.871 168.6691
74.000000 93.845 168.2872
75.000000 93.814 167.9052
76.199997 93.778 167.4476
77.500000 93.729 166.9553
78.800003 93.682 166.5583
80.000000 93.645 166.1714
81.199997 93.603 165.7935
82.500000 93.557 165.4183
83.800003 93.512 165.0504
85.000000 93.471 164.6822
86.199997 93.423 164.3082
87.500000 93.369 163.9636
88.500000 93.332 163.7134
90.000000 93.281 163.3199
91.199997 93.241 163.0040
92.500000 93.200 162.6547
93.800003 93.156 162.2822
95.000000 93.105 161.9702
96.199997 93.052 161.7275
97.500000 93.004 161.4415
98.800003 92.953 161.0555
100.000000 92.899 160.6987
101.500000 92.839 160.3599
103.000000 92.791 160.0693
104.400002 92.731 159.8064
106.000000 92.629 159.6357
107.500000 92.547 159.5474
109.000000 92.492 159.1668
110.599998 92.421 158.5356
112.000000 92.331 158.1852
113.800003 92.226 158.2812
115.000000 92.173 158.3560
117.199997 92.055 158.4204
118.000000 92.028 158.4991
120.599998 91.994 158.9906
122.000000 91.973 159.5855
124.099998 91.891 159.9686
125.000000 91.812 159.6852
126.500000 91.679 158.9721
128.000000 91.763 158.3732
131.500000 93.187 155.8606
132.000000 93.347 154.9337
134.000000 93.142 152.4122
136.000000 92.314 155.1685
138.000000 91.812 157.6164
140.000000 91.605 157.6652
143.000000 91.588 156.4931
145.000000 91.594 156.5470
147.500000 91.526 156.6714
150.000000 91.432 156.2933
152.500000 91.377 155.6396
155.000000 91.307 155.2155
157.500000 91.228 154.8545
160.000000 91.157 154.4832
162.500000 91.080 154.2748
165.000000 90.990 154.1806
167.500000 90.906 153.9313
170.000000 90.823 153.6224
172.500000 90.746 153.4384
175.000000 90.671 153.3175
177.500000 90.596 153.2074
180.000000 90.525 153.1057
182.500000 90.457 152.9924
185.000000 90.385 152.8550
187.500000 90.310 152.7006
190.000000 90.235 152.5502
192.500000 90.160 152.4221
195.000000 90.087 152.3306
197.500000 90.018 152.2609
200.000000 89.950 152.2021
203.000000 89.860 152.1390
206.000000 89.767 152.0766
209.000000 89.682 152.0192
212.000000 89.598 151.9658
214.000000 89.540 151.9404
218.000000 89.426 151.9072
220.000000 89.370 151.9014
224.000000 89.259 151.9064
227.000000 89.179 151.9247
230.000000 89.104 151.9590
233.000000 89.029 152.0181
236.000000 88.950 152.0828
240.000000 88.843 152.1380
243.000000 88.769 152.1361
247.000000 88.680 152.0871
250.000000 88.608 152.0963
254.000000 88.504 152.2461
258.000000 88.405 152.3782
262.000000 88.312 152.5015
265.000000 88.245 152.5778
269.000000 88.146 152.6987
272.000000 88.076 152.8341
276.000000 87.994 152.9475
280.000000 87.904 153.0482
285.000000 87.795 153.3150
290.000000 87.686 153.5572
