* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -15.3 dBFS, measurement signal peak level -15.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 06/08/2023 6:24:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0726 ms (-25 mm, -0.98 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: FH11 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 66.709 14.6497
1.015000 66.859 14.8978
1.030000 67.011 15.1221
1.044000 67.153 15.3080
1.060000 67.315 15.4903
1.075000 67.466 15.6296
1.090000 67.617 15.7361
1.106000 67.778 15.8122
1.120000 67.920 15.8532
1.138000 68.108 15.8740
1.150000 68.234 15.8688
1.172000 68.471 15.8215
1.180000 68.558 15.7928
1.206000 68.845 15.6591
1.220000 69.001 15.5631
1.241000 69.237 15.3899
1.250000 69.339 15.3055
1.265000 69.510 15.1522
1.280000 69.681 14.9839
1.315000 70.082 14.5390
1.320000 70.139 14.4700
1.340000 70.368 14.1821
1.360000 70.596 13.8769
1.380000 70.822 13.5567
1.400000 71.046 13.2242
1.430000 71.378 12.7075
1.450000 71.594 12.3547
1.475000 71.860 11.9054
1.500000 72.124 11.4230
1.525000 72.388 10.9037
1.550000 72.650 10.3505
1.575000 72.911 9.7664
1.600000 73.170 9.1542
1.625000 73.428 8.5171
1.650000 73.684 7.8579
1.675000 73.938 7.1796
1.700000 74.189 6.4852
1.725000 74.438 5.7776
1.750000 74.684 5.0598
1.775000 74.928 4.3348
1.800000 75.168 3.6054
1.825000 75.404 2.8748
1.850000 75.638 2.1385
1.875000 75.868 1.3817
1.900000 76.096 0.6059
1.925000 76.321 -0.1867
1.950000 76.543 -0.9939
1.975000 76.763 -1.8134
2.000000 76.980 -2.6432
2.030000 77.237 -3.6491
2.060000 77.491 -4.6628
2.090000 77.741 -5.6803
2.120000 77.988 -6.6977
2.140000 78.150 -7.3742
2.180000 78.472 -8.7175
2.200000 78.630 -9.3822
2.240000 78.943 -10.7135
2.270000 79.172 -11.7182
2.300000 79.399 -12.7268
2.330000 79.621 -13.7380
2.360000 79.841 -14.7508
2.400000 80.128 -16.1012
2.430000 80.340 -17.1126
2.470000 80.619 -18.4568
2.500000 80.824 -19.4602
2.540000 81.095 -20.7893
2.580000 81.361 -22.1066
2.620000 81.621 -23.4183
2.650000 81.813 -24.3992
2.690000 82.065 -25.7026
2.720000 82.250 -26.6766
2.760000 82.493 -27.9699
2.800000 82.731 -29.2566
2.850000 83.023 -30.8548
2.900000 83.309 -32.4406
2.950000 83.590 -34.0132
3.000000 83.863 -35.5754
3.040000 84.077 -36.8178
3.070000 84.235 -37.7448
3.110000 84.442 -38.9743
3.150000 84.644 -40.1957
3.200000 84.892 -41.7104
3.250000 85.135 -43.2108
3.300000 85.372 -44.6960
3.350000 85.603 -46.1654
3.400000 85.829 -47.6198
3.450000 86.048 -49.0602
3.500000 86.262 -50.4873
3.550000 86.470 -51.9019
3.600000 86.673 -53.3051
3.650000 86.870 -54.6975
3.700000 87.061 -56.0804
3.750000 87.247 -57.4543
3.820000 87.498 -59.3595
3.870000 87.671 -60.7051
3.950000 87.936 -62.8274
4.000000 88.094 -64.1319
4.060000 88.276 -65.6742
4.120000 88.451 -67.1967
4.180000 88.617 -68.6981
4.250000 88.801 -70.4193
4.310000 88.950 -71.8653
4.370000 89.092 -73.2813
4.440000 89.248 -74.8963
4.500000 89.373 -76.2561
4.550000 89.471 -77.3691
4.620000 89.599 -78.8903
4.680000 89.702 -80.1543
4.750000 89.815 -81.5753
4.820000 89.919 -82.9392
4.870000 89.986 -83.8842
4.940000 90.073 -85.1624
5.000000 90.142 -86.2128
5.080000 90.227 -87.5426
5.150000 90.297 -88.6344
5.220000 90.359 -89.6616
5.300000 90.423 -90.7592
5.380000 90.481 -91.7770
5.450000 90.530 -92.6034
5.520000 90.580 -93.3695
5.600000 90.634 -94.1591
5.700000 90.698 -95.0333
5.800000 90.763 -95.8118
5.900000 90.836 -96.5184
6.000000 90.913 -97.1200
6.080000 90.978 -97.5448
6.150000 91.038 -97.8960
6.220000 91.101 -98.2450
6.300000 91.178 -98.6333
6.400000 91.280 -99.0825
6.500000 91.388 -99.5231
6.600000 91.496 -99.9896
6.700000 91.608 -100.4818
6.800000 91.723 -100.9886
6.900000 91.836 -101.5164
7.000000 91.944 -102.0721
7.100000 92.050 -102.6608
7.200000 92.152 -103.2695
7.300000 92.248 -103.8830
7.400000 92.337 -104.4971
7.500000 92.420 -105.1224
7.620000 92.512 -105.8649
7.750000 92.605 -106.6320
7.880000 92.689 -107.3695
8.000000 92.762 -108.0217
8.120000 92.834 -108.6380
8.250000 92.910 -109.2622
8.380000 92.987 -109.8652
8.500000 93.061 -110.4160
8.620000 93.138 -110.9495
8.750000 93.224 -111.5405
8.850000 93.292 -112.0221
9.000000 93.398 -112.7701
9.120000 93.482 -113.4068
9.250000 93.571 -114.1513
9.380000 93.658 -114.9453
9.500000 93.734 -115.7122
9.620000 93.803 -116.5132
9.750000 93.871 -117.4203
9.880000 93.931 -118.3354
10.000000 93.977 -119.1818
10.150000 94.025 -120.2443
10.300000 94.064 -121.2640
10.440000 94.091 -122.1794
10.600000 94.116 -123.1704
10.750000 94.138 -124.0270
10.900000 94.157 -124.8235
11.060000 94.184 -125.6187
11.200000 94.210 -126.2620
11.380000 94.252 -127.0639
11.500000 94.287 -127.5857
11.720000 94.359 -128.5461
11.800000 94.388 -128.9098
12.060000 94.488 -130.1336
12.200000 94.541 -130.8358
12.410000 94.617 -131.9341
12.500000 94.645 -132.4110
12.650000 94.687 -133.2243
12.800000 94.722 -134.0266
13.150000 94.773 -135.7837
13.200000 94.777 -136.0104
13.400000 94.788 -136.8538
13.600000 94.796 -137.5757
13.800000 94.805 -138.1610
14.000000 94.822 -138.6443
14.300000 94.870 -139.2125
14.500000 94.921 -139.5525
14.750000 94.998 -140.0112
15.000000 95.089 -140.5443
15.250000 95.178 -141.1906
15.500000 95.258 -141.9198
15.750000 95.323 -142.7056
16.000000 95.369 -143.4904
16.250000 95.401 -144.2271
16.500000 95.422 -144.8989
16.750000 95.440 -145.4937
17.000000 95.459 -146.0406
17.250000 95.481 -146.5619
17.500000 95.507 -147.0874
17.750000 95.533 -147.6396
18.000000 95.557 -148.2175
18.250000 95.578 -148.8191
18.500000 95.593 -149.4251
18.750000 95.605 -150.0264
19.000000 95.613 -150.6143
19.250000 95.621 -151.1878
19.500000 95.629 -151.7515
19.750000 95.638 -152.3084
20.000000 95.647 -152.8617
20.299999 95.657 -153.5155
20.600000 95.668 -154.1513
20.900000 95.679 -154.7624
21.200001 95.694 -155.3478
21.400000 95.705 -155.7296
21.799999 95.733 -156.4875
22.000000 95.748 -156.8691
22.400000 95.776 -157.6395
22.700001 95.793 -158.2096
23.000000 95.805 -158.7521
23.299999 95.815 -159.2520
23.600000 95.825 -159.7083
24.000000 95.843 -160.2684
24.299999 95.859 -160.6821
24.700001 95.883 -161.2621
25.000000 95.897 -161.7271
25.400000 95.905 -162.3655
25.799999 95.897 -162.9686
26.200001 95.881 -163.4836
26.500000 95.870 -163.8064
26.900000 95.863 -164.1819
27.200001 95.866 -164.4599
27.600000 95.880 -164.8719
28.000000 95.897 -165.3569
28.500000 95.916 -166.0530
29.000000 95.926 -166.8015
29.500000 95.927 -167.5583
30.000000 95.923 -168.2866
30.400000 95.920 -168.8380
30.700001 95.919 -169.2417
31.100000 95.922 -169.7953
31.500000 95.922 -170.3876
32.000000 95.905 -171.1505
32.500000 95.864 -171.8000
33.000000 95.820 -172.1976
33.500000 95.803 -172.3885
34.000000 95.827 -172.6003
34.500000 95.869 -173.0229
35.000000 95.896 -173.6328
35.500000 95.895 -174.2546
36.000000 95.881 -174.7637
36.500000 95.871 -175.1779
37.000000 95.870 -175.5827
37.500000 95.871 -176.0218
38.200001 95.866 -176.6719
38.700001 95.855 -177.1328
39.500000 95.827 -177.8025
40.000000 95.810 -178.1465
40.599998 95.801 -178.5195
41.200001 95.803 -178.9502
41.799999 95.803 -179.4694
42.500000 95.787 179.9087
43.099998 95.769 179.4283
43.700001 95.752 178.9830
44.400002 95.735 178.4955
45.000000 95.728 178.0921
45.500000 95.726 177.7220
46.200001 95.715 177.1348
46.799999 95.689 176.6700
47.500000 95.664 176.2588
48.200001 95.657 175.8059
48.700001 95.646 175.3759
49.400002 95.599 174.7997
50.000000 95.549 174.5272
50.799999 95.528 174.3240
51.500000 95.541 173.9384
52.200001 95.536 173.3649
53.000000 95.503 172.7886
53.799999 95.475 172.3638
54.500000 95.462 171.9844
55.200001 95.448 171.5674
56.000000 95.423 171.1192
57.000000 95.395 170.6058
58.000000 95.363 170.0591
59.000000 95.324 169.5348
60.000000 95.286 168.9861
60.799999 95.246 168.5501
61.500000 95.211 168.2410
62.200001 95.187 167.9535
63.000000 95.167 167.5519
64.000000 95.129 166.9937
65.000000 95.080 166.5130
66.000000 95.032 166.1014
67.000000 94.986 165.7444
68.000000 94.950 165.3792
69.000000 94.913 164.9501
70.000000 94.868 164.5072
71.000000 94.823 164.0799
72.000000 94.778 163.6427
73.000000 94.732 163.2090
74.000000 94.686 162.7988
75.000000 94.641 162.4023
76.199997 94.587 161.9483
77.500000 94.519 161.4705
78.800003 94.442 161.0662
80.000000 94.374 160.6698
81.199997 94.296 160.1901
82.500000 94.197 159.6908
83.800003 94.093 159.3399
85.000000 94.005 159.2183
86.199997 93.940 159.2556
87.500000 93.864 159.1786
88.500000 93.759 159.1655
90.000000 93.550 159.5397
91.199997 93.387 160.2587
92.500000 93.292 161.3365
93.800003 93.343 162.5004
95.000000 93.559 163.1580
96.199997 93.841 162.8828
97.500000 94.103 161.6761
98.800003 94.185 159.9596
100.000000 94.104 159.1339
101.500000 94.046 158.9827
103.000000 94.030 158.5180
104.400002 93.986 157.8435
106.000000 93.919 157.0419
107.500000 93.841 156.3861
109.000000 93.785 155.9555
110.599998 93.753 155.3843
112.000000 93.696 154.8170
113.800003 93.602 154.4473
115.000000 93.563 154.2569
117.199997 93.481 153.6947
118.000000 93.449 153.5247
120.599998 93.379 152.8646
122.000000 93.325 152.4851
124.099998 93.222 152.0145
125.000000 93.170 151.7924
126.500000 93.085 151.3823
128.000000 93.027 150.9555
131.500000 93.111 149.9114
132.000000 93.129 149.6796
134.000000 93.057 148.8658
136.000000 92.843 149.1335
138.000000 92.678 149.4987
140.000000 92.564 149.3134
143.000000 92.453 148.7592
145.000000 92.387 148.5742
147.500000 92.274 148.4455
150.000000 92.163 148.2955
152.500000 92.095 148.0446
155.000000 92.035 147.7839
157.500000 91.966 147.5633
160.000000 91.894 147.3302
162.500000 91.817 147.0851
165.000000 91.731 146.8612
167.500000 91.651 146.6301
170.000000 91.579 146.3219
172.500000 91.504 146.0507
175.000000 91.428 145.8633
177.500000 91.353 145.6903
180.000000 91.276 145.5030
182.500000 91.198 145.3161
185.000000 91.119 145.1300
187.500000 91.039 144.9537
190.000000 90.961 144.8015
192.500000 90.885 144.6759
195.000000 90.806 144.5406
197.500000 90.723 144.3773
200.000000 90.641 144.2513
203.000000 90.556 144.1796
206.000000 90.476 144.1138
209.000000 90.394 144.0205
212.000000 90.310 143.9118
214.000000 90.255 143.8484
218.000000 90.143 143.7482
220.000000 90.087 143.7159
224.000000 89.974 143.6583
227.000000 89.891 143.6090
230.000000 89.812 143.5591
233.000000 89.734 143.5074
236.000000 89.656 143.4561
240.000000 89.558 143.4131
243.000000 89.485 143.3801
247.000000 89.384 143.3026
250.000000 89.306 143.2625
254.000000 89.201 143.3030
258.000000 89.102 143.3476
262.000000 89.008 143.3566
265.000000 88.936 143.3772
269.000000 88.839 143.4145
272.000000 88.767 143.4485
276.000000 88.676 143.4985
280.000000 88.586 143.5598
285.000000 88.476 143.6569
290.000000 88.365 143.7604
295.000000 88.258 143.8788
