* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18/01/2023 7:43:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FH15 Balanced L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 73.473 64.6568
1.015000 73.571 62.5687
1.030000 73.680 60.5326
1.044000 73.791 58.6671
1.060000 73.928 56.5749
1.075000 74.067 54.6505
1.090000 74.213 52.7607
1.106000 74.377 50.7813
1.120000 74.527 49.0789
1.138000 74.728 46.9287
1.150000 74.866 45.5183
1.172000 75.125 42.9778
1.180000 75.221 42.0679
1.206000 75.539 39.1579
1.220000 75.712 37.6192
1.241000 75.972 35.3452
1.250000 76.084 34.3823
1.265000 76.269 32.7919
1.280000 76.453 31.2183
1.315000 76.870 27.6043
1.320000 76.929 27.0938
1.340000 77.156 25.0645
1.360000 77.376 23.0581
1.380000 77.599 21.0877
1.400000 77.823 19.1538
1.430000 78.162 16.3205
1.450000 78.389 14.4762
1.475000 78.673 12.2204
1.500000 78.956 10.0190
1.525000 79.238 7.8714
1.550000 79.518 5.7767
1.575000 79.794 3.7343
1.600000 80.066 1.7437
1.625000 80.333 -0.1961
1.650000 80.593 -2.0856
1.675000 80.847 -3.9254
1.700000 81.094 -5.7072
1.725000 81.336 -7.4088
1.750000 81.575 -9.0366
1.775000 81.809 -10.5986
1.800000 82.039 -12.1026
1.825000 82.265 -13.5566
1.850000 82.487 -14.9685
1.875000 82.705 -16.3463
1.900000 82.919 -17.6979
1.925000 83.129 -19.0312
1.950000 83.335 -20.3541
1.975000 83.536 -21.6747
2.000000 83.733 -23.0007
2.030000 83.964 -24.6064
2.060000 84.189 -26.1954
2.090000 84.407 -27.7583
2.120000 84.618 -29.2964
2.140000 84.756 -30.3085
2.180000 85.024 -32.3025
2.200000 85.154 -33.2851
2.240000 85.407 -35.2228
2.270000 85.591 -36.6536
2.300000 85.770 -38.0663
2.330000 85.945 -39.4620
2.360000 86.116 -40.8418
2.400000 86.335 -42.6522
2.430000 86.493 -43.9865
2.470000 86.696 -45.7352
2.500000 86.842 -47.0244
2.540000 87.030 -48.7144
2.580000 87.210 -50.3723
2.620000 87.382 -51.9992
2.650000 87.507 -53.1996
2.690000 87.669 -54.7746
2.720000 87.786 -55.9348
2.760000 87.934 -57.4502
2.800000 88.074 -58.9318
2.850000 88.240 -60.7400
2.900000 88.395 -62.5042
2.950000 88.541 -64.2293
3.000000 88.679 -65.9204
3.040000 88.784 -67.2520
3.070000 88.859 -68.2403
3.110000 88.953 -69.5423
3.150000 89.041 -70.8231
3.200000 89.143 -72.3886
3.250000 89.238 -73.9082
3.300000 89.327 -75.3749
3.350000 89.411 -76.7816
3.400000 89.491 -78.1229
3.450000 89.563 -79.4025
3.500000 89.628 -80.6259
3.550000 89.687 -81.7986
3.600000 89.743 -82.9259
3.650000 89.797 -84.0133
3.700000 89.851 -85.0660
3.750000 89.902 -86.0815
3.820000 89.966 -87.4309
3.870000 90.009 -88.3454
3.950000 90.076 -89.7274
4.000000 90.120 -90.5430
4.060000 90.176 -91.4728
4.120000 90.232 -92.3286
4.180000 90.288 -93.1208
4.250000 90.356 -93.9904
4.310000 90.418 -94.7107
4.370000 90.484 -95.4280
4.440000 90.567 -96.2486
4.500000 90.643 -96.9206
4.550000 90.708 -97.4683
4.620000 90.803 -98.2317
4.680000 90.887 -98.8972
4.750000 90.987 -99.6963
4.820000 91.094 -100.4963
4.870000 91.172 -101.0720
4.940000 91.282 -101.8931
5.000000 91.377 -102.6193
5.080000 91.499 -103.6317
5.150000 91.607 -104.5541
5.220000 91.715 -105.5049
5.300000 91.834 -106.6208
5.380000 91.946 -107.7622
5.450000 92.038 -108.7883
5.520000 92.126 -109.8441
5.600000 92.221 -111.0703
5.700000 92.327 -112.6033
5.800000 92.418 -114.1290
5.900000 92.496 -115.6658
6.000000 92.561 -117.1754
6.080000 92.605 -118.3386
6.150000 92.635 -119.3367
6.220000 92.660 -120.3154
6.300000 92.682 -121.3972
6.400000 92.704 -122.6719
6.500000 92.719 -123.8583
6.600000 92.726 -124.9665
6.700000 92.733 -125.9950
6.800000 92.742 -126.9375
6.900000 92.749 -127.7912
7.000000 92.760 -128.5793
7.100000 92.778 -129.3225
7.200000 92.802 -129.9995
7.300000 92.832 -130.6325
7.400000 92.868 -131.2593
7.500000 92.912 -131.8816
7.620000 92.974 -132.6125
7.750000 93.045 -133.4344
7.880000 93.122 -134.3014
8.000000 93.194 -135.1313
8.120000 93.261 -135.9943
8.250000 93.330 -136.9758
8.380000 93.392 -137.9727
8.500000 93.438 -138.8894
8.620000 93.475 -139.8119
8.750000 93.506 -140.7693
8.850000 93.522 -141.4678
9.000000 93.535 -142.4590
9.120000 93.542 -143.1714
9.250000 93.544 -143.8593
9.380000 93.545 -144.4691
9.500000 93.550 -144.9608
9.620000 93.558 -145.3807
9.750000 93.573 -145.7936
9.880000 93.598 -146.1692
10.000000 93.628 -146.4870
10.150000 93.675 -146.9092
10.300000 93.734 -147.3495
10.440000 93.793 -147.8101
10.600000 93.865 -148.4157
10.750000 93.931 -149.0496
10.900000 93.990 -149.7565
11.060000 94.045 -150.5733
11.200000 94.081 -151.3149
11.380000 94.113 -152.3044
11.500000 94.124 -152.9480
11.720000 94.123 -154.1010
11.800000 94.119 -154.4930
12.060000 94.087 -155.6654
12.200000 94.066 -156.2219
12.410000 94.030 -156.9617
12.500000 94.017 -157.2536
12.650000 93.996 -157.7002
12.800000 93.979 -158.1260
13.150000 93.955 -159.0826
13.200000 93.953 -159.2224
13.400000 93.947 -159.7906
13.600000 93.941 -160.3864
13.800000 93.933 -161.0016
14.000000 93.922 -161.6268
14.300000 93.898 -162.5440
14.500000 93.880 -163.1272
14.750000 93.857 -163.8109
15.000000 93.838 -164.4540
15.250000 93.826 -165.0771
15.500000 93.821 -165.6994
15.750000 93.819 -166.3416
16.000000 93.818 -167.0064
16.250000 93.815 -167.6808
16.500000 93.808 -168.3485
16.750000 93.797 -168.9852
17.000000 93.785 -169.5754
17.250000 93.774 -170.1191
17.500000 93.767 -170.6221
17.750000 93.765 -171.1018
18.000000 93.766 -171.5770
18.250000 93.770 -172.0564
18.500000 93.773 -172.5447
18.750000 93.774 -173.0373
19.000000 93.772 -173.5239
19.250000 93.767 -173.9982
19.500000 93.759 -174.4550
19.750000 93.749 -174.8941
20.000000 93.738 -175.3191
20.299999 93.723 -175.8134
20.600000 93.705 -176.2910
20.900000 93.684 -176.7480
21.200001 93.663 -177.1801
21.400000 93.649 -177.4548
21.799999 93.625 -177.9907
22.000000 93.615 -178.2634
22.400000 93.598 -178.8399
22.700001 93.584 -179.3081
23.000000 93.566 -179.7981
23.299999 93.544 179.7078
23.600000 93.518 179.2288
24.000000 93.481 178.6334
24.299999 93.454 178.2184
24.700001 93.422 177.6925
25.000000 93.401 177.3093
25.400000 93.376 176.8106
25.799999 93.352 176.3341
26.200001 93.332 175.8846
26.500000 93.320 175.5597
26.900000 93.308 175.1241
27.200001 93.301 174.7827
27.600000 93.291 174.2979
28.000000 93.273 173.7875
28.500000 93.236 173.1624
29.000000 93.184 172.6337
29.500000 93.132 172.2430
30.000000 93.094 171.9276
30.400000 93.077 171.6449
30.700001 93.067 171.3807
31.100000 93.049 170.9577
31.500000 93.020 170.4997
32.000000 92.970 169.9726
32.500000 92.917 169.5415
33.000000 92.875 169.1552
33.500000 92.841 168.7452
34.000000 92.809 168.3027
34.500000 92.774 167.8571
35.000000 92.740 167.4193
35.500000 92.704 166.9818
36.000000 92.663 166.5640
36.500000 92.618 166.2069
37.000000 92.580 165.9116
37.500000 92.551 165.6153
38.200001 92.512 165.0893
38.700001 92.470 164.6724
39.500000 92.381 164.1613
40.000000 92.332 163.9622
40.599998 92.292 163.7191
41.200001 92.260 163.3706
41.799999 92.220 162.9529
42.500000 92.164 162.5021
43.099998 92.119 162.1499
43.700001 92.077 161.7757
44.400002 92.019 161.3563
45.000000 91.968 161.0842
45.500000 91.932 160.8961
46.200001 91.888 160.6269
46.799999 91.847 160.4392
47.500000 91.813 160.3300
48.200001 91.812 160.1202
48.700001 91.809 159.7690
49.400002 91.759 159.1475
50.000000 91.675 158.7925
50.799999 91.574 158.6784
51.500000 91.521 158.5986
52.200001 91.472 158.3626
53.000000 91.400 158.0565
53.799999 91.327 157.8243
54.500000 91.276 157.6072
55.200001 91.227 157.3203
56.000000 91.165 156.9589
57.000000 91.082 156.5914
58.000000 91.008 156.2875
59.000000 90.937 156.0843
60.000000 90.891 155.9526
60.799999 90.859 155.7302
61.500000 90.815 155.5292
62.200001 90.766 155.4355
63.000000 90.730 155.3942
64.000000 90.709 155.1451
65.000000 90.658 154.6517
66.000000 90.575 154.3603
67.000000 90.526 154.1223
68.000000 90.457 153.6003
69.000000 90.336 153.2971
70.000000 90.232 153.2828
71.000000 90.149 153.2943
72.000000 90.084 153.3299
73.000000 90.046 153.2452
74.000000 90.009 152.9458
75.000000 89.952 152.5453
76.199997 89.863 152.1832
77.500000 89.778 152.0276
78.800003 89.719 151.9598
80.000000 89.674 151.8795
81.199997 89.618 151.7432
82.500000 89.536 151.6620
83.800003 89.457 151.6157
85.000000 89.384 151.4559
86.199997 89.300 151.2672
87.500000 89.214 151.1213
88.500000 89.161 151.0243
90.000000 89.088 150.8850
91.199997 89.031 150.8514
92.500000 88.973 150.8978
93.800003 88.920 150.9012
95.000000 88.857 150.8153
96.199997 88.778 150.7083
97.500000 88.682 150.6180
98.800003 88.591 150.6052
100.000000 88.524 150.6223
101.500000 88.459 150.5732
103.000000 88.389 150.4749
104.400002 88.315 150.4229
106.000000 88.229 150.3929
107.500000 88.149 150.4005
109.000000 88.078 150.4426
110.599998 88.002 150.4792
112.000000 87.930 150.6036
113.800003 87.851 150.8321
115.000000 87.800 150.8755
117.199997 87.679 150.9475
118.000000 87.638 151.0106
120.599998 87.531 151.3627
122.000000 87.501 151.6083
124.099998 87.460 151.8570
125.000000 87.436 151.9538
126.500000 87.393 152.1221
128.000000 87.349 152.2562
131.500000 87.258 152.4515
132.000000 87.245 152.4505
134.000000 87.183 152.3802
136.000000 87.104 152.3075
138.000000 87.016 152.3002
140.000000 86.932 152.4139
143.000000 86.820 152.7239
145.000000 86.742 153.0120
147.500000 86.646 153.5764
150.000000 86.571 154.2538
152.500000 86.517 154.9854
155.000000 86.512 155.7304
157.500000 86.565 156.2897
160.000000 86.645 156.4789
162.500000 86.707 156.2651
165.000000 86.727 155.8503
167.500000 86.713 155.4227
170.000000 86.673 155.0844
172.500000 86.617 154.8595
175.000000 86.550 154.7029
177.500000 86.481 154.5963
180.000000 86.411 154.5292
182.500000 86.344 154.5226
185.000000 86.283 154.5581
187.500000 86.225 154.5925
190.000000 86.167 154.6401
192.500000 86.108 154.7081
195.000000 86.051 154.8016
197.500000 85.999 154.9186
200.000000 85.950 155.0276
203.000000 85.888 155.1352
206.000000 85.827 155.2452
209.000000 85.769 155.3677
212.000000 85.711 155.5079
214.000000 85.674 155.5968
218.000000 85.601 155.7677
220.000000 85.567 155.8667
224.000000 85.499 156.0737
227.000000 85.447 156.2375
230.000000 85.397 156.4106
233.000000 85.350 156.5793
236.000000 85.303 156.7398
240.000000 85.239 156.9564
243.000000 85.196 157.1264
247.000000 85.141 157.3648
250.000000 85.099 157.5392
254.000000 85.045 157.7449
258.000000 84.992 157.9725
262.000000 84.942 158.2262
265.000000 84.905 158.3994
269.000000 84.855 158.6026
272.000000 84.820 158.7571
276.000000 84.771 158.9709
280.000000 84.723 159.1745
285.000000 84.665 159.4557
290.000000 84.610 159.7442
295.000000 84.564 160.0090
300.000000 84.516 160.2900
304.000000 84.476 160.5244
307.000000 84.446 160.6992
311.000000 84.408 160.9232
315.000000 84.370 161.1417
320.000000 84.323 161.4104
325.000000 84.276 161.6833
330.000000 84.233 161.9441
