* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18/01/2023 7:40:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FH15 Balanced R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 66.489 99.7915
1.015000 66.487 96.8471
1.030000 66.528 93.7914
1.044000 66.601 90.8232
1.060000 66.722 87.3097
1.075000 66.871 83.9140
1.090000 67.050 80.4354
1.106000 67.271 76.6504
1.120000 67.488 73.2896
1.138000 67.796 68.9224
1.150000 68.016 65.9938
1.172000 68.448 60.6183
1.180000 68.612 58.6691
1.206000 69.166 52.3916
1.220000 69.474 49.0678
1.241000 69.942 44.1898
1.250000 70.143 42.1476
1.265000 70.477 38.8208
1.280000 70.808 35.6030
1.315000 71.549 28.6040
1.320000 71.649 27.6706
1.340000 72.037 24.1255
1.360000 72.405 20.8706
1.380000 72.784 17.8112
1.400000 73.174 14.9308
1.430000 73.776 10.9228
1.450000 74.185 8.4435
1.475000 74.701 5.5425
1.500000 75.220 2.8424
1.525000 75.738 0.3222
1.550000 76.250 -2.0387
1.575000 76.752 -4.2613
1.600000 77.242 -6.3662
1.625000 77.714 -8.3743
1.650000 78.166 -10.3063
1.675000 78.592 -12.1830
1.700000 78.993 -13.9697
1.725000 79.377 -15.5348
1.750000 79.746 -16.8978
1.775000 80.101 -18.0876
1.800000 80.442 -19.1331
1.825000 80.771 -20.0635
1.850000 81.089 -20.9076
1.875000 81.397 -21.6944
1.900000 81.695 -22.4529
1.925000 81.986 -23.2120
1.950000 82.270 -24.0007
1.975000 82.548 -24.8479
2.000000 82.821 -25.7827
2.030000 83.143 -27.0500
2.060000 83.452 -28.3918
2.090000 83.748 -29.7713
2.120000 84.032 -31.1776
2.140000 84.215 -32.1246
2.180000 84.566 -34.0268
2.200000 84.735 -34.9756
2.240000 85.062 -36.8522
2.270000 85.298 -38.2288
2.300000 85.528 -39.5668
2.330000 85.752 -40.8552
2.360000 85.972 -42.0835
2.400000 86.254 -43.6393
2.430000 86.455 -44.7574
2.470000 86.711 -46.1936
2.500000 86.894 -47.2369
2.540000 87.128 -48.5935
2.580000 87.351 -49.9226
2.620000 87.565 -51.2372
2.650000 87.720 -52.2216
2.690000 87.920 -53.5424
2.720000 88.065 -54.5380
2.760000 88.248 -55.8571
2.800000 88.420 -57.1642
2.850000 88.623 -58.7775
2.900000 88.812 -60.3637
2.950000 88.990 -61.9180
3.000000 89.159 -63.4356
3.040000 89.289 -64.6208
3.070000 89.381 -65.4989
3.110000 89.496 -66.6565
3.150000 89.604 -67.7957
3.200000 89.730 -69.1877
3.250000 89.847 -70.5374
3.300000 89.958 -71.8372
3.350000 90.065 -73.0796
3.400000 90.166 -74.2567
3.450000 90.259 -75.3684
3.500000 90.344 -76.4245
3.550000 90.423 -77.4351
3.600000 90.499 -78.4101
3.650000 90.573 -79.3597
3.700000 90.647 -80.2940
3.750000 90.719 -81.2099
3.820000 90.814 -82.4446
3.870000 90.878 -83.2933
3.950000 90.982 -84.5954
4.000000 91.048 -85.3753
4.060000 91.131 -86.2744
4.120000 91.216 -87.1067
4.180000 91.303 -87.8878
4.250000 91.405 -88.7705
4.310000 91.496 -89.5333
4.370000 91.590 -90.3301
4.440000 91.704 -91.2952
4.500000 91.806 -92.1290
4.550000 91.892 -92.8345
4.620000 92.015 -93.8473
4.680000 92.119 -94.7475
4.750000 92.239 -95.8407
4.820000 92.362 -96.9665
4.870000 92.451 -97.7927
4.940000 92.572 -98.9855
5.000000 92.671 -100.0461
5.080000 92.794 -101.5241
5.150000 92.897 -102.8838
5.220000 92.996 -104.2932
5.300000 93.098 -105.9460
5.380000 93.186 -107.6223
5.450000 93.252 -109.1174
5.520000 93.308 -110.6515
5.600000 93.360 -112.4231
5.700000 93.403 -114.6148
5.800000 93.419 -116.7704
5.900000 93.412 -118.9221
6.000000 93.381 -120.9939
6.080000 93.342 -122.5455
6.150000 93.293 -123.8567
6.220000 93.233 -125.1188
6.300000 93.154 -126.4658
6.400000 93.048 -127.9465
6.500000 92.927 -129.2059
6.600000 92.793 -130.2616
6.700000 92.665 -131.0870
6.800000 92.552 -131.6476
6.900000 92.441 -131.9447
7.000000 92.352 -132.0519
7.100000 92.303 -132.0307
7.200000 92.288 -131.7966
7.300000 92.306 -131.4495
7.400000 92.363 -131.1502
7.500000 92.466 -130.9001
7.620000 92.640 -130.6292
7.750000 92.864 -130.6076
7.880000 93.126 -130.9282
8.000000 93.390 -131.4888
8.120000 93.643 -132.3391
8.250000 93.914 -133.6129
8.380000 94.166 -135.1506
8.500000 94.364 -136.7524
8.620000 94.536 -138.5573
8.750000 94.685 -140.5954
8.850000 94.769 -142.2060
9.000000 94.850 -144.6906
9.120000 94.876 -146.6051
9.250000 94.864 -148.6309
9.380000 94.815 -150.5403
9.500000 94.744 -152.1247
9.620000 94.643 -153.5693
9.750000 94.517 -154.9192
9.880000 94.375 -156.0108
10.000000 94.232 -156.8094
10.150000 94.059 -157.5275
10.300000 93.891 -157.9140
10.440000 93.754 -158.0795
10.600000 93.629 -158.0401
10.750000 93.541 -157.8814
10.900000 93.488 -157.7056
11.060000 93.464 -157.5091
11.200000 93.460 -157.4411
11.380000 93.481 -157.4681
11.500000 93.496 -157.5854
11.720000 93.530 -158.0000
11.800000 93.538 -158.1895
12.060000 93.548 -158.9575
12.200000 93.541 -159.3863
12.410000 93.516 -160.0328
12.500000 93.503 -160.2812
12.650000 93.476 -160.6628
12.800000 93.452 -160.9998
13.150000 93.418 -161.6115
13.200000 93.417 -161.6893
13.400000 93.428 -161.9930
13.600000 93.460 -162.3590
13.800000 93.510 -162.8068
14.000000 93.571 -163.3852
14.300000 93.666 -164.4876
14.500000 93.724 -165.3509
14.750000 93.779 -166.5242
15.000000 93.815 -167.6925
15.250000 93.834 -168.7804
15.500000 93.845 -169.7339
15.750000 93.858 -170.5208
16.000000 93.883 -171.1704
16.250000 93.923 -171.7319
16.500000 93.979 -172.2542
16.750000 94.046 -172.7914
17.000000 94.113 -173.3593
17.250000 94.174 -173.9409
17.500000 94.224 -174.5101
17.750000 94.261 -175.0211
18.000000 94.289 -175.4425
18.250000 94.311 -175.7718
18.500000 94.333 -176.0175
18.750000 94.358 -176.2152
19.000000 94.383 -176.4055
19.250000 94.407 -176.6112
19.500000 94.426 -176.8478
19.750000 94.434 -177.1111
20.000000 94.430 -177.3814
20.299999 94.411 -177.6938
20.600000 94.379 -177.9754
20.900000 94.339 -178.2274
21.200001 94.294 -178.4678
21.400000 94.263 -178.6322
21.799999 94.197 -178.9829
22.000000 94.163 -179.1689
22.400000 94.094 -179.5586
22.700001 94.047 -179.8727
23.000000 94.007 179.7742
23.299999 93.974 179.3579
23.600000 93.945 178.8609
24.000000 93.904 178.0800
24.299999 93.868 177.4461
24.700001 93.810 176.6189
25.000000 93.765 176.0618
25.400000 93.713 175.4318
25.799999 93.681 174.9005
26.200001 93.674 174.3907
26.500000 93.680 173.9739
26.900000 93.693 173.3370
27.200001 93.697 172.8045
27.600000 93.684 172.0859
28.000000 93.645 171.4609
28.500000 93.579 170.9570
29.000000 93.527 170.7491
29.500000 93.511 170.6195
30.000000 93.512 170.3341
30.400000 93.504 169.9836
30.700001 93.487 169.7061
31.100000 93.454 169.3867
31.500000 93.423 169.1410
32.000000 93.402 168.8374
32.500000 93.396 168.3896
33.000000 93.383 167.7511
33.500000 93.345 167.0048
34.000000 93.278 166.2846
34.500000 93.187 165.7166
35.000000 93.090 165.3958
35.500000 93.015 165.3117
36.000000 92.982 165.2926
36.500000 92.982 165.1185
37.000000 92.983 164.7109
37.500000 92.959 164.1799
38.200001 92.885 163.5303
38.700001 92.825 163.2041
39.500000 92.735 162.8413
40.000000 92.687 162.7088
40.599998 92.649 162.6318
41.200001 92.645 162.4996
41.799999 92.655 162.1418
42.500000 92.641 161.4658
43.099998 92.594 160.8809
43.700001 92.534 160.3849
44.400002 92.454 159.8253
45.000000 92.363 159.4166
45.500000 92.282 159.2441
46.200001 92.204 159.1665
46.799999 92.169 158.9645
47.500000 92.112 158.5621
48.200001 92.041 158.3176
48.700001 92.011 158.2144
49.400002 91.986 157.9311
50.000000 91.955 157.6176
50.799999 91.910 157.2594
51.500000 91.869 156.8474
52.200001 91.795 156.4413
53.000000 91.705 156.2568
53.799999 91.650 155.9948
54.500000 91.582 155.6070
55.200001 91.501 155.3800
56.000000 91.446 155.1751
57.000000 91.378 154.6402
58.000000 91.287 154.3800
59.000000 91.252 154.2614
60.000000 91.210 153.8600
60.799999 91.129 153.6953
61.500000 91.074 153.8184
62.200001 91.062 153.8080
63.000000 91.028 153.2966
64.000000 90.871 152.8232
65.000000 90.787 152.9481
66.000000 90.772 152.1908
67.000000 90.595 151.3926
68.000000 90.460 151.9935
69.000000 90.544 152.1824
70.000000 90.525 151.1139
71.000000 90.310 151.0455
72.000000 90.260 152.2208
73.000000 90.395 152.1238
74.000000 90.341 150.6830
75.000000 90.070 150.3831
76.199997 89.961 151.8435
77.500000 90.168 151.6678
78.800003 90.100 149.5178
80.000000 89.742 149.1636
81.199997 89.558 150.9802
82.500000 89.766 152.1338
83.800003 89.939 150.5016
85.000000 89.744 148.5290
86.199997 89.360 148.5309
87.500000 89.127 150.3793
88.500000 89.141 151.7227
90.000000 89.333 152.5798
91.199997 89.521 151.7001
92.500000 89.533 149.4575
93.800003 89.303 147.6241
95.000000 89.006 147.0784
96.199997 88.720 147.4952
97.500000 88.465 148.7411
98.800003 88.298 150.4411
100.000000 88.251 152.0305
101.500000 88.301 153.2792
103.000000 88.390 153.7826
104.400002 88.479 153.6660
106.000000 88.507 153.2119
107.500000 88.455 153.0308
109.000000 88.367 153.2125
110.599998 88.248 153.5637
112.000000 88.112 153.8596
113.800003 87.892 153.9351
115.000000 87.720 153.6212
117.199997 87.438 152.3214
118.000000 87.400 151.6117
120.599998 87.491 148.8176
122.000000 87.602 148.1063
124.099998 87.741 148.6023
125.000000 87.759 149.1751
126.500000 87.711 150.1923
128.000000 87.592 151.0198
131.500000 87.341 151.4674
132.000000 87.320 151.4588
134.000000 87.269 151.5569
136.000000 87.249 151.8420
138.000000 87.228 151.7531
140.000000 87.193 151.4533
143.000000 87.146 151.2490
145.000000 87.106 151.4220
147.500000 87.022 151.5258
150.000000 86.926 151.5067
152.500000 86.856 151.5735
155.000000 86.789 151.7556
157.500000 86.713 151.9283
160.000000 86.638 152.0833
162.500000 86.576 152.3197
165.000000 86.522 152.5504
167.500000 86.466 152.7025
170.000000 86.414 152.8245
172.500000 86.373 152.8927
175.000000 86.324 152.9123
177.500000 86.265 152.9576
180.000000 86.201 153.0328
182.500000 86.134 153.1529
185.000000 86.068 153.3256
187.500000 86.002 153.5279
190.000000 85.936 153.7352
192.500000 85.872 153.9544
195.000000 85.815 154.2082
197.500000 85.768 154.5041
200.000000 85.728 154.8105
203.000000 85.681 155.1518
206.000000 85.640 155.4355
209.000000 85.609 155.6541
212.000000 85.577 155.8416
214.000000 85.554 155.9570
218.000000 85.500 156.1803
220.000000 85.472 156.3008
224.000000 85.419 156.5756
227.000000 85.385 156.7870
230.000000 85.358 156.9874
233.000000 85.335 157.1444
236.000000 85.307 157.2498
240.000000 85.261 157.3569
243.000000 85.223 157.4301
247.000000 85.170 157.5204
250.000000 85.127 157.6157
254.000000 85.072 157.8127
258.000000 85.018 158.0272
262.000000 84.965 158.2232
265.000000 84.925 158.3778
269.000000 84.871 158.6086
272.000000 84.830 158.7818
276.000000 84.777 159.0040
280.000000 84.730 159.2343
285.000000 84.674 159.5262
290.000000 84.620 159.8212
295.000000 84.568 160.0964
300.000000 84.518 160.3852
304.000000 84.478 160.6154
307.000000 84.448 160.7803
311.000000 84.408 161.0051
315.000000 84.368 161.2308
320.000000 84.321 161.4898
325.000000 84.274 161.7450
330.000000 84.226 161.9916
