* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18/01/2023 7:56:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FH15 Bass L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 73.750 61.8905
1.015000 73.940 60.2968
1.030000 74.130 58.7819
1.044000 74.308 57.4313
1.060000 74.514 55.9567
1.075000 74.707 54.6359
1.090000 74.901 53.3693
1.106000 75.109 52.0721
1.120000 75.291 50.9778
1.138000 75.525 49.6195
1.150000 75.682 48.7404
1.172000 75.968 47.1734
1.180000 76.071 46.6154
1.206000 76.408 44.8323
1.220000 76.588 43.8845
1.241000 76.856 42.4676
1.250000 76.971 41.8591
1.265000 77.160 40.8388
1.280000 77.348 39.8066
1.315000 77.780 37.3221
1.320000 77.841 36.9557
1.340000 78.082 35.4534
1.360000 78.319 33.8959
1.380000 78.555 32.3143
1.400000 78.789 30.7145
1.430000 79.137 28.2901
1.450000 79.366 26.6633
1.475000 79.651 24.6253
1.500000 79.932 22.5898
1.525000 80.209 20.5651
1.550000 80.483 18.5592
1.575000 80.753 16.5801
1.600000 81.018 14.6362
1.625000 81.279 12.7354
1.650000 81.536 10.8860
1.675000 81.788 9.0959
1.700000 82.035 7.3700
1.725000 82.278 5.7001
1.750000 82.517 4.0801
1.775000 82.751 2.5039
1.800000 82.981 0.9658
1.825000 83.207 -0.5402
1.850000 83.429 -2.0199
1.875000 83.647 -3.4791
1.900000 83.861 -4.9238
1.925000 84.072 -6.3599
1.950000 84.279 -7.7931
1.975000 84.482 -9.2295
2.000000 84.681 -10.6747
2.030000 84.915 -12.4267
2.060000 85.144 -14.1785
2.090000 85.367 -15.9229
2.120000 85.584 -17.6586
2.140000 85.726 -18.8104
2.180000 86.002 -21.0994
2.200000 86.136 -22.2360
2.240000 86.399 -24.4914
2.270000 86.590 -26.1661
2.300000 86.777 -27.8250
2.330000 86.959 -29.4670
2.360000 87.136 -31.0908
2.400000 87.366 -33.2347
2.430000 87.531 -34.8281
2.470000 87.745 -36.9315
2.500000 87.899 -38.4919
2.540000 88.097 -40.5477
2.580000 88.288 -42.5731
2.620000 88.472 -44.5657
2.650000 88.605 -46.0372
2.690000 88.776 -47.9667
2.720000 88.900 -49.3876
2.760000 89.058 -51.2467
2.800000 89.208 -53.0689
2.850000 89.386 -55.3006
2.900000 89.553 -57.4879
2.950000 89.709 -59.6382
3.000000 89.858 -61.7589
3.040000 89.970 -63.4394
3.070000 90.050 -64.6939
3.110000 90.151 -66.3562
3.150000 90.245 -68.0008
3.200000 90.354 -70.0227
3.250000 90.455 -71.9958
3.300000 90.549 -73.9081
3.350000 90.637 -75.7478
3.400000 90.718 -77.5070
3.450000 90.791 -79.1946
3.500000 90.855 -80.8173
3.550000 90.913 -82.3817
3.600000 90.966 -83.8944
3.650000 91.015 -85.3619
3.700000 91.061 -86.7907
3.750000 91.104 -88.1820
3.820000 91.153 -90.0573
3.870000 91.183 -91.3408
3.950000 91.226 -93.2887
4.000000 91.252 -94.4355
4.060000 91.285 -95.7333
4.120000 91.315 -96.9340
4.180000 91.342 -98.0494
4.250000 91.373 -99.2652
4.310000 91.402 -100.2533
4.370000 91.434 -101.2095
4.440000 91.475 -102.2737
4.500000 91.512 -103.1262
4.550000 91.545 -103.8034
4.620000 91.593 -104.7143
4.680000 91.638 -105.4732
4.750000 91.695 -106.3400
4.820000 91.758 -107.1612
4.870000 91.805 -107.7265
4.940000 91.873 -108.5021
5.000000 91.933 -109.1645
5.080000 92.015 -110.0605
5.150000 92.089 -110.8417
5.220000 92.166 -111.6188
5.300000 92.254 -112.5073
5.380000 92.341 -113.4023
5.450000 92.414 -114.1946
5.520000 92.488 -114.9933
5.600000 92.570 -115.9076
5.700000 92.668 -117.0423
5.800000 92.760 -118.1644
5.900000 92.847 -119.2807
6.000000 92.928 -120.3790
6.080000 92.990 -121.2367
6.150000 93.041 -121.9752
6.220000 93.089 -122.7027
6.300000 93.142 -123.5177
6.400000 93.206 -124.5070
6.500000 93.268 -125.4586
6.600000 93.326 -126.3787
6.700000 93.384 -127.2766
6.800000 93.440 -128.1562
6.900000 93.496 -129.0120
7.000000 93.550 -129.8532
7.100000 93.604 -130.6890
7.200000 93.656 -131.5151
7.300000 93.707 -132.3333
7.400000 93.755 -133.1488
7.500000 93.801 -133.9652
7.620000 93.852 -134.9411
7.750000 93.900 -135.9842
7.880000 93.942 -137.0157
8.000000 93.974 -137.9506
8.120000 94.000 -138.8533
8.250000 94.021 -139.8001
8.380000 94.037 -140.7062
8.500000 94.049 -141.4973
8.620000 94.056 -142.2485
8.750000 94.062 -143.0198
8.850000 94.067 -143.5805
9.000000 94.072 -144.3738
9.120000 94.078 -144.9816
9.250000 94.085 -145.6096
9.380000 94.092 -146.2150
9.500000 94.100 -146.7639
9.620000 94.108 -147.2997
9.750000 94.116 -147.8687
9.880000 94.124 -148.4298
10.000000 94.130 -148.9377
10.150000 94.136 -149.5521
10.300000 94.140 -150.1451
10.440000 94.144 -150.6736
10.600000 94.149 -151.2428
10.750000 94.154 -151.7494
10.900000 94.163 -152.2297
11.060000 94.175 -152.7217
11.200000 94.191 -153.1513
11.380000 94.216 -153.7020
11.500000 94.236 -154.0874
11.720000 94.276 -154.8288
11.800000 94.290 -155.1145
12.060000 94.335 -156.1049
12.200000 94.355 -156.6658
12.410000 94.378 -157.5373
12.500000 94.384 -157.9088
12.650000 94.391 -158.5303
12.800000 94.393 -159.1362
13.150000 94.386 -160.4608
13.200000 94.384 -160.6380
13.400000 94.376 -161.3193
13.600000 94.370 -161.9669
13.800000 94.365 -162.5887
14.000000 94.363 -163.2003
14.300000 94.359 -164.1092
14.500000 94.355 -164.7069
14.750000 94.346 -165.4353
15.000000 94.335 -166.1170
15.250000 94.323 -166.7429
15.500000 94.315 -167.3137
15.750000 94.314 -167.8449
16.000000 94.322 -168.3744
16.250000 94.335 -168.9273
16.500000 94.350 -169.5203
16.750000 94.362 -170.1572
17.000000 94.367 -170.8117
17.250000 94.363 -171.4567
17.500000 94.351 -172.0671
17.750000 94.336 -172.6207
18.000000 94.321 -173.1223
18.250000 94.310 -173.5878
18.500000 94.302 -174.0369
18.750000 94.298 -174.4951
19.000000 94.293 -174.9701
19.250000 94.285 -175.4564
19.500000 94.273 -175.9427
19.750000 94.255 -176.4064
20.000000 94.236 -176.8349
20.299999 94.212 -177.3012
20.600000 94.193 -177.7303
20.900000 94.180 -178.1528
21.200001 94.170 -178.5972
21.400000 94.164 -178.9124
21.799999 94.147 -179.5706
22.000000 94.134 -179.9002
22.400000 94.104 179.4665
22.700001 94.081 179.0247
23.000000 94.059 178.6024
23.299999 94.039 178.1842
23.600000 94.020 177.7579
24.000000 93.992 177.1787
24.299999 93.968 176.7531
24.700001 93.934 176.2233
25.000000 93.909 175.8568
25.400000 93.881 175.3895
25.799999 93.858 174.9119
26.200001 93.834 174.4096
26.500000 93.814 174.0276
26.900000 93.784 173.5373
27.200001 93.761 173.1930
27.600000 93.732 172.7542
28.000000 93.707 172.3116
28.500000 93.674 171.7258
29.000000 93.631 171.1393
29.500000 93.581 170.6180
30.000000 93.535 170.1747
30.400000 93.506 169.8378
30.700001 93.486 169.5726
31.100000 93.460 169.1953
31.500000 93.430 168.8101
32.000000 93.389 168.3594
32.500000 93.351 167.9521
33.000000 93.319 167.5455
33.500000 93.288 167.1067
34.000000 93.253 166.6577
34.500000 93.215 166.2370
35.000000 93.180 165.8369
35.500000 93.146 165.4148
36.000000 93.107 164.9639
36.500000 93.057 164.5397
37.000000 93.003 164.1969
37.500000 92.955 163.9196
38.200001 92.901 163.5175
38.700001 92.862 163.1913
39.500000 92.791 162.7028
40.000000 92.750 162.4282
40.599998 92.705 162.0656
41.200001 92.657 161.6571
41.799999 92.600 161.2688
42.500000 92.536 160.8856
43.099998 92.492 160.5493
43.700001 92.448 160.1398
44.400002 92.379 159.6418
45.000000 92.309 159.3399
45.500000 92.259 159.1978
46.200001 92.216 159.0142
46.799999 92.188 158.7502
47.500000 92.143 158.4047
48.200001 92.099 158.1223
48.700001 92.074 157.8774
49.400002 92.024 157.4000
50.000000 91.948 157.0464
50.799999 91.841 156.9191
51.500000 91.787 156.9301
52.200001 91.757 156.7770
53.000000 91.713 156.4277
53.799999 91.653 156.0487
54.500000 91.593 155.7773
55.200001 91.541 155.5831
56.000000 91.502 155.3229
57.000000 91.449 154.7983
58.000000 91.358 154.2973
59.000000 91.255 154.0634
60.000000 91.183 153.9467
60.799999 91.132 153.7499
61.500000 91.079 153.5826
62.200001 91.032 153.4437
63.000000 90.982 153.1891
64.000000 90.893 152.8514
65.000000 90.808 152.7241
66.000000 90.745 152.5421
67.000000 90.672 152.3449
68.000000 90.607 152.1985
69.000000 90.539 151.9716
70.000000 90.454 151.8404
71.000000 90.389 151.7871
72.000000 90.317 151.5930
73.000000 90.232 151.5894
74.000000 90.183 151.5367
75.000000 90.104 151.3876
76.199997 90.049 151.4941
77.500000 89.982 150.9071
78.800003 89.815 151.1192
80.000000 89.824 151.5682
81.199997 89.820 151.1695
82.500000 89.730 151.2267
83.800003 89.738 151.4051
85.000000 89.686 150.9632
86.199997 89.555 151.0850
87.500000 89.507 151.3458
88.500000 89.461 151.0911
90.000000 89.328 150.8464
91.199997 89.236 150.9065
92.500000 89.185 151.0923
93.800003 89.166 151.0000
95.000000 89.115 150.9284
96.199997 89.110 151.0765
97.500000 89.165 150.5959
98.800003 89.117 149.5219
100.000000 88.987 148.9996
101.500000 88.861 149.0133
103.000000 88.774 149.1781
104.400002 88.713 149.4623
106.000000 88.666 149.5523
107.500000 88.598 149.4143
109.000000 88.531 149.1939
110.599998 88.441 148.8063
112.000000 88.338 148.7218
113.800003 88.228 148.9764
115.000000 88.167 149.2188
117.199997 88.074 149.5973
118.000000 88.046 149.6512
120.599998 87.945 149.5508
122.000000 87.888 149.5176
124.099998 87.801 149.5433
125.000000 87.761 149.5852
126.500000 87.692 149.6837
128.000000 87.624 149.7760
131.500000 87.444 149.8511
132.000000 87.411 149.8737
134.000000 87.287 149.9753
136.000000 87.177 149.8261
138.000000 87.075 149.6962
140.000000 87.010 149.9618
143.000000 86.937 151.0218
145.000000 86.867 151.6968
147.500000 86.801 152.1865
150.000000 86.818 152.7751
152.500000 86.854 153.9930
155.000000 86.820 155.6129
157.500000 86.826 156.3571
160.000000 86.871 155.5262
162.500000 86.868 154.3523
165.000000 86.810 153.9055
167.500000 86.731 153.7605
170.000000 86.649 153.7089
172.500000 86.574 153.6853
175.000000 86.510 153.8621
177.500000 86.472 154.0053
180.000000 86.440 154.2253
182.500000 86.423 154.4214
185.000000 86.395 154.5054
187.500000 86.380 154.4871
190.000000 86.363 154.3802
192.500000 86.337 154.2933
195.000000 86.293 154.2198
197.500000 86.246 154.1821
200.000000 86.198 154.1432
203.000000 86.136 154.1552
206.000000 86.071 154.1747
209.000000 86.002 154.2256
212.000000 85.938 154.3477
214.000000 85.899 154.4397
218.000000 85.822 154.6230
220.000000 85.787 154.7267
224.000000 85.724 154.9129
227.000000 85.677 155.0309
230.000000 85.628 155.1613
233.000000 85.577 155.2998
236.000000 85.529 155.4355
240.000000 85.467 155.6122
243.000000 85.422 155.7378
247.000000 85.365 155.9096
250.000000 85.325 156.0700
254.000000 85.272 156.3230
258.000000 85.216 156.5483
262.000000 85.161 156.7271
265.000000 85.122 156.8535
269.000000 85.071 157.0452
272.000000 85.032 157.1940
276.000000 84.981 157.3871
280.000000 84.931 157.5802
285.000000 84.876 157.8076
290.000000 84.824 158.0787
295.000000 84.767 158.3443
300.000000 84.714 158.5775
304.000000 84.673 158.7778
307.000000 84.643 158.9338
311.000000 84.601 159.1387
315.000000 84.561 159.3391
320.000000 84.513 159.5793
325.000000 84.465 159.8239
330.000000 84.418 160.0773
335.000000 84.371 160.3291
