* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18/01/2023 7:55:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FH15 Bass R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 74.688 26.1020
1.015000 74.909 24.6270
1.030000 75.128 23.2794
1.044000 75.330 22.1287
1.060000 75.559 20.9302
1.075000 75.772 19.9098
1.090000 75.983 18.9796
1.106000 76.207 18.0764
1.120000 76.400 17.3525
1.138000 76.647 16.5001
1.150000 76.810 15.9735
1.172000 77.106 15.0764
1.180000 77.212 14.7674
1.206000 77.555 13.8038
1.220000 77.737 13.2982
1.241000 78.007 12.5363
1.250000 78.122 12.2030
1.265000 78.312 11.6309
1.280000 78.499 11.0299
1.315000 78.930 9.4624
1.320000 78.991 9.2145
1.340000 79.231 8.1489
1.360000 79.469 6.9711
1.380000 79.702 5.7370
1.400000 79.932 4.4573
1.430000 80.270 2.4688
1.450000 80.491 1.1080
1.475000 80.762 -0.6194
1.500000 81.028 -2.3626
1.525000 81.290 -4.1069
1.550000 81.547 -5.8378
1.575000 81.799 -7.5408
1.600000 82.047 -9.2012
1.625000 82.290 -10.8045
1.650000 82.530 -12.3361
1.675000 82.766 -13.7815
1.700000 82.998 -15.1341
1.725000 83.225 -16.4130
1.750000 83.446 -17.6280
1.775000 83.664 -18.7877
1.800000 83.876 -19.9010
1.825000 84.085 -20.9765
1.850000 84.289 -22.0230
1.875000 84.489 -23.0492
1.900000 84.685 -24.0639
1.925000 84.878 -25.0757
1.950000 85.067 -26.0933
1.975000 85.253 -27.1256
2.000000 85.436 -28.1812
2.030000 85.652 -29.4876
2.060000 85.862 -30.8105
2.090000 86.066 -32.1390
2.120000 86.265 -33.4702
2.140000 86.395 -34.3580
2.180000 86.648 -36.1306
2.200000 86.771 -37.0138
2.240000 87.011 -38.7704
2.270000 87.186 -40.0759
2.300000 87.357 -41.3683
2.330000 87.524 -42.6450
2.360000 87.688 -43.9034
2.400000 87.899 -45.5659
2.430000 88.052 -46.8047
2.470000 88.249 -48.4427
2.500000 88.391 -49.6586
2.540000 88.575 -51.2602
2.580000 88.753 -52.8357
2.620000 88.924 -54.3814
2.650000 89.048 -55.5187
2.690000 89.209 -57.0028
2.720000 89.326 -58.0879
2.760000 89.476 -59.4961
2.800000 89.619 -60.8667
2.850000 89.789 -62.5378
2.900000 89.950 -64.1752
2.950000 90.104 -65.7926
3.000000 90.250 -67.4039
3.040000 90.362 -68.6980
3.070000 90.443 -69.6749
3.110000 90.546 -70.9811
3.150000 90.643 -72.2838
3.200000 90.758 -73.8942
3.250000 90.867 -75.4695
3.300000 90.970 -76.9933
3.350000 91.069 -78.4492
3.400000 91.163 -79.8244
3.450000 91.250 -81.1269
3.500000 91.331 -82.3701
3.550000 91.408 -83.5671
3.600000 91.480 -84.7311
3.650000 91.550 -85.8754
3.700000 91.617 -87.0130
3.750000 91.682 -88.1463
3.820000 91.766 -89.7058
3.870000 91.821 -90.7924
3.950000 91.907 -92.4675
4.000000 91.959 -93.4657
4.060000 92.022 -94.6038
4.120000 92.082 -95.6686
4.180000 92.141 -96.6736
4.250000 92.207 -97.7930
4.310000 92.264 -98.7264
4.370000 92.322 -99.6536
4.440000 92.390 -100.7245
4.500000 92.448 -101.6185
4.550000 92.496 -102.3487
4.620000 92.564 -103.3518
4.680000 92.622 -104.1971
4.750000 92.691 -105.1669
4.820000 92.760 -106.1096
4.870000 92.810 -106.7702
4.940000 92.879 -107.6845
5.000000 92.937 -108.4647
5.080000 93.013 -109.5086
5.150000 93.079 -110.4193
5.220000 93.144 -111.3253
5.300000 93.217 -112.3553
5.380000 93.285 -113.3798
5.450000 93.343 -114.2744
5.520000 93.398 -115.1677
5.600000 93.459 -116.1810
5.700000 93.529 -117.4262
5.800000 93.594 -118.6425
5.900000 93.652 -119.8365
6.000000 93.706 -121.0020
6.080000 93.746 -121.9100
6.150000 93.778 -122.6893
6.220000 93.808 -123.4540
6.300000 93.840 -124.3068
6.400000 93.879 -125.3359
6.500000 93.915 -126.3198
6.600000 93.948 -127.2642
6.700000 93.981 -128.1772
6.800000 94.015 -129.0625
6.900000 94.047 -129.9151
7.000000 94.080 -130.7429
7.100000 94.114 -131.5531
7.200000 94.148 -132.3400
7.300000 94.183 -133.1088
7.400000 94.218 -133.8691
7.500000 94.253 -134.6226
7.620000 94.294 -135.5141
7.750000 94.338 -136.4694
7.880000 94.380 -137.4170
8.000000 94.417 -138.2814
8.120000 94.451 -139.1329
8.250000 94.485 -140.0432
8.380000 94.515 -140.9346
8.500000 94.540 -141.7361
8.620000 94.562 -142.5193
8.750000 94.583 -143.3405
8.850000 94.598 -143.9510
9.000000 94.617 -144.8345
9.120000 94.631 -145.5129
9.250000 94.645 -146.2183
9.380000 94.658 -146.8961
9.500000 94.670 -147.4992
9.620000 94.682 -148.0792
9.750000 94.696 -148.6887
9.880000 94.710 -149.2803
10.000000 94.723 -149.8107
10.150000 94.740 -150.4611
10.300000 94.758 -151.0959
10.440000 94.775 -151.6800
10.600000 94.794 -152.3402
10.750000 94.811 -152.9526
10.900000 94.827 -153.5611
11.060000 94.843 -154.2046
11.200000 94.856 -154.7625
11.380000 94.869 -155.4722
11.500000 94.877 -155.9375
11.720000 94.888 -156.7746
11.800000 94.891 -157.0719
12.060000 94.897 -158.0124
12.200000 94.900 -158.5012
12.410000 94.903 -159.2121
12.500000 94.904 -159.5103
12.650000 94.905 -159.9977
12.800000 94.907 -160.4782
13.150000 94.913 -161.5810
13.200000 94.913 -161.7378
13.400000 94.916 -162.3629
13.600000 94.918 -162.9867
13.800000 94.918 -163.6069
14.000000 94.916 -164.2206
14.300000 94.912 -165.1208
14.500000 94.908 -165.7055
14.750000 94.902 -166.4183
15.000000 94.898 -167.1187
15.250000 94.894 -167.8142
15.500000 94.891 -168.5101
15.750000 94.885 -169.2094
16.000000 94.877 -169.9044
16.250000 94.865 -170.5843
16.500000 94.850 -171.2384
16.750000 94.833 -171.8552
17.000000 94.816 -172.4324
17.250000 94.800 -172.9757
17.500000 94.788 -173.4933
17.750000 94.779 -173.9989
18.000000 94.773 -174.5034
18.250000 94.767 -175.0106
18.500000 94.761 -175.5215
18.750000 94.753 -176.0311
19.000000 94.743 -176.5321
19.250000 94.731 -177.0205
19.500000 94.718 -177.4928
19.750000 94.704 -177.9491
20.000000 94.690 -178.3921
20.299999 94.674 -178.9101
20.600000 94.657 -179.4171
20.900000 94.639 -179.9154
21.200001 94.621 179.5941
21.400000 94.609 179.2711
21.799999 94.584 178.6314
22.000000 94.571 178.3135
22.400000 94.544 177.6799
22.700001 94.522 177.2084
23.000000 94.498 176.7439
23.299999 94.473 176.2909
23.600000 94.447 175.8521
24.000000 94.414 175.2878
24.299999 94.390 174.8746
24.700001 94.359 174.3273
25.000000 94.335 173.9172
25.400000 94.303 173.3758
25.799999 94.268 172.8555
26.200001 94.232 172.3690
26.500000 94.206 172.0262
26.900000 94.175 171.5866
27.200001 94.154 171.2597
27.600000 94.126 170.8182
28.000000 94.098 170.3730
28.500000 94.059 169.8295
29.000000 94.021 169.3098
29.500000 93.983 168.7935
30.000000 93.945 168.2545
30.400000 93.908 167.8149
30.700001 93.877 167.4985
31.100000 93.832 167.1187
31.500000 93.788 166.7986
32.000000 93.744 166.4482
32.500000 93.715 166.0682
33.000000 93.689 165.5901
33.500000 93.650 165.0458
34.000000 93.595 164.5546
34.500000 93.537 164.1991
35.000000 93.494 163.9302
35.500000 93.469 163.6189
36.000000 93.443 163.2033
36.500000 93.402 162.7568
37.000000 93.350 162.3912
37.500000 93.303 162.1153
38.200001 93.257 161.6866
38.700001 93.220 161.2773
39.500000 93.132 160.6301
40.000000 93.072 160.3188
40.599998 93.009 159.9784
41.200001 92.952 159.6031
41.799999 92.893 159.2137
42.500000 92.826 158.7889
43.099998 92.774 158.4338
43.700001 92.723 158.0837
44.400002 92.666 157.7243
45.000000 92.626 157.4511
45.500000 92.597 157.2059
46.200001 92.553 156.8160
46.799999 92.501 156.5184
47.500000 92.438 156.3294
48.200001 92.399 156.2144
48.700001 92.384 156.0340
49.400002 92.349 155.5875
50.000000 92.289 155.1763
50.799999 92.190 154.8113
51.500000 92.115 154.6010
52.200001 92.052 154.3569
53.000000 91.980 154.0283
53.799999 91.906 153.7012
54.500000 91.840 153.4487
55.200001 91.779 153.2385
56.000000 91.715 153.0116
57.000000 91.637 152.7435
58.000000 91.569 152.5128
59.000000 91.506 152.1790
60.000000 91.427 151.8086
60.799999 91.360 151.5580
61.500000 91.303 151.3528
62.200001 91.247 151.1664
63.000000 91.186 150.9767
64.000000 91.114 150.7345
65.000000 91.038 150.5009
66.000000 90.959 150.2927
67.000000 90.880 150.0981
68.000000 90.801 149.8964
69.000000 90.718 149.6945
70.000000 90.637 149.5513
71.000000 90.565 149.4214
72.000000 90.496 149.2738
73.000000 90.425 149.1378
74.000000 90.351 149.0035
75.000000 90.273 148.8945
76.199997 90.181 148.7851
77.500000 90.087 148.6947
78.800003 90.009 148.6632
80.000000 89.952 148.5869
81.199997 89.862 148.4487
82.500000 89.725 148.7476
83.800003 89.651 149.1481
85.000000 89.572 148.9396
86.199997 89.413 148.6898
87.500000 89.249 149.0128
88.500000 89.214 149.4105
90.000000 89.270 149.6362
91.199997 89.335 149.3891
92.500000 89.328 149.0681
93.800003 89.302 149.1014
95.000000 89.276 148.9705
96.199997 89.211 148.7137
97.500000 89.120 148.4937
98.800003 89.050 148.3250
100.000000 89.000 148.0760
101.500000 88.920 147.7955
103.000000 88.829 147.7420
104.400002 88.743 147.7634
106.000000 88.639 147.7757
107.500000 88.543 147.7499
109.000000 88.452 147.7078
110.599998 88.362 147.7101
112.000000 88.289 147.7707
113.800003 88.196 147.9106
115.000000 88.136 148.0290
117.199997 88.028 148.2347
118.000000 87.990 148.3204
120.599998 87.882 148.5375
122.000000 87.821 148.5638
124.099998 87.716 148.5415
125.000000 87.666 148.5380
126.500000 87.581 148.5861
128.000000 87.497 148.7070
131.500000 87.317 149.3136
132.000000 87.290 149.4256
134.000000 87.182 149.9944
136.000000 87.094 150.7210
138.000000 87.042 151.5081
140.000000 87.028 152.2476
143.000000 87.032 153.1810
145.000000 87.048 153.6909
147.500000 87.094 154.2284
150.000000 87.207 154.5991
152.500000 87.339 154.4337
155.000000 87.399 153.7635
157.500000 87.382 152.9760
160.000000 87.323 152.2993
162.500000 87.234 151.8435
165.000000 87.136 151.5658
167.500000 87.040 151.4060
170.000000 86.959 151.3706
172.500000 86.882 151.3704
175.000000 86.802 151.3970
177.500000 86.730 151.4538
180.000000 86.664 151.5346
182.500000 86.597 151.6403
185.000000 86.533 151.7553
187.500000 86.479 151.8745
190.000000 86.430 152.0154
192.500000 86.384 152.1644
195.000000 86.341 152.2504
197.500000 86.293 152.2953
200.000000 86.242 152.3578
203.000000 86.179 152.4486
206.000000 86.116 152.5327
209.000000 86.056 152.6176
212.000000 85.998 152.7296
214.000000 85.961 152.8080
218.000000 85.887 152.9703
220.000000 85.850 153.0664
224.000000 85.774 153.2679
227.000000 85.720 153.4096
230.000000 85.669 153.5549
233.000000 85.620 153.7112
236.000000 85.573 153.8658
240.000000 85.514 154.0621
243.000000 85.468 154.2149
247.000000 85.408 154.4319
250.000000 85.365 154.5930
254.000000 85.309 154.8031
258.000000 85.253 155.0115
262.000000 85.199 155.2040
265.000000 85.159 155.3474
269.000000 85.109 155.5555
272.000000 85.072 155.7173
276.000000 85.023 155.9204
280.000000 84.975 156.1121
285.000000 84.918 156.3638
290.000000 84.863 156.6113
295.000000 84.808 156.8502
300.000000 84.755 157.0847
304.000000 84.714 157.2736
307.000000 84.683 157.4120
311.000000 84.642 157.5905
315.000000 84.601 157.7677
320.000000 84.551 157.9910
325.000000 84.503 158.2063
330.000000 84.456 158.4235
