* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18/01/2023 7:37:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FH15 Treble R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 75.932 40.8483
1.015000 76.082 39.3835
1.030000 76.231 38.0147
1.044000 76.370 36.8164
1.060000 76.526 35.5332
1.075000 76.672 34.4068
1.090000 76.817 33.3476
1.106000 76.971 32.2843
1.120000 77.104 31.4039
1.138000 77.274 30.3311
1.150000 77.387 29.6477
1.172000 77.592 28.4475
1.180000 77.666 28.0247
1.206000 77.905 26.6839
1.220000 78.033 25.9742
1.241000 78.223 24.9105
1.250000 78.303 24.4511
1.265000 78.438 23.6750
1.280000 78.571 22.8803
1.315000 78.879 20.9150
1.320000 78.923 20.6179
1.340000 79.096 19.3786
1.360000 79.269 18.0613
1.380000 79.440 16.7040
1.400000 79.609 15.3153
1.430000 79.861 13.1862
1.450000 80.027 11.7450
1.475000 80.232 9.9295
1.500000 80.435 8.1094
1.525000 80.636 6.2965
1.550000 80.834 4.5025
1.575000 81.029 2.7391
1.600000 81.222 1.0183
1.625000 81.412 -0.6484
1.650000 81.599 -2.2491
1.675000 81.784 -3.7721
1.700000 81.966 -5.2117
1.725000 82.145 -6.5826
1.750000 82.321 -7.8930
1.775000 82.494 -9.1502
1.800000 82.665 -10.3615
1.825000 82.833 -11.5342
1.850000 82.999 -12.6759
1.875000 83.162 -13.7936
1.900000 83.323 -14.8950
1.925000 83.482 -15.9872
1.950000 83.639 -17.0776
1.975000 83.794 -18.1736
2.000000 83.947 -19.2825
2.030000 84.128 -20.6375
2.060000 84.307 -21.9938
2.090000 84.481 -23.3425
2.120000 84.653 -24.6825
2.140000 84.766 -25.5703
2.180000 84.987 -27.3314
2.200000 85.096 -28.2040
2.240000 85.310 -29.9314
2.270000 85.468 -31.2102
2.300000 85.624 -32.4734
2.330000 85.777 -33.7197
2.360000 85.928 -34.9481
2.400000 86.126 -36.5622
2.430000 86.271 -37.7562
2.470000 86.460 -39.3259
2.500000 86.599 -40.4861
2.540000 86.781 -42.0098
2.580000 86.959 -43.5066
2.620000 87.134 -44.9760
2.650000 87.262 -46.0596
2.690000 87.431 -47.4797
2.720000 87.556 -48.5212
2.760000 87.719 -49.8721
2.800000 87.877 -51.1870
2.850000 88.071 -52.7920
2.900000 88.260 -54.3681
2.950000 88.443 -55.9305
3.000000 88.623 -57.4945
3.040000 88.763 -58.7566
3.070000 88.867 -59.7089
3.110000 89.002 -60.9810
3.150000 89.134 -62.2512
3.200000 89.295 -63.8289
3.250000 89.452 -65.3860
3.300000 89.604 -66.9128
3.350000 89.752 -68.3996
3.400000 89.897 -69.8371
3.450000 90.037 -71.2272
3.500000 90.173 -72.5807
3.550000 90.304 -73.9086
3.600000 90.432 -75.2218
3.650000 90.555 -76.5312
3.700000 90.675 -77.8479
3.750000 90.790 -79.1758
3.820000 90.945 -81.0379
3.870000 91.051 -82.3606
3.950000 91.212 -84.4443
4.000000 91.307 -85.7151
4.060000 91.416 -87.1973
4.120000 91.519 -88.6388
4.180000 91.616 -90.0460
4.250000 91.722 -91.6508
4.310000 91.807 -92.9998
4.370000 91.886 -94.3290
4.440000 91.972 -95.8614
4.500000 92.039 -97.1560
4.550000 92.091 -98.2160
4.620000 92.158 -99.6629
4.680000 92.211 -100.8607
4.750000 92.267 -102.2023
4.820000 92.316 -103.4937
4.870000 92.348 -104.3855
4.940000 92.388 -105.5899
5.000000 92.419 -106.5800
5.080000 92.459 -107.8376
5.150000 92.488 -108.8786
5.220000 92.514 -109.8664
5.300000 92.541 -110.9331
5.380000 92.570 -111.9369
5.450000 92.596 -112.7583
5.520000 92.621 -113.5241
5.600000 92.650 -114.3439
5.700000 92.692 -115.3079
5.800000 92.742 -116.2048
5.900000 92.798 -117.0202
6.000000 92.860 -117.8026
6.080000 92.915 -118.4356
6.150000 92.968 -118.9797
6.220000 93.025 -119.5153
6.300000 93.094 -120.1324
6.400000 93.181 -120.9372
6.500000 93.273 -121.7771
6.600000 93.368 -122.6446
6.700000 93.460 -123.5520
6.800000 93.547 -124.5118
6.900000 93.631 -125.5211
7.000000 93.709 -126.5611
7.100000 93.777 -127.6159
7.200000 93.836 -128.7032
7.300000 93.885 -129.8037
7.400000 93.924 -130.8852
7.500000 93.951 -131.9496
7.620000 93.969 -133.2091
7.750000 93.976 -134.4927
7.880000 93.968 -135.6828
8.000000 93.951 -136.6997
8.120000 93.932 -137.6151
8.250000 93.906 -138.4882
8.380000 93.882 -139.2639
8.500000 93.867 -139.9009
8.620000 93.858 -140.4561
8.750000 93.857 -141.0262
8.850000 93.865 -141.4488
9.000000 93.889 -142.0577
9.120000 93.915 -142.5818
9.250000 93.951 -143.1842
9.380000 93.991 -143.8279
9.500000 94.025 -144.4766
9.620000 94.060 -145.1745
9.750000 94.091 -145.9597
9.880000 94.112 -146.7755
10.000000 94.125 -147.5482
10.150000 94.131 -148.4806
10.300000 94.122 -149.3863
10.440000 94.109 -150.1685
10.600000 94.085 -150.9656
10.750000 94.062 -151.6292
10.900000 94.044 -152.1983
11.060000 94.031 -152.7257
11.200000 94.032 -153.1553
11.380000 94.047 -153.6655
11.500000 94.066 -154.0331
11.720000 94.118 -154.7554
11.800000 94.138 -155.0535
12.060000 94.208 -156.1579
12.200000 94.239 -156.8254
12.410000 94.273 -157.9093
12.500000 94.281 -158.3752
12.650000 94.284 -159.1668
12.800000 94.278 -159.9229
13.150000 94.227 -161.4675
13.200000 94.218 -161.6532
13.400000 94.179 -162.3132
13.600000 94.149 -162.8483
13.800000 94.128 -163.2888
14.000000 94.124 -163.6808
14.300000 94.141 -164.2882
14.500000 94.162 -164.7445
14.750000 94.191 -165.4027
15.000000 94.211 -166.1248
15.250000 94.219 -166.8593
15.500000 94.216 -167.5612
15.750000 94.206 -168.1866
16.000000 94.197 -168.7360
16.250000 94.195 -169.2392
16.500000 94.200 -169.7304
16.750000 94.212 -170.2551
17.000000 94.224 -170.8329
17.250000 94.230 -171.4530
17.500000 94.226 -172.0950
17.750000 94.212 -172.7178
18.000000 94.191 -173.2875
18.250000 94.167 -173.7947
18.500000 94.145 -174.2395
18.750000 94.129 -174.6447
19.000000 94.120 -175.0414
19.250000 94.116 -175.4484
19.500000 94.114 -175.8794
19.750000 94.112 -176.3337
20.000000 94.107 -176.7977
20.299999 94.098 -177.3527
20.600000 94.087 -177.8935
20.900000 94.076 -178.4215
21.200001 94.065 -178.9487
21.400000 94.057 -179.3055
21.799999 94.034 179.9769
22.000000 94.018 179.6276
22.400000 93.979 178.9807
22.700001 93.946 178.5643
23.000000 93.915 178.2069
23.299999 93.890 177.8899
23.600000 93.871 177.5840
24.000000 93.855 177.1471
24.299999 93.843 176.7830
24.700001 93.824 176.2567
25.000000 93.805 175.8495
25.400000 93.773 175.3129
25.799999 93.737 174.7961
26.200001 93.700 174.2998
26.500000 93.672 173.9375
26.900000 93.636 173.4595
27.200001 93.610 173.0964
27.600000 93.577 172.5928
28.000000 93.541 172.0644
28.500000 93.486 171.4069
29.000000 93.423 170.8407
29.500000 93.367 170.4111
30.000000 93.333 170.0381
30.400000 93.321 169.6871
30.700001 93.314 169.3666
31.100000 93.296 168.8850
31.500000 93.263 168.4168
32.000000 93.214 167.9589
32.500000 93.174 167.6397
33.000000 93.154 167.3128
33.500000 93.138 166.8634
34.000000 93.104 166.3448
34.500000 93.048 165.9036
35.000000 92.992 165.6021
35.500000 92.951 165.3533
36.000000 92.922 165.0338
36.500000 92.888 164.6209
37.000000 92.842 164.1843
37.500000 92.790 163.7775
38.200001 92.715 163.2436
38.700001 92.658 162.8925
39.500000 92.570 162.4798
40.000000 92.534 162.2786
40.599998 92.506 161.9593
41.200001 92.474 161.5356
41.799999 92.430 161.1204
42.500000 92.377 160.7237
43.099998 92.337 160.3850
43.700001 92.291 160.0100
44.400002 92.224 159.6022
45.000000 92.161 159.3228
45.500000 92.110 159.1295
46.200001 92.047 158.8798
46.799999 92.001 158.6234
47.500000 91.947 158.1980
48.200001 91.872 157.6953
48.700001 91.804 157.3912
49.400002 91.709 157.1212
50.000000 91.642 156.9839
50.799999 91.577 156.8062
51.500000 91.534 156.6102
52.200001 91.498 156.3854
53.000000 91.460 156.0980
53.799999 91.419 155.7789
54.500000 91.375 155.5138
55.200001 91.328 155.3012
56.000000 91.276 155.0920
57.000000 91.209 154.8065
58.000000 91.133 154.5465
59.000000 91.064 154.3129
60.000000 91.001 153.9888
60.799999 90.940 153.6955
61.500000 90.886 153.5032
62.200001 90.844 153.3398
63.000000 90.807 153.0248
64.000000 90.718 152.4981
65.000000 90.585 152.4424
66.000000 90.534 152.7995
67.000000 90.558 152.6255
68.000000 90.516 151.9227
69.000000 90.397 151.4651
70.000000 90.285 151.3816
71.000000 90.203 151.3467
72.000000 90.125 151.2596
73.000000 90.042 151.2290
74.000000 89.972 151.2611
75.000000 89.917 151.1571
76.199997 89.817 150.8556
77.500000 89.691 150.7406
78.800003 89.581 150.5863
80.000000 89.470 150.5822
81.199997 89.402 150.7303
82.500000 89.328 150.6012
83.800003 89.164 150.9718
85.000000 89.095 152.0295
86.199997 89.111 152.4679
87.500000 89.021 152.4745
88.500000 88.939 152.9254
90.000000 88.965 153.0140
91.199997 88.930 152.1131
92.500000 88.801 151.6849
93.800003 88.804 151.9665
95.000000 88.909 151.7670
96.199997 88.979 151.2818
97.500000 89.003 151.0762
98.800003 89.055 151.0989
100.000000 89.056 150.5548
101.500000 88.866 150.1597
103.000000 88.683 150.4531
104.400002 88.574 150.5472
106.000000 88.477 150.3346
107.500000 88.393 150.0625
109.000000 88.317 149.9052
110.599998 88.239 149.8393
112.000000 88.165 149.8284
113.800003 88.065 149.8276
115.000000 88.001 149.8095
117.199997 87.891 149.7544
118.000000 87.853 149.7454
120.599998 87.735 149.8265
122.000000 87.676 149.8984
124.099998 87.585 149.9766
125.000000 87.542 150.0070
126.500000 87.466 150.0950
128.000000 87.394 150.2232
131.500000 87.242 150.3396
132.000000 87.218 150.3516
134.000000 87.116 150.5003
136.000000 87.011 150.7777
138.000000 86.896 151.1641
140.000000 86.777 151.5799
143.000000 86.613 152.4040
145.000000 86.556 153.1523
147.500000 86.555 154.1368
150.000000 86.613 154.9900
152.500000 86.709 155.4119
155.000000 86.791 155.2504
157.500000 86.816 154.7518
160.000000 86.791 154.2535
162.500000 86.733 153.8648
165.000000 86.657 153.6087
167.500000 86.576 153.4802
170.000000 86.501 153.4521
172.500000 86.426 153.4550
175.000000 86.343 153.4930
177.500000 86.259 153.5715
180.000000 86.177 153.6917
182.500000 86.100 153.8759
185.000000 86.028 154.1023
187.500000 85.959 154.3510
190.000000 85.896 154.6403
192.500000 85.842 154.9731
195.000000 85.801 155.3250
197.500000 85.775 155.6459
200.000000 85.763 155.8827
203.000000 85.748 156.0352
206.000000 85.722 156.0861
209.000000 85.686 156.0818
212.000000 85.639 156.0886
214.000000 85.603 156.1177
218.000000 85.526 156.2144
220.000000 85.488 156.2809
224.000000 85.410 156.4633
227.000000 85.352 156.6360
230.000000 85.297 156.8334
233.000000 85.245 157.0424
236.000000 85.198 157.2435
240.000000 85.140 157.4887
243.000000 85.096 157.6697
247.000000 85.037 157.9266
250.000000 84.993 158.1226
254.000000 84.937 158.3578
258.000000 84.880 158.5939
262.000000 84.827 158.8683
265.000000 84.787 159.0787
269.000000 84.732 159.3678
272.000000 84.694 159.6038
276.000000 84.648 159.9380
280.000000 84.609 160.2749
285.000000 84.574 160.6478
290.000000 84.539 160.9358
295.000000 84.500 161.1825
300.000000 84.461 161.4192
304.000000 84.425 161.6073
307.000000 84.394 161.7486
311.000000 84.351 161.9412
315.000000 84.310 162.1476
320.000000 84.260 162.4362
325.000000 84.209 162.7261
330.000000 84.160 163.0221
