* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.800. Timing signal peak level -43.7 dBFS, measurement signal peak level -17.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 13/07/2022 8:52:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0905 ms (-31 mm, -1.22 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: FH3 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 83.281 0.5453
1.015000 83.492 -1.3516
1.030000 83.700 -3.1777
1.044000 83.891 -4.8118
1.060000 84.105 -6.5883
1.075000 84.301 -8.1582
1.090000 84.494 -9.6281
1.106000 84.694 -11.0773
1.120000 84.865 -12.2424
1.138000 85.081 -13.6084
1.150000 85.223 -14.4426
1.172000 85.476 -15.8279
1.180000 85.566 -16.2892
1.206000 85.853 -17.6513
1.220000 86.004 -18.3079
1.241000 86.226 -19.2092
1.250000 86.320 -19.5692
1.265000 86.473 -20.1404
1.280000 86.625 -20.6824
1.315000 86.969 -21.8760
1.320000 87.017 -22.0426
1.340000 87.207 -22.7107
1.360000 87.395 -23.3951
1.380000 87.579 -24.1141
1.400000 87.760 -24.8860
1.430000 88.028 -26.1828
1.450000 88.204 -27.1666
1.475000 88.422 -28.5535
1.500000 88.633 -30.0506
1.525000 88.839 -31.6269
1.550000 89.039 -33.2681
1.575000 89.234 -34.9598
1.600000 89.423 -36.6879
1.625000 89.608 -38.4379
1.650000 89.787 -40.1955
1.675000 89.963 -41.9466
1.700000 90.134 -43.6767
1.725000 90.301 -45.3715
1.750000 90.464 -47.0168
1.775000 90.624 -48.5982
1.800000 90.781 -50.1014
1.825000 90.935 -51.5122
1.850000 91.085 -52.8275
1.875000 91.231 -54.0713
1.900000 91.372 -55.2518
1.925000 91.509 -56.3764
1.950000 91.642 -57.4524
1.975000 91.771 -58.4871
2.000000 91.896 -59.4877
2.030000 92.042 -60.6540
2.060000 92.184 -61.7944
2.090000 92.320 -62.9218
2.120000 92.454 -64.0486
2.140000 92.540 -64.8058
2.180000 92.710 -66.3514
2.200000 92.792 -67.1471
2.240000 92.952 -68.7553
2.270000 93.066 -69.9620
2.300000 93.176 -71.1663
2.330000 93.281 -72.3656
2.360000 93.382 -73.5573
2.400000 93.512 -75.1297
2.430000 93.605 -76.2932
2.470000 93.725 -77.8186
2.500000 93.812 -78.9398
2.540000 93.924 -80.3991
2.580000 94.033 -81.8144
2.620000 94.135 -83.2004
2.650000 94.208 -84.2220
2.690000 94.300 -85.5587
2.720000 94.366 -86.5409
2.760000 94.450 -87.8215
2.800000 94.530 -89.0670
2.850000 94.626 -90.5711
2.900000 94.718 -92.0126
2.950000 94.806 -93.3849
3.000000 94.889 -94.6710
3.040000 94.951 -95.6444
3.070000 94.995 -96.3476
3.110000 95.052 -97.2562
3.150000 95.106 -98.1392
3.200000 95.171 -99.2196
3.250000 95.235 -100.2893
3.300000 95.298 -101.3645
3.350000 95.360 -102.4454
3.400000 95.418 -103.5186
3.450000 95.473 -104.5756
3.500000 95.527 -105.6079
3.550000 95.580 -106.6072
3.600000 95.632 -107.5648
3.650000 95.685 -108.4723
3.700000 95.738 -109.3177
3.750000 95.790 -110.0971
3.820000 95.862 -111.1064
3.870000 95.913 -111.7906
3.950000 95.994 -112.8656
4.000000 96.044 -113.5499
4.060000 96.105 -114.4041
4.120000 96.166 -115.2727
4.180000 96.227 -116.1439
4.250000 96.298 -117.1526
4.310000 96.357 -118.0011
4.370000 96.416 -118.8262
4.440000 96.482 -119.7492
4.500000 96.539 -120.5086
4.550000 96.585 -121.1252
4.620000 96.648 -121.9737
4.680000 96.701 -122.6964
4.750000 96.759 -123.5461
4.820000 96.814 -124.4110
4.870000 96.852 -125.0338
4.940000 96.902 -125.9051
5.000000 96.944 -126.6447
5.080000 96.995 -127.6096
5.150000 97.037 -128.4246
5.220000 97.076 -129.2182
5.300000 97.116 -130.1029
5.380000 97.153 -130.9631
5.450000 97.183 -131.6951
5.520000 97.212 -132.4075
5.600000 97.241 -133.1976
5.700000 97.274 -134.1499
5.800000 97.304 -135.0637
5.900000 97.334 -135.9394
6.000000 97.362 -136.7731
6.080000 97.383 -137.4133
6.150000 97.401 -137.9572
6.220000 97.420 -138.4883
6.300000 97.442 -139.0758
6.400000 97.470 -139.7785
6.500000 97.498 -140.4597
6.600000 97.527 -141.1348
6.700000 97.556 -141.8037
6.800000 97.586 -142.4616
6.900000 97.615 -143.1108
7.000000 97.643 -143.7533
7.100000 97.670 -144.3881
7.200000 97.696 -145.0152
7.300000 97.721 -145.6352
7.400000 97.743 -146.2503
7.500000 97.764 -146.8609
7.620000 97.787 -147.5797
7.750000 97.809 -148.3317
7.880000 97.827 -149.0586
8.000000 97.843 -149.7079
8.120000 97.858 -150.3347
8.250000 97.873 -150.9872
8.380000 97.888 -151.6190
8.500000 97.903 -152.1871
8.620000 97.918 -152.7375
8.750000 97.935 -153.3241
8.850000 97.948 -153.7742
9.000000 97.969 -154.4417
9.120000 97.985 -154.9742
9.250000 98.001 -155.5554
9.380000 98.017 -156.1387
9.500000 98.029 -156.6740
9.620000 98.039 -157.2058
9.750000 98.047 -157.7791
9.880000 98.053 -158.3382
10.000000 98.055 -158.8390
10.150000 98.055 -159.4462
10.300000 98.054 -160.0195
10.440000 98.052 -160.5222
10.600000 98.049 -161.0641
10.750000 98.048 -161.5392
10.900000 98.050 -161.9863
11.060000 98.055 -162.4510
11.200000 98.064 -162.8428
11.380000 98.078 -163.3519
11.500000 98.090 -163.6985
11.720000 98.114 -164.3537
11.800000 98.123 -164.6032
12.060000 98.151 -165.4458
12.200000 98.163 -165.9167
12.410000 98.176 -166.6394
12.500000 98.179 -166.9460
12.650000 98.182 -167.4581
12.800000 98.180 -167.9582
13.150000 98.166 -169.0467
13.200000 98.163 -169.1917
13.400000 98.150 -169.7423
13.600000 98.138 -170.2537
13.800000 98.128 -170.7254
14.000000 98.120 -171.1748
14.300000 98.114 -171.8184
14.500000 98.113 -172.2437
14.750000 98.114 -172.7805
15.000000 98.116 -173.3270
15.250000 98.116 -173.8832
15.500000 98.114 -174.4435
15.750000 98.110 -175.0042
16.000000 98.102 -175.5595
16.250000 98.091 -176.1050
16.500000 98.077 -176.6366
16.750000 98.059 -177.1492
17.000000 98.039 -177.6348
17.250000 98.018 -178.0900
17.500000 97.996 -178.5107
17.750000 97.976 -178.9017
18.000000 97.959 -179.2729
18.250000 97.947 -179.6354
18.500000 97.938 179.9901
18.750000 97.931 179.5966
19.000000 97.923 179.1778
19.250000 97.911 178.7411
19.500000 97.895 178.3023
19.750000 97.875 177.8743
20.000000 97.851 177.4770
20.299999 97.822 177.0428
20.600000 97.796 176.6459
20.900000 97.775 176.2639
21.200001 97.757 175.8698
21.400000 97.745 175.5942
21.799999 97.718 175.0296
22.000000 97.702 174.7537
22.400000 97.666 174.2469
22.700001 97.641 173.9098
23.000000 97.623 173.5850
23.299999 97.610 173.2328
23.600000 97.598 172.8316
24.000000 97.572 172.2275
24.299999 97.540 171.7715
24.700001 97.484 171.2446
25.000000 97.440 170.9444
25.400000 97.392 170.6465
25.799999 97.364 170.3642
26.200001 97.349 170.0016
26.500000 97.337 169.6677
26.900000 97.313 169.1799
27.200001 97.291 168.8180
27.600000 97.258 168.3574
28.000000 97.227 167.8962
28.500000 97.182 167.2889
29.000000 97.120 166.7287
29.500000 97.051 166.3492
30.000000 97.002 166.1385
30.400000 96.987 165.9648
30.700001 96.984 165.7706
31.100000 96.975 165.4265
31.500000 96.953 165.0627
32.000000 96.916 164.7244
32.500000 96.897 164.5161
33.000000 96.913 164.2043
33.500000 96.936 163.5523
34.000000 96.915 162.5768
34.500000 96.818 161.5968
35.000000 96.662 160.9717
35.500000 96.501 160.8419
36.000000 96.380 161.0266
36.500000 96.303 161.2632
37.000000 96.248 161.4717
37.500000 96.213 161.7574
38.200001 96.250 162.2113
38.700001 96.350 162.1382
39.500000 96.467 160.7291
40.000000 96.415 159.5579
40.599998 96.243 158.7936
41.200001 96.091 159.0251
41.799999 96.061 159.6036
42.500000 96.133 159.7129
43.099998 96.177 159.1935
43.700001 96.153 158.4564
44.400002 96.036 157.7627
45.000000 95.889 157.6957
45.500000 95.796 158.1211
46.200001 95.801 158.8655
46.799999 95.893 158.7885
47.500000 95.926 157.8044
48.200001 95.840 156.9326
48.700001 95.777 156.6083
49.400002 95.729 156.0125
50.000000 95.647 155.2217
50.799999 95.446 154.6687
51.500000 95.317 154.8715
52.200001 95.276 154.9178
53.000000 95.218 154.5329
53.799999 95.127 154.2600
54.500000 95.066 154.0717
55.200001 95.002 153.7496
56.000000 94.902 153.4472
57.000000 94.797 153.3670
58.000000 94.742 153.1795
59.000000 94.676 152.7550
60.000000 94.581 152.4510
60.799999 94.511 152.3383
61.500000 94.455 152.2422
62.200001 94.395 152.1457
63.000000 94.323 152.0675
64.000000 94.231 151.9861
65.000000 94.134 151.9522
66.000000 94.050 151.9701
67.000000 93.981 151.9408
68.000000 93.923 151.8345
69.000000 93.863 151.6220
70.000000 93.786 151.4635
71.000000 93.716 151.4305
72.000000 93.657 151.3730
73.000000 93.592 151.3274
74.000000 93.533 151.3340
75.000000 93.480 151.3017
76.199997 93.414 151.2408
77.500000 93.335 151.0894
78.800003 93.209 150.9277
80.000000 93.062 151.1755
81.199997 92.987 151.5450
82.500000 92.907 151.3898
83.800003 92.807 151.3318
85.000000 92.747 151.2940
86.199997 92.736 151.2880
87.500000 92.739 150.8084
88.500000 92.657 150.4276
90.000000 92.473 150.8380
91.199997 92.384 151.5577
92.500000 92.335 152.1594
93.800003 92.329 152.2909
95.000000 92.299 151.9416
96.199997 92.238 151.6571
97.500000 92.177 151.5795
98.800003 92.146 151.7928
100.000000 92.158 151.8766
101.500000 92.126 151.6567
103.000000 92.068 151.5667
104.400002 92.031 151.2904
106.000000 91.955 150.9072
107.500000 91.878 150.9034
109.000000 91.820 150.9829
110.599998 91.718 151.0515
112.000000 91.618 151.3126
113.800003 91.531 151.4254
115.000000 91.472 151.3886
117.199997 91.394 151.4843
118.000000 91.376 151.5540
120.599998 91.308 151.8350
122.000000 91.264 151.9923
124.099998 91.191 152.1156
125.000000 91.159 152.1270
126.500000 91.104 152.1203
128.000000 91.048 152.1262
131.500000 90.917 152.3759
132.000000 90.901 152.4377
134.000000 90.839 152.6684
136.000000 90.777 152.8445
138.000000 90.715 152.9338
140.000000 90.655 152.9625
143.000000 90.566 153.0759
145.000000 90.497 153.1755
147.500000 90.379 153.1886
150.000000 90.254 153.3115
152.500000 90.204 153.5082
155.000000 90.163 153.6469
157.500000 90.091 153.8940
160.000000 90.002 154.1473
162.500000 89.921 154.3829
165.000000 89.856 154.6346
167.500000 89.795 154.8942
170.000000 89.731 155.1334
172.500000 89.664 155.3543
175.000000 89.597 155.5754
177.500000 89.533 155.8094
180.000000 89.475 156.0444
182.500000 89.418 156.2872
185.000000 89.361 156.5452
187.500000 89.305 156.7903
190.000000 89.251 157.0146
192.500000 89.199 157.2277
195.000000 89.148 157.4487
197.500000 89.098 157.6790
200.000000 89.047 157.9029
203.000000 88.982 158.1529
206.000000 88.915 158.4194
209.000000 88.852 158.7086
212.000000 88.793 158.9929
214.000000 88.754 159.1732
218.000000 88.677 159.5509
220.000000 88.640 159.7619
224.000000 88.567 160.1916
227.000000 88.514 160.4952
230.000000 88.465 160.7999
233.000000 88.418 161.1041
236.000000 88.371 161.3995
240.000000 88.310 161.7973
243.000000 88.266 162.0872
247.000000 88.202 162.3717
250.000000 88.157 162.5905
254.000000 88.115 163.0290
258.000000 88.074 163.4465
262.000000 88.028 163.7587
265.000000 87.992 163.9616
269.000000 87.941 164.2202
272.000000 87.899 164.4215
276.000000 87.841 164.6904
280.000000 87.780 164.9504
285.000000 87.704 165.3102
290.000000 87.628 165.6996
295.000000 87.549 166.0867
300.000000 87.473 166.4692
