* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23/07/2022 12:20:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FH9 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 74.872 -165.4566
1.015000 74.974 -165.8062
1.030000 75.073 -166.1776
1.044000 75.164 -166.5446
1.060000 75.265 -166.9862
1.075000 75.358 -167.4200
1.090000 75.449 -167.8715
1.106000 75.543 -168.3705
1.120000 75.625 -168.8205
1.138000 75.727 -169.4151
1.150000 75.794 -169.8202
1.172000 75.915 -170.5779
1.180000 75.958 -170.8575
1.206000 76.096 -171.7769
1.220000 76.170 -172.2766
1.241000 76.279 -173.0287
1.250000 76.325 -173.3511
1.265000 76.402 -173.8869
1.280000 76.478 -174.4197
1.315000 76.656 -175.6417
1.320000 76.681 -175.8130
1.340000 76.783 -176.4874
1.360000 76.885 -177.1468
1.380000 76.985 -177.8035
1.400000 77.085 -178.4589
1.430000 77.232 -179.4403
1.450000 77.329 179.9056
1.475000 77.449 179.0876
1.500000 77.566 178.2679
1.525000 77.682 177.4457
1.550000 77.796 176.6199
1.575000 77.908 175.7896
1.600000 78.018 174.9538
1.625000 78.126 174.1114
1.650000 78.232 173.2615
1.675000 78.336 172.4031
1.700000 78.438 171.5345
1.725000 78.538 170.6539
1.750000 78.635 169.7630
1.775000 78.730 168.8636
1.800000 78.823 167.9575
1.825000 78.915 167.0464
1.850000 79.004 166.1321
1.875000 79.092 165.2166
1.900000 79.178 164.3014
1.925000 79.263 163.3884
1.950000 79.347 162.4795
1.975000 79.429 161.5764
2.000000 79.511 160.6808
2.030000 79.608 159.6179
2.060000 79.703 158.5599
2.090000 79.796 157.5051
2.120000 79.887 156.4536
2.140000 79.946 155.7547
2.180000 80.063 154.3623
2.200000 80.120 153.6690
2.240000 80.232 152.2888
2.270000 80.314 151.2596
2.300000 80.394 150.2359
2.330000 80.474 149.2180
2.360000 80.552 148.2064
2.400000 80.654 146.8649
2.430000 80.728 145.8640
2.470000 80.824 144.5369
2.500000 80.895 143.5477
2.540000 80.986 142.2374
2.580000 81.076 140.9377
2.620000 81.163 139.6494
2.650000 81.227 138.6911
2.690000 81.311 137.4246
2.720000 81.373 136.4819
2.760000 81.453 135.2320
2.800000 81.531 133.9917
2.850000 81.625 132.4573
2.900000 81.716 130.9437
2.950000 81.804 129.4542
3.000000 81.890 127.9919
3.040000 81.958 126.8437
3.070000 82.008 125.9948
3.110000 82.072 124.8780
3.150000 82.135 123.7778
3.200000 82.211 122.4248
3.250000 82.286 121.0952
3.300000 82.358 119.7872
3.350000 82.429 118.4996
3.400000 82.498 117.2310
3.450000 82.565 115.9820
3.500000 82.630 114.7540
3.550000 82.693 113.5484
3.600000 82.755 112.3665
3.650000 82.815 111.2096
3.700000 82.875 110.0792
3.750000 82.934 108.9768
3.820000 83.014 107.4789
3.870000 83.070 106.4388
3.950000 83.157 104.8204
4.000000 83.211 103.8346
4.060000 83.275 102.6749
4.120000 83.337 101.5445
4.180000 83.399 100.4439
4.250000 83.470 99.1960
4.310000 83.530 98.1561
4.370000 83.590 97.1425
4.440000 83.659 95.9962
4.500000 83.718 95.0460
4.550000 83.767 94.2745
4.620000 83.835 93.2216
4.680000 83.894 92.3408
4.750000 83.962 91.3362
4.820000 84.029 90.3629
4.870000 84.078 89.6854
4.940000 84.145 88.7589
5.000000 84.203 87.9824
5.080000 84.280 86.9694
5.150000 84.347 86.1092
5.220000 84.415 85.2717
5.300000 84.491 84.3380
5.380000 84.567 83.4239
5.450000 84.633 82.6407
5.520000 84.700 81.8758
5.600000 84.774 81.0206
5.700000 84.867 79.9745
5.800000 84.958 78.9510
5.900000 85.047 77.9535
6.000000 85.135 76.9795
6.080000 85.203 76.2153
6.150000 85.262 75.5582
6.220000 85.320 74.9120
6.300000 85.384 74.1867
6.400000 85.462 73.2993
6.500000 85.537 72.4326
6.600000 85.609 71.5873
6.700000 85.679 70.7657
6.800000 85.746 69.9690
6.900000 85.810 69.1960
7.000000 85.872 68.4478
7.100000 85.933 67.7254
7.200000 85.991 67.0291
7.300000 86.047 66.3578
7.400000 86.102 65.7103
7.500000 86.157 65.0884
7.620000 86.221 64.3742
7.750000 86.291 63.6302
7.880000 86.362 62.9193
8.000000 86.428 62.2868
8.120000 86.495 61.6637
8.250000 86.570 61.0057
8.380000 86.646 60.3523
8.500000 86.717 59.7430
8.620000 86.789 59.1325
8.750000 86.867 58.4582
8.850000 86.926 57.9271
9.000000 87.014 57.1141
9.120000 87.082 56.4476
9.250000 87.152 55.7069
9.380000 87.219 54.9538
9.500000 87.276 54.2521
9.620000 87.329 53.5413
9.750000 87.382 52.7741
9.880000 87.430 52.0136
10.000000 87.469 51.3172
10.150000 87.514 50.4697
10.300000 87.553 49.6461
10.440000 87.586 48.9029
10.600000 87.622 48.0883
10.750000 87.653 47.3523
10.900000 87.684 46.6410
11.060000 87.717 45.9057
11.200000 87.746 45.2721
11.380000 87.783 44.4723
11.500000 87.807 43.9416
11.720000 87.849 42.9750
11.800000 87.863 42.6283
12.060000 87.902 41.5159
12.200000 87.919 40.9445
12.410000 87.939 40.1288
12.500000 87.946 39.8045
12.650000 87.957 39.2957
12.800000 87.970 38.8288
13.150000 88.010 37.9031
13.200000 88.018 37.7846
13.400000 88.056 37.3335
13.600000 88.107 36.8716
13.800000 88.166 36.3815
14.000000 88.231 35.8238
14.300000 88.323 34.8516
14.500000 88.374 34.1311
14.750000 88.417 33.1852
15.000000 88.435 32.2882
15.250000 88.434 31.5110
15.500000 88.423 30.9006
15.750000 88.415 30.4780
16.000000 88.426 30.1801
16.250000 88.460 29.9203
16.500000 88.517 29.6143
16.750000 88.588 29.1691
17.000000 88.655 28.5555
17.250000 88.709 27.8030
17.500000 88.738 26.9606
17.750000 88.739 26.1201
18.000000 88.716 25.3713
18.250000 88.677 24.7579
18.500000 88.633 24.3057
18.750000 88.596 23.9987
19.000000 88.574 23.7778
19.250000 88.567 23.5911
19.500000 88.575 23.3871
19.750000 88.592 23.1224
20.000000 88.612 22.7938
20.299999 88.631 22.3306
20.600000 88.641 21.8335
20.900000 88.640 21.3538
21.200001 88.634 20.9319
21.400000 88.630 20.6936
21.799999 88.630 20.2998
22.000000 88.637 20.1227
22.400000 88.666 19.7430
22.700001 88.693 19.3817
23.000000 88.716 18.9438
23.299999 88.724 18.4643
23.600000 88.714 18.0165
24.000000 88.677 17.6240
24.299999 88.651 17.5500
24.700001 88.649 17.7045
25.000000 88.687 17.8698
25.400000 88.786 17.9133
25.799999 88.903 17.5738
26.200001 88.993 16.8926
26.500000 89.027 16.2943
26.900000 89.035 15.5875
27.200001 89.026 15.2064
27.600000 89.020 14.8734
28.000000 89.035 14.6075
28.500000 89.072 14.1506
29.000000 89.091 13.5219
29.500000 89.074 12.9095
30.000000 89.035 12.5151
30.400000 89.009 12.3764
30.700001 89.000 12.3367
31.100000 89.006 12.3026
31.500000 89.029 12.2208
32.000000 89.070 11.9877
32.500000 89.109 11.6036
33.000000 89.135 11.1222
33.500000 89.149 10.6021
34.000000 89.156 10.0515
34.500000 89.154 9.4340
35.000000 89.128 8.7596
35.500000 89.068 8.1600
36.000000 88.986 7.8377
36.500000 88.921 7.8756
37.000000 88.915 8.0908
37.500000 88.971 8.1389
38.200001 89.071 7.5574
38.700001 89.097 6.8451
39.500000 89.055 5.9667
40.000000 89.028 5.7363
40.599998 89.029 5.5442
41.200001 89.044 5.2116
41.799999 89.035 4.8160
42.500000 89.001 4.5933
43.099998 88.996 4.6121
43.700001 89.022 4.5715
44.400002 89.052 4.3202
45.000000 89.063 4.0988
45.500000 89.077 3.9757
46.200001 89.123 3.7352
46.799999 89.172 3.2830
47.500000 89.199 2.4700
48.200001 89.165 1.5920
48.700001 89.107 1.1176
49.400002 89.016 0.8431
50.000000 88.972 0.8620
50.799999 88.969 0.8256
51.500000 88.975 0.6180
52.200001 88.976 0.3997
53.000000 88.989 0.1482
53.799999 89.006 -0.2145
54.500000 89.011 -0.5885
55.200001 89.005 -0.9381
56.000000 88.996 -1.2517
57.000000 88.998 -1.5824
58.000000 89.014 -1.9277
59.000000 89.048 -2.4470
60.000000 89.029 -3.2677
60.799999 88.956 -3.6057
61.500000 88.918 -3.5601
62.200001 88.925 -3.5588
63.000000 88.937 -3.8262
64.000000 88.913 -4.2140
65.000000 88.886 -4.4073
66.000000 88.885 -4.5682
67.000000 88.900 -4.8754
68.000000 88.905 -5.2872
69.000000 88.902 -5.6750
70.000000 88.900 -6.0396
71.000000 88.897 -6.3706
72.000000 88.897 -6.6697
73.000000 88.895 -6.9788
74.000000 88.886 -7.2594
75.000000 88.877 -7.5040
76.199997 88.867 -7.8215
77.500000 88.857 -8.1947
78.800003 88.847 -8.6968
80.000000 88.820 -9.1689
81.199997 88.795 -9.5777
82.500000 88.769 -9.9711
83.800003 88.751 -10.3529
85.000000 88.717 -10.7162
86.199997 88.677 -10.8960
87.500000 88.660 -11.0209
88.500000 88.656 -11.2102
90.000000 88.639 -11.5282
91.199997 88.629 -11.7526
92.500000 88.612 -12.0458
93.800003 88.573 -12.2805
95.000000 88.538 -12.3365
96.199997 88.531 -12.4410
97.500000 88.526 -12.8303
98.800003 88.495 -13.2969
100.000000 88.469 -13.6050
101.500000 88.470 -13.9348
103.000000 88.495 -14.3677
104.400002 88.503 -14.8961
106.000000 88.474 -15.4097
107.500000 88.446 -15.6678
109.000000 88.441 -15.9330
110.599998 88.426 -16.2699
112.000000 88.394 -16.4473
113.800003 88.344 -16.4584
115.000000 88.313 -16.4274
117.199997 88.284 -16.3973
118.000000 88.293 -16.4668
120.599998 88.326 -17.0807
122.000000 88.351 -17.3077
124.099998 88.400 -17.9346
125.000000 88.394 -18.2972
126.500000 88.355 -18.7748
128.000000 88.326 -19.0508
131.500000 88.334 -19.9948
132.000000 88.326 -20.1521
134.000000 88.275 -20.5967
136.000000 88.242 -20.9672
138.000000 88.223 -21.4514
140.000000 88.208 -21.8784
143.000000 88.170 -22.3238
145.000000 88.127 -22.6384
147.500000 88.073 -23.1804
150.000000 88.048 -23.7034
152.500000 88.049 -24.0674
155.000000 88.039 -24.3619
157.500000 88.002 -24.7411
160.000000 87.949 -25.1940
162.500000 87.903 -25.8318
165.000000 87.828 -26.4464
167.500000 87.760 -26.7537
170.000000 87.713 -26.9896
172.500000 87.689 -27.3793
175.000000 87.690 -27.9121
177.500000 87.698 -28.3676
180.000000 87.681 -28.6704
182.500000 87.639 -28.9487
185.000000 87.590 -29.2495
187.500000 87.548 -29.4811
190.000000 87.513 -29.7227
192.500000 87.477 -30.1541
195.000000 87.435 -30.6363
197.500000 87.396 -30.9778
200.000000 87.358 -31.2086
203.000000 87.304 -31.4763
206.000000 87.249 -31.7003
209.000000 87.202 -31.9758
212.000000 87.158 -32.4543
214.000000 87.119 -32.8481
218.000000 87.034 -33.3963
220.000000 87.008 -33.6184
224.000000 86.979 -34.2701
227.000000 86.949 -34.7599
230.000000 86.912 -35.0615
233.000000 86.884 -35.3287
236.000000 86.851 -35.6996
240.000000 86.790 -36.1661
243.000000 86.741 -36.4387
247.000000 86.641 -36.7893
250.000000 86.565 -37.1068
254.000000 86.534 -37.5968
258.000000 86.510 -37.8452
262.000000 86.443 -37.9942
265.000000 86.401 -38.2784
269.000000 86.348 -38.7413
272.000000 86.305 -39.0555
276.000000 86.258 -39.4813
280.000000 86.203 -39.8531
285.000000 86.145 -40.3471
290.000000 86.074 -40.8586
295.000000 85.995 -41.2926
300.000000 85.915 -41.6642
304.000000 85.858 -42.0217
307.000000 85.821 -42.3123
311.000000 85.760 -42.6851
315.000000 85.690 -43.0288
320.000000 85.599 -43.4852
325.000000 85.514 -43.9480
330.000000 85.430 -44.3027
335.000000 85.328 -44.6060
340.000000 85.230 -44.9029
