* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23/07/2022 12:19:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FH9 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 62.512 -126.4477
1.015000 62.675 -127.9939
1.030000 62.839 -129.4479
1.044000 62.993 -130.7301
1.060000 63.171 -132.1136
1.075000 63.339 -133.3374
1.090000 63.508 -134.4967
1.106000 63.688 -135.6690
1.120000 63.847 -136.6459
1.138000 64.052 -137.8433
1.150000 64.189 -138.6096
1.172000 64.439 -139.9600
1.180000 64.530 -140.4366
1.206000 64.826 -141.9467
1.220000 64.984 -142.7435
1.241000 65.220 -143.9306
1.250000 65.321 -144.4399
1.265000 65.488 -145.2945
1.280000 65.654 -146.1614
1.315000 66.035 -148.2662
1.320000 66.089 -148.5795
1.340000 66.301 -149.8736
1.360000 66.511 -151.2283
1.380000 66.719 -152.6057
1.400000 66.926 -153.9992
1.430000 67.234 -156.1103
1.450000 67.437 -157.5253
1.475000 67.689 -159.2952
1.500000 67.939 -161.0583
1.525000 68.186 -162.8063
1.550000 68.430 -164.5309
1.575000 68.671 -166.2236
1.600000 68.909 -167.8760
1.625000 69.143 -169.4798
1.650000 69.374 -171.0265
1.675000 69.600 -172.5077
1.700000 69.823 -173.9178
1.725000 70.043 -175.2628
1.750000 70.259 -176.5501
1.775000 70.472 -177.7865
1.800000 70.681 -178.9789
1.825000 70.888 179.8658
1.850000 71.091 178.7407
1.875000 71.291 177.6389
1.900000 71.488 176.5534
1.925000 71.682 175.4775
1.950000 71.873 174.4041
1.975000 72.062 173.3265
2.000000 72.248 172.2376
2.030000 72.467 170.9095
2.060000 72.682 169.5822
2.090000 72.892 168.2640
2.120000 73.098 166.9557
2.140000 73.232 166.0895
2.180000 73.497 164.3724
2.200000 73.626 163.5219
2.240000 73.880 161.8384
2.270000 74.066 160.5920
2.300000 74.248 159.3604
2.330000 74.428 158.1443
2.360000 74.604 156.9446
2.400000 74.833 155.3661
2.430000 75.000 154.1970
2.470000 75.217 152.6591
2.500000 75.376 151.5220
2.540000 75.582 150.0288
2.580000 75.782 148.5631
2.620000 75.977 147.1262
2.650000 76.121 146.0682
2.690000 76.307 144.6850
2.720000 76.444 143.6715
2.760000 76.621 142.3555
2.800000 76.793 141.0745
2.850000 77.000 139.5138
2.900000 77.199 137.9878
2.950000 77.391 136.4852
3.000000 77.578 134.9949
3.040000 77.723 133.8041
3.070000 77.829 132.9108
3.110000 77.965 131.7233
3.150000 78.098 130.5448
3.200000 78.258 129.0918
3.250000 78.412 127.6706
3.300000 78.561 126.2912
3.350000 78.706 124.9636
3.400000 78.846 123.6964
3.450000 78.981 122.4863
3.500000 79.111 121.3236
3.550000 79.236 120.1987
3.600000 79.357 119.1019
3.650000 79.475 118.0236
3.700000 79.590 116.9542
3.750000 79.703 115.8922
3.820000 79.853 114.4327
3.870000 79.957 113.4150
3.950000 80.118 111.8405
4.000000 80.216 110.8960
4.060000 80.332 109.8098
4.120000 80.445 108.7800
4.180000 80.555 107.7980
4.250000 80.680 106.6979
4.310000 80.785 105.7814
4.370000 80.890 104.8779
4.440000 81.010 103.8420
4.500000 81.112 102.9793
4.550000 81.196 102.2767
4.620000 81.311 101.3158
4.680000 81.410 100.5111
4.750000 81.524 99.5946
4.820000 81.637 98.7094
4.870000 81.717 98.0929
4.940000 81.829 97.2455
5.000000 81.923 96.5285
5.080000 82.047 95.5784
5.150000 82.155 94.7607
5.220000 82.261 93.9550
5.300000 82.381 93.0450
5.380000 82.498 92.1418
5.450000 82.599 91.3558
5.520000 82.698 90.5761
5.600000 82.808 89.6932
5.700000 82.942 88.6023
5.800000 83.071 87.5258
5.900000 83.195 86.4631
6.000000 83.314 85.4156
6.080000 83.405 84.5891
6.150000 83.482 83.8719
6.220000 83.556 83.1617
6.300000 83.637 82.3621
6.400000 83.735 81.3867
6.500000 83.828 80.4381
6.600000 83.916 79.5143
6.700000 84.000 78.6167
6.800000 84.080 77.7464
6.900000 84.156 76.9027
7.000000 84.229 76.0860
7.100000 84.301 75.2970
7.200000 84.370 74.5381
7.300000 84.437 73.8051
7.400000 84.503 73.0927
7.500000 84.568 72.4016
7.620000 84.645 71.6008
7.750000 84.728 70.7551
7.880000 84.810 69.9321
8.000000 84.885 69.1897
8.120000 84.959 68.4538
8.250000 85.039 67.6667
8.380000 85.116 66.8868
8.500000 85.186 66.1688
8.620000 85.254 65.4544
8.750000 85.324 64.6872
8.850000 85.376 64.1013
9.000000 85.450 63.2307
9.120000 85.506 62.5473
9.250000 85.564 61.8186
9.380000 85.619 61.1054
9.500000 85.667 60.4648
9.620000 85.713 59.8400
9.750000 85.762 59.1799
9.880000 85.810 58.5386
10.000000 85.853 57.9618
10.150000 85.907 57.2545
10.300000 85.960 56.5646
10.440000 86.009 55.9280
10.600000 86.066 55.2062
10.750000 86.117 54.5335
10.900000 86.167 53.8601
11.060000 86.219 53.1440
11.200000 86.261 52.5208
11.380000 86.312 51.7255
11.500000 86.343 51.2065
11.720000 86.394 50.2771
11.800000 86.412 49.9514
12.060000 86.463 48.9382
12.200000 86.490 48.4261
12.410000 86.528 47.7009
12.500000 86.545 47.4037
12.650000 86.574 46.9284
12.800000 86.604 46.4687
13.150000 86.679 45.4420
13.200000 86.690 45.2977
13.400000 86.736 44.7256
13.600000 86.782 44.1542
13.800000 86.827 43.5854
14.000000 86.870 43.0206
14.300000 86.930 42.1930
14.500000 86.969 41.6582
14.750000 87.015 41.0123
15.000000 87.060 40.3857
15.250000 87.104 39.7695
15.500000 87.147 39.1570
15.750000 87.186 38.5421
16.000000 87.220 37.9323
16.250000 87.249 37.3396
16.500000 87.273 36.7755
16.750000 87.295 36.2518
17.000000 87.319 35.7618
17.250000 87.346 35.2856
17.500000 87.377 34.8009
17.750000 87.410 34.2762
18.000000 87.439 33.7028
18.250000 87.460 33.0981
18.500000 87.469 32.4909
18.750000 87.466 31.9394
19.000000 87.458 31.4902
19.250000 87.454 31.1502
19.500000 87.464 30.9067
19.750000 87.497 30.6871
20.000000 87.551 30.3972
20.299999 87.630 29.8738
20.600000 87.704 29.1210
20.900000 87.747 28.2184
21.200001 87.751 27.3456
21.400000 87.735 26.8866
21.799999 87.702 26.3765
22.000000 87.706 26.2910
22.400000 87.778 26.1929
22.700001 87.876 25.8812
23.000000 87.974 25.2274
23.299999 88.032 24.2970
23.600000 88.029 23.3216
24.000000 87.941 22.4543
24.299999 87.864 22.3071
24.700001 87.826 22.5745
25.000000 87.860 22.7085
25.400000 87.929 22.3226
25.799999 87.906 21.3922
26.200001 87.729 20.7782
26.500000 87.537 21.1297
26.900000 87.357 22.8466
27.200001 87.386 24.6281
27.600000 87.660 26.4131
28.000000 88.047 26.5534
28.500000 88.384 24.4791
29.000000 88.409 21.7550
29.500000 88.235 20.0554
30.000000 88.090 19.5007
30.400000 88.061 19.2144
30.700001 88.067 18.8047
31.100000 88.058 18.0052
31.500000 88.007 17.2285
32.000000 87.924 16.7161
32.500000 87.901 16.6419
33.000000 87.957 16.4933
33.500000 88.036 15.9963
34.000000 88.086 15.3350
34.500000 88.105 14.7957
35.000000 88.123 14.4581
35.500000 88.158 14.2130
36.000000 88.204 13.9241
36.500000 88.247 13.5270
37.000000 88.274 13.0365
37.500000 88.277 12.5181
38.200001 88.247 11.8796
38.700001 88.216 11.5275
39.500000 88.173 11.1257
40.000000 88.162 10.9457
40.599998 88.173 10.7200
41.200001 88.204 10.3890
41.799999 88.235 9.9564
42.500000 88.260 9.4645
43.099998 88.278 9.1434
43.700001 88.303 8.9237
44.400002 88.349 8.7236
45.000000 88.402 8.4431
45.500000 88.434 8.0513
46.200001 88.423 7.4194
46.799999 88.371 7.0979
47.500000 88.324 7.0376
48.200001 88.320 6.9191
48.700001 88.320 6.6553
49.400002 88.296 6.1984
50.000000 88.267 5.8959
50.799999 88.253 5.5934
51.500000 88.265 5.2759
52.200001 88.282 4.8848
53.000000 88.297 4.4585
53.799999 88.316 4.1196
54.500000 88.338 3.8223
55.200001 88.352 3.4886
56.000000 88.348 3.1496
57.000000 88.333 2.8579
58.000000 88.325 2.5919
59.000000 88.313 2.1902
60.000000 88.274 1.8801
60.799999 88.267 1.8380
61.500000 88.297 1.7079
62.200001 88.331 1.3588
63.000000 88.347 0.8481
64.000000 88.347 0.2424
65.000000 88.335 -0.3923
66.000000 88.294 -0.9513
67.000000 88.250 -1.2701
68.000000 88.237 -1.4750
69.000000 88.242 -1.7529
70.000000 88.244 -2.0637
71.000000 88.245 -2.3307
72.000000 88.247 -2.6175
73.000000 88.235 -2.9302
74.000000 88.213 -3.1854
75.000000 88.197 -3.4252
76.199997 88.179 -3.7872
77.500000 88.151 -4.2118
78.800003 88.113 -4.4917
80.000000 88.088 -4.4725
81.199997 88.112 -4.2881
82.500000 88.177 -4.3412
83.800003 88.219 -4.6797
85.000000 88.233 -5.0405
86.199997 88.238 -5.4077
87.500000 88.239 -5.8357
88.500000 88.237 -6.1672
90.000000 88.233 -6.6215
91.199997 88.230 -6.9745
92.500000 88.224 -7.3428
93.800003 88.218 -7.6906
95.000000 88.212 -8.0355
96.199997 88.199 -8.3633
97.500000 88.186 -8.6123
98.800003 88.192 -8.8293
100.000000 88.201 -9.1587
101.500000 88.184 -9.6302
103.000000 88.158 -10.0170
104.400002 88.140 -10.3564
106.000000 88.129 -10.7233
107.500000 88.127 -11.0656
109.000000 88.118 -11.3920
110.599998 88.104 -11.6791
112.000000 88.096 -11.9340
113.800003 88.090 -12.3627
115.000000 88.079 -12.6899
117.199997 88.040 -13.1125
118.000000 88.024 -13.1894
120.599998 87.974 -13.2758
122.000000 87.958 -13.3795
124.099998 87.965 -13.7209
125.000000 87.983 -14.0149
126.500000 87.995 -14.7200
128.000000 87.967 -15.2927
131.500000 87.914 -15.8757
132.000000 87.908 -15.9210
134.000000 87.887 -16.1527
136.000000 87.856 -16.4456
138.000000 87.811 -16.8077
140.000000 87.792 -17.0994
143.000000 87.813 -17.8000
145.000000 87.801 -18.1656
147.500000 87.768 -18.5811
150.000000 87.707 -19.3159
152.500000 87.653 -19.5310
155.000000 87.782 -19.5021
157.500000 87.800 -20.7266
160.000000 87.625 -21.1841
162.500000 87.576 -21.3354
165.000000 87.560 -21.8062
167.500000 87.523 -22.0170
170.000000 87.513 -22.0579
172.500000 87.529 -22.1862
175.000000 87.525 -22.7163
177.500000 87.428 -23.4243
180.000000 87.333 -23.7454
182.500000 87.318 -24.0580
185.000000 87.338 -24.3925
187.500000 87.382 -24.7881
190.000000 87.405 -25.3397
192.500000 87.378 -25.9706
195.000000 87.304 -26.4281
197.500000 87.255 -26.6473
200.000000 87.234 -26.8972
203.000000 87.189 -27.1882
206.000000 87.148 -27.4896
209.000000 87.114 -27.9274
212.000000 87.088 -28.4269
214.000000 87.056 -28.6946
218.000000 87.010 -28.9461
220.000000 86.979 -29.1548
224.000000 86.885 -29.5283
227.000000 86.839 -29.8765
230.000000 86.830 -30.1348
233.000000 86.862 -30.4347
236.000000 86.845 -30.8420
240.000000 86.696 -31.4055
243.000000 86.523 -31.8137
247.000000 86.385 -32.1910
250.000000 86.440 -32.7251
254.000000 86.625 -33.4858
258.000000 86.765 -33.5967
262.000000 86.710 -33.5441
265.000000 86.590 -33.9103
269.000000 86.472 -34.5953
272.000000 86.418 -34.9442
276.000000 86.350 -35.3979
280.000000 86.299 -36.0281
285.000000 86.251 -36.5823
290.000000 86.197 -36.9431
295.000000 86.151 -37.4551
300.000000 86.098 -37.8607
304.000000 86.027 -38.0629
307.000000 85.965 -38.2264
311.000000 85.937 -38.3353
315.000000 85.971 -38.9572
320.000000 85.873 -40.4733
325.000000 85.621 -40.8356
330.000000 85.532 -40.2220
335.000000 85.573 -40.1499
340.000000 85.573 -40.3328
