* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23/12/2022 7:35:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FW5 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 66.310 53.5724
1.015000 66.514 53.5070
1.030000 66.715 53.3637
1.044000 66.902 53.1619
1.060000 67.113 52.8568
1.075000 67.310 52.5042
1.090000 67.504 52.0929
1.106000 67.710 51.5955
1.120000 67.888 51.1158
1.138000 68.116 50.4456
1.150000 68.266 49.9697
1.172000 68.539 49.0471
1.180000 68.637 48.6983
1.206000 68.953 47.5292
1.220000 69.121 46.8844
1.241000 69.370 45.9094
1.250000 69.476 45.4919
1.265000 69.652 44.8009
1.280000 69.825 44.1207
1.315000 70.224 42.6065
1.320000 70.280 42.4016
1.340000 70.503 41.6181
1.360000 70.723 40.8869
1.380000 70.940 40.1689
1.400000 71.153 39.4593
1.430000 71.468 38.4051
1.450000 71.673 37.7057
1.475000 71.926 36.8308
1.500000 72.174 35.9509
1.525000 72.419 35.0613
1.550000 72.659 34.1571
1.575000 72.895 33.2335
1.600000 73.127 32.2860
1.625000 73.356 31.3096
1.650000 73.581 30.2996
1.675000 73.804 29.2514
1.700000 74.022 28.1597
1.725000 74.237 27.0242
1.750000 74.447 25.8501
1.775000 74.653 24.6430
1.800000 74.855 23.4084
1.825000 75.054 22.1519
1.850000 75.249 20.8791
1.875000 75.440 19.5956
1.900000 75.629 18.3068
1.925000 75.814 17.0183
1.950000 75.997 15.7357
1.975000 76.177 14.4646
2.000000 76.354 13.2104
2.030000 76.564 11.7330
2.060000 76.769 10.2637
2.090000 76.970 8.7961
2.120000 77.166 7.3305
2.140000 77.295 6.3547
2.180000 77.546 4.4070
2.200000 77.669 3.4352
2.240000 77.909 1.4964
2.270000 78.086 0.0470
2.300000 78.259 -1.3981
2.330000 78.430 -2.8383
2.360000 78.597 -4.2734
2.400000 78.815 -6.1817
2.430000 78.974 -7.6096
2.470000 79.180 -9.5082
2.500000 79.330 -10.9274
2.540000 79.526 -12.8124
2.580000 79.716 -14.6878
2.620000 79.901 -16.5525
2.650000 80.037 -17.9432
2.690000 80.213 -19.7860
2.720000 80.343 -21.1638
2.760000 80.511 -23.0022
2.800000 80.673 -24.8365
2.850000 80.868 -27.1144
2.900000 81.056 -29.3644
2.950000 81.238 -31.5747
3.000000 81.413 -33.7331
3.040000 81.549 -35.4150
3.070000 81.648 -36.6528
3.110000 81.776 -38.2756
3.150000 81.899 -39.8690
3.200000 82.048 -41.8223
3.250000 82.191 -43.7370
3.300000 82.328 -45.6170
3.350000 82.461 -47.4666
3.400000 82.590 -49.2912
3.450000 82.713 -51.0932
3.500000 82.830 -52.8650
3.550000 82.942 -54.5987
3.600000 83.051 -56.2865
3.650000 83.157 -57.9203
3.700000 83.260 -59.4923
3.750000 83.361 -60.9996
3.820000 83.494 -63.0126
3.870000 83.586 -64.3879
3.950000 83.728 -66.4940
4.000000 83.816 -67.7593
4.060000 83.923 -69.2328
4.120000 84.026 -70.6471
4.180000 84.128 -72.0014
4.250000 84.246 -73.5093
4.310000 84.348 -74.7435
4.370000 84.452 -75.9271
4.440000 84.576 -77.2312
4.500000 84.684 -78.2792
4.550000 84.774 -79.1138
4.620000 84.903 -80.2396
4.680000 85.017 -81.1799
4.750000 85.153 -82.2579
4.820000 85.293 -83.2880
4.870000 85.396 -84.0000
4.940000 85.541 -84.9761
5.000000 85.667 -85.8045
5.080000 85.837 -86.9111
5.150000 85.989 -87.8641
5.220000 86.143 -88.8050
5.300000 86.320 -89.8774
5.380000 86.493 -90.9596
5.450000 86.644 -91.9174
5.520000 86.794 -92.8792
5.600000 86.963 -93.9827
5.700000 87.167 -95.3678
5.800000 87.360 -96.7649
5.900000 87.545 -98.1752
6.000000 87.720 -99.5756
6.080000 87.850 -100.6745
6.150000 87.957 -101.6294
6.220000 88.059 -102.5765
6.300000 88.168 -103.6391
6.400000 88.293 -104.9202
6.500000 88.407 -106.1541
6.600000 88.508 -107.3424
6.700000 88.601 -108.4685
6.800000 88.686 -109.5207
6.900000 88.762 -110.5062
7.000000 88.831 -111.4282
7.100000 88.897 -112.2883
7.200000 88.958 -113.0792
7.300000 89.015 -113.8115
7.400000 89.071 -114.5005
7.500000 89.125 -115.1447
7.620000 89.187 -115.8570
7.750000 89.250 -116.5837
7.880000 89.310 -117.2720
8.000000 89.360 -117.8670
8.120000 89.403 -118.4268
8.250000 89.443 -119.0009
8.380000 89.474 -119.5149
8.500000 89.496 -119.9201
8.620000 89.509 -120.2663
8.750000 89.523 -120.5475
8.850000 89.531 -120.6839
9.000000 89.544 -120.7783
9.120000 89.566 -120.7786
9.250000 89.600 -120.6759
9.380000 89.649 -120.5404
9.500000 89.713 -120.4428
9.620000 89.795 -120.3408
9.750000 89.897 -120.3369
9.880000 90.014 -120.4881
10.000000 90.132 -120.7500
10.150000 90.270 -121.3228
10.300000 90.402 -122.1770
10.440000 90.499 -123.1648
10.600000 90.571 -124.5465
10.750000 90.595 -125.9621
10.900000 90.563 -127.4097
11.060000 90.477 -128.9249
11.200000 90.355 -130.0274
11.380000 90.143 -131.1622
11.500000 89.991 -131.5723
11.720000 89.687 -131.6372
11.800000 89.599 -131.4599
12.060000 89.393 -130.0866
12.200000 89.387 -129.2348
12.410000 89.512 -127.9348
12.500000 89.606 -127.6250
12.650000 89.826 -127.3689
12.800000 90.068 -127.6094
13.150000 90.624 -130.3320
13.200000 90.687 -130.9318
13.400000 90.892 -133.7656
13.600000 90.985 -136.9185
13.800000 90.970 -140.2018
14.000000 90.842 -143.2710
14.300000 90.502 -146.8872
14.500000 90.229 -148.4406
14.750000 89.903 -149.2670
15.000000 89.706 -149.2339
15.250000 89.667 -148.9145
15.500000 89.778 -148.8135
15.750000 89.974 -149.4265
16.000000 90.153 -150.7658
16.250000 90.268 -152.5546
16.500000 90.290 -154.4670
16.750000 90.220 -156.0575
17.000000 90.102 -157.0279
17.250000 89.983 -157.3551
17.500000 89.906 -157.1147
17.750000 89.909 -156.5940
18.000000 89.981 -156.1345
18.250000 90.095 -155.8940
18.500000 90.220 -155.9643
18.750000 90.324 -156.2812
19.000000 90.398 -156.6945
19.250000 90.444 -157.1157
19.500000 90.470 -157.4780
19.750000 90.488 -157.7860
20.000000 90.499 -158.0889
20.299999 90.503 -158.4748
20.600000 90.487 -158.8736
20.900000 90.454 -159.2092
21.200001 90.416 -159.4075
21.400000 90.402 -159.4677
21.799999 90.424 -159.6529
22.000000 90.459 -159.9127
22.400000 90.541 -160.9743
22.700001 90.565 -162.2510
23.000000 90.527 -163.7325
23.299999 90.421 -165.1309
23.600000 90.268 -166.1869
24.000000 90.067 -166.9007
24.299999 89.968 -167.0892
24.700001 89.927 -167.3288
25.000000 89.924 -167.7157
25.400000 89.916 -168.4663
25.799999 89.871 -169.1041
26.200001 89.830 -169.3289
26.500000 89.838 -169.2908
26.900000 89.910 -169.3041
27.200001 89.985 -169.5447
27.600000 90.059 -170.1364
28.000000 90.078 -170.7166
28.500000 90.079 -170.9793
29.000000 90.151 -171.0459
29.500000 90.269 -171.7381
30.000000 90.283 -173.1479
30.400000 90.166 -174.1353
30.700001 90.034 -174.4004
31.100000 89.887 -174.0129
31.500000 89.862 -173.2507
32.000000 89.992 -172.9370
32.500000 90.126 -173.9424
33.000000 90.104 -175.5112
33.500000 89.952 -176.4735
34.000000 89.824 -176.5028
34.500000 89.826 -176.2803
35.000000 89.906 -176.5711
35.500000 89.960 -177.4123
36.000000 89.947 -178.3121
36.500000 89.900 -178.9179
37.000000 89.859 -179.2342
37.500000 89.839 -179.3519
38.200001 89.869 -179.2300
38.700001 89.968 -179.1738
39.500000 90.196 179.8829
40.000000 90.265 178.5847
40.599998 90.201 177.1137
41.200001 90.052 176.5211
41.799999 89.947 176.7571
42.500000 89.937 177.2146
43.099998 89.961 177.4067
43.700001 89.988 177.5744
44.400002 90.059 177.7195
45.000000 90.153 177.4265
45.500000 90.212 176.7100
46.200001 90.188 175.1847
46.799999 90.038 173.9368
47.500000 89.768 173.2827
48.200001 89.538 173.6243
48.700001 89.463 174.0800
49.400002 89.459 174.3049
50.000000 89.464 173.9994
50.799999 89.410 173.4985
51.500000 89.359 173.4512
52.200001 89.367 173.5430
53.000000 89.402 173.3208
53.799999 89.380 173.0490
54.500000 89.352 173.1597
55.200001 89.363 173.2974
56.000000 89.370 173.1270
57.000000 89.335 172.8688
58.000000 89.303 172.1930
59.000000 89.133 171.3225
60.000000 88.992 171.5594
60.799999 89.048 171.3601
61.500000 89.084 170.3058
62.200001 89.018 169.1382
63.000000 88.900 168.5452
64.000000 88.899 168.4478
65.000000 88.991 167.5837
66.000000 88.955 166.3488
67.000000 88.818 165.8187
68.000000 88.676 166.0366
69.000000 88.603 166.7403
70.000000 88.645 167.1396
71.000000 88.714 166.6776
72.000000 88.738 165.6337
73.000000 88.707 164.2980
74.000000 88.576 163.0760
75.000000 88.372 162.7911
76.199997 88.188 163.6253
77.500000 88.106 165.1483
78.800003 88.174 165.8841
80.000000 88.094 165.0726
81.199997 87.891 164.6467
82.500000 87.740 163.7878
83.800003 87.547 163.1878
85.000000 87.530 162.8317
86.199997 87.492 161.5228
87.500000 87.245 160.6057
88.500000 87.051 161.1937
90.000000 87.116 162.0657
91.199997 87.147 160.9197
92.500000 86.949 160.5356
93.800003 86.805 161.2784
95.000000 86.524 161.8778
96.199997 85.905 164.4597
97.500000 85.213 170.3164
98.800003 84.921 177.8441
100.000000 85.290 -176.9243
101.500000 85.963 -176.6849
103.000000 86.409 -178.8140
104.400002 86.985 -179.7760
106.000000 87.792 178.9400
107.500000 88.351 177.0204
109.000000 88.585 174.6071
110.599998 88.418 172.2148
112.000000 88.138 171.3578
113.800003 88.000 170.7573
115.000000 88.012 170.0172
117.199997 88.069 168.3909
118.000000 88.050 167.8063
120.599998 87.856 166.7324
122.000000 87.728 166.3066
124.099998 87.557 165.8368
125.000000 87.513 165.6488
126.500000 87.460 165.2954
128.000000 87.411 165.0653
131.500000 87.332 164.7924
132.000000 87.320 164.7258
134.000000 87.258 164.4447
136.000000 87.206 164.3018
138.000000 87.163 164.1541
140.000000 87.100 164.1156
143.000000 86.986 164.0838
145.000000 86.902 163.9846
147.500000 86.806 163.9145
150.000000 86.731 163.8670
152.500000 86.663 163.8078
155.000000 86.603 163.7805
157.500000 86.543 163.7850
160.000000 86.476 163.7726
162.500000 86.407 163.7480
165.000000 86.349 163.7540
167.500000 86.297 163.7767
170.000000 86.237 163.7768
172.500000 86.168 163.7817
175.000000 86.106 163.8112
177.500000 86.054 163.8558
180.000000 86.005 163.9161
182.500000 85.956 164.0100
185.000000 85.910 164.1016
187.500000 85.862 164.1672
190.000000 85.813 164.2390
192.500000 85.765 164.3225
195.000000 85.719 164.4093
197.500000 85.672 164.4994
200.000000 85.624 164.6038
203.000000 85.564 164.7643
206.000000 85.506 164.9430
209.000000 85.456 165.1404
212.000000 85.416 165.3683
214.000000 85.395 165.5223
218.000000 85.363 165.7692
220.000000 85.346 165.8385
224.000000 85.306 165.9090
227.000000 85.272 165.9418
230.000000 85.235 165.9907
233.000000 85.198 166.0640
236.000000 85.161 166.1476
240.000000 85.108 166.2744
243.000000 85.072 166.3622
247.000000 85.027 166.5098
250.000000 84.992 166.6781
254.000000 84.941 166.8620
258.000000 84.895 166.9937
262.000000 84.854 167.1417
265.000000 84.821 167.2566
269.000000 84.779 167.4032
272.000000 84.747 167.5223
276.000000 84.705 167.6876
280.000000 84.663 167.8428
285.000000 84.616 168.0307
290.000000 84.569 168.2146
295.000000 84.519 168.4000
300.000000 84.473 168.5624
304.000000 84.439 168.6942
307.000000 84.413 168.8018
311.000000 84.377 168.9552
315.000000 84.340 169.1150
320.000000 84.292 169.3066
325.000000 84.242 169.5006
