* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23/12/2022 7:32:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FW5 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 64.840 68.3209
1.015000 65.157 66.8774
1.030000 65.469 65.5314
1.044000 65.755 64.3560
1.060000 66.078 63.1005
1.075000 66.375 62.0013
1.090000 66.668 60.9702
1.106000 66.976 59.9372
1.120000 67.242 59.0834
1.138000 67.578 58.0445
1.150000 67.799 57.3832
1.172000 68.198 56.2220
1.180000 68.341 55.8126
1.206000 68.800 54.5121
1.220000 69.043 53.8213
1.241000 69.402 52.7820
1.250000 69.554 52.3312
1.265000 69.805 51.5671
1.280000 70.054 50.7806
1.315000 70.624 48.8190
1.320000 70.704 48.5205
1.340000 71.023 47.2698
1.360000 71.338 45.9326
1.380000 71.646 44.5494
1.400000 71.948 43.1288
1.430000 72.390 40.9414
1.450000 72.677 39.4546
1.475000 73.028 37.5750
1.500000 73.372 35.6831
1.525000 73.708 33.7912
1.550000 74.036 31.9114
1.575000 74.358 30.0559
1.600000 74.674 28.2368
1.625000 74.984 26.4664
1.650000 75.289 24.7566
1.675000 75.589 23.1199
1.700000 75.884 21.5608
1.725000 76.171 20.0620
1.750000 76.451 18.6158
1.775000 76.724 17.2156
1.800000 76.991 15.8546
1.825000 77.251 14.5261
1.850000 77.506 13.2236
1.875000 77.755 11.9403
1.900000 77.999 10.6697
1.925000 78.237 9.4049
1.950000 78.471 8.1393
1.975000 78.701 6.8663
2.000000 78.927 5.5792
2.030000 79.193 4.0092
2.060000 79.451 2.4312
2.090000 79.702 0.8536
2.120000 79.945 -0.7212
2.140000 80.103 -1.7684
2.180000 80.409 -3.8532
2.200000 80.559 -4.8894
2.240000 80.849 -6.9459
2.270000 81.060 -8.4717
2.300000 81.266 -9.9807
2.330000 81.467 -11.4704
2.360000 81.664 -12.9388
2.400000 81.917 -14.8752
2.430000 82.100 -16.3145
2.470000 82.334 -18.2132
2.500000 82.503 -19.6201
2.540000 82.721 -21.4702
2.580000 82.930 -23.2877
2.620000 83.132 -25.0689
2.650000 83.278 -26.3789
2.690000 83.468 -28.0882
2.720000 83.605 -29.3396
2.760000 83.781 -30.9672
2.800000 83.947 -32.5531
2.850000 84.145 -34.4844
2.900000 84.332 -36.3685
2.950000 84.509 -38.2157
3.000000 84.678 -40.0360
3.040000 84.809 -41.4798
3.070000 84.903 -42.5585
3.110000 85.021 -43.9875
3.150000 85.134 -45.4000
3.200000 85.266 -47.1321
3.250000 85.392 -48.8150
3.300000 85.512 -50.4357
3.350000 85.628 -51.9813
3.400000 85.740 -53.4405
3.450000 85.844 -54.8177
3.500000 85.941 -56.1253
3.550000 86.034 -57.3760
3.600000 86.123 -58.5823
3.650000 86.211 -59.7569
3.700000 86.298 -60.9123
3.750000 86.384 -62.0456
3.820000 86.499 -63.5744
3.870000 86.578 -64.6250
3.950000 86.703 -66.2337
4.000000 86.783 -67.1940
4.060000 86.880 -68.2977
4.120000 86.979 -69.3274
4.180000 87.077 -70.2962
4.250000 87.194 -71.3788
4.310000 87.295 -72.2912
4.370000 87.398 -73.2123
4.440000 87.521 -74.2914
4.500000 87.630 -75.2009
4.550000 87.721 -75.9528
4.620000 87.849 -77.0043
4.680000 87.958 -77.9117
4.750000 88.084 -78.9825
4.820000 88.212 -80.0550
4.870000 88.303 -80.8237
4.940000 88.429 -81.9074
5.000000 88.534 -82.8468
5.080000 88.668 -84.1207
5.150000 88.782 -85.2576
5.220000 88.893 -86.4087
5.300000 89.013 -87.7317
5.380000 89.124 -89.0519
5.450000 89.215 -90.2098
5.520000 89.299 -91.3765
5.600000 89.389 -92.7052
5.700000 89.490 -94.3323
5.800000 89.577 -95.9108
5.900000 89.652 -97.4572
6.000000 89.716 -98.9505
6.080000 89.763 -100.0927
6.150000 89.798 -101.0587
6.220000 89.828 -101.9947
6.300000 89.859 -103.0234
6.400000 89.897 -104.2411
6.500000 89.932 -105.3743
6.600000 89.963 -106.4332
6.700000 89.996 -107.4357
6.800000 90.032 -108.3880
6.900000 90.070 -109.2784
7.000000 90.110 -110.1306
7.100000 90.155 -110.9671
7.200000 90.204 -111.7736
7.300000 90.256 -112.5604
7.400000 90.309 -113.3488
7.500000 90.365 -114.1443
7.620000 90.433 -115.0980
7.750000 90.505 -116.1364
7.880000 90.575 -117.1890
8.000000 90.636 -118.1611
8.120000 90.692 -119.1171
8.250000 90.746 -120.1432
8.380000 90.796 -121.1400
8.500000 90.839 -122.0175
8.620000 90.877 -122.8610
8.750000 90.918 -123.7304
8.850000 90.950 -124.3610
9.000000 90.999 -125.2561
9.120000 91.043 -125.9494
9.250000 91.095 -126.6676
9.380000 91.151 -127.3781
9.500000 91.207 -128.0513
9.620000 91.267 -128.7306
9.750000 91.333 -129.4985
9.880000 91.399 -130.3146
10.000000 91.458 -131.1023
10.150000 91.524 -132.1333
10.300000 91.582 -133.2237
10.440000 91.622 -134.2554
10.600000 91.651 -135.4509
10.750000 91.662 -136.5471
10.900000 91.655 -137.5808
11.060000 91.631 -138.6064
11.200000 91.600 -139.3869
11.380000 91.549 -140.2419
11.500000 91.516 -140.6998
11.720000 91.455 -141.3108
11.800000 91.440 -141.4779
12.060000 91.413 -141.8076
12.200000 91.420 -141.9342
12.410000 91.458 -142.0810
12.500000 91.483 -142.1736
12.650000 91.538 -142.3535
12.800000 91.601 -142.6048
13.150000 91.764 -143.5254
13.200000 91.786 -143.6940
13.400000 91.870 -144.4490
13.600000 91.938 -145.2857
13.800000 91.990 -146.1761
14.000000 92.024 -147.0692
14.300000 92.047 -148.3389
14.500000 92.049 -149.1110
14.750000 92.043 -149.9725
15.000000 92.036 -150.7315
15.250000 92.032 -151.4111
15.500000 92.032 -152.0342
15.750000 92.037 -152.6264
16.000000 92.046 -153.2062
16.250000 92.059 -153.7820
16.500000 92.073 -154.3599
16.750000 92.088 -154.9439
17.000000 92.102 -155.5350
17.250000 92.114 -156.1305
17.500000 92.124 -156.7256
17.750000 92.129 -157.3108
18.000000 92.132 -157.8732
18.250000 92.133 -158.4054
18.500000 92.133 -158.9027
18.750000 92.135 -159.3677
19.000000 92.142 -159.8142
19.250000 92.152 -160.2562
19.500000 92.165 -160.7081
19.750000 92.180 -161.1831
20.000000 92.193 -161.6808
20.299999 92.204 -162.2978
20.600000 92.207 -162.9142
20.900000 92.203 -163.5025
21.200001 92.194 -164.0420
21.400000 92.188 -164.3702
21.799999 92.177 -164.9642
22.000000 92.174 -165.2396
22.400000 92.173 -165.7700
22.700001 92.176 -166.1657
23.000000 92.179 -166.5640
23.299999 92.182 -166.9626
23.600000 92.184 -167.3571
24.000000 92.187 -167.8716
24.299999 92.188 -168.2487
24.700001 92.189 -168.7412
25.000000 92.190 -169.1025
25.400000 92.190 -169.5710
25.799999 92.191 -170.0259
26.200001 92.193 -170.4789
26.500000 92.196 -170.8284
26.900000 92.198 -171.3165
27.200001 92.197 -171.6968
27.600000 92.190 -172.2049
28.000000 92.177 -172.6915
28.500000 92.157 -173.2491
29.000000 92.138 -173.7615
29.500000 92.122 -174.2511
30.000000 92.110 -174.7328
30.400000 92.103 -175.1242
30.700001 92.099 -175.4307
31.100000 92.091 -175.8622
31.500000 92.077 -176.3050
32.000000 92.050 -176.8141
32.500000 92.021 -177.2186
33.000000 92.005 -177.5526
33.500000 92.003 -177.9206
34.000000 92.000 -178.3804
34.500000 91.985 -178.8756
35.000000 91.958 -179.3073
35.500000 91.933 -179.6507
36.000000 91.917 -179.9676
36.500000 91.907 179.6790
37.000000 91.895 179.2863
37.500000 91.876 178.8909
38.200001 91.847 178.3867
38.700001 91.829 178.0571
39.500000 91.811 177.4964
40.000000 91.796 177.1026
40.599998 91.768 176.6573
41.200001 91.741 176.3106
41.799999 91.728 175.9893
42.500000 91.716 175.4976
43.099998 91.684 175.0699
43.700001 91.643 174.8115
44.400002 91.621 174.6382
45.000000 91.620 174.3921
45.500000 91.612 174.1126
46.200001 91.588 173.7391
46.799999 91.568 173.4409
47.500000 91.539 173.0470
48.200001 91.496 172.7151
48.700001 91.469 172.5757
49.400002 91.458 172.3707
50.000000 91.458 172.0370
50.799999 91.432 171.4536
51.500000 91.386 171.0443
52.200001 91.348 170.7733
53.000000 91.327 170.4522
53.799999 91.307 169.9626
54.500000 91.264 169.5193
55.200001 91.210 169.2628
56.000000 91.179 169.1121
57.000000 91.171 168.7264
58.000000 91.145 168.2246
59.000000 91.107 167.7330
60.000000 91.050 167.3793
60.799999 91.022 167.2437
61.500000 91.015 167.0228
62.200001 90.996 166.6820
63.000000 90.951 166.3387
64.000000 90.897 166.0217
65.000000 90.845 165.6938
66.000000 90.794 165.4059
67.000000 90.751 165.1002
68.000000 90.705 164.8004
69.000000 90.664 164.5554
70.000000 90.629 164.2875
71.000000 90.591 163.9965
72.000000 90.550 163.6925
73.000000 90.499 163.3798
74.000000 90.444 163.1343
75.000000 90.402 162.9272
76.199997 90.361 162.5997
77.500000 90.307 162.2206
78.800003 90.247 161.9302
80.000000 90.197 161.7326
81.199997 90.150 161.4373
82.500000 90.066 161.1165
83.800003 90.002 161.0638
85.000000 89.992 160.7938
86.199997 89.958 160.2307
87.500000 89.872 159.7926
88.500000 89.806 159.7079
90.000000 89.733 159.6731
91.199997 89.675 159.5783
92.500000 89.602 159.4239
93.800003 89.530 159.2516
95.000000 89.477 159.0452
96.199997 89.431 158.7733
97.500000 89.383 158.4979
98.800003 89.338 158.2807
100.000000 89.286 158.1165
101.500000 89.202 158.0665
103.000000 89.112 158.0970
104.400002 89.017 158.1195
106.000000 88.902 158.1494
107.500000 88.789 158.1848
109.000000 88.678 158.2746
110.599998 88.564 158.4842
112.000000 88.480 158.8303
113.800003 88.405 159.5194
115.000000 88.384 160.1172
117.199997 88.425 161.2644
118.000000 88.463 161.5653
120.599998 88.598 161.8954
122.000000 88.669 161.6977
124.099998 88.735 160.9904
125.000000 88.740 160.6665
126.500000 88.728 160.2186
128.000000 88.702 159.8640
131.500000 88.603 159.0849
132.000000 88.585 158.9796
134.000000 88.512 158.6193
136.000000 88.445 158.3531
138.000000 88.379 158.1571
140.000000 88.313 157.9792
143.000000 88.203 157.7078
145.000000 88.126 157.5952
147.500000 88.031 157.5446
150.000000 87.934 157.5509
152.500000 87.830 157.5740
155.000000 87.718 157.6764
157.500000 87.602 157.9048
160.000000 87.493 158.2734
162.500000 87.402 158.8269
165.000000 87.357 159.6053
167.500000 87.362 160.4534
170.000000 87.419 161.2421
172.500000 87.524 161.6361
175.000000 87.625 161.5001
177.500000 87.681 161.0294
180.000000 87.690 160.4772
182.500000 87.669 159.9854
185.000000 87.629 159.6244
187.500000 87.579 159.3841
190.000000 87.525 159.1761
192.500000 87.471 159.0043
195.000000 87.423 158.8846
197.500000 87.376 158.7891
200.000000 87.326 158.7203
203.000000 87.266 158.6721
206.000000 87.209 158.6362
209.000000 87.154 158.6125
212.000000 87.102 158.6082
214.000000 87.067 158.6261
218.000000 87.002 158.7068
220.000000 86.970 158.7411
224.000000 86.905 158.7772
227.000000 86.856 158.8100
230.000000 86.813 158.8678
233.000000 86.771 158.9428
236.000000 86.729 159.0269
240.000000 86.676 159.1397
243.000000 86.639 159.2223
247.000000 86.593 159.3212
250.000000 86.559 159.3724
254.000000 86.511 159.4252
258.000000 86.463 159.4855
262.000000 86.416 159.5611
265.000000 86.382 159.6270
269.000000 86.338 159.7117
272.000000 86.305 159.7690
276.000000 86.261 159.8397
280.000000 86.218 159.9116
285.000000 86.167 160.0284
290.000000 86.120 160.1410
295.000000 86.070 160.2535
300.000000 86.021 160.3608
304.000000 85.983 160.4393
307.000000 85.953 160.4989
311.000000 85.915 160.5814
315.000000 85.876 160.6705
320.000000 85.828 160.7867
325.000000 85.782 160.8989
