* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -20.8 dBFS, measurement signal peak level -21.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 06/08/2023 6:16:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0810 ms (-28 mm, -1.09 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Falcon Ultra Blue L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 63.775 -40.7456
1.015000 63.590 -40.5983
1.030000 63.413 -40.3783
1.044000 63.256 -40.1033
1.060000 63.089 -39.7017
1.075000 62.945 -39.2356
1.090000 62.814 -38.6783
1.106000 62.689 -37.9725
1.120000 62.582 -37.2304
1.138000 62.446 -36.1096
1.150000 62.357 -35.2665
1.172000 62.199 -33.5416
1.180000 62.143 -32.8621
1.206000 61.969 -30.4867
1.220000 61.881 -29.1157
1.241000 61.758 -26.9619
1.250000 61.709 -26.0093
1.265000 61.633 -24.3903
1.280000 61.563 -22.7415
1.315000 61.432 -18.8369
1.320000 61.417 -18.2783
1.340000 61.368 -16.0570
1.360000 61.337 -13.8758
1.380000 61.325 -11.7594
1.400000 61.334 -9.7326
1.430000 61.389 -6.9147
1.450000 61.456 -5.2206
1.475000 61.577 -3.3294
1.500000 61.751 -1.5048
1.525000 61.977 0.2922
1.550000 62.247 2.0499
1.575000 62.554 3.7568
1.600000 62.893 5.4013
1.625000 63.257 6.9719
1.650000 63.639 8.4570
1.675000 64.033 9.8451
1.700000 64.433 11.1246
1.725000 64.831 12.2840
1.750000 65.222 13.3116
1.775000 65.599 14.1960
1.800000 65.956 14.9256
1.825000 66.286 15.4888
1.850000 66.593 15.8646
1.875000 66.899 16.0347
1.900000 67.204 16.0180
1.925000 67.507 15.8344
1.950000 67.808 15.5040
1.975000 68.106 15.0468
2.000000 68.400 14.4829
2.030000 68.746 13.6933
2.060000 69.083 12.8134
2.090000 69.411 11.8778
2.120000 69.728 10.9210
2.140000 69.932 10.2884
2.180000 70.322 9.0822
2.200000 70.507 8.5282
2.240000 70.858 7.3758
2.270000 71.106 6.4328
2.300000 71.342 5.4342
2.330000 71.567 4.3905
2.360000 71.781 3.3124
2.400000 72.053 1.8395
2.430000 72.248 0.7220
2.470000 72.497 -0.7649
2.500000 72.677 -1.8642
2.540000 72.909 -3.2884
2.580000 73.135 -4.6507
2.620000 73.347 -6.0052
2.650000 73.497 -7.0226
2.690000 73.685 -8.3761
2.720000 73.819 -9.3855
2.760000 73.988 -10.7187
2.800000 74.148 -12.0318
2.850000 74.338 -13.6351
2.900000 74.519 -15.1850
2.950000 74.694 -16.6733
3.000000 74.854 -18.1288
3.040000 74.973 -19.2697
3.070000 75.056 -20.1085
3.110000 75.162 -21.2003
3.150000 75.263 -22.2573
3.200000 75.384 -23.5220
3.250000 75.502 -24.7150
3.300000 75.620 -25.8267
3.350000 75.733 -26.8545
3.400000 75.837 -27.8062
3.450000 75.936 -28.6886
3.500000 76.033 -29.5088
3.550000 76.129 -30.2737
3.600000 76.228 -30.9904
3.650000 76.332 -31.6658
3.700000 76.442 -32.2931
3.750000 76.552 -32.8494
3.820000 76.709 -33.5323
3.870000 76.824 -33.9700
3.950000 77.018 -34.6208
4.000000 77.147 -35.0178
4.060000 77.312 -35.4932
4.120000 77.486 -35.9179
4.180000 77.668 -36.3060
4.250000 77.889 -36.7458
4.310000 78.084 -37.1402
4.370000 78.283 -37.5771
4.440000 78.519 -38.1547
4.500000 78.730 -38.6749
4.550000 78.910 -39.1275
4.620000 79.164 -39.7970
4.680000 79.382 -40.4101
4.750000 79.631 -41.1793
4.820000 79.875 -42.0142
4.870000 80.050 -42.6489
4.940000 80.294 -43.5832
5.000000 80.499 -44.4190
5.080000 80.764 -45.5716
5.150000 80.985 -46.6069
5.220000 81.199 -47.6881
5.300000 81.434 -48.9723
5.380000 81.659 -50.2848
5.450000 81.846 -51.4371
5.520000 82.024 -52.5797
5.600000 82.215 -53.9016
5.700000 82.437 -55.5660
5.800000 82.643 -57.2084
5.900000 82.833 -58.7970
6.000000 83.006 -60.3539
6.080000 83.134 -61.5718
6.150000 83.239 -62.6086
6.220000 83.339 -63.6113
6.300000 83.448 -64.7161
6.400000 83.571 -66.0440
6.500000 83.686 -67.3098
6.600000 83.795 -68.5097
6.700000 83.898 -69.6399
6.800000 83.994 -70.7043
6.900000 84.086 -71.7099
7.000000 84.176 -72.6619
7.100000 84.263 -73.5549
7.200000 84.346 -74.3928
7.300000 84.428 -75.1820
7.400000 84.509 -75.9257
7.500000 84.588 -76.6203
7.620000 84.682 -77.3912
7.750000 84.785 -78.1518
7.880000 84.886 -78.8328
8.000000 84.982 -79.3940
8.120000 85.083 -79.8903
8.250000 85.196 -80.3472
8.380000 85.317 -80.7484
8.500000 85.442 -81.0821
8.620000 85.576 -81.3637
8.750000 85.735 -81.6694
8.850000 85.868 -81.9334
9.000000 86.085 -82.3365
9.120000 86.269 -82.7282
9.250000 86.477 -83.2685
9.380000 86.696 -83.9036
9.500000 86.895 -84.6002
9.620000 87.088 -85.4258
9.750000 87.295 -86.4509
9.880000 87.485 -87.5763
10.000000 87.641 -88.7124
10.150000 87.815 -90.2469
10.300000 87.953 -91.7835
10.440000 88.048 -93.2505
10.600000 88.121 -94.8410
10.750000 88.155 -96.1607
10.900000 88.160 -97.3261
11.060000 88.154 -98.2591
11.200000 88.133 -98.8181
11.380000 88.124 -99.2179
11.500000 88.133 -99.2470
11.720000 88.199 -99.0278
11.800000 88.249 -98.9093
12.060000 88.487 -98.4396
12.200000 88.661 -98.3772
12.410000 88.968 -98.5348
12.500000 89.100 -98.7626
12.650000 89.330 -99.3524
12.800000 89.551 -100.1517
13.150000 89.974 -102.7536
13.200000 90.023 -103.1625
13.400000 90.182 -104.9063
13.600000 90.297 -106.6370
13.800000 90.367 -108.2859
14.000000 90.411 -109.7992
14.300000 90.437 -111.8059
14.500000 90.443 -113.0046
14.750000 90.434 -114.4086
15.000000 90.406 -115.7217
15.250000 90.346 -116.9086
15.500000 90.260 -117.8142
15.750000 90.158 -118.3523
16.000000 90.072 -118.3878
16.250000 90.053 -118.0701
16.500000 90.119 -117.5888
16.750000 90.292 -117.2827
17.000000 90.527 -117.5362
17.250000 90.782 -118.4326
17.500000 91.002 -120.0442
17.750000 91.138 -122.0670
18.000000 91.180 -124.2192
18.250000 91.124 -126.1860
18.500000 91.007 -127.5751
18.750000 90.876 -128.3387
19.000000 90.773 -128.4396
19.250000 90.760 -128.1719
19.500000 90.836 -127.8576
19.750000 90.995 -127.7442
20.000000 91.187 -128.0964
20.299999 91.406 -129.0415
20.600000 91.573 -130.3587
20.900000 91.672 -131.7283
21.200001 91.721 -132.8600
21.400000 91.746 -133.4301
21.799999 91.808 -134.2390
22.000000 91.852 -134.5632
22.400000 91.964 -135.2596
22.700001 92.046 -135.8910
23.000000 92.108 -136.5756
23.299999 92.150 -137.2209
23.600000 92.178 -137.7751
24.000000 92.210 -138.3689
24.299999 92.241 -138.7700
24.700001 92.289 -139.3499
25.000000 92.324 -139.8548
25.400000 92.361 -140.6049
25.799999 92.390 -141.3965
26.200001 92.423 -142.2389
26.500000 92.452 -142.9566
26.900000 92.490 -144.0976
27.200001 92.504 -145.0901
27.600000 92.486 -146.4804
28.000000 92.426 -147.6802
28.500000 92.347 -148.5540
29.000000 92.372 -148.8891
29.500000 92.531 -149.4536
30.000000 92.705 -150.7830
30.400000 92.763 -152.0347
30.700001 92.760 -152.6787
31.100000 92.772 -152.8214
31.500000 92.908 -152.4261
32.000000 93.297 -152.5107
32.500000 93.716 -154.5576
33.000000 93.870 -158.1647
33.500000 93.665 -161.4144
34.000000 93.259 -162.5812
34.500000 92.954 -161.8277
35.000000 92.884 -160.7409
35.500000 92.913 -160.4846
36.000000 92.880 -160.6699
36.500000 92.811 -160.4647
37.000000 92.832 -159.9234
37.500000 92.969 -159.8845
38.200001 93.118 -161.4420
38.700001 93.053 -162.9173
39.500000 92.762 -163.3994
40.000000 92.688 -162.3835
40.599998 92.851 -161.1206
41.200001 93.153 -161.2073
41.799999 93.366 -162.6821
42.500000 93.383 -164.8058
43.099998 93.271 -166.0268
43.700001 93.142 -166.6544
44.400002 93.030 -167.0482
45.000000 92.970 -167.4294
45.500000 92.928 -167.9055
46.200001 92.847 -168.6700
46.799999 92.776 -169.1402
47.500000 92.762 -169.5948
48.200001 92.799 -170.4404
48.700001 92.807 -171.2421
49.400002 92.784 -172.1798
50.000000 92.778 -172.7021
50.799999 92.808 -173.3702
51.500000 92.823 -174.0349
52.200001 92.811 -174.5883
53.000000 92.788 -175.0348
53.799999 92.766 -175.4025
54.500000 92.751 -175.7768
55.200001 92.728 -176.2686
56.000000 92.679 -176.8722
57.000000 92.617 -177.5247
58.000000 92.574 -178.2027
59.000000 92.537 -178.8567
60.000000 92.519 -179.4797
60.799999 92.503 179.9665
61.500000 92.480 179.5207
62.200001 92.461 179.1219
63.000000 92.443 178.6189
64.000000 92.409 177.8969
65.000000 92.363 177.1633
66.000000 92.301 176.4382
67.000000 92.226 175.8846
68.000000 92.165 175.5280
69.000000 92.119 175.2159
70.000000 92.078 174.9235
71.000000 92.041 174.5522
72.000000 91.985 174.0910
73.000000 91.916 173.6843
74.000000 91.855 173.3104
75.000000 91.800 172.9384
76.199997 91.745 172.5610
77.500000 91.693 172.1785
78.800003 91.627 171.8798
80.000000 91.544 171.7432
81.199997 91.475 171.7898
82.500000 91.434 171.6572
83.800003 91.433 171.2933
85.000000 91.447 170.4692
86.199997 91.413 169.5659
87.500000 91.363 169.0425
88.500000 91.350 168.8066
90.000000 91.298 168.5713
91.199997 91.267 168.6476
92.500000 91.242 168.4150
93.800003 91.181 168.0130
95.000000 91.127 167.6589
96.199997 91.096 167.3269
97.500000 91.091 166.9283
98.800003 91.076 166.4777
100.000000 91.020 166.1925
101.500000 90.913 166.2971
103.000000 90.827 166.5104
104.400002 90.746 166.6271
106.000000 90.689 166.5996
107.500000 90.613 166.2632
109.000000 90.498 166.1166
110.599998 90.409 165.9230
112.000000 90.344 165.3713
113.800003 90.269 164.5145
115.000000 90.247 164.1591
117.199997 90.241 164.2209
118.000000 90.239 164.4832
120.599998 90.163 164.8956
122.000000 90.061 164.7295
124.099998 89.915 164.0371
125.000000 89.846 163.8492
126.500000 89.722 163.9676
128.000000 89.542 164.3353
131.500000 88.624 165.5909
132.000000 88.515 166.1860
134.000000 88.637 167.4752
136.000000 89.017 165.1688
138.000000 89.226 163.8604
140.000000 89.296 164.1490
143.000000 89.227 164.3522
145.000000 89.162 163.7291
147.500000 89.142 163.3264
150.000000 89.108 163.3349
152.500000 88.985 163.3951
155.000000 88.898 163.3257
157.500000 88.856 163.2812
160.000000 88.807 163.3297
162.500000 88.731 163.3428
165.000000 88.662 163.2785
167.500000 88.596 163.1901
170.000000 88.532 163.1262
172.500000 88.463 163.0594
175.000000 88.390 163.0408
177.500000 88.316 163.0607
180.000000 88.242 163.1012
182.500000 88.167 163.1505
185.000000 88.096 163.2270
187.500000 88.033 163.3438
190.000000 87.971 163.4911
192.500000 87.901 163.6617
195.000000 87.822 163.8187
197.500000 87.742 163.9479
200.000000 87.684 164.0503
203.000000 87.633 164.0625
206.000000 87.561 164.1921
209.000000 87.482 164.4274
212.000000 87.413 164.6455
214.000000 87.374 164.7831
218.000000 87.290 165.0809
220.000000 87.245 165.2544
224.000000 87.165 165.6320
227.000000 87.112 165.9047
230.000000 87.066 166.1651
233.000000 87.025 166.3998
236.000000 86.981 166.5887
240.000000 86.916 166.7911
243.000000 86.866 166.9535
247.000000 86.808 167.2641
250.000000 86.763 167.5007
254.000000 86.684 167.7368
258.000000 86.604 167.9574
262.000000 86.533 168.2332
265.000000 86.482 168.4555
269.000000 86.419 168.7545
272.000000 86.373 168.9879
276.000000 86.313 169.3307
