* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -21.6 dBFS, measurement signal peak level -22.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 06/08/2023 6:20:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0725 ms (-25 mm, -0.98 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Falcon Ultra Gold L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 58.296 -47.0538
1.015000 58.201 -47.0613
1.030000 58.111 -47.0040
1.044000 58.032 -46.8880
1.060000 57.948 -46.6769
1.075000 57.877 -46.3983
1.090000 57.813 -46.0370
1.106000 57.753 -45.5524
1.120000 57.701 -45.0267
1.138000 57.633 -44.2158
1.150000 57.588 -43.5971
1.172000 57.506 -42.3155
1.180000 57.476 -41.8060
1.206000 57.385 -40.0099
1.220000 57.338 -38.9640
1.241000 57.274 -37.3094
1.250000 57.249 -36.5733
1.265000 57.211 -35.3169
1.280000 57.177 -34.0301
1.315000 57.122 -30.9539
1.320000 57.117 -30.5102
1.340000 57.105 -28.7369
1.360000 57.107 -26.9793
1.380000 57.125 -25.2561
1.400000 57.159 -23.5858
1.430000 57.245 -21.2204
1.450000 57.327 -19.7638
1.475000 57.461 -18.0915
1.500000 57.635 -16.4368
1.525000 57.847 -14.7707
1.550000 58.092 -13.1049
1.575000 58.366 -11.4507
1.600000 58.665 -9.8198
1.625000 58.983 -8.2236
1.650000 59.316 -6.6737
1.675000 59.661 -5.1816
1.700000 60.012 -3.7587
1.725000 60.365 -2.4166
1.750000 60.716 -1.1668
1.775000 61.060 -0.0208
1.800000 61.393 1.0099
1.825000 61.710 1.9138
1.850000 62.015 2.6829
1.875000 62.325 3.3255
1.900000 62.638 3.8516
1.925000 62.955 4.2715
1.950000 63.273 4.5951
1.975000 63.591 4.8325
2.000000 63.909 4.9938
2.030000 64.289 5.1011
2.060000 64.665 5.1307
2.090000 65.035 5.1000
2.120000 65.397 5.0263
2.140000 65.633 4.9620
2.180000 66.090 4.8199
2.200000 66.310 4.7519
2.240000 66.736 4.5341
2.270000 67.046 4.2788
2.300000 67.349 3.9557
2.330000 67.644 3.5748
2.360000 67.932 3.1458
2.400000 68.307 2.5163
2.430000 68.582 2.0140
2.470000 68.940 1.3226
2.500000 69.205 0.8008
2.540000 69.551 0.1194
2.580000 69.892 -0.5305
2.620000 70.224 -1.1909
2.650000 70.466 -1.7004
2.690000 70.781 -2.3978
2.720000 71.012 -2.9339
2.760000 71.314 -3.6653
2.800000 71.608 -4.4146
2.850000 71.967 -5.3749
2.900000 72.318 -6.3597
2.950000 72.661 -7.3679
3.000000 72.995 -8.4051
3.040000 73.255 -9.2556
3.070000 73.446 -9.9048
3.110000 73.695 -10.7844
3.150000 73.939 -11.6791
3.200000 74.235 -12.8166
3.250000 74.522 -13.9733
3.300000 74.800 -15.1469
3.350000 75.070 -16.3454
3.400000 75.331 -17.5719
3.450000 75.583 -18.8208
3.500000 75.825 -20.0865
3.550000 76.059 -21.3636
3.600000 76.282 -22.6465
3.650000 76.496 -23.9296
3.700000 76.700 -25.2160
3.750000 76.894 -26.5196
3.820000 77.150 -28.3625
3.870000 77.321 -29.6825
3.950000 77.574 -31.7822
4.000000 77.720 -33.0764
4.060000 77.880 -34.6093
4.120000 78.026 -36.1541
4.180000 78.157 -37.6965
4.250000 78.292 -39.4636
4.310000 78.393 -40.9253
4.370000 78.483 -42.3149
4.440000 78.572 -43.8401
4.500000 78.630 -45.1068
4.550000 78.669 -46.1229
4.620000 78.710 -47.4618
4.680000 78.738 -48.5102
4.750000 78.766 -49.5895
4.820000 78.784 -50.5094
4.870000 78.786 -51.0867
4.940000 78.782 -51.7797
5.000000 78.777 -52.2635
5.080000 78.781 -52.7440
5.150000 78.804 -53.0002
5.220000 78.831 -53.0537
5.300000 78.868 -52.9125
5.380000 78.926 -52.6396
5.450000 79.002 -52.3618
5.520000 79.110 -52.0924
5.600000 79.269 -51.6654
5.700000 79.512 -51.0395
5.800000 79.794 -50.5143
5.900000 80.107 -50.2777
6.000000 80.470 -50.2270
6.080000 80.783 -50.3229
6.150000 81.061 -50.5337
6.220000 81.331 -50.8853
6.300000 81.635 -51.4837
6.400000 82.021 -52.4940
6.500000 82.397 -53.7205
6.600000 82.744 -55.0831
6.700000 83.064 -56.6281
6.800000 83.361 -58.3480
6.900000 83.632 -60.1344
7.000000 83.874 -61.8997
7.100000 84.084 -63.7196
7.200000 84.268 -65.5510
7.300000 84.431 -67.3128
7.400000 84.572 -68.9689
7.500000 84.687 -70.5675
7.620000 84.805 -72.3607
7.750000 84.921 -74.0833
7.880000 85.015 -75.5871
8.000000 85.097 -76.8095
8.120000 85.185 -77.8832
8.250000 85.282 -78.8524
8.380000 85.385 -79.7005
8.500000 85.493 -80.4304
8.620000 85.611 -81.0761
8.750000 85.744 -81.7374
8.850000 85.849 -82.2551
9.000000 86.014 -83.0205
9.120000 86.144 -83.6141
9.250000 86.280 -84.2429
9.380000 86.412 -84.8581
9.500000 86.531 -85.3742
9.620000 86.648 -85.8189
9.750000 86.771 -86.2363
9.880000 86.901 -86.5841
10.000000 87.029 -86.8222
10.150000 87.200 -87.0363
10.300000 87.394 -87.2621
10.440000 87.598 -87.4542
10.600000 87.851 -87.7687
10.750000 88.104 -88.2462
10.900000 88.371 -88.8777
11.060000 88.643 -89.8056
11.200000 88.877 -90.8367
11.380000 89.145 -92.3821
11.500000 89.299 -93.5654
11.720000 89.525 -95.9010
11.800000 89.585 -96.7638
12.060000 89.706 -99.5901
12.200000 89.726 -100.9704
12.410000 89.705 -102.8430
12.500000 89.686 -103.5152
12.650000 89.635 -104.4728
12.800000 89.580 -105.2366
13.150000 89.473 -106.2517
13.200000 89.465 -106.3464
13.400000 89.453 -106.5759
13.600000 89.473 -106.7679
13.800000 89.528 -106.9902
14.000000 89.599 -107.3324
14.300000 89.724 -108.0956
14.500000 89.803 -108.7571
14.750000 89.891 -109.6674
15.000000 89.966 -110.6279
15.250000 90.034 -111.5734
15.500000 90.101 -112.5126
15.750000 90.171 -113.4526
16.000000 90.243 -114.4221
16.250000 90.313 -115.4224
16.500000 90.379 -116.4407
16.750000 90.438 -117.4487
17.000000 90.494 -118.4043
17.250000 90.548 -119.2960
17.500000 90.607 -120.1124
17.750000 90.673 -120.8788
18.000000 90.748 -121.6153
18.250000 90.829 -122.3444
18.500000 90.914 -123.0794
18.750000 90.998 -123.8131
19.000000 91.080 -124.5387
19.250000 91.159 -125.2399
19.500000 91.236 -125.9162
19.750000 91.311 -126.5676
20.000000 91.383 -127.2043
20.299999 91.463 -127.9509
20.600000 91.531 -128.6661
20.900000 91.587 -129.3206
21.200001 91.633 -129.8726
21.400000 91.663 -130.1705
21.799999 91.732 -130.6324
22.000000 91.776 -130.8333
22.400000 91.886 -131.2927
22.700001 91.978 -131.7815
23.000000 92.065 -132.4395
23.299999 92.133 -133.2296
23.600000 92.176 -134.0753
24.000000 92.199 -135.1500
24.299999 92.204 -135.8417
24.700001 92.217 -136.6213
25.000000 92.242 -137.1803
25.400000 92.295 -138.0211
25.799999 92.349 -139.0325
26.200001 92.386 -140.1259
26.500000 92.402 -140.8994
26.900000 92.425 -141.7945
27.200001 92.455 -142.3894
27.600000 92.518 -143.1917
28.000000 92.588 -144.1103
28.500000 92.647 -145.3280
29.000000 92.672 -146.2589
29.500000 92.717 -146.7664
30.000000 92.815 -147.2276
30.400000 92.896 -147.8226
30.700001 92.926 -148.3473
31.100000 92.916 -148.8250
31.500000 92.892 -148.7512
32.000000 92.974 -148.0144
32.500000 93.247 -147.6600
33.000000 93.566 -148.8803
33.500000 93.713 -151.5895
34.000000 93.580 -154.4411
34.500000 93.249 -155.9876
35.000000 92.922 -155.8754
35.500000 92.782 -154.9863
36.000000 92.824 -154.4962
36.500000 92.923 -154.8634
37.000000 92.983 -155.7909
37.500000 92.994 -156.8059
38.200001 92.988 -157.9687
38.700001 93.004 -158.6660
39.500000 93.063 -159.8250
40.000000 93.097 -160.5861
40.599998 93.125 -161.4186
41.200001 93.151 -162.1018
41.799999 93.183 -162.7364
42.500000 93.207 -163.5391
43.099998 93.197 -164.1987
43.700001 93.172 -164.7348
44.400002 93.144 -165.2815
45.000000 93.120 -165.7932
45.500000 93.093 -166.2459
46.200001 93.050 -166.8412
46.799999 93.022 -167.2868
47.500000 93.018 -167.8162
48.200001 93.038 -168.5171
48.700001 93.047 -169.1478
49.400002 93.030 -170.0417
50.000000 93.000 -170.6221
50.799999 92.981 -171.1440
51.500000 92.989 -171.6133
52.200001 92.992 -172.1712
53.000000 92.978 -172.8013
53.799999 92.955 -173.3871
54.500000 92.930 -173.8811
55.200001 92.905 -174.3595
56.000000 92.878 -174.9054
57.000000 92.846 -175.5941
58.000000 92.811 -176.2768
59.000000 92.766 -176.8639
60.000000 92.732 -177.3175
60.799999 92.717 -177.7210
61.500000 92.699 -178.1442
62.200001 92.670 -178.5884
63.000000 92.631 -179.0684
64.000000 92.583 -179.6386
65.000000 92.533 179.8152
66.000000 92.494 179.3930
67.000000 92.483 178.9564
68.000000 92.465 178.3792
69.000000 92.424 177.8631
70.000000 92.380 177.4499
71.000000 92.337 177.0403
72.000000 92.291 176.6139
73.000000 92.243 176.1970
74.000000 92.200 175.7886
75.000000 92.161 175.3800
76.199997 92.115 174.9195
77.500000 92.064 174.4323
78.800003 92.000 173.9683
80.000000 91.933 173.5680
81.199997 91.866 173.1802
82.500000 91.799 172.8088
83.800003 91.753 172.5317
85.000000 91.721 172.2773
86.199997 91.682 172.2371
87.500000 91.683 172.2893
88.500000 91.679 172.0519
90.000000 91.598 171.5887
91.199997 91.519 171.3712
92.500000 91.454 171.0280
93.800003 91.384 170.7012
95.000000 91.350 170.5461
96.199997 91.331 170.3148
97.500000 91.298 170.1570
98.800003 91.274 169.8938
100.000000 91.210 169.4188
101.500000 91.099 168.9692
103.000000 91.025 168.5342
104.400002 90.978 168.0684
106.000000 90.917 167.7249
107.500000 90.855 167.6104
109.000000 90.766 167.5342
110.599998 90.675 167.4580
112.000000 90.632 167.2159
113.800003 90.599 166.7677
115.000000 90.571 166.6258
117.199997 90.465 166.6516
118.000000 90.400 166.7177
120.599998 90.233 166.6723
122.000000 90.206 166.3122
124.099998 90.186 166.2466
125.000000 90.164 166.5641
126.500000 90.079 167.2653
128.000000 89.924 167.4167
131.500000 89.320 161.7774
132.000000 89.177 161.1250
134.000000 88.962 162.7567
136.000000 89.512 165.0297
138.000000 89.885 165.9002
140.000000 89.949 166.6364
143.000000 89.785 166.3290
145.000000 89.716 165.8600
147.500000 89.699 165.5562
150.000000 89.613 165.3766
152.500000 89.514 165.4151
155.000000 89.473 165.4756
157.500000 89.424 165.5090
160.000000 89.341 165.4161
162.500000 89.262 165.3493
165.000000 89.207 165.4362
167.500000 89.147 165.4147
170.000000 89.061 165.2636
172.500000 88.983 165.1688
175.000000 88.915 165.1705
177.500000 88.843 165.2187
180.000000 88.770 165.2546
182.500000 88.699 165.2873
185.000000 88.632 165.3562
187.500000 88.569 165.4514
190.000000 88.509 165.5435
192.500000 88.450 165.6463
195.000000 88.384 165.8051
197.500000 88.307 166.0406
200.000000 88.237 166.2471
203.000000 88.176 166.2537
206.000000 88.120 166.2423
209.000000 88.059 166.3653
212.000000 87.989 166.5411
214.000000 87.942 166.6723
218.000000 87.860 166.9535
220.000000 87.819 167.0888
224.000000 87.736 167.3526
227.000000 87.676 167.5683
230.000000 87.621 167.8125
233.000000 87.567 168.0590
236.000000 87.511 168.3035
240.000000 87.443 168.6236
243.000000 87.395 168.8882
247.000000 87.325 169.2552
250.000000 87.274 169.5027
254.000000 87.221 169.7479
258.000000 87.171 170.0088
262.000000 87.106 170.3140
265.000000 87.053 170.5453
269.000000 87.003 170.8365
272.000000 86.971 171.0421
276.000000 86.919 171.3488
