* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -21.8 dBFS, measurement signal peak level -20.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 06/08/2023 6:18:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0736 ms (-25 mm, -0.99 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Falcon Ultra Gold R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 56.821 -71.5037
1.015000 56.740 -72.1085
1.030000 56.654 -72.6014
1.044000 56.568 -72.9510
1.060000 56.465 -73.2089
1.075000 56.363 -73.3025
1.090000 56.254 -73.2419
1.106000 56.129 -72.9990
1.120000 55.998 -72.6514
1.138000 55.800 -72.0338
1.150000 55.652 -71.5211
1.172000 55.352 -70.3854
1.180000 55.235 -69.9133
1.206000 54.833 -68.1788
1.220000 54.607 -67.1278
1.241000 54.262 -65.4139
1.250000 54.113 -64.6331
1.265000 53.866 -63.2762
1.280000 53.623 -61.8559
1.315000 53.087 -58.3365
1.320000 53.016 -57.8142
1.340000 52.747 -55.6872
1.360000 52.511 -53.5126
1.380000 52.313 -51.3076
1.400000 52.161 -49.0895
1.430000 52.034 -45.7759
1.450000 52.026 -43.6011
1.475000 52.112 -40.9164
1.500000 52.298 -37.9957
1.525000 52.572 -34.8167
1.550000 52.923 -31.4335
1.575000 53.342 -27.8998
1.600000 53.817 -24.2697
1.625000 54.339 -20.5971
1.650000 54.896 -16.9359
1.675000 55.480 -13.3401
1.700000 56.079 -9.8637
1.725000 56.682 -6.5605
1.750000 57.281 -3.4845
1.775000 57.864 -0.6897
1.800000 58.420 1.7700
1.825000 58.941 3.8406
1.850000 59.433 5.5214
1.875000 59.936 6.9227
1.900000 60.448 8.0691
1.925000 60.967 8.9806
1.950000 61.491 9.6770
1.975000 62.016 10.1782
2.000000 62.540 10.5043
2.030000 63.164 10.6922
2.060000 63.778 10.6909
2.090000 64.378 10.5346
2.120000 64.958 10.2579
2.140000 65.332 10.0235
2.180000 66.043 9.4807
2.200000 66.377 9.1914
2.240000 67.011 8.3376
2.270000 67.461 7.4151
2.300000 67.892 6.2928
2.330000 68.305 5.0087
2.360000 68.702 3.6006
2.400000 69.208 1.5957
2.430000 69.574 0.0455
2.470000 70.044 -2.0113
2.500000 70.387 -3.4973
2.540000 70.833 -5.3312
2.580000 71.270 -6.9343
2.620000 71.687 -8.4286
2.650000 71.986 -9.5108
2.690000 72.368 -10.9158
2.720000 72.643 -11.9505
2.760000 72.995 -13.3182
2.800000 73.331 -14.6877
2.850000 73.734 -16.4281
2.900000 74.119 -18.2309
2.950000 74.489 -20.1271
3.000000 74.837 -22.1116
3.040000 75.100 -23.7446
3.070000 75.289 -24.9872
3.110000 75.529 -26.6569
3.150000 75.758 -28.3292
3.200000 76.028 -30.4030
3.250000 76.282 -32.4340
3.300000 76.522 -34.3965
3.350000 76.745 -36.3171
3.400000 76.951 -38.2206
3.450000 77.139 -40.0982
3.500000 77.311 -41.9409
3.550000 77.468 -43.7400
3.600000 77.611 -45.4865
3.650000 77.740 -47.1716
3.700000 77.855 -48.7994
3.750000 77.954 -50.3912
3.820000 78.067 -52.5434
3.870000 78.131 -54.0129
3.950000 78.208 -56.2202
4.000000 78.242 -57.4948
4.060000 78.269 -58.9169
4.120000 78.273 -60.2786
4.180000 78.257 -61.5535
4.250000 78.222 -62.8781
4.310000 78.184 -63.8285
4.370000 78.144 -64.5665
4.440000 78.094 -65.1211
4.500000 78.032 -65.3605
4.550000 77.974 -65.4113
4.620000 77.895 -65.2798
4.680000 77.841 -65.0018
4.750000 77.811 -64.5143
4.820000 77.814 -63.7991
4.870000 77.826 -63.1007
4.940000 77.861 -61.9453
5.000000 77.916 -60.8678
5.080000 78.034 -59.4360
5.150000 78.188 -58.2891
5.220000 78.398 -57.0815
5.300000 78.691 -55.6565
5.380000 79.022 -54.3320
5.450000 79.327 -53.3773
5.520000 79.636 -52.7091
5.600000 80.019 -52.2184
5.700000 80.530 -51.9428
5.800000 81.039 -52.0084
5.900000 81.510 -52.3963
6.000000 81.962 -53.1910
6.080000 82.311 -54.0496
6.150000 82.600 -54.8967
6.220000 82.869 -55.7786
6.300000 83.153 -56.8550
6.400000 83.477 -58.3696
6.500000 83.768 -59.9661
6.600000 84.030 -61.5304
6.700000 84.258 -63.0852
6.800000 84.455 -64.6511
6.900000 84.629 -66.1617
7.000000 84.787 -67.5591
7.100000 84.922 -68.8699
7.200000 85.040 -70.1000
7.300000 85.151 -71.2423
7.400000 85.260 -72.2819
7.500000 85.361 -73.2169
7.620000 85.480 -74.2537
7.750000 85.617 -75.3260
7.880000 85.761 -76.3023
8.000000 85.897 -77.1933
8.120000 86.036 -78.1489
8.250000 86.194 -79.2192
8.380000 86.346 -80.3538
8.500000 86.473 -81.4949
8.620000 86.594 -82.7210
8.750000 86.707 -84.0947
8.850000 86.774 -85.1662
9.000000 86.849 -86.8391
9.120000 86.884 -88.1334
9.250000 86.894 -89.4307
9.380000 86.876 -90.6577
9.500000 86.845 -91.6340
9.620000 86.801 -92.4099
9.750000 86.736 -93.0628
9.880000 86.678 -93.5013
10.000000 86.636 -93.6778
10.150000 86.594 -93.6389
10.300000 86.596 -93.4664
10.440000 86.640 -93.1355
10.600000 86.731 -92.7524
10.750000 86.865 -92.5334
10.900000 87.035 -92.4184
11.060000 87.228 -92.5709
11.200000 87.412 -92.9357
11.380000 87.635 -93.6445
11.500000 87.769 -94.2881
11.720000 87.984 -95.6547
11.800000 88.047 -96.1655
12.060000 88.206 -97.8664
12.200000 88.269 -98.6611
12.410000 88.340 -99.7053
12.500000 88.373 -100.0729
12.650000 88.425 -100.5705
12.800000 88.485 -100.9871
13.150000 88.690 -101.7582
13.200000 88.725 -101.8819
13.400000 88.887 -102.4096
13.600000 89.057 -103.0849
13.800000 89.232 -103.9565
14.000000 89.391 -104.9724
14.300000 89.589 -106.7086
14.500000 89.686 -107.8861
14.750000 89.777 -109.2497
15.000000 89.842 -110.4338
15.250000 89.903 -111.3917
15.500000 89.975 -112.1988
15.750000 90.063 -112.9120
16.000000 90.168 -113.6418
16.250000 90.279 -114.4457
16.500000 90.388 -115.3318
16.750000 90.484 -116.2870
17.000000 90.562 -117.2367
17.250000 90.626 -118.1423
17.500000 90.677 -118.9553
17.750000 90.728 -119.6672
18.000000 90.780 -120.2976
18.250000 90.840 -120.8703
18.500000 90.907 -121.4339
18.750000 90.978 -122.0054
19.000000 91.051 -122.6006
19.250000 91.121 -123.2158
19.500000 91.187 -123.8389
19.750000 91.250 -124.4608
20.000000 91.310 -125.0712
20.299999 91.379 -125.7944
20.600000 91.447 -126.5180
20.900000 91.513 -127.2559
21.200001 91.573 -128.0164
21.400000 91.609 -128.5301
21.799999 91.669 -129.5460
22.000000 91.694 -130.0324
22.400000 91.739 -130.9343
22.700001 91.775 -131.5514
23.000000 91.818 -132.1453
23.299999 91.870 -132.7581
23.600000 91.927 -133.4215
24.000000 92.003 -134.4077
24.299999 92.053 -135.2073
24.700001 92.106 -136.2980
25.000000 92.135 -137.0891
25.400000 92.164 -138.0600
25.799999 92.189 -138.8950
26.200001 92.219 -139.5620
26.500000 92.253 -139.9533
26.900000 92.326 -140.3857
27.200001 92.404 -140.7284
27.600000 92.525 -141.3351
28.000000 92.635 -142.1642
28.500000 92.714 -143.2906
29.000000 92.739 -144.0555
29.500000 92.782 -144.3561
30.000000 92.882 -144.7078
30.400000 92.951 -145.3413
30.700001 92.958 -145.9447
31.100000 92.895 -146.4991
31.500000 92.801 -146.3700
32.000000 92.797 -145.3195
32.500000 93.022 -144.4788
33.000000 93.340 -145.1761
33.500000 93.537 -147.3824
34.000000 93.521 -149.9294
34.500000 93.373 -151.7935
35.000000 93.219 -152.8899
35.500000 93.122 -153.7047
36.000000 93.057 -154.5448
36.500000 92.999 -155.3478
37.000000 92.952 -156.0031
37.500000 92.925 -156.5156
38.200001 92.930 -156.9992
38.700001 92.980 -157.2455
39.500000 93.109 -158.0380
40.000000 93.146 -158.7551
40.599998 93.137 -159.2737
41.200001 93.175 -159.3278
41.799999 93.290 -159.7010
42.500000 93.369 -161.0266
43.099998 93.314 -162.1344
43.700001 93.238 -162.7040
44.400002 93.211 -163.1828
45.000000 93.209 -163.7613
45.500000 93.209 -164.2391
46.200001 93.240 -164.9239
46.799999 93.277 -165.7063
47.500000 93.296 -166.6233
48.200001 93.331 -167.3787
48.700001 93.371 -168.0677
49.400002 93.367 -169.3205
50.000000 93.280 -170.1173
50.799999 93.165 -170.3310
51.500000 93.143 -170.3523
52.200001 93.140 -170.6410
53.000000 93.126 -171.0879
53.799999 93.116 -171.6798
54.500000 93.087 -172.3332
55.200001 93.041 -172.8758
56.000000 93.010 -173.3541
57.000000 92.996 -174.0838
58.000000 92.960 -174.8135
59.000000 92.921 -175.3644
60.000000 92.888 -175.8376
60.799999 92.867 -176.2133
61.500000 92.850 -176.5863
62.200001 92.830 -177.0125
63.000000 92.800 -177.5139
64.000000 92.765 -178.0877
65.000000 92.747 -178.6736
66.000000 92.730 -179.3440
67.000000 92.695 -179.9697
68.000000 92.656 179.5422
69.000000 92.621 179.1208
70.000000 92.588 178.6830
71.000000 92.549 178.2300
72.000000 92.508 177.7644
73.000000 92.465 177.2871
74.000000 92.421 176.8555
75.000000 92.386 176.4616
76.199997 92.348 175.9645
77.500000 92.294 175.4147
78.800003 92.224 174.9435
80.000000 92.156 174.6065
81.199997 92.104 174.3288
82.500000 92.069 173.8946
83.800003 92.022 173.3325
85.000000 91.966 172.8798
86.199997 91.911 172.5762
87.500000 91.880 172.3288
88.500000 91.865 172.0249
90.000000 91.811 171.5127
91.199997 91.757 171.2308
92.500000 91.701 170.9397
93.800003 91.637 170.6321
95.000000 91.570 170.3220
96.199997 91.495 170.0220
97.500000 91.418 169.7698
98.800003 91.361 169.4749
100.000000 91.302 169.1587
101.500000 91.229 168.9475
103.000000 91.178 168.7775
104.400002 91.125 168.5292
106.000000 91.019 168.2829
107.500000 90.919 168.3094
109.000000 90.850 168.1075
110.599998 90.750 167.7571
112.000000 90.675 167.6967
113.800003 90.632 167.8116
115.000000 90.598 167.9363
117.199997 90.494 168.5361
118.000000 90.460 168.7615
120.599998 90.415 168.8702
122.000000 90.451 168.5696
124.099998 90.514 168.2278
125.000000 90.527 168.3375
126.500000 90.519 168.6314
128.000000 90.449 168.4536
131.500000 89.908 164.6331
132.000000 89.791 164.3241
134.000000 89.661 165.4315
136.000000 90.057 166.1775
138.000000 90.258 166.1138
140.000000 90.222 166.5256
143.000000 90.135 166.2891
145.000000 90.087 165.6128
147.500000 90.048 165.6424
150.000000 89.992 165.7613
152.500000 89.835 165.7461
155.000000 89.733 165.6929
157.500000 89.662 165.4934
160.000000 89.587 165.3823
162.500000 89.523 165.2654
165.000000 89.460 165.1714
167.500000 89.387 165.1012
170.000000 89.300 165.0763
172.500000 89.218 165.0807
175.000000 89.145 165.0749
177.500000 89.073 165.0896
180.000000 89.000 165.1456
182.500000 88.928 165.2210
185.000000 88.863 165.3082
187.500000 88.808 165.4300
190.000000 88.758 165.5545
192.500000 88.701 165.6012
195.000000 88.651 165.5449
197.500000 88.618 165.3734
200.000000 88.563 165.2754
203.000000 88.467 165.5943
206.000000 88.384 165.9478
209.000000 88.313 166.1213
212.000000 88.250 166.2823
214.000000 88.205 166.4122
218.000000 88.113 166.6725
220.000000 88.069 166.7956
224.000000 87.991 167.0516
227.000000 87.938 167.2166
230.000000 87.887 167.3538
233.000000 87.832 167.5203
236.000000 87.772 167.7509
240.000000 87.695 168.0807
243.000000 87.640 168.2863
247.000000 87.569 168.4726
250.000000 87.515 168.6180
254.000000 87.447 168.9679
258.000000 87.382 169.3206
262.000000 87.319 169.6264
265.000000 87.273 169.8389
269.000000 87.213 170.1393
272.000000 87.172 170.3714
