* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11/03/2023 3:20:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Fourte Blanc L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 66.711 -152.0332
1.015000 66.972 -153.3802
1.030000 67.228 -154.5897
1.044000 67.465 -155.6015
1.060000 67.732 -156.6308
1.075000 67.980 -157.4834
1.090000 68.226 -158.2381
1.106000 68.484 -158.9470
1.120000 68.708 -159.4957
1.138000 68.993 -160.1174
1.150000 69.181 -160.4877
1.172000 69.521 -161.0950
1.180000 69.643 -161.2980
1.206000 70.036 -161.9183
1.220000 70.245 -162.2411
1.241000 70.554 -162.7339
1.250000 70.686 -162.9543
1.265000 70.903 -163.3426
1.280000 71.117 -163.7660
1.315000 71.610 -164.9494
1.320000 71.679 -165.1466
1.340000 71.954 -166.0207
1.360000 72.226 -167.0257
1.380000 72.493 -168.1002
1.400000 72.755 -169.2316
1.430000 73.139 -171.0169
1.450000 73.390 -172.2532
1.475000 73.698 -173.8354
1.500000 74.000 -175.4428
1.525000 74.296 -177.0584
1.550000 74.586 -178.6655
1.575000 74.872 179.7528
1.600000 75.152 178.2134
1.625000 75.428 176.7330
1.650000 75.699 175.3286
1.675000 75.967 174.0168
1.700000 76.230 172.8046
1.725000 76.488 171.6675
1.750000 76.740 170.5950
1.775000 76.987 169.5778
1.800000 77.228 168.6068
1.825000 77.465 167.6726
1.850000 77.697 166.7661
1.875000 77.924 165.8781
1.900000 78.148 164.9993
1.925000 78.367 164.1204
1.950000 78.583 163.2323
1.975000 78.795 162.3257
2.000000 79.004 161.3915
2.030000 79.251 160.2243
2.060000 79.491 159.0341
2.090000 79.725 157.8324
2.120000 79.954 156.6226
2.140000 80.103 155.8132
2.180000 80.393 154.1922
2.200000 80.535 153.3825
2.240000 80.813 151.7695
2.270000 81.015 150.5695
2.300000 81.214 149.3813
2.330000 81.408 148.2083
2.360000 81.599 147.0538
2.400000 81.847 145.5272
2.430000 82.026 144.3877
2.470000 82.258 142.8789
2.500000 82.427 141.7578
2.540000 82.646 140.2802
2.580000 82.857 138.8264
2.620000 83.063 137.4006
2.650000 83.213 136.3524
2.690000 83.409 134.9863
2.720000 83.552 133.9896
2.760000 83.736 132.6996
2.800000 83.913 131.4465
2.850000 84.126 129.9197
2.900000 84.329 128.4221
2.950000 84.525 126.9377
3.000000 84.714 125.4508
3.040000 84.861 124.2487
3.070000 84.967 123.3368
3.110000 85.104 122.1127
3.150000 85.236 120.8873
3.200000 85.395 119.3669
3.250000 85.547 117.8752
3.300000 85.693 116.4292
3.350000 85.835 115.0460
3.400000 85.973 113.7397
3.450000 86.104 112.5033
3.500000 86.229 111.3215
3.550000 86.349 110.1792
3.600000 86.464 109.0613
3.650000 86.577 107.9528
3.700000 86.687 106.8384
3.750000 86.793 105.7151
3.820000 86.935 104.1503
3.870000 87.032 103.0478
3.950000 87.182 101.3301
4.000000 87.273 100.2967
4.060000 87.380 99.1095
4.120000 87.484 97.9839
4.180000 87.585 96.9070
4.250000 87.698 95.6925
4.310000 87.793 94.6707
4.370000 87.885 93.6508
4.440000 87.991 92.4621
4.500000 88.080 91.4567
4.550000 88.152 90.6297
4.620000 88.250 89.4905
4.680000 88.332 88.5330
4.750000 88.425 87.4410
4.820000 88.516 86.3768
4.870000 88.579 85.6313
4.940000 88.665 84.6043
5.000000 88.736 83.7365
5.080000 88.827 82.5925
5.150000 88.904 81.6062
5.220000 88.978 80.6355
5.300000 89.060 79.5465
5.380000 89.137 78.4808
5.450000 89.202 77.5663
5.520000 89.264 76.6675
5.600000 89.332 75.6628
5.700000 89.413 74.4463
5.800000 89.490 73.2788
5.900000 89.562 72.1572
6.000000 89.632 71.0746
6.080000 89.688 70.2325
6.150000 89.735 69.5156
6.220000 89.781 68.8168
6.300000 89.834 68.0378
6.400000 89.900 67.0891
6.500000 89.967 66.1749
6.600000 90.034 65.2908
6.700000 90.101 64.4197
6.800000 90.169 63.5524
6.900000 90.238 62.6976
7.000000 90.307 61.8478
7.100000 90.376 60.9950
7.200000 90.444 60.1423
7.300000 90.511 59.2892
7.400000 90.576 58.4323
7.500000 90.638 57.5682
7.620000 90.710 56.5263
7.750000 90.781 55.4026
7.880000 90.846 54.2816
8.000000 90.900 53.2556
8.120000 90.948 52.2524
8.250000 90.994 51.1862
8.380000 91.034 50.1507
8.500000 91.066 49.2312
8.620000 91.094 48.3428
8.750000 91.121 47.4193
8.850000 91.141 46.7393
9.000000 91.167 45.7643
9.120000 91.188 45.0158
9.250000 91.210 44.2396
9.380000 91.232 43.4915
9.500000 91.253 42.8186
9.620000 91.273 42.1659
9.750000 91.296 41.4733
9.880000 91.318 40.7914
10.000000 91.338 40.1737
10.150000 91.361 39.4155
10.300000 91.382 38.6719
10.440000 91.400 37.9961
10.600000 91.418 37.2463
10.750000 91.432 36.5680
10.900000 91.446 35.9185
11.060000 91.459 35.2544
11.200000 91.471 34.6967
11.380000 91.486 34.0099
11.500000 91.497 33.5614
11.720000 91.520 32.7603
11.800000 91.529 32.4682
12.060000 91.557 31.5159
12.200000 91.570 30.9950
12.410000 91.585 30.2053
12.500000 91.589 29.8703
12.650000 91.592 29.3116
12.800000 91.590 28.7767
13.150000 91.570 27.6595
13.200000 91.566 27.5225
13.400000 91.550 27.0303
13.600000 91.542 26.6357
13.800000 91.545 26.3135
14.000000 91.567 26.0332
14.300000 91.636 25.5438
14.500000 91.701 25.0995
14.750000 91.793 24.3322
15.000000 91.874 23.3041
15.250000 91.928 22.0778
15.500000 91.942 20.7429
15.750000 91.908 19.4431
16.000000 91.837 18.3503
16.250000 91.748 17.5445
16.500000 91.661 17.0598
16.750000 91.603 16.8553
17.000000 91.592 16.7588
17.250000 91.626 16.6183
17.500000 91.696 16.2993
17.750000 91.780 15.6964
18.000000 91.852 14.8381
18.250000 91.897 13.8053
18.500000 91.906 12.6991
18.750000 91.881 11.6623
19.000000 91.832 10.7831
19.250000 91.774 10.0895
19.500000 91.717 9.5827
19.750000 91.676 9.2053
20.000000 91.650 8.8862
20.299999 91.638 8.5138
20.600000 91.638 8.1016
20.900000 91.642 7.6459
21.200001 91.644 7.1721
21.400000 91.645 6.8585
21.799999 91.649 6.2349
22.000000 91.651 5.9175
22.400000 91.655 5.2562
22.700001 91.654 4.7375
23.000000 91.648 4.2153
23.299999 91.636 3.7064
23.600000 91.621 3.2196
24.000000 91.599 2.5965
24.299999 91.582 2.1360
24.700001 91.557 1.5264
25.000000 91.536 1.0812
25.400000 91.508 0.5103
25.799999 91.484 -0.0637
26.200001 91.463 -0.6993
26.500000 91.441 -1.2352
26.900000 91.392 -1.9827
27.200001 91.338 -2.5018
27.600000 91.251 -3.0294
28.000000 91.165 -3.3218
28.500000 91.094 -3.4540
29.000000 91.073 -3.5800
29.500000 91.081 -3.8655
30.000000 91.098 -4.3160
30.400000 91.113 -4.7720
30.700001 91.122 -5.1713
31.100000 91.128 -5.7841
31.500000 91.118 -6.4622
32.000000 91.077 -7.2921
32.500000 91.012 -7.9647
33.000000 90.945 -8.4202
33.500000 90.894 -8.7132
34.000000 90.866 -8.9539
34.500000 90.855 -9.2333
35.000000 90.849 -9.5945
35.500000 90.837 -10.0204
36.000000 90.813 -10.4523
36.500000 90.781 -10.8469
37.000000 90.745 -11.2153
37.500000 90.703 -11.5912
38.200001 90.624 -12.1052
38.700001 90.553 -12.3865
39.500000 90.446 -12.6353
40.000000 90.399 -12.7792
40.599998 90.356 -13.1354
41.200001 90.290 -13.7293
41.799999 90.169 -14.2803
42.500000 90.001 -14.3136
43.099998 89.934 -13.8482
43.700001 89.980 -13.5619
44.400002 90.071 -14.0295
45.000000 90.091 -14.8118
45.500000 90.070 -15.3655
46.200001 90.034 -15.8968
46.799999 90.011 -16.3235
47.500000 89.960 -16.8246
48.200001 89.884 -17.1072
48.700001 89.835 -17.1489
49.400002 89.792 -17.1652
50.000000 89.770 -17.3083
50.799999 89.721 -17.7325
51.500000 89.640 -18.1011
52.200001 89.550 -18.2667
53.000000 89.482 -18.3576
53.799999 89.437 -18.5981
54.500000 89.394 -18.8685
55.200001 89.352 -19.1093
56.000000 89.312 -19.3792
57.000000 89.262 -19.6947
58.000000 89.211 -20.0026
59.000000 89.140 -20.2400
60.000000 89.072 -20.2753
60.799999 89.038 -20.2714
61.500000 89.024 -20.3378
62.200001 89.016 -20.5784
63.000000 88.975 -21.0186
64.000000 88.877 -21.2758
65.000000 88.828 -21.2830
66.000000 88.785 -21.5740
67.000000 88.707 -21.7125
68.000000 88.660 -21.7527
69.000000 88.610 -22.0099
70.000000 88.534 -22.2149
71.000000 88.465 -22.3352
72.000000 88.404 -22.4533
73.000000 88.352 -22.5748
74.000000 88.301 -22.7249
75.000000 88.245 -22.8347
76.199997 88.179 -22.8662
77.500000 88.123 -22.7811
78.800003 88.104 -22.8503
80.000000 88.071 -23.2266
81.199997 88.009 -23.5804
82.500000 87.936 -23.8569
83.800003 87.875 -23.8856
85.000000 87.854 -23.9388
86.199997 87.815 -24.1438
87.500000 87.731 -24.1874
88.500000 87.682 -24.0200
90.000000 87.638 -24.0500
91.199997 87.571 -24.1215
92.500000 87.521 -24.0416
93.800003 87.487 -24.1080
95.000000 87.441 -24.1625
96.199997 87.399 -24.1721
97.500000 87.350 -24.2897
98.800003 87.279 -24.3655
100.000000 87.233 -24.3413
101.500000 87.201 -24.5324
103.000000 87.152 -24.7251
104.400002 87.117 -24.8417
106.000000 87.049 -24.9058
107.500000 87.002 -24.8238
109.000000 86.935 -24.9088
110.599998 86.859 -24.5962
112.000000 86.861 -24.2689
113.800003 86.878 -24.1516
115.000000 86.876 -24.1973
117.199997 86.777 -24.8263
118.000000 86.682 -25.0884
120.599998 86.323 -24.3962
122.000000 86.301 -23.3303
124.099998 86.403 -22.6045
125.000000 86.405 -22.4464
126.500000 86.364 -21.9236
128.000000 86.337 -21.6555
131.500000 86.126 -22.0688
132.000000 86.145 -22.1186
134.000000 86.303 -23.0473
136.000000 86.401 -23.9222
138.000000 86.451 -23.8700
140.000000 86.478 -23.6331
143.000000 86.424 -23.7898
145.000000 86.371 -23.9683
147.500000 86.313 -24.1046
150.000000 86.262 -24.0226
152.500000 86.229 -23.9476
155.000000 86.196 -23.9016
157.500000 86.172 -23.8636
160.000000 86.136 -23.9465
162.500000 86.083 -23.9357
165.000000 86.059 -23.7465
167.500000 86.039 -23.5741
170.000000 85.981 -23.3845
172.500000 85.925 -23.3918
175.000000 85.899 -23.7449
177.500000 85.906 -23.9959
180.000000 85.924 -23.9426
182.500000 85.915 -23.8102
185.000000 85.887 -23.7777
187.500000 85.862 -23.7680
190.000000 85.841 -23.7363
192.500000 85.815 -23.7229
195.000000 85.791 -23.7753
197.500000 85.778 -23.7665
200.000000 85.772 -23.7236
203.000000 85.752 -23.7224
206.000000 85.732 -23.7277
209.000000 85.713 -23.7114
212.000000 85.696 -23.6504
214.000000 85.692 -23.6373
218.000000 85.693 -23.6976
220.000000 85.688 -23.7384
224.000000 85.668 -23.7941
227.000000 85.650 -23.8174
230.000000 85.634 -23.8083
233.000000 85.623 -23.8115
236.000000 85.619 -23.8548
240.000000 85.626 -23.8461
243.000000 85.615 -23.7262
247.000000 85.585 -23.5753
250.000000 85.612 -23.5215
254.000000 85.684 -23.6412
258.000000 85.662 -23.8132
262.000000 85.642 -23.8677
265.000000 85.641 -23.9794
269.000000 85.640 -24.1796
272.000000 85.636 -24.3061
276.000000 85.633 -24.3179
280.000000 85.631 -24.2960
285.000000 85.607 -24.3992
290.000000 85.609 -24.6682
295.000000 85.637 -24.7438
300.000000 85.646 -24.6840
304.000000 85.647 -24.7554
307.000000 85.648 -24.8018
311.000000 85.662 -24.8482
315.000000 85.693 -24.9404
320.000000 85.714 -25.0967
