* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11/03/2023 3:17:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Fourte Blanc R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 72.266 -173.7263
1.015000 72.435 -173.9881
1.030000 72.603 -174.2711
1.044000 72.759 -174.5541
1.060000 72.938 -174.8985
1.075000 73.105 -175.2403
1.090000 73.272 -175.5993
1.106000 73.449 -175.9996
1.120000 73.604 -176.3636
1.138000 73.802 -176.8484
1.150000 73.934 -177.1812
1.172000 74.175 -177.8089
1.180000 74.262 -178.0422
1.206000 74.544 -178.8157
1.220000 74.694 -179.2403
1.241000 74.919 -179.8851
1.250000 75.015 179.8365
1.265000 75.174 179.3705
1.280000 75.332 178.9034
1.315000 75.697 177.8156
1.320000 75.749 177.6611
1.340000 75.954 177.0475
1.360000 76.158 176.4381
1.380000 76.361 175.8216
1.400000 76.562 175.1973
1.430000 76.862 174.2467
1.450000 77.060 173.6041
1.475000 77.305 172.7910
1.500000 77.548 171.9676
1.525000 77.788 171.1342
1.550000 78.026 170.2914
1.575000 78.260 169.4396
1.600000 78.492 168.5792
1.625000 78.720 167.7108
1.650000 78.944 166.8348
1.675000 79.165 165.9515
1.700000 79.382 165.0591
1.725000 79.596 164.1513
1.750000 79.806 163.2296
1.775000 80.014 162.2959
1.800000 80.218 161.3522
1.825000 80.419 160.4002
1.850000 80.617 159.4419
1.875000 80.812 158.4792
1.900000 81.004 157.5139
1.925000 81.193 156.5480
1.950000 81.379 155.5834
1.975000 81.562 154.6219
2.000000 81.742 153.6654
2.030000 81.955 152.5258
2.060000 82.163 151.3853
2.090000 82.367 150.2419
2.120000 82.566 149.0969
2.140000 82.696 148.3331
2.180000 82.951 146.8060
2.200000 83.076 146.0434
2.240000 83.321 144.5216
2.270000 83.500 143.3847
2.300000 83.675 142.2527
2.330000 83.847 141.1268
2.360000 84.015 140.0080
2.400000 84.233 138.5214
2.430000 84.391 137.4088
2.470000 84.596 135.9300
2.500000 84.746 134.8255
2.540000 84.940 133.3606
2.580000 85.127 131.9063
2.620000 85.309 130.4646
2.650000 85.442 129.3928
2.690000 85.615 127.9778
2.720000 85.740 126.9254
2.760000 85.903 125.5291
2.800000 86.058 124.1429
2.850000 86.245 122.4279
2.900000 86.424 120.7365
2.950000 86.595 119.0732
3.000000 86.759 117.4425
3.040000 86.887 116.1640
3.070000 86.979 115.2185
3.110000 87.097 113.9742
3.150000 87.211 112.7487
3.200000 87.346 111.2435
3.250000 87.475 109.7681
3.300000 87.600 108.3226
3.350000 87.719 106.9073
3.400000 87.835 105.5218
3.450000 87.944 104.1653
3.500000 88.047 102.8382
3.550000 88.145 101.5416
3.600000 88.240 100.2760
3.650000 88.331 99.0423
3.700000 88.421 97.8412
3.750000 88.507 96.6753
3.820000 88.621 95.1019
3.870000 88.698 94.0161
3.950000 88.817 92.3364
4.000000 88.890 91.3181
4.060000 88.975 90.1243
4.120000 89.058 88.9702
4.180000 89.139 87.8546
4.250000 89.230 86.5952
4.310000 89.306 85.5461
4.370000 89.382 84.5201
4.440000 89.470 83.3572
4.500000 89.544 82.3946
4.550000 89.605 81.6122
4.620000 89.688 80.5406
4.680000 89.759 79.6379
4.750000 89.841 78.5990
4.820000 89.922 77.5851
4.870000 89.979 76.8749
4.940000 90.058 75.8968
5.000000 90.124 75.0704
5.080000 90.210 73.9816
5.150000 90.283 73.0448
5.220000 90.355 72.1233
5.300000 90.435 71.0875
5.380000 90.512 70.0688
5.450000 90.577 69.1909
5.520000 90.640 68.3258
5.600000 90.709 67.3542
5.700000 90.791 66.1670
5.800000 90.868 65.0105
5.900000 90.941 63.8835
6.000000 91.010 62.7888
6.080000 91.063 61.9378
6.150000 91.107 61.2116
6.220000 91.149 60.5018
6.300000 91.196 59.7101
6.400000 91.252 58.7485
6.500000 91.306 57.8197
6.600000 91.357 56.9225
6.700000 91.407 56.0527
6.800000 91.456 55.2088
6.900000 91.504 54.3934
7.000000 91.550 53.6011
7.100000 91.596 52.8264
7.200000 91.642 52.0730
7.300000 91.686 51.3380
7.400000 91.730 50.6157
7.500000 91.773 49.9061
7.620000 91.824 49.0726
7.750000 91.879 48.1822
7.880000 91.932 47.3043
8.000000 91.979 46.5038
8.120000 92.025 45.7069
8.250000 92.072 44.8488
8.380000 92.117 43.9960
8.500000 92.155 43.2114
8.620000 92.189 42.4298
8.750000 92.223 41.5927
8.850000 92.245 40.9549
9.000000 92.273 40.0108
9.120000 92.291 39.2790
9.250000 92.305 38.5065
9.380000 92.314 37.7636
9.500000 92.321 37.1132
9.620000 92.323 36.4934
9.750000 92.326 35.8601
9.880000 92.327 35.2716
10.000000 92.329 34.7637
10.150000 92.334 34.1653
10.300000 92.343 33.6128
10.440000 92.356 33.1131
10.600000 92.378 32.5568
10.750000 92.403 32.0334
10.900000 92.433 31.4879
11.060000 92.469 30.8836
11.200000 92.500 30.3210
11.380000 92.540 29.5569
11.500000 92.564 29.0259
11.720000 92.601 28.0078
11.800000 92.612 27.6338
12.060000 92.636 26.4025
12.200000 92.643 25.7531
12.410000 92.646 24.8008
12.500000 92.645 24.4077
12.650000 92.641 23.7713
12.800000 92.636 23.1581
13.150000 92.621 21.8171
13.200000 92.619 21.6337
13.400000 92.611 20.9189
13.600000 92.604 20.2250
13.800000 92.596 19.5513
14.000000 92.589 18.8951
14.300000 92.577 17.9484
14.500000 92.568 17.3453
14.750000 92.558 16.6270
15.000000 92.548 15.9512
15.250000 92.540 15.3184
15.500000 92.534 14.7275
15.750000 92.533 14.1751
16.000000 92.537 13.6512
16.250000 92.546 13.1453
16.500000 92.559 12.6483
16.750000 92.576 12.1512
17.000000 92.595 11.6556
17.250000 92.616 11.1663
17.500000 92.640 10.6861
17.750000 92.669 10.2129
18.000000 92.706 9.7160
18.250000 92.750 9.1571
18.500000 92.796 8.4966
18.750000 92.836 7.6930
19.000000 92.854 6.7662
19.250000 92.842 5.7816
19.500000 92.792 4.8301
19.750000 92.706 4.0730
20.000000 92.605 3.6250
20.299999 92.497 3.5280
20.600000 92.451 3.7853
20.900000 92.497 4.0616
21.200001 92.622 3.9407
21.400000 92.722 3.4777
21.799999 92.869 1.6797
22.000000 92.884 0.5029
22.400000 92.772 -1.8398
22.700001 92.592 -3.0530
23.000000 92.392 -3.5778
23.299999 92.241 -3.5245
23.600000 92.181 -3.2642
24.000000 92.223 -3.3696
24.299999 92.266 -4.0497
24.700001 92.229 -5.4927
25.000000 92.106 -6.4419
25.400000 91.861 -6.8366
25.799999 91.667 -6.0602
26.200001 91.647 -4.7744
26.500000 91.747 -4.0756
26.900000 91.939 -3.9662
27.200001 92.059 -4.4836
27.600000 92.135 -5.5526
28.000000 92.116 -6.5745
28.500000 92.022 -7.3656
29.000000 91.925 -7.6903
29.500000 91.849 -7.8209
30.000000 91.787 -7.9105
30.400000 91.744 -7.9733
30.700001 91.716 -8.0251
31.100000 91.688 -8.1227
31.500000 91.670 -8.2855
32.000000 91.660 -8.6405
32.500000 91.653 -9.2220
33.000000 91.633 -10.0206
33.500000 91.588 -10.9375
34.000000 91.520 -11.8539
34.500000 91.433 -12.7031
35.000000 91.331 -13.4163
35.500000 91.224 -13.8876
36.000000 91.136 -14.0881
36.500000 91.093 -14.1782
37.000000 91.080 -14.3851
37.500000 91.063 -14.7506
38.200001 91.006 -15.1961
38.700001 90.969 -15.3561
39.500000 90.944 -15.7211
40.000000 90.917 -16.1198
40.599998 90.857 -16.5610
41.200001 90.796 -16.8594
41.799999 90.755 -17.1583
42.500000 90.712 -17.6342
43.099998 90.664 -18.0509
43.700001 90.613 -18.3873
44.400002 90.558 -18.6478
45.000000 90.525 -18.7504
45.500000 90.514 -18.8161
46.200001 90.511 -19.0437
46.799999 90.489 -19.3696
47.500000 90.427 -19.6720
48.200001 90.360 -19.7764
48.700001 90.325 -19.8345
49.400002 90.284 -20.0482
50.000000 90.243 -20.3373
50.799999 90.187 -20.7988
51.500000 90.140 -21.3140
52.200001 90.077 -21.8916
53.000000 89.990 -22.3882
53.799999 89.919 -22.6562
54.500000 89.873 -22.8367
55.200001 89.823 -22.9492
56.000000 89.769 -22.9036
57.000000 89.728 -22.8509
58.000000 89.658 -23.0531
59.000000 89.543 -23.0620
60.000000 89.485 -23.0443
60.799999 89.444 -23.4917
61.500000 89.362 -23.9011
62.200001 89.284 -23.9656
63.000000 89.276 -23.9883
64.000000 89.284 -24.7571
65.000000 89.145 -25.2830
66.000000 89.069 -24.5588
67.000000 89.159 -24.5739
68.000000 89.047 -25.4563
69.000000 88.830 -24.6465
70.000000 88.885 -23.7375
71.000000 88.913 -24.5867
72.000000 88.756 -25.1798
73.000000 88.663 -25.0411
74.000000 88.660 -25.2730
75.000000 88.636 -25.8404
76.199997 88.570 -26.3664
77.500000 88.497 -26.6156
78.800003 88.432 -26.7014
80.000000 88.366 -26.6982
81.199997 88.304 -26.6528
82.500000 88.234 -26.7062
83.800003 88.155 -26.7733
85.000000 88.087 -26.7876
86.199997 88.033 -26.7943
87.500000 87.979 -26.8698
88.500000 87.931 -26.9307
90.000000 87.855 -26.9819
91.199997 87.802 -27.0358
92.500000 87.749 -27.1744
93.800003 87.694 -27.3211
95.000000 87.649 -27.4160
96.199997 87.605 -27.4839
97.500000 87.553 -27.4774
98.800003 87.500 -27.4119
100.000000 87.448 -27.3625
101.500000 87.374 -27.3809
103.000000 87.285 -27.4475
104.400002 87.199 -27.3798
106.000000 87.160 -27.1939
107.500000 87.152 -27.2927
109.000000 87.123 -27.3955
110.599998 87.091 -27.3873
112.000000 87.061 -27.3798
113.800003 87.005 -27.3729
115.000000 86.965 -27.3251
117.199997 86.904 -27.2675
118.000000 86.881 -27.2598
120.599998 86.808 -27.1531
122.000000 86.778 -27.0862
124.099998 86.737 -27.1224
125.000000 86.713 -27.1622
126.500000 86.669 -27.1680
128.000000 86.627 -27.1161
131.500000 86.515 -27.1538
132.000000 86.497 -27.1696
134.000000 86.454 -27.2737
136.000000 86.441 -27.4830
138.000000 86.414 -27.5292
140.000000 86.368 -27.2007
143.000000 86.291 -26.7541
145.000000 86.233 -26.6835
147.500000 86.190 -26.6969
150.000000 86.158 -26.6442
152.500000 86.110 -26.5002
155.000000 86.050 -26.4491
157.500000 85.991 -26.4042
160.000000 85.953 -26.3163
162.500000 85.917 -26.2365
165.000000 85.880 -26.1573
167.500000 85.838 -26.0664
170.000000 85.798 -25.9471
172.500000 85.762 -25.8692
175.000000 85.726 -25.7969
177.500000 85.689 -25.6985
180.000000 85.647 -25.5498
182.500000 85.607 -25.3636
185.000000 85.582 -25.1255
187.500000 85.574 -24.8260
190.000000 85.587 -24.5013
192.500000 85.618 -24.3219
195.000000 85.645 -24.3141
197.500000 85.654 -24.3774
200.000000 85.646 -24.4867
203.000000 85.627 -24.6830
206.000000 85.610 -24.8667
209.000000 85.580 -24.9083
212.000000 85.548 -24.8069
214.000000 85.530 -24.7562
218.000000 85.506 -24.7231
220.000000 85.495 -24.7175
224.000000 85.470 -24.6741
227.000000 85.454 -24.6201
230.000000 85.437 -24.5758
233.000000 85.423 -24.5430
236.000000 85.410 -24.5260
240.000000 85.394 -24.5078
243.000000 85.385 -24.4784
247.000000 85.382 -24.4177
250.000000 85.377 -24.4047
254.000000 85.365 -24.4034
258.000000 85.350 -24.3734
262.000000 85.336 -24.3315
265.000000 85.331 -24.3069
269.000000 85.324 -24.2966
272.000000 85.318 -24.2640
276.000000 85.309 -24.2249
280.000000 85.303 -24.2779
285.000000 85.307 -24.2697
290.000000 85.295 -24.2318
295.000000 85.298 -24.2514
300.000000 85.311 -24.2191
304.000000 85.321 -24.1771
307.000000 85.324 -24.1425
311.000000 85.325 -24.1056
315.000000 85.330 -24.0834
320.000000 85.342 -24.0489
325.000000 85.358 -23.9520
