* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23/05/2023 8:44:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: GAS2 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 44.442 -135.5736
1.015000 44.322 -136.9398
1.030000 44.166 -138.3387
1.044000 43.989 -139.6543
1.060000 43.753 -141.1792
1.075000 43.503 -142.6385
1.090000 43.228 -144.1355
1.106000 42.914 -145.7838
1.120000 42.623 -147.2780
1.138000 42.233 -149.2820
1.150000 41.966 -150.6768
1.172000 41.468 -153.3730
1.180000 41.287 -154.4024
1.206000 40.705 -157.9498
1.220000 40.400 -159.9995
1.241000 39.965 -163.2766
1.250000 39.788 -164.7607
1.265000 39.509 -167.3472
1.280000 39.253 -170.0829
1.315000 38.768 -177.0948
1.320000 38.713 -178.1732
1.340000 38.537 177.3087
1.360000 38.423 172.3687
1.380000 38.342 166.8134
1.400000 38.289 160.7093
1.430000 38.265 150.7017
1.450000 38.284 143.5807
1.475000 38.346 134.3167
1.500000 38.451 124.7977
1.525000 38.597 115.1822
1.550000 38.783 105.6287
1.575000 39.009 96.2958
1.600000 39.273 87.3420
1.625000 39.574 78.9259
1.650000 39.912 71.2060
1.675000 40.285 64.3409
1.700000 40.709 58.3299
1.725000 41.220 52.7932
1.750000 41.808 47.6798
1.775000 42.459 42.9625
1.800000 43.159 38.6145
1.825000 43.894 34.6087
1.850000 44.652 30.9182
1.875000 45.417 27.5159
1.900000 46.177 24.3749
1.925000 46.917 21.4681
1.950000 47.624 18.7687
1.975000 48.284 16.2496
2.000000 48.883 13.8839
2.030000 49.508 11.2479
2.060000 50.071 9.1705
2.090000 50.589 7.6604
2.120000 51.067 6.6159
2.140000 51.366 6.1281
2.180000 51.923 5.5173
2.200000 52.184 5.3342
2.240000 52.678 5.0620
2.270000 53.030 4.8215
2.300000 53.371 4.4370
2.330000 53.706 3.8069
2.360000 54.040 2.8329
2.400000 54.464 1.1790
2.430000 54.760 -0.2079
2.470000 55.128 -2.1934
2.500000 55.386 -3.7449
2.540000 55.710 -5.8380
2.580000 56.015 -7.8918
2.620000 56.304 -9.8335
2.650000 56.514 -11.1720
2.690000 56.787 -12.7411
2.720000 56.985 -13.7521
2.760000 57.231 -14.9476
2.800000 57.459 -15.9979
2.850000 57.723 -17.1536
2.900000 57.968 -18.1913
2.950000 58.197 -19.1718
3.000000 58.414 -20.1556
3.040000 58.583 -20.9824
3.070000 58.702 -21.6066
3.110000 58.851 -22.4242
3.150000 58.990 -23.2208
3.200000 59.152 -24.1805
3.250000 59.303 -25.0917
3.300000 59.448 -25.9457
3.350000 59.588 -26.7336
3.400000 59.724 -27.4531
3.450000 59.850 -28.1165
3.500000 59.968 -28.7231
3.550000 60.080 -29.2713
3.600000 60.189 -29.7593
3.650000 60.297 -30.1855
3.700000 60.406 -30.5481
3.750000 60.516 -30.8232
3.820000 60.665 -31.0551
3.870000 60.770 -31.1470
3.950000 60.938 -31.2396
4.000000 61.046 -31.3048
4.060000 61.180 -31.4286
4.120000 61.317 -31.5682
4.180000 61.456 -31.7065
4.250000 61.622 -31.8613
4.310000 61.766 -31.9836
4.370000 61.911 -32.0925
4.440000 62.085 -32.1797
4.500000 62.238 -32.2209
4.550000 62.366 -32.2507
4.620000 62.546 -32.3145
4.680000 62.700 -32.4167
4.750000 62.878 -32.6183
4.820000 63.057 -32.8868
4.870000 63.184 -33.1100
4.940000 63.361 -33.4553
5.000000 63.510 -33.7723
5.080000 63.703 -34.2117
5.150000 63.869 -34.6186
5.220000 64.032 -35.0520
5.300000 64.212 -35.5833
5.380000 64.384 -36.1567
5.450000 64.529 -36.6998
5.520000 64.669 -37.2806
5.600000 64.823 -37.9777
5.700000 65.002 -38.8763
5.800000 65.168 -39.7995
5.900000 65.321 -40.7616
6.000000 65.460 -41.7322
6.080000 65.562 -42.4956
6.150000 65.642 -43.1675
6.220000 65.716 -43.8401
6.300000 65.793 -44.5936
6.400000 65.880 -45.4858
6.500000 65.953 -46.3358
6.600000 66.014 -47.1418
6.700000 66.070 -47.8659
6.800000 66.124 -48.4823
6.900000 66.170 -49.0073
7.000000 66.218 -49.4466
7.100000 66.277 -49.8013
7.200000 66.342 -50.0471
7.300000 66.416 -50.2217
7.400000 66.508 -50.3791
7.500000 66.621 -50.5027
7.620000 66.779 -50.6123
7.750000 66.977 -50.8466
7.880000 67.208 -51.2156
8.000000 67.440 -51.6890
8.120000 67.674 -52.3815
8.250000 67.937 -53.3724
8.380000 68.192 -54.5836
8.500000 68.404 -55.9055
8.620000 68.600 -57.4261
8.750000 68.777 -59.1753
8.850000 68.884 -60.5946
9.000000 69.002 -62.8149
9.120000 69.053 -64.4958
9.250000 69.062 -66.2701
9.380000 69.032 -67.8668
9.500000 68.973 -69.0520
9.620000 68.882 -70.0161
9.750000 68.775 -70.6970
9.880000 68.664 -70.9126
10.000000 68.563 -70.7593
10.150000 68.495 -70.1750
10.300000 68.485 -69.0814
10.440000 68.549 -67.9556
10.600000 68.733 -66.6083
10.750000 68.979 -65.4932
10.900000 69.284 -64.8073
11.060000 69.654 -64.4750
11.200000 69.967 -64.6381
11.380000 70.362 -65.4026
11.500000 70.589 -66.1242
11.720000 70.934 -67.9059
11.800000 71.033 -68.5640
12.060000 71.255 -70.7593
12.200000 71.327 -71.7402
12.410000 71.380 -72.9125
12.500000 71.400 -73.2511
12.650000 71.420 -73.5950
12.800000 71.453 -73.7350
13.150000 71.619 -73.3956
13.200000 71.657 -73.3235
13.400000 71.840 -73.0242
13.600000 72.060 -72.9441
13.800000 72.303 -73.0959
14.000000 72.545 -73.5564
14.300000 72.871 -74.6516
14.500000 73.054 -75.5476
14.750000 73.239 -76.7157
15.000000 73.388 -77.7950
15.250000 73.514 -78.7424
15.500000 73.628 -79.5396
15.750000 73.742 -80.2034
16.000000 73.859 -80.7630
16.250000 73.984 -81.2333
16.500000 74.122 -81.6323
16.750000 74.277 -81.9852
17.000000 74.456 -82.3633
17.250000 74.653 -82.8418
17.500000 74.863 -83.4891
17.750000 75.067 -84.3672
18.000000 75.244 -85.4405
18.250000 75.382 -86.6130
18.500000 75.471 -87.7625
18.750000 75.516 -88.6964
19.000000 75.539 -89.2797
19.250000 75.566 -89.4874
19.500000 75.624 -89.3474
19.750000 75.740 -89.0389
20.000000 75.912 -88.7923
20.299999 76.171 -88.7957
20.600000 76.441 -89.2795
20.900000 76.677 -90.1921
21.200001 76.851 -91.3151
21.400000 76.932 -92.0411
21.799999 77.037 -93.1903
22.000000 77.079 -93.5682
22.400000 77.177 -94.0092
22.700001 77.278 -94.2255
23.000000 77.399 -94.4746
23.299999 77.528 -94.8145
23.600000 77.654 -95.2395
24.000000 77.814 -95.8766
24.299999 77.929 -96.3876
24.700001 78.079 -97.1399
25.000000 78.182 -97.7767
25.400000 78.293 -98.6827
25.799999 78.371 -99.5078
26.200001 78.432 -100.0948
26.500000 78.484 -100.3572
26.900000 78.583 -100.5734
27.200001 78.682 -100.7373
27.600000 78.831 -101.0699
28.000000 78.982 -101.5406
28.500000 79.156 -102.1967
29.000000 79.325 -102.7992
29.500000 79.502 -103.3751
30.000000 79.686 -104.0273
30.400000 79.827 -104.6265
30.700001 79.926 -105.1060
31.100000 80.044 -105.7564
31.500000 80.150 -106.3875
32.000000 80.266 -107.1102
32.500000 80.373 -107.7443
33.000000 80.475 -108.3191
33.500000 80.570 -108.8665
34.000000 80.653 -109.3420
34.500000 80.732 -109.6531
35.000000 80.834 -109.8056
35.500000 80.976 -109.9786
36.000000 81.141 -110.3899
36.500000 81.294 -111.0793
37.000000 81.415 -111.8832
37.500000 81.509 -112.6216
38.200001 81.633 -113.4768
38.700001 81.725 -114.0073
39.500000 81.894 -114.7502
40.000000 82.026 -115.2591
40.599998 82.193 -116.1740
41.200001 82.308 -117.4142
41.799999 82.337 -118.5402
42.500000 82.334 -119.1558
43.099998 82.387 -119.2664
43.700001 82.500 -119.5146
44.400002 82.630 -120.2231
45.000000 82.700 -120.9586
45.500000 82.738 -121.4691
46.200001 82.803 -121.9691
46.799999 82.899 -122.4468
47.500000 83.012 -123.4921
48.200001 83.019 -124.7588
48.700001 82.967 -125.1967
49.400002 82.968 -124.9350
50.000000 83.113 -124.7589
50.799999 83.342 -125.6819
51.500000 83.430 -126.8748
52.200001 83.483 -127.6862
53.000000 83.570 -128.5820
53.799999 83.614 -129.5515
54.500000 83.639 -130.0607
55.200001 83.708 -130.4263
56.000000 83.817 -131.0217
57.000000 83.961 -131.9565
58.000000 84.095 -133.1537
59.000000 84.179 -134.2884
60.000000 84.282 -135.1384
60.799999 84.382 -135.9719
61.500000 84.441 -136.8430
62.200001 84.461 -137.5970
63.000000 84.479 -138.1186
64.000000 84.558 -138.6553
65.000000 84.639 -139.5515
66.000000 84.675 -140.4117
67.000000 84.728 -141.1012
68.000000 84.797 -141.9815
69.000000 84.835 -142.9232
70.000000 84.873 -143.6402
71.000000 84.946 -144.3519
72.000000 85.015 -145.2522
73.000000 85.054 -146.1423
74.000000 85.079 -146.8633
75.000000 85.114 -147.4418
76.199997 85.177 -148.1974
77.500000 85.227 -149.2386
78.800003 85.234 -150.2405
80.000000 85.239 -150.9497
81.199997 85.266 -151.5996
82.500000 85.315 -152.3849
83.800003 85.357 -153.3238
85.000000 85.372 -154.2070
86.199997 85.370 -155.0065
87.500000 85.364 -155.7552
88.500000 85.366 -156.2798
90.000000 85.387 -157.0487
91.199997 85.416 -157.7349
92.500000 85.443 -158.5297
93.800003 85.465 -159.3288
95.000000 85.475 -160.0823
96.199997 85.471 -160.8291
97.500000 85.452 -161.6155
98.800003 85.423 -162.3345
100.000000 85.403 -162.9300
101.500000 85.389 -163.6874
103.000000 85.376 -164.3939
104.400002 85.369 -165.0078
106.000000 85.352 -165.7065
107.500000 85.333 -166.3239
109.000000 85.322 -166.9634
110.599998 85.316 -167.6388
112.000000 85.317 -168.1506
113.800003 85.317 -168.7285
115.000000 85.301 -169.0598
117.199997 85.250 -169.6523
118.000000 85.230 -169.9424
120.599998 85.159 -171.2039
122.000000 85.130 -171.8541
124.099998 85.115 -172.6442
125.000000 85.107 -172.9307
126.500000 85.079 -173.3255
128.000000 85.037 -173.6490
131.500000 84.937 -174.5475
132.000000 84.926 -174.6970
134.000000 84.886 -175.2943
136.000000 84.836 -175.8095
138.000000 84.771 -176.1994
140.000000 84.710 -176.5787
143.000000 84.649 -177.3698
145.000000 84.618 -177.8577
147.500000 84.578 -178.1140
150.000000 84.552 -178.3541
152.500000 84.461 -179.0042
155.000000 84.353 -179.5574
157.500000 84.287 179.9662
160.000000 84.233 179.5988
162.500000 84.175 179.2929
165.000000 84.118 178.9715
167.500000 84.067 178.6346
170.000000 84.016 178.3212
172.500000 83.971 178.0374
175.000000 83.934 177.7770
177.500000 83.896 177.5615
180.000000 83.849 177.3459
182.500000 83.792 177.1229
185.000000 83.742 176.9262
187.500000 83.701 176.7685
190.000000 83.662 176.6511
192.500000 83.616 176.5187
195.000000 83.564 176.3674
197.500000 83.518 176.2339
200.000000 83.481 176.0952
203.000000 83.430 175.8530
206.000000 83.362 175.6279
209.000000 83.303 175.4838
212.000000 83.256 175.3546
214.000000 83.221 175.2922
218.000000 83.145 175.2409
220.000000 83.105 175.1856
224.000000 83.026 175.0552
227.000000 82.979 174.9925
230.000000 82.934 174.9234
233.000000 82.885 174.8212
236.000000 82.837 174.6972
240.000000 82.772 174.5920
243.000000 82.720 174.6119
247.000000 82.640 174.6196
250.000000 82.586 174.6042
254.000000 82.549 174.5854
258.000000 82.507 174.5793
262.000000 82.454 174.5950
265.000000 82.410 174.6085
269.000000 82.347 174.6243
272.000000 82.295 174.6456
276.000000 82.224 174.7269
280.000000 82.157 174.9150
285.000000 82.073 175.3235
290.000000 82.000 175.9089
