* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23/05/2023 8:43:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: GAS2 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 38.343 -140.2171
1.015000 38.323 -137.9694
1.030000 38.373 -135.6128
1.044000 38.476 -133.2974
1.060000 38.656 -130.5322
1.075000 38.880 -127.8419
1.090000 39.151 -125.0743
1.106000 39.488 -122.0559
1.120000 39.818 -119.3744
1.138000 40.283 -115.8944
1.150000 40.615 -113.5674
1.172000 41.259 -109.3192
1.180000 41.502 -107.7885
1.206000 42.311 -102.9072
1.220000 42.753 -100.3604
1.241000 43.412 -96.6846
1.250000 43.691 -95.1723
1.265000 44.144 -92.7491
1.280000 44.581 -90.4625
1.315000 45.508 -85.7525
1.320000 45.627 -85.1603
1.340000 46.061 -83.0183
1.360000 46.438 -82.4383
1.380000 46.800 -82.3097
1.400000 47.150 -82.0893
1.430000 47.655 -81.6165
1.450000 47.978 -81.2266
1.475000 48.366 -80.6791
1.500000 48.737 -80.0898
1.525000 49.092 -79.4855
1.550000 49.432 -78.8929
1.575000 49.757 -78.3388
1.600000 50.066 -77.8499
1.625000 50.362 -77.4529
1.650000 50.643 -77.1746
1.675000 50.911 -77.0417
1.700000 51.164 -77.1228
1.725000 51.402 -77.3420
1.750000 51.623 -77.6618
1.775000 51.829 -78.0722
1.800000 52.019 -78.5631
1.825000 52.195 -79.1241
1.850000 52.356 -79.7453
1.875000 52.503 -80.4163
1.900000 52.637 -81.1270
1.925000 52.758 -81.8672
1.950000 52.865 -82.6268
1.975000 52.961 -83.3955
2.000000 53.044 -84.1633
2.030000 53.130 -85.0850
2.060000 53.201 -86.1473
2.090000 53.258 -87.3524
2.120000 53.299 -88.6560
2.140000 53.317 -89.5582
2.180000 53.325 -91.3832
2.200000 53.314 -92.2800
2.240000 53.263 -93.9770
2.270000 53.195 -95.1137
2.300000 53.099 -96.0851
2.330000 52.975 -96.8470
2.360000 52.820 -97.3621
2.400000 52.568 -98.1002
2.430000 52.348 -98.7571
2.470000 52.014 -99.5976
2.500000 51.734 -100.0836
2.540000 51.321 -100.3660
2.580000 50.865 -100.0330
2.620000 50.367 -98.8687
2.650000 49.966 -97.3202
2.690000 49.398 -94.1823
2.720000 48.881 -90.8387
2.760000 47.979 -85.0230
2.800000 46.924 -77.9849
2.850000 45.546 -68.0164
2.900000 44.283 -57.4023
2.950000 43.331 -46.8452
3.000000 42.886 -37.0476
3.040000 43.027 -30.1581
3.070000 43.460 -25.0497
3.110000 44.404 -18.0994
3.150000 45.670 -11.1757
3.200000 47.539 -2.8673
3.250000 49.528 4.6871
3.300000 51.428 11.0921
3.350000 53.025 15.9519
3.400000 54.231 18.9036
3.450000 55.288 20.0426
3.500000 56.233 19.7866
3.550000 57.088 18.5594
3.600000 57.871 16.7845
3.650000 58.604 14.8857
3.700000 59.306 13.2866
3.750000 59.962 11.7802
3.820000 60.768 9.0808
3.870000 61.277 6.8912
3.950000 62.007 3.2620
4.000000 62.426 1.0991
4.060000 62.908 -1.2148
4.120000 63.343 -3.3443
4.180000 63.730 -5.3835
4.250000 64.130 -7.7116
4.310000 64.437 -9.7177
4.370000 64.717 -11.7836
4.440000 65.007 -14.3163
4.500000 65.218 -16.5577
4.550000 65.370 -18.4350
4.620000 65.550 -21.0161
4.680000 65.679 -23.1274
4.750000 65.800 -25.4255
4.820000 65.884 -27.6179
4.870000 65.922 -29.1207
4.940000 65.950 -31.1267
5.000000 65.953 -32.7468
5.080000 65.930 -34.7606
5.150000 65.875 -36.4294
5.220000 65.793 -37.9800
5.300000 65.676 -39.5457
5.380000 65.546 -40.8223
5.450000 65.415 -41.6873
5.520000 65.261 -42.3503
5.600000 65.077 -42.8616
5.700000 64.861 -43.1332
5.800000 64.673 -42.9320
5.900000 64.493 -42.2518
6.000000 64.356 -41.3253
6.080000 64.300 -40.5497
6.150000 64.289 -39.7375
6.220000 64.308 -38.8290
6.300000 64.361 -37.8045
6.400000 64.467 -36.7684
6.500000 64.632 -35.9882
6.600000 64.845 -35.3978
6.700000 65.068 -35.0965
6.800000 65.280 -35.1739
6.900000 65.503 -35.6006
7.000000 65.716 -36.2699
7.100000 65.896 -37.0904
7.200000 66.051 -38.1455
7.300000 66.182 -39.3534
7.400000 66.286 -40.5692
7.500000 66.359 -41.7900
7.620000 66.409 -43.2954
7.750000 66.437 -44.7735
7.880000 66.432 -46.0529
8.000000 66.410 -47.0739
8.120000 66.397 -47.8804
8.250000 66.382 -48.4920
8.380000 66.387 -48.9302
8.500000 66.428 -49.2209
8.620000 66.497 -49.3773
8.750000 66.605 -49.5768
8.850000 66.717 -49.7814
9.000000 66.925 -50.1527
9.120000 67.108 -50.6237
9.250000 67.327 -51.3188
9.380000 67.553 -52.1766
9.500000 67.754 -53.1174
9.620000 67.953 -54.2090
9.750000 68.157 -55.4752
9.880000 68.343 -56.8085
10.000000 68.501 -58.0959
10.150000 68.681 -59.6669
10.300000 68.840 -61.2101
10.440000 68.976 -62.5768
10.600000 69.120 -64.0208
10.750000 69.248 -65.2751
10.900000 69.377 -66.4220
11.060000 69.513 -67.5464
11.200000 69.636 -68.4763
11.380000 69.797 -69.5958
11.500000 69.904 -70.3243
11.720000 70.101 -71.6176
11.800000 70.170 -72.0752
12.060000 70.382 -73.5213
12.200000 70.486 -74.2385
12.410000 70.629 -75.2216
12.500000 70.687 -75.5846
12.650000 70.778 -76.1185
12.800000 70.869 -76.5462
13.150000 71.097 -77.1104
13.200000 71.134 -77.1473
13.400000 71.298 -77.2104
13.600000 71.495 -77.2336
13.800000 71.723 -77.2764
14.000000 71.982 -77.4463
14.300000 72.400 -78.1064
14.500000 72.678 -78.8664
14.750000 73.002 -80.2051
15.000000 73.267 -81.8706
15.250000 73.460 -83.6964
15.500000 73.572 -85.4991
15.750000 73.604 -87.0415
16.000000 73.583 -88.0787
16.250000 73.545 -88.5231
16.500000 73.529 -88.3669
16.750000 73.582 -87.7440
17.000000 73.726 -87.0057
17.250000 73.950 -86.4229
17.500000 74.227 -86.2181
17.750000 74.511 -86.5216
18.000000 74.761 -87.2176
18.250000 74.961 -88.1377
18.500000 75.105 -89.0943
18.750000 75.205 -89.8700
19.000000 75.289 -90.3930
19.250000 75.378 -90.6938
19.500000 75.489 -90.8508
19.750000 75.627 -91.0384
20.000000 75.777 -91.3708
20.299999 75.949 -92.0034
20.600000 76.086 -92.8221
20.900000 76.175 -93.6402
21.200001 76.230 -94.2641
21.400000 76.261 -94.5201
21.799999 76.349 -94.7654
22.000000 76.414 -94.8545
22.400000 76.575 -95.1788
22.700001 76.697 -95.6390
23.000000 76.799 -96.2143
23.299999 76.878 -96.7692
23.600000 76.946 -97.1887
24.000000 77.060 -97.5277
24.299999 77.179 -97.7687
24.700001 77.373 -98.3457
25.000000 77.515 -99.0468
25.400000 77.660 -100.2141
25.799999 77.746 -101.3121
26.200001 77.806 -102.0771
26.500000 77.863 -102.4355
26.900000 77.971 -102.8131
27.200001 78.072 -103.1470
27.600000 78.206 -103.7132
28.000000 78.325 -104.3176
28.500000 78.462 -104.9246
29.000000 78.626 -105.4180
29.500000 78.818 -106.0947
30.000000 78.990 -107.1030
30.400000 79.085 -108.0211
30.700001 79.130 -108.6577
31.100000 79.166 -109.3283
31.500000 79.193 -109.7421
32.000000 79.246 -109.9194
32.500000 79.352 -109.8512
33.000000 79.529 -109.8336
33.500000 79.755 -110.2095
34.000000 79.967 -111.1282
34.500000 80.108 -112.3822
35.000000 80.169 -113.5477
35.500000 80.188 -114.3366
36.000000 80.210 -114.7640
36.500000 80.260 -115.0150
37.000000 80.335 -115.2537
37.500000 80.427 -115.5764
38.200001 80.557 -116.2668
38.700001 80.629 -116.8723
39.500000 80.716 -117.6154
40.000000 80.801 -117.8951
40.599998 80.957 -118.4077
41.200001 81.116 -119.3605
41.799999 81.221 -120.4896
42.500000 81.301 -121.4913
43.099998 81.385 -122.0912
43.700001 81.484 -122.6778
44.400002 81.588 -123.3230
45.000000 81.676 -123.7772
45.500000 81.752 -124.1621
46.200001 81.845 -124.7733
46.799999 81.909 -125.3293
47.500000 81.964 -126.1132
48.200001 81.949 -126.9507
48.700001 81.900 -127.1937
49.400002 81.905 -126.8180
50.000000 82.063 -126.6049
50.799999 82.333 -127.7505
51.500000 82.432 -129.4920
52.200001 82.438 -130.7550
53.000000 82.472 -131.6052
53.799999 82.538 -132.3091
54.500000 82.608 -132.7955
55.200001 82.693 -133.2991
56.000000 82.761 -133.9305
57.000000 82.834 -134.3264
58.000000 82.971 -134.9872
59.000000 83.022 -136.2265
60.000000 83.008 -137.0115
60.799999 83.039 -137.5063
61.500000 83.074 -138.0749
62.200001 83.099 -138.6265
63.000000 83.139 -139.0939
64.000000 83.239 -139.6806
65.000000 83.353 -140.5624
66.000000 83.439 -141.6309
67.000000 83.483 -142.7665
68.000000 83.481 -143.7128
69.000000 83.487 -144.2999
70.000000 83.541 -144.8218
71.000000 83.618 -145.5439
72.000000 83.682 -146.4287
73.000000 83.717 -147.3270
74.000000 83.725 -148.0574
75.000000 83.737 -148.5755
76.199997 83.771 -149.1623
77.500000 83.809 -149.9252
78.800003 83.835 -150.7617
80.000000 83.855 -151.5804
81.199997 83.863 -152.4014
82.500000 83.865 -153.1726
83.800003 83.876 -153.7667
85.000000 83.911 -154.2704
86.199997 83.954 -154.8821
87.500000 83.991 -155.6172
88.500000 84.014 -156.2255
90.000000 84.034 -157.2080
91.199997 84.032 -157.9572
92.500000 84.029 -158.6628
93.800003 84.029 -159.3218
95.000000 84.027 -159.8653
96.199997 84.027 -160.3477
97.500000 84.029 -160.8730
98.800003 84.026 -161.3956
100.000000 84.022 -161.8586
101.500000 84.017 -162.4131
103.000000 84.014 -162.9251
104.400002 84.010 -163.3926
106.000000 83.993 -163.9495
107.500000 83.961 -164.5023
109.000000 83.925 -165.0768
110.599998 83.898 -165.7260
112.000000 83.890 -166.3173
113.800003 83.889 -167.0290
115.000000 83.886 -167.4189
117.199997 83.867 -167.9872
118.000000 83.854 -168.1779
120.599998 83.814 -168.8458
122.000000 83.804 -169.3376
124.099998 83.779 -170.1527
125.000000 83.766 -170.4476
126.500000 83.746 -170.8560
128.000000 83.730 -171.2258
131.500000 83.674 -172.1786
132.000000 83.663 -172.3092
134.000000 83.620 -172.7649
136.000000 83.588 -173.1364
138.000000 83.559 -173.4944
140.000000 83.518 -173.8721
143.000000 83.452 -174.4763
145.000000 83.434 -174.9471
147.500000 83.457 -175.5481
150.000000 83.456 -176.2853
152.500000 83.348 -176.6526
155.000000 83.248 -176.8427
157.500000 83.179 -177.1928
160.000000 83.138 -177.5330
162.500000 83.092 -177.8206
165.000000 83.029 -178.0784
167.500000 82.964 -178.3621
170.000000 82.906 -178.6312
172.500000 82.852 -178.8644
175.000000 82.800 -179.0981
177.500000 82.749 -179.3227
180.000000 82.695 -179.5271
182.500000 82.642 -179.7411
185.000000 82.594 -179.9807
187.500000 82.548 179.8110
190.000000 82.498 179.6976
192.500000 82.450 179.6015
195.000000 82.415 179.4395
197.500000 82.392 179.2405
200.000000 82.364 179.0922
203.000000 82.315 179.0335
206.000000 82.265 178.9930
209.000000 82.227 178.9661
212.000000 82.196 178.9333
214.000000 82.174 178.8797
218.000000 82.130 178.7288
220.000000 82.108 178.6931
224.000000 82.062 178.6751
227.000000 82.027 178.6062
230.000000 81.993 178.5123
233.000000 81.968 178.4543
236.000000 81.944 178.4503
240.000000 81.904 178.5254
243.000000 81.885 178.5845
247.000000 81.885 178.6797
250.000000 81.887 178.6706
254.000000 81.868 178.4085
258.000000 81.845 178.0335
262.000000 81.812 177.5831
265.000000 81.771 177.2918
269.000000 81.697 177.0415
272.000000 81.639 176.9657
276.000000 81.572 176.9811
