* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11/03/2023 10:15:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Gaea L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 69.544 69.9658
1.015000 69.628 67.8062
1.030000 69.727 65.6844
1.044000 69.831 63.7255
1.060000 69.963 61.5126
1.075000 70.099 59.4630
1.090000 70.246 57.4378
1.106000 70.413 55.3046
1.120000 70.567 53.4612
1.138000 70.774 51.1228
1.150000 70.918 49.5840
1.172000 71.191 46.8046
1.180000 71.292 45.8075
1.206000 71.629 42.6170
1.220000 71.814 40.9311
1.241000 72.092 38.4445
1.250000 72.211 37.3945
1.265000 72.409 35.6655
1.280000 72.606 33.9629
1.315000 73.052 30.0935
1.320000 73.114 29.5527
1.340000 73.355 27.4193
1.360000 73.588 25.3360
1.380000 73.825 23.3070
1.400000 74.064 21.3310
1.430000 74.427 18.4624
1.450000 74.671 16.6112
1.475000 74.976 14.3632
1.500000 75.282 12.1853
1.525000 75.587 10.0742
1.550000 75.889 8.0266
1.575000 76.188 6.0392
1.600000 76.483 4.1087
1.625000 76.771 2.2317
1.650000 77.053 0.4050
1.675000 77.326 -1.3748
1.700000 77.591 -3.0975
1.725000 77.852 -4.7314
1.750000 78.108 -6.2830
1.775000 78.360 -7.7613
1.800000 78.607 -9.1751
1.825000 78.850 -10.5334
1.850000 79.088 -11.8451
1.875000 79.322 -13.1190
1.900000 79.552 -14.3641
1.925000 79.778 -15.5893
1.950000 79.999 -16.8035
1.975000 80.216 -18.0157
2.000000 80.428 -19.2346
2.030000 80.678 -20.7143
2.060000 80.920 -22.1756
2.090000 81.155 -23.6084
2.120000 81.384 -25.0140
2.140000 81.533 -25.9366
2.180000 81.823 -27.7492
2.200000 81.964 -28.6399
2.240000 82.239 -30.3923
2.270000 82.439 -31.6829
2.300000 82.635 -32.9547
2.330000 82.827 -34.2091
2.360000 83.015 -35.4473
2.400000 83.257 -37.0658
2.430000 83.432 -38.2535
2.470000 83.658 -39.8041
2.500000 83.821 -40.9436
2.540000 84.032 -42.4336
2.580000 84.235 -43.8923
2.620000 84.432 -45.3223
2.650000 84.575 -46.3773
2.690000 84.762 -47.7626
2.720000 84.897 -48.7834
2.760000 85.071 -50.1146
2.800000 85.238 -51.4142
2.850000 85.436 -52.9980
2.900000 85.625 -54.5413
2.950000 85.806 -56.0493
3.000000 85.979 -57.5270
3.040000 86.114 -58.6906
3.070000 86.211 -59.5527
3.110000 86.335 -60.6864
3.150000 86.454 -61.8000
3.200000 86.595 -63.1606
3.250000 86.730 -64.4827
3.300000 86.860 -65.7621
3.350000 86.986 -66.9947
3.400000 87.107 -68.1761
3.450000 87.222 -69.3055
3.500000 87.331 -70.3889
3.550000 87.435 -71.4322
3.600000 87.535 -72.4415
3.650000 87.634 -73.4229
3.700000 87.731 -74.3823
3.750000 87.825 -75.3172
3.820000 87.952 -76.5740
3.870000 88.039 -77.4365
3.950000 88.175 -78.7598
4.000000 88.260 -79.5537
4.060000 88.362 -80.4732
4.120000 88.464 -81.3421
4.180000 88.564 -82.1672
4.250000 88.680 -83.0918
4.310000 88.779 -83.8664
4.370000 88.880 -84.6382
4.440000 88.998 -85.5290
4.500000 89.100 -86.2726
4.550000 89.185 -86.8830
4.620000 89.305 -87.7308
4.680000 89.407 -88.4580
4.750000 89.525 -89.3117
4.820000 89.644 -90.1597
4.870000 89.730 -90.7637
4.940000 89.848 -91.6115
5.000000 89.947 -92.3441
5.080000 90.076 -93.3354
5.150000 90.186 -94.2150
5.220000 90.295 -95.1023
5.300000 90.415 -96.1216
5.380000 90.530 -97.1421
5.450000 90.626 -98.0392
5.520000 90.717 -98.9433
5.600000 90.817 -99.9755
5.700000 90.935 -101.2484
5.800000 91.042 -102.4962
5.900000 91.141 -103.7290
6.000000 91.232 -104.9305
6.080000 91.301 -105.8584
6.150000 91.357 -106.6498
6.220000 91.410 -107.4227
6.300000 91.467 -108.2804
6.400000 91.536 -109.3085
6.500000 91.603 -110.2827
6.600000 91.667 -111.2094
6.700000 91.731 -112.0991
6.800000 91.796 -112.9548
6.900000 91.862 -113.7692
7.000000 91.929 -114.5590
7.100000 91.998 -115.3397
7.200000 92.069 -116.1013
7.300000 92.141 -116.8512
7.400000 92.214 -117.6048
7.500000 92.288 -118.3659
7.620000 92.376 -119.2818
7.750000 92.468 -120.2822
7.880000 92.556 -121.2987
8.000000 92.634 -122.2407
8.120000 92.705 -123.1718
8.250000 92.774 -124.1773
8.380000 92.838 -125.1579
8.500000 92.890 -126.0248
8.620000 92.936 -126.8622
8.750000 92.983 -127.7201
8.850000 93.017 -128.3386
9.000000 93.065 -129.2079
9.120000 93.106 -129.8586
9.250000 93.151 -130.5111
9.380000 93.199 -131.1297
9.500000 93.249 -131.6870
9.620000 93.302 -132.2225
9.750000 93.362 -132.8069
9.880000 93.426 -133.4073
10.000000 93.488 -133.9717
10.150000 93.563 -134.7114
10.300000 93.638 -135.4906
10.440000 93.703 -136.2419
10.600000 93.770 -137.1340
10.750000 93.824 -137.9809
10.900000 93.868 -138.8209
11.060000 93.906 -139.7028
11.200000 93.931 -140.4341
11.380000 93.954 -141.3248
11.500000 93.968 -141.8741
11.720000 93.987 -142.7914
11.800000 93.994 -143.1017
12.060000 94.022 -144.0201
12.200000 94.042 -144.4884
12.410000 94.077 -145.1647
12.500000 94.094 -145.4607
12.650000 94.124 -145.9580
12.800000 94.155 -146.4700
13.150000 94.222 -147.7344
13.200000 94.230 -147.9206
13.400000 94.260 -148.6730
13.600000 94.282 -149.4113
13.800000 94.298 -150.1263
14.000000 94.310 -150.7974
14.300000 94.327 -151.7186
14.500000 94.340 -152.2841
14.750000 94.364 -152.9530
15.000000 94.396 -153.6199
15.250000 94.434 -154.3088
15.500000 94.474 -155.0345
15.750000 94.512 -155.8009
16.000000 94.544 -156.5887
16.250000 94.570 -157.3770
16.500000 94.590 -158.1465
16.750000 94.606 -158.8785
17.000000 94.620 -159.5686
17.250000 94.635 -160.2224
17.500000 94.651 -160.8478
17.750000 94.670 -161.4589
18.000000 94.691 -162.0657
18.250000 94.712 -162.6714
18.500000 94.732 -163.2766
18.750000 94.750 -163.8767
19.000000 94.766 -164.4661
19.250000 94.781 -165.0418
19.500000 94.795 -165.6018
19.750000 94.808 -166.1478
20.000000 94.821 -166.6832
20.299999 94.837 -167.3152
20.600000 94.852 -167.9395
20.900000 94.867 -168.5584
21.200001 94.881 -169.1733
21.400000 94.890 -169.5827
21.799999 94.907 -170.4071
22.000000 94.915 -170.8243
22.400000 94.925 -171.6667
22.700001 94.928 -172.2943
23.000000 94.926 -172.9021
23.299999 94.922 -173.4754
23.600000 94.917 -174.0074
24.000000 94.915 -174.6646
24.299999 94.918 -175.1424
24.700001 94.928 -175.7935
25.000000 94.936 -176.2980
25.400000 94.941 -176.9714
25.799999 94.944 -177.6063
26.200001 94.950 -178.1938
26.500000 94.961 -178.6285
26.900000 94.980 -179.2516
27.200001 94.992 -179.7690
27.600000 94.996 179.5074
28.000000 94.984 178.8258
28.500000 94.962 178.1376
29.000000 94.959 177.5705
29.500000 94.979 176.9294
30.000000 94.994 176.1264
30.400000 94.989 175.4530
30.700001 94.978 174.9913
31.100000 94.966 174.4496
31.500000 94.966 173.9237
32.000000 94.972 173.1573
32.500000 94.958 172.2869
33.000000 94.917 171.5357
33.500000 94.880 171.0365
34.000000 94.878 170.6236
34.500000 94.900 170.0425
35.000000 94.903 169.2898
35.500000 94.873 168.6155
36.000000 94.841 168.1947
36.500000 94.844 167.9017
37.000000 94.878 167.4688
37.500000 94.909 166.7971
38.200001 94.905 165.7224
38.700001 94.879 165.0372
39.500000 94.828 164.0890
40.000000 94.791 163.6059
40.599998 94.764 163.1936
41.200001 94.784 162.7815
41.799999 94.832 162.0564
42.500000 94.852 160.8050
43.099998 94.814 159.7762
43.700001 94.761 159.0342
44.400002 94.727 158.3808
45.000000 94.718 157.8198
45.500000 94.716 157.3369
46.200001 94.717 156.6589
46.799999 94.723 156.0466
47.500000 94.727 155.2736
48.200001 94.722 154.4415
48.700001 94.708 153.7991
49.400002 94.659 152.8972
50.000000 94.593 152.2737
50.799999 94.514 151.7354
51.500000 94.479 151.3038
52.200001 94.454 150.7358
53.000000 94.414 150.0343
53.799999 94.376 149.3748
54.500000 94.351 148.7803
55.200001 94.327 148.1558
56.000000 94.298 147.4280
57.000000 94.258 146.5211
58.000000 94.213 145.6973
59.000000 94.180 144.9380
60.000000 94.156 144.1269
60.799999 94.131 143.4196
61.500000 94.097 142.8084
62.200001 94.057 142.2686
63.000000 94.021 141.7212
64.000000 93.990 140.9536
65.000000 93.944 140.0933
66.000000 93.890 139.3175
67.000000 93.846 138.5408
68.000000 93.802 137.7356
69.000000 93.763 136.9283
70.000000 93.722 136.0535
71.000000 93.667 135.2434
72.000000 93.618 134.5491
73.000000 93.578 133.8486
74.000000 93.533 133.1387
75.000000 93.483 132.4579
76.199997 93.425 131.6653
77.500000 93.365 130.7845
78.800003 93.303 129.9130
80.000000 93.252 129.1197
81.199997 93.201 128.3008
82.500000 93.137 127.4518
83.800003 93.072 126.6467
85.000000 93.012 125.9122
86.199997 92.950 125.1513
87.500000 92.877 124.3338
88.500000 92.820 123.7371
90.000000 92.741 122.8807
91.199997 92.682 122.1978
92.500000 92.618 121.4503
93.800003 92.556 120.7037
95.000000 92.503 120.0032
96.199997 92.453 119.3034
97.500000 92.409 118.5622
98.800003 92.371 117.7707
100.000000 92.315 116.9879
101.500000 92.214 116.2288
103.000000 92.121 115.6191
104.400002 92.040 115.0059
106.000000 91.952 114.2546
107.500000 91.877 113.5052
109.000000 91.805 112.7458
110.599998 91.727 111.9776
112.000000 91.660 111.3354
113.800003 91.571 110.5308
115.000000 91.512 109.9976
117.199997 91.408 109.0114
118.000000 91.371 108.6538
120.599998 91.248 107.5170
122.000000 91.178 106.9336
124.099998 91.075 106.0725
125.000000 91.032 105.7005
126.500000 90.958 105.0879
128.000000 90.885 104.5008
131.500000 90.714 103.2086
132.000000 90.689 103.0277
134.000000 90.593 102.2947
136.000000 90.500 101.5477
138.000000 90.409 100.8163
140.000000 90.318 100.1215
143.000000 90.177 99.1182
145.000000 90.088 98.4841
147.500000 89.987 97.7482
150.000000 89.882 97.0552
152.500000 89.759 96.3749
155.000000 89.633 95.6976
157.500000 89.520 95.0348
160.000000 89.421 94.3937
162.500000 89.330 93.7864
165.000000 89.243 93.2069
167.500000 89.156 92.6613
170.000000 89.073 92.0880
172.500000 88.988 91.4562
175.000000 88.903 90.8312
177.500000 88.820 90.2267
180.000000 88.736 89.6303
182.500000 88.646 89.0674
185.000000 88.555 88.5436
187.500000 88.465 88.0270
190.000000 88.375 87.5396
192.500000 88.280 87.1232
195.000000 88.174 86.7311
197.500000 88.058 86.3046
200.000000 87.955 85.9779
203.000000 87.888 85.7227
206.000000 87.831 85.4970
209.000000 87.761 85.3008
212.000000 87.706 85.0984
214.000000 87.684 84.9385
218.000000 87.645 84.5106
220.000000 87.620 84.2439
224.000000 87.564 83.6603
227.000000 87.519 83.2497
230.000000 87.476 82.8711
233.000000 87.438 82.4681
236.000000 87.410 82.0299
240.000000 87.383 81.4346
243.000000 87.360 80.9382
247.000000 87.320 80.1880
250.000000 87.280 79.6393
254.000000 87.214 78.9838
258.000000 87.146 78.3589
262.000000 87.078 77.7567
265.000000 87.026 77.3389
269.000000 86.958 76.8377
272.000000 86.910 76.4965
276.000000 86.849 76.0611
280.000000 86.793 75.6376
285.000000 86.724 75.1341
290.000000 86.660 74.6527
295.000000 86.602 74.1983
300.000000 86.549 73.7621
304.000000 86.510 73.4291
307.000000 86.482 73.1836
311.000000 86.444 72.8588
315.000000 86.407 72.5414
320.000000 86.364 72.1508
325.000000 86.325 71.7847
