* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11/03/2023 10:13:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Gaea R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 74.978 41.6045
1.015000 75.107 39.3814
1.030000 75.247 37.2514
1.044000 75.387 35.3330
1.060000 75.558 33.2185
1.075000 75.728 31.3075
1.090000 75.906 29.4613
1.106000 76.103 27.5590
1.120000 76.282 25.9472
1.138000 76.519 23.9420
1.150000 76.681 22.6438
1.172000 76.982 20.3362
1.180000 77.093 19.5183
1.206000 77.457 16.9284
1.220000 77.653 15.5717
1.241000 77.946 13.5772
1.250000 78.070 12.7350
1.265000 78.276 11.3448
1.280000 78.477 9.9679
1.315000 78.929 6.7840
1.320000 78.991 6.3302
1.340000 79.231 4.5119
1.360000 79.460 2.6972
1.380000 79.685 0.9255
1.400000 79.908 -0.8019
1.430000 80.238 -3.3132
1.450000 80.454 -4.9361
1.475000 80.721 -6.9096
1.500000 80.983 -8.8244
1.525000 81.241 -10.6833
1.550000 81.494 -12.4890
1.575000 81.742 -14.2442
1.600000 81.985 -15.9516
1.625000 82.223 -17.6142
1.650000 82.456 -19.2345
1.675000 82.684 -20.8153
1.700000 82.906 -22.3487
1.725000 83.123 -23.8093
1.750000 83.334 -25.2021
1.775000 83.539 -26.5343
1.800000 83.740 -27.8128
1.825000 83.935 -29.0445
1.850000 84.126 -30.2366
1.875000 84.313 -31.3961
1.900000 84.495 -32.5298
1.925000 84.674 -33.6449
1.950000 84.849 -34.7484
1.975000 85.020 -35.8471
2.000000 85.188 -36.9483
2.030000 85.386 -38.2789
2.060000 85.577 -39.5903
2.090000 85.762 -40.8744
2.120000 85.940 -42.1325
2.140000 86.056 -42.9574
2.180000 86.281 -44.5759
2.200000 86.390 -45.3702
2.240000 86.601 -46.9310
2.270000 86.756 -48.0787
2.300000 86.906 -49.2082
2.330000 87.053 -50.3209
2.360000 87.198 -51.4181
2.400000 87.384 -52.8514
2.430000 87.518 -53.9025
2.470000 87.690 -55.2732
2.500000 87.814 -56.2787
2.540000 87.974 -57.5901
2.580000 88.128 -58.8691
2.620000 88.278 -60.1169
2.650000 88.387 -61.0328
2.690000 88.529 -62.2283
2.720000 88.633 -63.1022
2.760000 88.766 -64.2308
2.800000 88.893 -65.3224
2.850000 89.045 -66.6428
2.900000 89.190 -67.9236
2.950000 89.330 -69.1750
3.000000 89.465 -70.4069
3.040000 89.570 -71.3848
3.070000 89.646 -72.1118
3.110000 89.745 -73.0691
3.150000 89.839 -74.0109
3.200000 89.952 -75.1638
3.250000 90.061 -76.2860
3.300000 90.167 -77.3741
3.350000 90.270 -78.4244
3.400000 90.371 -79.4313
3.450000 90.467 -80.3910
3.500000 90.560 -81.3117
3.550000 90.649 -82.2021
3.600000 90.736 -83.0709
3.650000 90.822 -83.9267
3.700000 90.906 -84.7781
3.750000 90.988 -85.6236
3.820000 91.099 -86.7830
3.870000 91.176 -87.5933
3.950000 91.296 -88.8574
4.000000 91.370 -89.6267
4.060000 91.457 -90.5271
4.120000 91.543 -91.3948
4.180000 91.628 -92.2354
4.250000 91.724 -93.1933
4.310000 91.805 -94.0050
4.370000 91.885 -94.8173
4.440000 91.977 -95.7644
4.500000 92.054 -96.5681
4.550000 92.118 -97.2330
4.620000 92.205 -98.1581
4.680000 92.278 -98.9469
4.750000 92.362 -99.8628
4.820000 92.443 -100.7709
4.870000 92.501 -101.4158
4.940000 92.579 -102.3156
5.000000 92.644 -103.0857
5.080000 92.727 -104.1140
5.150000 92.797 -105.0142
5.220000 92.864 -105.9133
5.300000 92.938 -106.9375
5.380000 93.008 -107.9562
5.450000 93.065 -108.8447
5.520000 93.119 -109.7320
5.600000 93.177 -110.7398
5.700000 93.244 -111.9817
5.800000 93.305 -113.2009
5.900000 93.359 -114.4024
6.000000 93.407 -115.5785
6.080000 93.442 -116.4961
6.150000 93.470 -117.2848
6.220000 93.495 -118.0600
6.300000 93.521 -118.9260
6.400000 93.551 -119.9734
6.500000 93.578 -120.9797
6.600000 93.602 -121.9486
6.700000 93.625 -122.8828
6.800000 93.648 -123.7825
6.900000 93.670 -124.6454
7.000000 93.691 -125.4784
7.100000 93.714 -126.2877
7.200000 93.739 -127.0673
7.300000 93.764 -127.8232
7.400000 93.790 -128.5659
7.500000 93.817 -129.2960
7.620000 93.852 -130.1527
7.750000 93.891 -131.0689
7.880000 93.930 -131.9760
8.000000 93.967 -132.8028
8.120000 94.002 -133.6204
8.250000 94.039 -134.4977
8.380000 94.075 -135.3594
8.500000 94.106 -136.1367
8.620000 94.135 -136.8987
8.750000 94.166 -137.6996
8.850000 94.188 -138.2958
9.000000 94.221 -139.1607
9.120000 94.248 -139.8285
9.250000 94.277 -140.5245
9.380000 94.307 -141.2003
9.500000 94.337 -141.8121
9.620000 94.367 -142.4091
9.750000 94.401 -143.0514
9.880000 94.436 -143.6941
10.000000 94.468 -144.2857
10.150000 94.506 -145.0305
10.300000 94.543 -145.7826
10.440000 94.574 -146.4824
10.600000 94.603 -147.2818
10.750000 94.626 -148.0170
10.900000 94.642 -148.7268
11.060000 94.654 -149.4530
11.200000 94.661 -150.0451
11.380000 94.665 -150.7517
11.500000 94.668 -151.1841
11.720000 94.675 -151.8979
11.800000 94.679 -152.1405
12.060000 94.699 -152.8624
12.200000 94.715 -153.2393
12.410000 94.746 -153.7963
12.500000 94.761 -154.0451
12.650000 94.788 -154.4704
12.800000 94.815 -154.9141
13.150000 94.874 -156.0271
13.200000 94.881 -156.1919
13.400000 94.906 -156.8598
13.600000 94.925 -157.5166
13.800000 94.939 -158.1556
14.000000 94.949 -158.7597
14.300000 94.963 -159.6050
14.500000 94.975 -160.1371
14.750000 94.994 -160.7835
15.000000 95.018 -161.4385
15.250000 95.043 -162.1139
15.500000 95.067 -162.8136
15.750000 95.087 -163.5304
16.000000 95.102 -164.2425
16.250000 95.113 -164.9351
16.500000 95.120 -165.5974
16.750000 95.127 -166.2245
17.000000 95.135 -166.8251
17.250000 95.145 -167.4085
17.500000 95.155 -167.9835
17.750000 95.166 -168.5575
18.000000 95.175 -169.1286
18.250000 95.183 -169.6922
18.500000 95.187 -170.2429
18.750000 95.190 -170.7740
19.000000 95.191 -171.2841
19.250000 95.192 -171.7746
19.500000 95.193 -172.2482
19.750000 95.193 -172.7100
20.000000 95.194 -173.1643
20.299999 95.196 -173.7046
20.600000 95.196 -174.2455
20.900000 95.195 -174.7924
21.200001 95.190 -175.3466
21.400000 95.184 -175.7172
21.799999 95.163 -176.4315
22.000000 95.148 -176.7564
22.400000 95.116 -177.3032
22.700001 95.097 -177.6066
23.000000 95.093 -177.8422
23.299999 95.109 -178.0653
23.600000 95.145 -178.3492
24.000000 95.210 -178.9304
24.299999 95.255 -179.5346
24.700001 95.289 179.5188
25.000000 95.291 178.8176
25.400000 95.274 178.0400
25.799999 95.260 177.4938
26.200001 95.276 177.0665
26.500000 95.310 176.7048
26.900000 95.366 176.0547
27.200001 95.401 175.4345
27.600000 95.421 174.5350
28.000000 95.411 173.7018
28.500000 95.382 172.9030
29.000000 95.368 172.3038
29.500000 95.376 171.7052
30.000000 95.386 170.9991
30.400000 95.382 170.3925
30.700001 95.371 169.9504
31.100000 95.351 169.4063
31.500000 95.328 168.9171
32.000000 95.302 168.3600
32.500000 95.280 167.8313
33.000000 95.265 167.2934
33.500000 95.250 166.7170
34.000000 95.229 166.1161
34.500000 95.201 165.5503
35.000000 95.176 165.0618
35.500000 95.166 164.6088
36.000000 95.171 164.0917
36.500000 95.178 163.4547
37.000000 95.176 162.7382
37.500000 95.161 162.0254
38.200001 95.134 161.1153
38.700001 95.120 160.5132
39.500000 95.114 159.5221
40.000000 95.113 158.8206
40.599998 95.093 157.9117
41.200001 95.044 157.1016
41.799999 94.988 156.5565
42.500000 94.962 156.1442
43.099998 94.976 155.6887
43.700001 94.988 155.0173
44.400002 94.969 154.1091
45.000000 94.923 153.3981
45.500000 94.878 152.9305
46.200001 94.836 152.4230
46.799999 94.833 151.8748
47.500000 94.820 150.8476
48.200001 94.732 149.7685
48.700001 94.643 149.3336
49.400002 94.575 149.1641
50.000000 94.594 148.9406
50.799999 94.643 148.1078
51.500000 94.645 147.1756
52.200001 94.619 146.3476
53.000000 94.580 145.5693
53.799999 94.546 144.9507
54.500000 94.528 144.4260
55.200001 94.508 143.8270
56.000000 94.468 143.1506
57.000000 94.419 142.3917
58.000000 94.380 141.5562
59.000000 94.337 140.6273
60.000000 94.278 139.6710
60.799999 94.221 139.0262
61.500000 94.185 138.5573
62.200001 94.163 138.0648
63.000000 94.142 137.4031
64.000000 94.098 136.5033
65.000000 94.036 135.6299
66.000000 93.963 134.8677
67.000000 93.899 134.2034
68.000000 93.847 133.5345
69.000000 93.796 132.8512
70.000000 93.746 132.2040
71.000000 93.701 131.5355
72.000000 93.649 130.8445
73.000000 93.596 130.1696
74.000000 93.547 129.4360
75.000000 93.490 128.6656
76.199997 93.419 127.7950
77.500000 93.352 126.8956
78.800003 93.289 126.0368
80.000000 93.234 125.2837
81.199997 93.174 124.5088
82.500000 93.102 123.6740
83.800003 93.023 122.8069
85.000000 92.948 122.0741
86.199997 92.891 121.3840
87.500000 92.839 120.5604
88.500000 92.787 119.9222
90.000000 92.697 119.1124
91.199997 92.629 118.4995
92.500000 92.553 117.7831
93.800003 92.475 117.0341
95.000000 92.410 116.3577
96.199997 92.356 115.7217
97.500000 92.315 115.0691
98.800003 92.285 114.3602
100.000000 92.234 113.5666
101.500000 92.114 112.7431
103.000000 92.001 112.1377
104.400002 91.916 111.5080
106.000000 91.831 110.6628
107.500000 91.748 109.8676
109.000000 91.666 109.1656
110.599998 91.582 108.4970
112.000000 91.508 107.9079
113.800003 91.405 107.1102
115.000000 91.333 106.5725
117.199997 91.202 105.6260
118.000000 91.157 105.2986
120.599998 91.015 104.2669
122.000000 90.939 103.7142
124.099998 90.824 102.8945
125.000000 90.775 102.5567
126.500000 90.696 102.0049
128.000000 90.620 101.4460
131.500000 90.427 100.2433
132.000000 90.398 100.0901
134.000000 90.286 99.4865
136.000000 90.173 98.8831
138.000000 90.067 98.2797
140.000000 89.968 97.7144
143.000000 89.833 96.9553
145.000000 89.744 96.4408
147.500000 89.644 95.7532
150.000000 89.558 95.0353
152.500000 89.475 94.3780
155.000000 89.383 93.7308
157.500000 89.283 93.0245
160.000000 89.181 92.2702
162.500000 89.081 91.5156
165.000000 88.974 90.7946
167.500000 88.859 90.1736
170.000000 88.739 89.6324
172.500000 88.616 89.1534
175.000000 88.495 88.7200
177.500000 88.374 88.3547
180.000000 88.257 88.0896
182.500000 88.151 87.9442
185.000000 88.060 87.8877
187.500000 87.989 87.8362
190.000000 87.939 87.7380
192.500000 87.897 87.6299
195.000000 87.840 87.4606
197.500000 87.756 87.2136
200.000000 87.702 87.0500
203.000000 87.731 86.7833
206.000000 87.774 86.4112
209.000000 87.796 85.9441
212.000000 87.812 85.1950
214.000000 87.812 84.5791
218.000000 87.768 83.3485
220.000000 87.731 82.7665
224.000000 87.638 81.6810
227.000000 87.557 80.9645
230.000000 87.478 80.3318
233.000000 87.400 79.7773
236.000000 87.321 79.2771
240.000000 87.220 78.6547
243.000000 87.148 78.2290
247.000000 87.051 77.6924
250.000000 86.984 77.3193
254.000000 86.905 76.8689
258.000000 86.829 76.4343
262.000000 86.755 76.0139
265.000000 86.703 75.7198
269.000000 86.636 75.3486
272.000000 86.587 75.0768
276.000000 86.524 74.7302
280.000000 86.465 74.3985
285.000000 86.396 74.0211
290.000000 86.337 73.7226
295.000000 86.295 73.4214
300.000000 86.260 73.0332
304.000000 86.228 72.6971
307.000000 86.204 72.4467
311.000000 86.173 72.1272
315.000000 86.142 71.8355
320.000000 86.104 71.4956
325.000000 86.070 71.1590
