* Measurement data measured by REW V5.31.3
* Source: A [plughw:4,0], Headset (Headset), 0, volume: 0.229
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13/10/2024 12:55:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: H60 L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 42.538 -24.5522
0.732422 43.257 -55.1585
1.098633 45.826 -88.1637
1.464844 49.714 -114.0496
1.831055 53.639 -132.4397
2.197266 57.103 -146.5438
2.563477 60.037 -158.3100
2.929688 62.489 -168.5650
3.295898 64.537 -177.6178
3.662109 66.261 174.3961
4.028320 67.739 167.3503
4.394531 69.033 161.0752
4.760742 70.184 155.3843
5.126953 71.213 150.1336
5.493164 72.135 145.2570
5.859375 72.964 140.7474
6.225586 73.720 136.6001
6.591797 74.423 132.7619
6.958008 75.087 129.1277
7.324219 75.715 125.5876
7.690430 76.296 122.0861
8.056641 76.823 118.6471
8.422852 77.290 115.3513
8.789062 77.707 112.2858
9.155273 78.086 109.4984
9.521484 78.444 106.9807
9.887695 78.792 104.6791
10.253906 79.136 102.5211
10.620117 79.475 100.4387
10.986328 79.807 98.3817
11.352539 80.123 96.3258
11.718750 80.418 94.2764
12.084961 80.688 92.2648
12.451172 80.935 90.3300
12.817383 81.165 88.4932
13.183594 81.383 86.7403
13.549805 81.595 85.0289
13.916016 81.796 83.3181
14.282227 81.981 81.5992
14.648438 82.146 79.9034
15.014648 82.290 78.2822
15.380859 82.422 76.7742
15.747070 82.549 75.3820
16.113281 82.680 74.0714
16.479492 82.818 72.7897
16.845703 82.959 71.4903
17.211914 83.098 70.1493
17.578125 83.226 68.7749
17.944336 83.340 67.4068
18.310547 83.439 66.1024
18.676758 83.529 64.9084
19.042969 83.620 63.8291
19.409180 83.719 62.8159
19.775391 83.825 61.7982
20.141602 83.928 60.7386
20.507812 84.018 59.6672
20.874023 84.093 58.6584
21.240234 84.163 57.7604
21.606445 84.240 56.9366
21.972656 84.326 56.0808
22.338867 84.406 55.1132
22.705078 84.458 54.0771
23.071289 84.474 53.1459
23.437500 84.469 52.5135
23.803711 84.486 52.2281
24.169922 84.563 52.0936
24.536133 84.705 51.7579
24.902344 84.873 50.9509
25.268555 85.013 49.6627
25.634766 85.087 48.1274
26.000977 85.091 46.6676
26.367188 85.052 45.5200
26.733398 85.012 44.7295
27.099609 84.998 44.1666
27.465820 85.015 43.6517
27.832031 85.051 43.0814
28.198242 85.093 42.4542
28.564453 85.137 41.8064
28.930664 85.186 41.1426
29.296875 85.238 40.4301
29.663086 85.286 39.6491
30.029297 85.319 38.8366
30.395508 85.336 38.0742
30.761719 85.345 37.4289
31.127930 85.359 36.9006
31.494141 85.387 36.4221
31.860352 85.425 35.9143
32.226562 85.463 35.3452
32.592773 85.493 34.7439
32.958984 85.513 34.1644
33.325195 85.530 33.6369
33.691406 85.549 33.1480
34.057617 85.572 32.6604
34.423828 85.595 32.1488
34.790039 85.614 31.6190
35.156250 85.627 31.0981
35.522461 85.636 30.6085
35.888672 85.646 30.1513
36.254883 85.659 29.7084
36.621094 85.675 29.2577
36.987305 85.691 28.7883
37.353516 85.704 28.3045
37.719727 85.713 27.8221
38.085938 85.720 27.3597
38.452148 85.725 26.9285
38.818359 85.734 26.5242
39.184570 85.748 26.1248
39.550781 85.766 25.7000
39.916992 85.785 25.2308
40.283203 85.797 24.7266
40.649414 85.801 24.2252
41.015625 85.799 23.7706
41.381836 85.797 23.3805
41.748047 85.803 23.0291
42.114258 85.818 22.6633
42.480469 85.835 22.2430
42.846680 85.846 21.7751
43.212891 85.846 21.3112
43.579102 85.839 20.9095
43.945312 85.833 20.5889
44.311523 85.835 20.3145
44.677734 85.846 20.0278
45.043945 85.858 19.6995
45.410156 85.864 19.3538
45.776367 85.864 19.0427
46.142578 85.864 18.7899
46.508789 85.873 18.5573
46.875000 85.888 18.2726
47.241211 85.898 17.9037
47.607422 85.887 17.5110
47.973633 85.856 17.2255
48.339844 85.823 17.1512
48.706055 85.816 17.2597
49.072266 85.853 17.3665
49.438477 85.925 17.2396
49.804688 85.999 16.7629
50.170898 86.038 16.0170
50.537109 86.025 15.2235
50.903320 85.974 14.6071
51.269531 85.915 14.2622
51.635742 85.877 14.1065
52.001953 85.869 13.9604
52.368164 85.877 13.6917
52.734375 85.878 13.3024
53.100586 85.862 12.8985
53.466797 85.837 12.5851
53.833008 85.818 12.3810
54.199219 85.815 12.2150
54.565430 85.826 11.9976
54.931641 85.838 11.6979
55.297852 85.842 11.3585
55.664062 85.837 11.0450
56.030273 85.832 10.7867
56.396484 85.833 10.5575
56.762695 85.838 10.3117
57.128906 85.841 10.0326
57.495117 85.839 9.7477
57.861328 85.831 9.4983
58.227539 85.825 9.2956
58.593750 85.825 9.1052
58.959961 85.831 8.8764
59.326172 85.833 8.5881
59.692383 85.825 8.2711
60.058594 85.805 7.9866
60.424805 85.782 7.7795
60.791016 85.763 7.6445
61.157227 85.756 7.5300
61.523438 85.758 7.3773
61.889648 85.763 7.1605
62.255859 85.762 6.8989
62.622070 85.754 6.6345
62.988281 85.743 6.3983
63.354492 85.733 6.1912
63.720703 85.728 5.9890
64.086914 85.725 5.7673
64.453125 85.721 5.5216
64.819336 85.713 5.2688
65.185547 85.702 5.0326
65.551758 85.690 4.8251
65.917969 85.680 4.6389
66.284180 85.673 4.4557
66.650391 85.667 4.2618
67.016602 85.661 4.0587
67.382812 85.652 3.8600
67.749023 85.642 3.6791
68.115234 85.633 3.5177
68.481445 85.627 3.3640
68.847656 85.624 3.2018
69.213867 85.622 3.0217
69.580078 85.618 2.8276
69.946289 85.612 2.6310
70.312500 85.604 2.4421
70.678711 85.596 2.2634
71.044922 85.589 2.0894
71.411133 85.583 1.9142
71.777344 85.576 1.7360
72.143555 85.568 1.5582
72.509766 85.560 1.3851
72.875977 85.552 1.2185
73.242188 85.544 1.0568
73.608398 85.536 0.8979
73.974609 85.528 0.7418
74.340820 85.521 0.5881
74.707031 85.515 0.4333
75.073242 85.509 0.2701
75.439453 85.504 0.0914
75.805664 85.496 -0.1023
76.171875 85.484 -0.2988
76.538086 85.467 -0.4785
76.904297 85.449 -0.6261
77.270508 85.433 -0.7411
77.636719 85.422 -0.8407
78.002930 85.415 -0.9496
78.369141 85.411 -1.0847
78.735352 85.405 -1.2446
79.101562 85.396 -1.4126
79.467773 85.384 -1.5691
79.833984 85.373 -1.7063
80.200195 85.363 -1.8325
80.566406 85.356 -1.9637
80.932617 85.350 -2.1105
81.298828 85.342 -2.2686
81.665039 85.332 -2.4235
82.031250 85.321 -2.5626
82.397461 85.311 -2.6862
82.763672 85.303 -2.8069
83.129883 85.297 -2.9391
83.496094 85.290 -3.0864
83.862305 85.280 -3.2383
84.228516 85.268 -3.3783
84.594727 85.255 -3.4980
84.960938 85.245 -3.6031
85.327148 85.236 -3.7087
85.693359 85.228 -3.8258
86.059570 85.220 -3.9526
86.425781 85.209 -4.0771
86.791992 85.198 -4.1899
87.158203 85.188 -4.2939
87.524414 85.181 -4.4044
87.890625 85.174 -4.5352
88.256836 85.164 -4.6848
88.623047 85.151 -4.8337
88.989258 85.134 -4.9578
89.355469 85.118 -5.0468
89.721680 85.107 -5.1160
90.087891 85.102 -5.1976
90.454102 85.101 -5.3182
90.820312 85.096 -5.4789
91.186523 85.086 -5.6532
91.552734 85.071 -5.8065
91.918945 85.055 -5.9207
92.285156 85.043 -6.0078
92.651367 85.037 -6.1013
93.017578 85.034 -6.2301
93.383789 85.028 -6.3953
93.750000 85.015 -6.5675
94.116211 84.996 -6.7068
94.482422 84.976 -6.7900
94.848633 84.962 -6.8284
95.214844 84.955 -6.8599
95.581055 84.956 -6.9243
95.947266 84.956 -7.0369
96.313477 84.951 -7.1813
96.679688 84.940 -7.3229
97.045898 84.924 -7.4337
97.412109 84.909 -7.5090
97.778320 84.898 -7.5670
98.144531 84.891 -7.6326
98.510742 84.884 -7.7203
98.876953 84.876 -7.8268
99.243164 84.864 -7.9374
99.609375 84.851 -8.0392
99.975586 84.836 -8.1282
100.341797 84.823 -8.2087
100.708008 84.811 -8.2869
101.074219 84.799 -8.3667
101.440430 84.789 -8.4495
101.806641 84.779 -8.5377
102.172852 84.770 -8.6344
102.539062 84.760 -8.7395
102.905273 84.749 -8.8468
103.271484 84.737 -8.9465
103.637695 84.724 -9.0331
104.003906 84.714 -9.1112
104.370117 84.706 -9.1937
104.736328 84.698 -9.2904
105.102539 84.688 -9.3970
105.468750 84.675 -9.4965
105.834961 84.661 -9.5723
106.201172 84.648 -9.6238
106.567383 84.640 -9.6698
106.933594 84.634 -9.7340
107.299805 84.628 -9.8250
107.666016 84.617 -9.9272
108.032227 84.602 -10.0133
108.398438 84.586 -10.0663
108.764648 84.574 -10.0961
109.130859 84.567 -10.1313
109.497070 84.562 -10.1959
109.863281 84.555 -10.2892
110.229492 84.545 -10.3887
110.595703 84.532 -10.4715
110.961914 84.521 -10.5359
111.328125 84.513 -10.6021
111.694336 84.506 -10.6913
112.060547 84.498 -10.8032
112.426758 84.485 -10.9132
112.792969 84.469 -10.9943
113.159180 84.456 -11.0423
113.525391 84.449 -11.0831
113.891602 84.445 -11.1501
114.257812 84.440 -11.2532
114.624023 84.429 -11.3656
114.990234 84.412 -11.4446
115.356445 84.396 -11.4675
115.722656 84.387 -11.4549
116.088867 84.387 -11.4590
116.455078 84.392 -11.5243
116.821289 84.391 -11.6521
117.187500 84.380 -11.7983
117.553711 84.359 -11.9043
117.919922 84.336 -11.9380
118.286133 84.319 -11.9149
118.652344 84.313 -11.8860
119.018555 84.314 -11.9028
119.384766 84.317 -11.9861
119.750977 84.313 -12.1198
120.117188 84.301 -12.2668
120.483398 84.281 -12.3923
120.849609 84.258 -12.4780
121.215820 84.235 -12.5226
121.582031 84.216 -12.5348
121.948242 84.201 -12.5277
122.314453 84.192 -12.5167
122.680664 84.188 -12.5205
123.046875 84.189 -12.5580
123.413086 84.190 -12.6406
123.779297 84.187 -12.7642
124.145508 84.177 -12.9065
124.511719 84.159 -13.0336
124.877930 84.136 -13.1153
125.244141 84.113 -13.1413
125.610352 84.095 -13.1281
125.976562 84.085 -13.1119
126.342773 84.079 -13.1287
126.708984 84.073 -13.1918
127.075195 84.061 -13.2826
127.441406 84.041 -13.3606
127.807617 84.016 -13.3875
128.173828 83.994 -13.3521
128.540039 83.982 -13.2805
128.906250 83.981 -13.2244
129.272461 83.988 -13.2319
129.638672 83.995 -13.3220
130.004883 83.995 -13.4741
130.371094 83.984 -13.6404
130.737305 83.963 -13.7708
131.103516 83.941 -13.8373
131.469727 83.923 -13.8478
131.835938 83.914 -13.8395
132.202148 83.913 -13.8571
132.568359 83.915 -13.9268
132.934570 83.912 -14.0417
133.300781 83.902 -14.1667
133.666992 83.885 -14.2593
134.033203 83.865 -14.2950
134.399414 83.850 -14.2816
134.765625 83.843 -14.2527
135.131836 83.841 -14.2455
135.498047 83.840 -14.2779
135.864258 83.836 -14.3402
136.230469 83.826 -14.4049
136.596680 83.812 -14.4458
136.962891 83.797 -14.4539
137.329102 83.787 -14.4417
137.695312 83.781 -14.4347
138.061523 83.778 -14.4573
138.427734 83.774 -14.5195
138.793945 83.765 -14.6105
139.160156 83.750 -14.7012
139.526367 83.730 -14.7595
139.892578 83.710 -14.7683
140.258789 83.696 -14.7407
140.625000 83.690 -14.7153
140.991211 83.691 -14.7332
141.357422 83.692 -14.8088
141.723633 83.686 -14.9191
142.089844 83.671 -15.0192
142.456055 83.653 -15.0753
142.822266 83.637 -15.0868
143.188477 83.625 -15.0804
143.554688 83.617 -15.0819
143.920898 83.608 -15.0936
144.287109 83.598 -15.0995
144.653320 83.590 -15.0925
145.019531 83.585 -15.0927
145.385742 83.582 -15.1318
145.751953 83.573 -15.2154
146.118164 83.554 -15.3022
146.484375 83.528 -15.3306
146.850586 83.505 -15.2791
147.216797 83.496 -15.2069
147.583008 83.501 -15.2242
147.949219 83.503 -15.4000
148.315430 83.480 -15.6830
