* Measurement data measured by REW V5.31.3
* Source: A [plughw:4,0], Headset (Headset), 0, volume: 0.229
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13/10/2024 12:53:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: H60 R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 34.332 -177.5876
0.732422 35.186 -119.6235
1.098633 44.370 -106.4107
1.464844 50.647 -117.4251
1.831055 55.153 -131.6661
2.197266 58.592 -145.6277
2.563477 61.309 -158.3823
2.929688 63.515 -169.6642
3.295898 65.356 -179.4832
3.662109 66.940 171.9929
4.028320 68.336 164.5190
4.394531 69.586 157.8541
4.760742 70.712 151.8189
5.126953 71.728 146.3063
5.493164 72.646 141.2545
5.859375 73.477 136.6158
6.225586 74.232 132.3427
6.591797 74.921 128.3942
6.958008 75.550 124.7433
7.324219 76.128 121.3703
7.690430 76.665 118.2446
8.056641 77.171 115.3111
8.422852 77.650 112.4991
8.789062 78.099 109.7498
9.155273 78.515 107.0411
9.521484 78.894 104.3887
9.887695 79.237 101.8226
10.253906 79.548 99.3604
10.620117 79.832 97.0011
10.986328 80.089 94.7454
11.352539 80.318 92.6223
11.718750 80.525 90.6891
12.084961 80.724 88.9929
12.451172 80.932 87.5105
12.817383 81.167 86.1209
13.183594 81.426 84.6505
13.549805 81.689 82.9742
13.916016 81.928 81.0977
14.282227 82.123 79.1565
14.648438 82.273 77.3365
15.014648 82.399 75.7643
15.380859 82.529 74.4308
15.747070 82.676 73.2050
16.113281 82.838 71.9345
16.479492 82.995 70.5577
16.845703 83.130 69.1333
17.211914 83.242 67.7759
17.578125 83.344 66.5546
17.944336 83.451 65.4357
18.310547 83.568 64.3173
18.676758 83.685 63.1239
19.042969 83.787 61.8763
19.409180 83.868 60.6711
19.775391 83.940 59.5908
20.141602 84.019 58.6220
20.507812 84.112 57.6591
20.874023 84.211 56.6000
21.240234 84.293 55.4529
21.606445 84.348 54.3500
21.972656 84.387 53.4503
22.338867 84.440 52.7952
22.705078 84.536 52.2320
23.071289 84.672 51.4951
23.437500 84.817 50.3985
23.803711 84.924 48.9759
24.169922 84.966 47.4645
24.536133 84.944 46.1677
24.902344 84.894 45.2871
25.268555 84.859 44.8120
25.634766 84.869 44.5410
26.000977 84.919 44.2322
26.367188 84.987 43.7626
26.733398 85.049 43.1646
27.099609 85.100 42.5412
27.465820 85.147 41.9537
27.832031 85.201 41.3738
28.198242 85.260 40.7257
28.564453 85.315 39.9689
28.930664 85.351 39.1447
29.296875 85.366 38.3513
29.663086 85.369 37.6747
30.029297 85.374 37.1304
30.395508 85.394 36.6560
30.761719 85.430 36.1596
31.127930 85.474 35.5817
31.494141 85.513 34.9244
31.860352 85.542 34.2351
32.226562 85.562 33.5656
32.592773 85.577 32.9411
32.958984 85.593 32.3550
33.325195 85.610 31.7870
33.691406 85.628 31.2247
34.057617 85.643 30.6721
34.423828 85.657 30.1426
34.790039 85.670 29.6445
35.156250 85.685 29.1730
35.522461 85.703 28.7140
35.888672 85.722 28.2542
36.254883 85.742 27.7889
36.621094 85.760 27.3206
36.987305 85.777 26.8527
37.353516 85.792 26.3856
37.719727 85.804 25.9202
38.085938 85.813 25.4647
38.452148 85.817 25.0353
38.818359 85.820 24.6467
39.184570 85.826 24.2960
39.550781 85.839 23.9551
39.916992 85.858 23.5828
40.283203 85.877 23.1511
40.649414 85.889 22.6679
41.015625 85.889 22.1759
41.381836 85.880 21.7274
41.748047 85.869 21.3502
42.114258 85.864 21.0286
42.480469 85.869 20.7134
42.846680 85.881 20.3546
43.212891 85.892 19.9344
43.579102 85.897 19.4774
43.945312 85.893 19.0325
44.311523 85.886 18.6418
44.677734 85.884 18.3122
45.043945 85.892 18.0070
45.410156 85.912 17.6644
45.776367 85.936 17.2357
46.142578 85.953 16.7230
46.508789 85.952 16.1920
46.875000 85.934 15.7467
47.241211 85.912 15.4709
47.607422 85.907 15.3608
47.973633 85.935 15.2993
48.339844 85.995 15.1063
48.706055 86.065 14.6490
49.072266 86.112 13.9327
49.438477 86.112 13.1093
49.804688 86.064 12.4016
50.170898 85.988 11.9877
50.537109 85.919 11.9025
50.903320 85.883 12.0182
51.269531 85.887 12.1281
51.635742 85.914 12.0787
52.001953 85.940 11.8457
52.368164 85.950 11.5096
52.734375 85.942 11.1744
53.100586 85.924 10.8989
53.466797 85.907 10.6802
53.833008 85.894 10.4853
54.199219 85.885 10.2899
54.565430 85.878 10.0881
54.931641 85.875 9.8765
55.297852 85.876 9.6384
55.664062 85.879 9.3545
56.030273 85.878 9.0275
56.396484 85.869 8.6926
56.762695 85.854 8.3960
57.128906 85.842 8.1539
57.495117 85.839 7.9327
57.861328 85.844 7.6722
58.227539 85.848 7.3395
58.593750 85.840 6.9657
58.959961 85.818 6.6328
59.326172 85.788 6.4149
59.692383 85.767 6.3201
60.058594 85.765 6.2761
60.424805 85.780 6.1796
60.791016 85.801 5.9672
61.157227 85.814 5.6552
61.523438 85.812 5.3170
61.889648 85.797 5.0262
62.255859 85.781 4.8075
62.622070 85.769 4.6313
62.988281 85.764 4.4478
63.354492 85.759 4.2307
63.720703 85.750 3.9933
64.086914 85.736 3.7693
64.453125 85.722 3.5799
64.819336 85.711 3.4154
65.185547 85.705 3.2453
65.551758 85.702 3.0448
65.917969 85.697 2.8142
66.284180 85.687 2.5760
66.650391 85.674 2.3562
67.016602 85.661 2.1652
67.382812 85.651 1.9938
67.749023 85.643 1.8252
68.115234 85.638 1.6492
68.481445 85.633 1.4667
68.847656 85.629 1.2826
69.213867 85.625 1.0951
69.580078 85.622 0.8934
69.946289 85.617 0.6698
70.312500 85.607 0.4330
70.678711 85.589 0.2125
71.044922 85.567 0.0438
71.411133 85.547 -0.0580
71.777344 85.535 -0.1155
72.143555 85.535 -0.1823
72.509766 85.542 -0.3109
72.875977 85.547 -0.5176
73.242188 85.542 -0.7703
73.608398 85.527 -1.0112
73.974609 85.506 -1.1951
74.340820 85.488 -1.3201
74.707031 85.478 -1.4258
75.073242 85.475 -1.5607
75.439453 85.472 -1.7452
75.805664 85.464 -1.9590
76.171875 85.450 -2.1609
76.538086 85.433 -2.3231
76.904297 85.421 -2.4525
77.270508 85.414 -2.5828
77.636719 85.411 -2.7455
78.002930 85.406 -2.9458
78.369141 85.395 -3.1592
78.735352 85.379 -3.3512
79.101562 85.360 -3.5012
79.467773 85.344 -3.6139
79.833984 85.333 -3.7118
80.200195 85.326 -3.8192
80.566406 85.321 -3.9480
80.932617 85.315 -4.0953
81.298828 85.306 -4.2498
81.665039 85.295 -4.4000
82.031250 85.284 -4.5412
82.397461 85.273 -4.6763
82.763672 85.262 -4.8124
83.129883 85.252 -4.9552
83.496094 85.240 -5.1031
83.862305 85.227 -5.2484
84.228516 85.213 -5.3823
84.594727 85.199 -5.5041
84.960938 85.189 -5.6223
85.327148 85.180 -5.7483
85.693359 85.171 -5.8851
86.059570 85.161 -6.0251
86.425781 85.151 -6.1581
86.791992 85.142 -6.2850
87.158203 85.135 -6.4196
87.524414 85.128 -6.5744
87.890625 85.116 -6.7404
88.256836 85.098 -6.8820
88.623047 85.077 -6.9595
88.989258 85.061 -6.9644
89.355469 85.059 -6.9393
89.721680 85.070 -6.9583
90.087891 85.086 -7.0775
90.454102 85.096 -7.2952
90.820312 85.089 -7.5521
91.186523 85.068 -7.7730
91.552734 85.041 -7.9150
91.918945 85.017 -7.9893
92.285156 84.999 -8.0414
92.651367 84.987 -8.1111
93.017578 84.974 -8.2057
93.383789 84.959 -8.3073
93.750000 84.942 -8.3982
94.116211 84.928 -8.4803
94.482422 84.916 -8.5696
94.848633 84.906 -8.6786
95.214844 84.895 -8.8052
95.581055 84.884 -8.9404
95.947266 84.872 -9.0812
96.313477 84.860 -9.2341
96.679688 84.845 -9.4025
97.045898 84.826 -9.5704
97.412109 84.801 -9.7052
97.778320 84.775 -9.7784
98.144531 84.755 -9.7913
98.510742 84.746 -9.7805
98.876953 84.746 -9.7968
99.243164 84.751 -9.8710
99.609375 84.753 -9.9976
99.975586 84.747 -10.1425
100.341797 84.736 -10.2701
100.708008 84.722 -10.3644
101.074219 84.709 -10.4324
101.440430 84.699 -10.4924
101.806641 84.691 -10.5591
102.172852 84.682 -10.6370
102.539062 84.673 -10.7235
102.905273 84.662 -10.8135
103.271484 84.650 -10.9028
103.637695 84.638 -10.9885
104.003906 84.625 -11.0707
104.370117 84.613 -11.1528
104.736328 84.602 -11.2397
105.102539 84.592 -11.3349
105.468750 84.580 -11.4363
105.834961 84.569 -11.5386
106.201172 84.557 -11.6384
106.567383 84.545 -11.7371
106.933594 84.533 -11.8368
107.299805 84.520 -11.9342
107.666016 84.506 -12.0182
108.032227 84.493 -12.0789
108.398438 84.483 -12.1206
108.764648 84.478 -12.1658
109.130859 84.477 -12.2413
109.497070 84.474 -12.3563
109.863281 84.464 -12.4886
110.229492 84.447 -12.5973
110.595703 84.428 -12.6526
110.961914 84.414 -12.6620
111.328125 84.409 -12.6698
111.694336 84.409 -12.7256
112.060547 84.408 -12.8470
112.426758 84.398 -13.0060
112.792969 84.378 -13.1495
113.159180 84.353 -13.2378
113.525391 84.330 -13.2711
113.891602 84.314 -13.2842
114.257812 84.302 -13.3152
114.624023 84.291 -13.3740
114.990234 84.276 -13.4382
115.356445 84.259 -13.4764
115.722656 84.245 -13.4790
116.088867 84.238 -13.4704
116.455078 84.239 -13.4918
116.821289 84.241 -13.5703
117.187500 84.239 -13.6980
117.553711 84.229 -13.8387
117.919922 84.212 -13.9531
118.286133 84.193 -14.0245
118.652344 84.178 -14.0659
119.018555 84.167 -14.1053
119.384766 84.157 -14.1635
119.750977 84.146 -14.2396
120.117188 84.132 -14.3163
120.483398 84.115 -14.3744
120.849609 84.098 -14.4067
121.215820 84.083 -14.4207
121.582031 84.073 -14.4304
121.948242 84.065 -14.4480
122.314453 84.059 -14.4789
122.680664 84.055 -14.5254
123.046875 84.051 -14.5905
123.413086 84.046 -14.6775
123.779297 84.039 -14.7846
124.145508 84.028 -14.8999
124.511719 84.011 -15.0023
124.877930 83.992 -15.0707
125.244141 83.974 -15.0975
125.610352 83.962 -15.0970
125.976562 83.957 -15.1022
126.342773 83.957 -15.1479
126.708984 83.956 -15.2499
127.075195 83.948 -15.3922
127.441406 83.930 -15.5318
127.807617 83.904 -15.6213
128.173828 83.879 -15.6373
128.540039 83.861 -15.5974
128.906250 83.854 -15.5533
129.272461 83.856 -15.5607
129.638672 83.859 -15.6434
130.004883 83.854 -15.7792
130.371094 83.837 -15.9131
130.737305 83.814 -15.9932
131.103516 83.791 -16.0021
131.469727 83.777 -15.9674
131.835938 83.774 -15.9420
132.202148 83.776 -15.9697
132.568359 83.777 -16.0594
132.934570 83.771 -16.1852
133.300781 83.757 -16.3071
133.666992 83.739 -16.3962
134.033203 83.719 -16.4471
134.399414 83.702 -16.4734
134.765625 83.687 -16.4907
135.131836 83.673 -16.5050
135.498047 83.660 -16.5127
135.864258 83.650 -16.5109
136.230469 83.643 -16.5078
136.596680 83.640 -16.5219
136.962891 83.639 -16.5699
137.329102 83.636 -16.6529
137.695312 83.628 -16.7524
138.061523 83.615 -16.8414
138.427734 83.599 -16.9009
138.793945 83.585 -16.9308
139.160156 83.574 -16.9468
139.526367 83.566 -16.9664
139.892578 83.559 -16.9963
140.258789 83.551 -17.0315
140.625000 83.543 -17.0641
140.991211 83.534 -17.0908
141.357422 83.524 -17.1122
141.723633 83.514 -17.1265
142.089844 83.504 -17.1287
142.456055 83.495 -17.1196
142.822266 83.489 -17.1141
143.188477 83.485 -17.1361
143.554688 83.478 -17.1969
143.920898 83.463 -17.2753
144.287109 83.439 -17.3243
144.653320 83.413 -17.3082
145.019531 83.394 -17.2408
145.385742 83.388 -17.1888
145.751953 83.388 -17.2212
146.118164 83.381 -17.3459
146.484375 83.359 -17.4923
146.850586 83.326 -17.5637
147.216797 83.300 -17.5280
147.583008 83.294 -17.4672
147.949219 83.307 -17.5269
