* Measurement data measured by REW V5.31.3
* Source: A [plughw:5,0], Headset (Headset), 0, volume: 0.129
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 27/12/2025 2:34:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Harrier L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 37.735 92.6520
0.732422 47.457 57.5528
1.098633 54.951 39.6995
1.464844 60.634 26.0097
1.831055 65.018 13.8502
2.197266 68.446 2.7441
2.563477 71.159 -7.3104
2.929688 73.337 -16.2452
3.295898 75.123 -24.0553
3.662109 76.632 -30.8451
4.028320 77.944 -36.8125
4.394531 79.108 -42.1818
4.760742 80.151 -47.1267
5.126953 81.085 -51.7343
5.493164 81.922 -56.0259
5.859375 82.677 -60.0065
6.225586 83.367 -63.7044
6.591797 84.004 -67.1758
6.958008 84.595 -70.4798
7.324219 85.140 -73.6507
7.690430 85.642 -76.6927
8.056641 86.103 -79.5957
8.422852 86.530 -82.3586
8.789062 86.927 -84.9968
9.155273 87.298 -87.5306
9.521484 87.643 -89.9685
9.887695 87.963 -92.3039
10.253906 88.263 -94.5291
10.620117 88.548 -96.6558
10.986328 88.822 -98.7193
11.352539 89.083 -100.7579
11.718750 89.326 -102.7834
12.084961 89.545 -104.7663
12.451172 89.742 -106.6533
12.817383 89.925 -108.4075
13.183594 90.106 -110.0431
13.549805 90.291 -111.6262
13.916016 90.477 -113.2346
14.282227 90.654 -114.9057
14.648438 90.811 -116.6119
15.014648 90.945 -118.2800
15.380859 91.060 -119.8419
15.747070 91.170 -121.2793
16.113281 91.282 -122.6331
16.479492 91.399 -123.9710
16.845703 91.515 -125.3377
17.211914 91.621 -126.7272
17.578125 91.714 -128.0959
17.944336 91.797 -129.4010
18.310547 91.877 -130.6326
18.676758 91.958 -131.8165
19.042969 92.040 -132.9888
19.409180 92.121 -134.1653
19.775391 92.195 -135.3345
20.141602 92.264 -136.4746
20.507812 92.330 -137.5789
20.874023 92.396 -138.6623
21.240234 92.460 -139.7456
21.606445 92.518 -140.8309
21.972656 92.567 -141.8952
22.338867 92.610 -142.9080
22.705078 92.651 -143.8600
23.071289 92.694 -144.7742
23.437500 92.740 -145.6885
23.803711 92.782 -146.6213
24.169922 92.816 -147.5524
24.536133 92.841 -148.4374
24.902344 92.864 -149.2469
25.268555 92.892 -149.9960
25.634766 92.930 -150.7406
26.000977 92.974 -151.5379
26.367188 93.015 -152.4054
26.733398 93.045 -153.3118
27.099609 93.064 -154.2056
27.465820 93.077 -155.0555
27.832031 93.089 -155.8699
28.198242 93.102 -156.6803
28.564453 93.112 -157.5054
28.930664 93.115 -158.3289
29.296875 93.109 -159.1098
29.663086 93.100 -159.8161
30.029297 93.096 -160.4534
30.395508 93.101 -161.0629
30.761719 93.114 -161.6924
31.127930 93.128 -162.3633
31.494141 93.138 -163.0615
31.860352 93.141 -163.7545
32.226562 93.142 -164.4183
32.592773 93.142 -165.0517
32.958984 93.143 -165.6703
33.325195 93.145 -166.2892
33.691406 93.146 -166.9111
34.057617 93.144 -167.5277
34.423828 93.140 -168.1291
34.790039 93.134 -168.7117
35.156250 93.128 -169.2783
35.522461 93.122 -169.8333
35.888672 93.116 -170.3793
36.254883 93.110 -170.9180
36.621094 93.104 -171.4528
36.987305 93.099 -171.9884
37.353516 93.093 -172.5284
37.719727 93.086 -173.0712
38.085938 93.076 -173.6104
38.452148 93.064 -174.1389
38.818359 93.051 -174.6524
39.184570 93.039 -175.1526
39.550781 93.027 -175.6447
39.916992 93.015 -176.1346
40.283203 93.003 -176.6249
40.649414 92.989 -177.1130
41.015625 92.974 -177.5921
41.381836 92.957 -178.0554
41.748047 92.942 -178.5017
42.114258 92.927 -178.9387
42.480469 92.914 -179.3797
42.846680 92.901 -179.8334
43.212891 92.885 179.7053
43.579102 92.864 179.2549
43.945312 92.842 178.8356
44.311523 92.820 178.4516
44.677734 92.804 178.0840
45.043945 92.793 177.7006
45.410156 92.783 177.2786
45.776367 92.769 176.8226
46.142578 92.748 176.3622
46.508789 92.722 175.9306
46.875000 92.695 175.5413
47.241211 92.671 175.1802
47.607422 92.651 174.8199
47.973633 92.632 174.4434
48.339844 92.612 174.0565
48.706055 92.589 173.6790
49.072266 92.565 173.3241
49.438477 92.545 172.9848
49.804688 92.527 172.6390
50.170898 92.510 172.2696
50.537109 92.490 171.8801
50.903320 92.465 171.4937
51.269531 92.437 171.1353
51.635742 92.408 170.8127
52.001953 92.383 170.5122
52.368164 92.361 170.2096
52.734375 92.341 169.8889
53.100586 92.319 169.5520
53.466797 92.294 169.2139
53.833008 92.267 168.8903
54.199219 92.240 168.5861
54.565430 92.214 168.2947
54.931641 92.189 168.0045
55.297852 92.166 167.7075
55.664062 92.142 167.4035
56.030273 92.116 167.0987
56.396484 92.090 166.8006
56.762695 92.063 166.5134
57.128906 92.036 166.2355
57.495117 92.011 165.9608
57.861328 91.986 165.6828
58.227539 91.961 165.3993
58.593750 91.935 165.1141
58.959961 91.907 164.8348
59.326172 91.879 164.5664
59.692383 91.851 164.3072
60.058594 91.824 164.0504
60.424805 91.797 163.7911
60.791016 91.769 163.5323
61.157227 91.740 163.2831
61.523438 91.711 163.0493
61.889648 91.684 162.8240
62.255859 91.660 162.5892
62.622070 91.637 162.3287
62.988281 91.610 162.0447
63.354492 91.577 161.7617
63.720703 91.540 161.5126
64.086914 91.502 161.3146
64.453125 91.471 161.1534
64.819336 91.448 160.9892
65.185547 91.430 160.7834
65.551758 91.412 160.5247
65.917969 91.387 160.2358
66.284180 91.354 159.9572
66.650391 91.318 159.7188
67.016602 91.284 159.5227
67.382812 91.254 159.3454
67.749023 91.229 159.1581
68.115234 91.205 158.9465
68.481445 91.179 158.7172
68.847656 91.149 158.4890
69.213867 91.117 158.2783
69.580078 91.085 158.0897
69.946289 91.055 157.9168
70.312500 91.027 157.7484
70.678711 91.001 157.5751
71.044922 90.975 157.3915
71.411133 90.950 157.1964
71.777344 90.922 156.9932
72.143555 90.892 156.7896
72.509766 90.859 156.5966
72.875977 90.825 156.4227
73.242188 90.792 156.2693
73.608398 90.761 156.1274
73.974609 90.733 155.9825
74.340820 90.707 155.8225
74.707031 90.679 155.6453
75.073242 90.649 155.4606
75.439453 90.617 155.2840
75.805664 90.583 155.1268
76.171875 90.550 154.9891
76.538086 90.521 154.8582
76.904297 90.495 154.7169
77.270508 90.469 154.5542
77.636719 90.442 154.3732
78.002930 90.411 154.1908
78.369141 90.377 154.0266
78.735352 90.343 153.8897
79.101562 90.312 153.7717
79.467773 90.285 153.6517
79.833984 90.260 153.5116
80.200195 90.233 153.3504
80.566406 90.203 153.1857
80.932617 90.170 153.0406
81.298828 90.137 152.9249
81.665039 90.108 152.8265
82.031250 90.083 152.7194
82.397461 90.059 152.5845
82.763672 90.032 152.4254
83.129883 90.000 152.2659
83.496094 89.964 152.1326
83.862305 89.928 152.0344
84.228516 89.896 151.9568
84.594727 89.868 151.8740
84.960938 89.842 151.7686
85.327148 89.815 151.6419
85.693359 89.785 151.5085
86.059570 89.753 151.3824
86.425781 89.720 151.2675
86.791992 89.687 151.1605
87.158203 89.656 151.0590
87.524414 89.625 150.9636
87.890625 89.597 150.8713
88.256836 89.572 150.7685
88.623047 89.550 150.6350
88.989258 89.525 150.4618
89.355469 89.494 150.2666
89.721680 89.454 150.0902
90.087891 89.411 149.9701
90.454102 89.371 149.9104
90.820312 89.339 149.8749
91.186523 89.315 149.8145
91.552734 89.290 149.7104
91.918945 89.258 149.5952
92.285156 89.220 149.5294
92.651367 89.184 149.5475
93.017578 89.162 149.6178
93.383789 89.157 149.6518
93.750000 89.161 149.5658
94.116211 89.157 149.3458
94.482422 89.133 149.0638
94.848633 89.086 148.8325
95.214844 89.030 148.7317
95.581055 88.979 148.7584
95.947266 88.945 148.8341
96.313477 88.924 148.8670
96.679688 88.906 148.8162
97.045898 88.880 148.7096
97.412109 88.844 148.6086
97.778320 88.805 148.5549
98.144531 88.769 148.5421
98.510742 88.739 148.5306
98.876953 88.712 148.4872
99.243164 88.683 148.4120
99.609375 88.651 148.3333
99.975586 88.616 148.2779
100.341797 88.584 148.2466
100.708008 88.557 148.2147
101.074219 88.534 148.1539
101.440430 88.510 148.0571
101.806641 88.481 147.9433
102.172852 88.446 147.8438
102.539062 88.410 147.7808
102.905273 88.375 147.7557
103.271484 88.346 147.7513
103.637695 88.321 147.7445
104.003906 88.299 147.7184
104.370117 88.277 147.6688
104.736328 88.252 147.6040
105.102539 88.225 147.5391
105.468750 88.194 147.4884
105.834961 88.163 147.4572
106.201172 88.133 147.4382
106.567383 88.104 147.4167
106.933594 88.076 147.3814
107.299805 88.046 147.3342
107.666016 88.012 147.2901
108.032227 87.976 147.2657
108.398438 87.942 147.2636
108.764648 87.913 147.2666
109.130859 87.887 147.2468
109.497070 87.862 147.1854
109.863281 87.833 147.0882
110.229492 87.796 146.9864
110.595703 87.753 146.9216
110.961914 87.709 146.9229
111.328125 87.671 146.9891
111.694336 87.646 147.0840
112.060547 87.634 147.1501
112.426758 87.631 147.1368
112.792969 87.625 147.0296
113.159180 87.608 146.8643
113.525391 87.577 146.7134
113.891602 87.536 146.6476
114.257812 87.498 146.6906
114.624023 87.473 146.7966
114.990234 87.465 146.8755
115.356445 87.463 146.8546
115.722656 87.453 146.7336
116.088867 87.425 146.5891
116.455078 87.381 146.5219
116.821289 87.334 146.5854
117.187500 87.302 146.7418
117.553711 87.287 146.8877
117.919922 87.283 146.9300
118.286133 87.273 146.8543
118.652344 87.246 146.7300
119.018555 87.202 146.6544
119.384766 87.154 146.6817
119.750977 87.115 146.7883
120.117188 87.090 146.8979
120.483398 87.072 146.9446
120.849609 87.053 146.9179
121.215820 87.026 146.8598
121.582031 86.992 146.8228
121.948242 86.957 146.8287
122.314453 86.927 146.8589
122.680664 86.903 146.8777
123.046875 86.880 146.8643
123.413086 86.855 146.8270
123.779297 86.826 146.7922
124.145508 86.794 146.7825
124.511719 86.763 146.8036
124.877930 86.735 146.8457
125.244141 86.711 146.8936
125.610352 86.690 146.9357
125.976562 86.670 146.9654
126.342773 86.650 146.9813
126.708984 86.629 146.9872
127.075195 86.605 146.9928
127.441406 86.580 147.0104
127.807617 86.553 147.0475
128.173828 86.529 147.0990
128.540039 86.508 147.1483
128.906250 86.488 147.1766
129.272461 86.467 147.1777
129.638672 86.441 147.1647
130.004883 86.409 147.1638
130.371094 86.375 147.1991
130.737305 86.343 147.2758
131.103516 86.317 147.3749
131.469727 86.298 147.4617
131.835938 86.284 147.5063
132.202148 86.269 147.5007
132.568359 86.248 147.4637
132.934570 86.220 147.4303
133.300781 86.188 147.4302
133.666992 86.157 147.4715
134.033203 86.130 147.5368
134.399414 86.109 147.5978
134.765625 86.089 147.6355
135.131836 86.068 147.6526
135.498047 86.044 147.6684
135.864258 86.019 147.7016
136.230469 85.994 147.7549
136.596680 85.972 147.8142
136.962891 85.953 147.8622
137.329102 85.933 147.8936
137.695312 85.910 147.9202
138.061523 85.886 147.9589
138.427734 85.861 148.0168
138.793945 85.839 148.0845
139.160156 85.820 148.1439
139.526367 85.801 148.1848
139.892578 85.780 148.2133
140.258789 85.757 148.2466
140.625000 85.733 148.2972
140.991211 85.710 148.3615
141.357422 85.691 148.4219
141.723633 85.674 148.4612
142.089844 85.655 148.4772
142.456055 85.631 148.4859
142.822266 85.604 148.5105
143.188477 85.576 148.5657
143.554688 85.549 148.6483
143.920898 85.528 148.7404
144.287109 85.510 148.8214
144.653320 85.493 148.8813
145.019531 85.474 148.9251
145.385742 85.453 148.9678
145.751953 85.430 149.0232
146.118164 85.409 149.0951
146.484375 85.389 149.1745
146.850586 85.373 149.2456
147.216797 85.357 149.2962
147.583008 85.340 149.3262
147.949219 85.319 149.3486
148.315430 85.294 149.3827
148.681641 85.268 149.4418
149.047852 85.244 149.5256
149.414062 85.223 149.6201
149.780273 85.206 149.7069
150.146484 85.190 149.7739
150.512695 85.173 149.8218
