* Measurement data measured by REW V5.31.3
* Source: A [plughw:5,0], Headset (Headset), 0, volume: 0.129
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 27/12/2025 2:32:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Harrier R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 44.438 31.2188
0.732422 50.504 41.0207
1.098633 56.354 36.6437
1.464844 61.254 26.9053
1.831055 65.241 15.6177
2.197266 68.470 4.3242
2.563477 71.093 -6.2822
2.929688 73.244 -15.8752
3.295898 75.038 -24.3396
3.662109 76.570 -31.7141
4.028320 77.911 -38.1447
4.394531 79.110 -43.8286
4.760742 80.196 -48.9594
5.126953 81.182 -53.6927
5.493164 82.073 -58.1320
5.859375 82.867 -62.3202
6.225586 83.564 -66.2341
6.591797 84.171 -69.7973
6.958008 84.708 -72.9303
7.324219 85.207 -75.6309
7.690430 85.699 -78.0376
8.056641 86.196 -80.4010
8.422852 86.682 -82.9503
8.789062 87.119 -85.7458
9.155273 87.478 -88.6365
9.521484 87.756 -91.3494
9.887695 87.984 -93.6555
10.253906 88.212 -95.5298
10.620117 88.478 -97.1947
10.986328 88.785 -98.9795
11.352539 89.097 -101.0902
11.718750 89.369 -103.4852
12.084961 89.577 -105.9302
12.451172 89.728 -108.1526
12.817383 89.854 -109.9909
13.183594 89.993 -111.4697
13.549805 90.169 -112.7679
13.916016 90.380 -114.1057
14.282227 90.605 -115.6282
14.648438 90.816 -117.3561
15.014648 90.992 -119.2024
15.380859 91.126 -121.0275
15.747070 91.227 -122.7095
16.113281 91.313 -124.2109
16.479492 91.400 -125.6030
16.845703 91.485 -127.0071
17.211914 91.552 -128.4720
17.578125 91.581 -129.8881
17.944336 91.577 -131.0325
18.310547 91.583 -131.7538
18.676758 91.651 -132.1805
19.042969 91.808 -132.7325
19.409180 92.016 -133.8291
19.775391 92.201 -135.5463
20.141602 92.308 -137.5567
20.507812 92.339 -139.3697
20.874023 92.352 -140.6912
21.240234 92.420 -141.6780
21.606445 92.558 -142.8233
21.972656 92.706 -144.4853
22.338867 92.780 -146.5221
22.705078 92.744 -148.3645
23.071289 92.646 -149.4204
23.437500 92.598 -149.5742
23.803711 92.684 -149.4116
24.169922 92.878 -149.7629
24.536133 93.060 -150.9378
24.902344 93.130 -152.5051
25.268555 93.077 -153.6914
25.634766 92.996 -153.9884
26.000977 93.011 -153.6375
26.367188 93.161 -153.5157
26.733398 93.353 -154.3265
27.099609 93.452 -155.9833
27.465820 93.386 -157.7498
27.832031 93.195 -158.7792
28.198242 93.007 -158.7013
28.564453 92.956 -157.9928
28.930664 93.058 -157.6413
29.296875 93.207 -158.2581
29.663086 93.280 -159.6524
30.029297 93.232 -161.1517
30.395508 93.107 -162.1442
30.761719 92.999 -162.4865
31.127930 92.978 -162.5676
31.494141 93.033 -162.9264
31.860352 93.099 -163.7752
32.226562 93.118 -164.9016
32.592773 93.086 -165.9313
32.958984 93.040 -166.6423
33.325195 93.021 -167.1034
33.691406 93.043 -167.5605
34.057617 93.082 -168.1941
34.423828 93.107 -168.9827
34.790039 93.105 -169.7681
35.156250 93.086 -170.4110
35.522461 93.069 -170.8941
35.888672 93.067 -171.3056
36.254883 93.076 -171.7444
36.621094 93.084 -172.2451
36.987305 93.085 -172.7789
37.353516 93.078 -173.3047
37.719727 93.066 -173.8091
38.085938 93.054 -174.3062
38.452148 93.040 -174.8129
38.818359 93.023 -175.3315
39.184570 93.002 -175.8541
39.550781 92.979 -176.3730
39.916992 92.952 -176.8830
40.283203 92.924 -177.3743
40.649414 92.895 -177.8308
41.015625 92.870 -178.2420
41.381836 92.853 -178.6192
41.748047 92.848 -178.9985
42.114258 92.851 -179.4242
42.480469 92.858 -179.9214
42.846680 92.859 179.5199
43.212891 92.849 178.9402
43.579102 92.829 178.3892
43.945312 92.803 177.9025
44.311523 92.777 177.4865
44.677734 92.756 177.1186
45.043945 92.743 176.7604
45.410156 92.734 176.3781
45.776367 92.724 175.9580
46.142578 92.709 175.5106
46.508789 92.688 175.0598
46.875000 92.662 174.6257
47.241211 92.633 174.2135
47.607422 92.604 173.8145
47.973633 92.574 173.4185
48.339844 92.541 173.0252
48.706055 92.506 172.6450
49.072266 92.469 172.2896
49.438477 92.433 171.9628
49.804688 92.399 171.6583
50.170898 92.368 171.3668
50.537109 92.339 171.0831
50.903320 92.313 170.8076
51.269531 92.290 170.5413
51.635742 92.270 170.2811
52.001953 92.253 170.0190
52.368164 92.241 169.7459
52.734375 92.231 169.4534
53.100586 92.222 169.1355
53.466797 92.212 168.7885
53.833008 92.200 168.4150
54.199219 92.183 168.0262
54.565430 92.161 167.6399
54.931641 92.134 167.2723
55.297852 92.105 166.9288
55.664062 92.077 166.6027
56.030273 92.048 166.2831
56.396484 92.019 165.9662
56.762695 91.988 165.6588
57.128906 91.957 165.3704
57.495117 91.926 165.1016
57.861328 91.898 164.8409
58.227539 91.872 164.5736
58.593750 91.845 164.2954
58.959961 91.815 164.0181
59.326172 91.784 163.7589
59.692383 91.754 163.5247
60.058594 91.728 163.3022
60.424805 91.705 163.0673
60.791016 91.684 162.8028
61.157227 91.659 162.5134
61.523438 91.629 162.2223
61.889648 91.596 161.9535
62.255859 91.563 161.7149
62.622070 91.533 161.4931
62.988281 91.507 161.2656
63.354492 91.481 161.0182
63.720703 91.454 160.7548
64.086914 91.424 160.4922
64.453125 91.391 160.2471
64.819336 91.359 160.0247
65.185547 91.329 159.8179
65.551758 91.302 159.6153
65.917969 91.276 159.4092
66.284180 91.251 159.1989
66.650391 91.226 158.9865
67.016602 91.201 158.7725
67.382812 91.175 158.5565
67.749023 91.148 158.3398
68.115234 91.120 158.1286
68.481445 91.090 157.9299
68.847656 91.060 157.7458
69.213867 91.031 157.5690
69.580078 91.003 157.3873
69.946289 90.974 157.1937
70.312500 90.942 156.9933
70.678711 90.907 156.8014
71.044922 90.871 156.6310
71.411133 90.836 156.4813
71.777344 90.805 156.3353
72.143555 90.776 156.1719
72.509766 90.748 155.9812
72.875977 90.716 155.7729
73.242188 90.681 155.5686
73.608398 90.645 155.3856
73.974609 90.610 155.2239
74.340820 90.580 155.0663
74.707031 90.553 154.8922
75.073242 90.527 154.6932
75.439453 90.498 154.4789
75.805664 90.466 154.2687
76.171875 90.434 154.0777
76.538086 90.402 153.9067
76.904297 90.372 153.7448
77.270508 90.344 153.5800
77.636719 90.316 153.4103
78.002930 90.287 153.2443
78.369141 90.256 153.0934
78.735352 90.225 152.9612
79.101562 90.197 152.8407
79.467773 90.170 152.7196
79.833984 90.144 152.5907
80.200195 90.116 152.4571
80.566406 90.087 152.3287
80.932617 90.057 152.2126
81.298828 90.027 152.1066
81.665039 89.999 152.0006
82.031250 89.971 151.8851
82.397461 89.942 151.7598
82.763672 89.911 151.6331
83.129883 89.878 151.5151
83.496094 89.846 151.4079
83.862305 89.815 151.3028
84.228516 89.786 151.1864
84.594727 89.756 151.0516
84.960938 89.724 150.9049
85.327148 89.687 150.7642
85.693359 89.649 150.6486
86.059570 89.611 150.5655
86.425781 89.578 150.5047
86.791992 89.550 150.4415
87.158203 89.528 150.3498
87.524414 89.505 150.2167
87.890625 89.479 150.0507
88.256836 89.446 149.8786
88.623047 89.407 149.7322
88.989258 89.366 149.6315
89.355469 89.328 149.5754
89.721680 89.295 149.5441
90.087891 89.268 149.5117
90.454102 89.245 149.4598
90.820312 89.224 149.3831
91.186523 89.201 149.2847
91.552734 89.177 149.1696
91.918945 89.149 149.0441
92.285156 89.116 148.9207
92.651367 89.078 148.8210
93.017578 89.038 148.7689
93.383789 89.001 148.7719
93.750000 88.973 148.8067
94.116211 88.956 148.8228
94.482422 88.947 148.7687
94.848633 88.935 148.6256
95.214844 88.913 148.4227
95.581055 88.876 148.2221
95.947266 88.830 148.0818
96.313477 88.783 148.0211
96.679688 88.744 148.0122
97.045898 88.714 148.0033
97.412109 88.688 147.9564
97.778320 88.661 147.8707
98.144531 88.630 147.7749
98.510742 88.595 147.6992
98.876953 88.561 147.6503
99.243164 88.531 147.6098
99.609375 88.504 147.5532
99.975586 88.477 147.4739
100.341797 88.446 147.3891
100.708008 88.412 147.3242
101.074219 88.379 147.2897
101.440430 88.351 147.2708
101.806641 88.327 147.2387
102.172852 88.306 147.1734
102.539062 88.281 147.0776
102.905273 88.252 146.9720
103.271484 88.218 146.8779
103.637695 88.181 146.8044
104.003906 88.143 146.7511
104.370117 88.104 146.7204
104.736328 88.064 146.7224
105.102539 88.026 146.7635
105.468750 87.996 146.8283
105.834961 87.975 146.8755
106.201172 87.958 146.8619
106.567383 87.937 146.7785
106.933594 87.904 146.6673
107.299805 87.861 146.5983
107.666016 87.814 146.6178
108.032227 87.778 146.7061
108.398438 87.757 146.7841
108.764648 87.744 146.7725
109.130859 87.725 146.6573
109.497070 87.690 146.5073
109.863281 87.638 146.4278
110.229492 87.585 146.4819
110.595703 87.548 146.6393
110.961914 87.532 146.7941
111.328125 87.532 146.8422
111.694336 87.531 146.7552
112.060547 87.515 146.5924
112.426758 87.484 146.4478
112.792969 87.447 146.3816
113.159180 87.414 146.3849
113.525391 87.391 146.4017
113.891602 87.374 146.3819
114.257812 87.355 146.3198
114.624023 87.331 146.2467
114.990234 87.303 146.1941
115.356445 87.275 146.1649
115.722656 87.250 146.1374
116.088867 87.224 146.0941
116.455078 87.193 146.0457
116.821289 87.157 146.0244
117.187500 87.121 146.0550
117.553711 87.089 146.1277
117.919922 87.066 146.2014
118.286133 87.048 146.2345
118.652344 87.029 146.2171
119.018555 87.003 146.1780
119.384766 86.970 146.1600
119.750977 86.937 146.1858
120.117188 86.908 146.2408
120.483398 86.886 146.2858
120.849609 86.867 146.2888
121.215820 86.844 146.2506
121.582031 86.815 146.2039
121.948242 86.780 146.1891
122.314453 86.745 146.2251
122.680664 86.717 146.2952
123.046875 86.697 146.3580
123.413086 86.683 146.3756
123.779297 86.668 146.3373
124.145508 86.646 146.2657
124.511719 86.616 146.2007
124.877930 86.582 146.1748
125.244141 86.548 146.1951
125.610352 86.519 146.2429
125.976562 86.494 146.2894
126.342773 86.472 146.3158
126.708984 86.448 146.3237
127.075195 86.422 146.3301
127.441406 86.394 146.3523
127.807617 86.366 146.3954
128.173828 86.341 146.4500
128.540039 86.318 146.5008
128.906250 86.297 146.5379
129.272461 86.275 146.5614
129.638672 86.252 146.5783
130.004883 86.228 146.5952
130.371094 86.202 146.6139
130.737305 86.177 146.6331
131.103516 86.150 146.6533
131.469727 86.123 146.6779
131.835938 86.096 146.7118
132.202148 86.069 146.7552
132.568359 86.044 146.8026
132.934570 86.020 146.8457
133.300781 85.997 146.8791
133.666992 85.974 146.9041
134.033203 85.949 146.9272
134.399414 85.924 146.9551
134.765625 85.899 146.9908
135.131836 85.874 147.0334
135.498047 85.850 147.0804
135.864258 85.828 147.1288
136.230469 85.807 147.1741
136.596680 85.788 147.2112
136.962891 85.767 147.2364
137.329102 85.746 147.2535
137.695312 85.721 147.2746
138.061523 85.695 147.3145
138.427734 85.671 147.3780
138.793945 85.649 147.4527
139.160156 85.632 147.5143
139.526367 85.615 147.5450
139.892578 85.595 147.5511
140.258789 85.568 147.5626
140.625000 85.537 147.6128
140.991211 85.509 147.7108
141.357422 85.487 147.8298
141.723633 85.474 147.9238
142.089844 85.461 147.9621
142.456055 85.444 147.9545
142.822266 85.417 147.9454
143.188477 85.384 147.9816
143.554688 85.352 148.0768
143.920898 85.328 148.2017
144.287109 85.312 148.3083
144.653320 85.298 148.3669
145.019531 85.280 148.3881
145.385742 85.255 148.4105
145.751953 85.227 148.4691
146.118164 85.202 148.5681
146.484375 85.182 148.6804
146.850586 85.169 148.7700
147.216797 85.156 148.8197
147.583008 85.140 148.8401
147.949219 85.118 148.8581
148.315430 85.093 148.8961
148.681641 85.068 148.9598
149.047852 85.044 149.0398
149.414062 85.023 149.1234
149.780273 85.002 149.2036
150.146484 84.982 149.2808
150.512695 84.962 149.3577
150.878906 84.942 149.4355
