* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -25.5 dBFS, measurement signal peak level -24.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 27/08/2023 5:16:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0225 ms (-7.7 mm, -0.3 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Hype2 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 69.554 -92.5050
1.015000 69.549 -94.6669
1.030000 69.550 -96.7973
1.044000 69.558 -98.7516
1.060000 69.576 -100.9377
1.075000 69.602 -102.9350
1.090000 69.637 -104.8749
1.106000 69.685 -106.8806
1.120000 69.736 -108.6160
1.138000 69.813 -110.8308
1.150000 69.871 -112.2968
1.172000 69.991 -114.9618
1.180000 70.039 -115.9235
1.206000 70.206 -119.0209
1.220000 70.304 -120.6704
1.241000 70.459 -123.1201
1.250000 70.529 -124.1607
1.265000 70.648 -125.8823
1.280000 70.772 -127.5880
1.315000 71.072 -131.5035
1.320000 71.116 -132.0553
1.340000 71.294 -134.2433
1.360000 71.474 -136.3998
1.380000 71.656 -138.5241
1.400000 71.837 -140.6153
1.430000 72.105 -143.6884
1.450000 72.280 -145.6936
1.475000 72.494 -148.1507
1.500000 72.713 -150.5619
1.525000 72.939 -152.9282
1.550000 73.172 -155.2483
1.575000 73.409 -157.5211
1.600000 73.650 -159.7451
1.625000 73.894 -161.9190
1.650000 74.140 -164.0416
1.675000 74.385 -166.1115
1.700000 74.630 -168.1276
1.725000 74.874 -170.0883
1.750000 75.114 -171.9925
1.775000 75.350 -173.8388
1.800000 75.581 -175.6260
1.825000 75.805 -177.3528
1.850000 76.024 -179.0097
1.875000 76.241 179.4192
1.900000 76.456 177.9272
1.925000 76.669 176.5070
1.950000 76.880 175.1508
1.975000 77.088 173.8513
2.000000 77.294 172.6010
2.030000 77.539 171.1549
2.060000 77.779 169.7559
2.090000 78.015 168.3908
2.120000 78.247 167.0468
2.140000 78.399 166.1560
2.180000 78.696 164.3700
2.200000 78.842 163.4673
2.240000 79.126 161.6887
2.270000 79.333 160.3930
2.300000 79.536 159.1279
2.330000 79.734 157.8916
2.360000 79.928 156.6820
2.400000 80.181 155.1075
2.430000 80.367 153.9529
2.470000 80.608 152.4446
2.500000 80.786 151.3344
2.540000 81.019 149.8783
2.580000 81.247 148.4478
2.620000 81.468 147.0573
2.650000 81.630 146.0414
2.690000 81.840 144.7197
2.720000 81.994 143.7512
2.760000 82.194 142.4874
2.800000 82.389 141.2518
2.850000 82.627 139.7415
2.900000 82.859 138.2626
2.950000 83.085 136.8112
3.000000 83.304 135.4073
3.040000 83.474 134.3177
3.070000 83.598 133.5172
3.110000 83.760 132.4688
3.150000 83.919 131.4381
3.200000 84.112 130.1685
3.250000 84.300 128.9118
3.300000 84.484 127.6601
3.350000 84.663 126.4164
3.400000 84.837 125.1879
3.450000 85.005 123.9762
3.500000 85.168 122.7828
3.550000 85.327 121.6093
3.600000 85.482 120.4572
3.650000 85.634 119.3281
3.700000 85.782 118.2258
3.750000 85.926 117.1535
3.820000 86.121 115.6930
3.870000 86.255 114.6712
3.950000 86.463 113.0582
4.000000 86.589 112.0551
4.060000 86.736 110.8493
4.120000 86.877 109.6484
4.180000 87.014 108.4567
4.250000 87.168 107.0826
4.310000 87.295 105.9223
4.370000 87.418 104.7817
4.440000 87.556 103.4793
4.500000 87.669 102.3860
4.550000 87.761 101.4889
4.620000 87.883 100.2515
4.680000 87.984 99.2053
4.750000 88.097 97.9978
4.820000 88.205 96.8013
4.870000 88.278 95.9544
4.940000 88.376 94.7827
5.000000 88.456 93.7944
5.080000 88.557 92.5045
5.150000 88.642 91.4062
5.220000 88.721 90.3328
5.300000 88.806 89.1355
5.380000 88.886 87.9706
5.450000 88.952 86.9790
5.520000 89.016 86.0139
5.600000 89.084 84.9428
5.700000 89.163 83.6513
5.800000 89.238 82.4117
5.900000 89.310 81.2241
6.000000 89.379 80.0930
6.080000 89.432 79.2245
6.150000 89.478 78.4875
6.220000 89.524 77.7688
6.300000 89.577 76.9739
6.400000 89.642 76.0233
6.500000 89.708 75.1056
6.600000 89.775 74.2050
6.700000 89.844 73.3259
6.800000 89.913 72.4703
6.900000 89.984 71.6261
7.000000 90.054 70.7834
7.100000 90.126 69.9491
7.200000 90.198 69.1208
7.300000 90.268 68.2923
7.400000 90.337 67.4591
7.500000 90.405 66.6238
7.620000 90.484 65.6241
7.750000 90.564 64.5497
7.880000 90.640 63.4788
8.000000 90.706 62.5038
8.120000 90.768 61.5513
8.250000 90.830 60.5384
8.380000 90.887 59.5541
8.500000 90.938 58.6789
8.620000 90.985 57.8328
8.750000 91.035 56.9474
8.850000 91.073 56.2888
9.000000 91.129 55.3403
9.120000 91.173 54.6051
9.250000 91.223 53.8268
9.380000 91.272 53.0710
9.500000 91.318 52.3828
9.620000 91.364 51.6986
9.750000 91.414 50.9659
9.880000 91.463 50.2365
10.000000 91.506 49.5627
10.150000 91.559 48.7234
10.300000 91.608 47.8924
10.440000 91.650 47.1219
10.600000 91.694 46.2564
10.750000 91.730 45.4656
10.900000 91.762 44.6940
11.060000 91.794 43.9019
11.200000 91.818 43.2343
11.380000 91.846 42.4113
11.500000 91.864 41.8859
11.720000 91.894 40.9654
11.800000 91.904 40.6431
12.060000 91.938 39.6401
12.200000 91.956 39.1221
12.410000 91.982 38.3728
12.500000 91.994 38.0591
12.650000 92.013 37.5477
12.800000 92.032 37.0465
13.150000 92.079 35.9077
13.200000 92.085 35.7466
13.400000 92.113 35.1070
13.600000 92.140 34.4658
13.800000 92.167 33.8195
14.000000 92.191 33.1664
14.300000 92.223 32.1757
14.500000 92.240 31.5143
14.750000 92.255 30.7041
15.000000 92.264 29.9213
15.250000 92.269 29.1825
15.500000 92.274 28.4870
15.750000 92.279 27.8312
16.000000 92.288 27.2025
16.250000 92.301 26.5836
16.500000 92.315 25.9668
16.750000 92.331 25.3434
17.000000 92.346 24.7180
17.250000 92.360 24.0955
17.500000 92.373 23.4833
17.750000 92.385 22.8872
18.000000 92.398 22.3059
18.250000 92.411 21.7379
18.500000 92.425 21.1759
18.750000 92.440 20.6177
19.000000 92.454 20.0614
19.250000 92.467 19.5093
19.500000 92.478 18.9649
19.750000 92.489 18.4303
20.000000 92.498 17.9073
20.299999 92.508 17.2920
20.600000 92.517 16.6876
20.900000 92.523 16.0936
21.200001 92.525 15.5150
21.400000 92.525 15.1440
21.799999 92.521 14.4479
22.000000 92.518 14.1249
22.400000 92.516 13.5220
22.700001 92.517 13.0892
23.000000 92.522 12.6518
23.299999 92.527 12.1987
23.600000 92.531 11.7310
24.000000 92.530 11.1008
24.299999 92.525 10.6417
24.700001 92.516 10.0645
25.000000 92.509 9.6569
25.400000 92.503 9.1318
25.799999 92.501 8.6049
26.200001 92.499 8.0651
26.500000 92.496 7.6561
26.900000 92.491 7.1177
27.200001 92.487 6.7256
27.600000 92.482 6.2187
28.000000 92.480 5.7176
28.500000 92.480 5.0770
29.000000 92.478 4.4153
29.500000 92.471 3.7506
30.000000 92.458 3.1025
30.400000 92.444 2.6001
30.700001 92.431 2.2369
31.100000 92.407 1.7911
31.500000 92.381 1.4194
32.000000 92.354 1.0818
32.500000 92.349 0.8192
33.000000 92.369 0.4720
33.500000 92.392 -0.0608
34.000000 92.393 -0.7141
34.500000 92.370 -1.3218
35.000000 92.343 -1.8108
35.500000 92.326 -2.2651
36.000000 92.312 -2.7915
36.500000 92.286 -3.3646
37.000000 92.248 -3.8667
37.500000 92.215 -4.2679
38.200001 92.192 -4.8784
38.700001 92.170 -5.4402
39.500000 92.093 -6.1991
40.000000 92.052 -6.4316
40.599998 92.047 -6.6741
41.200001 92.062 -7.1776
41.799999 92.046 -7.8563
42.500000 91.988 -8.4329
43.099998 91.957 -8.6664
43.700001 91.965 -8.9675
44.400002 91.976 -9.6484
45.000000 91.946 -10.3564
45.500000 91.897 -10.8357
46.200001 91.828 -11.2516
46.799999 91.799 -11.4971
47.500000 91.803 -11.9302
48.200001 91.812 -12.7299
48.700001 91.787 -13.4844
49.400002 91.680 -14.4053
50.000000 91.559 -14.6606
50.799999 91.491 -14.3280
51.500000 91.555 -14.2711
52.200001 91.627 -14.9186
53.000000 91.612 -15.9539
53.799999 91.533 -16.6222
54.500000 91.466 -16.9688
55.200001 91.401 -17.2361
56.000000 91.327 -17.4018
57.000000 91.267 -17.4865
58.000000 91.246 -17.7493
59.000000 91.226 -18.3445
60.000000 91.174 -19.0768
60.799999 91.120 -19.6174
61.500000 91.070 -20.0719
62.200001 91.014 -20.4834
63.000000 90.951 -20.8624
64.000000 90.879 -21.2892
65.000000 90.797 -21.6735
66.000000 90.715 -21.8351
67.000000 90.677 -21.9301
68.000000 90.661 -22.3254
69.000000 90.617 -22.8872
70.000000 90.558 -23.4092
71.000000 90.492 -23.9248
72.000000 90.419 -24.3438
73.000000 90.355 -24.7056
74.000000 90.289 -25.0612
75.000000 90.224 -25.3531
76.199997 90.148 -25.7014
77.500000 90.059 -26.0293
78.800003 89.977 -26.3245
80.000000 89.907 -26.6525
81.199997 89.833 -27.0704
82.500000 89.736 -27.5089
83.800003 89.648 -27.8030
85.000000 89.588 -28.1044
86.199997 89.526 -28.4789
87.500000 89.453 -28.8557
88.500000 89.392 -29.1421
90.000000 89.287 -29.4869
91.199997 89.205 -29.6907
92.500000 89.120 -29.9268
93.800003 89.032 -30.1802
95.000000 88.951 -30.4036
96.199997 88.873 -30.6254
97.500000 88.790 -30.8736
98.800003 88.707 -31.1145
100.000000 88.630 -31.3266
101.500000 88.530 -31.5442
103.000000 88.434 -31.7120
104.400002 88.348 -31.8798
106.000000 88.244 -32.0709
107.500000 88.144 -32.1899
109.000000 88.053 -32.3016
110.599998 87.959 -32.4545
112.000000 87.877 -32.6016
113.800003 87.767 -32.7808
115.000000 87.693 -32.8655
117.199997 87.561 -32.9698
118.000000 87.515 -33.0054
120.599998 87.361 -33.1444
122.000000 87.275 -33.1919
124.099998 87.144 -33.1916
125.000000 87.089 -33.1544
126.500000 87.001 -33.0776
128.000000 86.917 -33.0396
131.500000 86.710 -33.0933
132.000000 86.681 -33.0960
134.000000 86.568 -33.0748
136.000000 86.457 -33.0043
138.000000 86.342 -32.8558
140.000000 86.226 -32.7001
143.000000 86.064 -32.5419
145.000000 85.972 -32.4286
147.500000 85.880 -32.1188
150.000000 85.791 -31.8676
152.500000 85.635 -31.7213
155.000000 85.467 -31.4869
157.500000 85.325 -31.2468
160.000000 85.200 -30.8908
162.500000 85.075 -30.4744
165.000000 84.940 -30.1298
167.500000 84.806 -29.7507
170.000000 84.723 -29.2765
172.500000 84.659 -28.9340
175.000000 84.571 -28.5340
177.500000 84.465 -28.0502
180.000000 84.353 -27.4736
182.500000 84.259 -26.8373
185.000000 84.182 -26.1725
187.500000 84.116 -25.4711
190.000000 84.060 -24.8226
192.500000 84.015 -24.2056
195.000000 83.986 -23.5135
197.500000 83.966 -22.8034
200.000000 83.946 -22.2542
203.000000 83.921 -21.8932
206.000000 83.905 -21.6519
209.000000 83.878 -21.3937
212.000000 83.832 -21.1265
214.000000 83.793 -20.9257
218.000000 83.716 -20.4241
220.000000 83.685 -20.1755
224.000000 83.631 -19.6206
227.000000 83.580 -19.1698
230.000000 83.546 -18.7939
233.000000 83.564 -18.4258
236.000000 83.567 -18.0608
240.000000 83.447 -17.3947
243.000000 83.370 -16.8536
247.000000 83.334 -16.3293
250.000000 83.304 -15.9589
254.000000 83.259 -15.3355
258.000000 83.227 -14.7068
262.000000 83.200 -14.0757
265.000000 83.182 -13.6344
269.000000 83.154 -13.1032
272.000000 83.137 -12.7132
276.000000 83.123 -12.2101
280.000000 83.113 -11.7255
285.000000 83.098 -11.1389
290.000000 83.088 -10.5707
295.000000 83.077 -10.0632
300.000000 83.064 -9.5988
