* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -26.7 dBFS, measurement signal peak level -24.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 27/08/2023 5:14:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0208 ms (-7.1 mm, -0.28 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Hype2 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 67.289 -133.0125
1.015000 67.546 -134.7118
1.030000 67.801 -136.3499
1.044000 68.035 -137.8177
1.060000 68.298 -139.4163
1.075000 68.539 -140.8317
1.090000 68.776 -142.1598
1.106000 69.023 -143.4733
1.120000 69.236 -144.5343
1.138000 69.508 -145.7859
1.150000 69.687 -146.5550
1.172000 70.013 -147.8422
1.180000 70.130 -148.2740
1.206000 70.507 -149.5602
1.220000 70.708 -150.1871
1.241000 71.006 -151.0559
1.250000 71.132 -151.4058
1.265000 71.341 -151.9642
1.280000 71.548 -152.4973
1.315000 72.025 -153.6801
1.320000 72.092 -153.8457
1.340000 72.358 -154.5089
1.360000 72.622 -155.1855
1.380000 72.882 -155.8910
1.400000 73.139 -156.6410
1.430000 73.518 -157.8833
1.450000 73.767 -158.8124
1.475000 74.074 -160.1063
1.500000 74.376 -161.4893
1.525000 74.671 -162.9353
1.550000 74.961 -164.4330
1.575000 75.246 -165.9714
1.600000 75.525 -167.5394
1.625000 75.800 -169.1259
1.650000 76.069 -170.7198
1.675000 76.334 -172.3099
1.700000 76.594 -173.8853
1.725000 76.850 -175.4347
1.750000 77.102 -176.9471
1.775000 77.350 -178.4114
1.800000 77.593 -179.8165
1.825000 77.833 178.8488
1.850000 78.070 177.5870
1.875000 78.301 176.3800
1.900000 78.527 175.2214
1.925000 78.749 174.1052
1.950000 78.966 173.0256
1.975000 79.178 171.9766
2.000000 79.387 170.9523
2.030000 79.632 169.7476
2.060000 79.872 168.5598
2.090000 80.106 167.3790
2.120000 80.336 166.1947
2.140000 80.486 165.3983
2.180000 80.782 163.7755
2.200000 80.927 162.9431
2.240000 81.210 161.2592
2.270000 81.416 159.9908
2.300000 81.616 158.7204
2.330000 81.811 157.4502
2.360000 82.001 156.1824
2.400000 82.247 154.4999
2.430000 82.427 153.2469
2.470000 82.661 151.5923
2.500000 82.831 150.3665
2.540000 83.053 148.7566
2.580000 83.270 147.1774
2.620000 83.478 145.6143
2.650000 83.629 144.4514
2.690000 83.824 142.9158
2.720000 83.965 141.7771
2.760000 84.148 140.2784
2.800000 84.325 138.8048
2.850000 84.538 137.0027
2.900000 84.744 135.2504
2.950000 84.943 133.5544
3.000000 85.132 131.9219
3.040000 85.277 130.6565
3.070000 85.382 129.7276
3.110000 85.517 128.5116
3.150000 85.647 127.3165
3.200000 85.805 125.8440
3.250000 85.956 124.3853
3.300000 86.104 122.9302
3.350000 86.245 121.4733
3.400000 86.379 120.0222
3.450000 86.507 118.5871
3.500000 86.630 117.1776
3.550000 86.748 115.8037
3.600000 86.862 114.4752
3.650000 86.974 113.2019
3.700000 87.084 111.9936
3.750000 87.188 110.8484
3.820000 87.328 109.3291
3.870000 87.424 108.2877
3.950000 87.572 106.6646
4.000000 87.663 105.6587
4.060000 87.771 104.4455
4.120000 87.876 103.2434
4.180000 87.978 102.0600
4.250000 88.094 100.7089
4.310000 88.191 99.5811
4.370000 88.287 98.4859
4.440000 88.398 97.2583
4.500000 88.491 96.2535
4.550000 88.568 95.4419
4.620000 88.673 94.3317
4.680000 88.762 93.3922
4.750000 88.864 92.2941
4.820000 88.963 91.1886
4.870000 89.033 90.4028
4.940000 89.129 89.3105
5.000000 89.209 88.3835
5.080000 89.313 87.1640
5.150000 89.400 86.1152
5.220000 89.484 85.0818
5.300000 89.577 83.9182
5.380000 89.665 82.7735
5.450000 89.739 81.7871
5.520000 89.810 80.8145
5.600000 89.885 79.7169
5.700000 89.974 78.3705
5.800000 90.057 77.0605
5.900000 90.134 75.7943
6.000000 90.205 74.5664
6.080000 90.257 73.6132
6.150000 90.302 72.8026
6.220000 90.345 72.0158
6.300000 90.392 71.1483
6.400000 90.447 70.1089
6.500000 90.501 69.1108
6.600000 90.554 68.1454
6.700000 90.607 67.2161
6.800000 90.659 66.3232
6.900000 90.710 65.4578
7.000000 90.763 64.6134
7.100000 90.816 63.7987
7.200000 90.870 63.0059
7.300000 90.923 62.2232
7.400000 90.977 61.4444
7.500000 91.031 60.6763
7.620000 91.095 59.7650
7.750000 91.162 58.7859
7.880000 91.227 57.8160
8.000000 91.285 56.9306
8.120000 91.340 56.0547
8.250000 91.397 55.1150
8.380000 91.450 54.1908
8.500000 91.496 53.3556
8.620000 91.539 52.5354
8.750000 91.582 51.6668
8.850000 91.614 51.0149
9.000000 91.658 50.0620
9.120000 91.692 49.3208
9.250000 91.726 48.5391
9.380000 91.758 47.7796
9.500000 91.787 47.0969
9.620000 91.814 46.4317
9.750000 91.843 45.7311
9.880000 91.870 45.0485
10.000000 91.894 44.4339
10.150000 91.924 43.6868
10.300000 91.952 42.9598
10.440000 91.978 42.3005
10.600000 92.007 41.5654
10.750000 92.033 40.8910
10.900000 92.059 40.2313
11.060000 92.086 39.5389
11.200000 92.109 38.9429
11.380000 92.136 38.1895
11.500000 92.153 37.6939
11.720000 92.182 36.8048
11.800000 92.192 36.4887
12.060000 92.219 35.4894
12.200000 92.233 34.9749
12.410000 92.252 34.2332
12.500000 92.260 33.9269
12.650000 92.274 33.4333
12.800000 92.288 32.9543
13.150000 92.329 31.8803
13.200000 92.335 31.7280
13.400000 92.363 31.1220
13.600000 92.392 30.5074
13.800000 92.422 29.8784
14.000000 92.450 29.2358
14.300000 92.487 28.2511
14.500000 92.507 27.5924
14.750000 92.526 26.7836
15.000000 92.541 25.9990
15.250000 92.552 25.2485
15.500000 92.562 24.5276
15.750000 92.570 23.8333
16.000000 92.577 23.1576
16.250000 92.583 22.4998
16.500000 92.586 21.8619
16.750000 92.587 21.2494
17.000000 92.585 20.6708
17.250000 92.583 20.1278
17.500000 92.581 19.6218
17.750000 92.581 19.1447
18.000000 92.584 18.6892
18.250000 92.588 18.2472
18.500000 92.595 17.8091
18.750000 92.603 17.3711
19.000000 92.612 16.9297
19.250000 92.620 16.4818
19.500000 92.628 16.0270
19.750000 92.634 15.5654
20.000000 92.636 15.1003
20.299999 92.636 14.5493
20.600000 92.631 14.0192
20.900000 92.624 13.5216
21.200001 92.619 13.0590
21.400000 92.619 12.7598
21.799999 92.625 12.1504
22.000000 92.631 11.8234
22.400000 92.642 11.1022
22.700001 92.643 10.5159
23.000000 92.636 9.9274
23.299999 92.623 9.3762
23.600000 92.607 8.8809
24.000000 92.593 8.3000
24.299999 92.591 7.8879
24.700001 92.600 7.3141
25.000000 92.610 6.8459
25.400000 92.620 6.1826
25.799999 92.624 5.5137
26.200001 92.623 4.8685
26.500000 92.618 4.4075
26.900000 92.606 3.8377
27.200001 92.594 3.4676
27.600000 92.577 3.0845
28.000000 92.573 2.8226
28.500000 92.601 2.5251
29.000000 92.650 2.0248
29.500000 92.678 1.2723
30.000000 92.655 0.5195
30.400000 92.616 0.1113
30.700001 92.591 -0.0637
31.100000 92.579 -0.2301
31.500000 92.589 -0.4705
32.000000 92.606 -1.0070
32.500000 92.595 -1.7094
33.000000 92.553 -2.3615
33.500000 92.504 -2.8925
34.000000 92.462 -3.3867
34.500000 92.420 -3.9072
35.000000 92.371 -4.4097
35.500000 92.323 -4.8410
36.000000 92.287 -5.2363
36.500000 92.259 -5.6609
37.000000 92.230 -6.1105
37.500000 92.201 -6.5288
38.200001 92.174 -7.0631
38.700001 92.166 -7.4930
39.500000 92.143 -8.2770
40.000000 92.121 -8.7222
40.599998 92.102 -9.1965
41.200001 92.094 -9.7227
41.799999 92.078 -10.3318
42.500000 92.039 -11.0018
43.099998 92.004 -11.4666
43.700001 91.978 -11.8993
44.400002 91.951 -12.4178
45.000000 91.928 -12.8348
45.500000 91.914 -13.1640
46.200001 91.903 -13.6781
46.799999 91.885 -14.1837
47.500000 91.843 -14.6873
48.200001 91.802 -14.9389
48.700001 91.796 -15.0074
49.400002 91.827 -15.1714
50.000000 91.868 -15.5481
50.799999 91.886 -16.3779
51.500000 91.834 -17.1129
52.200001 91.738 -17.5379
53.000000 91.634 -17.6116
53.799999 91.567 -17.5891
54.500000 91.520 -17.6902
55.200001 91.470 -17.8855
56.000000 91.410 -18.2173
57.000000 91.322 -18.8005
58.000000 91.234 -19.3767
59.000000 91.177 -20.1113
60.000000 91.095 -21.0286
60.799999 91.010 -21.5157
61.500000 90.954 -21.7207
62.200001 90.925 -21.8624
63.000000 90.913 -22.0679
64.000000 90.904 -22.4775
65.000000 90.868 -23.0505
66.000000 90.793 -23.5974
67.000000 90.707 -24.0066
68.000000 90.633 -24.3811
69.000000 90.570 -24.7823
70.000000 90.520 -25.2122
71.000000 90.471 -25.7346
72.000000 90.400 -26.2408
73.000000 90.315 -26.5776
74.000000 90.235 -26.7959
75.000000 90.162 -26.9858
76.199997 90.086 -27.2446
77.500000 90.014 -27.6761
78.800003 89.933 -28.1865
80.000000 89.854 -28.6159
81.199997 89.765 -28.9515
82.500000 89.666 -29.1228
83.800003 89.574 -29.2458
85.000000 89.496 -29.3943
86.199997 89.433 -29.6944
87.500000 89.371 -30.2329
88.500000 89.324 -30.7370
90.000000 89.246 -31.4799
91.199997 89.163 -31.9829
92.500000 89.030 -32.1091
93.800003 88.924 -31.7802
95.000000 88.851 -31.6789
96.199997 88.756 -31.8103
97.500000 88.640 -32.1838
98.800003 88.508 -32.7626
100.000000 88.369 -33.2066
101.500000 88.254 -33.1989
103.000000 88.242 -33.2581
104.400002 88.216 -33.3691
106.000000 88.175 -33.4512
107.500000 88.070 -33.6219
109.000000 87.935 -33.5137
110.599998 87.840 -33.4387
112.000000 87.771 -33.6672
113.800003 87.654 -33.9666
115.000000 87.571 -33.9913
117.199997 87.428 -33.8523
118.000000 87.376 -33.8081
120.599998 87.211 -33.8793
122.000000 87.130 -33.9436
124.099998 87.040 -33.9974
125.000000 87.003 -34.0189
126.500000 86.920 -34.0370
128.000000 86.807 -34.0309
131.500000 86.546 -34.3311
132.000000 86.523 -34.4655
134.000000 86.421 -35.0995
136.000000 86.288 -34.8555
138.000000 86.218 -34.0148
140.000000 86.131 -33.4349
143.000000 85.957 -33.0128
145.000000 85.854 -32.8155
147.500000 85.723 -32.3399
150.000000 85.593 -31.7985
152.500000 85.458 -31.7368
155.000000 85.333 -31.7283
157.500000 85.240 -31.5264
160.000000 85.141 -31.0732
162.500000 85.013 -30.6331
165.000000 84.837 -30.4480
167.500000 84.647 -30.1260
170.000000 84.571 -29.5181
172.500000 84.549 -29.1729
175.000000 84.488 -28.7394
177.500000 84.408 -28.2561
180.000000 84.319 -27.7915
182.500000 84.233 -27.3569
185.000000 84.147 -26.9398
187.500000 84.069 -26.4657
190.000000 83.994 -25.9437
192.500000 83.906 -25.3541
195.000000 83.788 -24.7738
197.500000 83.612 -24.2267
200.000000 83.420 -23.2981
203.000000 83.378 -21.8875
206.000000 83.446 -20.9396
209.000000 83.474 -19.8945
212.000000 83.489 -18.8506
214.000000 83.515 -18.2487
218.000000 83.617 -17.3772
220.000000 83.674 -17.1344
224.000000 83.747 -16.9637
227.000000 83.763 -16.9763
230.000000 83.770 -16.9833
233.000000 83.776 -16.8405
236.000000 83.748 -16.6831
240.000000 83.638 -16.5491
243.000000 83.583 -16.3941
247.000000 83.576 -16.1240
250.000000 83.564 -15.8167
254.000000 83.515 -15.1874
258.000000 83.471 -14.6434
262.000000 83.438 -14.2828
265.000000 83.414 -14.0063
269.000000 83.393 -13.6108
272.000000 83.384 -13.2944
276.000000 83.367 -12.8008
280.000000 83.345 -12.3001
285.000000 83.320 -11.7635
290.000000 83.302 -11.2677
295.000000 83.285 -10.7813
