* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 15/07/2022 8:02:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: IE900 Fake R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 86.434 -26.0845
1.015000 86.673 -27.2666
1.030000 86.906 -28.3305
1.044000 87.117 -29.2219
1.060000 87.354 -30.1309
1.075000 87.569 -30.8864
1.090000 87.780 -31.5579
1.106000 87.999 -32.1924
1.120000 88.186 -32.6870
1.138000 88.422 -33.2529
1.150000 88.575 -33.5937
1.172000 88.850 -34.1610
1.180000 88.948 -34.3535
1.206000 89.260 -34.9514
1.220000 89.425 -35.2684
1.241000 89.667 -35.7581
1.250000 89.769 -35.9788
1.265000 89.938 -36.3685
1.280000 90.104 -36.7939
1.315000 90.487 -37.9779
1.320000 90.541 -38.1740
1.340000 90.756 -39.0401
1.360000 90.969 -40.0335
1.380000 91.176 -41.1055
1.400000 91.377 -42.2436
1.430000 91.670 -44.0532
1.450000 91.859 -45.3139
1.475000 92.089 -46.9338
1.500000 92.313 -48.5850
1.525000 92.530 -50.2486
1.550000 92.741 -51.9056
1.575000 92.948 -53.5372
1.600000 93.149 -55.1245
1.625000 93.346 -56.6485
1.650000 93.540 -58.0904
1.675000 93.730 -59.4312
1.700000 93.917 -60.6648
1.725000 94.097 -61.8220
1.750000 94.272 -62.9136
1.775000 94.442 -63.9485
1.800000 94.607 -64.9357
1.825000 94.767 -65.8843
1.850000 94.922 -66.8033
1.875000 95.074 -67.7015
1.900000 95.221 -68.5882
1.925000 95.365 -69.4722
1.950000 95.506 -70.3626
1.975000 95.643 -71.2683
2.000000 95.779 -72.1984
2.030000 95.938 -73.3560
2.060000 96.091 -74.5336
2.090000 96.239 -75.7196
2.120000 96.381 -76.9103
2.140000 96.472 -77.7048
2.180000 96.650 -79.2908
2.200000 96.735 -80.0800
2.240000 96.901 -81.6454
2.270000 97.022 -82.8038
2.300000 97.138 -83.9445
2.330000 97.252 -85.0639
2.360000 97.364 -86.1586
2.400000 97.506 -87.5948
2.430000 97.608 -88.6593
2.470000 97.737 -90.0589
2.500000 97.830 -91.0919
2.540000 97.949 -92.4445
2.580000 98.063 -93.7657
2.620000 98.172 -95.0520
2.650000 98.251 -95.9918
2.690000 98.354 -97.2091
2.720000 98.429 -98.0901
2.760000 98.524 -99.2185
2.800000 98.613 -100.3022
2.850000 98.719 -101.6077
2.900000 98.818 -102.8752
2.950000 98.913 -104.1222
3.000000 99.004 -105.3664
3.040000 99.076 -106.3712
3.070000 99.127 -107.1309
3.110000 99.192 -108.1460
3.150000 99.254 -109.1569
3.200000 99.328 -110.4040
3.250000 99.398 -111.6196
3.300000 99.466 -112.7899
3.350000 99.533 -113.9010
3.400000 99.598 -114.9388
3.450000 99.660 -115.9042
3.500000 99.719 -116.8143
3.550000 99.776 -117.6866
3.600000 99.832 -118.5385
3.650000 99.886 -119.3877
3.700000 99.940 -120.2517
3.750000 99.993 -121.1319
3.820000 100.066 -122.3645
3.870000 100.116 -123.2369
3.950000 100.194 -124.6019
4.000000 100.242 -125.4264
4.060000 100.299 -126.3762
4.120000 100.354 -127.2787
4.180000 100.409 -128.1452
4.250000 100.471 -129.1288
4.310000 100.523 -129.9639
4.370000 100.573 -130.8058
4.440000 100.630 -131.8005
4.500000 100.677 -132.6527
4.550000 100.715 -133.3592
4.620000 100.767 -134.3376
4.680000 100.809 -135.1614
4.750000 100.856 -136.1008
4.820000 100.900 -137.0211
4.870000 100.930 -137.6682
4.940000 100.970 -138.5607
5.000000 101.003 -139.3145
5.080000 101.043 -140.3052
5.150000 101.076 -141.1585
5.220000 101.106 -141.9979
5.300000 101.138 -142.9382
5.380000 101.167 -143.8562
5.450000 101.191 -144.6412
5.520000 101.213 -145.4101
5.600000 101.236 -146.2684
5.700000 101.263 -147.3088
5.800000 101.288 -148.3091
5.900000 101.311 -149.2698
6.000000 101.332 -150.2022
6.080000 101.349 -150.9349
6.150000 101.364 -151.5638
6.220000 101.378 -152.1808
6.300000 101.394 -152.8734
6.400000 101.414 -153.7237
6.500000 101.434 -154.5533
6.600000 101.453 -155.3641
6.700000 101.472 -156.1648
6.800000 101.490 -156.9615
6.900000 101.507 -157.7502
7.000000 101.523 -158.5301
7.100000 101.537 -159.3005
7.200000 101.550 -160.0621
7.300000 101.561 -160.8142
7.400000 101.571 -161.5560
7.500000 101.579 -162.2881
7.620000 101.585 -163.1533
7.750000 101.591 -164.0695
7.880000 101.593 -164.9624
8.000000 101.593 -165.7668
8.120000 101.592 -166.5515
8.250000 101.589 -167.3781
8.380000 101.585 -168.1841
8.500000 101.581 -168.9117
8.620000 101.576 -169.6225
8.750000 101.570 -170.3779
8.850000 101.565 -170.9491
9.000000 101.556 -171.7898
9.120000 101.549 -172.4523
9.250000 101.540 -173.1600
9.380000 101.530 -173.8567
9.500000 101.519 -174.4901
9.620000 101.508 -175.1143
9.750000 101.495 -175.7792
9.880000 101.480 -176.4321
10.000000 101.466 -177.0242
10.150000 101.447 -177.7482
10.300000 101.427 -178.4543
10.440000 101.407 -179.0984
10.600000 101.385 -179.8169
10.750000 101.363 179.5248
10.900000 101.341 178.8797
11.060000 101.317 178.2053
11.200000 101.296 177.6236
11.380000 101.269 176.8879
11.500000 101.251 176.4033
11.720000 101.216 175.5274
11.800000 101.204 175.2128
12.060000 101.160 174.2047
12.200000 101.136 173.6723
12.410000 101.098 172.8877
12.500000 101.081 172.5575
12.650000 101.053 172.0148
12.800000 101.023 171.4825
13.150000 100.954 170.2813
13.200000 100.944 170.1143
13.400000 100.903 169.4576
13.600000 100.862 168.8174
13.800000 100.822 168.1927
14.000000 100.781 167.5818
14.300000 100.720 166.6881
14.500000 100.679 166.1060
14.750000 100.628 165.3923
15.000000 100.577 164.6939
15.250000 100.525 164.0114
15.500000 100.472 163.3458
15.750000 100.418 162.6980
16.000000 100.365 162.0685
16.250000 100.311 161.4568
16.500000 100.257 160.8617
16.750000 100.203 160.2816
17.000000 100.149 159.7144
17.250000 100.095 159.1592
17.500000 100.041 158.6153
17.750000 99.987 158.0826
18.000000 99.933 157.5615
18.250000 99.878 157.0523
18.500000 99.823 156.5552
18.750000 99.767 156.0699
19.000000 99.712 155.5957
19.250000 99.657 155.1319
19.500000 99.602 154.6777
19.750000 99.547 154.2324
20.000000 99.492 153.7953
20.299999 99.425 153.2817
20.600000 99.359 152.7798
20.900000 99.293 152.2897
21.200001 99.227 151.8115
21.400000 99.183 151.4993
21.799999 99.096 150.8894
22.000000 99.053 150.5913
22.400000 98.966 150.0081
22.700001 98.901 149.5825
23.000000 98.837 149.1678
23.299999 98.772 148.7647
23.600000 98.708 148.3726
24.000000 98.624 147.8640
24.299999 98.561 147.4905
24.700001 98.477 147.0031
25.000000 98.414 146.6498
25.400000 98.328 146.2033
25.799999 98.244 145.7875
26.200001 98.163 145.3900
26.500000 98.105 145.0907
26.900000 98.027 144.6793
27.200001 97.966 144.3656
27.600000 97.881 143.9640
28.000000 97.793 143.6063
28.500000 97.688 143.2215
29.000000 97.592 142.8420
29.500000 97.499 142.4149
30.000000 97.397 141.9847
30.400000 97.311 141.7003
30.700001 97.249 141.5331
31.100000 97.179 141.3389
31.500000 97.123 141.1053
32.000000 97.059 140.6782
32.500000 96.979 140.1382
33.000000 96.879 139.6365
33.500000 96.771 139.2713
34.000000 96.675 138.9993
34.500000 96.592 138.7188
35.000000 96.509 138.3959
35.500000 96.419 138.0837
36.000000 96.326 137.8361
36.500000 96.239 137.6431
37.000000 96.158 137.4569
37.500000 96.079 137.2551
38.200001 95.963 136.9861
38.700001 95.880 136.8304
39.500000 95.756 136.6113
40.000000 95.683 136.4550
40.599998 95.596 136.2310
41.200001 95.506 135.9807
41.799999 95.412 135.7278
42.500000 95.301 135.4518
43.099998 95.208 135.2397
43.700001 95.119 135.0495
44.400002 95.022 134.8344
45.000000 94.943 134.6399
45.500000 94.877 134.4810
46.200001 94.785 134.2829
46.799999 94.708 134.1196
47.500000 94.611 133.9393
48.200001 94.506 133.8782
48.700001 94.440 133.9299
49.400002 94.374 133.9682
50.000000 94.324 133.8306
50.799999 94.226 133.5271
51.500000 94.124 133.3661
52.200001 94.032 133.2522
53.000000 93.930 133.0435
53.799999 93.820 132.8463
54.500000 93.728 132.7242
55.200001 93.644 132.5983
56.000000 93.549 132.4643
57.000000 93.440 132.3242
58.000000 93.331 132.1541
59.000000 93.215 132.0400
60.000000 93.101 131.9652
60.799999 93.009 131.9090
61.500000 92.928 131.8808
62.200001 92.853 131.8505
63.000000 92.769 131.7794
64.000000 92.661 131.6672
65.000000 92.553 131.5873
66.000000 92.449 131.5356
67.000000 92.351 131.4933
68.000000 92.254 131.4557
69.000000 92.160 131.4216
70.000000 92.068 131.3852
71.000000 91.976 131.3447
72.000000 91.883 131.3145
73.000000 91.791 131.3183
74.000000 91.701 131.3352
75.000000 91.609 131.3535
76.199997 91.497 131.3885
77.500000 91.373 131.3850
78.800003 91.246 131.3195
80.000000 91.117 131.2094
81.199997 90.990 131.3094
82.500000 90.902 131.4278
83.800003 90.819 131.4977
85.000000 90.759 131.6042
86.199997 90.694 131.5956
87.500000 90.594 131.6176
88.500000 90.513 131.7109
90.000000 90.400 131.8370
91.199997 90.310 131.8948
92.500000 90.218 131.9641
93.800003 90.131 132.0093
95.000000 90.049 132.0736
96.199997 89.970 132.1636
97.500000 89.888 132.2456
98.800003 89.804 132.3067
100.000000 89.721 132.3722
101.500000 89.616 132.5576
103.000000 89.525 132.7862
104.400002 89.446 132.9466
106.000000 89.348 133.0538
107.500000 89.250 133.1713
109.000000 89.159 133.3041
110.599998 89.068 133.4350
112.000000 88.988 133.5564
113.800003 88.884 133.7411
115.000000 88.814 133.8707
117.199997 88.688 134.1281
118.000000 88.645 134.2274
120.599998 88.515 134.5490
122.000000 88.448 134.7413
124.099998 88.351 135.0048
125.000000 88.310 135.1064
126.500000 88.245 135.2639
128.000000 88.184 135.3943
131.500000 88.037 135.6838
132.000000 88.014 135.7299
134.000000 87.922 135.9330
136.000000 87.831 136.1168
138.000000 87.737 136.3032
140.000000 87.646 136.5234
143.000000 87.511 136.8970
145.000000 87.423 137.1666
147.500000 87.320 137.5269
150.000000 87.228 137.9109
152.500000 87.144 138.3752
155.000000 87.075 138.8585
157.500000 87.015 139.2180
160.000000 86.954 139.4349
162.500000 86.888 139.5502
165.000000 86.808 139.6646
167.500000 86.715 139.8499
170.000000 86.619 140.1388
172.500000 86.538 140.5128
175.000000 86.477 140.8735
177.500000 86.422 141.1555
180.000000 86.363 141.3673
182.500000 86.298 141.5532
185.000000 86.230 141.7569
187.500000 86.162 141.9881
190.000000 86.094 142.2289
192.500000 86.029 142.4634
195.000000 85.964 142.7084
197.500000 85.902 142.9778
200.000000 85.839 143.2334
203.000000 85.759 143.5006
206.000000 85.681 143.7840
209.000000 85.609 144.0949
212.000000 85.538 144.4131
214.000000 85.492 144.6212
218.000000 85.402 145.0445
220.000000 85.358 145.2601
224.000000 85.272 145.6826
227.000000 85.211 145.9943
230.000000 85.152 146.3035
233.000000 85.093 146.6102
236.000000 85.033 146.9178
240.000000 84.956 147.3245
243.000000 84.900 147.6195
247.000000 84.831 148.0144
250.000000 84.779 148.3099
254.000000 84.702 148.7049
258.000000 84.625 149.1159
262.000000 84.552 149.5527
265.000000 84.498 149.8928
269.000000 84.431 150.3629
272.000000 84.386 150.7259
276.000000 84.329 151.2111
280.000000 84.274 151.7037
285.000000 84.218 152.3406
290.000000 84.184 152.9445
295.000000 84.164 153.3843
300.000000 84.141 153.6613
304.000000 84.107 153.8979
307.000000 84.075 154.0751
311.000000 84.026 154.2928
315.000000 83.974 154.5185
320.000000 83.907 154.8333
325.000000 83.840 155.1835
330.000000 83.776 155.5537
335.000000 83.712 155.9443
