* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 14/08/2022 2:14:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: IE900 Gill L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 65.837 -138.6031
1.015000 65.742 -137.2941
1.030000 65.635 -135.9137
1.044000 65.523 -134.5631
1.060000 65.383 -132.9505
1.075000 65.242 -131.3759
1.090000 65.094 -129.7446
1.106000 64.931 -127.9467
1.120000 64.785 -126.3281
1.138000 64.596 -124.1905
1.150000 64.470 -122.7332
1.172000 64.246 -120.0022
1.180000 64.167 -118.9921
1.206000 63.926 -115.6563
1.220000 63.809 -113.8320
1.241000 63.653 -111.0675
1.250000 63.595 -109.8747
1.265000 63.511 -107.8795
1.280000 63.446 -105.8784
1.315000 63.375 -101.2097
1.320000 63.376 -100.5449
1.340000 63.407 -97.8974
1.360000 63.486 -95.2272
1.380000 63.610 -92.4155
1.400000 63.774 -89.4796
1.430000 64.087 -84.8981
1.450000 64.334 -81.7626
1.475000 64.680 -77.7966
1.500000 65.059 -73.8253
1.525000 65.465 -69.8981
1.550000 65.890 -66.0650
1.575000 66.326 -62.3756
1.600000 66.765 -58.8795
1.625000 67.200 -55.6265
1.650000 67.623 -52.6663
1.675000 68.026 -50.0485
1.700000 68.415 -47.7859
1.725000 68.820 -45.7895
1.750000 69.239 -44.0336
1.775000 69.668 -42.4979
1.800000 70.105 -41.1617
1.825000 70.547 -40.0046
1.850000 70.989 -39.0063
1.875000 71.428 -38.1461
1.900000 71.862 -37.4037
1.925000 72.286 -36.7586
1.950000 72.698 -36.1902
1.975000 73.095 -35.6782
2.000000 73.472 -35.2020
2.030000 73.895 -34.6668
2.060000 74.298 -34.3203
2.090000 74.684 -34.1799
2.120000 75.053 -34.2143
2.140000 75.292 -34.3190
2.180000 75.749 -34.6828
2.200000 75.970 -34.9235
2.240000 76.395 -35.4762
2.270000 76.701 -35.9168
2.300000 76.997 -36.3451
2.330000 77.285 -36.7297
2.360000 77.566 -37.0412
2.400000 77.923 -37.4280
2.430000 78.177 -37.7348
2.470000 78.497 -38.1672
2.500000 78.725 -38.5098
2.540000 79.014 -38.9921
2.580000 79.288 -39.5048
2.620000 79.548 -40.0493
2.650000 79.735 -40.4793
2.690000 79.976 -41.0828
2.720000 80.149 -41.5678
2.760000 80.366 -42.2696
2.800000 80.568 -43.0202
2.850000 80.801 -44.0035
2.900000 81.015 -45.0083
2.950000 81.213 -46.0041
3.000000 81.396 -46.9606
3.040000 81.534 -47.6790
3.070000 81.631 -48.2031
3.110000 81.749 -48.8921
3.150000 81.856 -49.5696
3.200000 81.976 -50.3994
3.250000 82.083 -51.2094
3.300000 82.178 -51.9989
3.350000 82.265 -52.7668
3.400000 82.343 -53.5160
3.450000 82.406 -54.2532
3.500000 82.458 -54.9731
3.550000 82.499 -55.6694
3.600000 82.533 -56.3361
3.650000 82.562 -56.9669
3.700000 82.587 -57.5558
3.750000 82.607 -58.0997
3.820000 82.621 -58.7940
3.870000 82.624 -59.2486
3.950000 82.623 -59.9178
4.000000 82.622 -60.3074
4.060000 82.622 -60.7506
4.120000 82.621 -61.1439
4.180000 82.616 -61.4948
4.250000 82.611 -61.8736
4.310000 82.609 -62.1919
4.370000 82.611 -62.5224
4.440000 82.619 -62.9117
4.500000 82.628 -63.2325
4.550000 82.638 -63.5003
4.620000 82.656 -63.8906
4.680000 82.675 -64.2531
4.750000 82.701 -64.7192
4.820000 82.732 -65.2125
4.870000 82.757 -65.5827
4.940000 82.796 -66.1306
5.000000 82.832 -66.6321
5.080000 82.884 -67.3534
5.150000 82.933 -68.0353
5.220000 82.985 -68.7579
5.300000 83.052 -69.6245
5.380000 83.126 -70.5244
5.450000 83.196 -71.3375
5.520000 83.271 -72.1797
5.600000 83.365 -73.1764
5.700000 83.497 -74.4717
5.800000 83.648 -75.8175
5.900000 83.817 -77.2148
6.000000 84.003 -78.6741
6.080000 84.163 -79.8931
6.150000 84.315 -80.9977
6.220000 84.476 -82.1353
6.300000 84.666 -83.4739
6.400000 84.908 -85.2015
6.500000 85.159 -87.0125
6.600000 85.416 -88.8875
6.700000 85.669 -90.7722
6.800000 85.910 -92.6529
6.900000 86.145 -94.5675
7.000000 86.370 -96.4244
7.100000 86.578 -98.1375
7.200000 86.767 -99.7704
7.300000 86.943 -101.2697
7.400000 87.113 -102.5331
7.500000 87.271 -103.5336
7.620000 87.450 -104.4376
7.750000 87.669 -105.0296
7.880000 87.915 -105.1228
8.000000 88.172 -104.9073
8.120000 88.485 -104.6176
8.250000 88.891 -104.0923
8.380000 89.340 -103.6440
8.500000 89.786 -103.5406
8.620000 90.267 -103.6327
8.750000 90.768 -104.0787
8.850000 91.130 -104.7458
9.000000 91.637 -106.1507
9.120000 91.962 -107.4598
9.250000 92.237 -109.1861
9.380000 92.421 -110.9052
9.500000 92.488 -112.2559
9.620000 92.460 -113.5321
9.750000 92.351 -114.1255
9.880000 92.128 -113.5983
10.000000 91.865 -112.2401
10.150000 91.658 -108.9121
10.300000 91.536 -103.5174
10.440000 91.720 -98.0313
10.600000 92.467 -91.3280
10.750000 93.458 -85.7450
10.900000 94.622 -82.2935
11.060000 95.991 -80.4802
11.200000 97.059 -80.8129
11.380000 98.313 -83.6071
11.500000 99.023 -86.2401
11.720000 100.074 -92.7808
11.800000 100.377 -95.3915
12.060000 101.073 -104.7433
12.200000 101.274 -110.0201
12.410000 101.347 -118.1726
12.500000 101.297 -121.6177
12.650000 101.107 -127.3566
12.800000 100.781 -132.8486
13.150000 99.497 -144.2769
13.200000 99.253 -145.6508
13.400000 98.134 -150.2910
13.600000 96.807 -152.5912
13.800000 95.363 -152.4362
14.000000 93.904 -149.1603
14.300000 92.335 -141.0294
14.500000 91.827 -135.2221
14.750000 91.838 -129.9706
15.000000 91.966 -128.1372
15.250000 91.981 -128.7555
15.500000 91.751 -130.6963
15.750000 91.282 -132.4156
16.000000 90.702 -133.0675
16.250000 90.149 -132.6585
16.500000 89.740 -131.4375
16.750000 89.575 -130.1179
17.000000 89.610 -129.3779
17.250000 89.785 -129.3771
17.500000 90.044 -130.1425
17.750000 90.353 -131.4589
18.000000 90.712 -133.2213
18.250000 91.107 -135.4593
18.500000 91.516 -138.2268
18.750000 91.887 -141.5867
19.000000 92.166 -145.3799
19.250000 92.317 -149.3247
19.500000 92.314 -153.0597
19.750000 92.155 -155.9903
20.000000 91.892 -157.6242
20.299999 91.550 -157.6056
20.600000 91.356 -155.6701
20.900000 91.462 -152.8691
21.200001 91.859 -150.6349
21.400000 92.196 -150.0224
21.799999 92.796 -150.9457
22.000000 92.985 -152.1865
22.400000 93.092 -155.1851
22.700001 92.960 -156.9374
23.000000 92.723 -157.7619
23.299999 92.477 -157.5827
23.600000 92.313 -156.7015
24.000000 92.303 -155.4413
24.299999 92.414 -155.1305
24.700001 92.594 -156.0323
25.000000 92.667 -157.5238
25.400000 92.626 -159.9651
25.799999 92.447 -162.0699
26.200001 92.230 -163.2926
26.500000 92.119 -163.6738
26.900000 92.098 -163.9703
27.200001 92.164 -164.4060
27.600000 92.280 -165.5083
28.000000 92.348 -166.9475
28.500000 92.344 -168.3423
29.000000 92.360 -168.8025
29.500000 92.486 -168.9764
30.000000 92.625 -169.6564
30.400000 92.648 -170.3063
30.700001 92.616 -170.4478
31.100000 92.586 -169.9061
31.500000 92.678 -168.9443
32.000000 92.957 -168.6320
32.500000 93.163 -170.2165
33.000000 93.051 -172.3238
33.500000 92.698 -172.6319
34.000000 92.507 -170.8238
34.500000 92.717 -169.3307
35.000000 93.028 -170.3636
35.500000 93.060 -173.1331
36.000000 92.794 -175.0428
36.500000 92.541 -175.0047
37.000000 92.563 -174.6529
37.500000 92.708 -175.9435
38.200001 92.570 -179.3913
38.700001 92.232 179.6148
39.500000 92.017 -179.0167
40.000000 92.184 -178.8650
40.599998 92.341 179.7172
41.200001 92.331 178.1613
41.799999 92.297 177.2687
42.500000 92.309 176.2026
43.099998 92.256 175.0857
43.700001 92.134 174.4796
44.400002 92.042 174.4432
45.000000 92.028 174.2449
45.500000 92.000 173.8070
46.200001 91.903 173.2618
46.799999 91.826 173.1210
47.500000 91.810 172.9457
48.200001 91.832 172.3190
48.700001 91.834 171.6815
49.400002 91.814 170.8430
50.000000 91.797 170.2222
50.799999 91.752 169.4639
51.500000 91.660 169.1784
52.200001 91.571 169.5249
53.000000 91.537 170.1440
53.799999 91.509 170.3544
54.500000 91.433 170.2242
55.200001 91.283 169.8395
56.000000 90.972 169.8435
57.000000 90.753 171.9164
58.000000 91.123 172.0681
59.000000 91.258 168.3320
60.000000 91.028 165.9703
60.799999 90.904 165.2913
61.500000 90.796 165.0831
62.200001 90.708 165.6724
63.000000 90.763 166.5474
64.000000 90.847 165.9646
65.000000 90.648 165.0856
66.000000 90.460 165.3500
67.000000 90.463 165.0445
68.000000 90.474 163.7310
69.000000 90.417 162.4976
70.000000 90.348 162.2726
71.000000 90.449 163.1109
72.000000 90.733 162.8542
73.000000 90.756 160.9286
74.000000 90.461 160.2278
75.000000 90.236 160.8870
76.199997 90.101 161.2030
77.500000 89.881 161.9589
78.800003 90.061 164.2679
80.000000 90.437 162.3888
81.199997 90.160 158.7026
82.500000 89.531 157.3748
83.800003 88.984 157.5975
85.000000 88.664 159.0913
86.199997 88.718 160.6807
87.500000 88.815 160.3982
88.500000 88.635 160.8126
90.000000 88.590 163.9508
91.199997 88.896 164.7372
92.500000 89.127 163.2264
93.800003 89.351 162.2441
95.000000 89.774 160.8864
96.199997 89.958 158.2706
97.500000 89.723 156.8534
98.800003 89.186 157.7801
100.000000 88.626 160.7723
101.500000 88.503 164.0872
103.000000 88.831 161.6883
104.400002 88.986 157.6354
106.000000 89.311 155.7739
107.500000 89.744 155.7695
109.000000 89.898 155.3693
110.599998 89.459 155.2050
112.000000 88.884 155.9765
113.800003 88.529 156.5442
115.000000 88.540 155.3480
117.199997 88.414 153.7019
118.000000 88.378 153.9622
120.599998 88.143 153.8120
122.000000 87.797 153.7562
124.099998 87.514 154.6726
125.000000 87.500 154.8854
126.500000 87.435 155.1958
128.000000 87.228 156.4427
131.500000 87.256 160.1077
132.000000 87.287 159.6977
134.000000 87.299 157.9300
136.000000 87.349 157.2272
138.000000 87.394 157.1947
140.000000 87.380 157.1361
143.000000 87.394 157.0217
145.000000 87.535 157.1039
147.500000 87.709 157.1139
150.000000 87.606 156.6063
152.500000 87.223 156.3951
155.000000 86.963 156.4638
157.500000 86.963 156.1923
160.000000 86.912 156.5682
162.500000 86.716 157.4685
165.000000 86.578 158.3839
167.500000 86.586 158.3149
170.000000 86.462 158.8976
172.500000 86.281 158.1938
175.000000 86.093 155.0540
177.500000 86.206 153.7115
180.000000 86.565 155.8745
182.500000 86.682 158.4770
185.000000 86.482 158.9202
187.500000 86.310 157.8893
190.000000 86.278 157.3510
192.500000 86.207 157.7557
195.000000 86.100 157.9826
197.500000 86.067 157.7258
200.000000 86.065 157.7666
203.000000 85.959 158.1710
206.000000 85.810 158.1193
209.000000 85.731 158.0132
212.000000 85.654 158.4952
214.000000 85.601 158.7856
218.000000 85.550 158.8591
220.000000 85.539 159.0584
224.000000 85.453 159.4552
227.000000 85.345 159.3398
230.000000 85.300 159.2710
233.000000 85.287 159.3156
236.000000 85.230 159.4529
240.000000 85.124 159.9822
243.000000 85.055 160.2567
247.000000 84.980 160.5364
250.000000 84.977 161.0245
254.000000 84.935 161.4586
258.000000 84.801 161.8286
262.000000 84.728 162.4926
265.000000 84.666 162.6394
269.000000 84.638 162.1991
272.000000 84.642 162.1671
276.000000 84.511 163.3205
280.000000 84.354 164.3129
285.000000 84.276 164.4727
290.000000 84.342 163.8571
295.000000 84.679 165.1199
300.000000 84.798 166.3863
304.000000 84.710 166.6219
307.000000 84.579 166.9336
