* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 14/08/2022 2:16:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: IE 900 Gill R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 57.928 56.8192
1.015000 58.285 55.2684
1.030000 58.636 53.8644
1.044000 58.958 52.6776
1.060000 59.320 51.4558
1.075000 59.655 50.4295
1.090000 59.984 49.5075
1.106000 60.330 48.6266
1.120000 60.628 47.9326
1.138000 61.005 47.1307
1.150000 61.253 46.6441
1.172000 61.701 45.8310
1.180000 61.861 45.5553
1.206000 62.375 44.7058
1.220000 62.647 44.2636
1.241000 63.048 43.5963
1.250000 63.218 43.3024
1.265000 63.498 42.7934
1.280000 63.775 42.2510
1.315000 64.409 40.7946
1.320000 64.498 40.5588
1.340000 64.852 39.5302
1.360000 65.200 38.3730
1.380000 65.540 37.1541
1.400000 65.872 35.8856
1.430000 66.357 33.9069
1.450000 66.671 32.5486
1.475000 67.054 30.8205
1.500000 67.428 29.0731
1.525000 67.793 27.3217
1.550000 68.149 25.5816
1.575000 68.498 23.8682
1.600000 68.840 22.1968
1.625000 69.176 20.5828
1.650000 69.506 19.0414
1.675000 69.832 17.5881
1.700000 70.152 16.2290
1.725000 70.464 14.9423
1.750000 70.768 13.7185
1.775000 71.063 12.5488
1.800000 71.352 11.4249
1.825000 71.634 10.3380
1.850000 71.909 9.2797
1.875000 72.178 8.2414
1.900000 72.441 7.2147
1.925000 72.699 6.1908
1.950000 72.953 5.1613
1.975000 73.202 4.1177
2.000000 73.446 3.0514
2.030000 73.736 1.7330
2.060000 74.016 0.3978
2.090000 74.289 -0.9433
2.120000 74.553 -2.2875
2.140000 74.725 -3.1839
2.180000 75.060 -4.9733
2.200000 75.223 -5.8645
2.240000 75.540 -7.6358
2.270000 75.771 -8.9510
2.300000 75.998 -10.2515
2.330000 76.219 -11.5345
2.360000 76.437 -12.7971
2.400000 76.717 -14.4641
2.430000 76.920 -15.7058
2.470000 77.181 -17.3463
2.500000 77.371 -18.5627
2.540000 77.615 -20.1621
2.580000 77.852 -21.7318
2.620000 78.080 -23.2669
2.650000 78.247 -24.3927
2.690000 78.465 -25.8560
2.720000 78.624 -26.9209
2.760000 78.827 -28.2962
2.800000 79.023 -29.6281
2.850000 79.256 -31.2442
2.900000 79.479 -32.8213
2.950000 79.694 -34.3752
3.000000 79.901 -35.9220
3.040000 80.062 -37.1650
3.070000 80.179 -38.1024
3.110000 80.329 -39.3537
3.150000 80.473 -40.5994
3.200000 80.646 -42.1367
3.250000 80.812 -43.6377
3.300000 80.972 -45.0871
3.350000 81.129 -46.4696
3.400000 81.281 -47.7709
3.450000 81.426 -48.9937
3.500000 81.566 -50.1550
3.550000 81.700 -51.2720
3.600000 81.830 -52.3619
3.650000 81.958 -53.4418
3.700000 82.083 -54.5291
3.750000 82.206 -55.6234
3.820000 82.372 -57.1401
3.870000 82.486 -58.2070
3.950000 82.664 -59.8740
4.000000 82.773 -60.8845
4.060000 82.900 -62.0573
4.120000 83.026 -63.1773
4.180000 83.148 -64.2562
4.250000 83.286 -65.4846
4.310000 83.400 -66.5299
4.370000 83.510 -67.5850
4.440000 83.634 -68.8329
4.500000 83.736 -69.9039
4.550000 83.819 -70.7934
4.620000 83.929 -72.0281
4.680000 84.016 -73.0710
4.750000 84.111 -74.2669
4.820000 84.199 -75.4530
4.870000 84.257 -76.2905
4.940000 84.332 -77.4416
5.000000 84.388 -78.4018
5.080000 84.454 -79.6379
5.150000 84.500 -80.6996
5.220000 84.538 -81.7309
5.300000 84.572 -82.8464
5.380000 84.598 -83.8660
5.450000 84.612 -84.6824
5.520000 84.616 -85.4439
5.600000 84.616 -86.2265
5.700000 84.615 -87.0390
5.800000 84.615 -87.6342
5.900000 84.610 -88.0323
6.000000 84.618 -88.2719
6.080000 84.645 -88.3703
6.150000 84.678 -88.3504
6.220000 84.720 -88.2501
6.300000 84.784 -88.0908
6.400000 84.895 -87.9153
6.500000 85.045 -87.7187
6.600000 85.226 -87.5108
6.700000 85.431 -87.4279
6.800000 85.658 -87.5502
6.900000 85.912 -87.8108
7.000000 86.177 -88.2451
7.100000 86.435 -88.8958
7.200000 86.697 -89.7738
7.300000 86.955 -90.8385
7.400000 87.195 -92.0448
7.500000 87.414 -93.4114
7.620000 87.655 -95.2526
7.750000 87.879 -97.3345
7.880000 88.059 -99.5114
8.000000 88.191 -101.5634
8.120000 88.292 -103.5232
8.250000 88.364 -105.5873
8.380000 88.410 -107.5171
8.500000 88.437 -109.1047
8.620000 88.446 -110.5358
8.750000 88.457 -111.9085
8.850000 88.471 -112.8139
9.000000 88.498 -113.9736
9.120000 88.541 -114.8365
9.250000 88.612 -115.6685
9.380000 88.702 -116.4937
9.500000 88.801 -117.3510
9.620000 88.919 -118.2599
9.750000 89.046 -119.3604
9.880000 89.169 -120.6328
10.000000 89.278 -121.9217
10.150000 89.383 -123.6169
10.300000 89.456 -125.4449
10.440000 89.490 -127.0872
10.600000 89.477 -128.8600
10.750000 89.433 -130.2995
10.900000 89.361 -131.3627
11.060000 89.270 -132.1200
11.200000 89.213 -132.3723
11.380000 89.169 -132.2035
11.500000 89.195 -131.9514
11.720000 89.353 -131.1779
11.800000 89.443 -131.0033
12.060000 89.866 -130.8124
12.200000 90.118 -131.2323
12.410000 90.510 -132.5529
12.500000 90.651 -133.3460
12.650000 90.862 -135.0160
12.800000 91.014 -136.8608
13.150000 91.103 -141.4237
13.200000 91.085 -142.0071
13.400000 90.945 -144.0797
13.600000 90.732 -145.2735
13.800000 90.491 -145.5901
14.000000 90.289 -144.8642
14.300000 90.212 -142.7076
14.500000 90.338 -141.1335
14.750000 90.686 -139.7839
15.000000 91.093 -139.7164
15.250000 91.452 -140.7850
15.500000 91.689 -142.6709
15.750000 91.763 -144.7501
16.000000 91.704 -146.3158
16.250000 91.578 -147.0651
16.500000 91.458 -146.8844
16.750000 91.441 -145.9841
17.000000 91.569 -145.0397
17.250000 91.806 -144.5139
17.500000 92.099 -144.7518
17.750000 92.360 -145.8423
18.000000 92.534 -147.4347
18.250000 92.612 -149.1814
18.500000 92.600 -150.7381
18.750000 92.538 -151.7967
19.000000 92.482 -152.3736
19.250000 92.465 -152.6310
19.500000 92.511 -152.8010
19.750000 92.605 -153.2226
20.000000 92.705 -154.0121
20.299999 92.786 -155.3926
20.600000 92.783 -156.9659
20.900000 92.693 -158.3142
21.200001 92.551 -159.1072
21.400000 92.459 -159.2721
21.799999 92.351 -159.0426
22.000000 92.348 -158.8554
22.400000 92.421 -158.7336
22.700001 92.498 -159.0447
23.000000 92.559 -159.6442
23.299999 92.590 -160.3953
23.600000 92.591 -161.1789
24.000000 92.561 -162.2005
24.299999 92.519 -162.9473
24.700001 92.431 -163.8575
25.000000 92.350 -164.3689
25.400000 92.256 -164.7302
25.799999 92.239 -164.9391
26.200001 92.314 -165.5668
26.500000 92.388 -166.6303
26.900000 92.419 -168.8281
27.200001 92.343 -170.7547
27.600000 92.101 -172.9245
28.000000 91.778 -173.9973
28.500000 91.471 -173.7688
29.000000 91.416 -173.0521
29.500000 91.527 -172.7870
30.000000 91.726 -172.7308
30.400000 92.007 -172.7812
30.700001 92.305 -173.2558
31.100000 92.750 -175.1227
31.500000 93.081 -178.6954
32.000000 93.094 175.5250
32.500000 92.562 171.0496
33.000000 91.722 170.7743
33.500000 91.136 174.6006
34.000000 91.177 179.0123
34.500000 91.530 -178.8489
35.000000 91.772 -178.5224
35.500000 91.866 -178.2151
36.000000 91.991 -177.4899
36.500000 92.211 -177.2926
37.000000 92.398 -178.2949
37.500000 92.415 179.9640
38.200001 92.164 178.1391
38.700001 91.930 177.9053
39.500000 91.740 178.5052
40.000000 91.754 178.6171
40.599998 91.816 178.0451
41.200001 91.855 176.9520
41.799999 91.869 175.6871
42.500000 91.877 173.9206
43.099998 91.812 172.0001
43.700001 91.595 170.2671
44.400002 91.212 169.8071
45.000000 90.990 170.7106
45.500000 90.941 171.2882
46.200001 90.836 170.9416
46.799999 90.513 171.2580
47.500000 90.234 174.9274
48.200001 90.766 179.2078
48.700001 91.438 179.2308
49.400002 92.032 174.4757
50.000000 92.004 169.2181
50.799999 91.500 165.0989
51.500000 91.093 164.4867
52.200001 90.940 164.9162
53.000000 90.986 165.0707
53.799999 91.033 164.3713
54.500000 90.929 163.7042
55.200001 90.696 164.0067
56.000000 90.471 166.0744
57.000000 90.613 168.8017
58.000000 90.822 167.7642
59.000000 90.540 165.5092
60.000000 90.171 164.7834
60.799999 90.003 163.9165
61.500000 89.863 162.8153
62.200001 89.735 161.7673
63.000000 89.617 160.6155
64.000000 89.446 159.6876
65.000000 89.349 160.0994
66.000000 89.437 160.6125
67.000000 89.481 160.3086
68.000000 89.393 160.3150
69.000000 89.326 160.6668
70.000000 89.265 160.5684
71.000000 89.157 160.4744
72.000000 89.112 160.5186
73.000000 89.107 160.0465
74.000000 89.038 159.5264
75.000000 88.970 159.4984
76.199997 88.940 159.5462
77.500000 88.860 159.8045
78.800003 88.952 160.7748
80.000000 89.075 159.4937
81.199997 88.782 158.4993
82.500000 88.500 159.4359
83.800003 88.301 160.0334
85.000000 88.099 160.6612
86.199997 88.038 161.0149
87.500000 88.030 159.6614
88.500000 87.948 158.5358
90.000000 87.959 157.9697
91.199997 88.127 158.3509
92.500000 88.506 158.6632
93.800003 88.618 157.0764
95.000000 88.245 157.0365
96.199997 88.000 158.7562
97.500000 88.002 158.0958
98.800003 87.825 155.3466
100.000000 87.589 153.3259
101.500000 87.403 153.1206
103.000000 87.588 155.0334
104.400002 87.825 156.7030
106.000000 87.919 159.1800
107.500000 88.127 161.5921
109.000000 88.346 160.3054
110.599998 88.039 157.2565
112.000000 87.679 156.8810
113.800003 87.696 157.9728
115.000000 87.859 157.8090
117.199997 87.544 157.0905
118.000000 87.278 157.9304
120.599998 86.704 161.3817
122.000000 86.619 160.9577
124.099998 86.586 157.1963
125.000000 86.588 155.7255
126.500000 86.702 154.8171
128.000000 86.958 156.2131
131.500000 87.188 159.5389
132.000000 87.039 159.8195
134.000000 86.280 161.0132
136.000000 85.824 161.8218
138.000000 85.865 160.7853
140.000000 85.768 161.8273
143.000000 86.193 166.8404
145.000000 86.490 164.5974
147.500000 86.312 159.1249
150.000000 86.120 157.6866
152.500000 86.176 159.0590
155.000000 86.186 160.3480
157.500000 86.128 160.3864
160.000000 85.992 159.9538
162.500000 85.870 159.6009
165.000000 85.679 159.2311
167.500000 85.545 159.0513
170.000000 85.557 159.1934
172.500000 85.630 159.5834
175.000000 85.607 160.4147
177.500000 85.501 160.8606
180.000000 85.349 160.8022
182.500000 85.337 160.8612
185.000000 85.409 160.6579
187.500000 85.350 160.7948
190.000000 85.272 161.3228
192.500000 85.221 161.4001
195.000000 85.169 161.3161
197.500000 85.118 161.3622
200.000000 85.079 161.4064
203.000000 85.004 161.3013
206.000000 84.906 161.4138
209.000000 84.818 161.7434
212.000000 84.740 162.2007
214.000000 84.699 162.3725
218.000000 84.623 162.5361
220.000000 84.581 162.7179
224.000000 84.507 163.0809
227.000000 84.509 163.3434
230.000000 84.502 163.7929
233.000000 84.413 163.9243
236.000000 84.322 163.3942
240.000000 84.306 163.0173
243.000000 84.317 163.6238
247.000000 84.279 164.5495
250.000000 84.199 164.9744
254.000000 84.123 165.0921
258.000000 84.104 165.2708
262.000000 84.013 165.7233
265.000000 83.944 165.7953
269.000000 83.915 165.8634
272.000000 83.901 166.3017
276.000000 83.854 167.2508
280.000000 83.773 167.5826
285.000000 83.731 167.1701
290.000000 83.725 166.8364
295.000000 83.587 167.4817
300.000000 83.559 168.6013
304.000000 83.575 169.1533
307.000000 83.575 169.4489
311.000000 83.560 169.8217
315.000000 83.525 170.2152
320.000000 83.452 170.7517
325.000000 83.385 171.3156
