* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 16/07/2022 3:39:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: IE900 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 68.850 58.4550
1.015000 68.995 57.0737
1.030000 69.138 55.7737
1.044000 69.272 54.6268
1.060000 69.424 53.3886
1.075000 69.567 52.2921
1.090000 69.709 51.2521
1.106000 69.860 50.1987
1.120000 69.991 49.3190
1.138000 70.160 48.2378
1.150000 70.272 47.5438
1.172000 70.476 46.3162
1.180000 70.550 45.8813
1.206000 70.790 44.4964
1.220000 70.918 43.7614
1.241000 71.109 42.6600
1.250000 71.190 42.1852
1.265000 71.326 41.3855
1.280000 71.460 40.5705
1.315000 71.770 38.5775
1.320000 71.814 38.2792
1.340000 71.989 37.0441
1.360000 72.163 35.7439
1.380000 72.336 34.4103
1.400000 72.507 33.0500
1.430000 72.763 30.9715
1.450000 72.932 29.5678
1.475000 73.142 27.8023
1.500000 73.349 26.0340
1.525000 73.554 24.2733
1.550000 73.757 22.5302
1.575000 73.958 20.8150
1.600000 74.155 19.1378
1.625000 74.350 17.5089
1.650000 74.542 15.9384
1.675000 74.731 14.4365
1.700000 74.916 13.0078
1.725000 75.099 11.6388
1.750000 75.279 10.3227
1.775000 75.456 9.0534
1.800000 75.630 7.8250
1.825000 75.802 6.6312
1.850000 75.971 5.4661
1.875000 76.138 4.3236
1.900000 76.302 3.1976
1.925000 76.464 2.0821
1.950000 76.624 0.9709
1.975000 76.781 -0.1420
2.000000 76.936 -1.2625
2.030000 77.119 -2.6235
2.060000 77.298 -3.9825
2.090000 77.474 -5.3319
2.120000 77.646 -6.6705
2.140000 77.758 -7.5561
2.180000 77.979 -9.3095
2.200000 78.087 -10.1763
2.240000 78.300 -11.8885
2.270000 78.456 -13.1521
2.300000 78.610 -14.3966
2.330000 78.761 -15.6207
2.360000 78.909 -16.8230
2.400000 79.102 -18.3976
2.430000 79.243 -19.5589
2.470000 79.427 -21.0803
2.500000 79.561 -22.2005
2.540000 79.736 -23.6654
2.580000 79.906 -25.0968
2.620000 80.073 -26.4936
2.650000 80.196 -27.5179
2.690000 80.358 -28.8517
2.720000 80.477 -29.8238
2.760000 80.632 -31.0774
2.800000 80.783 -32.2889
2.850000 80.965 -33.7544
2.900000 81.144 -35.1785
2.950000 81.317 -36.5746
3.000000 81.488 -37.9563
3.040000 81.623 -39.0599
3.070000 81.723 -39.8844
3.110000 81.853 -40.9750
3.150000 81.980 -42.0527
3.200000 82.136 -43.3772
3.250000 82.289 -44.6711
3.300000 82.440 -45.9284
3.350000 82.589 -47.1435
3.400000 82.736 -48.3075
3.450000 82.880 -49.4161
3.500000 83.022 -50.4811
3.550000 83.162 -51.5152
3.600000 83.299 -52.5311
3.650000 83.435 -53.5416
3.700000 83.569 -54.5592
3.750000 83.701 -55.5842
3.820000 83.883 -57.0118
3.870000 84.011 -58.0214
3.950000 84.211 -59.6101
4.000000 84.333 -60.5810
4.060000 84.476 -61.7180
4.120000 84.617 -62.8236
4.180000 84.754 -63.9032
4.250000 84.910 -65.1380
4.310000 85.039 -66.1822
4.370000 85.165 -67.2196
4.440000 85.307 -68.4265
4.500000 85.425 -69.4534
4.550000 85.520 -70.2995
4.620000 85.649 -71.4627
4.680000 85.757 -72.4337
4.750000 85.878 -73.5312
4.820000 85.993 -74.5979
4.870000 86.073 -75.3415
4.940000 86.181 -76.3558
5.000000 86.272 -77.1997
5.080000 86.390 -78.2869
5.150000 86.490 -79.2009
5.220000 86.587 -80.0826
5.300000 86.696 -81.0545
5.380000 86.805 -81.9929
5.450000 86.901 -82.7824
5.520000 86.995 -83.5394
5.600000 87.103 -84.3756
5.700000 87.240 -85.3966
5.800000 87.380 -86.3939
5.900000 87.521 -87.3554
6.000000 87.664 -88.3121
6.080000 87.778 -89.0944
6.150000 87.879 -89.7854
6.220000 87.980 -90.4803
6.300000 88.094 -91.2831
6.400000 88.233 -92.3065
6.500000 88.367 -93.3580
6.600000 88.496 -94.4299
6.700000 88.618 -95.5093
6.800000 88.730 -96.5952
6.900000 88.833 -97.6977
7.000000 88.928 -98.7867
7.100000 89.012 -99.8341
7.200000 89.086 -100.8576
7.300000 89.152 -101.8446
7.400000 89.213 -102.7687
7.500000 89.267 -103.6223
7.620000 89.326 -104.5672
7.750000 89.392 -105.4910
7.880000 89.462 -106.2894
8.000000 89.531 -106.9474
8.120000 89.613 -107.5798
8.250000 89.716 -108.2047
8.380000 89.831 -108.8412
8.500000 89.948 -109.4948
8.620000 90.077 -110.1868
8.750000 90.217 -111.0350
8.850000 90.324 -111.7777
9.000000 90.484 -113.0113
9.120000 90.597 -114.0881
9.250000 90.705 -115.3684
9.380000 90.794 -116.7038
9.500000 90.853 -117.9387
9.620000 90.892 -119.2021
9.750000 90.912 -120.5032
9.880000 90.908 -121.7026
10.000000 90.886 -122.7245
10.150000 90.847 -123.7826
10.300000 90.791 -124.6000
10.440000 90.745 -125.1550
10.600000 90.706 -125.5037
10.750000 90.693 -125.6526
10.900000 90.718 -125.6858
11.060000 90.780 -125.6450
11.200000 90.868 -125.6990
11.380000 91.021 -125.8667
11.500000 91.132 -126.1394
11.720000 91.358 -126.9546
11.800000 91.435 -127.3449
12.060000 91.663 -128.9761
12.200000 91.758 -129.9664
12.410000 91.863 -131.5630
12.500000 91.894 -132.2165
12.650000 91.926 -133.2884
12.800000 91.945 -134.2662
13.150000 91.952 -136.0778
13.200000 91.954 -136.2819
13.400000 91.965 -136.9853
13.600000 92.000 -137.5970
13.800000 92.055 -138.1719
14.000000 92.132 -138.8161
14.300000 92.260 -140.0137
14.500000 92.339 -140.9743
14.750000 92.413 -142.3323
15.000000 92.448 -143.7207
15.250000 92.447 -145.0206
15.500000 92.420 -146.1400
15.750000 92.382 -147.0106
16.000000 92.353 -147.6610
16.250000 92.344 -148.1662
16.500000 92.360 -148.6071
16.750000 92.399 -149.0854
17.000000 92.449 -149.6578
17.250000 92.501 -150.3248
17.500000 92.548 -151.0699
17.750000 92.583 -151.8437
18.000000 92.609 -152.5972
18.250000 92.631 -153.3105
18.500000 92.652 -153.9747
18.750000 92.679 -154.6068
19.000000 92.711 -155.2399
19.250000 92.747 -155.8968
19.500000 92.785 -156.5958
19.750000 92.819 -157.3405
20.000000 92.846 -158.1122
20.299999 92.867 -159.0441
20.600000 92.876 -159.9424
20.900000 92.877 -160.7768
21.200001 92.873 -161.5374
21.400000 92.870 -162.0076
21.799999 92.866 -162.8829
22.000000 92.865 -163.2966
22.400000 92.863 -164.0821
22.700001 92.861 -164.6317
23.000000 92.860 -165.1450
23.299999 92.862 -165.6280
23.600000 92.868 -166.0978
24.000000 92.883 -166.7468
24.299999 92.894 -167.2748
24.700001 92.901 -168.0369
25.000000 92.896 -168.6242
25.400000 92.874 -169.3690
25.799999 92.843 -170.0132
26.200001 92.817 -170.5560
26.500000 92.807 -170.9360
26.900000 92.807 -171.4880
27.200001 92.812 -171.9800
27.600000 92.812 -172.7496
28.000000 92.792 -173.5869
28.500000 92.738 -174.5545
29.000000 92.677 -175.2940
29.500000 92.640 -175.8729
30.000000 92.633 -176.5134
30.400000 92.631 -177.1522
30.700001 92.621 -177.6797
31.100000 92.593 -178.3683
31.500000 92.553 -178.9647
32.000000 92.505 -179.5718
32.500000 92.468 179.8885
33.000000 92.432 179.3729
33.500000 92.398 178.9301
34.000000 92.380 178.5438
34.500000 92.384 178.0550
35.000000 92.385 177.3390
35.500000 92.350 176.5095
36.000000 92.282 175.8307
36.500000 92.220 175.4036
37.000000 92.194 175.0452
37.500000 92.190 174.5318
38.200001 92.170 173.5829
38.700001 92.137 172.9314
39.500000 92.083 172.0092
40.000000 92.042 171.4850
40.599998 91.989 171.0267
41.200001 91.959 170.7148
41.799999 91.951 170.2875
42.500000 91.911 169.6063
43.099998 91.845 169.1705
43.700001 91.790 168.8679
44.400002 91.731 168.3400
45.000000 91.641 167.8635
45.500000 91.557 167.6683
46.200001 91.480 167.5486
46.799999 91.438 167.2706
47.500000 91.368 166.9361
48.200001 91.328 166.9300
48.700001 91.357 166.8798
49.400002 91.428 166.2561
50.000000 91.440 165.3247
50.799999 91.355 164.1862
51.500000 91.232 163.6633
52.200001 91.122 163.5923
53.000000 91.059 163.6405
53.799999 91.018 163.3789
54.500000 90.957 163.0383
55.200001 90.890 162.7444
56.000000 90.818 162.3574
57.000000 90.729 161.9388
58.000000 90.692 161.4655
59.000000 90.635 160.5983
60.000000 90.522 160.0313
60.799999 90.450 159.7808
61.500000 90.386 159.5443
62.200001 90.315 159.4023
63.000000 90.260 159.3211
64.000000 90.226 158.8377
65.000000 90.133 157.9354
66.000000 89.971 157.3878
67.000000 89.855 157.3891
68.000000 89.822 157.3178
69.000000 89.793 156.9576
70.000000 89.734 156.6161
71.000000 89.663 156.4039
72.000000 89.590 156.2575
73.000000 89.519 156.1540
74.000000 89.464 156.0401
75.000000 89.416 155.7635
76.199997 89.327 155.3856
77.500000 89.221 155.2139
78.800003 89.103 155.0883
80.000000 88.999 155.2024
81.199997 88.956 154.9666
82.500000 88.848 154.0555
83.800003 88.676 153.6346
85.000000 88.602 153.6158
86.199997 88.563 153.3229
87.500000 88.444 153.0070
88.500000 88.283 153.2882
90.000000 88.137 155.1089
91.199997 88.268 156.0857
92.500000 88.398 155.2067
93.800003 88.249 153.9073
95.000000 87.966 154.5415
96.199997 87.872 156.4943
97.500000 87.928 157.5031
98.800003 87.749 157.5101
100.000000 87.417 158.5350
101.500000 87.174 160.3504
103.000000 87.152 161.2143
104.400002 87.269 161.4958
106.000000 87.635 161.2448
107.500000 87.942 159.6733
109.000000 88.021 158.1222
110.599998 87.957 157.5270
112.000000 87.920 157.3103
113.800003 87.889 156.5808
115.000000 87.862 155.8560
117.199997 87.783 154.7312
118.000000 87.759 154.4866
120.599998 87.685 153.9675
122.000000 87.631 153.8140
124.099998 87.527 153.7288
125.000000 87.479 153.7485
126.500000 87.397 153.8161
128.000000 87.314 153.8751
131.500000 87.133 153.6515
132.000000 87.108 153.5854
134.000000 87.009 153.3871
136.000000 86.919 153.3506
138.000000 86.828 153.4401
140.000000 86.735 153.5071
143.000000 86.582 153.5011
145.000000 86.497 153.5533
147.500000 86.409 153.6699
150.000000 86.322 153.8707
152.500000 86.227 154.0400
155.000000 86.126 154.2054
157.500000 86.034 154.3200
160.000000 85.933 154.4174
162.500000 85.842 154.6624
165.000000 85.763 154.9756
167.500000 85.683 155.4579
170.000000 85.627 155.9053
172.500000 85.586 156.0993
175.000000 85.552 156.2518
177.500000 85.528 156.4364
180.000000 85.472 156.3885
182.500000 85.363 156.4840
185.000000 85.292 156.9562
187.500000 85.261 157.3110
190.000000 85.226 157.3390
192.500000 85.216 157.1790
195.000000 85.236 157.3402
197.500000 85.299 157.8170
200.000000 85.301 157.9296
203.000000 85.154 158.0024
206.000000 85.025 158.3791
209.000000 84.951 158.5195
212.000000 84.875 158.5372
214.000000 84.832 158.6401
218.000000 84.773 158.8176
220.000000 84.737 158.9061
224.000000 84.686 159.1714
227.000000 84.634 159.3102
230.000000 84.564 159.5617
233.000000 84.508 159.8696
236.000000 84.457 160.0674
240.000000 84.369 160.2324
243.000000 84.299 160.4700
247.000000 84.241 160.8712
250.000000 84.213 161.0884
254.000000 84.184 161.4022
258.000000 84.160 161.7816
262.000000 84.116 162.1922
265.000000 84.067 162.5568
269.000000 84.023 162.8945
272.000000 84.007 162.9768
276.000000 83.964 163.1839
280.000000 83.887 163.5730
285.000000 83.806 163.9536
290.000000 83.760 164.3053
295.000000 83.725 164.7286
300.000000 83.681 165.1370
304.000000 83.646 165.4155
307.000000 83.608 165.6677
311.000000 83.555 166.0637
315.000000 83.515 166.4028
320.000000 83.475 166.7289
325.000000 83.443 167.0803
