* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 16/07/2022 3:38:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: IE900 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 61.626 -158.4941
1.015000 61.531 -157.0234
1.030000 61.452 -155.4637
1.044000 61.390 -153.9231
1.060000 61.332 -152.0717
1.075000 61.290 -150.2570
1.090000 61.259 -148.3752
1.106000 61.239 -146.3038
1.120000 61.230 -144.4453
1.138000 61.231 -142.0046
1.150000 61.239 -140.3526
1.172000 61.267 -137.2889
1.180000 61.281 -136.1682
1.206000 61.342 -132.5221
1.220000 61.382 -130.5686
1.241000 61.452 -127.6705
1.250000 61.485 -126.4456
1.265000 61.544 -124.4338
1.280000 61.606 -122.4670
1.315000 61.764 -118.1024
1.320000 61.788 -117.5094
1.340000 61.884 -115.2267
1.360000 61.987 -113.0714
1.380000 62.106 -110.9667
1.400000 62.242 -108.9079
1.430000 62.471 -105.9062
1.450000 62.638 -103.9634
1.475000 62.861 -101.6008
1.500000 63.096 -99.3122
1.525000 63.340 -97.0981
1.550000 63.590 -94.9592
1.575000 63.841 -92.8960
1.600000 64.091 -90.9091
1.625000 64.337 -88.9992
1.650000 64.574 -87.1668
1.675000 64.801 -85.4126
1.700000 65.016 -83.7532
1.725000 65.230 -82.2269
1.750000 65.443 -80.8207
1.775000 65.654 -79.5188
1.800000 65.865 -78.3055
1.825000 66.076 -77.1649
1.850000 66.286 -76.0811
1.875000 66.495 -75.0385
1.900000 66.705 -74.0210
1.925000 66.915 -73.0129
1.950000 67.125 -71.9985
1.975000 67.335 -70.9618
2.000000 67.546 -69.8870
2.030000 67.800 -68.5301
2.060000 68.052 -67.1393
2.090000 68.301 -65.7355
2.120000 68.549 -64.3274
2.140000 68.714 -63.3906
2.180000 69.044 -61.5331
2.200000 69.211 -60.6176
2.240000 69.549 -58.8260
2.270000 69.807 -57.5269
2.300000 70.070 -56.2756
2.330000 70.340 -55.0810
2.360000 70.618 -53.9510
2.400000 71.001 -52.5032
2.430000 71.298 -51.4502
2.470000 71.702 -50.0997
2.500000 72.010 -49.1335
2.540000 72.426 -47.9169
2.580000 72.844 -46.7933
2.620000 73.261 -45.7745
2.650000 73.573 -45.0865
2.690000 73.982 -44.2800
2.720000 74.288 -43.7619
2.760000 74.700 -43.1798
2.800000 75.113 -42.7129
2.850000 75.630 -42.2767
2.900000 76.142 -41.9868
2.950000 76.644 -41.8245
3.000000 77.131 -41.7711
3.040000 77.507 -41.7967
3.070000 77.784 -41.8753
3.110000 78.148 -42.0649
3.150000 78.505 -42.3410
3.200000 78.940 -42.7903
3.250000 79.363 -43.3346
3.300000 79.771 -43.9518
3.350000 80.166 -44.6196
3.400000 80.544 -45.3396
3.450000 80.909 -46.1578
3.500000 81.259 -47.0583
3.550000 81.596 -48.0213
3.600000 81.919 -49.0272
3.650000 82.230 -50.0562
3.700000 82.528 -51.0885
3.750000 82.813 -52.1374
3.820000 83.189 -53.6701
3.870000 83.442 -54.7979
3.950000 83.822 -56.6330
4.000000 84.046 -57.7844
4.060000 84.301 -59.1589
4.120000 84.539 -60.5547
4.180000 84.760 -61.9674
4.250000 84.999 -63.6154
4.310000 85.190 -65.0092
4.370000 85.369 -66.3685
4.440000 85.563 -67.9184
4.500000 85.713 -69.2306
4.550000 85.829 -70.3067
4.620000 85.979 -71.7776
4.680000 86.099 -72.9967
4.750000 86.230 -74.3645
4.820000 86.346 -75.6870
4.870000 86.422 -76.6021
4.940000 86.519 -77.8372
5.000000 86.598 -78.8488
5.080000 86.699 -80.1230
5.150000 86.778 -81.1672
5.220000 86.851 -82.1516
5.300000 86.930 -83.2118
5.380000 87.010 -84.2122
5.450000 87.080 -85.0314
5.520000 87.148 -85.7924
5.600000 87.225 -86.6099
5.700000 87.326 -87.5870
5.800000 87.433 -88.5236
5.900000 87.544 -89.3987
6.000000 87.660 -90.2540
6.080000 87.755 -90.9514
6.150000 87.841 -91.5605
6.220000 87.930 -92.1674
6.300000 88.032 -92.8680
6.400000 88.158 -93.7705
6.500000 88.284 -94.7075
6.600000 88.410 -95.6689
6.700000 88.532 -96.6483
6.800000 88.648 -97.6457
6.900000 88.760 -98.6664
7.000000 88.867 -99.6933
7.100000 88.968 -100.7104
7.200000 89.062 -101.7277
7.300000 89.152 -102.7382
7.400000 89.238 -103.7274
7.500000 89.319 -104.6911
7.620000 89.412 -105.8215
7.750000 89.511 -107.0125
7.880000 89.607 -108.1615
8.000000 89.695 -109.1952
8.120000 89.784 -110.2191
8.250000 89.881 -111.3093
8.380000 89.977 -112.3963
8.500000 90.065 -113.4112
8.620000 90.153 -114.4312
8.750000 90.244 -115.5471
8.850000 90.311 -116.4178
9.000000 90.406 -117.7363
9.120000 90.474 -118.7886
9.250000 90.542 -119.9320
9.380000 90.601 -121.0634
9.500000 90.649 -122.0825
9.620000 90.689 -123.0839
9.750000 90.727 -124.1340
9.880000 90.758 -125.1408
10.000000 90.782 -126.0351
10.150000 90.806 -127.1006
10.300000 90.825 -128.1074
10.440000 90.838 -128.9974
10.600000 90.847 -129.9590
10.750000 90.851 -130.8015
10.900000 90.850 -131.5879
11.060000 90.842 -132.3549
11.200000 90.830 -132.9476
11.380000 90.809 -133.6018
11.500000 90.795 -133.9454
11.720000 90.768 -134.3877
11.800000 90.763 -134.4853
12.060000 90.764 -134.5609
12.200000 90.787 -134.4973
12.410000 90.854 -134.2892
12.500000 90.898 -134.2111
12.650000 90.991 -134.0727
12.800000 91.103 -134.0141
13.150000 91.428 -134.3248
13.200000 91.478 -134.4360
13.400000 91.681 -135.0426
13.600000 91.870 -135.9054
13.800000 92.041 -136.9843
14.000000 92.181 -138.2233
14.300000 92.331 -140.2068
14.500000 92.393 -141.5243
14.750000 92.431 -143.0726
15.000000 92.441 -144.4366
15.250000 92.437 -145.6053
15.500000 92.428 -146.5892
15.750000 92.427 -147.4309
16.000000 92.437 -148.2037
16.250000 92.455 -148.9539
16.500000 92.479 -149.7139
16.750000 92.500 -150.4970
17.000000 92.515 -151.2752
17.250000 92.524 -152.0186
17.500000 92.530 -152.7014
17.750000 92.537 -153.3070
18.000000 92.555 -153.8667
18.250000 92.584 -154.4277
18.500000 92.625 -155.0415
18.750000 92.669 -155.7680
19.000000 92.704 -156.6113
19.250000 92.722 -157.5352
19.500000 92.714 -158.4828
19.750000 92.681 -159.3481
20.000000 92.632 -160.0546
20.299999 92.570 -160.6577
20.600000 92.529 -161.0330
20.900000 92.523 -161.3186
21.200001 92.552 -161.6865
21.400000 92.580 -162.0424
21.799999 92.627 -163.0003
22.000000 92.635 -163.5468
22.400000 92.619 -164.6052
22.700001 92.591 -165.2479
23.000000 92.567 -165.7498
23.299999 92.558 -166.1691
23.600000 92.564 -166.5841
24.000000 92.584 -167.2040
24.299999 92.600 -167.6990
24.700001 92.625 -168.3444
25.000000 92.655 -168.8374
25.400000 92.710 -169.6263
25.799999 92.759 -170.6996
26.200001 92.759 -171.9911
26.500000 92.712 -172.9183
26.900000 92.603 -173.7981
27.200001 92.517 -174.0864
27.600000 92.453 -174.1142
28.000000 92.470 -174.1185
28.500000 92.554 -174.6863
29.000000 92.591 -175.9097
29.500000 92.523 -177.1684
30.000000 92.409 -177.8479
30.400000 92.354 -178.0017
30.700001 92.355 -178.1017
31.100000 92.401 -178.5124
31.500000 92.444 -179.4022
32.000000 92.407 179.0890
32.500000 92.245 177.9195
33.000000 92.062 177.7320
33.500000 92.005 178.2207
34.000000 92.104 178.3096
34.500000 92.227 177.3336
35.000000 92.228 175.7333
35.500000 92.094 174.4823
36.000000 91.928 174.0929
36.500000 91.839 174.2649
37.000000 91.842 174.3959
37.500000 91.887 174.1902
38.200001 91.955 173.3847
38.700001 91.981 172.4801
39.500000 91.917 170.7475
40.000000 91.810 169.8825
40.599998 91.665 169.2750
41.200001 91.536 168.9962
41.799999 91.429 169.0098
42.500000 91.387 169.3623
43.099998 91.455 169.4379
43.700001 91.547 168.8020
44.400002 91.557 167.4760
45.000000 91.472 166.5180
45.500000 91.377 166.0728
46.200001 91.266 165.8815
46.799999 91.215 165.8824
47.500000 91.204 165.7564
48.200001 91.202 165.3022
48.700001 91.179 164.8535
49.400002 91.118 164.3061
50.000000 91.063 164.0141
50.799999 91.026 163.7677
51.500000 91.029 163.4584
52.200001 91.030 162.9472
53.000000 90.980 162.3893
53.799999 90.897 162.3262
54.500000 90.855 162.6392
55.200001 90.845 162.9412
56.000000 90.824 163.0273
57.000000 90.711 162.8545
58.000000 90.489 162.5099
59.000000 90.147 162.0977
60.000000 89.745 162.0865
60.799999 89.512 162.2146
61.500000 89.411 161.9234
62.200001 89.376 161.0809
63.000000 89.375 159.5734
64.000000 89.370 157.4558
65.000000 89.372 156.1742
66.000000 89.478 155.7707
67.000000 89.617 155.6310
68.000000 89.711 155.7749
69.000000 89.734 155.9715
70.000000 89.633 156.1928
71.000000 89.446 156.8008
72.000000 89.299 157.3628
73.000000 89.143 157.2491
74.000000 88.957 157.2919
75.000000 88.893 157.3922
76.199997 88.858 156.8639
77.500000 88.826 156.9073
78.800003 88.865 156.7590
80.000000 88.763 156.4011
81.199997 88.526 156.5330
82.500000 88.212 157.4000
83.800003 87.988 158.3734
85.000000 87.886 158.8228
86.199997 87.951 158.6652
87.500000 88.145 157.0599
88.500000 88.247 155.3118
90.000000 88.333 153.5093
91.199997 88.414 152.9594
92.500000 88.470 152.8846
93.800003 88.474 153.4233
95.000000 88.466 154.0129
96.199997 88.414 154.2922
97.500000 88.283 154.2226
98.800003 88.074 154.1016
100.000000 87.877 154.0950
101.500000 87.659 154.0137
103.000000 87.490 153.9116
104.400002 87.386 153.6887
106.000000 87.289 153.5050
107.500000 87.220 153.7587
109.000000 87.177 154.2862
110.599998 87.091 154.6970
112.000000 86.971 155.1350
113.800003 86.920 155.2673
115.000000 86.940 154.6964
117.199997 86.952 153.7875
118.000000 86.984 153.9251
120.599998 87.074 154.3218
122.000000 87.003 154.4953
124.099998 86.776 154.3981
125.000000 86.667 154.3539
126.500000 86.543 154.3767
128.000000 86.489 154.3348
131.500000 86.320 155.1496
132.000000 86.299 155.3585
134.000000 86.229 155.9086
136.000000 86.207 156.1241
138.000000 86.274 155.9273
140.000000 86.302 155.3727
143.000000 86.202 155.2993
145.000000 86.128 155.3158
147.500000 86.012 155.1539
150.000000 85.898 155.1409
152.500000 85.821 155.3040
155.000000 85.761 155.4534
157.500000 85.692 155.5365
160.000000 85.602 155.6204
162.500000 85.516 155.7493
165.000000 85.430 155.9220
167.500000 85.353 156.1824
170.000000 85.294 156.4652
172.500000 85.243 156.6878
175.000000 85.171 156.8371
177.500000 85.098 156.9814
180.000000 85.041 157.1432
182.500000 84.987 157.4538
185.000000 84.932 157.6305
187.500000 84.854 157.5754
190.000000 84.781 157.7877
192.500000 84.740 158.1725
195.000000 84.692 158.1031
197.500000 84.627 157.7343
200.000000 84.576 157.8647
203.000000 84.538 158.6589
206.000000 84.463 159.0968
209.000000 84.399 159.4295
212.000000 84.353 160.0983
214.000000 84.309 160.5370
218.000000 84.208 160.6883
220.000000 84.151 160.6960
224.000000 84.057 161.2479
227.000000 84.025 161.5866
230.000000 84.038 161.7583
233.000000 84.144 162.4151
236.000000 84.232 163.7537
240.000000 84.050 164.9963
243.000000 83.868 164.6680
247.000000 83.861 163.9566
250.000000 83.893 164.0323
254.000000 83.879 164.2068
258.000000 83.856 164.3114
262.000000 83.813 164.4947
265.000000 83.773 164.6699
269.000000 83.723 164.9409
272.000000 83.686 165.1576
276.000000 83.640 165.4333
280.000000 83.603 165.6851
285.000000 83.556 166.0352
290.000000 83.509 166.4385
295.000000 83.461 166.8800
300.000000 83.415 167.2595
304.000000 83.384 167.5121
307.000000 83.361 167.7104
311.000000 83.331 168.0224
