* Measurement data measured by REW V5.31.3
* Source: A [plughw:5,0], Headset (Headset), 0, volume: 0.200
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18/08/2025 9:09:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ITO L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 35.101 141.3846
0.732422 39.158 90.1727
1.098633 45.827 56.8722
1.464844 51.469 37.1809
1.831055 55.820 22.7861
2.197266 59.176 11.1956
2.563477 61.812 1.7405
2.929688 63.953 -5.8293
3.295898 65.788 -11.8291
3.662109 67.451 -16.7806
4.028320 69.007 -21.2939
4.394531 70.456 -25.8224
4.760742 71.772 -30.5164
5.126953 72.933 -35.2665
5.493164 73.944 -39.8507
5.859375 74.831 -44.0789
6.225586 75.634 -47.8872
6.591797 76.387 -51.3576
6.958008 77.108 -54.6558
7.324219 77.790 -57.9238
7.690430 78.418 -61.1955
8.056641 78.980 -64.3887
8.422852 79.481 -67.3689
8.789062 79.942 -70.0474
9.155273 80.391 -72.4601
9.521484 80.844 -74.7706
9.887695 81.296 -77.1796
10.253906 81.720 -79.7946
10.620117 82.083 -82.5532
10.986328 82.371 -85.2475
11.352539 82.592 -87.6283
11.718750 82.784 -89.5408
12.084961 82.992 -91.0312
12.451172 83.247 -92.3440
12.817383 83.545 -93.7843
13.183594 83.853 -95.5382
13.549805 84.134 -97.5904
13.916016 84.364 -99.7763
14.282227 84.544 -101.8975
14.648438 84.690 -103.8227
15.014648 84.825 -105.5306
15.380859 84.965 -107.0852
15.747070 85.114 -108.5743
16.113281 85.267 -110.0586
16.479492 85.419 -111.5606
16.845703 85.566 -113.0798
17.211914 85.703 -114.6066
17.578125 85.826 -116.1212
17.944336 85.936 -117.5884
18.310547 86.032 -118.9657
18.676758 86.124 -120.2277
19.042969 86.218 -121.3876
19.409180 86.321 -122.4948
19.775391 86.430 -123.6062
20.141602 86.539 -124.7533
20.507812 86.643 -125.9322
20.874023 86.738 -127.1196
21.240234 86.824 -128.2966
21.606445 86.903 -129.4571
21.972656 86.973 -130.5960
22.338867 87.034 -131.6973
22.705078 87.089 -132.7391
23.071289 87.144 -133.7179
23.437500 87.205 -134.6666
23.803711 87.269 -135.6407
24.169922 87.331 -136.6764
24.536133 87.379 -137.7520
24.902344 87.408 -138.7904
25.268555 87.426 -139.7079
25.634766 87.447 -140.4797
26.000977 87.487 -141.1703
26.367188 87.547 -141.8992
26.733398 87.615 -142.7601
27.099609 87.673 -143.7561
27.465820 87.708 -144.8011
27.832031 87.720 -145.7788
28.198242 87.724 -146.6176
28.564453 87.733 -147.3311
28.930664 87.757 -147.9984
29.296875 87.791 -148.7013
29.663086 87.826 -149.4680
30.029297 87.852 -150.2650
30.395508 87.870 -151.0346
30.761719 87.885 -151.7431
31.127930 87.904 -152.4044
31.494141 87.931 -153.0637
31.860352 87.961 -153.7599
32.226562 87.988 -154.4967
32.592773 88.008 -155.2455
32.958984 88.020 -155.9704
33.325195 88.031 -156.6552
33.691406 88.043 -157.3114
34.057617 88.056 -157.9636
34.423828 88.070 -158.6280
34.790039 88.080 -159.3006
35.156250 88.086 -159.9631
35.522461 88.087 -160.5986
35.888672 88.088 -161.2037
36.254883 88.090 -161.7871
36.621094 88.092 -162.3592
36.987305 88.094 -162.9233
37.353516 88.096 -163.4752
37.719727 88.097 -164.0108
38.085938 88.101 -164.5346
38.452148 88.106 -165.0591
38.818359 88.112 -165.5974
39.184570 88.117 -166.1530
39.550781 88.118 -166.7173
39.916992 88.114 -167.2737
40.283203 88.107 -167.8073
40.649414 88.099 -168.3127
41.015625 88.092 -168.7953
41.381836 88.087 -169.2669
41.748047 88.084 -169.7386
42.114258 88.081 -170.2151
42.480469 88.078 -170.6954
42.846680 88.075 -171.1768
43.212891 88.071 -171.6603
43.579102 88.068 -172.1512
43.945312 88.063 -172.6536
44.311523 88.056 -173.1632
44.677734 88.044 -173.6646
45.043945 88.030 -174.1389
45.410156 88.017 -174.5788
45.776367 88.008 -174.9985
46.142578 88.004 -175.4263
46.508789 88.001 -175.8826
46.875000 87.994 -176.3585
47.241211 87.981 -176.8161
47.607422 87.965 -177.2153
47.973633 87.956 -177.5511
48.339844 87.958 -177.8703
48.706055 87.973 -178.2479
49.072266 87.988 -178.7345
49.438477 87.990 -179.3134
49.804688 87.970 -179.9031
50.170898 87.933 179.5964
50.537109 87.889 179.2434
50.903320 87.855 179.0176
51.269531 87.839 178.8352
51.635742 87.838 178.6049
52.001953 87.842 178.2827
52.368164 87.839 177.8860
52.734375 87.826 177.4668
53.100586 87.805 177.0706
53.466797 87.781 176.7123
53.833008 87.758 176.3810
54.199219 87.737 176.0594
54.565430 87.717 175.7406
54.931641 87.699 175.4265
55.297852 87.683 175.1173
55.664062 87.671 174.8044
56.030273 87.661 174.4739
56.396484 87.652 174.1187
56.762695 87.641 173.7454
57.128906 87.627 173.3708
57.495117 87.611 173.0110
57.861328 87.594 172.6722
58.227539 87.578 172.3491
58.593750 87.564 172.0317
58.959961 87.549 171.7139
59.326172 87.534 171.3979
59.692383 87.517 171.0905
60.058594 87.498 170.7972
60.424805 87.480 170.5166
60.791016 87.462 170.2406
61.157227 87.444 169.9606
61.523438 87.425 169.6752
61.889648 87.403 169.3918
62.255859 87.379 169.1218
62.622070 87.356 168.8701
62.988281 87.336 168.6294
63.354492 87.320 168.3825
63.720703 87.308 168.1124
64.086914 87.298 167.8088
64.453125 87.288 167.4676
64.819336 87.278 167.0848
65.185547 87.263 166.6571
65.551758 87.239 166.1956
65.917969 87.201 165.7415
66.284180 87.149 165.3653
66.650391 87.092 165.1365
67.016602 87.045 165.0740
67.382812 87.023 165.1132
67.749023 87.031 165.1268
68.115234 87.058 164.9978
68.481445 87.084 164.6943
68.847656 87.092 164.2847
69.213867 87.078 163.8862
69.580078 87.052 163.5840
69.946289 87.028 163.3790
70.312500 87.014 163.2011
70.678711 87.006 162.9764
71.044922 86.992 162.6907
71.411133 86.966 162.3956
71.777344 86.929 162.1575
72.143555 86.893 161.9971
72.509766 86.866 161.8707
72.875977 86.847 161.7087
73.242188 86.828 161.4769
73.608398 86.799 161.2032
73.974609 86.760 160.9510
74.340820 86.718 160.7653
74.707031 86.682 160.6377
75.073242 86.657 160.5178
75.439453 86.640 160.3566
75.805664 86.624 160.1422
76.171875 86.605 159.8981
76.538086 86.584 159.6538
76.904297 86.562 159.4189
77.270508 86.542 159.1831
77.636719 86.521 158.9375
78.002930 86.498 158.6912
78.369141 86.472 158.4669
78.735352 86.447 158.2787
79.101562 86.425 158.1163
79.467773 86.409 157.9509
79.833984 86.396 157.7581
80.200195 86.380 157.5375
80.566406 86.358 157.3120
80.932617 86.333 157.1082
81.298828 86.306 156.9366
81.665039 86.282 156.7866
82.031250 86.260 156.6371
82.397461 86.241 156.4723
82.763672 86.220 156.2905
83.129883 86.197 156.1008
83.496094 86.172 155.9151
83.862305 86.146 155.7407
84.228516 86.120 155.5786
84.594727 86.095 155.4244
84.960938 86.073 155.2695
85.327148 86.053 155.1049
85.693359 86.033 154.9254
86.059570 86.011 154.7337
86.425781 85.988 154.5398
86.791992 85.962 154.3561
87.158203 85.936 154.1903
87.524414 85.911 154.0409
87.890625 85.888 153.8989
88.256836 85.867 153.7538
88.623047 85.847 153.5992
88.989258 85.825 153.4366
89.355469 85.801 153.2752
89.721680 85.776 153.1276
90.087891 85.751 153.0022
90.454102 85.729 152.8943
90.820312 85.712 152.7824
91.186523 85.698 152.6380
91.552734 85.684 152.4459
91.918945 85.663 152.2214
92.285156 85.634 152.0073
92.651367 85.600 151.8456
93.017578 85.569 151.7438
93.383789 85.547 151.6628
93.750000 85.533 151.5455
94.116211 85.518 151.3676
94.482422 85.495 151.1656
94.848633 85.462 151.0116
95.214844 85.432 150.9484
95.581055 85.417 150.9364
95.947266 85.419 150.8674
96.313477 85.426 150.6486
96.679688 85.417 150.2907
97.045898 85.377 149.9224
97.412109 85.312 149.7138
97.778320 85.247 149.7547
98.144531 85.212 149.9714
98.510742 85.219 150.1597
98.876953 85.250 150.1267
99.243164 85.274 149.8258
99.609375 85.265 149.3775
99.975586 85.219 148.9762
100.341797 85.155 148.7604
100.708008 85.098 148.7313
101.074219 85.063 148.7722
101.440430 85.046 148.7521
101.806641 85.031 148.6260
102.172852 85.004 148.4522
102.539062 84.967 148.3250
102.905273 84.932 148.2887
103.271484 84.911 148.2989
103.637695 84.907 148.2586
104.003906 84.908 148.0965
104.370117 84.899 147.8217
104.736328 84.871 147.5162
105.102539 84.826 147.2798
105.468750 84.775 147.1688
105.834961 84.733 147.1676
106.201172 84.707 147.2081
106.567383 84.693 147.2176
106.933594 84.685 147.1614
107.299805 84.674 147.0513
107.666016 84.657 146.9233
108.032227 84.636 146.8066
108.398438 84.614 146.7057
108.764648 84.593 146.6057
109.130859 84.571 146.4929
109.497070 84.545 146.3718
109.863281 84.514 146.2654
110.229492 84.480 146.1989
110.595703 84.449 146.1787
110.961914 84.425 146.1838
111.328125 84.409 146.1747
111.694336 84.399 146.1151
112.060547 84.388 145.9921
112.426758 84.371 145.8216
112.792969 84.345 145.6400
113.159180 84.312 145.4865
113.525391 84.275 145.3861
113.891602 84.241 145.3389
114.257812 84.215 145.3199
114.624023 84.197 145.2905
114.990234 84.183 145.2190
115.356445 84.169 145.0996
115.722656 84.148 144.9576
116.088867 84.120 144.8352
116.455078 84.090 144.7626
116.821289 84.066 144.7347
117.187500 84.050 144.7097
117.553711 84.041 144.6365
117.919922 84.031 144.4927
118.286133 84.010 144.3049
118.652344 83.976 144.1351
119.018555 83.934 144.0419
119.384766 83.894 144.0427
119.750977 83.866 144.1022
120.117188 83.851 144.1553
120.483398 83.845 144.1470
120.849609 83.839 144.0603
121.215820 83.828 143.9158
121.582031 83.808 143.7512
121.948242 83.780 143.6003
122.314453 83.746 143.4843
122.680664 83.711 143.4125
123.046875 83.678 143.3862
123.413086 83.651 143.3951
123.779297 83.631 143.4134
124.145508 83.620 143.4039
124.511719 83.613 143.3352
124.877930 83.603 143.2021
125.244141 83.584 143.0337
125.610352 83.554 142.8807
125.976562 83.517 142.7887
126.342773 83.481 142.7722
126.708984 83.453 142.8063
127.075195 83.437 142.8403
127.441406 83.428 142.8261
127.807617 83.420 142.7428
128.173828 83.406 142.6048
128.540039 83.381 142.4531
128.906250 83.347 142.3359
129.272461 83.308 142.2872
129.638672 83.273 142.3110
130.004883 83.247 142.3773
130.371094 83.234 142.4343
130.737305 83.228 142.4335
131.103516 83.224 142.3552
131.469727 83.212 142.2185
131.835938 83.191 142.0701
132.202148 83.161 141.9557
132.568359 83.130 141.8935
132.934570 83.103 141.8663
133.300781 83.081 141.8392
133.666992 83.061 141.7881
134.033203 83.038 141.7193
134.399414 83.011 141.6619
134.765625 82.981 141.6425
135.131836 82.956 141.6606
135.498047 82.937 141.6873
135.864258 82.924 141.6858
136.230469 82.911 141.6396
136.596680 82.894 141.5631
136.962891 82.871 141.4872
137.329102 82.845 141.4340
137.695312 82.820 141.4017
138.061523 82.798 141.3710
138.427734 82.777 141.3263
138.793945 82.754 141.2715
139.160156 82.728 141.2254
139.526367 82.703 141.2017
139.892578 82.683 141.1915
140.258789 82.668 141.1667
140.625000 82.655 141.1017
140.991211 82.639 140.9978
141.357422 82.617 140.8852
141.723633 82.590 140.8028
142.089844 82.564 140.7679
142.456055 82.544 140.7618
142.822266 82.531 140.7426
143.188477 82.522 140.6768
143.554688 82.510 140.5645
143.920898 82.489 140.4384
144.287109 82.461 140.3396
144.653320 82.429 140.2901
145.019531 82.400 140.2832
145.385742 82.373 140.2972
145.751953 82.347 140.3185
146.118164 82.322 140.3517
146.484375 82.298 140.4071
146.850586 82.278 140.4793
147.216797 82.264 140.5382
147.583008 82.253 140.5477
147.949219 82.238 140.4976
148.315430 82.212 140.4226
148.681641 82.175 140.3874
149.047852 82.133 140.4440
149.414062 82.100 140.5894
149.780273 82.084 140.7581
150.146484 82.085 140.8597
