* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.800. Timing signal peak level -17.5 dBFS, measurement signal peak level -17.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 13/07/2022 8:36:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1084 ms (-37 mm, -1.46 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: JD3 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 81.623 -7.2411
1.015000 81.852 -9.2050
1.030000 82.077 -11.0887
1.044000 82.283 -12.7677
1.060000 82.514 -14.5845
1.075000 82.727 -16.1809
1.090000 82.934 -17.6659
1.106000 83.150 -19.1173
1.120000 83.335 -20.2677
1.138000 83.568 -21.5927
1.150000 83.719 -22.3868
1.172000 83.991 -23.6747
1.180000 84.087 -24.0937
1.206000 84.395 -25.2960
1.220000 84.556 -25.8544
1.241000 84.792 -26.5954
1.250000 84.892 -26.8829
1.265000 85.055 -27.3291
1.280000 85.215 -27.7421
1.315000 85.580 -28.6278
1.320000 85.631 -28.7504
1.340000 85.832 -29.2441
1.360000 86.030 -29.7599
1.380000 86.224 -30.3191
1.400000 86.415 -30.9434
1.430000 86.697 -32.0491
1.450000 86.882 -32.9306
1.475000 87.110 -34.2220
1.500000 87.331 -35.6486
1.525000 87.546 -37.1738
1.550000 87.754 -38.7803
1.575000 87.956 -40.4512
1.600000 88.152 -42.1691
1.625000 88.342 -43.9169
1.650000 88.527 -45.6775
1.675000 88.707 -47.4338
1.700000 88.883 -49.1685
1.725000 89.054 -50.8645
1.750000 89.221 -52.5046
1.775000 89.385 -54.0718
1.800000 89.546 -55.5487
1.825000 89.704 -56.9183
1.850000 89.858 -58.1775
1.875000 90.008 -59.3553
1.900000 90.153 -60.4617
1.925000 90.293 -61.5051
1.950000 90.429 -62.4941
1.975000 90.560 -63.4371
2.000000 90.688 -64.3427
2.030000 90.837 -65.3920
2.060000 90.980 -66.4145
2.090000 91.120 -67.4249
2.120000 91.255 -68.4380
2.140000 91.344 -69.1220
2.180000 91.517 -70.5308
2.200000 91.601 -71.2640
2.240000 91.765 -72.7544
2.270000 91.881 -73.8767
2.300000 91.993 -74.9995
2.330000 92.100 -76.1197
2.360000 92.204 -77.2341
2.400000 92.336 -78.7057
2.430000 92.432 -79.7945
2.470000 92.555 -81.2207
2.500000 92.644 -82.2671
2.540000 92.760 -83.6254
2.580000 92.873 -84.9372
2.620000 92.980 -86.2191
2.650000 93.057 -87.1627
2.690000 93.154 -88.3955
2.720000 93.223 -89.2998
2.760000 93.312 -90.4769
2.800000 93.398 -91.6192
2.850000 93.501 -92.9948
2.900000 93.601 -94.3084
2.950000 93.698 -95.5529
3.000000 93.790 -96.7066
3.040000 93.860 -97.5719
3.070000 93.910 -98.1939
3.110000 93.975 -98.9953
3.150000 94.038 -99.7738
3.200000 94.114 -100.7304
3.250000 94.189 -101.6868
3.300000 94.264 -102.6626
3.350000 94.336 -103.6585
3.400000 94.406 -104.6588
3.450000 94.474 -105.6524
3.500000 94.541 -106.6286
3.550000 94.605 -107.5766
3.600000 94.669 -108.4856
3.650000 94.733 -109.3448
3.700000 94.796 -110.1413
3.750000 94.858 -110.8739
3.820000 94.944 -111.8224
3.870000 95.003 -112.4671
3.950000 95.097 -113.4873
4.000000 95.153 -114.1432
4.060000 95.220 -114.9714
4.120000 95.286 -115.8277
4.180000 95.350 -116.6956
4.250000 95.422 -117.7040
4.310000 95.482 -118.5488
4.370000 95.539 -119.3609
4.440000 95.602 -120.2535
4.500000 95.654 -120.9809
4.550000 95.695 -121.5668
4.620000 95.750 -122.3649
4.680000 95.794 -123.0367
4.750000 95.843 -123.8167
4.820000 95.888 -124.6010
4.870000 95.917 -125.1607
4.940000 95.956 -125.9351
5.000000 95.986 -126.5828
5.080000 96.025 -127.4113
5.150000 96.056 -128.0923
5.220000 96.085 -128.7356
5.300000 96.114 -129.4319
5.380000 96.141 -130.0915
5.450000 96.164 -130.6425
5.520000 96.188 -131.1717
5.600000 96.215 -131.7413
5.700000 96.246 -132.4069
5.800000 96.279 -133.0350
5.900000 96.314 -133.6374
6.000000 96.352 -134.2014
6.080000 96.384 -134.6311
6.150000 96.413 -134.9986
6.220000 96.442 -135.3641
6.300000 96.478 -135.7755
6.400000 96.525 -136.2731
6.500000 96.574 -136.7678
6.600000 96.622 -137.2761
6.700000 96.670 -137.8013
6.800000 96.719 -138.3357
6.900000 96.767 -138.8754
7.000000 96.811 -139.4177
7.100000 96.853 -139.9661
7.200000 96.893 -140.5175
7.300000 96.930 -141.0668
7.400000 96.963 -141.6135
7.500000 96.992 -142.1619
7.620000 97.024 -142.8091
7.750000 97.054 -143.4812
7.880000 97.079 -144.1282
8.000000 97.099 -144.7023
8.120000 97.118 -145.2510
8.250000 97.135 -145.8166
8.380000 97.152 -146.3571
8.500000 97.168 -146.8359
8.620000 97.184 -147.2928
8.750000 97.202 -147.7716
8.850000 97.216 -148.1328
9.000000 97.238 -148.6579
9.120000 97.256 -149.0699
9.250000 97.277 -149.5132
9.380000 97.297 -149.9507
9.500000 97.317 -150.3512
9.620000 97.336 -150.7494
9.750000 97.357 -151.1774
9.880000 97.378 -151.6035
10.000000 97.397 -151.9955
10.150000 97.421 -152.4833
10.300000 97.444 -152.9700
10.440000 97.466 -153.4227
10.600000 97.490 -153.9398
10.750000 97.512 -154.4261
10.900000 97.532 -154.9126
11.060000 97.552 -155.4287
11.200000 97.568 -155.8792
11.380000 97.586 -156.4480
11.500000 97.596 -156.8205
11.720000 97.611 -157.4815
11.800000 97.616 -157.7117
12.060000 97.629 -158.4250
12.200000 97.635 -158.7823
12.410000 97.646 -159.2865
12.500000 97.651 -159.4936
12.650000 97.661 -159.8240
12.800000 97.672 -160.1454
13.150000 97.704 -160.8810
13.200000 97.709 -160.9870
13.400000 97.731 -161.4153
13.600000 97.751 -161.8508
13.800000 97.770 -162.2964
14.000000 97.786 -162.7404
14.300000 97.804 -163.3952
14.500000 97.811 -163.8096
14.750000 97.819 -164.2963
15.000000 97.826 -164.7467
15.250000 97.834 -165.1689
15.500000 97.844 -165.5788
15.750000 97.856 -165.9857
16.000000 97.868 -166.4021
16.250000 97.879 -166.8261
16.500000 97.887 -167.2540
16.750000 97.892 -167.6771
17.000000 97.895 -168.0870
17.250000 97.897 -168.4834
17.500000 97.898 -168.8668
17.750000 97.901 -169.2468
18.000000 97.904 -169.6274
18.250000 97.906 -170.0133
18.500000 97.906 -170.4002
18.750000 97.904 -170.7799
19.000000 97.901 -171.1451
19.250000 97.897 -171.4860
19.500000 97.894 -171.8061
19.750000 97.894 -172.1087
20.000000 97.899 -172.4088
20.299999 97.907 -172.7818
20.600000 97.918 -173.1793
20.900000 97.926 -173.6007
21.200001 97.931 -174.0303
21.400000 97.932 -174.3085
21.799999 97.929 -174.8302
22.000000 97.928 -175.0712
22.400000 97.928 -175.5234
22.700001 97.931 -175.8545
23.000000 97.934 -176.1926
23.299999 97.937 -176.5374
23.600000 97.937 -176.8814
24.000000 97.934 -177.3245
24.299999 97.931 -177.6400
24.700001 97.926 -178.0450
25.000000 97.923 -178.3469
25.400000 97.917 -178.7550
25.799999 97.907 -179.1624
26.200001 97.894 -179.5518
26.500000 97.882 -179.8245
26.900000 97.868 179.8375
27.200001 97.858 179.5969
27.600000 97.848 179.2832
28.000000 97.841 178.9680
28.500000 97.835 178.5618
29.000000 97.830 178.1332
29.500000 97.824 177.6819
30.000000 97.813 177.2225
30.400000 97.802 176.8630
30.700001 97.791 176.6032
31.100000 97.775 176.2753
31.500000 97.758 175.9763
32.000000 97.737 175.6546
32.500000 97.724 175.3814
33.000000 97.721 175.1015
33.500000 97.725 174.7507
34.000000 97.724 174.3145
34.500000 97.709 173.8497
35.000000 97.682 173.4230
35.500000 97.653 173.0549
36.000000 97.625 172.7179
36.500000 97.600 172.3873
37.000000 97.574 172.0639
37.500000 97.549 171.7555
38.200001 97.520 171.3326
38.700001 97.502 171.0192
39.500000 97.474 170.5004
40.000000 97.455 170.1763
40.599998 97.432 169.7987
41.200001 97.407 169.4522
41.799999 97.385 169.1416
42.500000 97.366 168.7775
43.099998 97.348 168.4228
43.700001 97.321 168.0627
44.400002 97.281 167.7077
45.000000 97.251 167.4378
45.500000 97.226 167.1838
46.200001 97.182 166.7973
46.799999 97.137 166.5143
47.500000 97.097 166.1914
48.200001 97.054 165.7174
48.700001 97.002 165.3606
49.400002 96.911 165.1390
50.000000 96.869 165.2193
50.799999 96.895 165.1455
51.500000 96.924 164.6241
52.200001 96.906 164.0042
53.000000 96.863 163.5175
53.799999 96.830 163.1506
54.500000 96.801 162.8546
55.200001 96.770 162.6120
56.000000 96.740 162.3480
57.000000 96.698 161.9601
58.000000 96.643 161.5596
59.000000 96.584 161.1932
60.000000 96.532 160.8459
60.799999 96.496 160.5285
61.500000 96.462 160.2363
62.200001 96.425 159.9724
63.000000 96.386 159.7037
64.000000 96.337 159.3757
65.000000 96.284 159.0962
66.000000 96.236 158.8297
67.000000 96.183 158.4918
68.000000 96.117 158.1734
69.000000 96.053 157.9214
70.000000 95.999 157.6808
71.000000 95.952 157.4171
72.000000 95.905 157.1192
73.000000 95.853 156.8245
74.000000 95.797 156.5705
75.000000 95.743 156.3198
76.199997 95.670 155.9962
77.500000 95.587 155.6854
78.800003 95.507 155.3412
80.000000 95.427 154.9977
81.199997 95.341 154.7153
82.500000 95.258 154.4903
83.800003 95.192 154.2921
85.000000 95.145 153.9904
86.199997 95.070 153.6553
87.500000 94.992 153.5995
88.500000 94.958 153.5410
90.000000 94.894 153.2475
91.199997 94.809 153.0467
92.500000 94.713 152.9721
93.800003 94.633 152.9063
95.000000 94.573 152.7183
96.199997 94.503 152.4338
97.500000 94.431 152.2191
98.800003 94.366 151.9278
100.000000 94.278 151.7241
101.500000 94.165 151.7976
103.000000 94.073 151.9278
104.400002 93.971 151.9888
106.000000 93.838 152.2507
107.500000 93.744 152.5581
109.000000 93.667 152.8030
110.599998 93.602 153.0648
112.000000 93.558 153.2541
113.800003 93.501 153.4717
115.000000 93.464 153.5903
117.199997 93.384 153.6478
118.000000 93.352 153.6547
120.599998 93.249 153.6088
122.000000 93.169 153.6346
124.099998 93.013 153.9932
125.000000 92.938 154.2516
126.500000 92.812 154.8473
128.000000 92.723 155.6375
131.500000 92.755 157.5325
132.000000 92.774 157.8332
134.000000 92.910 159.4186
136.000000 93.189 160.6010
138.000000 93.475 160.4290
140.000000 93.680 159.1597
143.000000 93.789 156.5229
145.000000 93.737 155.0439
147.500000 93.570 153.7179
150.000000 93.368 152.9169
152.500000 93.207 152.2758
155.000000 93.068 151.9332
157.500000 92.972 151.8900
160.000000 92.904 151.6606
162.500000 92.804 151.1758
165.000000 92.671 150.8005
167.500000 92.547 150.6748
170.000000 92.441 150.6205
172.500000 92.336 150.5971
175.000000 92.235 150.5925
177.500000 92.135 150.5850
180.000000 92.036 150.5952
182.500000 91.939 150.6271
185.000000 91.846 150.6799
187.500000 91.758 150.7436
190.000000 91.672 150.8153
192.500000 91.590 150.8827
195.000000 91.510 150.9410
197.500000 91.430 150.9945
200.000000 91.346 151.0488
203.000000 91.243 151.1497
206.000000 91.144 151.2688
209.000000 91.048 151.4030
212.000000 90.955 151.5530
214.000000 90.894 151.6601
218.000000 90.774 151.8920
220.000000 90.716 152.0144
224.000000 90.601 152.2714
227.000000 90.515 152.4709
230.000000 90.431 152.6746
233.000000 90.349 152.8734
236.000000 90.268 153.0695
240.000000 90.166 153.3427
243.000000 90.089 153.5425
247.000000 89.986 153.7498
250.000000 89.910 153.9209
254.000000 89.813 154.3234
258.000000 89.717 154.7343
262.000000 89.625 155.0922
265.000000 89.558 155.3513
269.000000 89.468 155.6954
272.000000 89.400 155.9548
276.000000 89.310 156.2938
280.000000 89.224 156.6432
285.000000 89.122 157.1032
290.000000 89.020 157.5493
