* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.800. Timing signal peak level -42.7 dBFS, measurement signal peak level -18.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 13/07/2022 8:35:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1030 ms (-35 mm, -1.39 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: JD3 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 82.352 -11.2304
1.015000 82.575 -12.9300
1.030000 82.794 -14.5637
1.044000 82.995 -16.0233
1.060000 83.222 -17.6073
1.075000 83.430 -19.0041
1.090000 83.636 -20.3087
1.106000 83.850 -21.5907
1.120000 84.034 -22.6144
1.138000 84.265 -23.8041
1.150000 84.415 -24.5241
1.172000 84.683 -25.7065
1.180000 84.778 -26.0961
1.206000 85.081 -27.2318
1.220000 85.239 -27.7706
1.241000 85.471 -28.5001
1.250000 85.569 -28.7882
1.265000 85.729 -29.2417
1.280000 85.886 -29.6682
1.315000 86.241 -30.6010
1.320000 86.291 -30.7312
1.340000 86.487 -31.2555
1.360000 86.680 -31.7987
1.380000 86.869 -32.3785
1.400000 87.056 -33.0127
1.430000 87.331 -34.1051
1.450000 87.512 -34.9533
1.475000 87.735 -36.1711
1.500000 87.952 -37.5034
1.525000 88.163 -38.9199
1.550000 88.366 -40.4061
1.575000 88.564 -41.9473
1.600000 88.755 -43.5288
1.625000 88.941 -45.1359
1.650000 89.122 -46.7542
1.675000 89.298 -48.3688
1.700000 89.469 -49.9651
1.725000 89.637 -51.5286
1.750000 89.800 -53.0445
1.775000 89.959 -54.4982
1.800000 90.116 -55.8750
1.825000 90.269 -57.1604
1.850000 90.419 -58.3518
1.875000 90.564 -59.4748
1.900000 90.704 -60.5377
1.925000 90.840 -61.5473
1.950000 90.971 -62.5109
1.975000 91.098 -63.4354
2.000000 91.221 -64.3279
2.030000 91.364 -65.3666
2.060000 91.502 -66.3816
2.090000 91.636 -67.3852
2.120000 91.765 -68.3894
2.140000 91.850 -69.0653
2.180000 92.014 -70.4489
2.200000 92.094 -71.1636
2.240000 92.249 -72.6118
2.270000 92.358 -73.7010
2.300000 92.463 -74.7897
2.330000 92.564 -75.8748
2.360000 92.660 -76.9537
2.400000 92.783 -78.3774
2.430000 92.871 -79.4303
2.470000 92.984 -80.8090
2.500000 93.066 -81.8204
2.540000 93.171 -83.1333
2.580000 93.273 -84.4017
2.620000 93.369 -85.6412
2.650000 93.437 -86.5536
2.690000 93.522 -87.7454
2.720000 93.582 -88.6193
2.760000 93.659 -89.7563
2.800000 93.732 -90.8589
2.850000 93.819 -92.1854
2.900000 93.902 -93.4503
2.950000 93.983 -94.6469
3.000000 94.058 -95.7582
3.040000 94.114 -96.5924
3.070000 94.154 -97.1917
3.110000 94.205 -97.9624
3.150000 94.253 -98.7082
3.200000 94.312 -99.6184
3.250000 94.370 -100.5195
3.300000 94.428 -101.4278
3.350000 94.485 -102.3422
3.400000 94.539 -103.2492
3.450000 94.590 -104.1411
3.500000 94.641 -105.0104
3.550000 94.691 -105.8495
3.600000 94.741 -106.6508
3.650000 94.792 -107.4068
3.700000 94.844 -108.1055
3.750000 94.896 -108.7415
3.820000 94.968 -109.5560
3.870000 95.020 -110.1056
3.950000 95.102 -110.9738
4.000000 95.154 -111.5346
4.060000 95.217 -112.2468
4.120000 95.280 -112.9799
4.180000 95.344 -113.7218
4.250000 95.419 -114.5872
4.310000 95.482 -115.3192
4.370000 95.543 -116.0333
4.440000 95.613 -116.8344
4.500000 95.673 -117.4966
4.550000 95.722 -118.0370
4.620000 95.789 -118.7846
4.680000 95.844 -119.4251
4.750000 95.905 -120.1825
4.820000 95.963 -120.9592
4.870000 96.003 -121.5229
4.940000 96.056 -122.3157
5.000000 96.099 -122.9911
5.080000 96.154 -123.8732
5.150000 96.197 -124.6172
5.220000 96.238 -125.3428
5.300000 96.279 -126.1533
5.380000 96.318 -126.9416
5.450000 96.349 -127.6116
5.520000 96.379 -128.2618
5.600000 96.409 -128.9821
5.700000 96.443 -129.8487
5.800000 96.475 -130.6772
5.900000 96.507 -131.4666
6.000000 96.536 -132.2137
6.080000 96.559 -132.7844
6.150000 96.580 -133.2671
6.220000 96.601 -133.7369
6.300000 96.626 -134.2537
6.400000 96.658 -134.8670
6.500000 96.692 -135.4590
6.600000 96.726 -136.0459
6.700000 96.762 -136.6268
6.800000 96.800 -137.1971
6.900000 96.838 -137.7616
7.000000 96.876 -138.3240
7.100000 96.914 -138.8814
7.200000 96.952 -139.4352
7.300000 96.990 -139.9882
7.400000 97.025 -140.5436
7.500000 97.060 -141.1008
7.620000 97.100 -141.7641
7.750000 97.139 -142.4680
7.880000 97.176 -143.1603
8.000000 97.208 -143.7855
8.120000 97.237 -144.3930
8.250000 97.266 -145.0334
8.380000 97.294 -145.6537
8.500000 97.318 -146.2060
8.620000 97.340 -146.7392
8.750000 97.364 -147.2983
8.850000 97.382 -147.7163
9.000000 97.408 -148.3217
9.120000 97.429 -148.7914
9.250000 97.451 -149.2882
9.380000 97.472 -149.7712
9.500000 97.491 -150.2057
9.620000 97.509 -150.6301
9.750000 97.528 -151.0779
9.880000 97.546 -151.5130
10.000000 97.563 -151.9034
10.150000 97.582 -152.3761
10.300000 97.601 -152.8302
10.440000 97.618 -153.2365
10.600000 97.637 -153.6833
10.750000 97.656 -154.0860
10.900000 97.675 -154.4743
11.060000 97.697 -154.8798
11.200000 97.717 -155.2256
11.380000 97.743 -155.6684
11.500000 97.761 -155.9640
11.720000 97.794 -156.5091
11.800000 97.805 -156.7105
12.060000 97.842 -157.3731
12.200000 97.860 -157.7346
12.410000 97.883 -158.2803
12.500000 97.892 -158.5114
12.650000 97.904 -158.8956
12.800000 97.915 -159.2716
13.150000 97.932 -160.1019
13.200000 97.934 -160.2141
13.400000 97.941 -160.6456
13.600000 97.949 -161.0542
13.800000 97.957 -161.4397
14.000000 97.968 -161.8155
14.300000 97.987 -162.3703
14.500000 98.002 -162.7485
14.750000 98.021 -163.2364
15.000000 98.038 -163.7423
15.250000 98.050 -164.2579
15.500000 98.058 -164.7654
15.750000 98.062 -165.2529
16.000000 98.062 -165.7031
16.250000 98.062 -166.1130
16.500000 98.064 -166.4860
16.750000 98.070 -166.8314
17.000000 98.080 -167.1706
17.250000 98.095 -167.5149
17.500000 98.112 -167.8777
17.750000 98.129 -168.2621
18.000000 98.143 -168.6623
18.250000 98.154 -169.0714
18.500000 98.161 -169.4727
18.750000 98.164 -169.8586
19.000000 98.165 -170.2218
19.250000 98.166 -170.5606
19.500000 98.166 -170.8799
19.750000 98.168 -171.1838
20.000000 98.170 -171.4805
20.299999 98.174 -171.8328
20.600000 98.178 -172.1840
20.900000 98.180 -172.5342
21.200001 98.182 -172.8806
21.400000 98.182 -173.1079
21.799999 98.182 -173.5524
22.000000 98.181 -173.7692
22.400000 98.180 -174.1930
22.700001 98.179 -174.5047
23.000000 98.179 -174.8156
23.299999 98.179 -175.1313
23.600000 98.179 -175.4560
24.000000 98.177 -175.9034
24.299999 98.172 -176.2411
24.700001 98.161 -176.6725
25.000000 98.150 -176.9661
25.400000 98.138 -177.3104
25.799999 98.132 -177.6222
26.200001 98.135 -177.9456
26.500000 98.140 -178.2179
26.900000 98.144 -178.6241
27.200001 98.143 -178.9435
27.600000 98.133 -179.3524
28.000000 98.120 -179.7089
28.500000 98.107 179.9171
29.000000 98.105 179.5583
29.500000 98.108 179.1523
30.000000 98.108 178.6931
30.400000 98.101 178.3170
30.700001 98.092 178.0465
31.100000 98.077 177.7126
31.500000 98.063 177.4081
32.000000 98.049 177.0505
32.500000 98.038 176.6929
33.000000 98.028 176.3213
33.500000 98.016 175.9431
34.000000 98.001 175.5758
34.500000 97.985 175.2310
35.000000 97.970 174.9088
35.500000 97.957 174.6035
36.000000 97.947 174.3065
36.500000 97.939 174.0040
37.000000 97.932 173.6828
37.500000 97.923 173.3435
38.200001 97.902 172.8696
38.700001 97.885 172.5486
39.500000 97.856 172.0441
40.000000 97.836 171.7238
40.599998 97.807 171.3530
41.200001 97.779 171.0164
41.799999 97.756 170.6897
42.500000 97.731 170.2719
43.099998 97.703 169.9062
43.700001 97.672 169.6031
44.400002 97.646 169.3207
45.000000 97.633 169.0529
45.500000 97.621 168.7998
46.200001 97.596 168.4772
46.799999 97.579 168.2270
47.500000 97.553 167.8629
48.200001 97.497 167.5682
48.700001 97.454 167.5588
49.400002 97.447 167.6879
50.000000 97.484 167.5178
50.799999 97.498 166.7327
51.500000 97.437 166.0588
52.200001 97.364 165.6959
53.000000 97.313 165.3815
53.799999 97.274 164.9914
54.500000 97.242 164.6598
55.200001 97.216 164.3224
56.000000 97.186 163.9061
57.000000 97.138 163.4586
58.000000 97.097 163.1280
59.000000 97.065 162.7905
60.000000 97.024 162.4098
60.799999 96.985 162.1360
61.500000 96.952 161.9086
62.200001 96.919 161.6609
63.000000 96.877 161.3733
64.000000 96.824 161.0567
65.000000 96.778 160.7405
66.000000 96.731 160.4028
67.000000 96.681 160.0883
68.000000 96.634 159.7740
69.000000 96.583 159.4344
70.000000 96.526 159.1224
71.000000 96.472 158.8537
72.000000 96.424 158.5731
73.000000 96.376 158.2789
74.000000 96.329 157.9895
75.000000 96.282 157.7077
76.199997 96.226 157.3972
77.500000 96.164 157.0251
78.800003 96.091 156.7264
80.000000 96.044 156.4686
81.199997 95.993 156.0234
82.500000 95.900 155.6506
83.800003 95.828 155.5094
85.000000 95.769 155.2633
86.199997 95.691 155.1143
87.500000 95.624 155.0262
88.500000 95.574 154.8625
90.000000 95.484 154.5931
91.199997 95.417 154.3484
92.500000 95.334 154.0122
93.800003 95.247 153.7724
95.000000 95.180 153.5387
96.199997 95.100 153.2525
97.500000 95.001 153.0719
98.800003 94.910 152.9436
100.000000 94.826 152.8506
101.500000 94.737 152.7289
103.000000 94.640 152.5110
104.400002 94.532 152.4667
106.000000 94.419 152.5544
107.500000 94.297 152.6774
109.000000 94.157 152.9797
110.599998 94.014 153.4986
112.000000 93.911 154.0657
113.800003 93.830 154.9362
115.000000 93.820 155.5684
117.199997 93.892 156.4863
118.000000 93.932 156.6261
120.599998 93.995 156.2773
122.000000 93.956 155.8604
124.099998 93.820 155.5136
125.000000 93.751 155.5647
126.500000 93.641 155.9252
128.000000 93.544 156.6103
131.500000 93.485 159.4064
132.000000 93.517 159.8673
134.000000 93.769 161.2933
136.000000 94.124 161.3810
138.000000 94.405 160.0784
140.000000 94.530 158.1812
143.000000 94.484 155.5911
145.000000 94.366 154.3195
147.500000 94.179 153.1110
150.000000 93.980 152.3547
152.500000 93.843 152.0583
155.000000 93.752 151.8739
157.500000 93.660 151.6403
160.000000 93.547 151.3417
162.500000 93.427 151.0876
165.000000 93.313 150.9180
167.500000 93.202 150.7942
170.000000 93.095 150.6932
172.500000 92.993 150.6212
175.000000 92.890 150.5733
177.500000 92.786 150.5440
180.000000 92.682 150.5509
182.500000 92.581 150.6223
185.000000 92.489 150.7578
187.500000 92.413 150.8982
190.000000 92.349 150.9517
192.500000 92.282 150.9203
195.000000 92.203 150.8828
197.500000 92.119 150.8738
200.000000 92.034 150.8897
203.000000 91.933 150.9451
206.000000 91.834 151.0378
209.000000 91.737 151.1470
212.000000 91.642 151.2592
214.000000 91.581 151.3445
218.000000 91.463 151.5432
220.000000 91.403 151.6492
224.000000 91.287 151.8625
227.000000 91.203 152.0211
230.000000 91.120 152.1870
233.000000 91.037 152.3688
236.000000 90.956 152.5603
240.000000 90.852 152.8067
243.000000 90.772 153.0048
247.000000 90.656 153.3033
250.000000 90.573 153.5287
254.000000 90.487 153.7836
258.000000 90.402 154.0548
262.000000 90.310 154.3571
265.000000 90.241 154.5806
269.000000 90.149 154.8778
272.000000 90.082 155.1086
276.000000 89.994 155.4368
280.000000 89.908 155.7688
285.000000 89.803 156.1864
290.000000 89.699 156.5972
