* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 03/11/2022 9:03:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: JD7 - L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 65.824 58.5740
1.015000 65.969 56.8069
1.030000 66.118 55.1236
1.044000 66.262 53.6175
1.060000 66.432 51.9684
1.075000 66.597 50.4875
1.090000 66.766 49.0650
1.106000 66.950 47.6070
1.120000 67.114 46.3771
1.138000 67.329 44.8527
1.150000 67.474 43.8684
1.172000 67.742 42.1215
1.180000 67.841 41.5025
1.206000 68.162 39.5395
1.220000 68.336 38.5074
1.241000 68.595 36.9818
1.250000 68.706 36.3336
1.265000 68.890 35.2572
1.280000 69.072 34.1817
1.315000 69.487 31.6503
1.320000 69.545 31.2837
1.340000 69.773 29.7981
1.360000 69.996 28.2874
1.380000 70.219 26.7852
1.400000 70.440 25.2952
1.430000 70.771 23.0866
1.450000 70.991 21.6341
1.475000 71.264 19.8438
1.500000 71.534 18.0845
1.525000 71.802 16.3593
1.550000 72.067 14.6716
1.575000 72.329 13.0243
1.600000 72.588 11.4207
1.625000 72.843 9.8639
1.650000 73.093 8.3571
1.675000 73.339 6.9034
1.700000 73.581 5.5096
1.725000 73.819 4.1844
1.750000 74.053 2.9215
1.775000 74.283 1.7140
1.800000 74.510 0.5549
1.825000 74.734 -0.5627
1.850000 74.954 -1.6458
1.875000 75.172 -2.7012
1.900000 75.385 -3.7360
1.925000 75.596 -4.7570
1.950000 75.804 -5.7713
1.975000 76.009 -6.7857
2.000000 76.211 -7.8072
2.030000 76.450 -9.0487
2.060000 76.684 -10.2798
2.090000 76.912 -11.4922
2.120000 77.136 -12.6866
2.140000 77.283 -13.4733
2.180000 77.571 -15.0241
2.200000 77.713 -15.7887
2.240000 77.990 -17.2971
2.270000 78.194 -18.4110
2.300000 78.394 -19.5108
2.330000 78.592 -20.5969
2.360000 78.786 -21.6701
2.400000 79.039 -23.0784
2.430000 79.225 -24.1170
2.470000 79.466 -25.4784
2.500000 79.643 -26.4822
2.540000 79.873 -27.7980
2.580000 80.098 -29.0883
2.620000 80.318 -30.3534
2.650000 80.479 -31.2860
2.690000 80.692 -32.5081
2.720000 80.847 -33.4052
2.760000 81.050 -34.5700
2.800000 81.248 -35.7038
2.850000 81.487 -37.0857
2.900000 81.719 -38.4379
2.950000 81.945 -39.7707
3.000000 82.165 -41.0946
3.040000 82.337 -42.1540
3.070000 82.464 -42.9483
3.110000 82.628 -44.0034
3.150000 82.788 -45.0510
3.200000 82.983 -46.3444
3.250000 83.172 -47.6137
3.300000 83.357 -48.8522
3.350000 83.537 -50.0531
3.400000 83.713 -51.2099
3.450000 83.883 -52.3237
3.500000 84.048 -53.4022
3.550000 84.208 -54.4532
3.600000 84.364 -55.4844
3.650000 84.517 -56.5037
3.700000 84.667 -57.5189
3.750000 84.813 -58.5311
3.820000 85.010 -59.9316
3.870000 85.146 -60.9156
3.950000 85.358 -62.4522
4.000000 85.487 -63.3839
4.060000 85.639 -64.4672
4.120000 85.786 -65.5103
4.180000 85.929 -66.5196
4.250000 86.092 -67.6637
4.310000 86.228 -68.6239
4.370000 86.361 -69.5729
4.440000 86.513 -70.6657
4.500000 86.640 -71.5840
4.550000 86.743 -72.3362
4.620000 86.885 -73.3695
4.680000 87.005 -74.2368
4.750000 87.141 -75.2261
4.820000 87.275 -76.1881
4.870000 87.369 -76.8606
4.940000 87.497 -77.7856
5.000000 87.605 -78.5664
5.080000 87.747 -79.5941
5.150000 87.868 -80.4760
5.220000 87.987 -81.3421
5.300000 88.120 -82.3161
5.380000 88.250 -83.2768
5.450000 88.361 -84.1067
5.520000 88.470 -84.9248
5.600000 88.591 -85.8463
5.700000 88.739 -86.9801
5.800000 88.882 -88.0938
5.900000 89.021 -89.1862
6.000000 89.155 -90.2608
6.080000 89.259 -91.1098
6.150000 89.347 -91.8452
6.220000 89.433 -92.5728
6.300000 89.529 -93.3936
6.400000 89.645 -94.4017
6.500000 89.757 -95.3893
6.600000 89.864 -96.3576
6.700000 89.968 -97.3074
6.800000 90.068 -98.2393
6.900000 90.164 -99.1530
7.000000 90.257 -100.0482
7.100000 90.347 -100.9247
7.200000 90.434 -101.7813
7.300000 90.519 -102.6200
7.400000 90.601 -103.4438
7.500000 90.681 -104.2525
7.620000 90.775 -105.2027
7.750000 90.873 -106.2127
7.880000 90.967 -107.2029
8.000000 91.052 -108.1002
8.120000 91.133 -108.9848
8.250000 91.219 -109.9283
8.380000 91.301 -110.8560
8.500000 91.373 -111.6989
8.620000 91.442 -112.5290
8.750000 91.514 -113.4095
8.850000 91.567 -114.0732
9.000000 91.643 -115.0466
9.120000 91.701 -115.8027
9.250000 91.762 -116.5989
9.380000 91.821 -117.3723
9.500000 91.875 -118.0658
9.620000 91.928 -118.7389
9.750000 91.985 -119.4529
9.880000 92.044 -120.1518
10.000000 92.098 -120.7850
10.150000 92.166 -121.5747
10.300000 92.236 -122.3597
10.440000 92.300 -123.0982
10.600000 92.374 -123.9546
10.750000 92.441 -124.7677
10.900000 92.504 -125.5948
11.060000 92.568 -126.4864
11.200000 92.618 -127.2669
11.380000 92.676 -128.2695
11.500000 92.711 -128.9222
11.720000 92.764 -130.0887
11.800000 92.782 -130.4944
12.060000 92.830 -131.7448
12.200000 92.855 -132.3686
12.410000 92.892 -133.2413
12.500000 92.909 -133.5974
12.650000 92.938 -134.1634
12.800000 92.970 -134.7132
13.150000 93.057 -135.9629
13.200000 93.071 -136.1431
13.400000 93.126 -136.8700
13.600000 93.182 -137.6207
13.800000 93.235 -138.3903
14.000000 93.285 -139.1757
14.300000 93.349 -140.3504
14.500000 93.385 -141.1154
14.750000 93.424 -142.0337
15.000000 93.461 -142.9026
15.250000 93.497 -143.7315
15.500000 93.535 -144.5332
15.750000 93.575 -145.3283
16.000000 93.615 -146.1355
16.250000 93.652 -146.9584
16.500000 93.685 -147.7949
16.750000 93.710 -148.6327
17.000000 93.728 -149.4501
17.250000 93.739 -150.2322
17.500000 93.747 -150.9676
17.750000 93.752 -151.6509
18.000000 93.760 -152.2914
18.250000 93.771 -152.9018
18.500000 93.785 -153.4964
18.750000 93.802 -154.0925
19.000000 93.820 -154.6982
19.250000 93.838 -155.3138
19.500000 93.853 -155.9358
19.750000 93.865 -156.5527
20.000000 93.874 -157.1535
20.299999 93.883 -157.8450
20.600000 93.892 -158.5022
20.900000 93.904 -159.1344
21.200001 93.917 -159.7585
21.400000 93.928 -160.1782
21.799999 93.946 -161.0328
22.000000 93.953 -161.4642
22.400000 93.962 -162.3167
22.700001 93.964 -162.9278
23.000000 93.964 -163.5067
23.299999 93.964 -164.0568
23.600000 93.966 -164.5909
24.000000 93.970 -165.3036
24.299999 93.972 -165.8477
24.700001 93.970 -166.5767
25.000000 93.963 -167.1071
25.400000 93.949 -167.7672
25.799999 93.937 -168.3671
26.200001 93.930 -168.9331
26.500000 93.930 -169.3625
26.900000 93.932 -169.9698
27.200001 93.933 -170.4554
27.600000 93.926 -171.1198
28.000000 93.911 -171.7612
28.500000 93.888 -172.4774
29.000000 93.874 -173.1212
29.500000 93.873 -173.7934
30.000000 93.868 -174.5662
30.400000 93.850 -175.2167
30.700001 93.826 -175.6672
31.100000 93.786 -176.1559
31.500000 93.752 -176.5045
32.000000 93.737 -176.8534
32.500000 93.750 -177.2949
33.000000 93.764 -177.9225
33.500000 93.757 -178.6486
34.000000 93.730 -179.3280
34.500000 93.700 -179.9192
35.000000 93.673 179.5171
35.500000 93.644 178.9419
36.000000 93.608 178.4004
36.500000 93.571 177.9485
37.000000 93.546 177.5614
37.500000 93.535 177.1554
38.200001 93.524 176.4849
38.700001 93.510 175.9809
39.500000 93.485 175.1974
40.000000 93.468 174.6793
40.599998 93.433 174.0301
41.200001 93.380 173.4518
41.799999 93.320 173.0123
42.500000 93.262 172.6182
43.099998 93.224 172.3041
43.700001 93.199 171.9599
44.400002 93.177 171.4369
45.000000 93.148 170.8862
45.500000 93.113 170.4434
46.200001 93.065 169.9259
46.799999 93.037 169.4873
47.500000 93.003 168.9051
48.200001 92.960 168.4058
48.700001 92.942 168.1141
49.400002 92.935 167.5636
50.000000 92.908 166.9083
50.799999 92.815 166.1669
51.500000 92.728 165.8342
52.200001 92.664 165.5671
53.000000 92.594 165.2155
53.799999 92.532 164.8846
54.500000 92.488 164.5142
55.200001 92.438 164.0606
56.000000 92.377 163.5608
57.000000 92.305 162.9061
58.000000 92.218 162.3271
59.000000 92.150 161.9443
60.000000 92.096 161.4625
60.799999 92.034 161.0646
61.500000 91.973 160.7930
62.200001 91.915 160.5449
63.000000 91.851 160.1922
64.000000 91.754 159.6367
65.000000 91.636 159.1052
66.000000 91.521 158.6022
67.000000 91.403 158.0918
68.000000 91.283 157.6485
69.000000 91.163 157.2307
70.000000 91.028 156.8673
71.000000 90.880 156.5721
72.000000 90.710 156.2968
73.000000 90.513 156.0958
74.000000 90.293 155.9818
75.000000 90.046 156.0154
76.199997 89.714 156.4094
77.500000 89.299 157.7299
78.800003 88.890 160.8571
80.000000 88.720 165.6447
81.199997 88.989 171.1053
82.500000 89.750 175.1859
83.800003 90.581 175.4830
85.000000 91.093 173.2861
86.199997 91.371 170.4514
87.500000 91.501 167.4059
88.500000 91.513 165.3710
90.000000 91.469 163.0100
91.199997 91.409 161.6032
92.500000 91.330 160.4028
93.800003 91.235 159.4414
95.000000 91.149 158.6794
96.199997 91.051 157.8776
97.500000 90.914 157.1449
98.800003 90.764 156.7009
100.000000 90.640 156.5676
101.500000 90.532 156.4587
103.000000 90.435 156.1861
104.400002 90.335 155.9466
106.000000 90.230 155.7740
107.500000 90.144 155.6981
109.000000 90.065 155.7031
110.599998 89.987 155.8001
112.000000 89.931 155.9208
113.800003 89.883 156.0006
115.000000 89.865 155.9517
117.199997 89.845 155.6522
118.000000 89.836 155.4896
120.599998 89.789 154.9201
122.000000 89.748 154.6224
124.099998 89.675 154.2100
125.000000 89.640 154.0316
126.500000 89.578 153.7325
128.000000 89.511 153.4539
131.500000 89.350 152.9348
132.000000 89.327 152.8723
134.000000 89.233 152.6435
136.000000 89.137 152.4511
138.000000 89.047 152.2931
140.000000 88.961 152.1471
143.000000 88.830 152.0054
145.000000 88.740 151.9343
147.500000 88.627 151.8165
150.000000 88.520 151.7347
152.500000 88.434 151.7505
155.000000 88.349 151.7715
157.500000 88.258 151.7853
160.000000 88.168 151.7515
162.500000 88.083 151.7023
165.000000 87.998 151.6943
167.500000 87.910 151.7275
170.000000 87.821 151.7672
172.500000 87.734 151.8045
175.000000 87.650 151.8509
177.500000 87.567 151.9107
180.000000 87.486 151.9776
182.500000 87.406 152.0503
185.000000 87.327 152.1360
187.500000 87.251 152.2328
190.000000 87.179 152.3251
192.500000 87.107 152.4051
195.000000 87.037 152.4894
197.500000 86.971 152.5679
200.000000 86.903 152.6674
203.000000 86.821 152.9001
206.000000 86.741 153.1562
209.000000 86.657 153.3994
212.000000 86.578 153.5763
214.000000 86.527 153.6687
218.000000 86.433 153.8978
220.000000 86.389 154.0018
224.000000 86.292 154.1973
227.000000 86.215 154.3872
230.000000 86.142 154.6165
233.000000 86.077 154.8957
236.000000 86.017 155.1602
240.000000 85.916 155.3672
243.000000 85.842 155.5137
247.000000 85.771 155.7046
250.000000 85.719 155.8775
254.000000 85.646 156.2181
258.000000 85.571 156.5630
262.000000 85.484 156.8345
265.000000 85.421 157.0445
269.000000 85.350 157.3765
272.000000 85.305 157.6802
276.000000 85.244 158.1280
280.000000 85.175 158.4825
285.000000 85.089 158.7326
290.000000 85.014 159.0821
295.000000 84.941 159.5476
300.000000 84.874 159.9722
304.000000 84.813 160.2390
307.000000 84.766 160.4329
311.000000 84.707 160.7274
315.000000 84.652 161.0642
320.000000 84.587 161.4934
325.000000 84.520 161.9085
